00007ff905c88b3d (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff905c7e28c (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff905c7e3b2 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff905c7ca0c (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff905c780a0 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff905c894d7 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff905c77d44 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff905c82637 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff905c7ea56 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff905c76516 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff905c7de35 (__TEXT,__text) non-external +[SPLog exec]
00007ff905c7e09d (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff905c7dd7d (__TEXT,__text) non-external +[SPLog generic]
00007ff905c7ddd9 (__TEXT,__text) non-external +[SPLog kext]
00007ff905c7de91 (__TEXT,__text) non-external +[SPLog measurements]
00007ff905c7e091 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00007ff905c7deed (__TEXT,__text) non-external +[SPLog signposts]
00007ff905c7df49 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00007ff905c8585b (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00007ff905c850a5 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00007ff905c84205 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00007ff905c8b078 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00007ff905c8403d (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00007ff905c8401f (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00007ff905c84694 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00007ff905c841c2 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00007ff905c8405b (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff905c77798 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff905c776be (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff905c7755a (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff905c773a2 (__TEXT,__text) non-external -[AKELData init]
00007ff905c7775f (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff905c77685 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff905c7713d (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff905c7766f (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff905c88d9d (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff905c88d16 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff905c88dc3 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff905c88daf (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff905c88d67 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff905c88db9 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff905c7c650 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff905c7bd5a (__TEXT,__text) non-external -[BundleData dealloc]
00007ff905c8a5a2 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff905c7c26c (__TEXT,__text) non-external -[BundleData doReload]
00007ff905c7c60c (__TEXT,__text) non-external -[BundleData forceReload]
00007ff905c7bdf5 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff905c7bd4c (__TEXT,__text) non-external -[BundleData init]
00007ff905c7c628 (__TEXT,__text) non-external -[BundleData isSigned]
00007ff905c7c2a8 (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff905c7c5ad (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff905c7bf6a (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff905c8a600 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff905c8a65d (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff905c7c646 (__TEXT,__text) non-external -[BundleData timestamp]
00007ff905c7c61e (__TEXT,__text) non-external -[BundleData url]
00007ff905c7c63c (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff905c7c632 (__TEXT,__text) non-external -[BundleData version]
00007ff905c7d0b9 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff905c7d08b (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff905c7cfee (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff905c7d09e (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff905c7cf3e (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff905c7d095 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff905c7d0a8 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff905c880b1 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff905c785ab (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff905c78561 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff905c78546 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff905c78510 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff905c7852b (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff905c78590 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff905c7856b (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff905c78550 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff905c7851a (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff905c78535 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff905c7859a (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff905c78586 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff905c7857c (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff905c87a57 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff905c8798b (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff905c87118 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff905c871c0 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff905c87534 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff905c875e9 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff905c87454 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff905c879bd (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff905c867b3 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff905c878d3 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff905c873c4 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff905c8799f (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff905c8681c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff905c8b106 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff905c8b171 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff905c8b1ca (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff905c8b1fd (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff905c8b230 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff905c8b289 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff905c867a5 (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff905c879d0 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff905c87a1c (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff905c879f6 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff905c87813 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff905c87a03 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff905c87851 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff905c8708b (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff905c879b3 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff905c87a4d (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff905c87995 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff905c8796d (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff905c87981 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff905c87a35 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff905c8788f (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff905c879c7 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff905c87a29 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff905c87a10 (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff905c87a41 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff905c879ea (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff905c8775e (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff905c87393 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff905c872bb (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff905c876a9 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff905c879dd (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff905c87963 (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff905c879a9 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff905c87977 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff905c893ab (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff905c8933d (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff905c89211 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff905c89140 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff905c89253 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff905c89313 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff905c89398 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff905c8938d (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff905c8927f (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff905c893a0 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff905c7e7ff (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff905c7e7d7 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff905c7e7eb (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff905c7e5c7 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff905c7e7af (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff905c7e3bd (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff905c7e0ed (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff905c7e0df (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff905c7e7f5 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff905c7e7b9 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff905c7e7e1 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff905c7e7c3 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff905c7e7cd (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff905c808ab (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff905c804ff (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff905c80417 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff905c803b2 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff905c80065 (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff905c7fde3 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff905c7ff72 (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff905c806db (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff905c7fd68 (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff905c807c3 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff905c8034d (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff905c7fe2d (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff905c7fe25 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff905c805e7 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff905c7fe43 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff905c7da31 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff905c7d0c9 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff905c8a691 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff905c8a6c5 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff905c8a6f9 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff905c8a753 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff905c8a7ec (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff905c8a885 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff905c8a91e (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff905c8a9a5 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.8
00007ff905c7db25 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff905c7ceea (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00007ff905c7cee0 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00007ff905c7ceb8 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00007ff905c7cc63 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00007ff905c7ca17 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00007ff905c7c8e1 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00007ff905c7c8d3 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00007ff905c7ce9a (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00007ff905c7ced6 (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00007ff905c7cec2 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00007ff905c7cecc (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00007ff905c7cea4 (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00007ff905c7ceae (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00007ff905c8677d (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00007ff905c8649a (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00007ff905c86458 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00007ff905c86310 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00007ff905c865fb (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00007ff905c865cc (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00007ff905c7ea2e (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00007ff905c7e9c0 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00007ff905c7e869 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00007ff905c7ea02 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00007ff905c82a3e (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00007ff905c829ee (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00007ff905c82a02 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00007ff905c8280d (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00007ff905c82642 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00007ff905c824c1 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00007ff905c824b3 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00007ff905c82a2a (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00007ff905c82a16 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00007ff905c82a0c (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00007ff905c82a20 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00007ff905c82a34 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00007ff905c829e4 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00007ff905c829f8 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00007ff905c7fb10 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00007ff905c7f4a4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00007ff905c7ef27 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00007ff905c7efed (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00007ff905c7eee9 (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00007ff905c7eedb (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00007ff905c7f44c (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00007ff905c7fb06 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00007ff905c7ee99 (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00007ff905c7f8bc (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00007ff905c7eb4a (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00007ff905c7f179 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00007ff905c7f70d (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00007ff905c7f7f6 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00007ff905c7f478 (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00007ff905c7f576 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00007ff905c7fada (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00007ff905c7faae (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00007ff905c7fa82 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00007ff905c7fa56 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00007ff905c7f0b3 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00007ff905c7f63c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00007ff905c7fa2c (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00007ff905c7fa02 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00007ff905c7f93c (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00007ff905c7f384 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00007ff905c7f291 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00007ff905c823cb (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00007ff905c81fb8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00007ff905c8219d (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00007ff905c81efc (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00007ff905c81e40 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00007ff905c822b4 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00007ff905c768f5 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00007ff905c7689c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00007ff905c768a6 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00007ff905c768c4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00007ff905c7688a (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00007ff905c768b0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00007ff905c76743 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
00007ff905c762f7 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00007ff905c76532 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00007ff905c76410 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00007ff905c762e9 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00007ff905c768ce (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
