00007ff841eac3a0 (__DATA,__data) external _NDR_record
00007ff8003909d0 (__TEXT,__text) external ___psynch_mutexdrop
00007ff80039089c (__TEXT,__text) external ___psynch_mutexwait
00007ff8003990c8 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff8003990e0 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff800392858 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800392840 (__TEXT,__text) external ___psynch_rw_unlock
00007ff8003990f8 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800399110 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800392828 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800399128 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800398170 (__TEXT,__text) external ___pthread_canceled
00007ff800393db8 (__TEXT,__text) external ___pthread_chdir
00007ff800393da0 (__TEXT,__text) external ___pthread_fchdir
00007ff800395220 (__TEXT,__text) external ___pthread_kill
00007ff800399140 (__TEXT,__text) external ___pthread_markcancel
00007ff800394288 (__TEXT,__text) external ___pthread_sigmask
00007ff800395668 (__TEXT,__text) external ___ptrace
00007ff800399158 (__TEXT,__text) external ___pwrite_nocancel
00007ff800399170 (__TEXT,__text) external ___pwritev_nocancel
00007ff80038fe6c (__TEXT,__text) external ___read_nocancel
00007ff800399188 (__TEXT,__text) external ___readv_nocancel
00007ff8003991a0 (__TEXT,__text) external ___reboot
00007ff8003991b8 (__TEXT,__text) external ___record_system_event
00007ff800391c78 (__TEXT,__text) external ___recvfrom
00007ff800391b48 (__TEXT,__text) external ___recvfrom_nocancel
00007ff800391f94 (__TEXT,__text) external ___recvmsg
00007ff8003991d0 (__TEXT,__text) external ___recvmsg_nocancel
00007ff843a3ceb0 (__DATA_DIRTY,__bss) non-external ___remove_counter
00007ff8003913b4 (__TEXT,__text) external ___rename
00007ff8003991e8 (__TEXT,__text) external ___renameat
00007ff800399200 (__TEXT,__text) external ___renameatx_np
00007ff8003913ec (__TEXT,__text) external ___rmdir
00007ff800398d20 (__TEXT,__text) external ___sandbox_me
00007ff800398de0 (__TEXT,__text) external ___sandbox_mm
00007ff80038fab8 (__TEXT,__text) external ___sandbox_ms
00007ff800395250 (__TEXT,__text) external ___sandbox_msp
00007ff8003972d0 (__TEXT,__text) external ___select
00007ff800391b30 (__TEXT,__text) external ___select_nocancel
00007ff800395ff4 (__TEXT,__text) external ___sem_open
00007ff800399218 (__TEXT,__text) external ___sem_wait_nocancel
00007ff800399230 (__TEXT,__text) external ___semctl
00007ff800399248 (__TEXT,__text) external ___semsys
00007ff800390fe0 (__TEXT,__text) external ___semwait_signal
00007ff8003942a0 (__TEXT,__text) external ___semwait_signal_nocancel
00007ff800392d90 (__TEXT,__text) external ___sendmsg
00007ff800391b78 (__TEXT,__text) external ___sendmsg_nocancel
00007ff800391c60 (__TEXT,__text) external ___sendto
00007ff800391ae8 (__TEXT,__text) external ___sendto_nocancel
00007ff8003910c8 (__TEXT,__text) external ___setattrlist
00007ff800397efc (__TEXT,__text) external ___setlogin
00007ff800394df8 (__TEXT,__text) external ___setpriority
00007ff800399260 (__TEXT,__text) external ___setregid
00007ff800399278 (__TEXT,__text) external ___setreuid
00007ff8003908bc (__TEXT,__text) external ___setrlimit
00007ff800399290 (__TEXT,__text) external ___setsgroups
00007ff800395e24 (__TEXT,__text) external ___settid
00007ff8003992a8 (__TEXT,__text) external ___settid_with_pid
00007ff8003992c0 (__TEXT,__text) external ___settimeofday
00007ff8003992d8 (__TEXT,__text) external ___setwgroups
00007ff80039604c (__TEXT,__text) external ___sfi_ctl
00007ff8003992f0 (__TEXT,__text) external ___sfi_pidctl
00007ff800399308 (__TEXT,__text) external ___shared_region_check_np
00007ff800399320 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff80038f9a8 (__TEXT,__text) external ___shm_open
00007ff800399338 (__TEXT,__text) external ___shmctl
00007ff800399350 (__TEXT,__text) external ___shmsys
00007ff80039356c (__TEXT,__text) external ___sigaction
00007ff800391080 (__TEXT,__text) external ___sigaltstack
00007ff800397a74 (__TEXT,__text) external ___sigreturn
00007ff800399368 (__TEXT,__text) external ___sigsuspend
00007ff8003942cc (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800397aa4 (__TEXT,__text) external ___sigwait
00007ff800391b60 (__TEXT,__text) external ___socketpair
00007ff800399380 (__TEXT,__text) external ___stack_snapshot_with_config
00007ff800392b9c (__TEXT,__text) external ___stat64_extended
00007ff800399398 (__TEXT,__text) external ___stat_extended
00007ff8003901d0 (__TEXT,__text) external ___syscall
00007ff841eac430 (__DATA,__common) external ___syscall_logger
00007ff80038f8f0 (__TEXT,__text) external ___sysctl
00007ff80038fa5c (__TEXT,__text) external ___sysctlbyname
00007ff8003993b0 (__TEXT,__text) external ___telemetry
00007ff800396be8 (__TEXT,__text) external ___terminate_with_payload
00007ff80038fd20 (__TEXT,__text) external ___thread_selfid
00007ff8003993c8 (__TEXT,__text) external ___thread_selfusage
00007ff80038fd38 (__TEXT,__text) external ___ulock_wait
00007ff8003993e0 (__TEXT,__text) external ___ulock_wait2
00007ff80038fdbc (__TEXT,__text) external ___ulock_wake
00007ff8003993f8 (__TEXT,__text) external ___umask_extended
00007ff800391688 (__TEXT,__text) external ___unlink
00007ff8003962f0 (__TEXT,__text) external ___unlinkat
00007ff800399410 (__TEXT,__text) external ___vfork
00007ff80039423c (__TEXT,__text) external ___wait4
00007ff8003983e4 (__TEXT,__text) external ___wait4_nocancel
00007ff800399468 (__TEXT,__text) external ___waitid_nocancel
00007ff8003957c4 (__TEXT,__text) external ___work_interval_ctl
00007ff80038fca8 (__TEXT,__text) external ___workq_kernreturn
00007ff80038fcc0 (__TEXT,__text) external ___workq_open
00007ff80039160c (__TEXT,__text) external ___write_nocancel
00007ff800399480 (__TEXT,__text) external ___writev_nocancel
00007ff841eac420 (__DATA,__common) external __cpu_capabilities
00007ff841eac41c (__DATA,__common) external __cpu_has_altivec
00007ff843a3c7c0 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
00007ff843a3ce88 (__DATA_DIRTY,__bss) non-external __dlsym
00007ff80039ad2a (__TEXT,__text) non-external __execve_with_filter
00007ff8003942e4 (__TEXT,__text) external __exit
00007ff800392fe4 (__TEXT,__text) external __get_cpu_capabilities
00007ff841eac450 (__DATA,__bss) non-external __gethostuuid_callback
00007ff80039df99 (__TEXT,__text) external __getprivatesystemidentifier
00007ff8003a87ef (__TEXT,__text) external __host_page_size
00007ff800392fd0 (__TEXT,__text) external __init_cpu_capabilities
00007ff8003a955e (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff8003aa57e (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff8003aafef (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff8003aa497 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff8003aaec7 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff80038e45c (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff8003ac5d7 (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff8003ab9f3 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff80038e4b0 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff8003aa775 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff80038e468 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff8003aa691 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff8003abb24 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff80038e4bc (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff8003ab4c4 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff8003ab7eb (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff80038e4a4 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800396729 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800396f1b (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff80038e564 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff8003928aa (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff800390ec9 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff8003ac48d (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff800398038 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff8003ab216 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff8003abc0f (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff80038e570 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff8003abffa (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff8003ab704 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff80038e498 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff8003aace2 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff80038e48c (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff8003ac376 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff8003ab5e4 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff8003ab8d2 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff8003ac1d2 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff8003aa85b (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff80038e474 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff8003aabf9 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff80038e480 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff8003aa25d (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff8003aa945 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff8003aa3b0 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff8003916b8 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff80038e660 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff800390673 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800397f4a (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff8003aab11 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff8003aade0 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff8003abde2 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff8003ab329 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff8003abee7 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff8003ac0e6 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff80039584d (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff80038e654 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff8003abcfa (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff80038e57c (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff8003b2944 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff8003ac717 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff80038e414 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff8003ac836 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff80038e42c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff80038f630 (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff80038e450 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff8003ac91f (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff80038e444 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff8003ad567 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff80038e420 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff8003acafb (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff8003ad195 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff8003ad95e (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff8003b62ca (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff8003ab132 (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff800392672 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff8003933d6 (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff8003b46ef (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff80039821b (__TEXT,__text) external __kernelrpc_vm_map
00007ff8003b58d6 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800395eba (__TEXT,__text) external __kernelrpc_vm_read
00007ff800390328 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff8003b59f2 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff80039a1c1 (__TEXT,__text) non-external __libkernel_bzero
00007ff843a3ce80 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00007ff84002d5c0 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff80039a24b (__TEXT,__text) non-external __libkernel_memmove
00007ff80039a1cb (__TEXT,__text) non-external __libkernel_memset
00007ff80039a1a0 (__TEXT,__text) non-external __libkernel_strchr
00007ff800392ff2 (__TEXT,__text) non-external __libkernel_strcmp
00007ff80039a5d1 (__TEXT,__text) non-external __libkernel_strcpy
00007ff843a3c7d0 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00007ff80039ae6d (__TEXT,__text) non-external __libkernel_strlcpy
00007ff800399fca (__TEXT,__text) non-external __libkernel_strlen
00007ff843a3c7d8 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00007ff8003b6980 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff80039c25b (__TEXT,__text) non-external __mach_continuous_time
00007ff84002ef90 (__DATA_CONST,__const) external __mach_errors
00007ff80039c5a5 (__TEXT,__text) external __mach_fork_child
00007ff80039cca4 (__TEXT,__text) external __mach_snprintf
00007ff80039cb0e (__TEXT,__text) external __mach_vsnprintf
00007ff843a3c830 (__DATA_DIRTY,__common) external __os_alloc_once_table
00007ff841eac3f0 (__DATA,__common) external __os_xbs_chrooted
00007ff800393964 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff80039a5f9 (__TEXT,__text) non-external __posix_spawn_with_filter
00007ff80039df9e (__TEXT,__text) external __register_gethostuuid_callback
00007ff80039a388 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00007ff80039a404 (__TEXT,__text) non-external __system_version_compat_open_shim
00007ff843a3ce98 (__DATA_DIRTY,__bss) non-external __task_reply_port
00007ff800399fa0 (__TEXT,__text) external __thread_set_tsd_base
00007ff8003b67c5 (__TEXT,__text) non-external _abort
00007ff8003b67e6 (__TEXT,__text) non-external _abort.561
00007ff8003b6807 (__TEXT,__text) non-external _abort.563
00007ff8003b682b (__TEXT,__text) non-external _abort.586
00007ff8003b68db (__TEXT,__text) external _abort_with_payload
00007ff8003b6860 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff8003b684d (__TEXT,__text) external _abort_with_reason
00007ff8003952b4 (__TEXT,__text) external _accept
00007ff800398ab0 (__TEXT,__text) external _accept$NOCANCEL
00007ff80038ed3c (__TEXT,__text) external _access
00007ff800398ac8 (__TEXT,__text) external _accessx_np
00007ff800399498 (__TEXT,__text) external _acct
00007ff8003b3559 (__TEXT,__text) external _act_get_state
00007ff8003b370d (__TEXT,__text) external _act_set_state
00007ff8003994b0 (__TEXT,__text) external _adjtime
00007ff8003994c8 (__TEXT,__text) external _aio_cancel
00007ff8003994e0 (__TEXT,__text) external _aio_error
00007ff8003994f8 (__TEXT,__text) external _aio_fsync
00007ff800399510 (__TEXT,__text) external _aio_read
00007ff800399528 (__TEXT,__text) external _aio_return
00007ff800399540 (__TEXT,__text) external _aio_suspend
00007ff800398ae0 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800399558 (__TEXT,__text) external _aio_write
00007ff800399570 (__TEXT,__text) external _audit
00007ff800397a8c (__TEXT,__text) external _audit_session_join
00007ff800397930 (__TEXT,__text) external _audit_session_port
00007ff800391880 (__TEXT,__text) external _audit_session_self
00007ff800399588 (__TEXT,__text) external _auditctl
00007ff800396024 (__TEXT,__text) external _auditon
00007ff80039479c (__TEXT,__text) external _bind
00007ff843a3c7e4 (__DATA_DIRTY,__common) external _bootstrap_port
00007ff80038f9ef (__TEXT,__text) external _cerror
00007ff80038ece2 (__TEXT,__text) external _cerror_nocancel
00007ff80039180c (__TEXT,__text) external _change_fdguard_np
00007ff80038fad0 (__TEXT,__text) external _chdir
00007ff800394d84 (__TEXT,__text) external _chflags
00007ff800391404 (__TEXT,__text) external _chmod
00007ff800394784 (__TEXT,__text) external _chown
00007ff8003995a0 (__TEXT,__text) external _chroot
00007ff8003a5cd3 (__TEXT,__text) external _clock_alarm
00007ff8003a5b08 (__TEXT,__text) external _clock_alarm_reply
00007ff8003a5b6b (__TEXT,__text) external _clock_get_attributes
00007ff800392a27 (__TEXT,__text) external _clock_get_time
00007ff8003a59d6 (__TEXT,__text) external _clock_set_attributes
00007ff8003a58f1 (__TEXT,__text) external _clock_set_time
00007ff800398187 (__TEXT,__text) external _clock_sleep
00007ff80038e630 (__TEXT,__text) external _clock_sleep_trap
00007ff8003965d3 (__TEXT,__text) external _clonefile
00007ff800392424 (__TEXT,__text) external _clonefileat
00007ff80038efc4 (__TEXT,__text) external _close
00007ff80038f9c0 (__TEXT,__text) external _close$NOCANCEL
00007ff8003a2888 (__TEXT,__text) external _coalition_create
00007ff8003a28d9 (__TEXT,__text) external _coalition_info_resource_usage
00007ff8003a2931 (__TEXT,__text) external _coalition_info_set_efficiency
00007ff8003a2905 (__TEXT,__text) external _coalition_info_set_name
00007ff8003a2965 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00007ff8003a28b8 (__TEXT,__text) external _coalition_reap
00007ff8003a2897 (__TEXT,__text) external _coalition_terminate
00007ff800391c48 (__TEXT,__text) external _connect
00007ff800391ad0 (__TEXT,__text) external _connect$NOCANCEL
00007ff800391c90 (__TEXT,__text) external _connectx
