                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018d42cf18 (__TEXT,__text) non-external _au_assemble
000000018d43a858 (__TEXT,__text) external _audit_get_kmask
000000018d43a9d4 (__TEXT,__text) external _audit_get_pinfo
000000018d43aa20 (__TEXT,__text) external _audit_get_pinfo_addr
000000018d43a438 (__TEXT,__text) external _audit_get_policy
000000018d43a5b0 (__TEXT,__text) external _audit_get_qctrl
000000018d43a528 (__TEXT,__text) external _audit_get_sflags
000000018d43a568 (__TEXT,__text) external _audit_get_sflags_mask
000000018d42cba8 (__TEXT,__text) external _audit_get_sinfo_addr
000000018d43aa6c (__TEXT,__text) external _audit_get_stat
00000001e7c460a8 (__DATA,__bss) non-external _audit_rec_count
000000018d43a718 (__TEXT,__text) external _audit_send_trigger
000000018d43a80c (__TEXT,__text) external _audit_set_class
000000018d43a3c0 (__TEXT,__text) external _audit_set_cond
000000018d43a93c (__TEXT,__text) external _audit_set_fsize
000000018d43a774 (__TEXT,__text) external _audit_set_kaudit
000000018d43a8a4 (__TEXT,__text) external _audit_set_kmask
000000018d43a988 (__TEXT,__text) external _audit_set_pmask
000000018d43a4b0 (__TEXT,__text) external _audit_set_policy
000000018d43a664 (__TEXT,__text) external _audit_set_qctrl
000000018d43a538 (__TEXT,__text) external _audit_set_sflags
000000018d43a58c (__TEXT,__text) external _audit_set_sflags_mask
000000018d43aab8 (__TEXT,__text) external _audit_set_stat
000000018d439b50 (__TEXT,__text) non-external _audit_set_terminal_host
000000018d439a20 (__TEXT,__text) external _audit_set_terminal_id
000000018d439c14 (__TEXT,__text) external _audit_set_terminal_id_ex
000000018d439a74 (__TEXT,__text) non-external _audit_set_terminal_port
000000018d439678 (__TEXT,__text) external _audit_submit
000000018d42c480 (__TEXT,__text) external _audit_token_to_asid
000000018d42c4c0 (__TEXT,__text) external _audit_token_to_au32
000000018d42c4a0 (__TEXT,__text) external _audit_token_to_auid
000000018d42c4a8 (__TEXT,__text) external _audit_token_to_egid
000000018d42c490 (__TEXT,__text) external _audit_token_to_euid
000000018d42c488 (__TEXT,__text) external _audit_token_to_pid
000000018d42c4b8 (__TEXT,__text) external _audit_token_to_pidversion
000000018d42c4b0 (__TEXT,__text) external _audit_token_to_rgid
000000018d42c498 (__TEXT,__text) external _audit_token_to_ruid
000000018d439c68 (__TEXT,__text) external _audit_write
000000018d43a03c (__TEXT,__text) external _audit_write_failure
000000018d43a148 (__TEXT,__text) external _audit_write_failure_ex
000000018d43a338 (__TEXT,__text) external _audit_write_failure_na
000000018d43a37c (__TEXT,__text) external _audit_write_failure_na_ex
000000018d43a254 (__TEXT,__text) external _audit_write_failure_self
000000018d439e48 (__TEXT,__text) external _audit_write_success
000000018d439efc (__TEXT,__text) external _audit_write_success_ex
000000018d439fb0 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018d435184 (__TEXT,__text) non-external _be64dec
000000018d43b120 (__TEXT,__const) non-external _bsm_domains
00000001e42def58 (__DATA_CONST,__const) non-external _bsm_errnos
000000018d43b390 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018d43b348 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018d436304 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018d4356c8 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018d42dc6c (__TEXT,__text) external _endac
000000018d42d7c4 (__TEXT,__text) external _endauclass
000000018d42e7a4 (__TEXT,__text) external _endauevent
000000018d4391cc (__TEXT,__text) external _endauuser
00000001e7c46790 (__DATA,__bss) non-external _ev_cache
000000018d42ebf0 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018d4306a0 (__TEXT,__text) non-external _fetch_arb_tok
000000018d42f690 (__TEXT,__text) non-external _fetch_arg32_tok
000000018d42f714 (__TEXT,__text) non-external _fetch_arg64_tok
000000018d42f798 (__TEXT,__text) non-external _fetch_attr32_tok
000000018d42f85c (__TEXT,__text) non-external _fetch_attr64_tok
000000018d430730 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018d42f998 (__TEXT,__text) non-external _fetch_execarg_tok
000000018d42f998 (__TEXT,__text) non-external _fetch_execenv_tok
000000018d42f944 (__TEXT,__text) non-external _fetch_exit_tok
000000018d42fa30 (__TEXT,__text) non-external _fetch_file_tok
000000018d42f25c (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018d42f194 (__TEXT,__text) non-external _fetch_header32_tok
000000018d42f4bc (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018d42f3d0 (__TEXT,__text) non-external _fetch_header64_tok
000000018d4307c8 (__TEXT,__text) non-external _fetch_identity_tok
000000018d42fb28 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018d42fba0 (__TEXT,__text) non-external _fetch_ip_tok
000000018d42fcac (__TEXT,__text) non-external _fetch_ipc_tok
000000018d42fcfc (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018d430730 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018d42fab8 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018d42fddc (__TEXT,__text) non-external _fetch_process32_tok
000000018d42fef0 (__TEXT,__text) non-external _fetch_process32ex_tok
000000018d430048 (__TEXT,__text) non-external _fetch_process64_tok
000000018d43018c (__TEXT,__text) non-external _fetch_process64ex_tok
000000018d42fcac (__TEXT,__text) non-external _fetch_return32_tok
000000018d430310 (__TEXT,__text) non-external _fetch_return64_tok
000000018d430510 (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018d4303fc (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018d430468 (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018d430360 (__TEXT,__text) non-external _fetch_socket_tok
000000018d43057c (__TEXT,__text) non-external _fetch_socketex32_tok
000000018d42fddc (__TEXT,__text) non-external _fetch_subject32_tok
000000018d42fef0 (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018d430048 (__TEXT,__text) non-external _fetch_subject64_tok
000000018d43018c (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018d42f638 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001e7c46788 (__DATA,__bss) non-external _firsttime
000000018d4360e4 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001e7c46298 (__DATA,__bss) non-external _fp
00000001e7c463a0 (__DATA,__bss) non-external _fp
00000001e7c464b0 (__DATA,__bss) non-external _fp
00000001e7c467a0 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018d42dcc0 (__TEXT,__text) external _getacdir
000000018d42e3ec (__TEXT,__text) external _getacexpire
000000018d42df5c (__TEXT,__text) external _getacfilesz
000000018d42e108 (__TEXT,__text) external _getacflg
000000018d42e33c (__TEXT,__text) external _getachost
000000018d42ded8 (__TEXT,__text) external _getacmin
000000018d42e1b8 (__TEXT,__text) external _getacna
000000018d42e268 (__TEXT,__text) external _getacpol
000000018d42e318 (__TEXT,__text) external _getacsflagsmask
000000018d42d574 (__TEXT,__text) external _getauclassent
00000001e7c461a8 (__DATA,__bss) non-external _getauclassent.c
00000001e7c46160 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001e7c46158 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001e7c461c0 (__DATA,__bss) non-external _getauclassent.cp
000000018d42d3d4 (__TEXT,__text) external _getauclassent_r
000000018d42d41c (__TEXT,__text) non-external _getauclassent_r_locked
000000018d42d6cc (__TEXT,__text) external _getauclassnam
00000001e7c46218 (__DATA,__bss) non-external _getauclassnam.c
00000001e7c461d0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001e7c461c8 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018d42d640 (__TEXT,__text) external _getauclassnam_r
000000018d42d788 (__TEXT,__text) external _getauclassnum
00000001e7c46280 (__DATA,__bss) non-external _getauclassnum.c
00000001e7c46238 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001e7c46230 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018d42d708 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018d42ed24 (__TEXT,__text) external _getauditflagsbin
000000018d42ee84 (__TEXT,__text) external _getauditflagschar
000000018d42e8bc (__TEXT,__text) external _getauevent
00000001e7c46508 (__DATA,__bss) non-external _getauevent.e
00000001e7c464d6 (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001e7c464b8 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018d42e7f8 (__TEXT,__text) external _getauevent_r
000000018d42e9ec (__TEXT,__text) external _getauevnam
00000001e7c46578 (__DATA,__bss) non-external _getauevnam.e
00000001e7c46546 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001e7c46528 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018d42e8fc (__TEXT,__text) external _getauevnam_r
000000018d42ebe0 (__TEXT,__text) external _getauevnonam
00000001e7c46680 (__DATA,__bss) non-external _getauevnonam.event
000000018d42eb5c (__TEXT,__text) external _getauevnonam_r
00000001e7c46658 (__DATA,__bss) non-external _getauevnonam_r.e
00000001e7c46678 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001e7c46626 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001e7c46608 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018d42eb18 (__TEXT,__text) external _getauevnum
00000001e7c465e8 (__DATA,__bss) non-external _getauevnum.e
00000001e7c465b6 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001e7c46598 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018d42ea30 (__TEXT,__text) external _getauevnum_r
000000018d4393b8 (__TEXT,__text) external _getauuserent
00000001e7c467e0 (__DATA,__bss) non-external _getauuserent.u
00000001e7c467a8 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018d439220 (__TEXT,__text) external _getauuserent_r
000000018d439268 (__TEXT,__text) non-external _getauuserent_r_locked
000000018d4394ac (__TEXT,__text) external _getauusernam
00000001e7c46830 (__DATA,__bss) non-external _getauusernam.u
00000001e7c467f8 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018d439424 (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018d4395a0 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018d42dd6c (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001e7c462a0 (__DATA,__bss) non-external _linestr
00000001e7c463b0 (__DATA,__bss) non-external _linestr
00000001e7c46682 (__DATA,__bss) non-external _linestr
00000001e7c46848 (__DATA,__bss) non-external _linestr
000000018d43600c (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001e7c45f28 (__DATA,__data) non-external _mutex
00000001e7c45f68 (__DATA,__data) non-external _mutex
00000001e7c45fa8 (__DATA,__data) non-external _mutex
00000001e7c45fe8 (__DATA,__data) non-external _mutex
00000001e7c46028 (__DATA,__data) non-external _mutex
00000001e7c46068 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001e7c460b8 (__DATA,__bss) non-external _open_desc_table
000000018d435560 (__TEXT,__text) non-external _print_event
000000018d435c84 (__TEXT,__text) non-external _print_group
000000018d43596c (__TEXT,__text) non-external _print_ip_ex_address
000000018d435d9c (__TEXT,__text) non-external _print_ipctype
000000018d435d08 (__TEXT,__text) non-external _print_mem
000000018d435e3c (__TEXT,__text) non-external _print_retval
000000018d435634 (__TEXT,__text) non-external _print_sec32
000000018d435a58 (__TEXT,__text) non-external _print_sec64
000000018d435ae8 (__TEXT,__text) non-external _print_string
000000018d435190 (__TEXT,__text) non-external _print_tok_type
000000018d435c00 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018d42db98 (__TEXT,__text) external _setac
000000018d42dbdc (__TEXT,__text) non-external _setac_locked
00000001e7c463a8 (__DATA,__bss) non-external _setac_locked.lastctime
000000018d42d5f0 (__TEXT,__text) external _setauclass
000000018d42e754 (__TEXT,__text) external _setauevent
000000018d43917c (__TEXT,__text) external _setauuser
000000018d42e5d0 (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001e7c46798 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
