                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff81261c1d2 (__TEXT,__text) non-external _au_assemble
00007ff8126280fe (__TEXT,__text) external _audit_write_failure_na
00007ff81262812f (__TEXT,__text) external _audit_write_failure_na_ex
00007ff812628061 (__TEXT,__text) external _audit_write_failure_self
00007ff812627d96 (__TEXT,__text) external _audit_write_success
00007ff812627e0d (__TEXT,__text) external _audit_write_success_ex
00007ff812627e84 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff812623a3b (__TEXT,__text) non-external _be64dec
00007ff81262a2c0 (__TEXT,__const) non-external _bsm_domains
00007ff8414b5fe0 (__DATA_CONST,__const) non-external _bsm_errnos
00007ff81262a540 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff81262a4f0 (__TEXT,__const) non-external _bsm_socket_types
00007ff8126248fe (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff812623f0b (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff81261cd5e (__TEXT,__text) external _endac
00007ff81261c9bc (__TEXT,__text) external _endauclass
00007ff81261d6a8 (__TEXT,__text) external _endauevent
00007ff81262714d (__TEXT,__text) external _endauuser
00007ff843c71598 (__DATA,__bss) non-external _ev_cache
00007ff81261db43 (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
00007ff81261f215 (__TEXT,__text) non-external _fetch_arb_tok
00007ff81261e387 (__TEXT,__text) non-external _fetch_arg32_tok
00007ff81261e3fc (__TEXT,__text) non-external _fetch_arg64_tok
00007ff81261e471 (__TEXT,__text) non-external _fetch_attr32_tok
00007ff81261e51f (__TEXT,__text) non-external _fetch_attr64_tok
00007ff81261f291 (__TEXT,__text) non-external _fetch_cert_hash_tok
00007ff81261e621 (__TEXT,__text) non-external _fetch_execarg_tok
00007ff81261e621 (__TEXT,__text) non-external _fetch_execenv_tok
00007ff81261e5de (__TEXT,__text) non-external _fetch_exit_tok
00007ff81261e6a1 (__TEXT,__text) non-external _fetch_file_tok
00007ff81261dfd0 (__TEXT,__text) non-external _fetch_header32_ex_tok
00007ff81261df20 (__TEXT,__text) non-external _fetch_header32_tok
00007ff81261e1d9 (__TEXT,__text) non-external _fetch_header64_ex_tok
00007ff81261e114 (__TEXT,__text) non-external _fetch_header64_tok
00007ff81261f30f (__TEXT,__text) non-external _fetch_identity_tok
00007ff81261e786 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
00007ff81261e7eb (__TEXT,__text) non-external _fetch_ip_tok
00007ff81261e8f6 (__TEXT,__text) non-external _fetch_ipc_tok
00007ff81261e937 (__TEXT,__text) non-external _fetch_ipcperm_tok
00007ff81261f291 (__TEXT,__text) non-external _fetch_krb5_principal_tok
00007ff81261e718 (__TEXT,__text) non-external _fetch_newgroups_tok
00007ff81261e9ff (__TEXT,__text) non-external _fetch_process32_tok
00007ff81261eaff (__TEXT,__text) non-external _fetch_process32ex_tok
00007ff81261ec32 (__TEXT,__text) non-external _fetch_process64_tok
00007ff81261ed45 (__TEXT,__text) non-external _fetch_process64ex_tok
00007ff81261e8f6 (__TEXT,__text) non-external _fetch_return32_tok
00007ff81261eeb2 (__TEXT,__text) non-external _fetch_return64_tok
00007ff81261f074 (__TEXT,__text) non-external _fetch_sock_inet128_tok
00007ff81261ef81 (__TEXT,__text) non-external _fetch_sock_inet32_tok
00007ff81261efdf (__TEXT,__text) non-external _fetch_sock_unix_tok
00007ff81261eef5 (__TEXT,__text) non-external _fetch_socket_tok
00007ff81261f0d6 (__TEXT,__text) non-external _fetch_socketex32_tok
00007ff81261e9ff (__TEXT,__text) non-external _fetch_subject32_tok
00007ff81261eaff (__TEXT,__text) non-external _fetch_subject32ex_tok
00007ff81261ec32 (__TEXT,__text) non-external _fetch_subject64_tok
00007ff81261ed45 (__TEXT,__text) non-external _fetch_subject64ex_tok
00007ff81261e340 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff843c71590 (__DATA,__bss) non-external _firsttime
00007ff81262475e (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff843769830 (__DATA_DIRTY,__bss) non-external _fp
00007ff843769840 (__DATA_DIRTY,__bss) non-external _fp
00007ff843769850 (__DATA_DIRTY,__bss) non-external _fp
00007ff843769860 (__DATA_DIRTY,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff81261cd97 (__TEXT,__text) external _getacdir
00007ff81261d373 (__TEXT,__text) external _getacexpire
00007ff81261cfcf (__TEXT,__text) external _getacfilesz
00007ff81261d11f (__TEXT,__text) external _getacflg
00007ff81261d2e0 (__TEXT,__text) external _getachost
00007ff81261cf6c (__TEXT,__text) external _getacmin
00007ff81261d1ab (__TEXT,__text) external _getacna
00007ff81261d237 (__TEXT,__text) external _getacpol
00007ff81261d2ca (__TEXT,__text) external _getacsflagsmask
00007ff81261c752 (__TEXT,__text) external _getauclassent
00007ff843c71278 (__DATA,__bss) non-external _getauclassent.c
00007ff843c71230 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff843c71220 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff843c71290 (__DATA,__bss) non-external _getauclassent.cp
00007ff81261c5cd (__TEXT,__text) external _getauclassent_r
00007ff81261c601 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff81261c88f (__TEXT,__text) external _getauclassnam
00007ff843c712e8 (__DATA,__bss) non-external _getauclassnam.c
00007ff843c712a0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff843c71298 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff81261c816 (__TEXT,__text) external _getauclassnam_r
00007ff81261c957 (__TEXT,__text) external _getauclassnum
00007ff843c71358 (__DATA,__bss) non-external _getauclassnum.c
00007ff843c71310 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff843c71300 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff81261c8f5 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff81261dc5b (__TEXT,__text) external _getauditflagsbin
00007ff81261ddb0 (__TEXT,__text) external _getauditflagschar
00007ff81261d795 (__TEXT,__text) external _getauevent
00007ff843c713d8 (__DATA,__bss) non-external _getauevent.e
00007ff843c713a0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff843c71380 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff81261d6e1 (__TEXT,__text) external _getauevent_r
00007ff81261d8eb (__TEXT,__text) external _getauevnam
00007ff843c71458 (__DATA,__bss) non-external _getauevnam.e
00007ff843c71420 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff843c71400 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff81261d7ff (__TEXT,__text) external _getauevnam_r
00007ff81261db2f (__TEXT,__text) external _getauevnonam
00007ff843c71580 (__DATA,__bss) non-external _getauevnonam.event
00007ff81261da9d (__TEXT,__text) external _getauevnonam_r
00007ff843c71558 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff843c71578 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff843c71520 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff843c71500 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff81261da31 (__TEXT,__text) external _getauevnum
00007ff843c714d8 (__DATA,__bss) non-external _getauevnum.e
00007ff843c714a0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff843c71480 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff81261d958 (__TEXT,__text) external _getauevnum_r
00007ff8126272ff (__TEXT,__text) external _getauuserent
00007ff843c715d8 (__DATA,__bss) non-external _getauuserent.u
00007ff843c715a0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff812627186 (__TEXT,__text) external _getauuserent_r
00007ff8126271ba (__TEXT,__text) non-external _getauuserent_r_locked
00007ff8126273d8 (__TEXT,__text) external _getauusernam
00007ff843c71628 (__DATA,__bss) non-external _getauusernam.u
00007ff843c715f0 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff81262736d (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff8126274e2 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff81261ce1e (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff843769430 (__DATA_DIRTY,__bss) non-external _linestr
00007ff843769530 (__DATA_DIRTY,__bss) non-external _linestr
00007ff843769630 (__DATA_DIRTY,__bss) non-external _linestr
00007ff843769730 (__DATA_DIRTY,__bss) non-external _linestr
00007ff81262467a (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff8437692b0 (__DATA_DIRTY,__data) non-external _mutex
00007ff8437692f0 (__DATA_DIRTY,__data) non-external _mutex
00007ff843769330 (__DATA_DIRTY,__data) non-external _mutex
00007ff843769370 (__DATA_DIRTY,__data) non-external _mutex
00007ff8437693b0 (__DATA_DIRTY,__data) non-external _mutex
00007ff8437693f0 (__DATA_DIRTY,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff843c71180 (__DATA,__bss) non-external _open_desc_table
00007ff812623dbc (__TEXT,__text) non-external _print_event
00007ff8126243db (__TEXT,__text) non-external _print_group
00007ff812624184 (__TEXT,__text) non-external _print_ip_ex_address
00007ff812624486 (__TEXT,__text) non-external _print_ipctype
00007ff81262441e (__TEXT,__text) non-external _print_mem
00007ff8126244ef (__TEXT,__text) non-external _print_retval
00007ff812623e84 (__TEXT,__text) non-external _print_sec32
00007ff812624224 (__TEXT,__text) non-external _print_sec64
00007ff8126242aa (__TEXT,__text) non-external _print_string
00007ff812623a47 (__TEXT,__text) non-external _print_tok_type
00007ff812624398 (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff81261ccc2 (__TEXT,__text) external _setac
00007ff81261ccea (__TEXT,__text) non-external _setac_locked
00007ff843c71378 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff81261c7e4 (__TEXT,__text) external _setauclass
00007ff81261d676 (__TEXT,__text) external _setauevent
00007ff81262711b (__TEXT,__text) external _setauuser
00007ff81261d54c (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff843769874 (__DATA_DIRTY,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
