00007ffa42af23f0 (__DATA,__data) non-external _.compoundliteral
00007ffa1826df74 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffa1827637c (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffa18271d64 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffa18206988 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffa1827391d (__TEXT,__text) non-external _EmulateOp
00007ffa18278419 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffa182783dd (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffa1821dd1d (__TEXT,__text) non-external _FindHashLoc
00007ffa1827a1f9 (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffa18205180 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffa18270caf (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffa18270b29 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffa1821dcb4 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffa1821e062 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffa1822077f (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffa18139ae4 (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffa1813edae (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffa419e8e60 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffa1829bf00 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffa42af2358 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffa1829b420 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffa419eaea0 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffa1829bf10 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffa1829b3d0 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffa1821d956 (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffa18272e28 (__TEXT,__text) non-external _GetOpRegs
00007ffa18270924 (__TEXT,__text) non-external _GetOrAddBlock
00007ffa18276324 (__TEXT,__text) non-external _GetRegChunk
00007ffa1826f184 (__TEXT,__text) non-external _GetRegister
00007ffa18278347 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffa18271c59 (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffa1821d9a8 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffa1827a17c (__TEXT,__text) non-external _GetStreamArray
00007ffa1821dca0 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffa1821db11 (__TEXT,__text) non-external _GrowAtomTable
00007ffa42af2310 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffa1826ce66 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffa1826ce06 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffa1826cf72 (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffa1826d098 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffa1826d087 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffa1826cd55 (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffa1826cff7 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffa1826d1de (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffa1826d148 (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffa1826d349 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffa1826d100 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffa1821d9c2 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffa1821de88 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffa182051c1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffa18220734 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffa1826f748 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffa18270020 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffa1826f808 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffa18272f1f (__TEXT,__text) non-external _IsBadUsage
00007ffa18206b11 (__TEXT,__text) non-external (was a private external) _Load
00007ffa1821d720 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffa1821d7d2 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffa18222604 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffa1822266f (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffa1821f840 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffa18222ec0 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffa18222467 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffa182226b8 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffa419e7b80 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffa419e7820 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffa419e7da0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffa419e7ee0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffa419e79e0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffa419e7ae0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffa419e7fe0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffa419e7b50 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffa181352af (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffa18135077 (__TEXT,__text) external _PPParserAttachStream
00007ffa18134efe (__TEXT,__text) external _PPParserAttachString
00007ffa1813df22 (__TEXT,__text) external _PPParserBuildErrorString
00007ffa18134e0f (__TEXT,__text) external _PPParserCreate
00007ffa1813591d (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffa1813c938 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffa18134fc9 (__TEXT,__text) external _PPParserFree
00007ffa1813565a (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffa1813ed8d (__TEXT,__text) external _PPParserGetErrorString
00007ffa1813eda4 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffa1813595c (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffa1813ed42 (__TEXT,__text) external _PPParserGetLimits
00007ffa1813ed80 (__TEXT,__text) external _PPParserGetOptions
00007ffa1813570e (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffa181359fa (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffa1813ed9a (__TEXT,__text) external _PPParserGetStream
00007ffa18133eef (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffa18133f19 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffa18133fcb (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffa18133f5b (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffa1813e028 (__TEXT,__text) non-external _PPParserInherit
00007ffa18134e85 (__TEXT,__text) external _PPParserInit
00007ffa1813ee80 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffa18135040 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffa18133b70 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffa18133b8f (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffa18133cec (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffa18133daf (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffa18133c7b (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffa18133c4c (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffa18133d4a (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffa1813ee2a (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffa1813cd1f (__TEXT,__text) external _PPParserParse
00007ffa1813672c (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffa1813a89a (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffa1813bbab (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffa1813c77b (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffa181361d8 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffa18138ffa (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffa18139b39 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffa181360af (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffa1813aa0b (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffa1813628f (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffa1813ad70 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffa1813a3c8 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffa1813ecb4 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffa18136492 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa1813a736 (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa1813c498 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa1813bc53 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa1813e160 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa18135b08 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa18139c7c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa1813a298 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa18137006 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa18138e70 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa18136375 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa1813a55c (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa1813b139 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa1813e21d (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa1813b5ea (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa1813b497 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa18136e08 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa1813b898 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa1813e084 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa18134234 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa181356b7 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa181358b9 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa18134cb3 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa18133fef (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa18134c1a (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa18134d9c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa18134dd5 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa18134cfe (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa1813ed4f (__TEXT,__text) external _PPParserSetLimits
00007ffa1813ed35 (__TEXT,__text) external _PPParserSetPrefs
00007ffa18134e8b (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa18136884 (__TEXT,__text) non-external _PPParserValidateName
00007ffa18265d50 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa18265e8b (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa18266393 (__TEXT,__text) external _PPStreamAddConstant
00007ffa182662bf (__TEXT,__text) external _PPStreamAddLabel
00007ffa18265fc9 (__TEXT,__text) external _PPStreamAddOperation
00007ffa1826648c (__TEXT,__text) external _PPStreamAddOption
00007ffa18265ef5 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa18265db8 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa18265e22 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa18266423 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa18265aec (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa18265b55 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa18265c7d (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa18265ce7 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa18265f5f (__TEXT,__text) external _PPStreamAddTexImage
00007ffa18267005 (__TEXT,__text) external _PPStreamAttachStream
00007ffa18265245 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa1826781d (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa1826532c (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa18265c5f (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa18265267 (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa18265534 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa18265814 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa182658a8 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa182653f0 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa1826540f (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa18265569 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa182658fc (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa18265722 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa18265605 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa182655a5 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa18265656 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa18265698 (__TEXT,__text) external _PPStreamChunkListSort
00007ffa182676cc (__TEXT,__text) external _PPStreamCompare
00007ffa18265a00 (__TEXT,__text) external _PPStreamCreate
00007ffa18265bbe (__TEXT,__text) external _PPStreamFree
00007ffa182664f2 (__TEXT,__text) external _PPStreamGetStream
00007ffa18266fe3 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa182661c5 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa182660a7 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa18265256 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa182678cb (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa18265234 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa18266353 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa18267f78 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa18267e5c (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa181404dd (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa181411d4 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa18266eb4 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa18266819 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa1814136b (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa181412e7 (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa18266fc4 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa181416e3 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa18141a8a (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa181418e7 (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa181419d4 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa18266fd9 (__TEXT,__text) external _PPStreamTokenFree
00007ffa181404b1 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa18140460 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa182999b0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa18299a70 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa18299b40 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa419e81e0 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa18141b22 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa419e8690 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa1829b930 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa1829b940 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa1829b980 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa1829b950 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa18270af4 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa18270a67 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa18222f71 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa18222918 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa18279d33 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa182227e3 (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa1826f64f (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa1826f5df (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa1826db24 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa1826dabf (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa18270211 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa1826f200 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa182703a8 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa182701c3 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa1826d81b (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa1826db88 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa1826dc04 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa18275dc1 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa1813edf8 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa1813eeee (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00007ffa182228fe (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa18221934 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa18221ad0 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa182207b8 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa18221c59 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa18206a37 (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa18214430 (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa1821439b (__TEXT,__text) external _ShCleanup
00007ffa18213de2 (__TEXT,__text) external _ShCompile
00007ffa18213a1f (__TEXT,__text) external _ShConstructCompiler
00007ffa18213aa4 (__TEXT,__text) external _ShConstructLinker
00007ffa18213b65 (__TEXT,__text) external _ShDestruct
00007ffa18213dd7 (__TEXT,__text) external _ShFinalize
00007ffa182153d0 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa18214bf8 (__TEXT,__text) external _ShGetActiveAttrib
00007ffa182148f4 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa182148df (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa182148b0 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa18216577 (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa18216ae1 (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa18216a2f (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa1821690b (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa182163a3 (__TEXT,__text) external _ShGetActiveUniform
00007ffa18215c07 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa182158a9 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa18215e65 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa18216074 (__TEXT,__text) external _ShGetActiveUniformName
00007ffa18214d57 (__TEXT,__text) external _ShGetAttribLocation
00007ffa18214ae9 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa18216b58 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa18216b6d (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00007ffa18214de5 (__TEXT,__text) external _ShGetContextStateUniforms
00007ffa1821553f (__TEXT,__text) external _ShGetFragDataLocation
00007ffa182143b0 (__TEXT,__text) external _ShGetInfoLog
00007ffa18216b81 (__TEXT,__text) external _ShGetInteger
00007ffa18215074 (__TEXT,__text) external _ShGetLinkerPPStream
00007ffa18216686 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00007ffa182166d4 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00007ffa1821573a (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00007ffa18216277 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00007ffa18214b4c (__TEXT,__text) external _ShGetMaxAttributeLength
00007ffa182152de (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00007ffa1821459c (__TEXT,__text) external _ShGetNumActiveAttributes
00007ffa18215db9 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00007ffa1821666f (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00007ffa182165c3 (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
00007ffa182165a8 (__TEXT,__text) external _ShGetNumActiveSubroutines
