000000022574aacc (__TEXT,__text) external _CGLGetCurrentContext
0000000225741730 (__TEXT,__text) external _glColor3uiv
0000000225741748 (__TEXT,__text) external _glColor3us
0000000225741768 (__TEXT,__text) external _glColor3usv
0000000225741780 (__TEXT,__text) external _glColor4b
00000002257417a4 (__TEXT,__text) external _glColor4bv
00000002257417bc (__TEXT,__text) external _glColor4d
00000002257417d0 (__TEXT,__text) external _glColor4dv
00000002257417e8 (__TEXT,__text) external _glColor4f
00000002257417fc (__TEXT,__text) external _glColor4fv
0000000225741814 (__TEXT,__text) external _glColor4i
0000000225741838 (__TEXT,__text) external _glColor4iv
0000000225741850 (__TEXT,__text) external _glColor4s
0000000225741874 (__TEXT,__text) external _glColor4sv
000000022574188c (__TEXT,__text) external _glColor4ub
00000002257418b0 (__TEXT,__text) external _glColor4ubv
00000002257418c8 (__TEXT,__text) external _glColor4ui
00000002257418ec (__TEXT,__text) external _glColor4uiv
0000000225741904 (__TEXT,__text) external _glColor4us
0000000225741928 (__TEXT,__text) external _glColor4usv
0000000225741940 (__TEXT,__text) external _glColorMask
000000022574a304 (__TEXT,__text) external _glColorMaskIndexedEXT
0000000225745af0 (__TEXT,__text) external _glColorMaski
0000000225741964 (__TEXT,__text) external _glColorMaterial
0000000225741980 (__TEXT,__text) external _glColorPointer
0000000225743ac4 (__TEXT,__text) external _glColorSubTable
00000002257495ac (__TEXT,__text) external _glColorSubTableEXT
00000002257439cc (__TEXT,__text) external _glColorTable
0000000225749580 (__TEXT,__text) external _glColorTableEXT
00000002257439f8 (__TEXT,__text) external _glColorTableParameterfv
0000000225743a18 (__TEXT,__text) external _glColorTableParameteriv
000000022574aa78 (__TEXT,__text) external _glCombinerInputNV
000000022574aa7c (__TEXT,__text) external _glCombinerOutputNV
000000022574aa6c (__TEXT,__text) external _glCombinerParameterfNV
000000022574aa68 (__TEXT,__text) external _glCombinerParameterfvNV
000000022574aa74 (__TEXT,__text) external _glCombinerParameteriNV
000000022574aa70 (__TEXT,__text) external _glCombinerParameterivNV
000000022574aa9c (__TEXT,__text) external _glCombinerStageParameterfvNV
00000002257450ec (__TEXT,__text) external _glCompileShader
0000000225748df4 (__TEXT,__text) external _glCompileShaderARB
00000002257493f8 (__TEXT,__text) external _glCompileShaderIncludeARB
000000022574433c (__TEXT,__text) external _glCompressedTexImage1D
0000000225748828 (__TEXT,__text) external _glCompressedTexImage1DARB
00000002257442e8 (__TEXT,__text) external _glCompressedTexImage2D
00000002257487d4 (__TEXT,__text) external _glCompressedTexImage2DARB
000000022574428c (__TEXT,__text) external _glCompressedTexImage3D
0000000225748778 (__TEXT,__text) external _glCompressedTexImage3DARB
000000022574442c (__TEXT,__text) external _glCompressedTexSubImage1D
0000000225748918 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00000002257443d0 (__TEXT,__text) external _glCompressedTexSubImage2D
00000002257488bc (__TEXT,__text) external _glCompressedTexSubImage2DARB
000000022574436c (__TEXT,__text) external _glCompressedTexSubImage3D
0000000225748858 (__TEXT,__text) external _glCompressedTexSubImage3DARB
0000000225743b18 (__TEXT,__text) external _glConvolutionFilter1D
0000000225743b44 (__TEXT,__text) external _glConvolutionFilter2D
0000000225743b74 (__TEXT,__text) external _glConvolutionParameterf
0000000225743b90 (__TEXT,__text) external _glConvolutionParameterfv
0000000225743bb0 (__TEXT,__text) external _glConvolutionParameteri
0000000225743bd0 (__TEXT,__text) external _glConvolutionParameteriv
0000000225746208 (__TEXT,__text) external _glCopyBufferSubData
0000000225743af0 (__TEXT,__text) external _glCopyColorSubTable
0000000225743a38 (__TEXT,__text) external _glCopyColorTable
0000000225743bf0 (__TEXT,__text) external _glCopyConvolutionFilter1D
0000000225743c18 (__TEXT,__text) external _glCopyConvolutionFilter2D
00000002257419a4 (__TEXT,__text) external _glCopyPixels
00000002257419cc (__TEXT,__text) external _glCopyTexImage1D
00000002257419fc (__TEXT,__text) external _glCopyTexImage2D
0000000225741a50 (__TEXT,__text) external _glCopyTexSubImage1D
0000000225741a7c (__TEXT,__text) external _glCopyTexSubImage2D
0000000225743974 (__TEXT,__text) external _glCopyTexSubImage3D
0000000225745108 (__TEXT,__text) external _glCreateProgram
0000000225748e0c (__TEXT,__text) external _glCreateProgramObjectARB
0000000225745098 (__TEXT,__text) external _glCreateShader
0000000225748db8 (__TEXT,__text) external _glCreateShaderObjectARB
0000000225747098 (__TEXT,__text) external _glCreateShaderProgramv
0000000225741ad0 (__TEXT,__text) external _glCullFace
0000000225744a3c (__TEXT,__text) external _glDeleteBuffers
0000000225748c3c (__TEXT,__text) external _glDeleteBuffersARB
000000022574a5d0 (__TEXT,__text) external _glDeleteFencesAPPLE
000000022574586c (__TEXT,__text) external _glDeleteFramebuffers
0000000225749a48 (__TEXT,__text) external _glDeleteFramebuffersEXT
0000000225741ae8 (__TEXT,__text) external _glDeleteLists
00000002257493dc (__TEXT,__text) external _glDeleteNamedStringARB
0000000225748d6c (__TEXT,__text) external _glDeleteObjectARB
000000022574518c (__TEXT,__text) external _glDeleteProgram
00000002257470d0 (__TEXT,__text) external _glDeleteProgramPipelines
0000000225747b00 (__TEXT,__text) external _glDeleteProgramsARB
0000000225744958 (__TEXT,__text) external _glDeleteQueries
0000000225748b58 (__TEXT,__text) external _glDeleteQueriesARB
00000002257457bc (__TEXT,__text) external _glDeleteRenderbuffers
0000000225749998 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00000002257466a0 (__TEXT,__text) external _glDeleteSamplers
0000000225745058 (__TEXT,__text) external _glDeleteShader
00000002257464ac (__TEXT,__text) external _glDeleteSync
0000000225741b04 (__TEXT,__text) external _glDeleteTextures
0000000225746dbc (__TEXT,__text) external _glDeleteTransformFeedbacks
0000000225745aa0 (__TEXT,__text) external _glDeleteVertexArrays
000000022574a6f0 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
000000022574956c (__TEXT,__text) external _glDepthBoundsEXT
0000000225741b20 (__TEXT,__text) external _glDepthFunc
0000000225741b38 (__TEXT,__text) external _glDepthMask
0000000225741b50 (__TEXT,__text) external _glDepthRange
0000000225747a6c (__TEXT,__text) external _glDepthRangeArrayv
0000000225747a8c (__TEXT,__text) external _glDepthRangeIndexed
0000000225746fc8 (__TEXT,__text) external _glDepthRangef
0000000225748d9c (__TEXT,__text) external _glDetachObjectARB
0000000225745074 (__TEXT,__text) external _glDetachShader
0000000225741b64 (__TEXT,__text) external _glDisable
0000000225741b7c (__TEXT,__text) external _glDisableClientState
000000022574a348 (__TEXT,__text) external _glDisableIndexedEXT
000000022574a48c (__TEXT,__text) external _glDisableVertexAttribAPPLE
0000000225744fc0 (__TEXT,__text) external _glDisableVertexAttribArray
0000000225747f88 (__TEXT,__text) external _glDisableVertexAttribArrayARB
0000000225745b74 (__TEXT,__text) external _glDisablei
0000000225741b94 (__TEXT,__text) external _glDrawArrays
00000002257469c4 (__TEXT,__text) external _glDrawArraysIndirect
000000022574632c (__TEXT,__text) external _glDrawArraysInstanced
00000002257492d0 (__TEXT,__text) external _glDrawArraysInstancedARB
0000000225741bb4 (__TEXT,__text) external _glDrawBuffer
0000000225744b6c (__TEXT,__text) external _glDrawBuffers
000000022574927c (__TEXT,__text) external _glDrawBuffersARB
000000022574a75c (__TEXT,__text) external _glDrawElementArrayAPPLE
0000000225741bcc (__TEXT,__text) external _glDrawElements
00000002257463b0 (__TEXT,__text) external _glDrawElementsBaseVertex
00000002257469e0 (__TEXT,__text) external _glDrawElementsIndirect
0000000225746350 (__TEXT,__text) external _glDrawElementsInstanced
00000002257492f4 (__TEXT,__text) external _glDrawElementsInstancedARB
0000000225746408 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
0000000225741bf0 (__TEXT,__text) external _glDrawPixels
000000022574a77c (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00000002257438a8 (__TEXT,__text) external _glDrawRangeElements
00000002257463d8 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
0000000225749880 (__TEXT,__text) external _glDrawRangeElementsEXT
0000000225746e34 (__TEXT,__text) external _glDrawTransformFeedback
0000000225746e50 (__TEXT,__text) external _glDrawTransformFeedbackStream
0000000225741c18 (__TEXT,__text) external _glEdgeFlag
0000000225741c30 (__TEXT,__text) external _glEdgeFlagPointer
0000000225741c4c (__TEXT,__text) external _glEdgeFlagv
000000022574a740 (__TEXT,__text) external _glElementPointerAPPLE
0000000225741c64 (__TEXT,__text) external _glEnable
0000000225741c7c (__TEXT,__text) external _glEnableClientState
000000022574a32c (__TEXT,__text) external _glEnableIndexedEXT
000000022574a470 (__TEXT,__text) external _glEnableVertexAttribAPPLE
0000000225744fa8 (__TEXT,__text) external _glEnableVertexAttribArray
0000000225747f70 (__TEXT,__text) external _glEnableVertexAttribArrayARB
0000000225745b58 (__TEXT,__text) external _glEnablei
0000000225741c94 (__TEXT,__text) external _glEnd
0000000225745cac (__TEXT,__text) external _glEndConditionalRender
000000022574aa08 (__TEXT,__text) external _glEndConditionalRenderNV
0000000225741ca8 (__TEXT,__text) external _glEndList
00000002257449a8 (__TEXT,__text) external _glEndQuery
0000000225748ba8 (__TEXT,__text) external _glEndQueryARB
0000000225746e90 (__TEXT,__text) external _glEndQueryIndexed
0000000225745bc4 (__TEXT,__text) external _glEndTransformFeedback
0000000225749d10 (__TEXT,__text) external _glEndTransformFeedbackEXT
0000000225741cbc (__TEXT,__text) external _glEvalCoord1d
0000000225741cd0 (__TEXT,__text) external _glEvalCoord1dv
0000000225741ce8 (__TEXT,__text) external _glEvalCoord1f
0000000225741cfc (__TEXT,__text) external _glEvalCoord1fv
0000000225741d14 (__TEXT,__text) external _glEvalCoord2d
0000000225741d28 (__TEXT,__text) external _glEvalCoord2dv
0000000225741d40 (__TEXT,__text) external _glEvalCoord2f
0000000225741d54 (__TEXT,__text) external _glEvalCoord2fv
0000000225741d6c (__TEXT,__text) external _glEvalMesh1
0000000225741d8c (__TEXT,__text) external _glEvalMesh2
0000000225741db4 (__TEXT,__text) external _glEvalPoint1
0000000225741dcc (__TEXT,__text) external _glEvalPoint2
0000000225741de8 (__TEXT,__text) external _glFeedbackBuffer
0000000225746478 (__TEXT,__text) external _glFenceSync
000000022574aa80 (__TEXT,__text) external _glFinalCombinerInputNV
0000000225741e08 (__TEXT,__text) external _glFinish
000000022574a634 (__TEXT,__text) external _glFinishFenceAPPLE
000000022574a668 (__TEXT,__text) external _glFinishObjectAPPLE
000000022574a808 (__TEXT,__text) external _glFinishRenderAPPLE
0000000225741e1c (__TEXT,__text) external _glFlush
0000000225745a68 (__TEXT,__text) external _glFlushMappedBufferRange
000000022574a850 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
000000022574a7f4 (__TEXT,__text) external _glFlushRenderAPPLE
000000022574a6a0 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00000002257444ec (__TEXT,__text) external _glFogCoordPointer
0000000225749860 (__TEXT,__text) external _glFogCoordPointerEXT
00000002257444c0 (__TEXT,__text) external _glFogCoordd
0000000225749834 (__TEXT,__text) external _glFogCoorddEXT
00000002257444d4 (__TEXT,__text) external _glFogCoorddv
0000000225749848 (__TEXT,__text) external _glFogCoorddvEXT
0000000225744494 (__TEXT,__text) external _glFogCoordf
0000000225749808 (__TEXT,__text) external _glFogCoordfEXT
00000002257444a8 (__TEXT,__text) external _glFogCoordfv
000000022574981c (__TEXT,__text) external _glFogCoordfvEXT
0000000225741e30 (__TEXT,__text) external _glFogf
0000000225741e48 (__TEXT,__text) external _glFogfv
0000000225741e64 (__TEXT,__text) external _glFogi
0000000225741e80 (__TEXT,__text) external _glFogiv
0000000225745938 (__TEXT,__text) external _glFramebufferRenderbuffer
0000000225749b14 (__TEXT,__text) external _glFramebufferRenderbufferEXT
0000000225746620 (__TEXT,__text) external _glFramebufferTexture
00000002257458bc (__TEXT,__text) external _glFramebufferTexture1D
0000000225749a98 (__TEXT,__text) external _glFramebufferTexture1DEXT
00000002257458e4 (__TEXT,__text) external _glFramebufferTexture2D
0000000225749ac0 (__TEXT,__text) external _glFramebufferTexture2DEXT
000000022574590c (__TEXT,__text) external _glFramebufferTexture3D
0000000225749ae8 (__TEXT,__text) external _glFramebufferTexture3DEXT
0000000225749c18 (__TEXT,__text) external _glFramebufferTextureEXT
0000000225749c64 (__TEXT,__text) external _glFramebufferTextureFaceEXT
0000000225745a1c (__TEXT,__text) external _glFramebufferTextureLayer
0000000225749c3c (__TEXT,__text) external _glFramebufferTextureLayerEXT
0000000225741e9c (__TEXT,__text) external _glFrontFace
0000000225741eb4 (__TEXT,__text) external _glFrustum
0000000225744a58 (__TEXT,__text) external _glGenBuffers
0000000225748c58 (__TEXT,__text) external _glGenBuffersARB
000000022574a5b4 (__TEXT,__text) external _glGenFencesAPPLE
0000000225745888 (__TEXT,__text) external _glGenFramebuffers
0000000225749a64 (__TEXT,__text) external _glGenFramebuffersEXT
0000000225741ec8 (__TEXT,__text) external _glGenLists
00000002257470ec (__TEXT,__text) external _glGenProgramPipelines
0000000225747b1c (__TEXT,__text) external _glGenProgramsARB
000000022574493c (__TEXT,__text) external _glGenQueries
0000000225748b3c (__TEXT,__text) external _glGenQueriesARB
00000002257457d8 (__TEXT,__text) external _glGenRenderbuffers
00000002257499b4 (__TEXT,__text) external _glGenRenderbuffersEXT
0000000225746684 (__TEXT,__text) external _glGenSamplers
0000000225741ee0 (__TEXT,__text) external _glGenTextures
0000000225746dd8 (__TEXT,__text) external _glGenTransformFeedbacks
0000000225745abc (__TEXT,__text) external _glGenVertexArrays
000000022574a70c (__TEXT,__text) external _glGenVertexArraysAPPLE
0000000225745980 (__TEXT,__text) external _glGenerateMipmap
0000000225749b5c (__TEXT,__text) external _glGenerateMipmapEXT
00000002257455dc (__TEXT,__text) external _glGetActiveAttrib
0000000225749230 (__TEXT,__text) external _glGetActiveAttribARB
0000000225746cd8 (__TEXT,__text) external _glGetActiveSubroutineName
0000000225746cac (__TEXT,__text) external _glGetActiveSubroutineUniformName
0000000225746c84 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
0000000225745514 (__TEXT,__text) external _glGetActiveUniform
000000022574917c (__TEXT,__text) external _glGetActiveUniformARB
00000002257462e4 (__TEXT,__text) external _glGetActiveUniformBlockName
00000002257462c0 (__TEXT,__text) external _glGetActiveUniformBlockiv
000000022574627c (__TEXT,__text) external _glGetActiveUniformName
0000000225746254 (__TEXT,__text) external _glGetActiveUniformsiv
000000022574913c (__TEXT,__text) external _glGetAttachedObjectsARB
0000000225745488 (__TEXT,__text) external _glGetAttachedShaders
0000000225745610 (__TEXT,__text) external _glGetAttribLocation
0000000225749260 (__TEXT,__text) external _glGetAttribLocationARB
0000000225749d98 (__TEXT,__text) external _glGetBooleanIndexedvEXT
0000000225745b18 (__TEXT,__text) external _glGetBooleani_v
0000000225741efc (__TEXT,__text) external _glGetBooleanv
0000000225746600 (__TEXT,__text) external _glGetBufferParameteri64v
0000000225744b2c (__TEXT,__text) external _glGetBufferParameteriv
0000000225748d2c (__TEXT,__text) external _glGetBufferParameterivARB
0000000225744b4c (__TEXT,__text) external _glGetBufferPointerv
0000000225748d4c (__TEXT,__text) external _glGetBufferPointervARB
0000000225744ad4 (__TEXT,__text) external _glGetBufferSubData
0000000225748cd4 (__TEXT,__text) external _glGetBufferSubDataARB
0000000225741f18 (__TEXT,__text) external _glGetClipPlane
0000000225743a60 (__TEXT,__text) external _glGetColorTable
00000002257495d8 (__TEXT,__text) external _glGetColorTableEXT
0000000225743a84 (__TEXT,__text) external _glGetColorTableParameterfv
00000002257495fc (__TEXT,__text) external _glGetColorTableParameterfvEXT
0000000225743aa4 (__TEXT,__text) external _glGetColorTableParameteriv
000000022574961c (__TEXT,__text) external _glGetColorTableParameterivEXT
000000022574aa84 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
000000022574aa88 (__TEXT,__text) external _glGetCombinerInputParameterivNV
000000022574aa8c (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
000000022574aa90 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
000000022574aaa0 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
000000022574445c (__TEXT,__text) external _glGetCompressedTexImage
0000000225748948 (__TEXT,__text) external _glGetCompressedTexImageARB
0000000225743c44 (__TEXT,__text) external _glGetConvolutionFilter
0000000225743c68 (__TEXT,__text) external _glGetConvolutionParameterfv
0000000225743c88 (__TEXT,__text) external _glGetConvolutionParameteriv
0000000225747ac4 (__TEXT,__text) external _glGetDoublei_v
0000000225741f34 (__TEXT,__text) external _glGetDoublev
0000000225741f50 (__TEXT,__text) external _glGetError
000000022574aa94 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
000000022574aa98 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
0000000225747aa4 (__TEXT,__text) external _glGetFloati_v
0000000225741f64 (__TEXT,__text) external _glGetFloatv
0000000225746668 (__TEXT,__text) external _glGetFragDataIndex
0000000225745fc8 (__TEXT,__text) external _glGetFragDataLocation
000000022574a220 (__TEXT,__text) external _glGetFragDataLocationEXT
000000022574595c (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
0000000225749b38 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
0000000225748d84 (__TEXT,__text) external _glGetHandleARB
0000000225743d28 (__TEXT,__text) external _glGetHistogram
0000000225743d50 (__TEXT,__text) external _glGetHistogramParameterfv
0000000225743d70 (__TEXT,__text) external _glGetHistogramParameteriv
0000000225749118 (__TEXT,__text) external _glGetInfoLogARB
00000002257465e0 (__TEXT,__text) external _glGetInteger64i_v
0000000225746504 (__TEXT,__text) external _glGetInteger64v
0000000225749d78 (__TEXT,__text) external _glGetIntegerIndexedvEXT
0000000225745b38 (__TEXT,__text) external _glGetIntegeri_v
0000000225741f80 (__TEXT,__text) external _glGetIntegerv
0000000225749484 (__TEXT,__text) external _glGetInternalformativ
0000000225741f9c (__TEXT,__text) external _glGetLightfv
0000000225741fbc (__TEXT,__text) external _glGetLightiv
0000000225741fdc (__TEXT,__text) external _glGetMapdv
0000000225741ffc (__TEXT,__text) external _glGetMapfv
000000022574201c (__TEXT,__text) external _glGetMapiv
000000022574203c (__TEXT,__text) external _glGetMaterialfv
000000022574205c (__TEXT,__text) external _glGetMaterialiv
0000000225743d90 (__TEXT,__text) external _glGetMinmax
0000000225743db8 (__TEXT,__text) external _glGetMinmaxParameterfv
0000000225743dd8 (__TEXT,__text) external _glGetMinmaxParameteriv
00000002257465a4 (__TEXT,__text) external _glGetMultisamplefv
0000000225749438 (__TEXT,__text) external _glGetNamedStringARB
0000000225749460 (__TEXT,__text) external _glGetNamedStringivARB
000000022574a3fc (__TEXT,__text) external _glGetObjectLabelEXT
00000002257490d8 (__TEXT,__text) external _glGetObjectParameterfvARB
000000022574a8b0 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00000002257490f8 (__TEXT,__text) external _glGetObjectParameterivARB
000000022574207c (__TEXT,__text) external _glGetPixelMapfv
0000000225742098 (__TEXT,__text) external _glGetPixelMapuiv
00000002257420b4 (__TEXT,__text) external _glGetPixelMapusv
00000002257420d0 (__TEXT,__text) external _glGetPointerv
00000002257420ec (__TEXT,__text) external _glGetPolygonStipple
0000000225746ff0 (__TEXT,__text) external _glGetProgramBinary
0000000225748158 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
0000000225748178 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00000002257454d0 (__TEXT,__text) external _glGetProgramInfoLog
0000000225748198 (__TEXT,__text) external _glGetProgramLocalParameterdvARB
00000002257481b8 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
0000000225747158 (__TEXT,__text) external _glGetProgramPipelineInfoLog
0000000225747120 (__TEXT,__text) external _glGetProgramPipelineiv
0000000225746d44 (__TEXT,__text) external _glGetProgramStageiv
00000002257481fc (__TEXT,__text) external _glGetProgramStringARB
0000000225745468 (__TEXT,__text) external _glGetProgramiv
000000022574821c (__TEXT,__text) external _glGetProgramivARB
0000000225746eac (__TEXT,__text) external _glGetQueryIndexediv
0000000225746848 (__TEXT,__text) external _glGetQueryObjecti64v
000000022574a398 (__TEXT,__text) external _glGetQueryObjecti64vEXT
00000002257449e0 (__TEXT,__text) external _glGetQueryObjectiv
0000000225748be0 (__TEXT,__text) external _glGetQueryObjectivARB
0000000225746868 (__TEXT,__text) external _glGetQueryObjectui64v
000000022574a3b8 (__TEXT,__text) external _glGetQueryObjectui64vEXT
0000000225744a00 (__TEXT,__text) external _glGetQueryObjectuiv
0000000225748c00 (__TEXT,__text) external _glGetQueryObjectuivARB
00000002257449c0 (__TEXT,__text) external _glGetQueryiv
0000000225748bc0 (__TEXT,__text) external _glGetQueryivARB
0000000225745818 (__TEXT,__text) external _glGetRenderbufferParameteriv
00000002257499f4 (__TEXT,__text) external _glGetRenderbufferParameterivEXT
00000002257467ec (__TEXT,__text) external _glGetSamplerParameterIiv
000000022574680c (__TEXT,__text) external _glGetSamplerParameterIuiv
00000002257467cc (__TEXT,__text) external _glGetSamplerParameterfv
00000002257467ac (__TEXT,__text) external _glGetSamplerParameteriv
0000000225743ca8 (__TEXT,__text) external _glGetSeparableFilter
00000002257454ac (__TEXT,__text) external _glGetShaderInfoLog
0000000225746fa4 (__TEXT,__text) external _glGetShaderPrecisionFormat
0000000225745590 (__TEXT,__text) external _glGetShaderSource
00000002257491ec (__TEXT,__text) external _glGetShaderSourceARB
0000000225745448 (__TEXT,__text) external _glGetShaderiv
0000000225742104 (__TEXT,__text) external _glGetString
00000002257461ec (__TEXT,__text) external _glGetStringi
0000000225746c64 (__TEXT,__text) external _glGetSubroutineIndex
0000000225746c44 (__TEXT,__text) external _glGetSubroutineUniformLocation
