00007ff841a606e8 (__DATA,__data) non-external _C
00007ff800258c14 (__TEXT,__text) external __Exit
00007ff80024344c (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff800243483 (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff8002436b1 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff8002435ce (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff8002436ca (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800243701 (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff80024382f (__TEXT,__text) non-external __GB2312_mbsinit
00007ff8002437f0 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800243848 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff80024387f (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800243986 (__TEXT,__text) non-external __GBK_mbsinit
00007ff800243947 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff800243db2 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800243de9 (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800244040 (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800243ec2 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff8001f28d2 (__TEXT,__text) external __NSGetArgc
00007ff8001f28c5 (__TEXT,__text) external __NSGetArgv
00007ff8001ec0ed (__TEXT,__text) external __NSGetEnviron
00007ff8001ec176 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff8001f1d1f (__TEXT,__text) external __NSGetProgname
00007ff841a63498 (__DATA,__common) external __PathLocale
00007ff800213ff4 (__TEXT,__text) external __Read_RuneMagi
00007ff800258584 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff8002585d1 (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff8002587b3 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff8002587cd (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff80025872d (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800258954 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800214585 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800215d70 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff8002446e3 (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800216017 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800216660 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff8002446fd (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff8001fd7df (__TEXT,__text) external ___Balloc_D2A
00007ff8001fd9a3 (__TEXT,__text) external ___Bfree_D2A
00007ff80023b504 (__TEXT,__text) external ___ULtod_D2A
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff80022c8be (__TEXT,__text) external ____mb_cur_max
00007ff80022c8ec (__TEXT,__text) external ____mb_cur_max_l
00007ff800204a28 (__TEXT,__text) external ____runetype
00007ff800204a50 (__TEXT,__text) external ____runetype_l
00007ff8002445ec (__TEXT,__text) external ____tolower
00007ff800244545 (__TEXT,__text) external ____tolower_l
00007ff8002446bb (__TEXT,__text) external ____toupper
00007ff800244614 (__TEXT,__text) external ____toupper_l
00007ff80026cd33 (__TEXT,__text) non-external (was a private external) ___abort
00007ff8002370a2 (__TEXT,__text) external ___add_ovflpage
00007ff800236e2c (__TEXT,__text) external ___addel
00007ff800203ae8 (__TEXT,__text) external ___any_on_D2A
00007ff80026bf91 (__TEXT,__text) external ___assert_rtn
00007ff841a3de18 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff800210df1 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff841a3de20 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff8002178a0 (__TEXT,__text) external ___b2d_D2A
00007ff80023575f (__TEXT,__text) external ___big_delete
00007ff800235490 (__TEXT,__text) external ___big_insert
00007ff800235dab (__TEXT,__text) external ___big_keydata
00007ff800235a36 (__TEXT,__text) external ___big_return
00007ff800235f18 (__TEXT,__text) external ___big_split
00007ff80026e360 (__TEXT,__const) external ___bigtens_D2A
00007ff800230604 (__TEXT,__text) external ___bt_close
00007ff800234195 (__TEXT,__text) external ___bt_cmp
00007ff800234235 (__TEXT,__text) external ___bt_defcmp
00007ff80023427a (__TEXT,__text) external ___bt_defpfx
00007ff800230a65 (__TEXT,__text) external ___bt_delete
00007ff800231086 (__TEXT,__text) external ___bt_dleaf
00007ff800231f2a (__TEXT,__text) external ___bt_fd
00007ff800232e12 (__TEXT,__text) non-external ___bt_first
00007ff8002321fd (__TEXT,__text) external ___bt_free
00007ff8002316d9 (__TEXT,__text) external ___bt_get
00007ff80023222e (__TEXT,__text) external ___bt_new
00007ff8002317af (__TEXT,__text) external ___bt_open
00007ff800231423 (__TEXT,__text) non-external ___bt_pdelete
00007ff80023079c (__TEXT,__text) external ___bt_pgin
00007ff800230922 (__TEXT,__text) external ___bt_pgout
00007ff800232281 (__TEXT,__text) external ___bt_put
00007ff800231653 (__TEXT,__text) non-external ___bt_relink
00007ff800233ff8 (__TEXT,__text) external ___bt_ret
00007ff8002327cc (__TEXT,__text) external ___bt_search
00007ff800232a08 (__TEXT,__text) external ___bt_seq
00007ff800232dc8 (__TEXT,__text) external ___bt_setcur
00007ff800232fee (__TEXT,__text) external ___bt_split
00007ff8002306cd (__TEXT,__text) external ___bt_sync
00007ff800236502 (__TEXT,__text) external ___buf_free
00007ff8002364ca (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff841a3b8b0 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff800263641 (__TEXT,__text) non-external ___calc_left_pad
00007ff80023501a (__TEXT,__text) external ___call_hash
00007ff841a60be0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff80026b353 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff80026b365 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff80021ee7a (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff8001f1d8d (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff800226640 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff800226660 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff841a3dea0 (__DATA_DIRTY,__common) external ___cleanup
00007ff8001fe907 (__TEXT,__text) external ___cmp_D2A
00007ff800242038 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff8002421d4 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff80024235a (__TEXT,__text) external ___collate_equiv_match
00007ff80020b601 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff80024186d (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff841a60818 (__DATA,__data) external ___collate_load_error
00007ff800213183 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff841a62ec0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800241b80 (__TEXT,__text) external ___collate_lookup
00007ff80024192a (__TEXT,__text) external ___collate_lookup_l
00007ff800241d45 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800241c40 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff80024278c (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff841a62ec8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff841a62ed0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff800241668 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff800241825 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff800241dfb (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800210de0 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800202cd2 (__TEXT,__text) external ___copybits_D2A
00007ff800226ea1 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff8002268c4 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff841a62590 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff841a63450 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff80025cec8 (__TEXT,__text) non-external ___cvt
00007ff841a633e0 (__DATA,__bss) non-external ___cvt.s
00007ff8001f24fb (__TEXT,__text) external ___cxa_atexit
00007ff800219c13 (__TEXT,__text) external ___cxa_finalize
00007ff800219c4b (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800258c2a (__TEXT,__text) external ___cxa_thread_atexit
00007ff8001fd6b8 (__TEXT,__text) external ___d2b_D2A
00007ff841a3de58 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff800234361 (__TEXT,__text) non-external ___dberr
00007ff80023433c (__TEXT,__text) external ___dbpanic
00007ff80023b070 (__TEXT,__text) external ___decrement_D2A
00007ff841a60710 (__DATA,__data) external ___default_hash
00007ff8002619e2 (__TEXT,__text) external ___default_utx
00007ff841a60b90 (__DATA,__data) non-external ___default_utx.once
00007ff800261a02 (__TEXT,__text) non-external ___default_utx_init
00007ff80023670c (__TEXT,__text) external ___delpair
00007ff8002130f2 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff8001fe7f9 (__TEXT,__text) external ___diff_D2A
00007ff841a3c570 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff8001fc7fc (__TEXT,__text) external ___dtoa
00007ff800261b1e (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff841a3deb0 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff800258c97 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff841a63378 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff80021f4f5 (__TEXT,__text) non-external (was a private external) ___errstr
00007ff80020432b (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800234edf (__TEXT,__text) external ___expand_table
00007ff841a63170 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff8001ffe6b (__TEXT,__text) external ___fflush
00007ff80024968b (__TEXT,__text) external ___fgetwc
00007ff80024af30 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff8002358aa (__TEXT,__text) external ___find_bigpair
00007ff8002359c3 (__TEXT,__text) external ___find_last_page
00007ff80024c490 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff8001ec0fa (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff80026e540 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
00007ff800214ce7 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff80024342b (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800249d08 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff8001fa01e (__TEXT,__text) external ___fread
00007ff800237974 (__TEXT,__text) external ___free_ovflpage
00007ff8001fd9f7 (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff8001ff028 (__TEXT,__text) non-external ___fts_open
00007ff800268da4 (__TEXT,__text) non-external ___fts_open
00007ff800239ca0 (__TEXT,__text) external ___gdtoa
00007ff841a63460 (__DATA,__common) external ___gdtoa_locks
00007ff8002360ad (__TEXT,__text) external ___get_buf
00007ff8002439b3 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff8001f1177 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff8001f119a (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff80021153e (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff80021bed9 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff80023743a (__TEXT,__text) external ___get_page
00007ff80021a660 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff841a3dde0 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
00007ff800224420 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff8002439d6 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff800261be2 (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff800261f49 (__TEXT,__text) non-external ___getutxid
00007ff80021e07c (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff80021dab8 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff80023e396 (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff80021de5c (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff80021d0f4 (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007ff80021dbc2 (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff80021cb5a (__TEXT,__text) non-external ___glob
00007ff80026719a (__TEXT,__text) non-external ___glob
00007ff841a3b2e0 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff800210ea4 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff80023436c (__TEXT,__text) external ___hash_open
00007ff800224100 (__TEXT,__text) external ___hdtoa
00007ff8001fb2e8 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff80026e250 (__TEXT,__const) external ___hexdig_D2A
00007ff80023aebc (__TEXT,__text) external ___hexdig_init_D2A
00007ff80023aed0 (__TEXT,__text) external ___hexnan_D2A
00007ff800200cfa (__TEXT,__text) external ___hi0bits_D2A
00007ff800239a32 (__TEXT,__text) external ___hldtoa
00007ff8001fe49d (__TEXT,__text) external ___i2b_D2A
00007ff8002378bc (__TEXT,__text) external ___ibitmap
00007ff800248436 (__TEXT,__text) non-external ___inaddr_to_index
00007ff80026c94c (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff800203c08 (__TEXT,__text) external ___increment_D2A
00007ff80025c341 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800244223 (__TEXT,__text) external ___isctype
00007ff8002441ba (__TEXT,__text) external ___istype
00007ff800244301 (__TEXT,__text) external ___istype_l
00007ff841a3beb8 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff841a3c560 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff80024399f (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff80025d2e8 (__TEXT,__text) external ___ldtoa
00007ff80022f839 (__TEXT,__text) external ___libc_init
00007ff8001fd8df (__TEXT,__text) external ___lo0bits_D2A
00007ff800204356 (__TEXT,__text) non-external ___loadevp
00007ff841a3b8a8 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff8002366f0 (__TEXT,__text) external ___log2
00007ff841a63480 (__DATA,__common) non-external (was a private external) ___logname
00007ff841a60758 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff80026f2b0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff8001fe6f4 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff8002049d7 (__TEXT,__text) external ___maskrune
00007ff8002442ad (__TEXT,__text) external ___maskrune_l
00007ff80023b033 (__TEXT,__text) external ___match_D2A
00007ff841a60884 (__DATA,__data) external ___mb_cur_max
00007ff841a60888 (__DATA,__data) external ___mb_sb_limit
00007ff8002525ca (__TEXT,__text) non-external ___mbsconv
00007ff800243b56 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff80026b377 (__TEXT,__text) external ___memccpy_chk
00007ff8001f1f6c (__TEXT,__text) external ___memcpy_chk
00007ff8001f28df (__TEXT,__text) external ___memmove_chk
00007ff8001fbf31 (__TEXT,__text) external ___memset_chk
00007ff80021528c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff841a62ed8 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff8002145d2 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff841a62ee8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff8001fe5cd (__TEXT,__text) external ___mult_D2A
00007ff8001fe3fb (__TEXT,__text) external ___multadd_D2A
00007ff8002493d7 (__TEXT,__text) non-external ___nls_free_resources
00007ff80026ebe1 (__TEXT,__const) non-external ___nogrouping
00007ff800200cb9 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff80022c6b4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800214d99 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff841a62ef8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff80021387e (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff8002681ff (__TEXT,__text) external ___opendir2
00007ff8001f1514 (__TEXT,__text) external ___opendir2$INODE64
00007ff8001f28f1 (__TEXT,__text) non-external ___opendir_common
00007ff8002682e2 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff80023213e (__TEXT,__text) external ___ovfl_delete
00007ff800231f77 (__TEXT,__text) external ___ovfl_get
00007ff80023204c (__TEXT,__text) external ___ovfl_put
00007ff800200bc1 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff841a3ddf8 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff841a3ddf0 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff841a3c348 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800214ab5 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff841a63488 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff841a60798 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff8001fe4c0 (__TEXT,__text) external ___pow5mult_D2A
00007ff80026e350 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800260b83 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff80026d122 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff80025f9b9 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff80026cfa8 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff80025faa0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff80026cfcc (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff8002605c0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff80026d012 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800221532 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff80026d033 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff8002611ba (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff80026d192 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff80026119c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800260846 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff80026d0b6 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff8002608e7 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff80026d0d9 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800221500 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff80026d101 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800260cd1 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff80026d150 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800261012 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff80026d171 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff800220c0b (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff8002215af (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800222518 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff80024e323 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff800221d26 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff800261129 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800221a1f (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800260bc2 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff80025f9d4 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff80025fad8 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff80026cfef (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff8002605e3 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff800221db4 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff80026d056 (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff80026d093 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff8002611d5 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff8002611a4 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff80026086f (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800260902 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff800221a92 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff800260cec (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff80026102d (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800219fe0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff841a3c590 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff8002375da (__TEXT,__text) external ___put_page
00007ff80026ecef (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff80026218a (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff800200d66 (__TEXT,__text) external ___quorem_D2A
00007ff8002177fd (__TEXT,__text) external ___ratio_D2A
00007ff8002381b8 (__TEXT,__text) external ___rec_close
00007ff8002384c3 (__TEXT,__text) external ___rec_delete
00007ff8002385cf (__TEXT,__text) external ___rec_dleaf
00007ff800238f42 (__TEXT,__text) external ___rec_fd
00007ff800238a1f (__TEXT,__text) external ___rec_fmap
00007ff8002387c3 (__TEXT,__text) external ___rec_fpipe
00007ff8002386d3 (__TEXT,__text) external ___rec_get
00007ff80023924c (__TEXT,__text) external ___rec_iput
00007ff800238bf7 (__TEXT,__text) external ___rec_open
00007ff800238f90 (__TEXT,__text) external ___rec_put
00007ff8002397e8 (__TEXT,__text) external ___rec_ret
00007ff800239489 (__TEXT,__text) external ___rec_search
00007ff800239630 (__TEXT,__text) external ___rec_seq
00007ff800238274 (__TEXT,__text) external ___rec_sync
00007ff800238b40 (__TEXT,__text) external ___rec_vmap
00007ff8002388f1 (__TEXT,__text) external ___rec_vpipe
00007ff8002365d2 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800203b4b (__TEXT,__text) external ___rshift_D2A
00007ff80026e070 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007ff8002029b4 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
00007ff8001fd968 (__TEXT,__text) external ___rv_alloc_D2A
00007ff8001fe327 (__TEXT,__text) external ___s2b_D2A
00007ff841a3bec0 (__DATA_DIRTY,__data) external ___sF
00007ff841a3c090 (__DATA_DIRTY,__data) non-external ___sFX
00007ff800210a8e (__TEXT,__text) external ___sclose
00007ff841a3c5e0 (__DATA_DIRTY,__bss) non-external ___scounted
00007ff841a3de40 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff80023b0a1 (__TEXT,__text) external ___set_ones_D2A
00007ff8001f18a6 (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00007ff8002439e2 (__TEXT,__text) external ___setonlyClocaleconv
00007ff800213aad (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff841a630d8 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff841a630e0 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff8002636d0 (__TEXT,__text) non-external ___setup_vars
