00007ffb43c11818 (__DATA,__data) non-external _.compoundliteral
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetMainBundle (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFStringGetMaximumSizeForEncoding (from CoreFoundation)
00007ffb0b26c9c5 (__TEXT,__text) non-external _CPPelse
00007ffb0b26d4c7 (__TEXT,__text) non-external _CPPerror
00007ffb0b26d68f (__TEXT,__text) non-external _CPPextension
00007ffb0b26cc25 (__TEXT,__text) non-external _CPPif
00007ffb0b26cce5 (__TEXT,__text) non-external _CPPifdef
00007ffb0b26ce1a (__TEXT,__text) non-external _CPPinclude
00007ffb0b26d085 (__TEXT,__text) non-external _CPPline
00007ffb0b26d236 (__TEXT,__text) non-external _CPPpragma
00007ffb0b26d437 (__TEXT,__text) non-external _CPPundef
00007ffb0b26d591 (__TEXT,__text) non-external _CPPversion
00007ffb0b2c6879 (__TEXT,__text) non-external _CheckRemoveAvailableCopyTable
00007ffb0b2c5002 (__TEXT,__text) non-external _ClearDestedOpRegisters
00007ffb0b2c6838 (__TEXT,__text) non-external _ClearJumpTable
00007ffb0b2c4fa1 (__TEXT,__text) non-external _ClearRegisterState
00007ffb0b2c29a4 (__TEXT,__text) non-external (was a private external) _ConstantPropagateFold
00007ffb0b2ba7f3 (__TEXT,__text) non-external (was a private external) _DeadCodeEliminationSimple
00007ffb0b2c2c86 (__TEXT,__text) non-external (was a private external) _DecomposeMatrixOps
00007ffb0b2be410 (__TEXT,__text) non-external (was a private external) _DetectConstantLoopsSimple
00007ffb0b254680 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00007ffb0b2c0143 (__TEXT,__text) non-external _EmulateOp
00007ffb0b2c4f61 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00007ffb0b2c4f20 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00007ffb0b26bc14 (__TEXT,__text) non-external _FindHashLoc
00007ffb0b2c6b4f (__TEXT,__text) non-external _FindMatchingAvailableCopy
00007ffb0b252f70 (__TEXT,__text) non-external (was a private external) _FinishType
00007ffb0b2bd28a (__TEXT,__text) non-external (was a private external) _FlattenIf
00007ffb0b2bd101 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00007ffb0b26bbab (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00007ffb0b26bf53 (__TEXT,__text) non-external (was a private external) _FreeCPP
00007ffb0b26e70b (__TEXT,__text) non-external (was a private external) _FreeScanner
00007ffb0b18620c (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00007ffb0b18bfdc (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00007ffb41752630 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00007ffb0b2e8dd0 (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00007ffb43c117f8 (__DATA,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00007ffb0b2e7fc0 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00007ffb41754670 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00007ffb0b2e8de0 (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00007ffb0b2e7f70 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00007ffb0b26b831 (__TEXT,__text) non-external (was a private external) _GetAtomString
00007ffb0b2bf5fc (__TEXT,__text) non-external _GetOpRegs
00007ffb0b2bced4 (__TEXT,__text) non-external _GetOrAddBlock
00007ffb0b2c2c4e (__TEXT,__text) non-external _GetRegChunk
00007ffb0b2bb844 (__TEXT,__text) non-external _GetRegister
00007ffb0b2c4e80 (__TEXT,__text) non-external _GetRegisterIndicies
00007ffb0b2be2fd (__TEXT,__text) non-external _GetRegisterTypeInfo
00007ffb0b26b884 (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00007ffb0b2c6ab4 (__TEXT,__text) non-external _GetStreamArray
00007ffb0b26bb97 (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00007ffb0b26b9f7 (__TEXT,__text) non-external _GrowAtomTable
00007ffb43c117b0 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00007ffb0b2b98f8 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00007ffb0b2b9898 (__TEXT,__text) non-external (was a private external) _HashSetFree
00007ffb0b2b99ce (__TEXT,__text) non-external (was a private external) _HashSetGet
00007ffb0b2b9ae4 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00007ffb0b2b9ad3 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00007ffb0b2b97cd (__TEXT,__text) non-external (was a private external) _HashSetNew
00007ffb0b2b9a4b (__TEXT,__text) non-external (was a private external) _HashSetRemove
00007ffb0b2b9c34 (__TEXT,__text) non-external (was a private external) _HashTableAdd
00007ffb0b2b9bac (__TEXT,__text) non-external (was a private external) _HashTableFree
00007ffb0b2b9d71 (__TEXT,__text) non-external (was a private external) _HashTableGet
00007ffb0b2b9b5e (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00007ffb0b26b89e (__TEXT,__text) non-external (was a private external) _InitAtomTable
00007ffb0b26bd79 (__TEXT,__text) non-external (was a private external) _InitCPP
00007ffb0b252fb1 (__TEXT,__text) non-external (was a private external) _InitReg
00007ffb0b26e6c0 (__TEXT,__text) non-external (was a private external) _InitScanner
00007ffb0b2bbc78 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00007ffb0b2bc5a4 (__TEXT,__text) non-external (was a private external) _InstructionFree
00007ffb0b2bbd36 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00007ffb0b2bf6f6 (__TEXT,__text) non-external _IsBadUsage
00007ffb0b254821 (__TEXT,__text) non-external (was a private external) _Load
00007ffb0b26b600 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00007ffb0b26b6b2 (__TEXT,__text) non-external _LookUpAddStringHash
00007ffb0b270535 (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00007ffb0b27059c (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00007ffb0b26d7e0 (__TEXT,__text) non-external (was a private external) _MacroExpand
00007ffb0b270db8 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00007ffb0b27039d (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00007ffb0b2705e4 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00007ffb41751350 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00007ffb41750ff0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00007ffb41751570 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00007ffb417516b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00007ffb417511b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00007ffb417512b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00007ffb417517b0 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00007ffb41751320 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00007ffb0b181383 (__TEXT,__text) external _PPParserAttachLLVMIR
00007ffb0b18114b (__TEXT,__text) external _PPParserAttachStream
00007ffb0b180fcd (__TEXT,__text) external _PPParserAttachString
00007ffb0b18aeba (__TEXT,__text) external _PPParserBuildErrorString
00007ffb0b180ee1 (__TEXT,__text) external _PPParserCreate
00007ffb0b181a85 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00007ffb0b1897a9 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00007ffb0b18109d (__TEXT,__text) external _PPParserFree
00007ffb0b18175a (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00007ffb0b18bfbb (__TEXT,__text) external _PPParserGetErrorString
00007ffb0b18bfd2 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00007ffb0b181ac4 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00007ffb0b18bf70 (__TEXT,__text) external _PPParserGetLimits
00007ffb0b18bfae (__TEXT,__text) external _PPParserGetOptions
00007ffb0b18180d (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00007ffb0b181bc7 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00007ffb0b18bfc8 (__TEXT,__text) external _PPParserGetStream
00007ffb0b180077 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00007ffb0b1800a6 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00007ffb0b18015d (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00007ffb0b1800e8 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00007ffb0b18b042 (__TEXT,__text) non-external _PPParserInherit
00007ffb0b180f5c (__TEXT,__text) external _PPParserInit
00007ffb0b18c0b8 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00007ffb0b181114 (__TEXT,__text) non-external _PPParserLabelsFree
00007ffb0b17fcc0 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00007ffb0b17fce4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00007ffb0b17fe50 (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00007ffb0b17ff33 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00007ffb0b17fddf (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00007ffb0b17fdab (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00007ffb0b17feae (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00007ffb0b18c05d (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00007ffb0b189c0d (__TEXT,__text) external _PPParserParse
00007ffb0b182bb0 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00007ffb0b187298 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00007ffb0b1887f3 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00007ffb0b18958c (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00007ffb0b1824d3 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00007ffb0b1855dc (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00007ffb0b186261 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00007ffb0b182357 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00007ffb0b187463 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00007ffb0b1825e4 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00007ffb0b187810 (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00007ffb0b186c0e (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00007ffb0b18be88 (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00007ffb0b1828b5 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffb0b1870da (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffb0b189260 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffb0b1888f5 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffb0b18b1c6 (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffb0b181d45 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffb0b1863fe (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffb0b186a84 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffb0b183586 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffb0b1853f8 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffb0b182724 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffb0b186df8 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffb0b187c19 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffb0b18b2dd (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffb0b188185 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffb0b187fca (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffb0b18330c (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffb0b18847c (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffb0b18b09e (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffb0b1802f9 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffb0b1817b7 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffb0b181a1e (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffb0b180da0 (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffb0b180181 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffb0b180d02 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffb0b180e6e (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffb0b180ea7 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffb0b180deb (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffb0b18bf7d (__TEXT,__text) external _PPParserSetLimits
00007ffb0b18bf63 (__TEXT,__text) external _PPParserSetPrefs
00007ffb0b180f62 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffb0b182d72 (__TEXT,__text) non-external _PPParserValidateName
00007ffb0b2b2921 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffb0b2b2a2d (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffb0b2b2f1c (__TEXT,__text) external _PPStreamAddConstant
00007ffb0b2b2e48 (__TEXT,__text) external _PPStreamAddLabel
00007ffb0b2b2b3b (__TEXT,__text) external _PPStreamAddOperation
00007ffb0b2b2ff3 (__TEXT,__text) external _PPStreamAddOption
00007ffb0b2b2a87 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffb0b2b2979 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffb0b2b29d3 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffb0b2b2f99 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffb0b2b26f5 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffb0b2b274f (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffb0b2b286d (__TEXT,__text) external _PPStreamAddTempUsage
00007ffb0b2b28c7 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffb0b2b2ae1 (__TEXT,__text) external _PPStreamAddTexImage
00007ffb0b2b3b17 (__TEXT,__text) external _PPStreamAttachStream
00007ffb0b2b1e39 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffb0b2b4260 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffb0b2b1f20 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffb0b2b284a (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffb0b2b1e5b (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffb0b2b2130 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffb0b2b240e (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffb0b2b24a0 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffb0b2b1fe4 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffb0b2b2008 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffb0b2b2165 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffb0b2b2500 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffb0b2b2315 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffb0b2b21fb (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffb0b2b21a1 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffb0b2b2245 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffb0b2b2283 (__TEXT,__text) external _PPStreamChunkListSort
00007ffb0b2b410f (__TEXT,__text) external _PPStreamCompare
00007ffb0b2b2604 (__TEXT,__text) external _PPStreamCreate
00007ffb0b2b27a9 (__TEXT,__text) external _PPStreamFree
00007ffb0b2b3048 (__TEXT,__text) external _PPStreamGetStream
00007ffb0b2b3af5 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffb0b2b2d41 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffb0b2b2c1e (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffb0b2b1e4a (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffb0b2b4327 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffb0b2b1e28 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffb0b2b2edc (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffb0b2b4a22 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffb0b2b4904 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffb0b18d6ee (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffb0b18e3f8 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffb0b2b39b4 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffb0b2b33a7 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffb0b18e58e (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffb0b18e50f (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffb0b2b3ad1 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffb0b18e9b7 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffb0b18ed75 (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffb0b18ebcf (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffb0b18ecc3 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffb0b2b3aeb (__TEXT,__text) external _PPStreamTokenFree
00007ffb0b18d6c2 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffb0b18d670 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffb0b2e5360 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffb0b2e5420 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffb0b2e54f0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffb417519b0 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffb0b18ee14 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffb41751e60 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffb0b2e86f0 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffb0b2e8700 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffb0b2e8740 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffb0b2e8710 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffb0b2bd0cc (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffb0b2bd02b (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffb0b270e68 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffb0b270844 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffb0b2c6670 (__TEXT,__text) non-external _RecordFunctionCall
00007ffb0b27070f (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffb0b2bbb83 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffb0b2bbb13 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffb0b2ba491 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffb0b2ba42c (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffb0b2bc79a (__TEXT,__text) non-external (was a private external) _Registerify
00007ffb0b2bb881 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffb0b2bc931 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffb0b2bc74c (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffb0b2ba1bd (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffb0b2ba4e7 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffb0b2ba55f (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffb0b2c26c3 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffb0b18c026 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffb0b27082a (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffb0b26f820 (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffb0b26f9c9 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffb0b26e744 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffb0b26fb6b (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffb0b25472f (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffb0b2620cc (__TEXT,__text) external _ShAttributeBindingRequest
00007ffb0b262037 (__TEXT,__text) external _ShCleanup
00007ffb0b261a7a (__TEXT,__text) external _ShCompile
00007ffb0b2616af (__TEXT,__text) external _ShConstructCompiler
00007ffb0b261739 (__TEXT,__text) external _ShConstructLinker
00007ffb0b2617ff (__TEXT,__text) external _ShDestruct
00007ffb0b261a6f (__TEXT,__text) external _ShFinalize
00007ffb0b2630c5 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffb0b2628d5 (__TEXT,__text) external _ShGetActiveAttrib
00007ffb0b2625ac (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffb0b262597 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffb0b262569 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffb0b26426b (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffb0b26482b (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffb0b26476a (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffb0b264611 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffb0b264078 (__TEXT,__text) external _ShGetActiveUniform
00007ffb0b263863 (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffb0b2635ce (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffb0b263af0 (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffb0b263d20 (__TEXT,__text) external _ShGetActiveUniformName
00007ffb0b262a37 (__TEXT,__text) external _ShGetAttribLocation
00007ffb0b2627c0 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffb0b2648a2 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffb0b2648b7 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
