00007ff909a2241f (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff909a1c830 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00007ff909a20c5d (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00007ff909a0caa8 (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00007ff909a0e238 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00007ff909a0e15e (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00007ff909a0e017 (__TEXT,__text) non-external -[AKELData initWithURL:]
00007ff909a0de5d (__TEXT,__text) non-external -[AKELData init]
00007ff909a0e1ff (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00007ff909a0e125 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00007ff909a0dc03 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00007ff909a0e10f (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00007ff909a22883 (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00007ff909a227fb (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00007ff909a228a9 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00007ff909a22895 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00007ff909a2284d (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00007ff909a2289f (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00007ff909a139ff (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00007ff909a13104 (__TEXT,__text) non-external -[BundleData dealloc]
00007ff909a2409b (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff909a13611 (__TEXT,__text) non-external -[BundleData doReload]
00007ff909a139bb (__TEXT,__text) non-external -[BundleData forceReload]
00007ff909a1319f (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff909a130f6 (__TEXT,__text) non-external -[BundleData init]
00007ff909a139d7 (__TEXT,__text) non-external -[BundleData isSigned]
00007ff909a1364d (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff909a13959 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff909a13306 (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff909a240f9 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff909a2412d (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff909a139f5 (__TEXT,__text) non-external -[BundleData timestamp]
00007ff909a139cd (__TEXT,__text) non-external -[BundleData url]
00007ff909a139eb (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff909a139e1 (__TEXT,__text) non-external -[BundleData version]
00007ff909a221e1 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff909a221b3 (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff909a2211f (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff909a221c6 (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff909a2206e (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff909a221bd (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff909a221d0 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff909a21634 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff909a0f0e5 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff909a0f09b (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff909a0f080 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff909a0f04a (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff909a0f065 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff909a0f0ca (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff909a0f0a5 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff909a0f08a (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff909a0f054 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff909a0f06f (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff909a0f0d4 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff909a0f0c0 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff909a0f0b6 (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff909a20b30 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff909a20596 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00007ff909a209bf (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff909a1f87a (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff909a1f91e (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff909a1fcbd (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff909a1fd72 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff909a1fbdd (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff909a209f1 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff909a1ffda (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00007ff909a2081d (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00007ff909a25359 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00007ff909a1eed0 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff909a20271 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff909a1fb4b (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff909a209d3 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff909a2050f (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00007ff909a204af (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00007ff909a1fa15 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff909a1ef39 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff909a250af (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff909a25138 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff909a251b3 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff909a251e6 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff909a25219 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff909a25294 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff909a1eec2 (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff909a20a04 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff909a208ad (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00007ff909a20a11 (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00007ff909a20a69 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff909a20ad5 (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00007ff909a20085 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff909a20a43 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff909a1ff9c (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff909a20a50 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff909a20047 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff909a1f7eb (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff909a209e7 (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff909a20acb (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff909a209c9 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff909a209a1 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff909a209b5 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff909a20aa7 (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff909a20159 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff909a20301 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00007ff909a20a9a (__TEXT,__text) non-external -[PolicyScanTarget setBackingStore:]
00007ff909a209fb (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff909a20abf (__TEXT,__text) non-external -[PolicyScanTarget setCsflags:]
00007ff909a20a8e (__TEXT,__text) non-external -[PolicyScanTarget setHasPowerfulEntitlements:]
00007ff909a20a82 (__TEXT,__text) non-external -[PolicyScanTarget setHasResourceDirectorySlot:]
00007ff909a20a1e (__TEXT,__text) non-external -[PolicyScanTarget setIsBadAppWrapper:]
00007ff909a20a76 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff909a20ae2 (__TEXT,__text) non-external -[PolicyScanTarget setIsMovedToTrash:]
00007ff909a20a5d (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff909a20ab3 (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff909a20afb (__TEXT,__text) non-external -[PolicyScanTarget setTrashedURL:]
00007ff909a20a37 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff909a20b1c (__TEXT,__text) non-external -[PolicyScanTarget setValidationCategory:]
00007ff909a1fee7 (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff909a1fb1a (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff909a1fa42 (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff909a1fe32 (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff909a2033d (__TEXT,__text) non-external -[PolicyScanTarget trashedMainExe]
00007ff909a20aee (__TEXT,__text) non-external -[PolicyScanTarget trashedURL]
00007ff909a20a2a (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff909a20997 (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff909a20b0f (__TEXT,__text) non-external -[PolicyScanTarget validationCategory]
00007ff909a209dd (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff909a209ab (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff909a0c670 (__TEXT,__text) non-external -[ProvenanceEntry .cxx_destruct]
00007ff909a0c1a1 (__TEXT,__text) non-external -[ProvenanceEntry attributes]
00007ff909a0c655 (__TEXT,__text) non-external -[ProvenanceEntry bundleID]
00007ff909a0c63a (__TEXT,__text) non-external -[ProvenanceEntry cdhash]
00007ff909a0c412 (__TEXT,__text) non-external -[ProvenanceEntry createMetadata]
00007ff909a0c333 (__TEXT,__text) non-external -[ProvenanceEntry description]
00007ff909a0c5b3 (__TEXT,__text) non-external -[ProvenanceEntry flags]
00007ff909a0c22a (__TEXT,__text) non-external -[ProvenanceEntry redactedDescription]
00007ff909a0c5ce (__TEXT,__text) non-external -[ProvenanceEntry rootID]
00007ff909a0c65f (__TEXT,__text) non-external -[ProvenanceEntry setBundleID:]
00007ff909a0c644 (__TEXT,__text) non-external -[ProvenanceEntry setCdhash:]
00007ff909a0c5bd (__TEXT,__text) non-external -[ProvenanceEntry setFlags:]
00007ff909a0c5d8 (__TEXT,__text) non-external -[ProvenanceEntry setRootID:]
00007ff909a0c629 (__TEXT,__text) non-external -[ProvenanceEntry setSigningID:]
00007ff909a0c60e (__TEXT,__text) non-external -[ProvenanceEntry setTeamID:]
00007ff909a0c5a2 (__TEXT,__text) non-external -[ProvenanceEntry setUniqueID:]
00007ff909a0c5f3 (__TEXT,__text) non-external -[ProvenanceEntry setUrl:]
00007ff909a0c61f (__TEXT,__text) non-external -[ProvenanceEntry signingID]
00007ff909a0c604 (__TEXT,__text) non-external -[ProvenanceEntry teamID]
00007ff909a0c598 (__TEXT,__text) non-external -[ProvenanceEntry uniqueID]
00007ff909a0c5e9 (__TEXT,__text) non-external -[ProvenanceEntry url]
00007ff909a227d3 (__TEXT,__text) non-external -[SPBundleProtection .cxx_destruct]
00007ff909a226c1 (__TEXT,__text) non-external -[SPBundleProtection dealloc]
00007ff909a225f0 (__TEXT,__text) non-external -[SPBundleProtection init]
00007ff909a22703 (__TEXT,__text) non-external -[SPBundleProtection sendMetricFromTCCWithURL:withPID:withError:]
00007ff909a22e84 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff909a22e16 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff909a22cec (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff909a22c1b (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff909a22d2e (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff909a22dec (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff909a22e71 (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff909a22e66 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff909a22d5a (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff909a22e79 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff909a15d8f (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff909a15d67 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff909a15d7b (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff909a15b57 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff909a15d3f (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff909a1594d (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff909a15676 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff909a15668 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff909a15d85 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff909a15d49 (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff909a15d71 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff909a15d53 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff909a15d5d (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff909a18dec (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff909a1828d (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff909a181a4 (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff909a18d31 (__TEXT,__text) non-external -[SPExecutionPolicy allowGatekeeperPolicy:error:]
00007ff909a1813f (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff909a17e8f (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff909a17c15 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff909a17d9f (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff909a1846a (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff909a18902 (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperInsightEnabled:]
00007ff909a18beb (__TEXT,__text) non-external -[SPExecutionPolicy getGatekeeperPolicyWithError:]
00007ff909a186fe (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00007ff909a17b9a (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff909a18553 (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff909a189ed (__TEXT,__text) non-external -[SPExecutionPolicy isFastGatekeeperOverrideModeEnabled]
00007ff909a18c76 (__TEXT,__text) non-external -[SPExecutionPolicy isGatekeeperPolicyAllowed:error:]
00007ff909a18132 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff909a18a47 (__TEXT,__text) non-external -[SPExecutionPolicy logGatekeeperOverrideForURL:withError:]
00007ff909a17c5f (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff909a17c57 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff909a18376 (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff909a189d3 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightDefault:]
00007ff909a187b9 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperInsightEnabled:error:]
00007ff909a18b30 (__TEXT,__text) non-external -[SPExecutionPolicy setGatekeeperPolicy:error:]
00007ff909a17c75 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff909a1863c (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00007ff909a14fe3 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff909a145ec (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff909a2418a (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff909a24211 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff909a24298 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff909a24331 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff909a243ca (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff909a24424 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff909a24458 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff909a150d7 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff909a145a3 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00007ff909a14599 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00007ff909a14571 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00007ff909a14318 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00007ff909a140c9 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00007ff909a13f9f (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00007ff909a13f91 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00007ff909a14553 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00007ff909a1458f (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00007ff909a1457b (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00007ff909a14585 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00007ff909a1455d (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00007ff909a14567 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00007ff909a1ee9a (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00007ff909a1ebb4 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00007ff909a1eb72 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00007ff909a1ea87 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00007ff909a1ed16 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00007ff909a1ece7 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00007ff909a15fbe (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00007ff909a15f50 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00007ff909a15df9 (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00007ff909a15f92 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00007ff909a1b21a (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00007ff909a1b1ca (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
