00000001d81bcd38 (__TEXT,__text) external _AMFDRDecodeCertificate
00000001d81bf4b8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.15
00000001d81bf3d8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.16
00000001d81bf218 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.2
00000001d81bf250 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.3
00000001d81bf288 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.4
00000001d81bf2c0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.5
00000001d81bf2f8 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.6
00000001d81bf330 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.7
00000001d81bf368 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.8
00000001d81bf3a0 (__TEXT,__text) non-external _AMFDRDecodeVerifyTestStationManifest.cold.9
00000001d81b4718 (__TEXT,__text) non-external (was a private external) _AMFDRTagsStringToTag
                 (undefined) external _AMSupportDigestSha1 (from libamsupport)
                 (undefined) external _AMSupportDigestSha256 (from libamsupport)
                 (undefined) external _AMSupportDigestSha384 (from libamsupport)
                 (undefined) external _AMSupportEcDsaVerifySignature (from libamsupport)
                 (undefined) external _AMSupportLogFormat (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha1 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha256 (from libamsupport)
                 (undefined) external _AMSupportRsaVerifySignatureSha384 (from libamsupport)
00000001d81c0490 (__TEXT,__const) non-external (was a private external) _DERAlgorithmIdItemSpecs
00000001d81c0408 (__TEXT,__const) non-external (was a private external) _DERAttributeTypeAndValueItemSpecs
00000001d81bb620 (__TEXT,__text) non-external (was a private external) _DERDecodeItem
00000001d81bb628 (__TEXT,__text) non-external (was a private external) _DERDecodeItemPartialBufferGetLength
00000001d81bbad8 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqContentInit
00000001d81bba1c (__TEXT,__text) non-external (was a private external) _DERDecodeSeqInit
00000001d81bbb04 (__TEXT,__text) non-external (was a private external) _DERDecodeSeqNext
00000001d81c0440 (__TEXT,__const) non-external (was a private external) _DERExtensionItemSpecs
00000001d81bfe00 (__TEXT,__const) non-external (was a private external) _DERFDR2DataItemSpecs
00000001d81bfdb8 (__TEXT,__const) non-external (was a private external) _DERFDRCombinedItemSpecs
00000001d81c0250 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertItemSpecs
00000001d81c01f0 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertPropertyItemSpecs
00000001d81c0220 (__TEXT,__const) non-external (was a private external) _DERFDRImage4CertSignedSectionItemSpecs
00000001d81bfe48 (__TEXT,__const) non-external (was a private external) _DERFDRItemSpecs
00000001d81c0070 (__TEXT,__const) non-external (was a private external) _DERFDRMetaPropertyItemSpecs
00000001d81c0010 (__TEXT,__const) non-external (was a private external) _DERFDRMetadataRecordItemSpecs
00000001d81c0190 (__TEXT,__const) non-external (was a private external) _DERFDRMultiCombinedItemSpecs
00000001d81c0040 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseErrorItemSpecs
00000001d81bfef0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseItemSpecs
00000001d81bff20 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponsePayloadItemSpecs
00000001d81bffb0 (__TEXT,__const) non-external (was a private external) _DERFDRMultiResponseRecordItemSpecs
00000001d81bff68 (__TEXT,__const) non-external (was a private external) _DERFDRMultiSealingResponsePayloadItemSpecs
00000001d81bfe78 (__TEXT,__const) non-external (was a private external) _DERFDRTrustObjectItemSpecs
                 (undefined) external _DERImg4DecodeContentFindItemWithTag (from libamsupport)
                 (undefined) external _DERImg4DecodeFindProperty (from libamsupport)
                 (undefined) external _DERImg4DecodeFindPropertyInSequence (from libamsupport)
                 (undefined) external _DERImg4DecodeManifest (from libamsupport)
                 (undefined) external _DERImg4DecodeProperty (from libamsupport)
                 (undefined) external _DERImg4DecodePropertyWithItem (from libamsupport)
00000001d81c04c0 (__TEXT,__const) non-external (was a private external) _DERNumAlgorithmIdItemSpecs
00000001d81c0438 (__TEXT,__const) non-external (was a private external) _DERNumAttributeTypeAndValueItemSpecs
00000001d81c0488 (__TEXT,__const) non-external (was a private external) _DERNumExtensionItemSpecs
00000001d81c0400 (__TEXT,__const) non-external (was a private external) _DERNumSignedCertCrlItemSpecs
00000001d81c04f8 (__TEXT,__const) non-external (was a private external) _DERNumSubjPubKeyInfoItemSpecs
00000001d81bbf4c (__TEXT,__text) non-external (was a private external) _DEROidCompare
00000001d81bb818 (__TEXT,__text) non-external (was a private external) _DERParseBitString
00000001d81bb8d8 (__TEXT,__text) non-external (was a private external) _DERParseBooleanWithDefault
00000001d81bb918 (__TEXT,__text) non-external (was a private external) _DERParseInteger
00000001d81bb99c (__TEXT,__text) non-external (was a private external) _DERParseInteger64
00000001d81bbc90 (__TEXT,__text) non-external (was a private external) _DERParseSequenceContentToObject
00000001d81bbbc4 (__TEXT,__text) non-external (was a private external) _DERParseSequenceToObject
00000001d81c03b8 (__TEXT,__const) non-external (was a private external) _DERSignedCertCrlItemSpecs
00000001d81c04c8 (__TEXT,__const) non-external (was a private external) _DERSubjPubKeyInfoItemSpecs
00000001d81c0118 (__TEXT,__const) non-external (was a private external) _DERSysconfigItemSpecs
00000001d81c00a0 (__TEXT,__const) non-external (was a private external) _DERSysconfigPayloadItemSpecs
00000001d81c02b0 (__TEXT,__const) non-external (was a private external) _FDRDERTBSCertItemSpecs
                 (undefined) external _Img4DecodeEvaluateDictionaryProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateManifestProperties (from libamsupport)
                 (undefined) external _Img4DecodeEvaluateObjectProperties (from libamsupport)
                 (undefined) external _Img4DecodeGetManifest (from libamsupport)
                 (undefined) external _Img4DecodeGetObjectPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeGetPayload (from libamsupport)
                 (undefined) external _Img4DecodeGetPayloadType (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyBoolean (from libamsupport)
                 (undefined) external _Img4DecodeGetPropertyData (from libamsupport)
                 (undefined) external _Img4DecodeInit (from libamsupport)
                 (undefined) external _Img4DecodeInitManifest (from libamsupport)
                 (undefined) external _Img4DecodePerformManifestTrustEvaluationWithCallbacks (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluatation (from libamsupport)
                 (undefined) external _Img4DecodePerformTrustEvaluationWithCallbacks (from libamsupport)
00000001d81bb410 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d81bb444 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001d81bb524 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001d81bb530 (__TEXT,__text) non-external _OUTLINED_FUNCTION_11
00000001d81bb53c (__TEXT,__text) non-external _OUTLINED_FUNCTION_12
00000001d81bb548 (__TEXT,__text) non-external _OUTLINED_FUNCTION_13
00000001d81bb56c (__TEXT,__text) non-external _OUTLINED_FUNCTION_14
00000001d81bb590 (__TEXT,__text) non-external _OUTLINED_FUNCTION_15
00000001d81bb59c (__TEXT,__text) non-external _OUTLINED_FUNCTION_16
00000001d81bb5b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_17
00000001d81bb5c4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_18
00000001d81bb5d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_19
00000001d81bb47c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001d81bb5dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_20
00000001d81bb5e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_21
00000001d81bb5f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_22
00000001d81bb600 (__TEXT,__text) non-external _OUTLINED_FUNCTION_23
00000001d81bb48c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001d81bb49c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001d81bb4ac (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001d81bb4d0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001d81bb4dc (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001d81bb4f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001d81bb514 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000001d81b7b0c (__TEXT,__text) non-external __AMFDRDecodeCombined
00000001d81bbfa0 (__TEXT,__text) non-external __AMFDRDecodeComputeDigest
00000001d81b6cf4 (__TEXT,__text) non-external __AMFDRDecodeDERFDRItem
00000001d81b5130 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties
00000001d81beb7c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.1
00000001d81bed74 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.10
00000001d81bedac (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.11
00000001d81bebb4 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.2
00000001d81bebec (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.3
00000001d81bec24 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.4
00000001d81bec5c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.5
00000001d81bec94 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.6
00000001d81beccc (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.7
00000001d81bed04 (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.8
00000001d81bed3c (__TEXT,__text) non-external __AMFDRDecodeEvaluateCertificateProperties.cold.9
00000001d81b56b4 (__TEXT,__text) non-external __AMFDRDecodeEvaluateTestStationCertificateProperties
00000001d81ba32c (__TEXT,__text) non-external __AMFDRDecodeFilterDataInstanceCallback
00000001d81bac98 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined
00000001d81bf804 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.1
00000001d81bf848 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.2
00000001d81bf880 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.3
00000001d81bf8d0 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.4
00000001d81bf908 (__TEXT,__text) non-external __AMFDRDecodeFindDataFromMultiCombined.cold.5
00000001d81b9880 (__TEXT,__text) non-external __AMFDRDecodeGetDataInstCallback
00000001d81b5eec (__TEXT,__text) non-external __AMFDRDecodeGetExpectedManifestHash
00000001d81b7f2c (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData
00000001d81bf4f0 (__TEXT,__text) non-external __AMFDRDecodeGetPayloadSeqAndSetManifestFromMultiCombinedData.cold.1
00000001d81ba4c4 (__TEXT,__text) non-external __AMFDRDecodeInstPropertyMatchingWithType
00000001d81bdb60 (__TEXT,__text) non-external __AMFDRDecodeMultiResposeRecords
00000001d81bd738 (__TEXT,__text) non-external __AMFDRDecodeMultiSealingResposeRecords
00000001d81bcf38 (__TEXT,__text) non-external __AMFDRDecodeParseExtension
00000001d81b5f38 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback
00000001d81bee28 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.1
00000001d81bee60 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.2
00000001d81bee98 (__TEXT,__text) non-external __AMFDRDecodePropertiesFilterCallback.cold.3
00000001d81bcc50 (__TEXT,__text) non-external __AMFDRDecodePubKey
00000001d81ba698 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList
00000001d81bf75c (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.1
00000001d81bf794 (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.2
00000001d81bf7cc (__TEXT,__text) non-external __AMFDRDecodeSearchEntryFromPropertyList.cold.3
00000001d81bb1c4 (__TEXT,__text) non-external __AMFDRDecodeSequenceString
00000001d81bf9e8 (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.1
00000001d81bfa20 (__TEXT,__text) non-external __AMFDRDecodeSequenceString.cold.2
00000001d81b8594 (__TEXT,__text) non-external __AMFDRDecodeTolerateErrorsForOptions
00000001d81b8bc0 (__TEXT,__text) non-external __AMFDRDecodeVerifyCertIssuerInternal
00000001d81b4730 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain
00000001d81be9a4 (__TEXT,__text) non-external __AMFDRDecodeVerifyChain.cold.1
00000001d81b54c8 (__TEXT,__text) non-external __AMFDRDecodeVerifyChainOffline
00000001d81ba7d0 (__TEXT,__text) non-external __AMFDRDecodeVerifyData
00000001d81b56bc (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback
00000001d81bede4 (__TEXT,__text) non-external __AMFDRDecodeVerifyDataCallback.cold.1
00000001d81b9c54 (__TEXT,__text) non-external __AMFDRDecodeVerifySealingManifestCallback
00000001d81b9fbc (__TEXT,__text) non-external __AMFDRDecodeVerifySealingRequestCallback
00000001d81b4e24 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature
00000001d81be9f4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.1
00000001d81bea2c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.2
00000001d81bea64 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.3
00000001d81bea9c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.4
00000001d81bead4 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.5
00000001d81beb0c (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.6
00000001d81beb44 (__TEXT,__text) non-external __AMFDRDecodeVerifySignature.cold.7
00000001d81baec0 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid
00000001d81bf940 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.1
00000001d81bf978 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.2
00000001d81bf940 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.3
00000001d81bf9b0 (__TEXT,__text) non-external __AMFDRDecodeVerifySignatureDataWithOid.cold.4
00000001d81b9aa8 (__TEXT,__text) non-external __AMFDRDecodeVerifyTrustObject
00000001e8685698 (__DATA_CONST,__const) non-external ____oidAppleFDRClientID
00000001e86856a8 (__DATA_CONST,__const) non-external ____oidAppleSecureBootCertificateProperties
00000001d81c03a0 (__TEXT,__const) non-external ___oidAppleFDRClientID
00000001d81c03a9 (__TEXT,__const) non-external ___oidAppleSecureBootCertificateProperties
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001edcab850 (__DATA_DIRTY,__bss) non-external __logHandler
00000001d81c055a (__TEXT,__const) non-external __oidAnsip224r1
00000001d81c055f (__TEXT,__const) non-external __oidAnsip384r1
00000001d81c0552 (__TEXT,__const) non-external __oidEcPrime256v1
00000001d81c0524 (__TEXT,__const) non-external __oidEcPubKey
00000001d81c0500 (__TEXT,__const) non-external __oidRsa
00000001d81c053b (__TEXT,__const) non-external __oidSha1
00000001d81c0509 (__TEXT,__const) non-external __oidSha1Rsa
00000001d81c0540 (__TEXT,__const) non-external __oidSha256
00000001d81c052b (__TEXT,__const) non-external __oidSha256Ecdsa
00000001d81c0512 (__TEXT,__const) non-external __oidSha256Rsa
00000001d81c0549 (__TEXT,__const) non-external __oidSha384
00000001d81c0533 (__TEXT,__const) non-external __oidSha384Ecdsa
00000001d81c051b (__TEXT,__const) non-external __oidSha384Rsa
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _free (from libSystem)
00000001f5505bc0 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeClientCallback
00000001ecacf9f0 (__DATA,__data) non-external (was a private external) _kAMFDRDecodeEcdsaInfoList
00000001e8685678 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP224
00000001e8685638 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP256
00000001e8685658 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDecodeEcdsaInfoP384
00000001f5505b50 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationOffline
00000001f5505ae0 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha1
00000001f5505b18 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationSha384
00000001f5505b88 (__AUTH_CONST,__const) non-external (was a private external) _kAMFDRDecodeImplementationTestStationSha1
00000001e8685608 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha1
00000001e8685620 (__DATA_CONST,__const) non-external (was a private external) _kAMFDRDigestInfoSha384
00000001d81bfda4 (__TEXT,__const) non-external (was a private external) _kFDRDecodeMetaPropertyTagStr_minimalManifest
00000001d81bfce0 (__TEXT,__const) non-external (was a private external) _kFDRKnownTag
00000001d81bfccf (__TEXT,__const) non-external (was a private external) _kFDRTagStr_CRTP
00000001d81bfcca (__TEXT,__const) non-external (was a private external) _kFDRTagStr_IM4C
00000001d81bfc98 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_comb
00000001d81bfcbb (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdr2
00000001d81bfcac (__TEXT,__const) non-external (was a private external) _kFDRTagStr_fdrd
00000001d81bfcd4 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mcmb
00000001d81bfcc0 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_mft2
00000001d81bfc9d (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rssl
00000001d81bfca7 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_rvok
00000001d81bfcb1 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_secb
00000001d81bfcb6 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_sreq
00000001d81bfcc5 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trpk
00000001d81bfca2 (__TEXT,__const) non-external (was a private external) _kFDRTagStr_trst
                 (undefined) external _kImg4TagStr_IM4M (from libamsupport)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
00000001e8685768 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip224r1
00000001e8685778 (__DATA_CONST,__const) non-external (was a private external) _oidAnsip384r1
00000001e8685758 (__DATA_CONST,__const) non-external (was a private external) _oidEcPrime256v1
00000001e86856f8 (__DATA_CONST,__const) non-external (was a private external) _oidEcPubKey
00000001e86856b8 (__DATA_CONST,__const) non-external (was a private external) _oidRsa
00000001e8685728 (__DATA_CONST,__const) non-external (was a private external) _oidSha1
