00000001b60d5804 (__TEXT,__text) non-external +[DDLog addLogger:]
00000001b60dabf4 (__TEXT,__text) non-external -[DDFileLogger willRemoveLogger]
00000001b60d96b0 (__TEXT,__text) non-external -[DDLogFileFormatterDefault .cxx_destruct]
00000001b60d95f0 (__TEXT,__text) non-external -[DDLogFileFormatterDefault formatLogMessage:]
00000001b60d9534 (__TEXT,__text) non-external -[DDLogFileFormatterDefault initWithDateFormatter:]
00000001b60d952c (__TEXT,__text) non-external -[DDLogFileFormatterDefault init]
00000001b60db808 (__TEXT,__text) non-external -[DDLogFileInfo .cxx_destruct]
00000001b60db4bc (__TEXT,__text) non-external -[DDLogFileInfo addExtendedAttributeWithName:]
00000001b60dafc4 (__TEXT,__text) non-external -[DDLogFileInfo age]
00000001b60daec8 (__TEXT,__text) non-external -[DDLogFileInfo creationDate]
00000001b60db00c (__TEXT,__text) non-external -[DDLogFileInfo description]
00000001b60dad6c (__TEXT,__text) non-external -[DDLogFileInfo fileAttributes]
00000001b60dadec (__TEXT,__text) non-external -[DDLogFileInfo fileName]
00000001b60db800 (__TEXT,__text) non-external -[DDLogFileInfo filePath]
00000001b60daf48 (__TEXT,__text) non-external -[DDLogFileInfo fileSize]
00000001b60db43c (__TEXT,__text) non-external -[DDLogFileInfo hasExtendedAttributeWithName:]
00000001b60dacf0 (__TEXT,__text) non-external -[DDLogFileInfo initWithFilePath:]
00000001b60db25c (__TEXT,__text) non-external -[DDLogFileInfo isArchived]
00000001b60db648 (__TEXT,__text) non-external -[DDLogFileInfo isEqual:]
00000001b60dae48 (__TEXT,__text) non-external -[DDLogFileInfo modificationDate]
00000001b60db580 (__TEXT,__text) non-external -[DDLogFileInfo removeExtendedAttributeWithName:]
00000001b60db2e0 (__TEXT,__text) non-external -[DDLogFileInfo renameFile:]
00000001b60db284 (__TEXT,__text) non-external -[DDLogFileInfo reset]
00000001b60db6d8 (__TEXT,__text) non-external -[DDLogFileInfo reverseCompareByCreationDate:]
00000001b60db76c (__TEXT,__text) non-external -[DDLogFileInfo reverseCompareByModificationDate:]
00000001b60db268 (__TEXT,__text) non-external -[DDLogFileInfo setIsArchived:]
00000001b60d9520 (__TEXT,__text) non-external -[DDLogFileManagerDefault .cxx_destruct]
00000001b60d93bc (__TEXT,__text) non-external -[DDLogFileManagerDefault createNewLogFile]
00000001b60d8554 (__TEXT,__text) non-external -[DDLogFileManagerDefault dealloc]
00000001b60d88a4 (__TEXT,__text) non-external -[DDLogFileManagerDefault defaultLogsDirectory]
00000001b60d8734 (__TEXT,__text) non-external -[DDLogFileManagerDefault deleteOldLogFiles]
00000001b60d9340 (__TEXT,__text) non-external -[DDLogFileManagerDefault generateShortUUID]
00000001b60d847c (__TEXT,__text) non-external -[DDLogFileManagerDefault initWithLogsDirectory:]
00000001b60d8474 (__TEXT,__text) non-external -[DDLogFileManagerDefault init]
00000001b60d8a80 (__TEXT,__text) non-external -[DDLogFileManagerDefault isLogFile:]
00000001b60d89ac (__TEXT,__text) non-external -[DDLogFileManagerDefault logsDirectory]
00000001b60d9510 (__TEXT,__text) non-external -[DDLogFileManagerDefault maximumNumberOfLogFiles]
00000001b60d85a8 (__TEXT,__text) non-external -[DDLogFileManagerDefault observeValueForKeyPath:ofObject:change:context:]
00000001b60d9518 (__TEXT,__text) non-external -[DDLogFileManagerDefault setMaximumNumberOfLogFiles:]
00000001b60d92e0 (__TEXT,__text) non-external -[DDLogFileManagerDefault sortedLogFileInfos]
00000001b60d9178 (__TEXT,__text) non-external -[DDLogFileManagerDefault sortedLogFileNames]
00000001b60d9010 (__TEXT,__text) non-external -[DDLogFileManagerDefault sortedLogFilePaths]
00000001b60d8ea0 (__TEXT,__text) non-external -[DDLogFileManagerDefault unsortedLogFileInfos]
00000001b60d8d38 (__TEXT,__text) non-external -[DDLogFileManagerDefault unsortedLogFileNames]
00000001b60d8b68 (__TEXT,__text) non-external -[DDLogFileManagerDefault unsortedLogFilePaths]
00000001b60d72a4 (__TEXT,__text) non-external -[DDLogMessage .cxx_destruct]
00000001b60d722c (__TEXT,__text) non-external -[DDLogMessage dealloc]
00000001b60d71cc (__TEXT,__text) non-external -[DDLogMessage fileName]
00000001b60d6f8c (__TEXT,__text) non-external -[DDLogMessage initWithLogMsg:level:flag:context:file:function:line:tag:options:]
00000001b60d71d8 (__TEXT,__text) non-external -[DDLogMessage methodName]
00000001b60d7174 (__TEXT,__text) non-external -[DDLogMessage threadID]
00000001b60d6f48 (__TEXT,__text) non-external -[DDLoggerNode .cxx_destruct]
00000001b60d6f10 (__TEXT,__text) non-external -[DDLoggerNode dealloc]
00000001b60d6de0 (__TEXT,__text) non-external -[DDLoggerNode initWithLogger:loggerQueue:]
00000001b60dbe60 (__TEXT,__text) non-external -[DDTTYLogger .cxx_destruct]
00000001b60db8d8 (__TEXT,__text) non-external -[DDTTYLogger init]
00000001b60dba98 (__TEXT,__text) non-external -[DDTTYLogger logMessage:]
00000001b60dbe54 (__TEXT,__text) non-external -[DDTTYLogger loggerName]
00000001b60c8750 (__TEXT,__text) non-external -[GCDAsyncReadPacket .cxx_destruct]
00000001b60c8080 (__TEXT,__text) non-external -[GCDAsyncReadPacket ensureCapacityForAdditionalDataOfLength:]
00000001b60c7f38 (__TEXT,__text) non-external -[GCDAsyncReadPacket initWithData:startOffset:maxLength:timeout:readLength:terminator:tag:]
00000001b60c80e4 (__TEXT,__text) non-external -[GCDAsyncReadPacket optimalReadLengthWithDefault:shouldPreBuffer:]
00000001b60c8178 (__TEXT,__text) non-external -[GCDAsyncReadPacket readLengthForNonTermWithHint:]
00000001b60c8264 (__TEXT,__text) non-external -[GCDAsyncReadPacket readLengthForTermWithHint:shouldPreBuffer:]
00000001b60c8374 (__TEXT,__text) non-external -[GCDAsyncReadPacket readLengthForTermWithPreBuffer:found:]
00000001b60c864c (__TEXT,__text) non-external -[GCDAsyncReadPacket searchForTermAfterPreBuffering:]
00000001b60c891c (__TEXT,__text) non-external -[GCDAsyncSendfilePacket .cxx_destruct]
00000001b60c8844 (__TEXT,__text) non-external -[GCDAsyncSendfilePacket initWithSendfile:offset:length:timeout:tag:countBytesWritten:]
00000001b60d55a0 (__TEXT,__text) non-external -[GCDAsyncSocket .cxx_destruct]
00000001b60ca078 (__TEXT,__text) non-external -[GCDAsyncSocket acceptOnIPv4Socket:IPv6Socket:unixSocket:error:]
00000001b60ca088 (__TEXT,__text) non-external -[GCDAsyncSocket acceptOnIPv4Socket:IPv6Socket:unixSocket:interface:port:error:]
00000001b60ca05c (__TEXT,__text) non-external -[GCDAsyncSocket acceptOnInterface:port:error:]
00000001b60ca040 (__TEXT,__text) non-external -[GCDAsyncSocket acceptOnPort:error:]
00000001b60d22b4 (__TEXT,__text) non-external -[GCDAsyncSocket asyncQueuePacket:]
00000001b60d4e94 (__TEXT,__text) non-external -[GCDAsyncSocket autoDisconnectOnClosedReadStream]
00000001b60cd9fc (__TEXT,__text) non-external -[GCDAsyncSocket badConfigError:]
00000001b60cda80 (__TEXT,__text) non-external -[GCDAsyncSocket badParamError:]
00000001b60cd294 (__TEXT,__text) non-external -[GCDAsyncSocket closeWithError:]
00000001b60d1b80 (__TEXT,__text) non-external -[GCDAsyncSocket completeCurrentRead]
00000001b60d2fe8 (__TEXT,__text) non-external -[GCDAsyncSocket completeCurrentWrite]
00000001b60cdf08 (__TEXT,__text) non-external -[GCDAsyncSocket connectTimeoutError]
00000001b60cbc54 (__TEXT,__text) non-external -[GCDAsyncSocket connectToAddress:error:]
00000001b60cbc70 (__TEXT,__text) non-external -[GCDAsyncSocket connectToAddress:viaInterface:withTimeout:error:]
00000001b60cbc64 (__TEXT,__text) non-external -[GCDAsyncSocket connectToAddress:withTimeout:error:]
00000001b60cb760 (__TEXT,__text) non-external -[GCDAsyncSocket connectToHost:onPort:error:]
00000001b60cb774 (__TEXT,__text) non-external -[GCDAsyncSocket connectToHost:onPort:viaInterface:withTimeout:error:]
00000001b60cb768 (__TEXT,__text) non-external -[GCDAsyncSocket connectToHost:onPort:withTimeout:error:]
00000001b60cc6fc (__TEXT,__text) non-external -[GCDAsyncSocket connectWithAddress4:address6:error:]
00000001b60cf2c4 (__TEXT,__text) non-external -[GCDAsyncSocket connectedAddress]
00000001b60ced04 (__TEXT,__text) non-external -[GCDAsyncSocket connectedHost4]
00000001b60ced48 (__TEXT,__text) non-external -[GCDAsyncSocket connectedHost6]
00000001b60cee74 (__TEXT,__text) non-external -[GCDAsyncSocket connectedHostFromSocket4:]
00000001b60cef1c (__TEXT,__text) non-external -[GCDAsyncSocket connectedHostFromSocket6:]
00000001b60ce674 (__TEXT,__text) non-external -[GCDAsyncSocket connectedHost]
00000001b60ced8c (__TEXT,__text) non-external -[GCDAsyncSocket connectedPort4]
00000001b60ceda4 (__TEXT,__text) non-external -[GCDAsyncSocket connectedPort6]
00000001b60cefa0 (__TEXT,__text) non-external -[GCDAsyncSocket connectedPortFromSocket4:]
00000001b60cf030 (__TEXT,__text) non-external -[GCDAsyncSocket connectedPortFromSocket6:]
00000001b60ce848 (__TEXT,__text) non-external -[GCDAsyncSocket connectedPort]
00000001b60ce2d8 (__TEXT,__text) non-external -[GCDAsyncSocket connectionClosedError]
00000001b60c9e78 (__TEXT,__text) non-external -[GCDAsyncSocket countedBytesWritten]
00000001b60c8cb0 (__TEXT,__text) non-external -[GCDAsyncSocket dealloc]
00000001b60c9010 (__TEXT,__text) non-external -[GCDAsyncSocket delegateQueue]
00000001b60c8d94 (__TEXT,__text) non-external -[GCDAsyncSocket delegate]
00000001b60ccba4 (__TEXT,__text) non-external -[GCDAsyncSocket didConnect:]
00000001b60ccfcc (__TEXT,__text) non-external -[GCDAsyncSocket didNotConnect:error:]
00000001b60cd848 (__TEXT,__text) non-external -[GCDAsyncSocket disconnectAfterReadingAndWriting]
00000001b60cd6a8 (__TEXT,__text) non-external -[GCDAsyncSocket disconnectAfterReading]
00000001b60cd778 (__TEXT,__text) non-external -[GCDAsyncSocket disconnectAfterWriting]
00000001b60cd5a8 (__TEXT,__text) non-external -[GCDAsyncSocket disconnect]
00000001b60cb1a4 (__TEXT,__text) non-external -[GCDAsyncSocket doAccept:]
00000001b60cd23c (__TEXT,__text) non-external -[GCDAsyncSocket doConnectTimeout]
00000001b60d0fa4 (__TEXT,__text) non-external -[GCDAsyncSocket doReadData]
00000001b60d1918 (__TEXT,__text) non-external -[GCDAsyncSocket doReadEOF]
00000001b60d21e0 (__TEXT,__text) non-external -[GCDAsyncSocket doReadTimeoutWithExtension:]
00000001b60d1fac (__TEXT,__text) non-external -[GCDAsyncSocket doReadTimeout]
00000001b60d289c (__TEXT,__text) non-external -[GCDAsyncSocket doWriteData]
00000001b60e1344 (__TEXT,__text) non-external -[GCDAsyncSocket doWriteData].cold.1
00000001b60d3524 (__TEXT,__text) non-external -[GCDAsyncSocket doWriteTimeoutWithExtension:]
00000001b60d32f4 (__TEXT,__text) non-external -[GCDAsyncSocket doWriteTimeout]
00000001b60cd1c0 (__TEXT,__text) non-external -[GCDAsyncSocket endConnectTimeout]
00000001b60d1e28 (__TEXT,__text) non-external -[GCDAsyncSocket endCurrentRead]
00000001b60d3170 (__TEXT,__text) non-external -[GCDAsyncSocket endCurrentWrite]
00000001b60cdbcc (__TEXT,__text) non-external -[GCDAsyncSocket errnoErrorWithReason:]
00000001b60cdcd0 (__TEXT,__text) non-external -[GCDAsyncSocket errnoError]
00000001b60d0d64 (__TEXT,__text) non-external -[GCDAsyncSocket flushSSLBuffers]
00000001b60cdb04 (__TEXT,__text) non-external -[GCDAsyncSocket gaiError:]
00000001b60c9238 (__TEXT,__text) non-external -[GCDAsyncSocket getDelegate:delegateQueue:]
00000001b60cfc4c (__TEXT,__text) non-external -[GCDAsyncSocket getInterfaceAddress4:address6:fromDescription:port:]
00000001b60c89d8 (__TEXT,__text) non-external -[GCDAsyncSocket initWithDelegate:delegateQueue:]
00000001b60c89e0 (__TEXT,__text) non-external -[GCDAsyncSocket initWithDelegate:delegateQueue:socketQueue:]
00000001b60c89c8 (__TEXT,__text) non-external -[GCDAsyncSocket initWithSocketQueue:]
00000001b60c89b8 (__TEXT,__text) non-external -[GCDAsyncSocket init]
00000001b60ce564 (__TEXT,__text) non-external -[GCDAsyncSocket isConnected]
00000001b60ce450 (__TEXT,__text) non-external -[GCDAsyncSocket isDisconnected]
00000001b60c9630 (__TEXT,__text) non-external -[GCDAsyncSocket isIPv4Enabled]
00000001b60c99b4 (__TEXT,__text) non-external -[GCDAsyncSocket isIPv4PreferredOverIPv6]
00000001b60cf990 (__TEXT,__text) non-external -[GCDAsyncSocket isIPv4]
00000001b60c97f0 (__TEXT,__text) non-external -[GCDAsyncSocket isIPv6Enabled]
00000001b60cfa7c (__TEXT,__text) non-external -[GCDAsyncSocket isIPv6]
00000001b60cfb68 (__TEXT,__text) non-external -[GCDAsyncSocket isSecure]
00000001b60cf514 (__TEXT,__text) non-external -[GCDAsyncSocket localAddress]
00000001b60cf764 (__TEXT,__text) non-external -[GCDAsyncSocket localAddresses]
00000001b60cedbc (__TEXT,__text) non-external -[GCDAsyncSocket localHost4]
00000001b60cee00 (__TEXT,__text) non-external -[GCDAsyncSocket localHost6]
00000001b60cf09c (__TEXT,__text) non-external -[GCDAsyncSocket localHostFromSocket4:]
00000001b60cf144 (__TEXT,__text) non-external -[GCDAsyncSocket localHostFromSocket6:]
00000001b60ce9bc (__TEXT,__text) non-external -[GCDAsyncSocket localHost]
00000001b60cee44 (__TEXT,__text) non-external -[GCDAsyncSocket localPort4]
00000001b60cee5c (__TEXT,__text) non-external -[GCDAsyncSocket localPort6]
00000001b60cf1c8 (__TEXT,__text) non-external -[GCDAsyncSocket localPortFromSocket4:]
00000001b60cf258 (__TEXT,__text) non-external -[GCDAsyncSocket localPortFromSocket6:]
00000001b60ceb90 (__TEXT,__text) non-external -[GCDAsyncSocket localPort]
00000001b60d51d8 (__TEXT,__text) non-external -[GCDAsyncSocket logBuffer:length:prefix:]
00000001b60cc634 (__TEXT,__text) non-external -[GCDAsyncSocket lookup:didFail:]
00000001b60cc4a0 (__TEXT,__text) non-external -[GCDAsyncSocket lookup:didSucceedWithAddress4:address6:]
00000001b60cc074 (__TEXT,__text) non-external -[GCDAsyncSocket lookup:host:port:]
00000001b60d5058 (__TEXT,__text) non-external -[GCDAsyncSocket markSocketQueueTargetQueue:]
00000001b60cd918 (__TEXT,__text) non-external -[GCDAsyncSocket maybeClose]
00000001b60d0b84 (__TEXT,__text) non-external -[GCDAsyncSocket maybeDequeueRead]
00000001b60d2704 (__TEXT,__text) non-external -[GCDAsyncSocket maybeDequeueWrite]
00000001b60d3768 (__TEXT,__text) non-external -[GCDAsyncSocket maybeStartTLS]
00000001b60ce3cc (__TEXT,__text) non-external -[GCDAsyncSocket otherError:]
00000001b60d5084 (__TEXT,__text) non-external -[GCDAsyncSocket performBlock:]
00000001b60cb534 (__TEXT,__text) non-external -[GCDAsyncSocket preConnectWithInterface:error:]
00000001b60d09a8 (__TEXT,__text) non-external -[GCDAsyncSocket progressOfReadReturningTag:bytesDone:total:]
00000001b60d252c (__TEXT,__text) non-external -[GCDAsyncSocket progressOfWriteReturningTag:bytesDone:total:]
00000001b60d07f8 (__TEXT,__text) non-external -[GCDAsyncSocket readDataToData:withTimeout:buffer:bufferOffset:maxLength:tag:]
00000001b60d07d8 (__TEXT,__text) non-external -[GCDAsyncSocket readDataToData:withTimeout:buffer:bufferOffset:tag:]
00000001b60d07e4 (__TEXT,__text) non-external -[GCDAsyncSocket readDataToData:withTimeout:maxLength:tag:]
00000001b60d07c4 (__TEXT,__text) non-external -[GCDAsyncSocket readDataToData:withTimeout:tag:]
00000001b60d0648 (__TEXT,__text) non-external -[GCDAsyncSocket readDataToLength:withTimeout:buffer:bufferOffset:tag:]
00000001b60d0638 (__TEXT,__text) non-external -[GCDAsyncSocket readDataToLength:withTimeout:tag:]
00000001b60d04c4 (__TEXT,__text) non-external -[GCDAsyncSocket readDataWithTimeout:buffer:bufferOffset:maxLength:tag:]
00000001b60d04b8 (__TEXT,__text) non-external -[GCDAsyncSocket readDataWithTimeout:buffer:bufferOffset:tag:]
00000001b60d04a4 (__TEXT,__text) non-external -[GCDAsyncSocket readDataWithTimeout:tag:]
00000001b60cdffc (__TEXT,__text) non-external -[GCDAsyncSocket readMaxedOutError]
00000001b60ce0f0 (__TEXT,__text) non-external -[GCDAsyncSocket readTimeoutError]
00000001b60c9b78 (__TEXT,__text) non-external -[GCDAsyncSocket receiveBufferSize]
00000001b60c9f84 (__TEXT,__text) non-external -[GCDAsyncSocket resetCountedBytesWritten]
00000001b60d03f0 (__TEXT,__text) non-external -[GCDAsyncSocket resumeReadSource]
00000001b60d0468 (__TEXT,__text) non-external -[GCDAsyncSocket resumeWriteSource]
00000001b60d4f80 (__TEXT,__text) non-external -[GCDAsyncSocket setAutoDisconnectOnClosedReadStream:]
00000001b60c9000 (__TEXT,__text) non-external -[GCDAsyncSocket setDelegate:]
00000001b60c9620 (__TEXT,__text) non-external -[GCDAsyncSocket setDelegate:delegateQueue:]
00000001b60c9424 (__TEXT,__text) non-external -[GCDAsyncSocket setDelegate:delegateQueue:synchronously:]
00000001b60c8f08 (__TEXT,__text) non-external -[GCDAsyncSocket setDelegate:synchronously:]
00000001b60c9228 (__TEXT,__text) non-external -[GCDAsyncSocket setDelegateQueue:]
00000001b60c9130 (__TEXT,__text) non-external -[GCDAsyncSocket setDelegateQueue:synchronously:]
00000001b60c971c (__TEXT,__text) non-external -[GCDAsyncSocket setIPv4Enabled:]
00000001b60c98dc (__TEXT,__text) non-external -[GCDAsyncSocket setIPv6Enabled:]
00000001b60c9aa0 (__TEXT,__text) non-external -[GCDAsyncSocket setPreferIPv4OverIPv6:]
00000001b60c9bdc (__TEXT,__text) non-external -[GCDAsyncSocket setReceiveBufferSize:]
00000001b60c9d7c (__TEXT,__text) non-external -[GCDAsyncSocket setUserData:]
00000001b60d0068 (__TEXT,__text) non-external -[GCDAsyncSocket setupReadAndWriteSourcesForNewlyConnectedSocket:]
00000001b60d1e78 (__TEXT,__text) non-external -[GCDAsyncSocket setupReadTimerWithTimeout:]
00000001b60d31c0 (__TEXT,__text) non-external -[GCDAsyncSocket setupWriteTimerWithTimeout:]
00000001b60d5138 (__TEXT,__text) non-external -[GCDAsyncSocket socket4FD]
00000001b60d5170 (__TEXT,__text) non-external -[GCDAsyncSocket socket6FD]
00000001b60d50f4 (__TEXT,__text) non-external -[GCDAsyncSocket socketFD]
00000001b60d51a8 (__TEXT,__text) non-external -[GCDAsyncSocket sslContext]
00000001b60cdda4 (__TEXT,__text) non-external -[GCDAsyncSocket sslError:]
00000001b60d3780 (__TEXT,__text) non-external -[GCDAsyncSocket sslReadWithBuffer:length:]
00000001b60d3934 (__TEXT,__text) non-external -[GCDAsyncSocket sslWriteWithBuffer:length:]
00000001b60d4948 (__TEXT,__text) non-external -[GCDAsyncSocket ssl_continueSSLHandshake]
00000001b60d39f8 (__TEXT,__text) non-external -[GCDAsyncSocket ssl_startTLS]
00000001b60cd08c (__TEXT,__text) non-external -[GCDAsyncSocket startConnectTimeout:]
00000001b60d35f8 (__TEXT,__text) non-external -[GCDAsyncSocket startTLS:]
00000001b60d03b4 (__TEXT,__text) non-external -[GCDAsyncSocket suspendReadSource]
00000001b60d042c (__TEXT,__text) non-external -[GCDAsyncSocket suspendWriteSource]
00000001b60c9008 (__TEXT,__text) non-external -[GCDAsyncSocket synchronouslySetDelegate:]
00000001b60c9628 (__TEXT,__text) non-external -[GCDAsyncSocket synchronouslySetDelegate:delegateQueue:]
00000001b60c9230 (__TEXT,__text) non-external -[GCDAsyncSocket synchronouslySetDelegateQueue:]
00000001b60d5070 (__TEXT,__text) non-external -[GCDAsyncSocket unmarkSocketQueueTargetQueue:]
00000001b60c9c2c (__TEXT,__text) non-external -[GCDAsyncSocket userData]
00000001b60d03a4 (__TEXT,__text) non-external -[GCDAsyncSocket usingCFStreamForTLS]
00000001b60d03ac (__TEXT,__text) non-external -[GCDAsyncSocket usingSecureTransportForTLS]
00000001b60d23bc (__TEXT,__text) non-external -[GCDAsyncSocket writeData:withTimeout:tag:]
00000001b60d23c4 (__TEXT,__text) non-external -[GCDAsyncSocket writeData:withTimeout:tag:countBytesWritten:]
00000001b60d2460 (__TEXT,__text) non-external -[GCDAsyncSocket writeSendfile:atOffset:andLength:withTimeout:tag:]
