00007ff80bc879c0 (__TEXT,__const) non-external _SHA256_K
00007ff80bc78330 (__TEXT,__text) non-external _index_cat_helper
00007ff80bc7aa6b (__TEXT,__text) non-external _index_decode
00007ff80bc7ad74 (__TEXT,__text) non-external _index_decoder_end
00007ff80bc7a863 (__TEXT,__text) non-external _index_decoder_init
00007ff80bc7ad99 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff80bc7729f (__TEXT,__text) non-external _index_encode
00007ff80bc77b7c (__TEXT,__text) non-external _index_encoder_end
00007ff80bc77183 (__TEXT,__text) non-external _index_file_size
00007ff80bc77be4 (__TEXT,__text) non-external _index_stream_end
00007ff80bc719bb (__TEXT,__text) non-external _index_tree_append
00007ff80bc77b86 (__TEXT,__text) non-external _index_tree_node_end
00007ff80bc72938 (__TEXT,__text) non-external _is_options_valid
00007ff80bc77709 (__TEXT,__text) non-external _iter_set_info
00007ff80bc76d09 (__TEXT,__text) non-external _length
00007ff80bc72979 (__TEXT,__text) non-external _length_encoder_reset
00007ff80bc72a27 (__TEXT,__text) non-external _length_update_prices
00007ff80bc7da8f (__TEXT,__text) non-external _lz_decode
00007ff80bc7dbf7 (__TEXT,__text) non-external _lz_decoder_end
00007ff80bc73b05 (__TEXT,__text) non-external _lz_encode
00007ff80bc77af4 (__TEXT,__text) non-external _lz_encoder_end
00007ff80bc72bc4 (__TEXT,__text) non-external _lz_encoder_prepare
00007ff80bc7cffc (__TEXT,__text) non-external _lz_encoder_update
00007ff80bc82369 (__TEXT,__text) non-external _lzma2_decode
00007ff80bc82658 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff80bc82241 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff80bc73ce8 (__TEXT,__text) non-external _lzma2_encode
00007ff80bc77b54 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff80bc72501 (__TEXT,__text) non-external _lzma2_encoder_init
00007ff80bc821c1 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff80bc83838 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff80bc83810 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff80bc718a0 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff80bc79a51 (__TEXT,__text) external _lzma_alone_decoder
00007ff80bc79678 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff80bc78743 (__TEXT,__text) external _lzma_alone_encoder
00007ff80bc79aad (__TEXT,__text) external _lzma_auto_decoder
00007ff80bc789dd (__TEXT,__text) external _lzma_block_buffer_bound
00007ff80bc79d7d (__TEXT,__text) external _lzma_block_buffer_decode
00007ff80bc78a1d (__TEXT,__text) external _lzma_block_buffer_encode
00007ff80bc77da2 (__TEXT,__text) external _lzma_block_compressed_size
00007ff80bc7a24b (__TEXT,__text) external _lzma_block_decoder
00007ff80bc79eb1 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff80bc78ee3 (__TEXT,__text) external _lzma_block_encoder
00007ff80bc71e79 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff80bc7a2a1 (__TEXT,__text) external _lzma_block_header_decode
00007ff80bc73559 (__TEXT,__text) external _lzma_block_header_encode
00007ff80bc71cdb (__TEXT,__text) external _lzma_block_header_size
00007ff80bc77e01 (__TEXT,__text) external _lzma_block_total_size
00007ff80bc73699 (__TEXT,__text) external _lzma_block_unpadded_size
00007ff80bc734fe (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff80bc7bed6 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff80bc71fcf (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff80bc71fb1 (__TEXT,__text) external _lzma_check_is_supported
00007ff80bc83970 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff80bc76ee3 (__TEXT,__text) external _lzma_check_size
00007ff80bc83980 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff80bc74775 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff80bc72fa4 (__TEXT,__text) external _lzma_code
00007ff80bc71a9f (__TEXT,__text) external _lzma_crc32
00007ff80bc83990 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff80bc7befd (__TEXT,__text) external _lzma_crc64
00007ff80bc85990 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff80bc7e2aa (__TEXT,__text) non-external _lzma_decode
00007ff80bc89b00 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff80bc82002 (__TEXT,__text) non-external _lzma_decoder_init
00007ff80bc81d74 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff80bc81fe4 (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff80bc8267d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff80bc827c5 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff80bc82966 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff80bc827f6 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff80bc829f0 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff80bc82938 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff80bc78f39 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff80bc7a4a6 (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff80bc71420 (__TEXT,__text) external _lzma_easy_encoder
00007ff80bc78faa (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff80bc71469 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff80bc7de70 (__TEXT,__text) non-external _lzma_encode
00007ff80bc7dd8c (__TEXT,__text) non-external _lzma_encoder_init
00007ff80bc77a08 (__TEXT,__text) external _lzma_end
00007ff80bc87b00 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff80bc7a652 (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff80bc790db (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff80bc7a774 (__TEXT,__text) external _lzma_filter_flags_decode
00007ff80bc73710 (__TEXT,__text) external _lzma_filter_flags_encode
00007ff80bc71dbc (__TEXT,__text) external _lzma_filter_flags_size
00007ff80bc72e1a (__TEXT,__text) external _lzma_filters_copy
00007ff80bc7910a (__TEXT,__text) external _lzma_filters_update
00007ff80bc83946 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff80bc72df2 (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff80bc77cad (__TEXT,__text) external _lzma_get_check
00007ff80bc83940 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff80bc76f00 (__TEXT,__text) external _lzma_index_append
00007ff80bc77540 (__TEXT,__text) external _lzma_index_block_count
00007ff80bc7a953 (__TEXT,__text) external _lzma_index_buffer_decode
00007ff80bc79298 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff80bc7810f (__TEXT,__text) external _lzma_index_cat
00007ff80bc7803a (__TEXT,__text) external _lzma_index_checks
00007ff80bc7a808 (__TEXT,__text) external _lzma_index_decoder
00007ff80bc78394 (__TEXT,__text) external _lzma_index_dup
00007ff80bc79242 (__TEXT,__text) external _lzma_index_encoder
00007ff80bc771d8 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff80bc718d2 (__TEXT,__text) external _lzma_index_end
00007ff80bc77ff5 (__TEXT,__text) external _lzma_index_file_size
00007ff80bc7ae9a (__TEXT,__text) external _lzma_index_hash_append
00007ff80bc7aff0 (__TEXT,__text) external _lzma_index_hash_decode
00007ff80bc7ae66 (__TEXT,__text) external _lzma_index_hash_end
00007ff80bc7adec (__TEXT,__text) external _lzma_index_hash_init
00007ff80bc7ae70 (__TEXT,__text) external _lzma_index_hash_size
00007ff80bc7190b (__TEXT,__text) external _lzma_index_init
00007ff80bc7727f (__TEXT,__text) external _lzma_index_iter_init
00007ff80bc78602 (__TEXT,__text) external _lzma_index_iter_locate
00007ff80bc7754a (__TEXT,__text) external _lzma_index_iter_next
00007ff80bc785eb (__TEXT,__text) external _lzma_index_iter_rewind
00007ff80bc77ec9 (__TEXT,__text) external _lzma_index_memusage
00007ff80bc77f41 (__TEXT,__text) external _lzma_index_memused
00007ff80bc7792f (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff80bc77eae (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff80bc77959 (__TEXT,__text) external _lzma_index_size
00007ff80bc77fae (__TEXT,__text) external _lzma_index_stream_count
00007ff80bc78053 (__TEXT,__text) external _lzma_index_stream_flags
00007ff80bc780ae (__TEXT,__text) external _lzma_index_stream_padding
00007ff80bc77fc1 (__TEXT,__text) external _lzma_index_stream_size
00007ff80bc77fb7 (__TEXT,__text) external _lzma_index_total_size
00007ff80bc78030 (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff80bc7d8f5 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff80bc7dc47 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff80bc7dc54 (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
00007ff80bc7231d (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff80bc7cf94 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff80bc82230 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff80bc822eb (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff80bc7230c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff80bc821a7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff80bc822fc (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff80bc7388d (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff80bc7e234 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff80bc81ff1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff80bc820be (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff80bc820ab (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff80bc740c4 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff80bc72620 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff80bc7dd7b (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff80bc7dda1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff80bc7272c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff80bc82060 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff80bc76ea9 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff80bc7de8d (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff80bc74c10 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff80bc714a0 (__TEXT,__text) external _lzma_lzma_preset
00007ff80bc820f5 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff80bc7de1b (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff80bc77d0f (__TEXT,__text) external _lzma_memlimit_get
00007ff80bc77d56 (__TEXT,__text) external _lzma_memlimit_set
00007ff80bc77cc8 (__TEXT,__text) external _lzma_memusage
00007ff80bc7d5c5 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff80bc7d659 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff80bc7d6d5 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff80bc7d82a (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff80bc766a7 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff80bc747d3 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff80bc7661c (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff80bc7d07c (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff80bc7d2b4 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff80bc7d33f (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff80bc7d519 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff80bc7d057 (__TEXT,__text) external _lzma_mf_is_supported
00007ff80bc7de60 (__TEXT,__text) external _lzma_mode_is_supported
00007ff80bc7182f (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff80bc722ad (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff80bc77c7d (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff80bc77ea4 (__TEXT,__text) external _lzma_physmem
00007ff80bc7a736 (__TEXT,__text) external _lzma_properties_decode
00007ff80bc7385b (__TEXT,__text) external _lzma_properties_encode
00007ff80bc71e0d (__TEXT,__text) external _lzma_properties_size
00007ff80bc7a4df (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff80bc78fe3 (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff80bc72010 (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff80bc77e1c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff80bc7a6be (__TEXT,__text) external _lzma_raw_decoder
00007ff80bc7a6aa (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff80bc7a722 (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff80bc791dc (__TEXT,__text) external _lzma_raw_encoder
00007ff80bc71ff9 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff80bc791c8 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff80bc89b30 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff80bc7cea4 (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
00007ff80bc7bfdd (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
00007ff80bc879a0 (__TEXT,__const) non-external _lzma_sha256_init.s
00007ff80bc7c001 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
00007ff80bc83515 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff80bc834f2 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff80bc835dc (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff80bc835b9 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff80bc82a36 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff80bc8328c (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff80bc83269 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff80bc8318d (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff80bc8316a (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff80bc82f15 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff80bc82f00 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff80bc82ee6 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff80bc836dc (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff80bc836b9 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff80bc82fd0 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff80bc82f78 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff80bc79380 (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff80bc7b37c (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff80bc793ad (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff80bc7bc24 (__TEXT,__text) external _lzma_stream_decoder
00007ff80bc7b4f0 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff80bc715c9 (__TEXT,__text) external _lzma_stream_encoder
00007ff80bc716bc (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
00007ff80bc786be (__TEXT,__text) external _lzma_stream_flags_compare
00007ff80bc7bd05 (__TEXT,__text) external _lzma_stream_footer_decode
00007ff80bc77983 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff80bc7bc7f (__TEXT,__text) external _lzma_stream_header_decode
00007ff80bc71a41 (__TEXT,__text) external _lzma_stream_header_encode
00007ff80bc71624 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff80bc77c64 (__TEXT,__text) external _lzma_version_number
00007ff80bc77c6f (__TEXT,__text) external _lzma_version_string
00007ff80bc7bd7b (__TEXT,__text) external _lzma_vli_decode
00007ff80bc737b1 (__TEXT,__text) external _lzma_vli_encode
00007ff80bc71e5a (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00007ff80bc76ac8 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff80bc749c0 (__TEXT,__text) non-external _move_pos
00007ff80bc831b0 (__TEXT,__text) non-external _powerpc_code
00007ff80bc7c069 (__TEXT,__text) non-external _process
00007ff80bc74a21 (__TEXT,__text) non-external _rc_encode
00007ff80bc82b97 (__TEXT,__text) non-external _simple_code
00007ff80bc82e21 (__TEXT,__text) non-external _simple_coder_end
00007ff80bc82e4e (__TEXT,__text) non-external _simple_coder_update
00007ff80bc836ff (__TEXT,__text) non-external _sparc_code
00007ff80bc7b651 (__TEXT,__text) non-external _stream_decode
00007ff80bc7bbac (__TEXT,__text) non-external _stream_decoder_end
00007ff80bc7bbe0 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff80bc7bbec (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff80bc73203 (__TEXT,__text) non-external _stream_encode
00007ff80bc83960 (__TEXT,__const) non-external _stream_encode.convert
00007ff80bc77a60 (__TEXT,__text) non-external _stream_encoder_end
00007ff80bc71bdb (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
00007ff80bc77bfb (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff80bc721cf (__TEXT,__text) non-external _validate_chain
00007ff80bc82fdc (__TEXT,__text) non-external _x86_code
00007ff80bc89bb0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff80bc82f87 (__TEXT,__text) non-external _x86_coder_init
