00000001dd517f04 (__TEXT,__text) external _CGLGetCurrentContext
00000001dd50ebb0 (__TEXT,__text) external _glColor4b
00000001dd50ebd4 (__TEXT,__text) external _glColor4bv
00000001dd50ebec (__TEXT,__text) external _glColor4d
00000001dd50ec00 (__TEXT,__text) external _glColor4dv
00000001dd50ec18 (__TEXT,__text) external _glColor4f
00000001dd50ec2c (__TEXT,__text) external _glColor4fv
00000001dd50ec44 (__TEXT,__text) external _glColor4i
00000001dd50ec68 (__TEXT,__text) external _glColor4iv
00000001dd50ec80 (__TEXT,__text) external _glColor4s
00000001dd50eca4 (__TEXT,__text) external _glColor4sv
00000001dd50ecbc (__TEXT,__text) external _glColor4ub
00000001dd50ece0 (__TEXT,__text) external _glColor4ubv
00000001dd50ecf8 (__TEXT,__text) external _glColor4ui
00000001dd50ed1c (__TEXT,__text) external _glColor4uiv
00000001dd50ed34 (__TEXT,__text) external _glColor4us
00000001dd50ed58 (__TEXT,__text) external _glColor4usv
00000001dd50ed70 (__TEXT,__text) external _glColorMask
00000001dd51773c (__TEXT,__text) external _glColorMaskIndexedEXT
00000001dd512f28 (__TEXT,__text) external _glColorMaski
00000001dd50ed94 (__TEXT,__text) external _glColorMaterial
00000001dd50edb0 (__TEXT,__text) external _glColorPointer
00000001dd510efc (__TEXT,__text) external _glColorSubTable
00000001dd5169e4 (__TEXT,__text) external _glColorSubTableEXT
00000001dd510e04 (__TEXT,__text) external _glColorTable
00000001dd5169b8 (__TEXT,__text) external _glColorTableEXT
00000001dd510e30 (__TEXT,__text) external _glColorTableParameterfv
00000001dd510e50 (__TEXT,__text) external _glColorTableParameteriv
00000001dd517eb0 (__TEXT,__text) external _glCombinerInputNV
00000001dd517eb4 (__TEXT,__text) external _glCombinerOutputNV
00000001dd517ea4 (__TEXT,__text) external _glCombinerParameterfNV
00000001dd517ea0 (__TEXT,__text) external _glCombinerParameterfvNV
00000001dd517eac (__TEXT,__text) external _glCombinerParameteriNV
00000001dd517ea8 (__TEXT,__text) external _glCombinerParameterivNV
00000001dd517ed4 (__TEXT,__text) external _glCombinerStageParameterfvNV
00000001dd512524 (__TEXT,__text) external _glCompileShader
00000001dd51622c (__TEXT,__text) external _glCompileShaderARB
00000001dd516830 (__TEXT,__text) external _glCompileShaderIncludeARB
00000001dd511774 (__TEXT,__text) external _glCompressedTexImage1D
00000001dd515c60 (__TEXT,__text) external _glCompressedTexImage1DARB
00000001dd511720 (__TEXT,__text) external _glCompressedTexImage2D
00000001dd515c0c (__TEXT,__text) external _glCompressedTexImage2DARB
00000001dd5116c4 (__TEXT,__text) external _glCompressedTexImage3D
00000001dd515bb0 (__TEXT,__text) external _glCompressedTexImage3DARB
00000001dd511864 (__TEXT,__text) external _glCompressedTexSubImage1D
00000001dd515d50 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00000001dd511808 (__TEXT,__text) external _glCompressedTexSubImage2D
00000001dd515cf4 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00000001dd5117a4 (__TEXT,__text) external _glCompressedTexSubImage3D
00000001dd515c90 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00000001dd510f50 (__TEXT,__text) external _glConvolutionFilter1D
00000001dd510f7c (__TEXT,__text) external _glConvolutionFilter2D
00000001dd510fac (__TEXT,__text) external _glConvolutionParameterf
00000001dd510fc8 (__TEXT,__text) external _glConvolutionParameterfv
00000001dd510fe8 (__TEXT,__text) external _glConvolutionParameteri
00000001dd511008 (__TEXT,__text) external _glConvolutionParameteriv
00000001dd513640 (__TEXT,__text) external _glCopyBufferSubData
00000001dd510f28 (__TEXT,__text) external _glCopyColorSubTable
00000001dd510e70 (__TEXT,__text) external _glCopyColorTable
00000001dd511028 (__TEXT,__text) external _glCopyConvolutionFilter1D
00000001dd511050 (__TEXT,__text) external _glCopyConvolutionFilter2D
00000001dd50edd4 (__TEXT,__text) external _glCopyPixels
00000001dd50edfc (__TEXT,__text) external _glCopyTexImage1D
00000001dd50ee2c (__TEXT,__text) external _glCopyTexImage2D
00000001dd50ee80 (__TEXT,__text) external _glCopyTexSubImage1D
00000001dd50eeac (__TEXT,__text) external _glCopyTexSubImage2D
00000001dd510dac (__TEXT,__text) external _glCopyTexSubImage3D
00000001dd512540 (__TEXT,__text) external _glCreateProgram
00000001dd516244 (__TEXT,__text) external _glCreateProgramObjectARB
00000001dd5124d0 (__TEXT,__text) external _glCreateShader
00000001dd5161f0 (__TEXT,__text) external _glCreateShaderObjectARB
00000001dd5144d0 (__TEXT,__text) external _glCreateShaderProgramv
00000001dd50ef00 (__TEXT,__text) external _glCullFace
00000001dd511e74 (__TEXT,__text) external _glDeleteBuffers
00000001dd516074 (__TEXT,__text) external _glDeleteBuffersARB
00000001dd517a08 (__TEXT,__text) external _glDeleteFencesAPPLE
00000001dd512ca4 (__TEXT,__text) external _glDeleteFramebuffers
00000001dd516e80 (__TEXT,__text) external _glDeleteFramebuffersEXT
00000001dd50ef18 (__TEXT,__text) external _glDeleteLists
00000001dd516814 (__TEXT,__text) external _glDeleteNamedStringARB
00000001dd5161a4 (__TEXT,__text) external _glDeleteObjectARB
00000001dd5125c4 (__TEXT,__text) external _glDeleteProgram
00000001dd514508 (__TEXT,__text) external _glDeleteProgramPipelines
00000001dd514f38 (__TEXT,__text) external _glDeleteProgramsARB
00000001dd511d90 (__TEXT,__text) external _glDeleteQueries
00000001dd515f90 (__TEXT,__text) external _glDeleteQueriesARB
00000001dd512bf4 (__TEXT,__text) external _glDeleteRenderbuffers
00000001dd516dd0 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00000001dd513ad8 (__TEXT,__text) external _glDeleteSamplers
00000001dd512490 (__TEXT,__text) external _glDeleteShader
00000001dd5138e4 (__TEXT,__text) external _glDeleteSync
00000001dd50ef34 (__TEXT,__text) external _glDeleteTextures
00000001dd5141f4 (__TEXT,__text) external _glDeleteTransformFeedbacks
00000001dd512ed8 (__TEXT,__text) external _glDeleteVertexArrays
00000001dd517b28 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00000001dd5169a4 (__TEXT,__text) external _glDepthBoundsEXT
00000001dd50ef50 (__TEXT,__text) external _glDepthFunc
00000001dd50ef68 (__TEXT,__text) external _glDepthMask
00000001dd50ef80 (__TEXT,__text) external _glDepthRange
00000001dd514ea4 (__TEXT,__text) external _glDepthRangeArrayv
00000001dd514ec4 (__TEXT,__text) external _glDepthRangeIndexed
00000001dd514400 (__TEXT,__text) external _glDepthRangef
00000001dd5161d4 (__TEXT,__text) external _glDetachObjectARB
00000001dd5124ac (__TEXT,__text) external _glDetachShader
00000001dd50ef94 (__TEXT,__text) external _glDisable
00000001dd50efac (__TEXT,__text) external _glDisableClientState
00000001dd517780 (__TEXT,__text) external _glDisableIndexedEXT
00000001dd5178c4 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00000001dd5123f8 (__TEXT,__text) external _glDisableVertexAttribArray
00000001dd5153c0 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00000001dd512fac (__TEXT,__text) external _glDisablei
00000001dd50efc4 (__TEXT,__text) external _glDrawArrays
00000001dd513dfc (__TEXT,__text) external _glDrawArraysIndirect
00000001dd513764 (__TEXT,__text) external _glDrawArraysInstanced
00000001dd516708 (__TEXT,__text) external _glDrawArraysInstancedARB
00000001dd50efe4 (__TEXT,__text) external _glDrawBuffer
00000001dd511fa4 (__TEXT,__text) external _glDrawBuffers
00000001dd5166b4 (__TEXT,__text) external _glDrawBuffersARB
00000001dd517b94 (__TEXT,__text) external _glDrawElementArrayAPPLE
00000001dd50effc (__TEXT,__text) external _glDrawElements
00000001dd5137e8 (__TEXT,__text) external _glDrawElementsBaseVertex
00000001dd513e18 (__TEXT,__text) external _glDrawElementsIndirect
00000001dd513788 (__TEXT,__text) external _glDrawElementsInstanced
00000001dd51672c (__TEXT,__text) external _glDrawElementsInstancedARB
00000001dd513840 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00000001dd50f020 (__TEXT,__text) external _glDrawPixels
00000001dd517bb4 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00000001dd510cd8 (__TEXT,__text) external _glDrawRangeElements
00000001dd513810 (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00000001dd516cb8 (__TEXT,__text) external _glDrawRangeElementsEXT
00000001dd51426c (__TEXT,__text) external _glDrawTransformFeedback
00000001dd514288 (__TEXT,__text) external _glDrawTransformFeedbackStream
00000001dd50f048 (__TEXT,__text) external _glEdgeFlag
00000001dd50f060 (__TEXT,__text) external _glEdgeFlagPointer
00000001dd50f07c (__TEXT,__text) external _glEdgeFlagv
00000001dd517b78 (__TEXT,__text) external _glElementPointerAPPLE
00000001dd50f094 (__TEXT,__text) external _glEnable
00000001dd50f0ac (__TEXT,__text) external _glEnableClientState
00000001dd517764 (__TEXT,__text) external _glEnableIndexedEXT
00000001dd5178a8 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00000001dd5123e0 (__TEXT,__text) external _glEnableVertexAttribArray
00000001dd5153a8 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00000001dd512f90 (__TEXT,__text) external _glEnablei
00000001dd50f0c4 (__TEXT,__text) external _glEnd
00000001dd5130e4 (__TEXT,__text) external _glEndConditionalRender
00000001dd517e40 (__TEXT,__text) external _glEndConditionalRenderNV
00000001dd50f0d8 (__TEXT,__text) external _glEndList
00000001dd511de0 (__TEXT,__text) external _glEndQuery
00000001dd515fe0 (__TEXT,__text) external _glEndQueryARB
00000001dd5142c8 (__TEXT,__text) external _glEndQueryIndexed
00000001dd512ffc (__TEXT,__text) external _glEndTransformFeedback
00000001dd517148 (__TEXT,__text) external _glEndTransformFeedbackEXT
00000001dd50f0ec (__TEXT,__text) external _glEvalCoord1d
00000001dd50f100 (__TEXT,__text) external _glEvalCoord1dv
00000001dd50f118 (__TEXT,__text) external _glEvalCoord1f
00000001dd50f12c (__TEXT,__text) external _glEvalCoord1fv
00000001dd50f144 (__TEXT,__text) external _glEvalCoord2d
00000001dd50f158 (__TEXT,__text) external _glEvalCoord2dv
00000001dd50f170 (__TEXT,__text) external _glEvalCoord2f
00000001dd50f184 (__TEXT,__text) external _glEvalCoord2fv
00000001dd50f19c (__TEXT,__text) external _glEvalMesh1
00000001dd50f1bc (__TEXT,__text) external _glEvalMesh2
00000001dd50f1e4 (__TEXT,__text) external _glEvalPoint1
00000001dd50f1fc (__TEXT,__text) external _glEvalPoint2
00000001dd50f218 (__TEXT,__text) external _glFeedbackBuffer
00000001dd5138b0 (__TEXT,__text) external _glFenceSync
00000001dd517eb8 (__TEXT,__text) external _glFinalCombinerInputNV
00000001dd50f238 (__TEXT,__text) external _glFinish
00000001dd517a6c (__TEXT,__text) external _glFinishFenceAPPLE
00000001dd517aa0 (__TEXT,__text) external _glFinishObjectAPPLE
00000001dd517c40 (__TEXT,__text) external _glFinishRenderAPPLE
00000001dd50f24c (__TEXT,__text) external _glFlush
00000001dd512ea0 (__TEXT,__text) external _glFlushMappedBufferRange
00000001dd517c88 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00000001dd517c2c (__TEXT,__text) external _glFlushRenderAPPLE
00000001dd517ad8 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00000001dd511924 (__TEXT,__text) external _glFogCoordPointer
00000001dd516c98 (__TEXT,__text) external _glFogCoordPointerEXT
00000001dd5118f8 (__TEXT,__text) external _glFogCoordd
00000001dd516c6c (__TEXT,__text) external _glFogCoorddEXT
00000001dd51190c (__TEXT,__text) external _glFogCoorddv
00000001dd516c80 (__TEXT,__text) external _glFogCoorddvEXT
00000001dd5118cc (__TEXT,__text) external _glFogCoordf
00000001dd516c40 (__TEXT,__text) external _glFogCoordfEXT
00000001dd5118e0 (__TEXT,__text) external _glFogCoordfv
00000001dd516c54 (__TEXT,__text) external _glFogCoordfvEXT
00000001dd50f260 (__TEXT,__text) external _glFogf
00000001dd50f278 (__TEXT,__text) external _glFogfv
00000001dd50f294 (__TEXT,__text) external _glFogi
00000001dd50f2b0 (__TEXT,__text) external _glFogiv
00000001dd512d70 (__TEXT,__text) external _glFramebufferRenderbuffer
00000001dd516f4c (__TEXT,__text) external _glFramebufferRenderbufferEXT
00000001dd513a58 (__TEXT,__text) external _glFramebufferTexture
00000001dd512cf4 (__TEXT,__text) external _glFramebufferTexture1D
00000001dd516ed0 (__TEXT,__text) external _glFramebufferTexture1DEXT
00000001dd512d1c (__TEXT,__text) external _glFramebufferTexture2D
00000001dd516ef8 (__TEXT,__text) external _glFramebufferTexture2DEXT
00000001dd512d44 (__TEXT,__text) external _glFramebufferTexture3D
00000001dd516f20 (__TEXT,__text) external _glFramebufferTexture3DEXT
00000001dd517050 (__TEXT,__text) external _glFramebufferTextureEXT
00000001dd51709c (__TEXT,__text) external _glFramebufferTextureFaceEXT
00000001dd512e54 (__TEXT,__text) external _glFramebufferTextureLayer
00000001dd517074 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00000001dd50f2cc (__TEXT,__text) external _glFrontFace
00000001dd50f2e4 (__TEXT,__text) external _glFrustum
00000001dd511e90 (__TEXT,__text) external _glGenBuffers
00000001dd516090 (__TEXT,__text) external _glGenBuffersARB
00000001dd5179ec (__TEXT,__text) external _glGenFencesAPPLE
00000001dd512cc0 (__TEXT,__text) external _glGenFramebuffers
00000001dd516e9c (__TEXT,__text) external _glGenFramebuffersEXT
00000001dd50f2f8 (__TEXT,__text) external _glGenLists
00000001dd514524 (__TEXT,__text) external _glGenProgramPipelines
00000001dd514f54 (__TEXT,__text) external _glGenProgramsARB
00000001dd511d74 (__TEXT,__text) external _glGenQueries
00000001dd515f74 (__TEXT,__text) external _glGenQueriesARB
00000001dd512c10 (__TEXT,__text) external _glGenRenderbuffers
00000001dd516dec (__TEXT,__text) external _glGenRenderbuffersEXT
00000001dd513abc (__TEXT,__text) external _glGenSamplers
00000001dd50f310 (__TEXT,__text) external _glGenTextures
00000001dd514210 (__TEXT,__text) external _glGenTransformFeedbacks
00000001dd512ef4 (__TEXT,__text) external _glGenVertexArrays
00000001dd517b44 (__TEXT,__text) external _glGenVertexArraysAPPLE
00000001dd512db8 (__TEXT,__text) external _glGenerateMipmap
00000001dd516f94 (__TEXT,__text) external _glGenerateMipmapEXT
00000001dd512a14 (__TEXT,__text) external _glGetActiveAttrib
00000001dd516668 (__TEXT,__text) external _glGetActiveAttribARB
00000001dd514110 (__TEXT,__text) external _glGetActiveSubroutineName
00000001dd5140e4 (__TEXT,__text) external _glGetActiveSubroutineUniformName
00000001dd5140bc (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00000001dd51294c (__TEXT,__text) external _glGetActiveUniform
00000001dd5165b4 (__TEXT,__text) external _glGetActiveUniformARB
00000001dd51371c (__TEXT,__text) external _glGetActiveUniformBlockName
00000001dd5136f8 (__TEXT,__text) external _glGetActiveUniformBlockiv
00000001dd5136b4 (__TEXT,__text) external _glGetActiveUniformName
00000001dd51368c (__TEXT,__text) external _glGetActiveUniformsiv
00000001dd516574 (__TEXT,__text) external _glGetAttachedObjectsARB
00000001dd5128c0 (__TEXT,__text) external _glGetAttachedShaders
00000001dd512a48 (__TEXT,__text) external _glGetAttribLocation
00000001dd516698 (__TEXT,__text) external _glGetAttribLocationARB
00000001dd5171d0 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00000001dd512f50 (__TEXT,__text) external _glGetBooleani_v
00000001dd50f32c (__TEXT,__text) external _glGetBooleanv
00000001dd513a38 (__TEXT,__text) external _glGetBufferParameteri64v
00000001dd511f64 (__TEXT,__text) external _glGetBufferParameteriv
00000001dd516164 (__TEXT,__text) external _glGetBufferParameterivARB
00000001dd511f84 (__TEXT,__text) external _glGetBufferPointerv
00000001dd516184 (__TEXT,__text) external _glGetBufferPointervARB
00000001dd511f0c (__TEXT,__text) external _glGetBufferSubData
00000001dd51610c (__TEXT,__text) external _glGetBufferSubDataARB
00000001dd50f348 (__TEXT,__text) external _glGetClipPlane
00000001dd510e98 (__TEXT,__text) external _glGetColorTable
00000001dd516a10 (__TEXT,__text) external _glGetColorTableEXT
00000001dd510ebc (__TEXT,__text) external _glGetColorTableParameterfv
00000001dd516a34 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00000001dd510edc (__TEXT,__text) external _glGetColorTableParameteriv
00000001dd516a54 (__TEXT,__text) external _glGetColorTableParameterivEXT
00000001dd517ebc (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00000001dd517ec0 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00000001dd517ec4 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00000001dd517ec8 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00000001dd517ed8 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00000001dd511894 (__TEXT,__text) external _glGetCompressedTexImage
00000001dd515d80 (__TEXT,__text) external _glGetCompressedTexImageARB
00000001dd51107c (__TEXT,__text) external _glGetConvolutionFilter
00000001dd5110a0 (__TEXT,__text) external _glGetConvolutionParameterfv
00000001dd5110c0 (__TEXT,__text) external _glGetConvolutionParameteriv
00000001dd514efc (__TEXT,__text) external _glGetDoublei_v
00000001dd50f364 (__TEXT,__text) external _glGetDoublev
00000001dd50f380 (__TEXT,__text) external _glGetError
00000001dd517ecc (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00000001dd517ed0 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00000001dd514edc (__TEXT,__text) external _glGetFloati_v
00000001dd50f394 (__TEXT,__text) external _glGetFloatv
00000001dd513aa0 (__TEXT,__text) external _glGetFragDataIndex
00000001dd513400 (__TEXT,__text) external _glGetFragDataLocation
00000001dd517658 (__TEXT,__text) external _glGetFragDataLocationEXT
00000001dd512d94 (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00000001dd516f70 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00000001dd5161bc (__TEXT,__text) external _glGetHandleARB
00000001dd511160 (__TEXT,__text) external _glGetHistogram
00000001dd511188 (__TEXT,__text) external _glGetHistogramParameterfv
00000001dd5111a8 (__TEXT,__text) external _glGetHistogramParameteriv
00000001dd516550 (__TEXT,__text) external _glGetInfoLogARB
00000001dd513a18 (__TEXT,__text) external _glGetInteger64i_v
00000001dd51393c (__TEXT,__text) external _glGetInteger64v
00000001dd5171b0 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00000001dd512f70 (__TEXT,__text) external _glGetIntegeri_v
00000001dd50f3b0 (__TEXT,__text) external _glGetIntegerv
00000001dd5168bc (__TEXT,__text) external _glGetInternalformativ
00000001dd50f3cc (__TEXT,__text) external _glGetLightfv
00000001dd50f3ec (__TEXT,__text) external _glGetLightiv
00000001dd50f40c (__TEXT,__text) external _glGetMapdv
00000001dd50f42c (__TEXT,__text) external _glGetMapfv
00000001dd50f44c (__TEXT,__text) external _glGetMapiv
00000001dd50f46c (__TEXT,__text) external _glGetMaterialfv
00000001dd50f48c (__TEXT,__text) external _glGetMaterialiv
00000001dd5111c8 (__TEXT,__text) external _glGetMinmax
00000001dd5111f0 (__TEXT,__text) external _glGetMinmaxParameterfv
00000001dd511210 (__TEXT,__text) external _glGetMinmaxParameteriv
00000001dd5139dc (__TEXT,__text) external _glGetMultisamplefv
00000001dd516870 (__TEXT,__text) external _glGetNamedStringARB
00000001dd516898 (__TEXT,__text) external _glGetNamedStringivARB
00000001dd517834 (__TEXT,__text) external _glGetObjectLabelEXT
00000001dd516510 (__TEXT,__text) external _glGetObjectParameterfvARB
00000001dd517ce8 (__TEXT,__text) external _glGetObjectParameterivAPPLE
00000001dd516530 (__TEXT,__text) external _glGetObjectParameterivARB
00000001dd50f4ac (__TEXT,__text) external _glGetPixelMapfv
00000001dd50f4c8 (__TEXT,__text) external _glGetPixelMapuiv
00000001dd50f4e4 (__TEXT,__text) external _glGetPixelMapusv
00000001dd50f500 (__TEXT,__text) external _glGetPointerv
00000001dd50f51c (__TEXT,__text) external _glGetPolygonStipple
00000001dd514428 (__TEXT,__text) external _glGetProgramBinary
00000001dd515590 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00000001dd5155b0 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
00000001dd512908 (__TEXT,__text) external _glGetProgramInfoLog
00000001dd5155d0 (__TEXT,__text) external _glGetProgramLocalParameterdvARB
00000001dd5155f0 (__TEXT,__text) external _glGetProgramLocalParameterfvARB
00000001dd514590 (__TEXT,__text) external _glGetProgramPipelineInfoLog
00000001dd514558 (__TEXT,__text) external _glGetProgramPipelineiv
00000001dd51417c (__TEXT,__text) external _glGetProgramStageiv
00000001dd515634 (__TEXT,__text) external _glGetProgramStringARB
00000001dd5128a0 (__TEXT,__text) external _glGetProgramiv
00000001dd515654 (__TEXT,__text) external _glGetProgramivARB
00000001dd5142e4 (__TEXT,__text) external _glGetQueryIndexediv
00000001dd513c80 (__TEXT,__text) external _glGetQueryObjecti64v
00000001dd5177d0 (__TEXT,__text) external _glGetQueryObjecti64vEXT
00000001dd511e18 (__TEXT,__text) external _glGetQueryObjectiv
