                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffb1432003c (__TEXT,__text) external _DRBufferAsResource
00007ffb1431f394 (__TEXT,__text) external _DRContextConfigSetMode
00007ffb1431f3be (__TEXT,__text) external _DRContextConfigSetReuseStrategy
00007ffb1431f3e8 (__TEXT,__text) external _DRContextConfigSetUnusedResourceMaxAge
00007ffb1431f476 (__TEXT,__text) external _DRContextCreate
00007ffb1431f66c (__TEXT,__text) external _DRContextCreateBuffer
00007ffb143205a0 (__TEXT,__text) external _DRContextCreateClient
00007ffb1432077f (__TEXT,__text) external _DRContextCreateCommitQueue
00007ffb1431f50a (__TEXT,__text) external _DRContextCreateMesh
00007ffb1431f5bb (__TEXT,__text) external _DRContextCreateTexture
00007ffb1431f847 (__TEXT,__text) external _DRContextGetCommitUserPayload
00007ffb1431f71d (__TEXT,__text) external _DRContextHasOpenCommit
00007ffb1431fc17 (__TEXT,__text) external _DRContextSetChangeObserver
00007ffb1431f7ad (__TEXT,__text) external _DRContextSetCommitUserPayload
00007ffb1431f935 (__TEXT,__text) external _DRContextSetOnCommitBegan
00007ffb1431faa1 (__TEXT,__text) external _DRContextSetOnCommitComplete
00007ffb1431ee45 (__TEXT,__text) external _DRFenceCreate
00007ffb1431ee97 (__TEXT,__text) external _DRFenceGetLabel
00007ffb1431ee82 (__TEXT,__text) external _DRFenceInvalidate
00007ffb143200a6 (__TEXT,__text) external _DRMaterialAsResource
00007ffb14321fd0 (__TEXT,__const) external _DRMaxVertexBuffers
00007ffb143203fe (__TEXT,__text) external _DRMemoryResourceCopyBuffer
00007ffb14320428 (__TEXT,__text) external _DRMemoryResourceCopyToXPC
00007ffb143203ce (__TEXT,__text) external _DRMemoryResourceCreate
00007ffb14320446 (__TEXT,__text) external _DRMemoryResourceCreateFromXPC
00007ffb143204cc (__TEXT,__text) external _DRMemoryResourceDidUpdateBytes
00007ffb143204b7 (__TEXT,__text) external _DRMemoryResourceGetBytes
00007ffb143204a2 (__TEXT,__text) external _DRMemoryResourceGetLength
00007ffb1432048a (__TEXT,__text) external _DRMemoryResourceIsPrivateToProcess
00007ffb1431ff58 (__TEXT,__text) external _DRMeshAsResource
00007ffb1431e298 (__TEXT,__text) external _DRMeshCopyDescriptor
00007ffb1431e1ce (__TEXT,__text) external _DRMeshCreateUnmanaged
00007ffb1431e8de (__TEXT,__text) external _DRMeshDescriptorCalculateBufferSizes
00007ffb1431dbd4 (__TEXT,__text) external _DRMeshDescriptorCreate
00007ffb1431dc9d (__TEXT,__text) external _DRMeshDescriptorGetIndexCapacity
00007ffb1431dcc7 (__TEXT,__text) external _DRMeshDescriptorGetIndexType
00007ffb1431dcf1 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeCount
00007ffb1431dec6 (__TEXT,__text) external _DRMeshDescriptorGetVertexAttributeFormat
00007ffb1431dc49 (__TEXT,__text) external _DRMeshDescriptorGetVertexBufferCount
00007ffb1431dc73 (__TEXT,__text) external _DRMeshDescriptorGetVertexCapacity
00007ffb1431e135 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayout
00007ffb1431df52 (__TEXT,__text) external _DRMeshDescriptorGetVertexLayoutCount
00007ffb1431dcb2 (__TEXT,__text) external _DRMeshDescriptorSetIndexCapacity
00007ffb1431dcdc (__TEXT,__text) external _DRMeshDescriptorSetIndexType
00007ffb1431dd0e (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeCount
00007ffb1431df17 (__TEXT,__text) external _DRMeshDescriptorSetVertexAttributeFormat
00007ffb1431dc5e (__TEXT,__text) external _DRMeshDescriptorSetVertexBufferCount
00007ffb1431dc88 (__TEXT,__text) external _DRMeshDescriptorSetVertexCapacity
00007ffb1431e189 (__TEXT,__text) external _DRMeshDescriptorSetVertexLayout
00007ffb1431df7d (__TEXT,__text) external _DRMeshDescriptorSetVertexLayoutCount
00007ffb1431e50e (__TEXT,__text) external _DRMeshGetIndexCapacity
00007ffb1431e6c0 (__TEXT,__text) external _DRMeshGetPartAt
00007ffb1431e523 (__TEXT,__text) external _DRMeshGetPartCount
00007ffb1431e7a3 (__TEXT,__text) external _DRMeshGetPartRenderFlagsAt
00007ffb1431e4f9 (__TEXT,__text) external _DRMeshGetVertexCapacity
00007ffb1431eb72 (__TEXT,__text) external _DRMeshReadIndices
00007ffb1431ed7c (__TEXT,__text) external _DRMeshReadIndicesUsing
00007ffb1431e963 (__TEXT,__text) external _DRMeshReadVertices
00007ffb1431ed3d (__TEXT,__text) external _DRMeshReadVerticesUsing
00007ffb1431ec0b (__TEXT,__text) external _DRMeshReplaceIndices
00007ffb1431eda6 (__TEXT,__text) external _DRMeshReplaceIndicesUsing
00007ffb1431ea2c (__TEXT,__text) external _DRMeshReplaceVertices
00007ffb1431ed67 (__TEXT,__text) external _DRMeshReplaceVerticesUsing
00007ffb1431e592 (__TEXT,__text) external _DRMeshSetPartAt
00007ffb1431e578 (__TEXT,__text) external _DRMeshSetPartCount
00007ffb1431e81f (__TEXT,__text) external _DRMeshSetPartRenderFlagsAt
00007ffb1431eca4 (__TEXT,__text) external _DRMeshUpdateIndices
00007ffb1431ed91 (__TEXT,__text) external _DRMeshUpdateIndicesUsing
00007ffb1431eacf (__TEXT,__text) external _DRMeshUpdateVertices
00007ffb1431ed52 (__TEXT,__text) external _DRMeshUpdateVerticesUsing
00007ffb1431dbca (__TEXT,__text) external _DRRelease
00007ffb1431ffe7 (__TEXT,__text) external _DRResourceAsBuffer
00007ffb14320051 (__TEXT,__text) external _DRResourceAsMaterial
00007ffb1431ff03 (__TEXT,__text) external _DRResourceAsMesh
00007ffb1431ff7d (__TEXT,__text) external _DRResourceAsTexture
00007ffb1431feee (__TEXT,__text) external _DRResourceGetClientIdentifier
00007ffb1431fecf (__TEXT,__text) external _DRResourceGetIdentifier
00007ffb143200bb (__TEXT,__text) external _DRResourceIsAttachedToDevice_RemoveMeAfterVerification
00007ffb14320d4b (__TEXT,__text) external _DRResourcesCommitCopyEventWithDevice
00007ffb14320d2d (__TEXT,__text) external _DRResourcesCommitCopyToXPC
00007ffb14320db2 (__TEXT,__text) external _DRResourcesCommitGetId
00007ffb14320dc7 (__TEXT,__text) external _DRResourcesCommitGetUserPayload
00007ffb14320d99 (__TEXT,__text) external _DRResourcesCommitHasEvent
00007ffb1431dbc0 (__TEXT,__text) external _DRRetain
00007ffb1431ffd2 (__TEXT,__text) external _DRTextureAsResource
00007ffb1431f12e (__TEXT,__text) external _DRTextureCopyDescriptor
00007ffb1431eec2 (__TEXT,__text) external _DRTextureCreateUnmanaged
00007ffb1431ef8f (__TEXT,__text) external _DRTextureDescriptorCreate
00007ffb1431f0dc (__TEXT,__text) external _DRTextureDescriptorGetArrayLength
00007ffb1431f00a (__TEXT,__text) external _DRTextureDescriptorGetDepth
00007ffb1431efe0 (__TEXT,__text) external _DRTextureDescriptorGetHeight
00007ffb1431f034 (__TEXT,__text) external _DRTextureDescriptorGetMipmapLevelCount
00007ffb1431f05e (__TEXT,__text) external _DRTextureDescriptorGetPixelFormat
00007ffb1431f106 (__TEXT,__text) external _DRTextureDescriptorGetSwizzle
00007ffb1431f088 (__TEXT,__text) external _DRTextureDescriptorGetTextureType
00007ffb1431f0b2 (__TEXT,__text) external _DRTextureDescriptorGetTextureUsage
00007ffb1431efb6 (__TEXT,__text) external _DRTextureDescriptorGetWidth
00007ffb1431f0f1 (__TEXT,__text) external _DRTextureDescriptorSetArrayLength
00007ffb1431f01f (__TEXT,__text) external _DRTextureDescriptorSetDepth
00007ffb1431eff5 (__TEXT,__text) external _DRTextureDescriptorSetHeight
00007ffb1431f049 (__TEXT,__text) external _DRTextureDescriptorSetMipmapLevelCount
00007ffb1431f073 (__TEXT,__text) external _DRTextureDescriptorSetPixelFormat
00007ffb1431f11a (__TEXT,__text) external _DRTextureDescriptorSetSwizzle
00007ffb1431f09d (__TEXT,__text) external _DRTextureDescriptorSetTextureType
00007ffb1431f0c7 (__TEXT,__text) external _DRTextureDescriptorSetTextureUsage
00007ffb1431efcb (__TEXT,__text) external _DRTextureDescriptorSetWidth
00007ffb1431f1c2 (__TEXT,__text) external _DRTextureReadTexture
00007ffb1431f20d (__TEXT,__text) external _DRTextureReplaceTexture
00007ffb1431eeb8 (__TEXT,__text) external _DRValidateIndices
00007ffb14321fc8 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionNumber
00007ffb14321f90 (__TEXT,__const) non-external (was a private external) _DirectResourceVersionString
                 (undefined) external _IOSurfaceCreate (from IOSurface)
                 (undefined) external _IOSurfaceCreateXPCObject (from IOSurface)
                 (undefined) external _IOSurfaceGetAllocSize (from IOSurface)
                 (undefined) external _IOSurfaceGetBaseAddress (from IOSurface)
                 (undefined) external _IOSurfaceLookupFromXPCObject (from IOSurface)
                 (undefined) external _MTLCopyAllDevices (from Metal)
                 (undefined) external _MTLCopyAllDevicesWithObserver (from Metal)
                 (undefined) external _MTLCreateSystemDefaultDevice (from Metal)
                 (undefined) external _MTLRemoveDeviceObserver (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedEventListener (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLSharedTextureHandle (from Metal)
                 (undefined) external _OBJC_CLASS_$_MTLTextureDescriptor (from Metal)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb1431b25c (__TEXT,__text) non-external (was a private external) __Z14ArcObjectClassv
00007ffb1431b186 (__TEXT,__text) non-external (was a private external) __Z16ArcObjectDestroyPvP13objc_selector
00007ffb1431b19c (__TEXT,__text) non-external (was a private external) __Z20ArcObjectDescriptionPvP13objc_selector
                 (undefined) external __Z22MTLAttributeFormatSize18MTLAttributeFormat (from Metal)
00007ffb1431b1fc (__TEXT,__text) non-external (was a private external) __Z25ArcObjectDebugDescriptionPvP13objc_selector
00007ffb143108f4 (__TEXT,__text) non-external (was a private external) __Z34__REALITYKIT_WAITING_ON_RENDERER__RKN2re12ULockCounterEyj
00007ffb4378cca8 (__DATA,__bss) non-external __ZGVZ14ArcObjectClassvE3cls
00007ffb4378cc88 (__DATA,__bss) non-external __ZGVZN2re17directResourceLogEvE3log
00007ffb4378cc98 (__DATA,__bss) non-external __ZGVZN2re20DirectMemoryResource26allocatePrivatePageAlignedEmE21kMetalBufferAlignment
00007ffb14321dd0 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffb14321de0 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffb14321eb0 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffb14321ed0 (__TEXT,__const) non-external __ZL9UUID_NULL
00007ffb1431fd42 (__TEXT,__text) non-external __ZN13ContextConfigD0Ev
00007ffb1431fd0a (__TEXT,__text) non-external __ZN13ContextConfigD1Ev
00007ffb1431b3de (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObject7disposeEv
00007ffb1431b33c (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectC2EP10objc_class
00007ffb1431b3aa (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD0Ev
00007ffb1431b392 (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD1Ev
00007ffb1431b37a (__TEXT,__text) non-external (was a private external) __ZN15ArcSharedObjectD2Ev
00007ffb14320a6e (__TEXT,__text) non-external __ZN16ClientConnectionD0Ev
00007ffb14320a18 (__TEXT,__text) non-external __ZN16ClientConnectionD1Ev
00007ffb143209e4 (__TEXT,__text) non-external __ZN22ClientConnectionConfigD0Ev
00007ffb143209c2 (__TEXT,__text) non-external __ZN22ClientConnectionConfigD1Ev
00007ffb14322d16 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector11s_knameinitE
00007ffb14322cb0 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector12s_knameallocE
00007ffb41731e30 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector13s_kUTF8StringE
00007ffb14322c94 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector17s_knameUTF8StringE
00007ffb41731e28 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector22s_krespondsToSelector_E
00007ffb14322f20 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector26s_knamerespondsToSelector_E
00007ffb41731e20 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector30s_kmethodSignatureForSelector_E
00007ffb14322d80 (__TEXT,__objc_methname) non-external __ZN2NS7Private8Selector34s_knamemethodSignatureForSelector_E
00007ffb41731e18 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector7s_kinitE
00007ffb41731e10 (__DATA_CONST,__objc_selrefs) non-external (was a private external) __ZN2NS7Private8Selector8s_kallocE
00007ffb1430c822 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL11SharedEventEEaSEOS3_
00007ffb143126a4 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedEventListenerEEaSEOS3_
00007ffb1430c822 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL19SharedTextureHandleEEaSEOS3_
00007ffb1430c822 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL6BufferEEaSEOS3_
00007ffb1430c822 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL7TextureEEaSEOS3_
00007ffb1430c822 (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSEOS3_
00007ffb1430c00a (__TEXT,__text) non-external (was a private external) __ZN2NS9SharedPtrIN3MTL8ResourceEEaSINS1_7TextureEEENSt3__19enable_ifIXsr3stdE16is_convertible_vIPT_PS2_EERS3_E4typeEONS0_IS8_EE
00007ffb1431d3d0 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb1431d62c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh11updatePartsEU13block_pointerFvPNS_14DirectMeshPartEmE
00007ffb1431d4bc (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12setPartCountEm
00007ffb1431d966 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmPN3MTL13CommandBufferE
00007ffb1431d70e (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh12updateBufferEmU13block_pointerFvPvmE
00007ffb1431d9e6 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmPN3MTL13CommandBufferE
00007ffb1431d836 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13replaceBufferEmU13block_pointerFvPvmE
00007ffb1431d9b6 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEPN3MTL13CommandBufferE
00007ffb1431d79c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh13updateIndicesEU13block_pointerFvPvmE
00007ffb1431cf42 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14attachToDeviceEPN3MTL6DeviceE
00007ffb1431da38 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEPN3MTL13CommandBufferE
00007ffb1431d8c8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh14replaceIndicesEU13block_pointerFvPvmE
00007ffb1431cdec (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffb1431da6c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15replaceInternalEPNS_9SharedPtrINS_20DirectMemoryResourceEEES3_
00007ffb1431d7f8 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh15validateIndicesEv
00007ffb1431cd66 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh6createERKNS_21DirectMeshDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffb1431d342 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMesh8setPartsEmNS_10UnownedPtrINS_20DirectMemoryResourceEEE
00007ffb1431d0ba (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC1ERKNS_21DirectMeshDescriptionE
00007ffb1431d048 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshC2ERKNS_21DirectMeshDescriptionE
00007ffb1431d176 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD0Ev
00007ffb1431d16c (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD1Ev
00007ffb1431d0c4 (__TEXT,__text) non-external (was a private external) __ZN2re10DirectMeshD2Ev
00007ffb14305134 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence10invalidateEv
00007ffb14320e02 (__TEXT,__text) non-external __ZN2re11DirectFence10invalidateEv.cold.1
00007ffb1430519a (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFence20addInvalidateHandlerEONSt3__18functionIFvPS0_EEE
00007ffb14304f58 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPKc
00007ffb143050ac (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC1EPN3MTL13CommandBufferE
00007ffb14304fb0 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceC2EPN3MTL13CommandBufferE
00007ffb1430510e (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD0Ev
00007ffb14305104 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD1Ev
00007ffb143050b6 (__TEXT,__text) non-external (was a private external) __ZN2re11DirectFenceD2Ev
00007ffb14320de1 (__TEXT,__text) non-external __ZN2re11DirectFenceD2Ev.cold.1
00007ffb1430ccb5 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_10DirectMeshE
00007ffb1430cf93 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_12DirectBufferE
00007ffb1430cc40 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandEPKNS_13DirectTextureE
00007ffb1430ce57 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_16DirectMeshUpdateE
00007ffb1430d003 (__TEXT,__text) non-external (was a private external) __ZN2re11makeCommandERKNS_16DirectResourceIdEPKNS_18DirectBufferUpdateE
00007ffb1430648c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb14306546 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer12setBytesUsedEm
00007ffb143063b2 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer14attachToDeviceEPN3MTL6DeviceE
00007ffb14306294 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffb143061f8 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6createERKNS_23DirectBufferDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffb143065c0 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer6updateEU13block_pointerFvPvmE
00007ffb1430667e (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEPN3MTL13CommandBufferE
00007ffb1430660e (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBuffer7replaceEU13block_pointerFvPvmE
00007ffb14306300 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferC1ERKNS_23DirectBufferDescriptionE
00007ffb1430638c (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD0Ev
00007ffb14306382 (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD1Ev
00007ffb1430633a (__TEXT,__text) non-external (was a private external) __ZN2re12DirectBufferD2Ev
00007ffb1430d05e (__TEXT,__text) non-external (was a private external) __ZN2re12makeCommandsEPKNS_21DirectResourcesCommitE
00007ffb1431cb70 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture10setPayloadENS_18DirectResourceSlotENS_9SharedPtrINS_20DirectMemoryResourceEEE
00007ffb1431c9d2 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14attachToDeviceEPN3MTL6DeviceE
00007ffb1431cc68 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture14replaceTextureEPN3MTL13CommandBufferE
00007ffb1431c6fe (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture15allocateStorageERKNS_29DirectResourceCreationOptionsE
00007ffb1431c9e6 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture23allocateRuntimeResourceERKNS_24DirectTextureDescriptionENS_10UnownedPtrINS_20DirectMemoryResourceEEEPN3MTL6DeviceE
00007ffb1431c684 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTexture6createERKNS_24DirectTextureDescriptionERKNS_29DirectResourceCreationOptionsE
00007ffb1431c8d4 (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC1ERKNS_24DirectTextureDescriptionE
00007ffb1431c75a (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureC2ERKNS_24DirectTextureDescriptionE
00007ffb1431ccfa (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD0Ev
00007ffb1431ccac (__TEXT,__text) non-external (was a private external) __ZN2re13DirectTextureD1Ev
00007ffb143060c2 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesEN3MTL9IndexTypeE
00007ffb143060e1 (__TEXT,__text) non-external (was a private external) __ZN2re13lengthInBytesERKNS_25DirectMeshVertexAttributeERKNS_22DirectMeshVertexLayoutEm
00007ffb14306716 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRA16_h
00007ffb14307869 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16CreateDirectMeshE
00007ffb14307407 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16DirectMeshValuesE
00007ffb14307a07 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_16UpdateDirectMeshE
00007ffb14307f2f (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18CreateDirectBufferE
00007ffb14307dda (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18DirectBufferValuesE
00007ffb143080ce (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_18UpdateDirectBufferE
00007ffb143072d0 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19CreateDirectPayloadE
00007ffb14307b41 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19CreateDirectTextureE
00007ffb14306f6f (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19DirectResourceEventE
00007ffb14307cc0 (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_19UpdateDirectTextureE
00007ffb143069af (__TEXT,__text) non-external (was a private external) __ZN2re13xpc_get_valueEPU24objcproto13OS_xpc_object8NSObjectRNS_21DirectMeshDescriptionE
