00007ff812f00ca6 (__TEXT,__text) non-external _Annihilate
00007ff812f3be4c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff812f3c6c8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff812f3cf44 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff812f3d7c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff812f3e03c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff812f3e95b (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff812f39c5c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff812f3a4d8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff812f12040 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff812f29634 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff812f1c26d (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff812f115f9 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff812f1c144 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff812f0745c (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff812f07534 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff812f07613 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff812f074ff (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff812f0b755 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff812f0b74c (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff812f0b62c (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff812f0d8c3 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff812f0b70e (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff812f0b6f5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff812f07410 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff812f0d888 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff812f0d7f8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff812f0d699 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff812f0d77f (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff812f0b660 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff812ef7fb7 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff812f071a5 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff812f071b2 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff812f01efb (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff812ef313b (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff812ef4da0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff812ef2ec0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff812ef300d (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff812ef7f34 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff812ef5d6c (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff812ef3111 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff812ef2e20 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff812ef7f47 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff812ef7fb7 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff812f09fc4 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff812f10648 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff812f37434 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff812f4dc9c (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
00007ff812f4dc9c (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
00007ff812f00bb2 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff812f00d5b (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff812f2037c (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff812f185fd (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff812f19268 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff812f17992 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff812f1834a (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff812f18fb5 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff812f176df (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff812f1880c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff812f19477 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff812f17ba1 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff812f1868a (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff812f192f5 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff812f17a1f (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff812f07271 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff812f01ee7 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff812f427e0 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff812f20318 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff812f00a5d (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff812f1a332 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff812f392e0 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff812f439bb (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff812f1186e (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff812f26308 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff812f26848 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff812f25df4 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff812f6e770 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff812f072d4 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff812f1155f (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff812f00d68 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff812f01f36 (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff812f2172d (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff812fa2d08 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff812fa2d02 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff812fa2cf0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff812f22109 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff812f24a2e (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff812f0032d (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff812f24097 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff812f24e48 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff812f20389 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff812f07285 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff812f00bf7 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff812f11c57 (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff812f1a683 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff812f1a355 (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff812f22cf8 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff812f00830 (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff812f23c20 (__TEXT,__text) non-external _BuildAndStoreEntropyCodesDistance
00007ff812f243de (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff812f003e6 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff812f24316 (__TEXT,__text) non-external _BuildHistograms
00007ff812f4e670 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff812f4e770 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff812ef7fc2 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff812f00aee (__TEXT,__text) non-external _CollectGarbagePointers
00007ff812f4318c (__TEXT,__text) non-external _ComputeDistanceCost
00007ff812f1c0c4 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff812f4493a (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff812f099c0 (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff812f297f4 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff812f2a6ec (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff812f33aaf (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff812f2b2eb (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff812f2ee8e (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff812f302d3 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff812f317cc (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff812f2c389 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff812f32dc1 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff812f34a42 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff812f2d885 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff812f35ab1 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff812ef91c6 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff812f4e560 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff812f0bd44 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff812f09b41 (__TEXT,__text) non-external _DecodeContextMap
00007ff812f0c869 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff812f0c2e8 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff812f0880d (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff812f08dda (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff812f002ac (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff812f23235 (__TEXT,__text) non-external _EncodeContextMap
00007ff812ef5e9b (__TEXT,__text) non-external _EncodeData
00007ff812f1beee (__TEXT,__text) non-external _EvaluateNode
00007ff812ef8a95 (__TEXT,__text) non-external _ExtendLastCommand
00007ff812f6e840 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff812fac200 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff812fc4d20 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff812ef88d7 (__TEXT,__text) non-external _GetBrotliStorage
00007ff812ef894b (__TEXT,__text) non-external _GetHashTable
00007ff812f43c89 (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff812f43e44 (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff812f43ace (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff812f4e460 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff812fc5220 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff812f4e3e0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff812f1b4ca (__TEXT,__text) non-external _InitZopfliCostModel
00007ff812ef828e (__TEXT,__text) non-external _InitializeH6
00007ff812ef5d8a (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff812f0b811 (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff812f132ce (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff812f13280 (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff812f131a5 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff812f465f8 (__TEXT,__text) non-external _MapStaticContexts
00007ff812ef85e6 (__TEXT,__text) non-external _PrepareH35
00007ff812ef82f5 (__TEXT,__text) non-external _PrepareH4
00007ff812ef8430 (__TEXT,__text) non-external _PrepareH40
00007ff812ef8430 (__TEXT,__text) non-external _PrepareH41
00007ff812ef84d0 (__TEXT,__text) non-external _PrepareH42
00007ff812ef8363 (__TEXT,__text) non-external _PrepareH5
00007ff812ef8578 (__TEXT,__text) non-external _PrepareH54
00007ff812ef86ee (__TEXT,__text) non-external _PrepareH55
00007ff812ef83bf (__TEXT,__text) non-external _PrepareH6
00007ff812ef87a0 (__TEXT,__text) non-external _PrepareH65
00007ff812f0a069 (__TEXT,__text) non-external _ProcessCommands
00007ff812f08f95 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff812f0b9f9 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff812f0c50f (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff812f0bf1f (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff812f0b77f (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff812f0aad4 (__TEXT,__text) non-external _SafeProcessCommands
00007ff812f086c4 (__TEXT,__text) non-external _SaveErrorCode
00007ff812f1d66c (__TEXT,__text) non-external _SetCost
00007ff812f205ae (__TEXT,__text) non-external _Shift
00007ff812ef800e (__TEXT,__text) non-external _ShouldCompress
00007ff812f3f27a (__TEXT,__text) non-external _ShouldCompress
00007ff812f00615 (__TEXT,__text) non-external _ShouldMergeBlock
00007ff812f4e570 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff812f00c32 (__TEXT,__text) non-external _SortPointers
00007ff812f4eb50 (__TEXT,__const) non-external _SortPointers.gaps
00007ff812f3f4d0 (__TEXT,__text) non-external _StoreCommands
00007ff812fa3a70 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff812fa3870 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff812f22bb1 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff812f24747 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff812f23d0f (__TEXT,__text) non-external _StoreSymbol
00007ff812f23ec7 (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff812f22fed (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff812f24fc6 (__TEXT,__text) non-external _StoreVarLenUint8
00007ff812f007ad (__TEXT,__text) non-external _UpdateBits
00007ff812ef8a25 (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff812f1b675 (__TEXT,__text) non-external _UpdateNodes
00007ff812f0b5f8 (__TEXT,__text) non-external _WrapRingBuffer
00007ff812ef8d0b (__TEXT,__text) non-external _WriteMetaBlockInternal
00007ff812f086d8 (__TEXT,__text) non-external _WriteRingBuffer
00007ff812f1b53c (__TEXT,__text) non-external _ZopfliCostModelSetFromLiteralCosts
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff812fc5150 (__TEXT,__const) non-external __ZL21counter_get_quantizerPK12cosl_counter.lut
00007ff812f6edb0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_off
00007ff812f6ecc0 (__TEXT,__const) non-external __ZL22lzma_copy_with_patternPhjj.repeat_perm
00007ff8416c4690 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff812f0ee66 (__TEXT,__text) non-external ___yzip_jobs_process_block_invoke
00007ff812faabe0 (__TEXT,__const) non-external (was a private external) __dist_code
00007ff843cbfd00 (__DATA,__data) non-external __dyld_private
00007ff812fa3050 (__TEXT,__const) non-external (was a private external) __kBrotliContextLookupTable
00007ff812f4e8a0 (__TEXT,__const) non-external (was a private external) __kBrotliPrefixCodeRanges
00007ff812faade0 (__TEXT,__const) non-external (was a private external) __length_code
00007ff812f42515 (__TEXT,__text) non-external (was a private external) __tr_align
00007ff812ee9a2f (__TEXT,__text) non-external (was a private external) __tr_flush_block
00007ff812ee7e16 (__TEXT,__text) non-external (was a private external) __tr_init
00007ff812f423ee (__TEXT,__text) non-external (was a private external) __tr_stored_block
00007ff812f42745 (__TEXT,__text) non-external (was a private external) __tr_tally
00007ff812ee7ce0 (__TEXT,__text) non-external (was a private external) _adler32
00007ff812ef1620 (__TEXT,__text) non-external (was a private external) _adler32_vec
00007ff812fab5d0 (__TEXT,__const) non-external _base_dist
00007ff812fab550 (__TEXT,__const) non-external _base_length
00007ff812f426c3 (__TEXT,__text) non-external _bi_flush
00007ff812eeb377 (__TEXT,__text) non-external _bi_windup
00007ff812fab530 (__TEXT,__const) non-external _bl_order
00007ff812fa2dd0 (__TEXT,__const) non-external _breverse.brev8
00007ff812f406f3 (__TEXT,__text) non-external (was a private external) _brotli_decode_buffer
00007ff812f40728 (__TEXT,__text) non-external (was a private external) _brotli_encode_buffer
00007ff812f408de (__TEXT,__text) non-external (was a private external) _brotli_stream_end
00007ff812f40808 (__TEXT,__text) non-external (was a private external) _brotli_stream_init
00007ff812f40764 (__TEXT,__text) non-external (was a private external) _brotli_stream_process
00007ff812eea3e9 (__TEXT,__text) non-external _build_tree
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ff812f4067c (__TEXT,__text) non-external (was a private external) _codecGetFooterID
00007ff812f3fc9b (__TEXT,__text) non-external (was a private external) _codecReadHeader
00007ff812f40604 (__TEXT,__text) non-external (was a private external) _codecResetModel
00007ff812f4016c (__TEXT,__text) non-external (was a private external) _codecWriteHeader
00007ff812eeaf4e (__TEXT,__text) non-external _compress_block
00007ff812eed193 (__TEXT,__text) external _compression_decode_buffer
00007ff812eed08f (__TEXT,__text) external _compression_decode_scratch_buffer_size
00007ff812f39660 (__TEXT,__text) external _compression_encode_buffer
00007ff812f3950e (__TEXT,__text) external _compression_encode_scratch_buffer_size
00007ff812eeb537 (__TEXT,__text) external _compression_stream_destroy
00007ff812f10556 (__TEXT,__text) external _compression_stream_get_decode_state_size
00007ff812f10500 (__TEXT,__text) external _compression_stream_get_encode_state_size
00007ff812f104b9 (__TEXT,__text) external _compression_stream_get_state_size
00007ff812f10437 (__TEXT,__text) external _compression_stream_identify_algorithm
00007ff812ee76c0 (__TEXT,__text) external _compression_stream_init
00007ff812f103e9 (__TEXT,__text) external _compression_stream_init_with_state_buffer
00007ff812f105ac (__TEXT,__text) external _compression_stream_is_state_valid
00007ff812ee8361 (__TEXT,__text) external _compression_stream_process
00007ff812eed8cf (__TEXT,__text) external _compression_stream_reinit
00007ff8416c4f00 (__DATA_CONST,__const) non-external _configuration_table
00007ff812f1709b (__TEXT,__text) non-external _convert_row_16to8
00007ff812f17036 (__TEXT,__text) non-external _convert_row_8to16
00007ff812f16e38 (__TEXT,__text) non-external _convert_row_GUVAtoRGBA8888
00007ff812f1693e (__TEXT,__text) non-external _convert_row_GUVtoRGB888
00007ff812f17398 (__TEXT,__text) non-external _convert_row_PlanarRGtoRG
00007ff812f17110 (__TEXT,__text) non-external _convert_row_RG88toRG
00007ff812f16715 (__TEXT,__text) non-external _convert_row_RGB888toGUV
00007ff812f16b5d (__TEXT,__text) non-external _convert_row_RGBA8888toGUVA
00007ff812f1729b (__TEXT,__text) non-external _convert_row_RGtoPlanarRG
00007ff812f171c9 (__TEXT,__text) non-external _convert_row_RGtoRG88
00007ff812f17103 (__TEXT,__text) non-external _convert_row_copy16
00007ff812f15bae (__TEXT,__text) non-external (was a private external) _convert_row_to_lsb
00007ff812f15b54 (__TEXT,__text) non-external (was a private external) _convert_row_to_msb
00007ff812f1649c (__TEXT,__text) non-external _convert_rows_from_bayer16
00007ff812f16261 (__TEXT,__text) non-external _convert_rows_from_bayer8
00007ff812f15d0c (__TEXT,__text) non-external _convert_rows_from_quadra8
00007ff812f165f8 (__TEXT,__text) non-external _convert_rows_to_bayer16
00007ff812f16376 (__TEXT,__text) non-external _convert_rows_to_bayer8
00007ff812f15faf (__TEXT,__text) non-external _convert_rows_to_quadra8
00007ff812f4abc1 (__TEXT,__text) external _cosl_codec_decode
00007ff812f4a1b6 (__TEXT,__text) external _cosl_codec_encode
00007ff812f4aab8 (__TEXT,__text) external _cosl_codec_get_decoded_size
00007ff812f4b8c7 (__TEXT,__text) external _cosl_codec_get_id
00007ff812f4b678 (__TEXT,__text) external _cosl_codec_map
00007ff812f4b87d (__TEXT,__text) external _cosl_codec_unmap
00007ff812f4b195 (__TEXT,__text) external _cosl_model_create
00007ff812f4b2d7 (__TEXT,__text) external _cosl_model_destroy
00007ff812f4b300 (__TEXT,__text) external _cosl_model_save_codec
00007ff812f49d19 (__TEXT,__text) external _cosl_model_update
00007ff812f27d5e (__TEXT,__text) external _cosmix_codec_decode
00007ff812f27404 (__TEXT,__text) external _cosmix_codec_encode
00007ff812f27c7a (__TEXT,__text) external _cosmix_codec_get_decoded_size
00007ff812f2883d (__TEXT,__text) external _cosmix_codec_get_id
00007ff812f286b6 (__TEXT,__text) external _cosmix_codec_map
00007ff812f287f5 (__TEXT,__text) external _cosmix_codec_unmap
00007ff812f282d9 (__TEXT,__text) external _cosmix_model_create
00007ff812f28404 (__TEXT,__text) external _cosmix_model_destroy
00007ff812f2842d (__TEXT,__text) external _cosmix_model_save_codec
00007ff812f26d88 (__TEXT,__text) external _cosmix_model_update
00007ff812f3f97c (__TEXT,__text) non-external (was a private external) _crc32
00007ff812fac4b0 (__TEXT,__const) non-external _crc32_lut4
00007ff812fa3ad0 (__TEXT,__const) non-external _crc_table
00007ff812f13e3a (__TEXT,__text) non-external _create_rectangle_within_image
00007ff812f071bf (__TEXT,__text) non-external (was a private external) _create_thread
00007ff812ee8773 (__TEXT,__text) non-external (was a private external) _deflate
00007ff812f482a4 (__TEXT,__text) non-external (was a private external) _deflateBound
00007ff812f48879 (__TEXT,__text) non-external (was a private external) _deflateCopy
00007ff812eeb44c (__TEXT,__text) non-external (was a private external) _deflateEnd
00007ff812ee7886 (__TEXT,__text) non-external (was a private external) _deflateInit2_
00007ff812f47fc0 (__TEXT,__text) non-external (was a private external) _deflateInit_
00007ff812f4817f (__TEXT,__text) non-external (was a private external) _deflateParams
00007ff812f4814a (__TEXT,__text) non-external (was a private external) _deflatePrime
00007ff812ee7b99 (__TEXT,__text) non-external (was a private external) _deflateReset
00007ff812f47fea (__TEXT,__text) non-external (was a private external) _deflateSetDictionary
00007ff812f48125 (__TEXT,__text) non-external (was a private external) _deflateSetHeader
00007ff812f48270 (__TEXT,__text) non-external (was a private external) _deflateTune
00007ff812fac450 (__TEXT,__const) non-external (was a private external) _deflate_copyright
00007ff812f48cb4 (__TEXT,__text) non-external _deflate_fast
00007ff812f483ad (__TEXT,__text) non-external _deflate_huff
00007ff812f48528 (__TEXT,__text) non-external _deflate_rle
00007ff812ee90de (__TEXT,__text) non-external _deflate_slow
00007ff812f48aec (__TEXT,__text) non-external _deflate_stored
                 (undefined) external _dispatch_apply (from libSystem)
00007ff812f21075 (__TEXT,__text) non-external _emitMatch
00007ff812fab4e0 (__TEXT,__const) non-external _extra_blbits
00007ff812fab460 (__TEXT,__const) non-external _extra_dbits
00007ff812fab3e0 (__TEXT,__const) non-external _extra_lbits
                 (undefined) external _fclose (from libSystem)
00007ff812ee95d2 (__TEXT,__text) non-external _fill_window
00007ff812eeb3e8 (__TEXT,__text) non-external _flush_pending
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff812f47f74 (__TEXT,__text) non-external _fse_adjust_freqs
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff812fac100 (__TEXT,__const) non-external _getDSymbolFromValue.sym
00007ff812fab680 (__TEXT,__const) non-external _getLSymbolFromValue.sym
00007ff812fab7c0 (__TEXT,__const) non-external _getMSymbolFromValue.sym
