00000001a950a2c0 (__TEXT,__text) non-external +[NFPromise new]
00000001a9505528 (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001a95069b8 (__TEXT,__text) non-external -[NFPromise then:]
00000001a95055bc (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001a950a5d4 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001a950a544 (__TEXT,__text) non-external -[NFPromise then]
00000001a950bc68 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001a9504a4c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001a9505020 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001a950df28 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001a950dfdc (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001a9505490 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001a9505478 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001a950bb6c (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001a95056cc (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001a9505534 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001a9505018 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001a9504e88 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001a9506558 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001a95054c0 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001a9504d6c (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001a950519c (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001a950e090 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001a95054b4 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001a950bc5c (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001a95054ac (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001a95054a0 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001a9505480 (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001a9505498 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001a950c068 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001a950bf5c (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001a9505c4c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001a950c054 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001a95064f4 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001a950bf10 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001a950bdc8 (__TEXT,__text) non-external -[NFReachability init]
00000001a950c040 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001a950c02c (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001a950c05c (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001a950c024 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001a950c048 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001a950c034 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001a9509afc (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001a9508b68 (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001a9508ad0 (__TEXT,__text) non-external -[NFStateMachine activate]
00000001a9508e38 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001a950ddc0 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001a9508cec (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001a950dd0c (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001a9508c78 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001a9508bdc (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001a95089b4 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001a95088f8 (__TEXT,__text) non-external -[NFStateMachine description]
00000001a9509ac4 (__TEXT,__text) non-external -[NFStateMachine events]
00000001a9508f84 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001a95087a8 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001a9509ad8 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001a9509a78 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001a9509acc (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001a9509ae0 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001a9509aa4 (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001a9509a6c (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001a9509ab8 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001a9509a5c (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001a9509af4 (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001a9509a64 (__TEXT,__text) non-external -[NFStateMachine state]
00000001a9509ab0 (__TEXT,__text) non-external -[NFStateMachine states]
00000001a9509aec (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001a9509a54 (__TEXT,__text) non-external -[NFStateMachine status]
00000001a950c528 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001a950c2cc (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001a950c504 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001a950c518 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001a950c3e4 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001a950c18c (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001a950c0b8 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001a950c1dc (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001a950c4e0 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001a950c3b4 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001a950c50c (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001a950c520 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001a950c4e8 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001a950c4f8 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001a950c4f0 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001a950c924 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001a950c8d4 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001a950c740 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001a950c914 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001a950c904 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001a950c600 (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001a950c584 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001a950c650 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001a950c8c4 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001a950c7d4 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001a950c894 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001a950c834 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001a950c864 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001a950c804 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001a950c8dc (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001a950c91c (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001a950c90c (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001a950c8cc (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001a950c8fc (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001a950c8ec (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001a950c8f4 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001a950c8e4 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001a950c998 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001a950cce4 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001a950cbe8 (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001a950cb24 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001a950ca60 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001a9506f9c (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001a9506f88 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001a9506e28 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001a9506f4c (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001a9506f60 (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001a9506d04 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001a9506f90 (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001a9506f54 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001a9506f68 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001a9506f40 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001a9506f7c (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001a9506f38 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001a9506f74 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001a9505854 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001a9505980 (__TEXT,__text) non-external -[NFUnfairLock init]
00000001a9505750 (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001a95058b0 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001a9506278 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001a950b2c0 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001a9508720 (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001a9509f14 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001a950b938 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001a950ba5c (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001a9509bd8 (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001a9505fd8 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001a950ff44 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001a950ffb0 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
                 (undefined) external _MGGetProductType (from libMobileGestalt)
                 (undefined) external _MGIsDeviceOneOfType (from libMobileGestalt)
00000001a9508450 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001a9506234 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001d984a728 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001d984a730 (__DATA_DIRTY,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001a950d5e0 (__TEXT,__text) external _NFDeviceIsA7
00000001d7dff930 (__DATA,__bss) non-external _NFDeviceIsA7.onceToken
00000001d7dff928 (__DATA,__bss) non-external _NFDeviceIsA7.result
00000001a950d734 (__TEXT,__text) external _NFDeviceIsA8
00000001d7dff940 (__DATA,__bss) non-external _NFDeviceIsA8.onceToken
00000001d7dff938 (__DATA,__bss) non-external _NFDeviceIsA8.result
00000001a950d8a0 (__TEXT,__text) external _NFDeviceModelString
00000001a9506b68 (__TEXT,__text) external _NFDeviceOSVersion
00000001a9506964 (__TEXT,__text) external _NFDevicePlatform
00000001d984a720 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001d984a718 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001a9505b68 (__TEXT,__text) external _NFGeneralDeviceString
00000001a950e144 (__TEXT,__text) non-external _NFGeneralDeviceString.cold.1
00000001a9505768 (__TEXT,__text) external _NFInternalBuild
00000001d984a6d8 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.internalBuild
00000001d984a6d0 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001a950bd3c (__TEXT,__text) external _NFLockSync
00000001a9506a7c (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001a9505760 (__TEXT,__text) external _NFSeedBuild
00000001d394b190 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001a9505b14 (__TEXT,__text) external _NFStoreDemoMode
00000001d984a6e0 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001d984a6d9 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001a950f280 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001a950f240 (__TEXT,__const) external _NewsFoundationVersionString
00000001d984a388 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001d984a2c0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001d984a2e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001d984a400 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001d984a680 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001d984a590 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001d984a270 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001d984a450 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001d984a4f0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001d984a540 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001d984a3b0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001d984a5e0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001d984a630 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001d984a220 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001d984a1d0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001d984a4c8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001d7dff698 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001d7dff69c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001d7dff6b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001d7dff6ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001d7dff6a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001d7dff6a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001d7dff6a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001d7dff6d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001d7dff6d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001d7dff6d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001d7dff730 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001d7dff734 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001d7dff704 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001d7dff68c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001d7dff694 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00000001d7dff690 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00000001d7dff6dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00000001d7dff6e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00000001d7dff6ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
00000001d7dff6f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._lock
00000001d7dff6e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._state
00000001d7dff6e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._value
