                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
000000027aad43e8 (__TEXT,__text) external _apr__SHA256_Data
000000027aac6774 (__TEXT,__text) external _apr_atomic_read32
000000027aac677c (__TEXT,__text) external _apr_atomic_set32
000000027aac678c (__TEXT,__text) external _apr_atomic_sub32
000000027aac67c0 (__TEXT,__text) external _apr_atomic_xchg32
000000027aac67d8 (__TEXT,__text) external _apr_atomic_xchgptr
000000027aac0460 (__TEXT,__text) external _apr_collapse_spaces
000000027aac0120 (__TEXT,__text) external _apr_cpystrn
000000027aad4478 (__TEXT,__text) external _apr_crypto_sha256_new
000000027aad67f4 (__TEXT,__text) external _apr_ctime
000000027aad7f08 (__TEXT,__const) external _apr_day_snames
000000027aac6d64 (__TEXT,__text) external _apr_dir_close
000000027aac6fa0 (__TEXT,__text) external _apr_dir_make
000000027aac6fe0 (__TEXT,__text) external _apr_dir_make_recursive
000000027aac6c98 (__TEXT,__text) external _apr_dir_open
000000027aac6da4 (__TEXT,__text) external _apr_dir_read
000000027aac70e8 (__TEXT,__text) external _apr_dir_remove
000000027aac6f80 (__TEXT,__text) external _apr_dir_rewind
000000027aac69a8 (__TEXT,__text) external _apr_dso_error
000000027aac684c (__TEXT,__text) external _apr_dso_load
000000027aac6958 (__TEXT,__text) external _apr_dso_sym
000000027aac693c (__TEXT,__text) external _apr_dso_unload
000000027aaccf00 (__TEXT,__text) external _apr_env_delete
000000027aacce9c (__TEXT,__text) external _apr_env_get
000000027aaccedc (__TEXT,__text) external _apr_env_set
000000027aabfa24 (__TEXT,__text) external _apr_escape_echo
000000027aabf2e8 (__TEXT,__text) external _apr_escape_entity
000000027aabfd00 (__TEXT,__text) external _apr_escape_hex
000000027aabef2c (__TEXT,__text) external _apr_escape_path
000000027aabed9c (__TEXT,__text) external _apr_escape_path_segment
000000027aabe780 (__TEXT,__text) external _apr_escape_shell
000000027aabf138 (__TEXT,__text) external _apr_escape_urlencoded
000000027aac6c60 (__TEXT,__text) external _apr_file_append
000000027aac7eec (__TEXT,__text) external _apr_file_attrs_set
000000027aac69f0 (__TEXT,__text) external _apr_file_buffer_set
000000027aac6a8c (__TEXT,__text) external _apr_file_buffer_size_get
000000027aac8958 (__TEXT,__text) external _apr_file_close
000000027aac6a94 (__TEXT,__text) external _apr_file_copy
000000027aac7220 (__TEXT,__text) external _apr_file_data_get
000000027aac7228 (__TEXT,__text) external _apr_file_data_set
000000027aac9bac (__TEXT,__text) external _apr_file_datasync
000000027aac7240 (__TEXT,__text) external _apr_file_dup
000000027aac743c (__TEXT,__text) external _apr_file_dup2
000000027aac8aac (__TEXT,__text) external _apr_file_eof
000000027aac719c (__TEXT,__text) external _apr_file_flags_get
000000027aac9ae0 (__TEXT,__text) external _apr_file_flush
000000027aac9864 (__TEXT,__text) external _apr_file_flush_locked
000000027aac9a60 (__TEXT,__text) external _apr_file_getc
000000027aac9c20 (__TEXT,__text) external _apr_file_gets
000000027aac7df0 (__TEXT,__text) external _apr_file_info_get
000000027aac7c98 (__TEXT,__text) external _apr_file_info_get_locked
000000027aac8ce4 (__TEXT,__text) external _apr_file_inherit_set
000000027aac8da4 (__TEXT,__text) external _apr_file_inherit_unset
000000027aac8e6c (__TEXT,__text) external _apr_file_link
000000027aac8154 (__TEXT,__text) external _apr_file_lock
000000027aac8510 (__TEXT,__text) external _apr_file_mktemp
000000027aac8060 (__TEXT,__text) external _apr_file_mtime_set
000000027aac718c (__TEXT,__text) external _apr_file_name_get
000000027aac9350 (__TEXT,__text) external _apr_file_namedpipe_create
000000027aac86e8 (__TEXT,__text) external _apr_file_open
000000027aac8ac4 (__TEXT,__text) external _apr_file_open_flags_stderr
000000027aac8b34 (__TEXT,__text) external _apr_file_open_flags_stdin
000000027aac8afc (__TEXT,__text) external _apr_file_open_flags_stdout
000000027aac8b68 (__TEXT,__text) external _apr_file_open_stderr
000000027aac8c68 (__TEXT,__text) external _apr_file_open_stdin
000000027aac8be8 (__TEXT,__text) external _apr_file_open_stdout
000000027aac7ea0 (__TEXT,__text) external _apr_file_perms_set
000000027aac9124 (__TEXT,__text) external _apr_file_pipe_create
000000027aac92d4 (__TEXT,__text) external _apr_file_pipe_create_ex
000000027aac8f7c (__TEXT,__text) external _apr_file_pipe_timeout_get
000000027aac8e9c (__TEXT,__text) external _apr_file_pipe_timeout_set
000000027aac8e64 (__TEXT,__text) external _apr_file_pool_get
000000027aac9de8 (__TEXT,__text) external _apr_file_printf
000000027aac9a14 (__TEXT,__text) external _apr_file_putc
000000027aac9a98 (__TEXT,__text) external _apr_file_puts
000000027aac939c (__TEXT,__text) external _apr_file_read
000000027aac828c (__TEXT,__text) external _apr_file_read_full
000000027aac8974 (__TEXT,__text) external _apr_file_remove
000000027aac8998 (__TEXT,__text) external _apr_file_rename
000000027aac9ee0 (__TEXT,__text) external _apr_file_seek
000000027aac7468 (__TEXT,__text) external _apr_file_setaside
000000027aac9b38 (__TEXT,__text) external _apr_file_sync
000000027aaca0c0 (__TEXT,__text) external _apr_file_trunc
000000027aac9a50 (__TEXT,__text) external _apr_file_ungetc
000000027aac8208 (__TEXT,__text) external _apr_file_unlock
000000027aac966c (__TEXT,__text) external _apr_file_write
000000027aac8308 (__TEXT,__text) external _apr_file_write_full
000000027aac9930 (__TEXT,__text) external _apr_file_writev
000000027aac8384 (__TEXT,__text) external _apr_file_writev_full
000000027aac7a74 (__TEXT,__text) external _apr_filepath_encoding
000000027aac75a8 (__TEXT,__text) external _apr_filepath_get
000000027aac7a68 (__TEXT,__text) external _apr_filepath_list_merge
000000027aac7b4c (__TEXT,__text) external _apr_filepath_list_merge_impl
000000027aac7a5c (__TEXT,__text) external _apr_filepath_list_split
000000027aac7a84 (__TEXT,__text) external _apr_filepath_list_split_impl
000000027aac76e8 (__TEXT,__text) external _apr_filepath_merge
000000027aac0430 (__TEXT,__text) external _apr_filepath_name_get
000000027aac7678 (__TEXT,__text) external _apr_filepath_root
000000027aac7654 (__TEXT,__text) external _apr_filepath_set
000000027aac04dc (__TEXT,__text) external _apr_fnmatch
000000027aac0cfc (__TEXT,__text) external _apr_fnmatch_test
000000027aacdf08 (__TEXT,__text) external _apr_generate_random_bytes
000000027aad183c (__TEXT,__text) external _apr_gethostname
000000027aacfb34 (__TEXT,__text) external _apr_getnameinfo
000000027aacd42c (__TEXT,__text) external _apr_getopt
000000027aacd344 (__TEXT,__text) external _apr_getopt_init
000000027aacd664 (__TEXT,__text) external _apr_getopt_long
000000027aacfc78 (__TEXT,__text) external _apr_getservbyname
000000027aad6b18 (__TEXT,__text) external _apr_gid_get
000000027aad6a48 (__TEXT,__text) external _apr_gid_name_get
000000027aaca490 (__TEXT,__text) external _apr_global_mutex_child_init
000000027aaca35c (__TEXT,__text) external _apr_global_mutex_create
000000027aaca5a0 (__TEXT,__text) external _apr_global_mutex_destroy
000000027aaca49c (__TEXT,__text) external _apr_global_mutex_lock
000000027aaca5bc (__TEXT,__text) external _apr_global_mutex_lockfile
000000027aaca5c4 (__TEXT,__text) external _apr_global_mutex_name
000000027aaca5cc (__TEXT,__text) external _apr_global_mutex_pool_get
000000027aaca4f0 (__TEXT,__text) external _apr_global_mutex_trylock
000000027aaca544 (__TEXT,__text) external _apr_global_mutex_unlock
000000027aac39d4 (__TEXT,__text) external _apr_hash_clear
000000027aac36b4 (__TEXT,__text) external _apr_hash_copy
000000027aac39cc (__TEXT,__text) external _apr_hash_count
000000027aac3cc4 (__TEXT,__text) external _apr_hash_do
000000027aac35a8 (__TEXT,__text) external _apr_hash_first
000000027aac37a4 (__TEXT,__text) external _apr_hash_get
000000027aac3488 (__TEXT,__text) external _apr_hash_make
000000027aac3534 (__TEXT,__text) external _apr_hash_make_custom
000000027aac3a40 (__TEXT,__text) external _apr_hash_merge
000000027aac355c (__TEXT,__text) external _apr_hash_next
000000027aac3a34 (__TEXT,__text) external _apr_hash_overlay
000000027aac3d6c (__TEXT,__text) external _apr_hash_pool_get
000000027aac38f4 (__TEXT,__text) external _apr_hash_set
000000027aac35f8 (__TEXT,__text) external _apr_hash_this
000000027aac362c (__TEXT,__text) external _apr_hash_this_key
000000027aac3638 (__TEXT,__text) external _apr_hash_this_key_len
000000027aac3644 (__TEXT,__text) external _apr_hash_this_val
000000027aac3650 (__TEXT,__text) external _apr_hashfunc_default
000000027aace328 (__TEXT,__text) external _apr_inet_ntop
000000027aace6c4 (__TEXT,__text) external _apr_inet_pton
000000027aacdfdc (__TEXT,__text) external _apr_initialize
000000027aacfe68 (__TEXT,__text) external _apr_ipsubnet_create
000000027aad0198 (__TEXT,__text) external _apr_ipsubnet_test
000000027aac4bcc (__TEXT,__text) external _apr_is_empty_array
000000027aac5088 (__TEXT,__text) external _apr_is_empty_table
000000027aac2f28 (__TEXT,__text) external _apr_itoa
000000027aac2fa0 (__TEXT,__text) external _apr_ltoa
000000027aac0d74 (__TEXT,__text) external _apr_match_glob
000000027aaceb84 (__TEXT,__text) external _apr_mcast_hops
000000027aacec54 (__TEXT,__text) external _apr_mcast_interface
000000027aacea68 (__TEXT,__text) external _apr_mcast_join
000000027aaceb6c (__TEXT,__text) external _apr_mcast_leave
000000027aacec44 (__TEXT,__text) external _apr_mcast_loopback
000000027aace0ec (__TEXT,__text) external _apr_mmap_create
000000027aace30c (__TEXT,__text) external _apr_mmap_delete
000000027aace274 (__TEXT,__text) external _apr_mmap_dup
000000027aace0bc (__TEXT,__text) external _apr_mmap_offset
000000027aad7ed8 (__TEXT,__const) external _apr_month_snames
000000027aac3018 (__TEXT,__text) external _apr_off_t_toa
000000027aacce30 (__TEXT,__text) external _apr_os_default_encoding
000000027aac710c (__TEXT,__text) external _apr_os_dir_get
000000027aac712c (__TEXT,__text) external _apr_os_dir_put
000000027aac683c (__TEXT,__text) external _apr_os_dso_handle_get
000000027aac67e4 (__TEXT,__text) external _apr_os_dso_handle_put
000000027aad6514 (__TEXT,__text) external _apr_os_exp_time_get
000000027aad6564 (__TEXT,__text) external _apr_os_exp_time_put
000000027aac89bc (__TEXT,__text) external _apr_os_file_get
000000027aac89cc (__TEXT,__text) external _apr_os_file_put
000000027aaca588 (__TEXT,__text) external _apr_os_global_mutex_get
000000027aad64d4 (__TEXT,__text) external _apr_os_imp_time_get
000000027aad6540 (__TEXT,__text) external _apr_os_imp_time_put
000000027aacce3c (__TEXT,__text) external _apr_os_locale_encoding
000000027aac9084 (__TEXT,__text) external _apr_os_pipe_put
000000027aac8fa4 (__TEXT,__text) external _apr_os_pipe_put_ex
000000027aaca7a0 (__TEXT,__text) external _apr_os_proc_mutex_get
000000027aaca7c0 (__TEXT,__text) external _apr_os_proc_mutex_put
000000027aad4ac8 (__TEXT,__text) external _apr_os_shm_get
000000027aad4ad4 (__TEXT,__text) external _apr_os_shm_put
000000027aad0eac (__TEXT,__text) external _apr_os_sock_get
000000027aad0ebc (__TEXT,__text) external _apr_os_sock_make
000000027aad0fdc (__TEXT,__text) external _apr_os_sock_put
000000027aad5f90 (__TEXT,__text) external _apr_os_thread_current
000000027aad5f94 (__TEXT,__text) external _apr_os_thread_equal
000000027aad6024 (__TEXT,__text) external _apr_os_thread_get
000000027aad6034 (__TEXT,__text) external _apr_os_thread_put
000000027aad61b4 (__TEXT,__text) external _apr_os_threadkey_get
000000027aad61c4 (__TEXT,__text) external _apr_os_threadkey_put
000000027aacde9c (__TEXT,__text) external _apr_os_uuid_get
000000027aacbfb4 (__TEXT,__text) external _apr_palloc
000000027aacce14 (__TEXT,__text) external _apr_palloc_debug
000000027aacf83c (__TEXT,__text) external _apr_parse_addr_port
000000027aac00a8 (__TEXT,__text) external _apr_password_get
000000027aacc0dc (__TEXT,__text) external _apr_pcalloc
000000027aacce18 (__TEXT,__text) external _apr_pcalloc_debug
000000027aabfc80 (__TEXT,__text) external _apr_pescape_echo
000000027aabf5a8 (__TEXT,__text) external _apr_pescape_entity
000000027aabfd98 (__TEXT,__text) external _apr_pescape_hex
000000027aabf0b8 (__TEXT,__text) external _apr_pescape_path
000000027aabeec0 (__TEXT,__text) external _apr_pescape_path_segment
000000027aabe874 (__TEXT,__text) external _apr_pescape_shell
000000027aabf27c (__TEXT,__text) external _apr_pescape_urlencoded
000000027aac2b50 (__TEXT,__text) external _apr_pmemdup
000000027aad2318 (__TEXT,__text) external _apr_poll
000000027aad2e8c (__TEXT,__text) external _apr_poll_method_defname
000000027aad2b20 (__TEXT,__text) external _apr_pollcb_add
000000027aad2b18 (__TEXT,__text) external _apr_pollcb_create
000000027aad29ec (__TEXT,__text) external _apr_pollcb_create_ex
000000027aad2b38 (__TEXT,__text) external _apr_pollcb_poll
0000000297f1b098 (__DATA,__data) external _apr_pollcb_provider_kqueue
0000000297f1b0a8 (__DATA,__data) external _apr_pollcb_provider_poll
000000027aad2b2c (__TEXT,__text) external _apr_pollcb_remove
000000027aad2f10 (__TEXT,__text) external _apr_pollset_add
000000027aad2eb0 (__TEXT,__text) external _apr_pollset_create
000000027aad2bc0 (__TEXT,__text) external _apr_pollset_create_ex
000000027aad2eb8 (__TEXT,__text) external _apr_pollset_destroy
000000027aad2b44 (__TEXT,__text) external _apr_pollset_drain_wakeup_pipe
000000027aad2e80 (__TEXT,__text) external _apr_pollset_method_name
000000027aad2f28 (__TEXT,__text) external _apr_pollset_poll
0000000297f1b090 (__DATA,__data) external _apr_pollset_provider_kqueue
0000000297f1b0a0 (__DATA,__data) external _apr_pollset_provider_poll
0000000297f1b0b0 (__DATA,__data) external _apr_pollset_provider_select
000000027aad2f1c (__TEXT,__text) external _apr_pollset_remove
000000027aad2ef0 (__TEXT,__text) external _apr_pollset_wakeup
000000027aacc9a0 (__TEXT,__text) external _apr_pool_abort_get
000000027aacc998 (__TEXT,__text) external _apr_pool_abort_set
000000027aacc9b0 (__TEXT,__text) external _apr_pool_allocator_get
000000027aacccd8 (__TEXT,__text) external _apr_pool_child_cleanup_set
000000027aaccd58 (__TEXT,__text) external _apr_pool_cleanup_for_exec
000000027aaccc38 (__TEXT,__text) external _apr_pool_cleanup_kill
000000027aaccdc0 (__TEXT,__text) external _apr_pool_cleanup_null
000000027aacca9c (__TEXT,__text) external _apr_pool_cleanup_register
000000027aaccd10 (__TEXT,__text) external _apr_pool_cleanup_run
000000027aacc118 (__TEXT,__text) external _apr_pool_clear
000000027aacce1c (__TEXT,__text) external _apr_pool_clear_debug
000000027aacc424 (__TEXT,__text) external _apr_pool_create_core_ex
000000027aacce28 (__TEXT,__text) external _apr_pool_create_core_ex_debug
000000027aacbc7c (__TEXT,__text) external _apr_pool_create_ex
000000027aacce24 (__TEXT,__text) external _apr_pool_create_ex_debug
000000027aacc428 (__TEXT,__text) external _apr_pool_create_unmanaged_ex
000000027aacce2c (__TEXT,__text) external _apr_pool_create_unmanaged_ex_debug
000000027aacbde0 (__TEXT,__text) external _apr_pool_destroy
000000027aacce20 (__TEXT,__text) external _apr_pool_destroy_debug
000000027aacbb70 (__TEXT,__text) external _apr_pool_initialize
000000027aacc9b8 (__TEXT,__text) external _apr_pool_is_ancestor
000000027aaccdc8 (__TEXT,__text) external _apr_pool_note_subprocess
000000027aacc9a8 (__TEXT,__text) external _apr_pool_parent_get
000000027aaccbd0 (__TEXT,__text) external _apr_pool_pre_cleanup_register
000000027aacbd80 (__TEXT,__text) external _apr_pool_tag
000000027aacbd88 (__TEXT,__text) external _apr_pool_terminate
000000027aaccb98 (__TEXT,__text) external _apr_pool_userdata_get
000000027aacc9e0 (__TEXT,__text) external _apr_pool_userdata_set
000000027aaccb08 (__TEXT,__text) external _apr_pool_userdata_setn
000000027aad5230 (__TEXT,__text) external _apr_proc_create
000000027aad5a98 (__TEXT,__text) external _apr_proc_detach
000000027aad5108 (__TEXT,__text) external _apr_proc_fork
000000027aad5b80 (__TEXT,__text) external _apr_proc_kill
000000027aaca728 (__TEXT,__text) external _apr_proc_mutex_child_init
000000027aaca5f0 (__TEXT,__text) external _apr_proc_mutex_cleanup
000000027aaca680 (__TEXT,__text) external _apr_proc_mutex_create
000000027aaca668 (__TEXT,__text) external _apr_proc_mutex_defname
000000027aaca5d4 (__TEXT,__text) external _apr_proc_mutex_destroy
000000027aaca744 (__TEXT,__text) external _apr_proc_mutex_lock
000000027aaca768 (__TEXT,__text) external _apr_proc_mutex_lockfile
000000027aaca674 (__TEXT,__text) external _apr_proc_mutex_name
000000027aaca798 (__TEXT,__text) external _apr_proc_mutex_pool_get
000000027aaca750 (__TEXT,__text) external _apr_proc_mutex_trylock
000000027aaca5fc (__TEXT,__text) external _apr_proc_mutex_unix_setup_lock
000000027aaca75c (__TEXT,__text) external _apr_proc_mutex_unlock
000000027aacdd58 (__TEXT,__text) external _apr_proc_other_child_alert
000000027aacddc0 (__TEXT,__text) external _apr_proc_other_child_refresh
000000027aacde5c (__TEXT,__text) external _apr_proc_other_child_refresh_all
000000027aacdb7c (__TEXT,__text) external _apr_proc_other_child_register
000000027aacdcac (__TEXT,__text) external _apr_proc_other_child_unregister
000000027aad57bc (__TEXT,__text) external _apr_proc_spawn
000000027aad5998 (__TEXT,__text) external _apr_proc_wait
000000027aad598c (__TEXT,__text) external _apr_proc_wait_all_procs
000000027aad5188 (__TEXT,__text) external _apr_procattr_addrspace_set
000000027aad4f88 (__TEXT,__text) external _apr_procattr_child_err_set
000000027aad5170 (__TEXT,__text) external _apr_procattr_child_errfn_set
000000027aad4d28 (__TEXT,__text) external _apr_procattr_child_in_set
000000027aad4e58 (__TEXT,__text) external _apr_procattr_child_out_set
000000027aad50f0 (__TEXT,__text) external _apr_procattr_cmdtype_set
000000027aad4b9c (__TEXT,__text) external _apr_procattr_create
000000027aad50fc (__TEXT,__text) external _apr_procattr_detach_set
000000027aad50b8 (__TEXT,__text) external _apr_procattr_dir_set
000000027aad517c (__TEXT,__text) external _apr_procattr_error_check_set
000000027aad51f8 (__TEXT,__text) external _apr_procattr_group_set
000000027aad4c10 (__TEXT,__text) external _apr_procattr_io_set
000000027aad5a7c (__TEXT,__text) external _apr_procattr_limit_set
000000027aad5190 (__TEXT,__text) external _apr_procattr_user_set
000000027aacc96c (__TEXT,__text) external _apr_psprintf
000000027aac2c70 (__TEXT,__text) external _apr_pstrcat
000000027aac2da4 (__TEXT,__text) external _apr_pstrcatv
000000027aac2ae8 (__TEXT,__text) external _apr_pstrdup
000000027aac2c18 (__TEXT,__text) external _apr_pstrmemdup
000000027aac2ba0 (__TEXT,__text) external _apr_pstrndup
000000027aabf9b8 (__TEXT,__text) external _apr_punescape_entity
000000027aac001c (__TEXT,__text) external _apr_punescape_hex
000000027aabece0 (__TEXT,__text) external _apr_punescape_url
000000027aacc514 (__TEXT,__text) external _apr_pvsprintf
000000027aad39e8 (__TEXT,__text) external _apr_random_add_entropy
000000027aad38dc (__TEXT,__text) external _apr_random_after_fork
000000027aad3e40 (__TEXT,__text) external _apr_random_barrier
000000027aad3730 (__TEXT,__text) external _apr_random_init
000000027aad3e10 (__TEXT,__text) external _apr_random_insecure_bytes
000000027aad3e6c (__TEXT,__text) external _apr_random_insecure_ready
000000027aad3cdc (__TEXT,__text) external _apr_random_secure_bytes
000000027aad3e58 (__TEXT,__text) external _apr_random_secure_ready
000000027aad3978 (__TEXT,__text) external _apr_random_standard_new
000000027aad65f8 (__TEXT,__text) external _apr_rfc822_date
000000027aad5cc4 (__TEXT,__text) external _apr_setup_signal_thread
000000027aad48dc (__TEXT,__text) external _apr_shm_attach
000000027aad4a64 (__TEXT,__text) external _apr_shm_attach_ex
000000027aad4ab0 (__TEXT,__text) external _apr_shm_baseaddr_get
000000027aad450c (__TEXT,__text) external _apr_shm_create
000000027aad47f4 (__TEXT,__text) external _apr_shm_create_ex
000000027aad48c0 (__TEXT,__text) external _apr_shm_destroy
000000027aad4a68 (__TEXT,__text) external _apr_shm_detach
000000027aad4ac0 (__TEXT,__text) external _apr_shm_pool_get
000000027aad47f8 (__TEXT,__text) external _apr_shm_remove
000000027aad4ab8 (__TEXT,__text) external _apr_shm_size_get
000000027aad5bb4 (__TEXT,__text) external _apr_signal
000000027aad5d08 (__TEXT,__text) external _apr_signal_block
000000027aad5c4c (__TEXT,__text) external _apr_signal_description_get
000000027aad5c48 (__TEXT,__text) external _apr_signal_init
000000027aad5c6c (__TEXT,__text) external _apr_signal_thread
000000027aad5d58 (__TEXT,__text) external _apr_signal_unblock
000000027aac4080 (__TEXT,__text) external _apr_skiplist_add_index
000000027aac3d74 (__TEXT,__text) external _apr_skiplist_alloc
000000027aac49e8 (__TEXT,__text) external _apr_skiplist_destroy
000000027aac41b0 (__TEXT,__text) external _apr_skiplist_find
000000027aac41fc (__TEXT,__text) external _apr_skiplist_find_compare
000000027aac3e98 (__TEXT,__text) external _apr_skiplist_free
000000027aac41c0 (__TEXT,__text) external _apr_skiplist_getlist
000000027aac3f0c (__TEXT,__text) external _apr_skiplist_init
000000027aac41b8 (__TEXT,__text) external _apr_skiplist_insert
000000027aac4354 (__TEXT,__text) external _apr_skiplist_insert_compare
000000027aac4ab0 (__TEXT,__text) external _apr_skiplist_merge
000000027aac41d8 (__TEXT,__text) external _apr_skiplist_next
000000027aac49c8 (__TEXT,__text) external _apr_skiplist_peek
000000027aac4984 (__TEXT,__text) external _apr_skiplist_pop
000000027aac4330 (__TEXT,__text) external _apr_skiplist_previous
000000027aac48f4 (__TEXT,__text) external _apr_skiplist_remove
000000027aac48fc (__TEXT,__text) external _apr_skiplist_remove_all
000000027aac472c (__TEXT,__text) external _apr_skiplist_remove_compare
000000027aac4038 (__TEXT,__text) external _apr_skiplist_set_compare
000000027aad658c (__TEXT,__text) external _apr_sleep
000000027aac2774 (__TEXT,__text) external _apr_snprintf
000000027aacfd00 (__TEXT,__text) external _apr_sockaddr_equal
000000027aacfa64 (__TEXT,__text) external _apr_sockaddr_info_get
000000027aacf690 (__TEXT,__text) external _apr_sockaddr_ip_get
000000027aacf5e8 (__TEXT,__text) external _apr_sockaddr_ip_getbuf
000000027aacfde4 (__TEXT,__text) external _apr_sockaddr_is_wildcard
000000027aacf6dc (__TEXT,__text) external _apr_sockaddr_vars_set
000000027aad0990 (__TEXT,__text) external _apr_socket_accept
000000027aacf73c (__TEXT,__text) external _apr_socket_addr_get
000000027aad17d4 (__TEXT,__text) external _apr_socket_atmark
000000027aad04e8 (__TEXT,__text) external _apr_socket_atreadeof
000000027aad08f4 (__TEXT,__text) external _apr_socket_bind
000000027aad08d8 (__TEXT,__text) external _apr_socket_close
000000027aad0c2c (__TEXT,__text) external _apr_socket_connect
000000027aad0628 (__TEXT,__text) external _apr_socket_create
000000027aad0dc8 (__TEXT,__text) external _apr_socket_data_get
000000027aad0e28 (__TEXT,__text) external _apr_socket_data_set
000000027aad107c (__TEXT,__text) external _apr_socket_inherit_set
000000027aad113c (__TEXT,__text) external _apr_socket_inherit_unset
000000027aad095c (__TEXT,__text) external _apr_socket_listen
000000027aad17bc (__TEXT,__text) external _apr_socket_opt_get
000000027aad1340 (__TEXT,__text) external _apr_socket_opt_set
000000027aad1074 (__TEXT,__text) external _apr_socket_pool_get
000000027aad0618 (__TEXT,__text) external _apr_socket_protocol_get
000000027aaceed8 (__TEXT,__text) external _apr_socket_recv
000000027aacf124 (__TEXT,__text) external _apr_socket_recvfrom
000000027aaceda8 (__TEXT,__text) external _apr_socket_send
000000027aacf3e8 (__TEXT,__text) external _apr_socket_sendfile
000000027aacf014 (__TEXT,__text) external _apr_socket_sendto
000000027aacf288 (__TEXT,__text) external _apr_socket_sendv
000000027aad08a4 (__TEXT,__text) external _apr_socket_shutdown
000000027aad17ac (__TEXT,__text) external _apr_socket_timeout_get
000000027aad11f0 (__TEXT,__text) external _apr_socket_timeout_set
000000027aad0db8 (__TEXT,__text) external _apr_socket_type_get
000000027aac7fb8 (__TEXT,__text) external _apr_stat
000000027aaccf1c (__TEXT,__text) external _apr_strerror
000000027aac3090 (__TEXT,__text) external _apr_strfsize
000000027aad69e4 (__TEXT,__text) external _apr_strftime
000000027aac33ec (__TEXT,__text) external _apr_strnatcasecmp
000000027aac318c (__TEXT,__text) external _apr_strnatcmp
000000027aac2e38 (__TEXT,__text) external _apr_strtoff
