00000001c9a5e684 (__TEXT,__text) non-external +[NFPromise new]
00000001c9a62ee4 (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001c9a6336c (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001c9a62d98 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001c9a63228 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00000001c9a62cd4 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00000001c9a630bc (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00000001c9a62e08 (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00000001c9a62e74 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00000001c9a62f78 (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00000001c9a61680 (__TEXT,__text) non-external -[NFMutexLock dealloc]
00000001c9a615e0 (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00000001c9a615d8 (__TEXT,__text) non-external -[NFMutexLock init]
00000001c9a61730 (__TEXT,__text) non-external -[NFMutexLock lock]
00000001c9a616cc (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00000001c9a61738 (__TEXT,__text) non-external -[NFMutexLock unlock]
00000001c9a5b754 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00000001c9a5b5b0 (__TEXT,__text) non-external -[NFPendingPromise init]
00000001c9a5b720 (__TEXT,__text) non-external -[NFPendingPromise promise]
00000001c9a5b744 (__TEXT,__text) non-external -[NFPendingPromise reject]
00000001c9a5b734 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00000001c9a5b728 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00000001c9a5b74c (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00000001c9a5b73c (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00000001c9a5fbac (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00000001c9a5e7a4 (__TEXT,__text) non-external -[NFPromise always:]
00000001c9a5ee3c (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00000001c9a5e738 (__TEXT,__text) non-external -[NFPromise dealloc]
00000001c9a5fa2c (__TEXT,__text) non-external -[NFPromise delayOn]
00000001c9a5f910 (__TEXT,__text) non-external -[NFPromise delay]
00000001c9a5e794 (__TEXT,__text) non-external -[NFPromise error:]
00000001c9a5edb0 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00000001c9a5f368 (__TEXT,__text) non-external -[NFPromise errorOn]
00000001c9a5f268 (__TEXT,__text) non-external -[NFPromise error]
00000001c9a5e6b0 (__TEXT,__text) non-external -[NFPromise initWithError:]
00000001c9a5e3f0 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00000001c9a5e5fc (__TEXT,__text) non-external -[NFPromise initWithValue:]
00000001c9a5e2c0 (__TEXT,__text) non-external -[NFPromise init]
00000001c9a5f114 (__TEXT,__text) non-external -[NFPromise pipeOn]
00000001c9a5efd0 (__TEXT,__text) non-external -[NFPromise pipe]
00000001c9a5f6c4 (__TEXT,__text) non-external -[NFPromise resolveOn]
00000001c9a5f3f4 (__TEXT,__text) non-external -[NFPromise resolve]
00000001c9a5fb98 (__TEXT,__text) non-external -[NFPromise seal]
00000001c9a5fba0 (__TEXT,__text) non-external -[NFPromise setSeal:]
00000001c9a5e784 (__TEXT,__text) non-external -[NFPromise then:]
00000001c9a5e7b4 (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00000001c9a5ef44 (__TEXT,__text) non-external -[NFPromise thenOn]
00000001c9a5eebc (__TEXT,__text) non-external -[NFPromise then]
00000001c9a61b9c (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:]
00000001c9a61c10 (__TEXT,__text) non-external -[NFPromise(Timeout) timeoutAfter:on:]
00000001c9a60fa8 (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00000001c9a60a5c (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00000001c9a60680 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00000001c9a63d38 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00000001c9a63de8 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00000001c9a60f68 (__TEXT,__text) non-external -[NFPromiseSeal error]
00000001c9a60f8c (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00000001c9a605fc (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00000001c9a60578 (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00000001c9a604f0 (__TEXT,__text) non-external -[NFPromiseSeal init]
00000001c9a60fa0 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00000001c9a60bc4 (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00000001c9a60760 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00000001c9a60754 (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00000001c9a60770 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00000001c9a60d08 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00000001c9a63e98 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00000001c9a60f70 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00000001c9a60f94 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00000001c9a60f84 (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00000001c9a60f5c (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00000001c9a60f7c (__TEXT,__text) non-external -[NFPromiseSeal state]
00000001c9a60f54 (__TEXT,__text) non-external -[NFPromiseSeal value]
00000001c9a61588 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00000001c9a61474 (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00000001c9a6136c (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00000001c9a61574 (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00000001c9a6153c (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00000001c9a61320 (__TEXT,__text) non-external -[NFReachability dealloc]
00000001c9a61170 (__TEXT,__text) non-external -[NFReachability init]
00000001c9a61560 (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00000001c9a6154c (__TEXT,__text) non-external -[NFReachability observationQueue]
00000001c9a6157c (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00000001c9a61544 (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00000001c9a61568 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00000001c9a61554 (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00000001c9a5db34 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00000001c9a5cdac (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00000001c9a5cd3c (__TEXT,__text) non-external -[NFStateMachine activate]
00000001c9a5cfe4 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00000001c9a63bd8 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00000001c9a5ced8 (__TEXT,__text) non-external -[NFStateMachine addState:]
00000001c9a63b28 (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00000001c9a5ce7c (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00000001c9a5ce08 (__TEXT,__text) non-external -[NFStateMachine deactivate]
00000001c9a5cc50 (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00000001c9a5cbb4 (__TEXT,__text) non-external -[NFStateMachine description]
00000001c9a5dafc (__TEXT,__text) non-external -[NFStateMachine events]
00000001c9a5d0f0 (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00000001c9a5ca7c (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00000001c9a5db10 (__TEXT,__text) non-external -[NFStateMachine lock]
00000001c9a5dab0 (__TEXT,__text) non-external -[NFStateMachine owner]
00000001c9a5db04 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00000001c9a5db18 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00000001c9a5dadc (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00000001c9a5daa4 (__TEXT,__text) non-external -[NFStateMachine setState:]
00000001c9a5daf0 (__TEXT,__text) non-external -[NFStateMachine setStates:]
00000001c9a5da94 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00000001c9a5db2c (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00000001c9a5da9c (__TEXT,__text) non-external -[NFStateMachine state]
00000001c9a5dae8 (__TEXT,__text) non-external -[NFStateMachine states]
00000001c9a5db24 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00000001c9a5da8c (__TEXT,__text) non-external -[NFStateMachine status]
00000001c9a61b40 (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00000001c9a6192c (__TEXT,__text) non-external -[NFStateMachineEvent description]
00000001c9a61b1c (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00000001c9a61b30 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00000001c9a61a1c (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00000001c9a61814 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00000001c9a61740 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00000001c9a61854 (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00000001c9a61af8 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00000001c9a619f4 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00000001c9a61b24 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00000001c9a61b38 (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00000001c9a61b00 (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00000001c9a61b10 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00000001c9a61b08 (__TEXT,__text) non-external -[NFStateMachineEvent states]
00000001c9a628a0 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00000001c9a62850 (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00000001c9a626f4 (__TEXT,__text) non-external -[NFStateMachineState description]
00000001c9a62890 (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00000001c9a62880 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00000001c9a625dc (__TEXT,__text) non-external -[NFStateMachineState hash]
00000001c9a62560 (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00000001c9a6261c (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00000001c9a62840 (__TEXT,__text) non-external -[NFStateMachineState name]
00000001c9a62778 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00000001c9a62818 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00000001c9a627c8 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00000001c9a627f0 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00000001c9a627a0 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00000001c9a62858 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00000001c9a62898 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00000001c9a62888 (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00000001c9a62848 (__TEXT,__text) non-external -[NFStateMachineState setName:]
00000001c9a62878 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00000001c9a62868 (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00000001c9a62870 (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00000001c9a62860 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00000001c9a62914 (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00000001c9a62bf8 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00000001c9a62b1c (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00000001c9a62a70 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00000001c9a629c4 (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00000001c9a5b548 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00000001c9a5b534 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00000001c9a5b3fc (__TEXT,__text) non-external -[NFStateMachineTransition description]
00000001c9a5b4f8 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00000001c9a5b50c (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00000001c9a5b2d8 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00000001c9a5b53c (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00000001c9a5b500 (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00000001c9a5b514 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00000001c9a5b4ec (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00000001c9a5b528 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00000001c9a5b4e4 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00000001c9a5b520 (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00000001c9a5b2c8 (__TEXT,__text) non-external -[NFUnfairLock assertLocked]
00000001c9a5b2d0 (__TEXT,__text) non-external -[NFUnfairLock assertNotLocked]
00000001c9a5b1ec (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00000001c9a5b248 (__TEXT,__text) non-external -[NFUnfairLock init]
00000001c9a5b2b0 (__TEXT,__text) non-external -[NFUnfairLock lock]
00000001c9a5b250 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00000001c9a5b2c0 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00000001c9a5fbc8 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00000001c9a5ca0c (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00000001c9a5dfe4 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00000001c9a60250 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00000001c9a60350 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00000001c9a5dbfc (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00000001c9a6350c (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00000001c9a65c6c (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00000001c9a65cc8 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
00000001c9a65ce4 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00000001c9a5c780 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00000001c9a636b4 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00000001d73c07e0 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00000001d73c07e8 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00000001c9a63540 (__TEXT,__text) external _NFDeviceIsA7
00000001c9a63548 (__TEXT,__text) external _NFDeviceIsA8
00000001c9a63680 (__TEXT,__text) external _NFDeviceModelString
00000001c9a6364c (__TEXT,__text) external _NFDeviceOSVersion
00000001c9a63550 (__TEXT,__text) external _NFDevicePlatform
00000001d7b29f50 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00000001d7b29f48 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00000001c9a63640 (__TEXT,__text) external _NFGeneralDeviceString
00000001c9a5b0e4 (__TEXT,__text) external _NFInternalBuild
00000001d73c07d8 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00000001d7b29f08 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00000001c9a61068 (__TEXT,__text) external _NFLockSync
00000001c9a60424 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00000001c9a5b150 (__TEXT,__text) external _NFSeedBuild
00000001e060c668 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00000001c9a5b158 (__TEXT,__text) external _NFStoreDemoMode
00000001d7b29f10 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00000001d73c07d9 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00000001c9a64ff0 (__TEXT,__const) external _NewsFoundationVersionNumber
00000001c9a64fb0 (__TEXT,__const) external _NewsFoundationVersionString
00000001d889d3f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFArchiver
00000001d7b29c38 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00000001d7b29c60 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00000001d7b29cd8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00000001d7b29eb8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00000001d7b29e68 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00000001d889d378 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00000001d7b29d28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00000001d7b29dc8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00000001d7b29e18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00000001d889d418 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00000001d889d468 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00000001d889d4b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00000001d889d328 (__AUTH,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00000001d7b29be8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00000001d7b29da0 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00000001d73c0540 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00000001d73c0544 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00000001d73c0558 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00000001d73c0554 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00000001d73c054c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00000001d73c0548 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00000001d73c0550 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00000001d73c057c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00000001d73c0580 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00000001d73c0578 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00000001d73c05d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00000001d73c05dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001d73c05ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001d73c0534 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001d73c053c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00000001d73c0538 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00000001d73c0584 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00000001d73c058c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
