00007ffb1bba94de (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb1bbab0ef (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb1bbab103 (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb1bba9f89 (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb1bbab0c7 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb1bbab16c (__TEXT,__text) non-external -[COSE setType:]
00007ffb1bbab20d (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb1bbaa12a (__TEXT,__text) non-external -[COSE tag]
00007ffb1bbab0bd (__TEXT,__text) non-external -[COSE type]
00007ffb1bbaa009 (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb1bbae510 (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb1bbad6b0 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb1bbae4de (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb1bbae4fc (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb1bbae440 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb1bbae3d1 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb1bbae3f6 (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb1bbae41b (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb1bbab20d (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb1bbae4e8 (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb1bbadf7c (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb1bbae116 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb1bbae286 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb1bbac73a (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb1bbac6e0 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb1bbae4af (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb1bbae465 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb1bbae48a (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb1bbae4f2 (__TEXT,__text) non-external -[COSEKey operations]
00007ffb1bbae506 (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb1bbae4d4 (__TEXT,__text) non-external -[COSEKey type]
00007ffb1bbac676 (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb1bbac5cf (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb1bbac3a4 (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb1bbabff7 (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb1bbac28c (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb1bbac665 (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb1bbabf0f (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb1bbab35f (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb1bbab23d (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb1bbabe53 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb1bbab5be (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb1bbab848 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb1bbabb7b (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb1bbabd0f (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb1bbabaec (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb1bbb2d8c (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00007ffb1bbb0ae0 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb1bbb0ab0 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb1bbb0b18 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb1bbb0b19 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb4455a630 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb4455a638 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb4455a648 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb4455a650 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb4455a658 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb4455a660 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb4455a640 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb42f549d8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb42f54a28 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb42f54b18 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb42f54ac8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb42f54a78 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb4455a190 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._cachedHash
00007ffb4455a198 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb4455a178 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb4455a170 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb4455a180 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb4455a188 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb4455a1b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb4455a1a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb4455a1c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb4455a1c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb4455a1d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb4455a1d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb4455a1e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb4455a1b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb4455a1a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb4455a220 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb4455a238 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb4455a1f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb4455a1f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb4455a228 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb4455a230 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb4455a210 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb4455a200 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb4455a208 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb4455a240 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb4455a218 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb4455a1e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb42f54a00 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb42f54a50 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb42f54b40 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb42f54af0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb42f54aa0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb42f54de0 (__DATA_DIRTY,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb427dec48 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb427deee8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb427defe0 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb42f548b0 (__DATA_DIRTY,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb427df0b8 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb427ded40 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb1bbaebc0 (__TEXT,__objc_methlist) non-external __INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb427dec20 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb427dee80 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb427def78 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb427dedd0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb427df070 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb427decd8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb427debd8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb427dee38 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb427def30 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb427ded88 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb427df028 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb427dec90 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb427df100 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb1bbaebe0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb1bbaed48 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb1bbaed80 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|Decoder_Private|COSE|COSEKey)
00007ffb1bbaef30 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb1bbaeff8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb1bbaf0e8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb1bbaf138 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb427df290 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb427df540 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb427df988 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb427df8b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb427df358 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb427df668 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb427dfaf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb427df8e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb427df7c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb427df140 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb1bbaf1b0 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb1bbaf1c8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb1bbaf2b8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb427df228 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffb427df188 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb427df230 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00007ffb427df4b0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00007ffb427df730 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00007ffb427dfbc8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00007ffb427df8f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00007ffb427df828 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00007ffb427debc8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffb427debc0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb427df248 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00007ffb427df4f8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00007ffb427df940 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00007ffb427df870 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00007ffb427df778 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00007ffb4455a5d0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffb4455a570 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb427e0220 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb1bbaadd6 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00007ffb1bbaaf85 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.101
00007ffb1bba2b6c (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00007ffb1bbaadb1 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb1bbaadc7 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb427de2d0 (__DATA_CONST,__const) non-external ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00007ffb427de2f0 (__DATA_CONST,__const) non-external ___block_descriptor_56_e8_32s40r48r_e26_v32?0"CBOR"8"CBOR"16*24l
                 (undefined) external ___bzero (from libSystem)
00007ffb1bb91050 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1bb91070 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb1bbaaf0e (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ffb1bbaaf50 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb1bb8fdb0 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb1bb900c0 (__TEXT,__text) non-external (was a private external) ___swift_allocate_value_buffer
00007ffb1bb8fd40 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00007ffb1bb8ff20 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffb1bb8ff20 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb1bb8fe40 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstractV2
00007ffb1bb8e970 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameV2
00007ffb1bb90ff0 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffb1bba26c0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy16_8
00007ffb1bba09f0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00007ffb1bb98790 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00007ffb1bb901c0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
