00007ffc13f0c473 (__TEXT,__text) non-external _Done_iODBC
00007ffc13f06b6a (__TEXT,__text) external _SQLDriverConnect
00007ffc13f06d0b (__TEXT,__text) external _SQLDriverConnectA
00007ffc13f06eac (__TEXT,__text) external _SQLDriverConnectW
00007ffc13f05121 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00007ffc13f29ea6 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00007ffc13f29ec9 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00007ffc13f1174a (__TEXT,__text) external _SQLDrivers
00007ffc13f11872 (__TEXT,__text) external _SQLDriversA
00007ffc13f1199a (__TEXT,__text) external _SQLDriversW
00007ffc13f11330 (__TEXT,__text) non-external _SQLDrivers_Internal
00007ffc418c3ac4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
00007ffc418c3af0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
00007ffc418c3af8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
00007ffc13f1c35c (__TEXT,__text) external _SQLEndTran
00007ffc13f0ce23 (__TEXT,__text) external _SQLError
00007ffc13f0cf08 (__TEXT,__text) external _SQLErrorA
00007ffc13f0cfed (__TEXT,__text) external _SQLErrorW
00007ffc13f08ca4 (__TEXT,__text) external _SQLExecDirect
00007ffc13f08de0 (__TEXT,__text) external _SQLExecDirectA
00007ffc13f08f1c (__TEXT,__text) external _SQLExecDirectW
00007ffc13f08a6c (__TEXT,__text) non-external _SQLExecDirect_Internal
00007ffc13f087d0 (__TEXT,__text) external _SQLExecute
00007ffc13f09ea6 (__TEXT,__text) external _SQLExtendedFetch
00007ffc13f09c0c (__TEXT,__text) external _SQLFetch
00007ffc13f1c620 (__TEXT,__text) external _SQLFetchScroll
00007ffc13f09a54 (__TEXT,__text) non-external _SQLFetch_Internal
00007ffc13f00e53 (__TEXT,__text) external _SQLForeignKeys
00007ffc13f01075 (__TEXT,__text) external _SQLForeignKeysA
00007ffc13f01297 (__TEXT,__text) external _SQLForeignKeysW
00007ffc13f00ab2 (__TEXT,__text) non-external _SQLForeignKeys_Internal
00007ffc13f0ab6b (__TEXT,__text) external _SQLFreeConnect
00007ffc13f0aacb (__TEXT,__text) non-external _SQLFreeConnect_Internal
00007ffc13f0c3f3 (__TEXT,__text) external _SQLFreeEnv
00007ffc13f0c382 (__TEXT,__text) non-external _SQLFreeEnv_Internal
00007ffc13f16b85 (__TEXT,__text) external _SQLFreeHandle
00007ffc13f0f922 (__TEXT,__text) external _SQLFreeStmt
00007ffc13f0f6f1 (__TEXT,__text) non-external _SQLFreeStmt_Internal
00007ffc13f26a09 (__TEXT,__text) non-external _SQLGetConfigMode
00007ffc13f197c9 (__TEXT,__text) external _SQLGetConnectAttr
00007ffc13f19cc2 (__TEXT,__text) external _SQLGetConnectAttrA
00007ffc13f19e13 (__TEXT,__text) external _SQLGetConnectAttrW
00007ffc13f1991a (__TEXT,__text) non-external _SQLGetConnectAttr_Internal
00007ffc13f0ba32 (__TEXT,__text) external _SQLGetConnectOption
00007ffc13f0bb58 (__TEXT,__text) external _SQLGetConnectOptionA
00007ffc13f0bc7e (__TEXT,__text) external _SQLGetConnectOptionW
00007ffc13f14b95 (__TEXT,__text) external _SQLGetCursorName
00007ffc13f14cf6 (__TEXT,__text) external _SQLGetCursorNameA
00007ffc13f14e57 (__TEXT,__text) external _SQLGetCursorNameW
00007ffc13f1495d (__TEXT,__text) non-external _SQLGetCursorName_Internal
00007ffc13f0a02f (__TEXT,__text) external _SQLGetData
00007ffc13f1a1e6 (__TEXT,__text) external _SQLGetDescField
00007ffc13f1a366 (__TEXT,__text) external _SQLGetDescFieldA
00007ffc13f1a4e6 (__TEXT,__text) external _SQLGetDescFieldW
00007ffc13f19f64 (__TEXT,__text) non-external _SQLGetDescField_Internal
00007ffc13f1adf6 (__TEXT,__text) external _SQLGetDescRec
00007ffc13f1afa8 (__TEXT,__text) external _SQLGetDescRecA
00007ffc13f1b15a (__TEXT,__text) external _SQLGetDescRecW
00007ffc13f1abf9 (__TEXT,__text) non-external _SQLGetDescRec_Internal
00007ffc13f0ec9c (__TEXT,__text) external _SQLGetDiagField
00007ffc13f0ed84 (__TEXT,__text) external _SQLGetDiagFieldA
00007ffc13f0ee6c (__TEXT,__text) external _SQLGetDiagFieldW
00007ffc13f0db8d (__TEXT,__text) non-external _SQLGetDiagField_Internal
00007ffc13f0d8c0 (__TEXT,__text) external _SQLGetDiagRec
00007ffc13f0d9af (__TEXT,__text) external _SQLGetDiagRecA
00007ffc13f0da9e (__TEXT,__text) external _SQLGetDiagRecW
00007ffc13f0d0d2 (__TEXT,__text) non-external _SQLGetDiagRec_Internal
00007ffc13f17297 (__TEXT,__text) external _SQLGetEnvAttr
00007ffc13f126d6 (__TEXT,__text) external _SQLGetFunctions
00007ffc13f122d1 (__TEXT,__text) external _SQLGetInfo
00007ffc13f12428 (__TEXT,__text) external _SQLGetInfoA
00007ffc13f1257f (__TEXT,__text) external _SQLGetInfoW
00007ffc13f11be9 (__TEXT,__text) non-external _SQLGetInfo_Internal
00007ffc13f29891 (__TEXT,__text) non-external _SQLGetKeywordValue
00007ffc13f298ca (__TEXT,__text) non-external _SQLGetKeywordValueW
00007ffc13f29314 (__TEXT,__text) non-external _SQLGetPrivateProfileString
00007ffc13f29580 (__TEXT,__text) non-external _SQLGetPrivateProfileStringW
00007ffc13f17c38 (__TEXT,__text) external _SQLGetStmtAttr
00007ffc13f17dae (__TEXT,__text) external _SQLGetStmtAttrA
00007ffc13f17f24 (__TEXT,__text) external _SQLGetStmtAttrW
00007ffc13f17455 (__TEXT,__text) non-external _SQLGetStmtAttr_Internal
00007ffc13f10144 (__TEXT,__text) external _SQLGetStmtOption
00007ffc13f10281 (__TEXT,__text) external _SQLGetStmtOptionA
00007ffc13f0ff45 (__TEXT,__text) non-external _SQLGetStmtOption_Internal
00007ffc13efdc38 (__TEXT,__text) external _SQLGetTypeInfo
00007ffc13efdd62 (__TEXT,__text) external _SQLGetTypeInfoA
00007ffc13efde8c (__TEXT,__text) external _SQLGetTypeInfoW
00007ffc13efdaa0 (__TEXT,__text) non-external _SQLGetTypeInfo_Internal
00007ffc13f0a3da (__TEXT,__text) external _SQLMoreResults
00007ffc13f07ed8 (__TEXT,__text) external _SQLNativeSql
00007ffc13f08054 (__TEXT,__text) external _SQLNativeSqlA
00007ffc13f081d0 (__TEXT,__text) external _SQLNativeSqlW
00007ffc13f07c54 (__TEXT,__text) non-external _SQLNativeSql_Internal
00007ffc13f09574 (__TEXT,__text) external _SQLNumParams
00007ffc13f152a4 (__TEXT,__text) external _SQLNumResultCols
00007ffc13f092e5 (__TEXT,__text) external _SQLParamData
00007ffc13f13d09 (__TEXT,__text) external _SQLParamOptions
00007ffc13f12f80 (__TEXT,__text) external _SQLPrepare
00007ffc13f130bc (__TEXT,__text) external _SQLPrepareA
00007ffc13f131f8 (__TEXT,__text) external _SQLPrepareW
00007ffc13f12d88 (__TEXT,__text) non-external _SQLPrepare_Internal
00007ffc13f01717 (__TEXT,__text) external _SQLPrimaryKeys
00007ffc13f018e7 (__TEXT,__text) external _SQLPrimaryKeysA
00007ffc13f01ab7 (__TEXT,__text) external _SQLPrimaryKeysW
00007ffc13f014b9 (__TEXT,__text) non-external _SQLPrimaryKeys_Internal
00007ffc13f01f43 (__TEXT,__text) external _SQLProcedureColumns
00007ffc13f0213a (__TEXT,__text) external _SQLProcedureColumnsA
00007ffc13f02331 (__TEXT,__text) external _SQLProcedureColumnsW
00007ffc13f01c87 (__TEXT,__text) non-external _SQLProcedureColumns_Internal
00007ffc13f02786 (__TEXT,__text) external _SQLProcedures
00007ffc13f02956 (__TEXT,__text) external _SQLProceduresA
00007ffc13f02b26 (__TEXT,__text) external _SQLProceduresW
00007ffc13f02528 (__TEXT,__text) non-external _SQLProcedures_Internal
00007ffc13f09058 (__TEXT,__text) external _SQLPutData
00007ffc13f26180 (__TEXT,__text) non-external _SQLReadFileDSN
00007ffc13f262e8 (__TEXT,__text) non-external _SQLReadFileDSNW
00007ffc13f14fb8 (__TEXT,__text) external _SQLRowCount
00007ffc13f29903 (__TEXT,__text) non-external _SQLSetConfigMode
00007ffc13f191f7 (__TEXT,__text) external _SQLSetConnectAttr
00007ffc13f19549 (__TEXT,__text) external _SQLSetConnectAttrA
00007ffc13f19689 (__TEXT,__text) external _SQLSetConnectAttrW
00007ffc13f19337 (__TEXT,__text) non-external _SQLSetConnectAttr_Internal
00007ffc13f0b293 (__TEXT,__text) external _SQLSetConnectOption
00007ffc13f0b3b9 (__TEXT,__text) external _SQLSetConnectOptionA
00007ffc13f0b4df (__TEXT,__text) external _SQLSetConnectOptionW
00007ffc13f134e3 (__TEXT,__text) external _SQLSetCursorName
00007ffc13f13625 (__TEXT,__text) external _SQLSetCursorNameA
00007ffc13f13767 (__TEXT,__text) external _SQLSetCursorNameW
00007ffc13f13334 (__TEXT,__text) non-external _SQLSetCursorName_Internal
00007ffc13f1a7fa (__TEXT,__text) external _SQLSetDescField
00007ffc13f1a94f (__TEXT,__text) external _SQLSetDescFieldA
00007ffc13f1aaa4 (__TEXT,__text) external _SQLSetDescFieldW
00007ffc13f1a666 (__TEXT,__text) non-external _SQLSetDescField_Internal
00007ffc13f1b30c (__TEXT,__text) external _SQLSetDescRec
00007ffc13f170a7 (__TEXT,__text) external _SQLSetEnvAttr
00007ffc13f171c4 (__TEXT,__text) non-external _SQLSetEnvAttr_Internal
00007ffc13f29e2f (__TEXT,__text) non-external _SQLSetKeywordValue
00007ffc13f29e40 (__TEXT,__text) non-external _SQLSetKeywordValueW
00007ffc13f14550 (__TEXT,__text) external _SQLSetParam
00007ffc13f0a7ba (__TEXT,__text) external _SQLSetPos
00007ffc13f14017 (__TEXT,__text) external _SQLSetScrollOptions
00007ffc13f18dc8 (__TEXT,__text) external _SQLSetStmtAttr
00007ffc13f18f2d (__TEXT,__text) external _SQLSetStmtAttrA
00007ffc13f19092 (__TEXT,__text) external _SQLSetStmtAttrW
00007ffc13f1809a (__TEXT,__text) non-external _SQLSetStmtAttr_Internal
00007ffc13f0fa5a (__TEXT,__text) external _SQLSetStmtOption
00007ffc13f0fe09 (__TEXT,__text) external _SQLSetStmtOptionA
00007ffc13f0fb96 (__TEXT,__text) non-external _SQLSetStmtOption_Internal
00007ffc13efe26a (__TEXT,__text) external _SQLSpecialColumns
00007ffc13efe457 (__TEXT,__text) external _SQLSpecialColumnsA
00007ffc13efe644 (__TEXT,__text) external _SQLSpecialColumnsW
00007ffc13efdfb6 (__TEXT,__text) non-external _SQLSpecialColumns_Internal
00007ffc13efeac6 (__TEXT,__text) external _SQLStatistics
00007ffc13efecc9 (__TEXT,__text) external _SQLStatisticsA
00007ffc13efeecc (__TEXT,__text) external _SQLStatisticsW
00007ffc13efe831 (__TEXT,__text) non-external _SQLStatistics_Internal
00007ffc13f02f54 (__TEXT,__text) external _SQLTablePrivileges
00007ffc13f03124 (__TEXT,__text) external _SQLTablePrivilegesA
00007ffc13f032f4 (__TEXT,__text) external _SQLTablePrivilegesW
00007ffc13f02cf6 (__TEXT,__text) non-external _SQLTablePrivileges_Internal
00007ffc13eff38b (__TEXT,__text) external _SQLTables
00007ffc13eff582 (__TEXT,__text) external _SQLTablesA
00007ffc13eff779 (__TEXT,__text) external _SQLTablesW
00007ffc13eff0cf (__TEXT,__text) non-external _SQLTables_Internal
00007ffc13f0c099 (__TEXT,__text) external _SQLTransact
00007ffc13f0bda4 (__TEXT,__text) non-external _SQLTransact_Internal
00007ffc13f26af4 (__TEXT,__text) non-external _SQLValidDSN
00007ffc13f26b53 (__TEXT,__text) non-external _SQLValidDSNW
00007ffc13f25f2b (__TEXT,__text) non-external _SQLWriteFileDSN
00007ffc13f25fd6 (__TEXT,__text) non-external _SQLWriteFileDSNW
00007ffc13f29a64 (__TEXT,__text) non-external _SQLWritePrivateProfileString
00007ffc13f29c85 (__TEXT,__text) non-external _SQLWritePrivateProfileStringW
00007ffc13f10e3f (__TEXT,__text) non-external _SectSorter
00007ffc13f26a56 (__TEXT,__text) non-external _ValidDSN
00007ffc13f26aa8 (__TEXT,__text) non-external _ValidDSNW
00007ffc13f2995a (__TEXT,__text) non-external _WritePrivateProfileString
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ffc13f16f6c (__TEXT,__text) non-external __SQLFreeHandle_DESC
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc13f085d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc13f085f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffc13f27c25 (__TEXT,__text) non-external ___iodbcdm_cfg_poolalloc
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00007ffc418c3b30 (__DATA,__common) non-external __iodbc_env_counter
00007ffc13f264d7 (__TEXT,__text) non-external __iodbcadm_getinifile
00007ffc13f10852 (__TEXT,__text) non-external __iodbcdm_BindColumn
00007ffc13f10920 (__TEXT,__text) non-external __iodbcdm_ConvBindData
00007ffc13f09d29 (__TEXT,__text) non-external __iodbcdm_ExtendedFetch
00007ffc13f0f69e (__TEXT,__text) non-external __iodbcdm_FreeStmtParams
00007ffc13f0b605 (__TEXT,__text) non-external __iodbcdm_GetConnectOption
00007ffc13f15183 (__TEXT,__text) non-external __iodbcdm_NumResultCols
00007ffc13f0f8ec (__TEXT,__text) non-external __iodbcdm_RemoveBind
00007ffc13f0ac4a (__TEXT,__text) non-external __iodbcdm_SetConnectOption
00007ffc13f0372c (__TEXT,__text) non-external __iodbcdm_SetConnectOption_init
00007ffc13f0a664 (__TEXT,__text) non-external __iodbcdm_SetPos
00007ffc13f108d5 (__TEXT,__text) non-external __iodbcdm_UnBindColumn
00007ffc13f105b9 (__TEXT,__text) non-external __iodbcdm_alloc_param
00007ffc418c3b38 (__DATA,__common) non-external __iodbcdm_attr_connection_pooling
00007ffc13f109da (__TEXT,__text) non-external __iodbcdm_bindConv_A2W
00007ffc13efdb9d (__TEXT,__text) non-external __iodbcdm_cata_state_ok
00007ffc13efdbf0 (__TEXT,__text) non-external __iodbcdm_cata_state_tr
00007ffc13f2835d (__TEXT,__text) non-external __iodbcdm_cfg_commit
00007ffc13f27594 (__TEXT,__text) non-external __iodbcdm_cfg_done
00007ffc13f27dcb (__TEXT,__text) non-external __iodbcdm_cfg_find
00007ffc13f27a54 (__TEXT,__text) non-external __iodbcdm_cfg_freeimage
00007ffc13f274ec (__TEXT,__text) non-external __iodbcdm_cfg_init
00007ffc13f12bba (__TEXT,__text) non-external __iodbcdm_cfg_init_str
00007ffc13f2863c (__TEXT,__text) non-external __iodbcdm_cfg_next_section
00007ffc13f27cfa (__TEXT,__text) non-external __iodbcdm_cfg_nextentry
00007ffc13f12c2d (__TEXT,__text) non-external __iodbcdm_cfg_parse_str
00007ffc13f12ab0 (__TEXT,__text) non-external __iodbcdm_cfg_parse_str_Internal
00007ffc13f275c5 (__TEXT,__text) non-external __iodbcdm_cfg_refresh
00007ffc13f27cd4 (__TEXT,__text) non-external __iodbcdm_cfg_rewind
00007ffc13f06881 (__TEXT,__text) non-external __iodbcdm_cfg_savefile
00007ffc13f2866e (__TEXT,__text) non-external __iodbcdm_cfg_search_init
00007ffc13f27b1e (__TEXT,__text) non-external __iodbcdm_cfg_storeentry
00007ffc13f12c79 (__TEXT,__text) non-external __iodbcdm_cfg_to_string
00007ffc13f27ec9 (__TEXT,__text) non-external __iodbcdm_cfg_write
00007ffc13f26723 (__TEXT,__text) non-external __iodbcdm_check_for_string
00007ffc13f06619 (__TEXT,__text) non-external __iodbcdm_con_settracing
00007ffc13f10667 (__TEXT,__text) non-external __iodbcdm_conv_param_A2W
00007ffc13f10763 (__TEXT,__text) non-external __iodbcdm_conv_param_W2A
00007ffc13f06743 (__TEXT,__text) non-external __iodbcdm_dbcdelayset
00007ffc13f08713 (__TEXT,__text) non-external __iodbcdm_dllclose
00007ffc13f0875a (__TEXT,__text) non-external __iodbcdm_dllerror
00007ffc13f08673 (__TEXT,__text) non-external __iodbcdm_dllopen
00007ffc13f08669 (__TEXT,__text) non-external __iodbcdm_dllproc
00007ffc13f0878c (__TEXT,__text) non-external __iodbcdm_do_cursoropen
00007ffc13f0399e (__TEXT,__text) non-external __iodbcdm_driverload
00007ffc13f04160 (__TEXT,__text) non-external __iodbcdm_driverunload
00007ffc13f0f5b5 (__TEXT,__text) non-external __iodbcdm_dropstmt
00007ffc13f0b228 (__TEXT,__text) non-external __iodbcdm_drvopt_store
00007ffc13f03529 (__TEXT,__text) non-external __iodbcdm_finish_disconnect
00007ffc13f0c47c (__TEXT,__text) non-external __iodbcdm_freesqlerrlist
00007ffc13f084e3 (__TEXT,__text) non-external __iodbcdm_getInfo_init
00007ffc13f267c9 (__TEXT,__text) non-external __iodbcdm_getdsnfile
00007ffc13f0861a (__TEXT,__text) non-external __iodbcdm_getproc
00007ffc418c3ad8 (__DATA,__bss) non-external __iodbcdm_initialized
00007ffc13f2884c (__TEXT,__text) non-external __iodbcdm_list_entries
00007ffc13f2878c (__TEXT,__text) non-external __iodbcdm_list_sections
00007ffc13f1542c (__TEXT,__text) non-external __iodbcdm_map_c_type
00007ffc13f153d0 (__TEXT,__text) non-external __iodbcdm_map_sql_type
00007ffc13f0834c (__TEXT,__text) non-external __iodbcdm_pool_conn_dead
00007ffc13f034d0 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn
00007ffc13f29e60 (__TEXT,__text) non-external __iodbcdm_pool_drop_conn.cold.1
00007ffc13f063bc (__TEXT,__text) non-external __iodbcdm_pool_get_conn
00007ffc13f06a75 (__TEXT,__text) non-external __iodbcdm_pool_put_conn
00007ffc13f03603 (__TEXT,__text) non-external __iodbcdm_pool_reset_conn_attrs
00007ffc13f069d3 (__TEXT,__text) non-external __iodbcdm_pool_set_retry_wait
00007ffc13f0c49f (__TEXT,__text) non-external __iodbcdm_pushsqlerr
00007ffc13f2676d (__TEXT,__text) non-external __iodbcdm_remove_quotes
00007ffc13f08764 (__TEXT,__text) non-external __iodbcdm_safe_unload
00007ffc13f0c502 (__TEXT,__text) non-external __iodbcdm_sqlerror
00007ffc13f2698b (__TEXT,__text) non-external __iodbcdm_strlcat
00007ffc13f2693b (__TEXT,__text) non-external __iodbcdm_strlcpy
00007ffc13f0be83 (__TEXT,__text) non-external __iodbcdm_transact
00007ffc4029a970 (__DATA_CONST,__const) non-external __mask_CONVERT
00007ffc4029b610 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES1
00007ffc4029b6c0 (__DATA_CONST,__const) non-external __mask_CURSOR_ATTRIBUTES2
00007ffc4029aa30 (__DATA_CONST,__const) non-external __mask_CURSOR_BEHAVIOR
00007ffc4029aad0 (__DATA_CONST,__const) non-external __mask_IDENTIFIER_CASE
00007ffc4029b170 (__DATA_CONST,__const) non-external __mask_SQL_AGGREGATE_FUNCTIONS
00007ffc4029b1b0 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_DOMAIN
00007ffc4029ae80 (__DATA_CONST,__const) non-external __mask_SQL_ALTER_TABLE
00007ffc4029b200 (__DATA_CONST,__const) non-external __mask_SQL_ASYNC_MODE
00007ffc4029b220 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_ROW_COUNT
00007ffc4029b240 (__DATA_CONST,__const) non-external __mask_SQL_BATCH_SUPPORT
00007ffc4029af30 (__DATA_CONST,__const) non-external __mask_SQL_BOOKMARK_PERSISTENCE
00007ffc4029b270 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_LOCATION
00007ffc4029b290 (__DATA_CONST,__const) non-external __mask_SQL_CATALOG_USAGE
00007ffc4029a940 (__DATA_CONST,__const) non-external __mask_SQL_CONCAT_NULL_BEHAVIOR
00007ffc4029a950 (__DATA_CONST,__const) non-external __mask_SQL_CONVERT_FUNCTIONS
00007ffc4029ae50 (__DATA_CONST,__const) non-external __mask_SQL_CORRELATION_NAME
00007ffc4029b2c0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_ASSERTION
00007ffc4029b310 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_CHARACTER_SET
00007ffc4029b330 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_COLLATION
00007ffc4029b340 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_DOMAIN
00007ffc4029b390 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_SCHEMA
00007ffc4029b3b0 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TABLE
00007ffc4029b430 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_TRANSLATION
00007ffc4029b440 (__DATA_CONST,__const) non-external __mask_SQL_CREATE_VIEW
00007ffc4029b470 (__DATA_CONST,__const) non-external __mask_SQL_CURSOR_SENSITIVITY
00007ffc4029b490 (__DATA_CONST,__const) non-external __mask_SQL_DATETIME_LITERALS
00007ffc4029b510 (__DATA_CONST,__const) non-external __mask_SQL_DDL_INDEX
00007ffc4029b550 (__DATA_CONST,__const) non-external __mask_SQL_DROP_ASSERTION
00007ffc4029b560 (__DATA_CONST,__const) non-external __mask_SQL_DROP_CHARACTER_SET
00007ffc4029b570 (__DATA_CONST,__const) non-external __mask_SQL_DROP_COLLATION
00007ffc4029b580 (__DATA_CONST,__const) non-external __mask_SQL_DROP_DOMAIN
00007ffc4029b5a0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_SCHEMA
00007ffc4029b5c0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TABLE
00007ffc4029b5e0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_TRANSLATION
00007ffc4029b5f0 (__DATA_CONST,__const) non-external __mask_SQL_DROP_VIEW
00007ffc4029b530 (__DATA_CONST,__const) non-external __mask_SQL_DTC_TRANSITION_COST
00007ffc4029aa80 (__DATA_CONST,__const) non-external __mask_SQL_FETCH_DIRECTION
00007ffc4029afc0 (__DATA_CONST,__const) non-external __mask_SQL_FILE_USAGE
00007ffc4029af70 (__DATA_CONST,__const) non-external __mask_SQL_GETDATA_EXTENSIONS
00007ffc4029afa0 (__DATA_CONST,__const) non-external __mask_SQL_GROUP_BY
00007ffc4029b750 (__DATA_CONST,__const) non-external __mask_SQL_INDEX_KEYWORDS
00007ffc4029b770 (__DATA_CONST,__const) non-external __mask_SQL_INFO_SCHEMA_VIEWS
00007ffc4029b830 (__DATA_CONST,__const) non-external __mask_SQL_INSERT_STATEMENT
00007ffc4029afe0 (__DATA_CONST,__const) non-external __mask_SQL_LOCK_TYPES
00007ffc4029ae70 (__DATA_CONST,__const) non-external __mask_SQL_NON_NULLABLE_COLUMNS
00007ffc4029b000 (__DATA_CONST,__const) non-external __mask_SQL_NULL_COLLATION
00007ffc4029ab00 (__DATA_CONST,__const) non-external __mask_SQL_NUMERIC_FUNCTIONS
00007ffc4029abd0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_API_CONFORMANCE
00007ffc4029b850 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_INTERFACE_CONFORMANCE
00007ffc4029abf0 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SAG_CLI_CONFORMANCE
00007ffc4029ac00 (__DATA_CONST,__const) non-external __mask_SQL_ODBC_SQL_CONFORMANCE
00007ffc4029b020 (__DATA_CONST,__const) non-external __mask_SQL_OJ_CAPABILITIES
