00007ffb4221a170 (__DATA,__common) external _AfterColour
00007ffb10c80f5c (__TEXT,__text) external _LLVMAddIncoming
00007ffb114da8b0 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffb11062f42 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffb114da8d3 (__TEXT,__text) external _LLVMAddInstructionSimplifyPass
00007ffb10fba67e (__TEXT,__text) external _LLVMAddInternalizePass
00007ffb10fba704 (__TEXT,__text) external _LLVMAddInternalizePassWithMustPreservePredicate
00007ffb114da8f6 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffb114da952 (__TEXT,__text) external _LLVMAddLICMPass
00007ffb114da975 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffb114da9bb (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffb114daa08 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffb114da9de (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffb114daa78 (__TEXT,__text) external _LLVMAddLoopUnrollAndJamPass
00007ffb114daa2b (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffb114daaa0 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffb119dbce5 (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffb114daad6 (__TEXT,__text) external _LLVMAddLowerAtomicPass
00007ffb114dad9a (__TEXT,__text) external _LLVMAddLowerConstantIntrinsicsPass
00007ffb114dadbd (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffb118d1156 (__TEXT,__text) external _LLVMAddLowerSwitchPass
00007ffb114daaf9 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffb10fba65b (__TEXT,__text) external _LLVMAddMergeFunctionsPass
00007ffb114da88b (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00007ffb10c813ba (__TEXT,__text) external _LLVMAddMetadataToInst
00007ffb10c7bf74 (__TEXT,__text) external _LLVMAddModuleFlag
00007ffb10c7e125 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffb114da868 (__TEXT,__text) external _LLVMAddNewGVNPass
00007ffb114dab1c (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffb118d1179 (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffb10fba615 (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffb114dab3f (__TEXT,__text) external _LLVMAddReassociatePass
00007ffb114dab71 (__TEXT,__text) external _LLVMAddSCCPPass
00007ffb119dbd1b (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffb114dab94 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffb114dabc6 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffb114dabf8 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffb114da80f (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffb114dad54 (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
00007ffb114dac2a (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffb10fba78f (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffb10fba7b2 (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffb117ad74a (__TEXT,__text) external _LLVMAddSymbol
00007ffb114dac30 (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffb10c7ffef (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffb117bb65b (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffb114dad31 (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffb114dade0 (__TEXT,__text) external _LLVMAddUnifyFunctionExitNodesPass
00007ffb114dac76 (__TEXT,__text) external _LLVMAddVerifierPass
00007ffb10d45d13 (__TEXT,__text) external _LLVMAdvanceCoverageIterator
00007ffb10c7fac7 (__TEXT,__text) external _LLVMAliasGetAliasee
00007ffb10c7fad1 (__TEXT,__text) external _LLVMAliasSetAliasee
00007ffb10c7e972 (__TEXT,__text) external _LLVMAlignOf
00007ffb10c80736 (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffb10c806d5 (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffb10c80696 (__TEXT,__text) external _LLVMAppendExistingBasicBlock
00007ffb10c7c2a8 (__TEXT,__text) external _LLVMAppendModuleInlineAsm
00007ffb10c7cbe7 (__TEXT,__text) external _LLVMArrayType
00007ffb10c7c79c (__TEXT,__text) external _LLVMBFloatType
00007ffb10c7c6f1 (__TEXT,__text) external _LLVMBFloatTypeInContext
00007ffb10c80445 (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffb112bb328 (__TEXT,__text) external _LLVMBinaryCopyMemoryBuffer
00007ffb112bb38d (__TEXT,__text) external _LLVMBinaryGetType
00007ffb10c7f0e6 (__TEXT,__text) external _LLVMBlockAddress
00007ffb10c8273d (__TEXT,__text) external _LLVMBuildAShr
00007ffb10c81f92 (__TEXT,__text) external _LLVMBuildAdd
00007ffb10c837ad (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffb10c81465 (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffb10c82f3a (__TEXT,__text) external _LLVMBuildAlloca
00007ffb10c8276d (__TEXT,__text) external _LLVMBuildAnd
00007ffb10c82f69 (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffb10c82d74 (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffb10c83fa0 (__TEXT,__text) external _LLVMBuildAtomicCmpXchg
00007ffb10c83f76 (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffb10c827f4 (__TEXT,__text) external _LLVMBuildBinOp
00007ffb10c83771 (__TEXT,__text) external _LLVMBuildBitCast
00007ffb10c81551 (__TEXT,__text) external _LLVMBuildBr
00007ffb10c83bac (__TEXT,__text) external _LLVMBuildCall
00007ffb10c83bfa (__TEXT,__text) external _LLVMBuildCall2
00007ffb10c8397e (__TEXT,__text) external _LLVMBuildCast
00007ffb10c818e9 (__TEXT,__text) external _LLVMBuildCatchPad
00007ffb10c81c39 (__TEXT,__text) external _LLVMBuildCatchRet
00007ffb10c81b62 (__TEXT,__text) external _LLVMBuildCatchSwitch
00007ffb10c819d8 (__TEXT,__text) external _LLVMBuildCleanupPad
00007ffb10c81d17 (__TEXT,__text) external _LLVMBuildCleanupRet
00007ffb10c8155b (__TEXT,__text) external _LLVMBuildCondBr
00007ffb10c82409 (__TEXT,__text) external _LLVMBuildExactSDiv
00007ffb10c822eb (__TEXT,__text) external _LLVMBuildExactUDiv
00007ffb10c83d2a (__TEXT,__text) external _LLVMBuildExtractElement
00007ffb10c83db5 (__TEXT,__text) external _LLVMBuildExtractValue
00007ffb10c82031 (__TEXT,__text) external _LLVMBuildFAdd
00007ffb10c83b44 (__TEXT,__text) external _LLVMBuildFCmp
00007ffb10c8243c (__TEXT,__text) external _LLVMBuildFDiv
00007ffb10c821cf (__TEXT,__text) external _LLVMBuildFMul
00007ffb10c82c48 (__TEXT,__text) external _LLVMBuildFNeg
00007ffb10c83a72 (__TEXT,__text) external _LLVMBuildFPCast
00007ffb10c836cc (__TEXT,__text) external _LLVMBuildFPExt
00007ffb10c8359a (__TEXT,__text) external _LLVMBuildFPToSI
00007ffb10c8352f (__TEXT,__text) external _LLVMBuildFPToUI
00007ffb10c83660 (__TEXT,__text) external _LLVMBuildFPTrunc
00007ffb10c825e1 (__TEXT,__text) external _LLVMBuildFRem
00007ffb10c82100 (__TEXT,__text) external _LLVMBuildFSub
00007ffb10c83074 (__TEXT,__text) external _LLVMBuildFence
00007ffb10c82f96 (__TEXT,__text) external _LLVMBuildFree
00007ffb10c83e2b (__TEXT,__text) external _LLVMBuildFreeze
00007ffb10c830ad (__TEXT,__text) external _LLVMBuildGEP
00007ffb10c8310a (__TEXT,__text) external _LLVMBuildGEP2
00007ffb10c832f0 (__TEXT,__text) external _LLVMBuildGlobalString
00007ffb10c83351 (__TEXT,__text) external _LLVMBuildGlobalStringPtr
00007ffb10c83b15 (__TEXT,__text) external _LLVMBuildICmp
00007ffb10c8313c (__TEXT,__text) external _LLVMBuildInBoundsGEP
00007ffb10c83234 (__TEXT,__text) external _LLVMBuildInBoundsGEP2
00007ffb10c8162d (__TEXT,__text) external _LLVMBuildIndirectBr
00007ffb10c83d57 (__TEXT,__text) external _LLVMBuildInsertElement
00007ffb10c83def (__TEXT,__text) external _LLVMBuildInsertValue
00007ffb10c83a3f (__TEXT,__text) external _LLVMBuildIntCast
00007ffb10c83a05 (__TEXT,__text) external _LLVMBuildIntCast2
00007ffb10c83735 (__TEXT,__text) external _LLVMBuildIntToPtr
00007ffb10c816e2 (__TEXT,__text) external _LLVMBuildInvoke
00007ffb10c817f0 (__TEXT,__text) external _LLVMBuildInvoke2
00007ffb10c83eaf (__TEXT,__text) external _LLVMBuildIsNotNull
00007ffb10c83e58 (__TEXT,__text) external _LLVMBuildIsNull
00007ffb10c8270d (__TEXT,__text) external _LLVMBuildLShr
00007ffb10c81842 (__TEXT,__text) external _LLVMBuildLandingPad
00007ffb10c82fef (__TEXT,__text) external _LLVMBuildLoad
00007ffb10c83032 (__TEXT,__text) external _LLVMBuildLoad2
00007ffb10c82ca4 (__TEXT,__text) external _LLVMBuildMalloc
00007ffb10c82e84 (__TEXT,__text) external _LLVMBuildMemCpy
00007ffb10c82eea (__TEXT,__text) external _LLVMBuildMemMove
00007ffb10c82e4b (__TEXT,__text) external _LLVMBuildMemSet
00007ffb10c82130 (__TEXT,__text) external _LLVMBuildMul
00007ffb10c81fc5 (__TEXT,__text) external _LLVMBuildNSWAdd
00007ffb10c82163 (__TEXT,__text) external _LLVMBuildNSWMul
00007ffb10c82bde (__TEXT,__text) external _LLVMBuildNSWNeg
00007ffb10c82094 (__TEXT,__text) external _LLVMBuildNSWSub
00007ffb10c81ffb (__TEXT,__text) external _LLVMBuildNUWAdd
00007ffb10c82199 (__TEXT,__text) external _LLVMBuildNUWMul
00007ffb10c82c13 (__TEXT,__text) external _LLVMBuildNUWNeg
00007ffb10c820ca (__TEXT,__text) external _LLVMBuildNUWSub
00007ffb10c82bac (__TEXT,__text) external _LLVMBuildNeg
00007ffb10c82c77 (__TEXT,__text) external _LLVMBuildNot
00007ffb10c8279a (__TEXT,__text) external _LLVMBuildOr
00007ffb10c83b7d (__TEXT,__text) external _LLVMBuildPhi
00007ffb10c839d8 (__TEXT,__text) external _LLVMBuildPointerCast
00007ffb10c83f06 (__TEXT,__text) external _LLVMBuildPtrDiff
00007ffb10c83f47 (__TEXT,__text) external _LLVMBuildPtrDiff2
00007ffb10c836f9 (__TEXT,__text) external _LLVMBuildPtrToInt
00007ffb10c81adc (__TEXT,__text) external _LLVMBuildResume
00007ffb10c813e2 (__TEXT,__text) external _LLVMBuildRet
00007ffb10c813d8 (__TEXT,__text) external _LLVMBuildRetVoid
00007ffb10c8231e (__TEXT,__text) external _LLVMBuildSDiv
00007ffb10c834f3 (__TEXT,__text) external _LLVMBuildSExt
00007ffb10c83816 (__TEXT,__text) external _LLVMBuildSExtOrBitCast
00007ffb10c83633 (__TEXT,__text) external _LLVMBuildSIToFP
00007ffb10c82527 (__TEXT,__text) external _LLVMBuildSRem
00007ffb10c83c34 (__TEXT,__text) external _LLVMBuildSelect
00007ffb10c826da (__TEXT,__text) external _LLVMBuildShl
00007ffb10c83d86 (__TEXT,__text) external _LLVMBuildShuffleVector
00007ffb10c83065 (__TEXT,__text) external _LLVMBuildStore
00007ffb10c83266 (__TEXT,__text) external _LLVMBuildStructGEP
00007ffb10c832ba (__TEXT,__text) external _LLVMBuildStructGEP2
00007ffb10c82061 (__TEXT,__text) external _LLVMBuildSub
00007ffb10c8156b (__TEXT,__text) external _LLVMBuildSwitch
00007ffb10c8347b (__TEXT,__text) external _LLVMBuildTrunc
00007ffb10c838b9 (__TEXT,__text) external _LLVMBuildTruncOrBitCast
00007ffb10c821ff (__TEXT,__text) external _LLVMBuildUDiv
00007ffb10c83606 (__TEXT,__text) external _LLVMBuildUIToFP
00007ffb10c8246c (__TEXT,__text) external _LLVMBuildURem
00007ffb10c81daa (__TEXT,__text) external _LLVMBuildUnreachable
00007ffb10c83c66 (__TEXT,__text) external _LLVMBuildVAArg
00007ffb10c827c7 (__TEXT,__text) external _LLVMBuildXor
00007ffb10c834b7 (__TEXT,__text) external _LLVMBuildZExt
00007ffb10c837e9 (__TEXT,__text) external _LLVMBuildZExtOrBitCast
00007ffb10c813ce (__TEXT,__text) external _LLVMBuilderGetDefaultFPMathTag
00007ffb10c813c4 (__TEXT,__text) external _LLVMBuilderSetDefaultFPMathTag
00007ffb117bb716 (__TEXT,__text) external _LLVMByteOrder
00007ffb117bb8cd (__TEXT,__text) external _LLVMCallFrameAlignmentOfType
00007ffb10c81191 (__TEXT,__text) external _LLVMClearInsertionPosition
00007ffb118079c6 (__TEXT,__text) external _LLVMCloneModule
00007ffb10c7ed12 (__TEXT,__text) external _LLVMConstAShr
00007ffb10c7ea52 (__TEXT,__text) external _LLVMConstAdd
00007ffb10c7ef28 (__TEXT,__text) external _LLVMConstAddrSpaceCast
00007ffb10c7dc2d (__TEXT,__text) external _LLVMConstAllOnes
00007ffb10c7ec72 (__TEXT,__text) external _LLVMConstAnd
00007ffb10c7e872 (__TEXT,__text) external _LLVMConstArray
00007ffb10c7ef07 (__TEXT,__text) external _LLVMConstBitCast
00007ffb10c7ebed (__TEXT,__text) external _LLVMConstExactSDiv
00007ffb10c7ebb6 (__TEXT,__text) external _LLVMConstExactUDiv
00007ffb10c7ef85 (__TEXT,__text) external _LLVMConstExtractElement
00007ffb10c7f031 (__TEXT,__text) external _LLVMConstExtractValue
00007ffb10c7eaa6 (__TEXT,__text) external _LLVMConstFAdd
00007ffb10c7eccf (__TEXT,__text) external _LLVMConstFCmp
00007ffb10c7ec0a (__TEXT,__text) external _LLVMConstFDiv
00007ffb10c7eb82 (__TEXT,__text) external _LLVMConstFMul
00007ffb10c7ea10 (__TEXT,__text) external _LLVMConstFNeg
00007ffb10c7ef6f (__TEXT,__text) external _LLVMConstFPCast
00007ffb10c7ee66 (__TEXT,__text) external _LLVMConstFPExt
00007ffb10c7eec2 (__TEXT,__text) external _LLVMConstFPToSI
00007ffb10c7eeab (__TEXT,__text) external _LLVMConstFPToUI
00007ffb10c7ee4f (__TEXT,__text) external _LLVMConstFPTrunc
00007ffb10c7ec58 (__TEXT,__text) external _LLVMConstFRem
00007ffb10c7eb14 (__TEXT,__text) external _LLVMConstFSub
00007ffb10c7ed2c (__TEXT,__text) external _LLVMConstGEP
00007ffb10c7ed75 (__TEXT,__text) external _LLVMConstGEP2
00007ffb10c7ecc0 (__TEXT,__text) external _LLVMConstICmp
00007ffb10c7ed98 (__TEXT,__text) external _LLVMConstInBoundsGEP
00007ffb10c7ede4 (__TEXT,__text) external _LLVMConstInBoundsGEP2
00007ffb10c7f04e (__TEXT,__text) external _LLVMConstInlineAsm
00007ffb10c7ef91 (__TEXT,__text) external _LLVMConstInsertElement
00007ffb10c7f03f (__TEXT,__text) external _LLVMConstInsertValue
00007ffb10c7e5a9 (__TEXT,__text) external _LLVMConstInt
00007ffb10c7ef5c (__TEXT,__text) external _LLVMConstIntCast
00007ffb10c7e6cd (__TEXT,__text) external _LLVMConstIntGetSExtValue
00007ffb10c7e6b7 (__TEXT,__text) external _LLVMConstIntGetZExtValue
00007ffb10c7e5bc (__TEXT,__text) external _LLVMConstIntOfArbitraryPrecision
00007ffb10c7e617 (__TEXT,__text) external _LLVMConstIntOfString
00007ffb10c7e660 (__TEXT,__text) external _LLVMConstIntOfStringAndSize
00007ffb10c7eef0 (__TEXT,__text) external _LLVMConstIntToPtr
00007ffb10c7ecf8 (__TEXT,__text) external _LLVMConstLShr
00007ffb10c7eb2e (__TEXT,__text) external _LLVMConstMul
00007ffb10c7ea6c (__TEXT,__text) external _LLVMConstNSWAdd
00007ffb10c7eb48 (__TEXT,__text) external _LLVMConstNSWMul
00007ffb10c7e9b2 (__TEXT,__text) external _LLVMConstNSWNeg
00007ffb10c7eada (__TEXT,__text) external _LLVMConstNSWSub
00007ffb10c7ea89 (__TEXT,__text) external _LLVMConstNUWAdd
00007ffb10c7eb65 (__TEXT,__text) external _LLVMConstNUWMul
00007ffb10c7e9e1 (__TEXT,__text) external _LLVMConstNUWNeg
00007ffb10c7eaf7 (__TEXT,__text) external _LLVMConstNUWSub
00007ffb10c7e937 (__TEXT,__text) external _LLVMConstNamedStruct
00007ffb10c7e986 (__TEXT,__text) external _LLVMConstNeg
00007ffb10c7ea26 (__TEXT,__text) external _LLVMConstNot
00007ffb10c7dc23 (__TEXT,__text) external _LLVMConstNull
00007ffb10c7ec8c (__TEXT,__text) external _LLVMConstOr
00007ffb10c7ef52 (__TEXT,__text) external _LLVMConstPointerCast
00007ffb10c7dc98 (__TEXT,__text) external _LLVMConstPointerNull
00007ffb10c7eed9 (__TEXT,__text) external _LLVMConstPtrToInt
00007ffb10c7e66c (__TEXT,__text) external _LLVMConstReal
00007ffb10c7e6f1 (__TEXT,__text) external _LLVMConstRealGetDouble
00007ffb10c7e676 (__TEXT,__text) external _LLVMConstRealOfString
00007ffb10c7e6ab (__TEXT,__text) external _LLVMConstRealOfStringAndSize
00007ffb10c7ebd3 (__TEXT,__text) external _LLVMConstSDiv
00007ffb10c7ee21 (__TEXT,__text) external _LLVMConstSExt
00007ffb10c7ef3e (__TEXT,__text) external _LLVMConstSExtOrBitCast
00007ffb10c7ee94 (__TEXT,__text) external _LLVMConstSIToFP
00007ffb10c7ec3e (__TEXT,__text) external _LLVMConstSRem
00007ffb10c7ef79 (__TEXT,__text) external _LLVMConstSelect
00007ffb10c7ecde (__TEXT,__text) external _LLVMConstShl
00007ffb10c7ef9d (__TEXT,__text) external _LLVMConstShuffleVector
00007ffb10c7e7d2 (__TEXT,__text) external _LLVMConstString
00007ffb10c7e7bd (__TEXT,__text) external _LLVMConstStringInContext
00007ffb10c7e8c9 (__TEXT,__text) external _LLVMConstStruct
00007ffb10c7e899 (__TEXT,__text) external _LLVMConstStructInContext
00007ffb10c7eac0 (__TEXT,__text) external _LLVMConstSub
00007ffb10c7ee0a (__TEXT,__text) external _LLVMConstTrunc
00007ffb10c7ef48 (__TEXT,__text) external _LLVMConstTruncOrBitCast
00007ffb10c7eb9c (__TEXT,__text) external _LLVMConstUDiv
00007ffb10c7ee7d (__TEXT,__text) external _LLVMConstUIToFP
00007ffb10c7ec24 (__TEXT,__text) external _LLVMConstURem
00007ffb10c7e943 (__TEXT,__text) external _LLVMConstVector
00007ffb10c7eca6 (__TEXT,__text) external _LLVMConstXor
00007ffb10c7ee38 (__TEXT,__text) external _LLVMConstZExt
00007ffb10c7ef34 (__TEXT,__text) external _LLVMConstZExtOrBitCast
00007ffb1172431a (__TEXT,__text) external _LLVMConsumeError
00007ffb10c7b71f (__TEXT,__text) external _LLVMContextCreate
00007ffb10c7b7ef (__TEXT,__text) external _LLVMContextDispose
00007ffb10c7b7a5 (__TEXT,__text) external _LLVMContextGetDiagnosticContext
00007ffb10c7b794 (__TEXT,__text) external _LLVMContextGetDiagnosticHandler
00007ffb10c7b777 (__TEXT,__text) external _LLVMContextSetDiagnosticHandler
00007ffb10c7b7dd (__TEXT,__text) external _LLVMContextSetDiscardValueNames
00007ffb10c7b7b6 (__TEXT,__text) external _LLVMContextSetYieldCallback
00007ffb10c7b7cd (__TEXT,__text) external _LLVMContextShouldDiscardValueNames
00007ffb10c7be11 (__TEXT,__text) external _LLVMCopyModuleFlagsMetadata
00007ffb117bb69c (__TEXT,__text) external _LLVMCopyStringRepOfTargetData
00007ffb10c804c0 (__TEXT,__text) external _LLVMCountBasicBlocks
00007ffb10c80fa4 (__TEXT,__text) external _LLVMCountIncoming
00007ffb10c7c9a8 (__TEXT,__text) external _LLVMCountParamTypes
00007ffb10c8007c (__TEXT,__text) external _LLVMCountParams
00007ffb10c7cae5 (__TEXT,__text) external _LLVMCountStructElementTypes
00007ffb10c805bf (__TEXT,__text) external _LLVMCreateBasicBlockInContext
00007ffb112bb218 (__TEXT,__text) external _LLVMCreateBinary
00007ffb10c8110d (__TEXT,__text) external _LLVMCreateBuilder
00007ffb10c81082 (__TEXT,__text) external _LLVMCreateBuilderInContext
00007ffb10d45b5b (__TEXT,__text) external _LLVMCreateCoverageDataForFile
00007ffb10d45bb0 (__TEXT,__text) external _LLVMCreateCoverageDataForFunction
00007ffb10d45933 (__TEXT,__text) external _LLVMCreateCoverageFunctionRange
00007ffb10d459d2 (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForFile
00007ffb10d462ab (__TEXT,__text) external _LLVMCreateCoverageFunctionRangeForInstantiationGroup
00007ffb10d4602a (__TEXT,__text) external _LLVMCreateCoverageInstantiationGroupRangeForFile
00007ffb10d45c3b (__TEXT,__text) external _LLVMCreateCoverageIterator
00007ffb10d4542d (__TEXT,__text) external _LLVMCreateCoverageMappingAggregate
00007ffb10d4541d (__TEXT,__text) external _LLVMCreateCoverageMappingAggregateForArch
00007ffb10d453c5 (__TEXT,__text) external _LLVMCreateCoverageMappingForArch
00007ffb10d43875 (__TEXT,__text) external _LLVMCreateCoverageSourceFileRange
00007ffb10c8f549 (__TEXT,__text) external _LLVMCreateDIBuilder
00007ffb10c8f51b (__TEXT,__text) external _LLVMCreateDIBuilderDisallowUnresolved
00007ffb11220be7 (__TEXT,__text) external _LLVMCreateDisasm
00007ffb11220bbd (__TEXT,__text) external _LLVMCreateDisasmCPU
00007ffb112204e0 (__TEXT,__text) external _LLVMCreateDisasmCPUFeatures
00007ffb10c7b8d5 (__TEXT,__text) external _LLVMCreateEnumAttribute
00007ffb10c84448 (__TEXT,__text) external _LLVMCreateFunctionPassManager
00007ffb10c8441e (__TEXT,__text) external _LLVMCreateFunctionPassManagerForModule
00007ffb10c8407d (__TEXT,__text) external _LLVMCreateMemoryBufferWithContentsOfFile
00007ffb10c8426e (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRange
00007ffb10c842ec (__TEXT,__text) external _LLVMCreateMemoryBufferWithMemoryRangeCopy
00007ffb10c8418f (__TEXT,__text) external _LLVMCreateMemoryBufferWithSTDIN
00007ffb10c7b70b (__TEXT,__text) external _LLVMCreateMessage
00007ffb10c84052 (__TEXT,__text) external _LLVMCreateModuleProviderForExistingModule
00007ffb112bb52e (__TEXT,__text) external _LLVMCreateObjectFile
00007ffb11337a23 (__TEXT,__text) external _LLVMCreatePassBuilderOptions
00007ffb10c843d0 (__TEXT,__text) external _LLVMCreatePassManager
