                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80ab48cc3 (__TEXT,__text) non-external _au_assemble
00007ff80ab53ce0 (__TEXT,__text) external _audit_set_fsize
00007ff80ab53bba (__TEXT,__text) external _audit_set_kaudit
00007ff80ab53c7e (__TEXT,__text) external _audit_set_kmask
00007ff80ab53d11 (__TEXT,__text) external _audit_set_pmask
00007ff80ab53816 (__TEXT,__text) external _audit_set_policy
00007ff80ab53abf (__TEXT,__text) external _audit_set_qctrl
00007ff80ab53891 (__TEXT,__text) external _audit_set_sflags
00007ff80ab53965 (__TEXT,__text) external _audit_set_sflags_mask
00007ff80ab53dd5 (__TEXT,__text) external _audit_set_stat
00007ff80ab53132 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80ab5304d (__TEXT,__text) external _audit_set_terminal_id
00007ff80ab531b3 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80ab53082 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80ab52c05 (__TEXT,__text) external _audit_submit
00007ff80ab46cc0 (__TEXT,__text) external _audit_token_to_asid
00007ff80ab46d08 (__TEXT,__text) external _audit_token_to_au32
00007ff80ab46ce4 (__TEXT,__text) external _audit_token_to_auid
00007ff80ab46ced (__TEXT,__text) external _audit_token_to_egid
00007ff80ab46cd2 (__TEXT,__text) external _audit_token_to_euid
00007ff80ab46cc9 (__TEXT,__text) external _audit_token_to_pid
00007ff80ab46cff (__TEXT,__text) external _audit_token_to_pidversion
00007ff80ab46cf6 (__TEXT,__text) external _audit_token_to_rgid
00007ff80ab46cdb (__TEXT,__text) external _audit_token_to_ruid
00007ff80ab531e8 (__TEXT,__text) external _audit_write
00007ff80ab534cc (__TEXT,__text) external _audit_write_failure
00007ff80ab53590 (__TEXT,__text) external _audit_write_failure_ex
00007ff80ab536f2 (__TEXT,__text) external _audit_write_failure_na
00007ff80ab53720 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80ab53654 (__TEXT,__text) external _audit_write_failure_self
00007ff80ab53373 (__TEXT,__text) external _audit_write_success
00007ff80ab533f7 (__TEXT,__text) external _audit_write_success_ex
00007ff80ab5347b (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80ab55a00 (__TEXT,__const) non-external _bsm_domains
00007ff84226fb70 (__DATA,__const) non-external _bsm_errnos
00007ff80ab55c80 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80ab55c30 (__TEXT,__const) non-external _bsm_socket_types
00007ff80ab50303 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80ab4f933 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80ab49884 (__TEXT,__text) external _endac
00007ff80ab494e4 (__TEXT,__text) external _endauclass
00007ff80ab4a215 (__TEXT,__text) external _endauevent
00007ff80ab5278f (__TEXT,__text) external _endauuser
00007ff842270da8 (__DATA,__bss) non-external _ev_cache
00007ff80ab4a6cf (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff842270da0 (__DATA,__bss) non-external _firsttime
00007ff80ab50171 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff842270860 (__DATA,__bss) non-external _fp
00007ff842270970 (__DATA,__bss) non-external _fp
00007ff842270a80 (__DATA,__bss) non-external _fp
00007ff842270dc0 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80ab498bd (__TEXT,__text) external _getacdir
00007ff80ab49eed (__TEXT,__text) external _getacexpire
00007ff80ab49ae8 (__TEXT,__text) external _getacfilesz
00007ff80ab49c38 (__TEXT,__text) external _getacflg
00007ff80ab49e5f (__TEXT,__text) external _getachost
00007ff80ab49a85 (__TEXT,__text) external _getacmin
00007ff80ab49cbe (__TEXT,__text) external _getacna
00007ff80ab49d44 (__TEXT,__text) external _getacpol
00007ff80ab49dd2 (__TEXT,__text) external _getacsflagsmask
00007ff80ab4927b (__TEXT,__text) external _getauclassent
00007ff842270768 (__DATA,__bss) non-external _getauclassent.c
00007ff842270720 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff842270710 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff842270780 (__DATA,__bss) non-external _getauclassent.cp
00007ff80ab490df (__TEXT,__text) external _getauclassent_r
00007ff80ab49113 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80ab493b6 (__TEXT,__text) external _getauclassnam
00007ff8422707d8 (__DATA,__bss) non-external _getauclassnam.c
00007ff842270790 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff842270788 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80ab4933f (__TEXT,__text) external _getauclassnam_r
00007ff80ab4947f (__TEXT,__text) external _getauclassnum
00007ff842270848 (__DATA,__bss) non-external _getauclassnum.c
00007ff842270800 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff8422707f0 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80ab4941c (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80ab4a7ed (__TEXT,__text) external _getauditflagsbin
00007ff80ab4a95c (__TEXT,__text) external _getauditflagschar
00007ff80ab4a31f (__TEXT,__text) external _getauevent
00007ff842270ae8 (__DATA,__bss) non-external _getauevent.e
00007ff842270ab0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff842270a90 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80ab4a24e (__TEXT,__text) external _getauevent_r
00007ff80ab4a476 (__TEXT,__text) external _getauevnam
00007ff842270b68 (__DATA,__bss) non-external _getauevnam.e
00007ff842270b30 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff842270b10 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80ab4a389 (__TEXT,__text) external _getauevnam_r
00007ff80ab4a6bb (__TEXT,__text) external _getauevnonam
00007ff842270c90 (__DATA,__bss) non-external _getauevnonam.event
00007ff80ab4a629 (__TEXT,__text) external _getauevnonam_r
00007ff842270c68 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff842270c88 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff842270c30 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff842270c10 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80ab4a5bd (__TEXT,__text) external _getauevnum
00007ff842270be8 (__DATA,__bss) non-external _getauevnum.e
00007ff842270bb0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff842270b90 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80ab4a4e3 (__TEXT,__text) external _getauevnum_r
00007ff80ab52958 (__TEXT,__text) external _getauuserent
00007ff842270e08 (__DATA,__bss) non-external _getauuserent.u
00007ff842270dd0 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80ab527c8 (__TEXT,__text) external _getauuserent_r
00007ff80ab527fc (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80ab52a3a (__TEXT,__text) external _getauusernam
00007ff842270e58 (__DATA,__bss) non-external _getauusernam.u
00007ff842270e20 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80ab529cf (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80ab52b44 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80ab4993e (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff842270870 (__DATA,__bss) non-external _linestr
00007ff842270980 (__DATA,__bss) non-external _linestr
00007ff842270ca0 (__DATA,__bss) non-external _linestr
00007ff842270e70 (__DATA,__bss) non-external _linestr
00007ff80ab500b2 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff8422704e0 (__DATA,__data) non-external _mutex
00007ff842270520 (__DATA,__data) non-external _mutex
00007ff842270560 (__DATA,__data) non-external _mutex
00007ff8422705a0 (__DATA,__data) non-external _mutex
00007ff8422705e0 (__DATA,__data) non-external _mutex
00007ff842270620 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff842270670 (__DATA,__bss) non-external _open_desc_table
00007ff80ab4f7dc (__TEXT,__text) non-external _print_event
00007ff80ab4fe11 (__TEXT,__text) non-external _print_group
00007ff80ab4fba8 (__TEXT,__text) non-external _print_ip_ex_address
00007ff80ab4fec1 (__TEXT,__text) non-external _print_ipctype
00007ff80ab4fe54 (__TEXT,__text) non-external _print_mem
00007ff80ab4ff28 (__TEXT,__text) non-external _print_retval
00007ff80ab4f8a2 (__TEXT,__text) non-external _print_sec32
00007ff80ab4fc52 (__TEXT,__text) non-external _print_sec64
00007ff80ab4fce2 (__TEXT,__text) non-external _print_string
00007ff80ab4f468 (__TEXT,__text) non-external _print_tok_type
00007ff80ab4fdce (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80ab497e8 (__TEXT,__text) external _setac
00007ff80ab49810 (__TEXT,__text) non-external _setac_locked
00007ff842270978 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80ab4930d (__TEXT,__text) external _setauclass
00007ff80ab4a1e3 (__TEXT,__text) external _setauevent
00007ff80ab5275d (__TEXT,__text) external _setauuser
00007ff80ab4a0bd (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff842270db0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
