                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
00007fff2d2f9df3 (__TEXT,__text) external _CMCloneProfileRef
00007fff2d2f9684 (__TEXT,__text) external _CMGetDeviceFactoryProfiles
00007fff815635b0 (__DATA,__bss) non-external _CMGetDeviceFactoryProfiles.func
00007fff2d2f962a (__TEXT,__text) external _CMGetDeviceInfo
00007fff815635a8 (__DATA,__bss) non-external _CMGetDeviceInfo.func
00007fff2d2f95cd (__TEXT,__text) external _CMGetDeviceProfile
00007fff815635a0 (__DATA,__bss) non-external _CMGetDeviceProfile.func
00007fff2d2f9573 (__TEXT,__text) external _CMGetDeviceState
00007fff81563598 (__DATA,__bss) non-external _CMGetDeviceState.func
00007fff2d2f9519 (__TEXT,__text) external _CMGetDeviceTrackingByUse
00007fff81563590 (__DATA,__bss) non-external _CMGetDeviceTrackingByUse.func
00007fff2d2f94bf (__TEXT,__text) external _CMGetGammaByAVID
00007fff81563588 (__DATA,__bss) non-external _CMGetGammaByAVID.func
00007fff2d2f93f6 (__TEXT,__text) external _CMGetIndNamedColorValue
00007fff81563580 (__DATA,__bss) non-external _CMGetIndNamedColorValue.func
00007fff2d2f932d (__TEXT,__text) external _CMGetIndProfileElement
00007fff81563578 (__DATA,__bss) non-external _CMGetIndProfileElement.func
00007fff2d2f9258 (__TEXT,__text) external _CMGetIndProfileElementInfo
00007fff81563570 (__DATA,__bss) non-external _CMGetIndProfileElementInfo.func
00007fff2d2f91a1 (__TEXT,__text) external _CMGetNamedColorIndex
00007fff81563568 (__DATA,__bss) non-external _CMGetNamedColorIndex.func
00007fff2d2f90ba (__TEXT,__text) external _CMGetNamedColorInfo
00007fff81563560 (__DATA,__bss) non-external _CMGetNamedColorInfo.func
00007fff2d2f9003 (__TEXT,__text) external _CMGetNamedColorName
00007fff81563558 (__DATA,__bss) non-external _CMGetNamedColorName.func
00007fff2d2f8f37 (__TEXT,__text) external _CMGetNamedColorValue
00007fff81563550 (__DATA,__bss) non-external _CMGetNamedColorValue.func
00007fff2d2f8df2 (__TEXT,__text) external _CMGetPS2ColorRendering
00007fff81563548 (__DATA,__bss) non-external _CMGetPS2ColorRendering.func
00007fff2d2f8d1d (__TEXT,__text) external _CMGetPS2ColorRenderingIntent
00007fff81563540 (__DATA,__bss) non-external _CMGetPS2ColorRenderingIntent.func
00007fff2d2f8be6 (__TEXT,__text) external _CMGetPS2ColorRenderingVMSize
00007fff81563538 (__DATA,__bss) non-external _CMGetPS2ColorRenderingVMSize.func
00007fff2d2f8b11 (__TEXT,__text) external _CMGetPS2ColorSpace
00007fff81563530 (__DATA,__bss) non-external _CMGetPS2ColorSpace.func
00007fff2d2f8a42 (__TEXT,__text) external _CMGetPartialProfileElement
00007fff81563528 (__DATA,__bss) non-external _CMGetPartialProfileElement.func
00007fff2d2f89fd (__TEXT,__text) external _CMGetProfileByAVID
00007fff81563520 (__DATA,__bss) non-external _CMGetProfileByAVID.func
00007fff2d2f8916 (__TEXT,__text) external _CMGetProfileDescriptions
00007fff81563518 (__DATA,__bss) non-external _CMGetProfileDescriptions.func
00007fff2d2f884d (__TEXT,__text) external _CMGetProfileElement
00007fff81563510 (__DATA,__bss) non-external _CMGetProfileElement.func
00007fff2d2f875e (__TEXT,__text) external _CMGetProfileGamma
00007fff81563508 (__DATA,__bss) non-external _CMGetProfileGamma.func
00007fff2d2f86ac (__TEXT,__text) external _CMGetProfileHeader
00007fff81563500 (__DATA,__bss) non-external _CMGetProfileHeader.func
00007fff2d2f8665 (__TEXT,__text) external _CMGetProfileLocation
00007fff815634f8 (__DATA,__bss) non-external _CMGetProfileLocation.func
00007fff2d2f85b3 (__TEXT,__text) external _CMGetProfileMD5
00007fff815634f0 (__DATA,__bss) non-external _CMGetProfileMD5.func
00007fff2d2f8501 (__TEXT,__text) external _CMGetProfileRefCount
00007fff815634e8 (__DATA,__bss) non-external _CMGetProfileRefCount.func
00007fff2d2f8424 (__TEXT,__text) external _CMGetProfileTransformInfo
00007fff815634e0 (__DATA,__bss) non-external _CMGetProfileTransformInfo.func
00007fff2d2f83e0 (__TEXT,__text) external _CMGetSystemProfile
00007fff815634d8 (__DATA,__bss) non-external _CMGetSystemProfile.func
00007fff2d2f839c (__TEXT,__text) external _CMGetSystemProfileAVID
00007fff815634d0 (__DATA,__bss) non-external _CMGetSystemProfileAVID.func
00007fff2d2f8355 (__TEXT,__text) external _CMGetSystemProfilePriv
00007fff815634c8 (__DATA,__bss) non-external _CMGetSystemProfilePriv.func
00007fff2d2f82f9 (__TEXT,__text) external _CMIterateCMMInfo
00007fff815634c0 (__DATA,__bss) non-external _CMIterateCMMInfo.func
00007fff2d2f829a (__TEXT,__text) external _CMIterateColorDevices
00007fff815634b8 (__DATA,__bss) non-external _CMIterateColorDevices.func
00007fff2d2f823b (__TEXT,__text) external _CMIterateColorSyncFolder
00007fff815634b0 (__DATA,__bss) non-external _CMIterateColorSyncFolder.func
00007fff2d2f81c7 (__TEXT,__text) external _CMIterateDeviceProfiles
00007fff815634a8 (__DATA,__bss) non-external _CMIterateDeviceProfiles.func
00007fff2d2f81bc (__TEXT,__text) external _CMLaunchControlPanel
00007fff2d2f8175 (__TEXT,__text) external _CMMakeProfile
00007fff815634a0 (__DATA,__bss) non-external _CMMakeProfile.func
00007fff2d2f8119 (__TEXT,__text) external _CMMatchFloatBitmap
00007fff81563498 (__DATA,__bss) non-external _CMMatchFloatBitmap.func
00007fff2d2f80d2 (__TEXT,__text) external _CMNewProfile
00007fff81563490 (__DATA,__bss) non-external _CMNewProfile.func
00007fff2d2f808b (__TEXT,__text) external _CMOpenProfile
00007fff81563488 (__DATA,__bss) non-external _CMOpenProfile.func
00007fff2d2fa1c6 (__TEXT,__text) external _CMPostLegacyDeviceNotification
00007fff81563660 (__DATA,__bss) non-external _CMPostLegacyDeviceNotification.func
00007fff2d2f7fd7 (__TEXT,__text) external _CMProfileCopyICCData
00007fff81563480 (__DATA,__bss) non-external _CMProfileCopyICCData.func
00007fff2d2f7f20 (__TEXT,__text) external _CMProfileElementExists
00007fff81563478 (__DATA,__bss) non-external _CMProfileElementExists.func
00007fff2d2f7ed9 (__TEXT,__text) external _CMProfileModified
00007fff81563470 (__DATA,__bss) non-external _CMProfileModified.func
00007fff2d2fa184 (__TEXT,__text) external _CMProfileWriteToFile
00007fff81563658 (__DATA,__bss) non-external _CMProfileWriteToFile.func
00007fff2d2f7e7c (__TEXT,__text) external _CMRegisterColorDevice
00007fff81563468 (__DATA,__bss) non-external _CMRegisterColorDevice.func
00007fff2d2f7e35 (__TEXT,__text) external _CMRemoveProfileElement
00007fff81563460 (__DATA,__bss) non-external _CMRemoveProfileElement.func
00007fff2d2f7df0 (__TEXT,__text) external _CMSetDefaultDevice
00007fff81563458 (__DATA,__bss) non-external _CMSetDefaultDevice.func
00007fff2d2f7d96 (__TEXT,__text) external _CMSetDeviceDefaultProfileID
00007fff81563450 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.func
00007fff2d2f7d39 (__TEXT,__text) external _CMSetDeviceFactoryProfiles
00007fff81563448 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.func
00007fff2d2f7cc7 (__TEXT,__text) external _CMSetDeviceProfile
00007fff81563440 (__DATA,__bss) non-external _CMSetDeviceProfile.func
00007fff2d2f7c6d (__TEXT,__text) external _CMSetDeviceState
00007fff81563438 (__DATA,__bss) non-external _CMSetDeviceState.func
00007fff2d2f7c13 (__TEXT,__text) external _CMSetDeviceTrackingByUse
00007fff81563430 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.func
00007fff2d2f7bce (__TEXT,__text) external _CMSetGammaByAVID
00007fff81563428 (__DATA,__bss) non-external _CMSetGammaByAVID.func
00007fff2d2f7b5a (__TEXT,__text) external _CMSetPartialProfileElement
00007fff81563420 (__DATA,__bss) non-external _CMSetPartialProfileElement.func
00007fff2d2f7b15 (__TEXT,__text) external _CMSetProfileByAVID
00007fff81563418 (__DATA,__bss) non-external _CMSetProfileByAVID.func
00007fff2d2f7a98 (__TEXT,__text) external _CMSetProfileDescriptions
00007fff81563410 (__DATA,__bss) non-external _CMSetProfileDescriptions.func
00007fff2d2f7a39 (__TEXT,__text) external _CMSetProfileElement
00007fff81563408 (__DATA,__bss) non-external _CMSetProfileElement.func
00007fff2d2f79dd (__TEXT,__text) external _CMSetProfileElementReference
00007fff81563400 (__DATA,__bss) non-external _CMSetProfileElementReference.func
00007fff2d2f7981 (__TEXT,__text) external _CMSetProfileElementSize
00007fff815633f8 (__DATA,__bss) non-external _CMSetProfileElementSize.func
00007fff2d2f793a (__TEXT,__text) external _CMSetProfileHeader
00007fff815633f0 (__DATA,__bss) non-external _CMSetProfileHeader.func
00007fff2d2f78de (__TEXT,__text) external _CMSetProfileLocalizedStringDictionary
00007fff815633e8 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.func
00007fff2d2f789a (__TEXT,__text) external _CMSetSystemProfile
00007fff815633e0 (__DATA,__bss) non-external _CMSetSystemProfile.func
00007fff2d2fa142 (__TEXT,__text) external _CMSetSystemProfileAVID
00007fff81563650 (__DATA,__bss) non-external _CMSetSystemProfileAVID.func
00007fff2d2f7855 (__TEXT,__text) external _CMUnregisterColorDevice
00007fff815633d8 (__DATA,__bss) non-external _CMUnregisterColorDevice.func
00007fff2d2f77f5 (__TEXT,__text) external _CMUpdateProfile
00007fff815633d0 (__DATA,__bss) non-external _CMUpdateProfile.func
00007fff2d2f773e (__TEXT,__text) external _CMValidateProfile
00007fff815633c8 (__DATA,__bss) non-external _CMValidateProfile.func
00007fff2d2f76ca (__TEXT,__text) external _CWCheckBitmap
00007fff815633c0 (__DATA,__bss) non-external _CWCheckBitmap.func
00007fff2d2f766b (__TEXT,__text) external _CWCheckColors
00007fff815633b8 (__DATA,__bss) non-external _CWCheckColors.func
00007fff2d2f6de3 (__TEXT,__text) external _CWColorWorldGetProperty
00007fff81563350 (__DATA,__bss) non-external _CWColorWorldGetProperty.func
00007fff2d2f6d8c (__TEXT,__text) external _CWColorWorldSetProperty
00007fff81563348 (__DATA,__bss) non-external _CWColorWorldSetProperty.func
00007fff2d2f752b (__TEXT,__text) external _CWConcatColorWorld
00007fff815633b0 (__DATA,__bss) non-external _CWConcatColorWorld.func
00007fff2d2f74ec (__TEXT,__text) external _CWDisposeColorWorld
00007fff815633a8 (__DATA,__bss) non-external _CWDisposeColorWorld.func
00007fff2d2f7478 (__TEXT,__text) external _CWFillLookupTexture
00007fff815633a0 (__DATA,__bss) non-external _CWFillLookupTexture.func
00007fff2d2f7437 (__TEXT,__text) external _CWGetCMMSignature
00007fff81563398 (__DATA,__bss) non-external _CWGetCMMSignature.func
00007fff2d2f73c3 (__TEXT,__text) external _CWMatchBitmap
00007fff81563390 (__DATA,__bss) non-external _CWMatchBitmap.func
00007fff2d2f7367 (__TEXT,__text) external _CWMatchColors
00007fff81563388 (__DATA,__bss) non-external _CWMatchColors.func
00007fff2d2f7220 (__TEXT,__text) external _CWNewLinkProfile
00007fff81563380 (__DATA,__bss) non-external _CWNewLinkProfile.func
00007fff2d2fa4b8 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionNumber
00007fff2d2fa480 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionString
00007fff2d2f68d6 (__TEXT,__text) non-external (was a private external) _ColorSyncLoadLegacyFunction
00007fff81563330 (__DATA,__bss) non-external _ColorSyncLoadLegacyFunction.handle
00007fff815632e8 (__DATA,__data) non-external _ColorSyncLoadLegacyFunction.mtx
                 (undefined) external _ColorSyncProfileGetTypeID (from ColorSync)
00007fff2d2f6ed8 (__TEXT,__text) external _CreateCMProfileFromColorSyncProfile
00007fff81563670 (__DATA,__bss) non-external _CreateCMProfileFromColorSyncProfile.func
00007fff2d2fa21d (__TEXT,__text) external _CreateColorSyncProfileFromCMProfile
00007fff81563668 (__DATA,__bss) non-external _CreateColorSyncProfileFromCMProfile.func
00007fff2d2f70a0 (__TEXT,__text) external _DisposeCMBitmapCallBackUPP
00007fff2d2f721a (__TEXT,__text) external _DisposeCMConcatCallBackUPP
00007fff2d2f7214 (__TEXT,__text) external _DisposeCMFlattenUPP
00007fff2d2f720e (__TEXT,__text) external _DisposeCMMIterateUPP
00007fff2d2f7208 (__TEXT,__text) external _DisposeCMProfileAccessUPP
00007fff2d2f7202 (__TEXT,__text) external _DisposeCMProfileIterateUPP
00007fff2d2f71fb (__TEXT,__text) external _InvokeCMBitmapCallBackUPP
00007fff2d2f71f4 (__TEXT,__text) external _InvokeCMConcatCallBackUPP
00007fff2d2f71ec (__TEXT,__text) external _InvokeCMFlattenUPP
00007fff2d2f71e5 (__TEXT,__text) external _InvokeCMMIterateUPP
00007fff2d2f71dd (__TEXT,__text) external _InvokeCMProfileAccessUPP
00007fff2d2f71d6 (__TEXT,__text) external _InvokeCMProfileIterateUPP
00007fff2d2f9f93 (__TEXT,__text) external _NCMGetProfileLocation
00007fff81563640 (__DATA,__bss) non-external _NCMGetProfileLocation.func
00007fff2d2f9fef (__TEXT,__text) external _NCWConcatColorWorld
00007fff81563648 (__DATA,__bss) non-external _NCWConcatColorWorld.func
00007fff2d2f70a6 (__TEXT,__text) external _NCWNewColorWorld
00007fff81563378 (__DATA,__bss) non-external _NCWNewColorWorld.func
00007fff2d2f9e37 (__TEXT,__text) external _NCWNewLinkProfile
00007fff81563638 (__DATA,__bss) non-external _NCWNewLinkProfile.func
00007fff2d2f7097 (__TEXT,__text) external _NewCMBitmapCallBackUPP
00007fff2d2f708e (__TEXT,__text) external _NewCMConcatCallBackUPP
00007fff2d2f7085 (__TEXT,__text) external _NewCMFlattenUPP
00007fff2d2f707c (__TEXT,__text) external _NewCMMIterateUPP
00007fff2d2f7073 (__TEXT,__text) external _NewCMProfileAccessUPP
00007fff2d2f706a (__TEXT,__text) external _NewCMProfileIterateUPP
                 (undefined) external __CFBundleCopyInfoDictionaryInResourceFork (from CoreFoundation)
                 (undefined) external __CFBundleGetMainBundleIfLooksLikeBundle (from CoreFoundation)
                 (undefined) external __CFProcessPath (from CoreFoundation)
00007fff2d2f700c (__TEXT,__text) external __CMGetProfileOfSuite
00007fff81563370 (__DATA,__bss) non-external __CMGetProfileOfSuite.func
00007fff2d2f6fca (__TEXT,__text) external __CMLoadProfileLutsByAVID
00007fff81563368 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.func
00007fff2d2f6f19 (__TEXT,__text) external __CMProfileGetProperty
00007fff81563360 (__DATA,__bss) non-external __CMProfileGetProperty.func
00007fff2d2f6e27 (__TEXT,__text) external __CMProfileSetProperty
00007fff81563358 (__DATA,__bss) non-external __CMProfileSetProperty.func
00007fff2d2f6d48 (__TEXT,__text) external __CWColorWorldGetProperty
00007fff81563340 (__DATA,__bss) non-external __CWColorWorldGetProperty.func
00007fff2d2f6cf1 (__TEXT,__text) external __CWColorWorldSetProperty
00007fff81563338 (__DATA,__bss) non-external __CWColorWorldSetProperty.func
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007fff815632e0 (__DATA,__data) non-external __dyld_private
                 (undefined) external _dladdr (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
                 (undefined) external _fclose (from libSystem)
00007fff81563680 (__DATA,__bss) non-external _fetchApplicationName.aName
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFBundleIdentifierKey (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
00007fff2d2fa4c0 (__TEXT,__const) external _kCMIlluminantD50
00007fff2d2fa4cc (__TEXT,__const) external _kCMIlluminantD65
                 (undefined) external _localtime (from libSystem)
00007fff2d2f69da (__TEXT,__text) non-external _logLegacyCall
00007fff81563328 (__DATA,__data) non-external _logLegacyCall.logExists
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _time (from libSystem)
                 (undefined) external _vsnprintf_l (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
