                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff817d54911 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff817d504be (__TEXT,__text) external _KLCancelAllDialogs
00007ff817d4fd26 (__TEXT,__text) external _KLChangePassword
00007ff817d504c6 (__TEXT,__text) external _KLChangePasswordWithPasswords
00007ff817d508e4 (__TEXT,__text) external _KLComparePrincipal
00007ff817d505be (__TEXT,__text) external _KLCountKerberosRealms
00007ff817d5097f (__TEXT,__text) external _KLCreateLoginOptions
00007ff817d506b1 (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
00007ff817d506e0 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
00007ff817d50629 (__TEXT,__text) external _KLCreatePrincipalFromString
00007ff817d505ec (__TEXT,__text) external _KLCreatePrincipalFromTriplet
00007ff817d4fce8 (__TEXT,__text) external _KLDestroyTickets
00007ff817d50b3b (__TEXT,__text) external _KLDisposeLoginOptions
00007ff817d50943 (__TEXT,__text) external _KLDisposePrincipal
00007ff817d50b88 (__TEXT,__text) external _KLDisposeString
00007ff817d504f7 (__TEXT,__text) external _KLFindKerberosRealmByName
00007ff817d4f809 (__TEXT,__text) external _KLGetApplicationOptions
00007ff817d504e1 (__TEXT,__text) external _KLGetDefaultLoginOption
00007ff817d5085c (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
00007ff817d50437 (__TEXT,__text) external _KLGetErrorString
00007ff817d504d9 (__TEXT,__text) external _KLGetIdleCallback
00007ff817d505c9 (__TEXT,__text) external _KLGetKerberosDefaultRealm
00007ff817d5055d (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
00007ff817d50591 (__TEXT,__text) external _KLGetKerberosRealm
00007ff817d507d4 (__TEXT,__text) external _KLGetStringFromPrincipal
00007ff817d5070f (__TEXT,__text) external _KLGetTripletFromPrincipal
00007ff817d5042f (__TEXT,__text) external _KLHandleError
00007ff817d505ae (__TEXT,__text) external _KLInsertKerberosRealm
00007ff817d5000c (__TEXT,__text) external _KLLastChangedTime
00007ff817d50abe (__TEXT,__text) external _KLLoginOptionsSetAddressless
00007ff817d50a28 (__TEXT,__text) external _KLLoginOptionsSetForwardable
00007ff817d50a5a (__TEXT,__text) external _KLLoginOptionsSetProxiable
00007ff817d50a8c (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
00007ff817d50af8 (__TEXT,__text) external _KLLoginOptionsSetServiceName
00007ff817d509f6 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
00007ff817d50adb (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
00007ff817d505b6 (__TEXT,__text) external _KLRemoveAllKerberosRealms
00007ff817d505a6 (__TEXT,__text) external _KLRemoveKerberosRealm
00007ff817d4fd62 (__TEXT,__text) external _KLRenewInitialTickets
00007ff817d4f801 (__TEXT,__text) external _KLSetApplicationOptions
00007ff817d504ec (__TEXT,__text) external _KLSetDefaultLoginOption
00007ff817d504d1 (__TEXT,__text) external _KLSetIdleCallback
00007ff817d505dc (__TEXT,__text) external _KLSetKerberosDefaultRealm
00007ff817d505e4 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
00007ff817d5059e (__TEXT,__text) external _KLSetKerberosRealm
00007ff817d50399 (__TEXT,__text) external _KLSetSystemDefaultCache
00007ff817d4fd3c (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
00007ff817d502ec (__TEXT,__text) external _KLTicketExpirationTime
00007ff817d5023f (__TEXT,__text) external _KLTicketStartTime
00007ff817d50004 (__TEXT,__text) external _KLValidateInitialTickets
00007ff817d4fd4f (__TEXT,__text) external _KLVerifyInitialTicketCredentials
00007ff817d4fd47 (__TEXT,__text) external _KLVerifyInitialTickets
00007ff817d5461e (__TEXT,__text) external _KPCreatePreferencesFile
00007ff817d54602 (__TEXT,__text) external _KPFreeListOfPreferencesFiles
00007ff817d545f7 (__TEXT,__text) external _KPGetListOfPreferencesFiles
00007ff817d545ec (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
00007ff817d54608 (__TEXT,__text) external _KPPreferencesFileIsReadable
00007ff817d54613 (__TEXT,__text) external _KPPreferencesFileIsWritable
00007ff817d54b3e (__TEXT,__text) external _KServerAddKeyCompat
00007ff817d54b49 (__TEXT,__text) external _KServerGetKeyCompat
00007ff817d54b33 (__TEXT,__text) external _KServerGetReplyTicketCompat
00007ff817d54b54 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
00007ff817d54b1d (__TEXT,__text) external _KServerNewSessionCompat
00007ff817d54b28 (__TEXT,__text) external _KServerVerifyTicketCompat
00007ff817d534ec (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff843da98d0 (__DATA,__bss) non-external __DeprecatedFunctionStringReturn.string
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff817d50bbe (__TEXT,__text) external ___KLAllowAutomaticPrompting
00007ff817d50bab (__TEXT,__text) external ___KLAllowHomeDirectoryAccess
00007ff817d50bd9 (__TEXT,__text) external ___KLAllowRememberPassword
00007ff817d50c3d (__TEXT,__text) external ___KLCreatePrincipalFromKerberos5Principal
00007ff817d50be1 (__TEXT,__text) external ___KLCreatePrincipalFromTriplet
00007ff817d50c6c (__TEXT,__text) external ___KLGetKerberos5PrincipalFromPrincipal
00007ff817d50c7f (__TEXT,__text) external ___KLGetKeychainPasswordForPrincipal
00007ff817d50c0f (__TEXT,__text) external ___KLGetTripletFromPrincipal
00007ff817d50c9a (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetKerberos5Options
00007ff817d50c9a (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetServiceName
00007ff817d50c9a (__TEXT,__text) non-external (was a private external) ___KLLoginOptionsGetStartTime
00007ff817d50c77 (__TEXT,__text) external ___KLPrincipalIsTicketGrantingService
00007ff817d50c8a (__TEXT,__text) external ___KLPrincipalSetKeychainPassword
00007ff817d50bce (__TEXT,__text) external ___KLPromptMechanism
00007ff817d50c92 (__TEXT,__text) external ___KLRemoveKeychainPasswordForPrincipal
00007ff817d50b95 (__TEXT,__text) external ___KLSetApplicationPrompter
00007ff817d50bb6 (__TEXT,__text) external ___KLSetAutomaticPrompting
00007ff817d50b9d (__TEXT,__text) external ___KLSetHomeDirectoryAccess
00007ff817d50bc6 (__TEXT,__text) external ___KLSetPromptMechanism
00007ff817d4ee09 (__TEXT,__text) external ___KerberosDebugLogLevel
00007ff817d4ee11 (__TEXT,__text) external ___KerberosDebugPrint
00007ff817d4ee1d (__TEXT,__text) external ___KerberosDebugPrintMemory
00007ff817d4ee23 (__TEXT,__text) external ___KerberosDebugPrintSession
00007ff817d4ee17 (__TEXT,__text) external ___KerberosDebugVAPrint
00007ff843da92e8 (__DATA,__data) external ___KerberosInternal_krb5_defkeyname
00007ff817d4b5ae (__TEXT,__text) external ___KerberosInternal_krb5int_sendtokdc_debug_handler
                 (undefined) external ___assert_rtn (from libSystem)
00007ff8422f67c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ff8422f6848 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00007ff8422f6808 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.6
00007ff8422f67e8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ff8422f6868 (__DATA_CONST,__const) non-external ___block_literal_global.12
00007ff8422f6828 (__DATA_CONST,__const) non-external ___block_literal_global.7
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
00007ff817d4e4f6 (__TEXT,__text) non-external ___error_message_block_invoke
00007ff817d4aa7b (__TEXT,__text) non-external ___init_log_block_invoke
                 (undefined) external ___maskrune (from libSystem)
00007ff817d4dc3a (__TEXT,__text) non-external ___mshim_ctx_block_invoke
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _abort (from libSystem)
00007ff817d4f92d (__TEXT,__text) non-external _acquireticket_ui
00007ff817d52dfb (__TEXT,__text) non-external _add_data_to_buffer
00007ff817d4abaa (__TEXT,__text) external _add_error_table
00007ff817d5177d (__TEXT,__text) non-external _add_to_list
00007ff817d56201 (__TEXT,__text) external _apple_gss_krb5_export_authdata_if_relevant_context
00007ff817d562f9 (__TEXT,__text) external _apple_gss_krb5_free_authdata_if_relevant
                 (undefined) external _asprintf (from libSystem)
00007ff817d4abb2 (__TEXT,__text) external _cc_close
00007ff817d4abba (__TEXT,__text) external _cc_create
00007ff817d4abc2 (__TEXT,__text) external _cc_destroy
00007ff817d4abca (__TEXT,__text) external _cc_free_NC_info
00007ff817d4abd2 (__TEXT,__text) external _cc_free_creds
00007ff817d4abda (__TEXT,__text) external _cc_free_name
00007ff817d4abe2 (__TEXT,__text) external _cc_free_principal
00007ff843da91c8 (__DATA,__data) non-external (was a private external) _cc_functions
00007ff817d4abea (__TEXT,__text) external _cc_get_NC_info
00007ff817d4abf2 (__TEXT,__text) external _cc_get_change_time
00007ff817d4abfa (__TEXT,__text) external _cc_get_cred_version
00007ff817d4ac02 (__TEXT,__text) external _cc_get_name
00007ff817d4ac0a (__TEXT,__text) external _cc_get_principal
00007ff817d4c482 (__TEXT,__text) external _cc_initialize
00007ff817d4d47b (__TEXT,__text) non-external _cc_iterator_clone
00007ff817d4bb76 (__TEXT,__text) non-external (was a private external) _cc_iterator_next
00007ff817d4d43b (__TEXT,__text) non-external _cc_iterator_release
00007ff817d4ac12 (__TEXT,__text) external _cc_open
00007ff817d4ac1a (__TEXT,__text) external _cc_remove_cred
00007ff817d4ac22 (__TEXT,__text) external _cc_seq_fetch_NCs_begin
00007ff817d4ac2a (__TEXT,__text) external _cc_seq_fetch_NCs_end
00007ff817d4ac32 (__TEXT,__text) external _cc_seq_fetch_NCs_next
00007ff817d4ac3a (__TEXT,__text) external _cc_seq_fetch_creds_begin
00007ff817d4ac42 (__TEXT,__text) external _cc_seq_fetch_creds_end
00007ff817d4ac4a (__TEXT,__text) external _cc_seq_fetch_creds_next
00007ff817d4ac52 (__TEXT,__text) external _cc_set_principal
00007ff817d4ac5a (__TEXT,__text) external _cc_shutdown
00007ff817d4ac62 (__TEXT,__text) external _cc_store
00007ff817d4d38f (__TEXT,__text) non-external _ccache_clear_kdc_time_offset
00007ff817d4d172 (__TEXT,__text) non-external _ccache_compare
00007ff817d4c530 (__TEXT,__text) non-external _ccache_destroy
00007ff843da9230 (__DATA,__data) non-external _ccache_functions
00007ff817d4d12b (__TEXT,__text) non-external _ccache_get_change_time
00007ff817d4c609 (__TEXT,__text) non-external _ccache_get_credentials_version
00007ff817d4d251 (__TEXT,__text) non-external _ccache_get_kdc_time_offset
00007ff817d4d0d7 (__TEXT,__text) non-external _ccache_get_last_default_time
00007ff817d4c623 (__TEXT,__text) non-external _ccache_get_name
00007ff817d4c6b2 (__TEXT,__text) non-external _ccache_get_principal
00007ff843da92d0 (__DATA,__data) non-external _ccache_iterator_functions
00007ff817d4d09d (__TEXT,__text) non-external _ccache_lock
00007ff817d4cfeb (__TEXT,__text) non-external _ccache_move
00007ff817d4cf1d (__TEXT,__text) non-external _ccache_new_credentials_iterator
00007ff817d4bb2f (__TEXT,__text) non-external (was a private external) _ccache_release
00007ff817d4cd4c (__TEXT,__text) non-external _ccache_remove_credentials
00007ff817d4c592 (__TEXT,__text) non-external _ccache_set_default
00007ff817d4d304 (__TEXT,__text) non-external _ccache_set_kdc_time_offset
00007ff817d4c7d0 (__TEXT,__text) non-external _ccache_set_principal
00007ff817d4c8e0 (__TEXT,__text) non-external _ccache_store_credentials
00007ff817d4d0ba (__TEXT,__text) non-external _ccache_unlock
00007ff817d4d3ee (__TEXT,__text) non-external _ccache_wait_for_change
00007ff817d4d3f9 (__TEXT,__text) non-external _check_exists
                 (undefined) external _com_err (from Heimdal)
                 (indirect) external _com_err (for _com_err)
                 (undefined) external _com_err_va (from Heimdal)
                 (indirect) external _com_err_va (for _com_err_va)
00007ff8422f68f0 (__DATA_CONST,__const) non-external _conf_no
00007ff8422f68b0 (__DATA_CONST,__const) non-external _conf_yes
00007ff843da9480 (__DATA,__bss) non-external _context_change_time
00007ff817d4c450 (__TEXT,__text) non-external _context_compare
00007ff817d4bfd3 (__TEXT,__text) non-external _context_create_ccache
00007ff817d4c110 (__TEXT,__text) non-external _context_create_default_ccache
00007ff817d4c27a (__TEXT,__text) non-external _context_create_new_ccache
00007ff817d4bd49 (__TEXT,__text) non-external _context_get_change_time
00007ff817d4bd86 (__TEXT,__text) non-external _context_get_default_ccache_name
00007ff817d4c440 (__TEXT,__text) non-external _context_lock
00007ff817d4c3be (__TEXT,__text) non-external _context_new_ccache_iterator
00007ff817d4be0d (__TEXT,__text) non-external _context_open_ccache
00007ff817d4bf05 (__TEXT,__text) non-external _context_open_default_ccache
00007ff817d4bd14 (__TEXT,__text) non-external _context_release
00007ff817d4c448 (__TEXT,__text) non-external _context_unlock
00007ff817d4c477 (__TEXT,__text) non-external _context_wait_for_change
00007ff817d4bcd0 (__TEXT,__text) non-external _create_ccache
00007ff817d4b63a (__TEXT,__text) non-external _cred_compare
00007ff817d4bad9 (__TEXT,__text) non-external (was a private external) _cred_iter_clone
00007ff843da91b0 (__DATA,__data) non-external (was a private external) _cred_iter_functions
00007ff817d4b64b (__TEXT,__text) non-external (was a private external) _cred_iter_next
00007ff817d4bae4 (__TEXT,__text) non-external _cred_iter_release
00007ff817d4b5fb (__TEXT,__text) non-external _cred_release
00007ff843da91a0 (__DATA,__data) non-external (was a private external) _credential_functions
                 (undefined) external _decode_Ticket (from Heimdal)
00007ff817d54634 (__TEXT,__text) external _decomp_ticket
00007ff817d54862 (__TEXT,__text) external _dest_all_tkts
00007ff817d54839 (__TEXT,__text) external _dest_tkt
00007ff817d4dc5c (__TEXT,__text) non-external _destroy_ctx
                 (undefined) external _dispatch_once (from libSystem)
00007ff843da94a0 (__DATA,__bss) non-external _do_log
00007ff817d529af (__TEXT,__text) non-external _dump_profile
00007ff817d52dd7 (__TEXT,__text) non-external _dump_profile_to_buffer_cb
00007ff817d52d34 (__TEXT,__text) non-external _dump_profile_to_file_cb
00007ff817d4ac6a (__TEXT,__text) external _encode_krb5_as_req
00007ff817d517f5 (__TEXT,__text) non-external _end_list
00007ff817d4e498 (__TEXT,__text) external _error_message
00007ff843da94c0 (__DATA,__bss) non-external _error_message.buffer
00007ff817d56b3d (__TEXT,__text) non-external _error_message.cold.1
00007ff843da94b0 (__DATA,__bss) non-external _error_message.et_list
00007ff843da94a8 (__DATA,__bss) non-external _error_message.once
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _feof (from libSystem)
00007ff817d500ab (__TEXT,__text) non-external _fetch_creds
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _free_Ticket (from Heimdal)
                 (undefined) external _fseek (from libSystem)
00007ff843da98c8 (__DATA,__bss) non-external _g_cc_change_time
00007ff843da92f0 (__DATA,__data) non-external _g_change_time_mutex
00007ff843da98c0 (__DATA,__bss) non-external _g_kl_change_time
00007ff817d54673 (__TEXT,__text) external _get_ad_tkt
00007ff817d546de (__TEXT,__text) external _get_pw_tkt
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gss_accept_sec_context (from GSS)
                 (indirect) external _gss_accept_sec_context (for _gss_accept_sec_context)
                 (undefined) external _gss_acquire_cred (from GSS)
                 (indirect) external _gss_acquire_cred (for _gss_acquire_cred)
                 (undefined) external _gss_add_cred (from GSS)
                 (indirect) external _gss_add_cred (for _gss_add_cred)
                 (undefined) external _gss_add_oid_set_member (from GSS)
                 (indirect) external _gss_add_oid_set_member (for _gss_add_oid_set_member)
00007ff843da90b0 (__DATA,__data) non-external _gss_c_nt_anonymous_oid_desc
00007ff843da90d0 (__DATA,__data) non-external _gss_c_nt_export_name_oid_desc
00007ff843da9080 (__DATA,__data) non-external _gss_c_nt_hostbased_service_oid_desc
00007ff843da9060 (__DATA,__data) non-external _gss_c_nt_hostbased_service_x_oid_desc
00007ff843da9020 (__DATA,__data) non-external _gss_c_nt_machine_uid_name_oid_desc
00007ff843da9040 (__DATA,__data) non-external _gss_c_nt_string_uid_name_oid_desc
00007ff843da9000 (__DATA,__data) non-external _gss_c_nt_user_name_oid_desc
                 (undefined) external _gss_canonicalize_name (from GSS)
                 (indirect) external _gss_canonicalize_name (for _gss_canonicalize_name)
                 (undefined) external _gss_compare_name (from GSS)
                 (indirect) external _gss_compare_name (for _gss_compare_name)
                 (undefined) external _gss_context_time (from GSS)
                 (indirect) external _gss_context_time (for _gss_context_time)
                 (undefined) external _gss_create_empty_oid_set (from GSS)
                 (indirect) external _gss_create_empty_oid_set (for _gss_create_empty_oid_set)
                 (undefined) external _gss_delete_sec_context (from GSS)
                 (indirect) external _gss_delete_sec_context (for _gss_delete_sec_context)
