00007ff80f5e97f1 (__TEXT,__const) non-external _KW_ANY
00007ff80f5d2ef3 (__TEXT,__text) external _XML_GetFeatureList
00007ff84096af30 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80f5d221e (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80f5d2c56 (__TEXT,__text) external _XML_GetInputContext
00007ff80f5d2bcc (__TEXT,__text) external _XML_GetParsingStatus
00007ff80f5e90f4 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80f5d2207 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80f5d2d83 (__TEXT,__text) external _XML_MemFree
00007ff80f5d2d53 (__TEXT,__text) external _XML_MemMalloc
00007ff80f5d2d6a (__TEXT,__text) external _XML_MemRealloc
00007ff80f5d24b2 (__TEXT,__text) external _XML_Parse
00007ff80f5d2926 (__TEXT,__text) external _XML_ParseBuffer
00007ff80f5d0a74 (__TEXT,__text) external _XML_ParserCreate
00007ff80f5d0a90 (__TEXT,__text) external _XML_ParserCreateNS
00007ff80f5d0a84 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80f5d1d02 (__TEXT,__text) external _XML_ParserFree
00007ff80f5d0d93 (__TEXT,__text) external _XML_ParserReset
00007ff80f5d2af6 (__TEXT,__text) external _XML_ResumeParser
00007ff80f5d2420 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80f5d214a (__TEXT,__text) external _XML_SetBase
00007ff80f5d2f3a (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80f5d2f00 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80f5d2299 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80f5d2266 (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80f5d2287 (__TEXT,__text) external _XML_SetCommentHandler
00007ff80f5d22d6 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80f5d22ef (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80f5d2308 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80f5d240e (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80f5d2235 (__TEXT,__text) external _XML_SetElementHandler
00007ff80f5d1372 (__TEXT,__text) external _XML_SetEncoding
00007ff80f5d22c4 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80f5d2333 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80f5d2257 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80f5d2394 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80f5d2432 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80f5d23b8 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80f5d23ca (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80f5d247c (__TEXT,__text) external _XML_SetHashSalt
00007ff80f5d2369 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80f5d23a6 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80f5d2357 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80f5d2456 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80f5d2275 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80f5d210d (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80f5d23e3 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80f5d22b2 (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80f5d2321 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80f5d2248 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80f5d2382 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80f5d23f5 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80f5d2345 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80f5d212f (__TEXT,__text) external _XML_SetUserData
00007ff80f5d2444 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80f5d2a87 (__TEXT,__text) external _XML_StopParser
00007ff80f5d20df (__TEXT,__text) external _XML_UseForeignDTD
00007ff80f5d20d0 (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80f5dc94a (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80f5dce96 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80f5dc93d (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80f5dce89 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80f5dc957 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80f5dcea3 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80f5dc3d3 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80f5dd09a (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80f5dca52 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80f5dcf3d (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80f5daa64 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80f5dab44 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80f5dc3c8 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80f5dc37c (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80f5dc2b1 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80f5dc21c (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80f5d50c0 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80f5e913a (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80f5d6c9a (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80f5e915d (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80f5d6d17 (__TEXT,__text) non-external _accountingReportStats
00007ff80f5d967c (__TEXT,__text) non-external _addBinding
00007ff80f5eac40 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80f5eac70 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80f5d9b2a (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff84096bed8 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff84096c828 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80f5e4efa (__TEXT,__text) non-external _ascii_toUtf8
00007ff80f5db04d (__TEXT,__text) non-external _attlist0
00007ff80f5db74a (__TEXT,__text) non-external _attlist1
00007ff80f5db7ba (__TEXT,__text) non-external _attlist2
00007ff80f5db9f0 (__TEXT,__text) non-external _attlist3
00007ff80f5dbb1e (__TEXT,__text) non-external _attlist4
00007ff80f5db9aa (__TEXT,__text) non-external _attlist5
00007ff80f5dba84 (__TEXT,__text) non-external _attlist6
00007ff80f5dbaca (__TEXT,__text) non-external _attlist7
00007ff80f5db8b2 (__TEXT,__text) non-external _attlist8
00007ff80f5dba3e (__TEXT,__text) non-external _attlist9
00007ff80f5e680c (__TEXT,__text) non-external _big2_attributeValueTok
00007ff80f5e63e8 (__TEXT,__text) non-external _big2_cdataSectionTok
00007ff80f5e6f64 (__TEXT,__text) non-external _big2_charRefNumber
00007ff80f5e8250 (__TEXT,__text) non-external _big2_checkPiTarget
00007ff80f5e5780 (__TEXT,__text) non-external _big2_contentTok
00007ff84096bb38 (__DATA_CONST,__const) non-external _big2_encoding
00007ff84096c488 (__DATA_CONST,__const) non-external _big2_encoding_ns
00007ff80f5e6944 (__TEXT,__text) non-external _big2_entityValueTok
00007ff80f5e6b85 (__TEXT,__text) non-external _big2_getAtts
00007ff80f5e6668 (__TEXT,__text) non-external _big2_ignoreSectionTok
00007ff80f5e7204 (__TEXT,__text) non-external _big2_isPublicId
00007ff80f5e6abd (__TEXT,__text) non-external _big2_nameLength
00007ff80f5e6a78 (__TEXT,__text) non-external _big2_nameMatchesAscii
00007ff80f5e7022 (__TEXT,__text) non-external _big2_predefinedEntityName
00007ff80f5e4f2f (__TEXT,__text) non-external _big2_prologTok
00007ff80f5e865c (__TEXT,__text) non-external _big2_scanAtts
00007ff80f5e9f43 (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
00007ff80f5e80e8 (__TEXT,__text) non-external _big2_scanComment
00007ff80f5e7604 (__TEXT,__text) non-external _big2_scanDecl
00007ff80f5e74c4 (__TEXT,__text) non-external _big2_scanLit
00007ff80f5e7be4 (__TEXT,__text) non-external _big2_scanPercent
00007ff80f5e7748 (__TEXT,__text) non-external _big2_scanPi
00007ff80f5e7e6c (__TEXT,__text) non-external _big2_scanPoundName
00007ff80f5e82cf (__TEXT,__text) non-external _big2_scanRef
00007ff80f5e6b4d (__TEXT,__text) non-external _big2_skipS
00007ff80f5e7454 (__TEXT,__text) non-external _big2_toUtf16
00007ff80f5e728f (__TEXT,__text) non-external _big2_toUtf8
00007ff80f5e7126 (__TEXT,__text) non-external _big2_updatePosition
00007ff80f5d949c (__TEXT,__text) non-external _cdataSectionProcessor
00007ff80f5dc6a1 (__TEXT,__text) non-external _checkCharRefNumber
00007ff80f5db4bf (__TEXT,__text) non-external _condSect0
00007ff80f5db562 (__TEXT,__text) non-external _condSect1
00007ff80f5db5a2 (__TEXT,__text) non-external _condSect2
00007ff80f5d59ec (__TEXT,__text) non-external _contentProcessor
00007ff80f5da847 (__TEXT,__text) non-external _copyEntityTable
00007ff80f5d13de (__TEXT,__text) non-external _copyString
00007ff80f5db3c2 (__TEXT,__text) non-external _declClose
00007ff80f5d5d8a (__TEXT,__text) non-external _defineAttribute
00007ff80f5d91e0 (__TEXT,__text) non-external _doCdataSection
00007ff80f5d7018 (__TEXT,__text) non-external _doContent
00007ff80f5d6564 (__TEXT,__text) non-external _doIgnoreSection
00007ff80f5dca93 (__TEXT,__text) non-external _doParseXmlDecl
00007ff80f5d323d (__TEXT,__text) non-external _doProlog
00007ff80f5e9222 (__TEXT,__const) non-external _doProlog.atypeCDATA
00007ff80f5e923f (__TEXT,__const) non-external _doProlog.atypeENTITIES
00007ff80f5e9238 (__TEXT,__const) non-external _doProlog.atypeENTITY
00007ff80f5e9228 (__TEXT,__const) non-external _doProlog.atypeID
00007ff80f5e922b (__TEXT,__const) non-external _doProlog.atypeIDREF
00007ff80f5e9231 (__TEXT,__const) non-external _doProlog.atypeIDREFS
00007ff80f5e9248 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
00007ff80f5e9250 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
00007ff80f5e9117 (__TEXT,__text) non-external _doProlog.cold.1
00007ff80f5eab2b (__TEXT,__cstring) non-external _doProlog.enumValueSep
00007ff80f5eab2d (__TEXT,__cstring) non-external _doProlog.enumValueStart
00007ff80f5eab21 (__TEXT,__cstring) non-external _doProlog.notationPrefix
00007ff80f5dac38 (__TEXT,__text) non-external _doctype0
00007ff80f5dac8b (__TEXT,__text) non-external _doctype1
00007ff80f5dafae (__TEXT,__text) non-external _doctype2
00007ff80f5daf68 (__TEXT,__text) non-external _doctype3
00007ff80f5dc1c0 (__TEXT,__text) non-external _doctype4
00007ff80f5db124 (__TEXT,__text) non-external _doctype5
00007ff80f5db098 (__TEXT,__text) non-external _element0
00007ff80f5dbb72 (__TEXT,__text) non-external _element1
00007ff80f5dbc41 (__TEXT,__text) non-external _element2
00007ff80f5dbd44 (__TEXT,__text) non-external _element3
00007ff80f5dbf68 (__TEXT,__text) non-external _element4
00007ff80f5dbfb3 (__TEXT,__text) non-external _element5
00007ff80f5dbdc3 (__TEXT,__text) non-external _element6
00007ff80f5dbe94 (__TEXT,__text) non-external _element7
00007ff84096b930 (__DATA_CONST,__const) non-external _encodings
00007ff84096c0b0 (__DATA_CONST,__const) non-external _encodingsNS
00007ff80f5daff4 (__TEXT,__text) non-external _entity0
00007ff80f5db16a (__TEXT,__text) non-external _entity1
00007ff80f5db40f (__TEXT,__text) non-external _entity10
00007ff80f5db1b0 (__TEXT,__text) non-external _entity2
00007ff80f5db62b (__TEXT,__text) non-external _entity3
00007ff80f5db5e5 (__TEXT,__text) non-external _entity4
00007ff80f5db671 (__TEXT,__text) non-external _entity5
00007ff80f5db6fc (__TEXT,__text) non-external _entity6
00007ff80f5db273 (__TEXT,__text) non-external _entity7
00007ff80f5db37c (__TEXT,__text) non-external _entity8
00007ff80f5db336 (__TEXT,__text) non-external _entity9
00007ff80f5d6a2e (__TEXT,__text) non-external _entityTrackingOnOpen
00007ff80f5da1f6 (__TEXT,__text) non-external _entityTrackingReportStats
00007ff80f5e9180 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
00007ff80f5da4bb (__TEXT,__text) non-external _entityValueInitProcessor
00007ff80f5da769 (__TEXT,__text) non-external _entityValueProcessor
00007ff80f5d900b (__TEXT,__text) non-external _epilogProcessor
00007ff80f5dac83 (__TEXT,__text) non-external _error
00007ff80f5d26e5 (__TEXT,__text) non-external _errorProcessor
00007ff80f5d9ac8 (__TEXT,__text) non-external _externalEntityContentProcessor
00007ff80f5d1fa8 (__TEXT,__text) non-external _externalEntityInitProcessor
00007ff80f5da2ec (__TEXT,__text) non-external _externalEntityInitProcessor2
00007ff80f5da3dc (__TEXT,__text) non-external _externalEntityInitProcessor3
00007ff80f5d1ff9 (__TEXT,__text) non-external _externalParEntInitProcessor
00007ff80f5da667 (__TEXT,__text) non-external _externalParEntProcessor
00007ff80f5dab5c (__TEXT,__text) non-external _externalSubset0
00007ff80f5db464 (__TEXT,__text) non-external _externalSubset1
00007ff80f5dcd6d (__TEXT,__text) non-external _findEncoding
00007ff80f5dcf7e (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff80f5d8fb3 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
00007ff80f5d5acc (__TEXT,__text) non-external _getAttributeId
00007ff80f5d7f60 (__TEXT,__text) non-external _getContext
00007ff80f5d2ff6 (__TEXT,__text) non-external _getDebugLevel
00007ff80f5d5a41 (__TEXT,__text) non-external _getElementType
00007ff80f5dc9b0 (__TEXT,__text) non-external _getEncodingIndex
00007ff84096b900 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
00007ff80f5d3121 (__TEXT,__text) non-external _handleUnknownEncoding
00007ff80f5d6d7b (__TEXT,__text) non-external _hash
00007ff80f5da80e (__TEXT,__text) non-external _hashTableDestroy
00007ff80f5d66e4 (__TEXT,__text) non-external _ignoreSectionProcessor
00007ff80f5e9260 (__TEXT,__const) non-external _implicitContext
00007ff80f5e4d2a (__TEXT,__text) non-external _initScan
00007ff80f5dca1f (__TEXT,__text) non-external _initScanContent
00007ff80f5dcf1b (__TEXT,__text) non-external _initScanContentNS
00007ff80f5dca00 (__TEXT,__text) non-external _initScanProlog
00007ff80f5dcefc (__TEXT,__text) non-external _initScanPrologNS
00007ff80f5dca41 (__TEXT,__text) non-external _initUpdatePosition
00007ff80f5d3055 (__TEXT,__text) non-external _initializeEncoding
00007ff80f5d9fac (__TEXT,__text) non-external _internalEntityProcessor
00007ff80f5dad64 (__TEXT,__text) non-external _internalSubset
00007ff84096b390 (__DATA_CONST,__const) non-external _internal_little2_encoding
00007ff84096b730 (__DATA_CONST,__const) non-external _internal_little2_encoding_ns
00007ff84096b1c0 (__DATA_CONST,__const) non-external _internal_utf8_encoding
00007ff84096b560 (__DATA_CONST,__const) non-external _internal_utf8_encoding_ns
00007ff80f5e0dc2 (__TEXT,__text) non-external _isNever
00007ff84096aff0 (__DATA_CONST,__const) non-external _latin1_encoding
00007ff84096c0e8 (__DATA_CONST,__const) non-external _latin1_encoding_ns
00007ff80f5df610 (__TEXT,__text) non-external _latin1_toUtf16
00007ff80f5df58e (__TEXT,__text) non-external _latin1_toUtf8
00007ff80f5e27ec (__TEXT,__text) non-external _little2_attributeValueTok
00007ff80f5e23cc (__TEXT,__text) non-external _little2_cdataSectionTok
00007ff80f5e2f40 (__TEXT,__text) non-external _little2_charRefNumber
00007ff80f5e4218 (__TEXT,__text) non-external _little2_checkPiTarget
00007ff80f5e1770 (__TEXT,__text) non-external _little2_contentTok
00007ff84096bd08 (__DATA_CONST,__const) non-external _little2_encoding
00007ff84096c658 (__DATA_CONST,__const) non-external _little2_encoding_ns
00007ff80f5e2924 (__TEXT,__text) non-external _little2_entityValueTok
00007ff80f5e2b64 (__TEXT,__text) non-external _little2_getAtts
00007ff80f5e264c (__TEXT,__text) non-external _little2_ignoreSectionTok
00007ff80f5e31e0 (__TEXT,__text) non-external _little2_isPublicId
00007ff80f5e2a9d (__TEXT,__text) non-external _little2_nameLength
00007ff80f5e2a58 (__TEXT,__text) non-external _little2_nameMatchesAscii
00007ff80f5e2ffe (__TEXT,__text) non-external _little2_predefinedEntityName
00007ff80f5e0f31 (__TEXT,__text) non-external _little2_prologTok
00007ff80f5e4620 (__TEXT,__text) non-external _little2_scanAtts
00007ff80f5e40b0 (__TEXT,__text) non-external _little2_scanComment
00007ff80f5e35d4 (__TEXT,__text) non-external _little2_scanDecl
00007ff80f5e3499 (__TEXT,__text) non-external _little2_scanLit
00007ff80f5e3bb0 (__TEXT,__text) non-external _little2_scanPercent
00007ff80f5e3718 (__TEXT,__text) non-external _little2_scanPi
00007ff80f5e3e38 (__TEXT,__text) non-external _little2_scanPoundName
00007ff80f5e4297 (__TEXT,__text) non-external _little2_scanRef
00007ff80f5e2b2c (__TEXT,__text) non-external _little2_skipS
00007ff80f5e3430 (__TEXT,__text) non-external _little2_toUtf16
00007ff80f5e326b (__TEXT,__text) non-external _little2_toUtf8
00007ff80f5e3102 (__TEXT,__text) non-external _little2_updatePosition
00007ff80f5d567a (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
00007ff80f5e9e10 (__TEXT,__const) non-external _namePages
00007ff80f5e9810 (__TEXT,__const) non-external _namingBitmap
00007ff80f5d6760 (__TEXT,__text) non-external _nextScaffoldPart
00007ff80f5e9d10 (__TEXT,__const) non-external _nmstrtPages
00007ff80f5ded38 (__TEXT,__text) non-external _normal_attributeValueTok
00007ff80f5de8e0 (__TEXT,__text) non-external _normal_cdataSectionTok
00007ff80f5df2f4 (__TEXT,__text) non-external _normal_charRefNumber
00007ff80f5e0118 (__TEXT,__text) non-external _normal_checkPiTarget
00007ff80f5ddc80 (__TEXT,__text) non-external _normal_contentTok
00007ff80f5dee74 (__TEXT,__text) non-external _normal_entityValueTok
00007ff80f5df029 (__TEXT,__text) non-external _normal_getAtts
00007ff80f5deb98 (__TEXT,__text) non-external _normal_ignoreSectionTok
00007ff80f5df50c (__TEXT,__text) non-external _normal_isPublicId
00007ff80f5defc0 (__TEXT,__text) non-external _normal_nameLength
00007ff80f5def84 (__TEXT,__text) non-external _normal_nameMatchesAscii
00007ff80f5df3b9 (__TEXT,__text) non-external _normal_predefinedEntityName
00007ff80f5dd0b1 (__TEXT,__text) non-external _normal_prologTok
00007ff80f5e048b (__TEXT,__text) non-external _normal_scanAtts
00007ff80f5dff88 (__TEXT,__text) non-external _normal_scanComment
00007ff80f5df7b8 (__TEXT,__text) non-external _normal_scanDecl
00007ff80f5df653 (__TEXT,__text) non-external _normal_scanLit
00007ff80f5dfcf4 (__TEXT,__text) non-external _normal_scanPercent
00007ff80f5df8dc (__TEXT,__text) non-external _normal_scanPi
00007ff80f5e0183 (__TEXT,__text) non-external _normal_scanRef
00007ff80f5df001 (__TEXT,__text) non-external _normal_skipS
00007ff80f5df44b (__TEXT,__text) non-external _normal_updatePosition
00007ff80f5da2a8 (__TEXT,__text) non-external _normalizeLines
00007ff80f5d5986 (__TEXT,__text) non-external _normalizePublicId
00007ff80f5db0e3 (__TEXT,__text) non-external _notation0
00007ff80f5dc010 (__TEXT,__text) non-external _notation1
00007ff80f5dc107 (__TEXT,__text) non-external _notation2
00007ff80f5dc0b9 (__TEXT,__text) non-external _notation3
00007ff80f5dc14d (__TEXT,__text) non-external _notation4
00007ff80f5e8d5c (__TEXT,__text) non-external _parsePseudoAttribute
00007ff80f5d0ab2 (__TEXT,__text) non-external _parserCreate
00007ff80f5d11b2 (__TEXT,__text) non-external _parserInit
00007ff80f5d5d18 (__TEXT,__text) non-external _poolAppend
00007ff80f5d2195 (__TEXT,__text) non-external _poolCopyString
00007ff80f5d208c (__TEXT,__text) non-external _poolDestroy
00007ff80f5d5e9c (__TEXT,__text) non-external _poolGrow
00007ff80f5d5633 (__TEXT,__text) non-external _poolStoreString
00007ff80f5d688a (__TEXT,__text) non-external _processInternalEntity
00007ff80f5d52d6 (__TEXT,__text) non-external _processXmlDecl
00007ff80f5daa89 (__TEXT,__text) non-external _prolog0
00007ff80f5dab7c (__TEXT,__text) non-external _prolog1
00007ff80f5daee0 (__TEXT,__text) non-external _prolog2
00007ff80f5d2fa5 (__TEXT,__text) non-external _prologInitProcessor
00007ff80f5d30b0 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
00007ff80f5e9784 (__TEXT,__const) non-external _reltable.attlist2
00007ff80f5d6bcf (__TEXT,__text) non-external _reportComment
00007ff80f5d2de4 (__TEXT,__text) non-external _reportDefault
00007ff80f5d6a83 (__TEXT,__text) non-external _reportProcessingInstruction
00007ff80f5d1a71 (__TEXT,__text) non-external _setContext
00007ff80f5d9552 (__TEXT,__text) non-external _setElementTypePrefix
00007ff80f5d6edb (__TEXT,__text) non-external _sip24_final
00007ff80f5d6e3f (__TEXT,__text) non-external _sip24_update
00007ff80f5d6fbc (__TEXT,__text) non-external _sip_round
00007ff80f5d264c (__TEXT,__text) non-external _startParsing
00007ff80f5d6067 (__TEXT,__text) non-external _storeAttributeValue
00007ff80f5d82e6 (__TEXT,__text) non-external _storeAtts
00007ff80f5d60d8 (__TEXT,__text) non-external _storeEntityValue
00007ff80f5d7e84 (__TEXT,__text) non-external _storeRawNames
00007ff80f5e4cc8 (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
00007ff80f5d2f5f (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
00007ff80f5d2f74 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
00007ff80f5dc790 (__TEXT,__text) non-external _unknown_isInvalid
00007ff80f5dc6ee (__TEXT,__text) non-external _unknown_isName
00007ff80f5dc73f (__TEXT,__text) non-external _unknown_isNmstrt
00007ff80f5dc89e (__TEXT,__text) non-external _unknown_toUtf16
00007ff80f5dc7bd (__TEXT,__text) non-external _unknown_toUtf8
00007ff80f5d2f89 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00007ff84096b968 (__DATA_CONST,__const) non-external _utf8_encoding
00007ff84096c2b8 (__DATA_CONST,__const) non-external _utf8_encoding_ns
00007ff80f5e0e62 (__TEXT,__text) non-external _utf8_isInvalid2
00007ff80f5e0e81 (__TEXT,__text) non-external _utf8_isInvalid3
00007ff80f5e0eea (__TEXT,__text) non-external _utf8_isInvalid4
00007ff80f5e0d2a (__TEXT,__text) non-external _utf8_isName2
00007ff80f5e0d70 (__TEXT,__text) non-external _utf8_isName3
00007ff80f5e0dca (__TEXT,__text) non-external _utf8_isNmstrt2
00007ff80f5e0e10 (__TEXT,__text) non-external _utf8_isNmstrt3
00007ff80f5e0bcf (__TEXT,__text) non-external _utf8_toUtf16
00007ff80f5e0b38 (__TEXT,__text) non-external _utf8_toUtf8
