                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormatAndArguments (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCopyScheme (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
000000018fca14a4 (__TEXT,__text) external _CMCloneProfileRef
000000018fca01dc (__TEXT,__text) external _CMGetDeviceState
00000001d945cdd8 (__DATA,__bss) non-external _CMGetDeviceState.func
00000001d945cde0 (__DATA,__bss) non-external _CMGetDeviceState.predicate
000000018fca00f8 (__TEXT,__text) external _CMGetDeviceTrackingByUse
00000001d945cdc8 (__DATA,__bss) non-external _CMGetDeviceTrackingByUse.func
00000001d945cdd0 (__DATA,__bss) non-external _CMGetDeviceTrackingByUse.predicate
000000018fca0014 (__TEXT,__text) external _CMGetGammaByAVID
00000001d945cdb8 (__DATA,__bss) non-external _CMGetGammaByAVID.func
00000001d945cdc0 (__DATA,__bss) non-external _CMGetGammaByAVID.predicate
000000018fc9fec4 (__TEXT,__text) external _CMGetIndNamedColorValue
00000001d945cda8 (__DATA,__bss) non-external _CMGetIndNamedColorValue.func
00000001d945cdb0 (__DATA,__bss) non-external _CMGetIndNamedColorValue.predicate
000000018fc9fd74 (__TEXT,__text) external _CMGetIndProfileElement
00000001d945cd98 (__DATA,__bss) non-external _CMGetIndProfileElement.func
00000001d945cda0 (__DATA,__bss) non-external _CMGetIndProfileElement.predicate
000000018fc9fc1c (__TEXT,__text) external _CMGetIndProfileElementInfo
00000001d945cd88 (__DATA,__bss) non-external _CMGetIndProfileElementInfo.func
00000001d945cd90 (__DATA,__bss) non-external _CMGetIndProfileElementInfo.predicate
000000018fc9fadc (__TEXT,__text) external _CMGetNamedColorIndex
00000001d945cd78 (__DATA,__bss) non-external _CMGetNamedColorIndex.func
00000001d945cd80 (__DATA,__bss) non-external _CMGetNamedColorIndex.predicate
000000018fc9f96c (__TEXT,__text) external _CMGetNamedColorInfo
00000001d945cd68 (__DATA,__bss) non-external _CMGetNamedColorInfo.func
00000001d945cd70 (__DATA,__bss) non-external _CMGetNamedColorInfo.predicate
000000018fc9f82c (__TEXT,__text) external _CMGetNamedColorName
00000001d945cd58 (__DATA,__bss) non-external _CMGetNamedColorName.func
00000001d945cd60 (__DATA,__bss) non-external _CMGetNamedColorName.predicate
000000018fc9f6dc (__TEXT,__text) external _CMGetNamedColorValue
00000001d945cd48 (__DATA,__bss) non-external _CMGetNamedColorValue.func
00000001d945cd50 (__DATA,__bss) non-external _CMGetNamedColorValue.predicate
000000018fc9f508 (__TEXT,__text) external _CMGetPS2ColorRendering
00000001d945cd38 (__DATA,__bss) non-external _CMGetPS2ColorRendering.func
00000001d945cd40 (__DATA,__bss) non-external _CMGetPS2ColorRendering.predicate
000000018fc9f3b0 (__TEXT,__text) external _CMGetPS2ColorRenderingIntent
00000001d945cd28 (__DATA,__bss) non-external _CMGetPS2ColorRenderingIntent.func
00000001d945cd30 (__DATA,__bss) non-external _CMGetPS2ColorRenderingIntent.predicate
000000018fc9f1f4 (__TEXT,__text) external _CMGetPS2ColorRenderingVMSize
00000001d945cd18 (__DATA,__bss) non-external _CMGetPS2ColorRenderingVMSize.func
00000001d945cd20 (__DATA,__bss) non-external _CMGetPS2ColorRenderingVMSize.predicate
000000018fc9f09c (__TEXT,__text) external _CMGetPS2ColorSpace
00000001d945cd08 (__DATA,__bss) non-external _CMGetPS2ColorSpace.func
00000001d945cd10 (__DATA,__bss) non-external _CMGetPS2ColorSpace.predicate
000000018fc9ef44 (__TEXT,__text) external _CMGetPartialProfileElement
00000001d945ccf8 (__DATA,__bss) non-external _CMGetPartialProfileElement.func
00000001d945cd00 (__DATA,__bss) non-external _CMGetPartialProfileElement.predicate
000000018fc9ee74 (__TEXT,__text) external _CMGetProfileByAVID
00000001d945cce8 (__DATA,__bss) non-external _CMGetProfileByAVID.func
00000001d945ccf0 (__DATA,__bss) non-external _CMGetProfileByAVID.predicate
000000018fc9ed04 (__TEXT,__text) external _CMGetProfileDescriptions
00000001d945ccd8 (__DATA,__bss) non-external _CMGetProfileDescriptions.func
00000001d945cce0 (__DATA,__bss) non-external _CMGetProfileDescriptions.predicate
000000018fc9ebb4 (__TEXT,__text) external _CMGetProfileElement
00000001d945ccc8 (__DATA,__bss) non-external _CMGetProfileElement.func
00000001d945ccd0 (__DATA,__bss) non-external _CMGetProfileElement.predicate
000000018fc9ea24 (__TEXT,__text) external _CMGetProfileGamma
00000001d945ccb8 (__DATA,__bss) non-external _CMGetProfileGamma.func
00000001d945ccc0 (__DATA,__bss) non-external _CMGetProfileGamma.predicate
000000018fc9e8ec (__TEXT,__text) external _CMGetProfileHeader
00000001d945cca8 (__DATA,__bss) non-external _CMGetProfileHeader.func
00000001d945ccb0 (__DATA,__bss) non-external _CMGetProfileHeader.predicate
000000018fc9e81c (__TEXT,__text) external _CMGetProfileLocation
00000001d945cc98 (__DATA,__bss) non-external _CMGetProfileLocation.func
00000001d945cca0 (__DATA,__bss) non-external _CMGetProfileLocation.predicate
000000018fc9e6e4 (__TEXT,__text) external _CMGetProfileMD5
00000001d945cc88 (__DATA,__bss) non-external _CMGetProfileMD5.func
00000001d945cc90 (__DATA,__bss) non-external _CMGetProfileMD5.predicate
000000018fc9e5ac (__TEXT,__text) external _CMGetProfileRefCount
00000001d945cc78 (__DATA,__bss) non-external _CMGetProfileRefCount.func
00000001d945cc80 (__DATA,__bss) non-external _CMGetProfileRefCount.predicate
000000018fc9e444 (__TEXT,__text) external _CMGetProfileTransformInfo
00000001d945cc68 (__DATA,__bss) non-external _CMGetProfileTransformInfo.func
00000001d945cc70 (__DATA,__bss) non-external _CMGetProfileTransformInfo.predicate
000000018fc9e37c (__TEXT,__text) external _CMGetSystemProfile
00000001d945cc58 (__DATA,__bss) non-external _CMGetSystemProfile.func
00000001d945cc60 (__DATA,__bss) non-external _CMGetSystemProfile.predicate
000000018fc9e2b4 (__TEXT,__text) external _CMGetSystemProfileAVID
00000001d945cc48 (__DATA,__bss) non-external _CMGetSystemProfileAVID.func
00000001d945cc50 (__DATA,__bss) non-external _CMGetSystemProfileAVID.predicate
000000018fc9e1e4 (__TEXT,__text) external _CMGetSystemProfilePriv
00000001d945cc38 (__DATA,__bss) non-external _CMGetSystemProfilePriv.func
00000001d945cc40 (__DATA,__bss) non-external _CMGetSystemProfilePriv.predicate
000000018fc9e100 (__TEXT,__text) external _CMIterateCMMInfo
00000001d945cc28 (__DATA,__bss) non-external _CMIterateCMMInfo.func
00000001d945cc30 (__DATA,__bss) non-external _CMIterateCMMInfo.predicate
000000018fc9e014 (__TEXT,__text) external _CMIterateColorDevices
00000001d945cc18 (__DATA,__bss) non-external _CMIterateColorDevices.func
00000001d945cc20 (__DATA,__bss) non-external _CMIterateColorDevices.predicate
000000018fc9df28 (__TEXT,__text) external _CMIterateColorSyncFolder
00000001d945cc08 (__DATA,__bss) non-external _CMIterateColorSyncFolder.func
00000001d945cc10 (__DATA,__bss) non-external _CMIterateColorSyncFolder.predicate
000000018fc9de28 (__TEXT,__text) external _CMIterateDeviceProfiles
00000001d945cbf8 (__DATA,__bss) non-external _CMIterateDeviceProfiles.func
00000001d945cc00 (__DATA,__bss) non-external _CMIterateDeviceProfiles.predicate
000000018fc9de20 (__TEXT,__text) external _CMLaunchControlPanel
000000018fc9dd50 (__TEXT,__text) external _CMMakeProfile
00000001d945cbe8 (__DATA,__bss) non-external _CMMakeProfile.func
00000001d945cbf0 (__DATA,__bss) non-external _CMMakeProfile.predicate
000000018fc9dc6c (__TEXT,__text) external _CMMatchFloatBitmap
00000001d945cbd8 (__DATA,__bss) non-external _CMMatchFloatBitmap.func
00000001d945cbe0 (__DATA,__bss) non-external _CMMatchFloatBitmap.predicate
000000018fc9db9c (__TEXT,__text) external _CMNewProfile
00000001d945cbc8 (__DATA,__bss) non-external _CMNewProfile.func
00000001d945cbd0 (__DATA,__bss) non-external _CMNewProfile.predicate
000000018fc9dacc (__TEXT,__text) external _CMOpenProfile
00000001d945cbb8 (__DATA,__bss) non-external _CMOpenProfile.func
00000001d945cbc0 (__DATA,__bss) non-external _CMOpenProfile.predicate
000000018fca1b14 (__TEXT,__text) external _CMPostLegacyDeviceNotification
00000001d945cf60 (__DATA,__bss) non-external _CMPostLegacyDeviceNotification.func
000000018fc9d994 (__TEXT,__text) external _CMProfileCopyICCData
00000001d945cba8 (__DATA,__bss) non-external _CMProfileCopyICCData.func
00000001d945cbb0 (__DATA,__bss) non-external _CMProfileCopyICCData.predicate
000000018fc9d854 (__TEXT,__text) external _CMProfileElementExists
00000001d945cb98 (__DATA,__bss) non-external _CMProfileElementExists.func
00000001d945cba0 (__DATA,__bss) non-external _CMProfileElementExists.predicate
000000018fc9d784 (__TEXT,__text) external _CMProfileModified
00000001d945cb88 (__DATA,__bss) non-external _CMProfileModified.func
00000001d945cb90 (__DATA,__bss) non-external _CMProfileModified.predicate
000000018fca1a9c (__TEXT,__text) external _CMProfileWriteToFile
00000001d945cf58 (__DATA,__bss) non-external _CMProfileWriteToFile.func
000000018fc9d698 (__TEXT,__text) external _CMRegisterColorDevice
00000001d945cb78 (__DATA,__bss) non-external _CMRegisterColorDevice.func
00000001d945cb80 (__DATA,__bss) non-external _CMRegisterColorDevice.predicate
000000018fc9d5c8 (__TEXT,__text) external _CMRemoveProfileElement
00000001d945cb68 (__DATA,__bss) non-external _CMRemoveProfileElement.func
00000001d945cb70 (__DATA,__bss) non-external _CMRemoveProfileElement.predicate
000000018fc9d4f8 (__TEXT,__text) external _CMSetDefaultDevice
00000001d945cb58 (__DATA,__bss) non-external _CMSetDefaultDevice.func
00000001d945cb60 (__DATA,__bss) non-external _CMSetDefaultDevice.predicate
000000018fc9d414 (__TEXT,__text) external _CMSetDeviceDefaultProfileID
00000001d945cb48 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.func
00000001d945cb50 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.predicate
000000018fc9d328 (__TEXT,__text) external _CMSetDeviceFactoryProfiles
00000001d945cb38 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.func
00000001d945cb40 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.predicate
000000018fc9d228 (__TEXT,__text) external _CMSetDeviceProfile
00000001d945cb28 (__DATA,__bss) non-external _CMSetDeviceProfile.func
00000001d945cb30 (__DATA,__bss) non-external _CMSetDeviceProfile.predicate
000000018fc9d144 (__TEXT,__text) external _CMSetDeviceState
00000001d945cb18 (__DATA,__bss) non-external _CMSetDeviceState.func
00000001d945cb20 (__DATA,__bss) non-external _CMSetDeviceState.predicate
000000018fc9d060 (__TEXT,__text) external _CMSetDeviceTrackingByUse
00000001d945cb08 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.func
00000001d945cb10 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.predicate
000000018fc9cf90 (__TEXT,__text) external _CMSetGammaByAVID
00000001d945caf8 (__DATA,__bss) non-external _CMSetGammaByAVID.func
00000001d945cb00 (__DATA,__bss) non-external _CMSetGammaByAVID.predicate
000000018fc9ce90 (__TEXT,__text) external _CMSetPartialProfileElement
00000001d945cae8 (__DATA,__bss) non-external _CMSetPartialProfileElement.func
00000001d945caf0 (__DATA,__bss) non-external _CMSetPartialProfileElement.predicate
000000018fc9cdc0 (__TEXT,__text) external _CMSetProfileByAVID
00000001d945cad8 (__DATA,__bss) non-external _CMSetProfileByAVID.func
00000001d945cae0 (__DATA,__bss) non-external _CMSetProfileByAVID.predicate
000000018fc9cca4 (__TEXT,__text) external _CMSetProfileDescriptions
00000001d945cac8 (__DATA,__bss) non-external _CMSetProfileDescriptions.func
00000001d945cad0 (__DATA,__bss) non-external _CMSetProfileDescriptions.predicate
000000018fc9cbb8 (__TEXT,__text) external _CMSetProfileElement
00000001d945cab8 (__DATA,__bss) non-external _CMSetProfileElement.func
00000001d945cac0 (__DATA,__bss) non-external _CMSetProfileElement.predicate
000000018fc9cad4 (__TEXT,__text) external _CMSetProfileElementReference
00000001d945caa8 (__DATA,__bss) non-external _CMSetProfileElementReference.func
00000001d945cab0 (__DATA,__bss) non-external _CMSetProfileElementReference.predicate
000000018fc9c9f0 (__TEXT,__text) external _CMSetProfileElementSize
00000001d945ca98 (__DATA,__bss) non-external _CMSetProfileElementSize.func
00000001d945caa0 (__DATA,__bss) non-external _CMSetProfileElementSize.predicate
000000018fc9c920 (__TEXT,__text) external _CMSetProfileHeader
00000001d945ca88 (__DATA,__bss) non-external _CMSetProfileHeader.func
00000001d945ca90 (__DATA,__bss) non-external _CMSetProfileHeader.predicate
000000018fc9c83c (__TEXT,__text) external _CMSetProfileLocalizedStringDictionary
00000001d945ca78 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.func
00000001d945ca80 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.predicate
000000018fc9c774 (__TEXT,__text) external _CMSetSystemProfile
00000001d945ca68 (__DATA,__bss) non-external _CMSetSystemProfile.func
00000001d945ca70 (__DATA,__bss) non-external _CMSetSystemProfile.predicate
000000018fca19d4 (__TEXT,__text) external _CMSetSystemProfileAVID
00000001d945cf48 (__DATA,__bss) non-external _CMSetSystemProfileAVID.func
00000001d945cf50 (__DATA,__bss) non-external _CMSetSystemProfileAVID.predicate
000000018fc9c6a4 (__TEXT,__text) external _CMUnregisterColorDevice
00000001d945ca58 (__DATA,__bss) non-external _CMUnregisterColorDevice.func
00000001d945ca60 (__DATA,__bss) non-external _CMUnregisterColorDevice.predicate
000000018fc9c5b8 (__TEXT,__text) external _CMUpdateProfile
00000001d945ca48 (__DATA,__bss) non-external _CMUpdateProfile.func
00000001d945ca50 (__DATA,__bss) non-external _CMUpdateProfile.predicate
000000018fc9c478 (__TEXT,__text) external _CMValidateProfile
00000001d945ca38 (__DATA,__bss) non-external _CMValidateProfile.func
00000001d945ca40 (__DATA,__bss) non-external _CMValidateProfile.predicate
000000018fc9c378 (__TEXT,__text) external _CWCheckBitmap
00000001d945ca28 (__DATA,__bss) non-external _CWCheckBitmap.func
00000001d945ca30 (__DATA,__bss) non-external _CWCheckBitmap.predicate
000000018fc9c28c (__TEXT,__text) external _CWCheckColors
00000001d945ca18 (__DATA,__bss) non-external _CWCheckColors.func
00000001d945ca20 (__DATA,__bss) non-external _CWCheckColors.predicate
000000018fc9b350 (__TEXT,__text) external _CWColorWorldGetProperty
00000001d945c948 (__DATA,__bss) non-external _CWColorWorldGetProperty.func
00000001d945c950 (__DATA,__bss) non-external _CWColorWorldGetProperty.predicate
000000018fc9b270 (__TEXT,__text) external _CWColorWorldSetProperty
00000001d945c938 (__DATA,__bss) non-external _CWColorWorldSetProperty.func
00000001d945c940 (__DATA,__bss) non-external _CWColorWorldSetProperty.predicate
000000018fc9c0dc (__TEXT,__text) external _CWConcatColorWorld
00000001d945ca08 (__DATA,__bss) non-external _CWConcatColorWorld.func
00000001d945ca10 (__DATA,__bss) non-external _CWConcatColorWorld.predicate
000000018fc9c018 (__TEXT,__text) external _CWDisposeColorWorld
00000001d945c9f8 (__DATA,__bss) non-external _CWDisposeColorWorld.func
00000001d945ca00 (__DATA,__bss) non-external _CWDisposeColorWorld.predicate
000000018fc9bf18 (__TEXT,__text) external _CWFillLookupTexture
00000001d945c9e8 (__DATA,__bss) non-external _CWFillLookupTexture.func
00000001d945c9f0 (__DATA,__bss) non-external _CWFillLookupTexture.predicate
000000018fc9be50 (__TEXT,__text) external _CWGetCMMSignature
00000001d945c9d8 (__DATA,__bss) non-external _CWGetCMMSignature.func
00000001d945c9e0 (__DATA,__bss) non-external _CWGetCMMSignature.predicate
000000018fc9bd50 (__TEXT,__text) external _CWMatchBitmap
00000001d945c9c8 (__DATA,__bss) non-external _CWMatchBitmap.func
00000001d945c9d0 (__DATA,__bss) non-external _CWMatchBitmap.predicate
000000018fc9bc6c (__TEXT,__text) external _CWMatchColors
00000001d945c9b8 (__DATA,__bss) non-external _CWMatchColors.func
00000001d945c9c0 (__DATA,__bss) non-external _CWMatchColors.predicate
000000018fc9bab4 (__TEXT,__text) external _CWNewLinkProfile
00000001d945c9a8 (__DATA,__bss) non-external _CWNewLinkProfile.func
00000001d945c9b0 (__DATA,__bss) non-external _CWNewLinkProfile.predicate
000000018fca2320 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionNumber
000000018fca22e8 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionString
000000018fc9ad20 (__TEXT,__text) external _ColorSyncLoadLegacyFunction
00000001d945c910 (__DATA,__bss) non-external _ColorSyncLoadLegacyFunction.handle
00000001d945c8c8 (__DATA,__data) non-external _ColorSyncLoadLegacyFunction.mtx
000000018fca1bf8 (__TEXT,__text) non-external (was a private external) _ColorSyncLog
000000018fca1fc0 (__TEXT,__text) non-external _ColorSyncLog.cold.1
00000001d945d380 (__DATA,__bss) non-external _ColorSyncLog.log
00000001d945d388 (__DATA,__bss) non-external _ColorSyncLog.predicate
                 (undefined) external _ColorSyncProfileGetTypeID (from ColorSync)
000000018fc9b518 (__TEXT,__text) external _CreateCMProfileFromColorSyncProfile
00000001d945cf70 (__DATA,__bss) non-external _CreateCMProfileFromColorSyncProfile.func
000000018fca1b94 (__TEXT,__text) external _CreateColorSyncProfileFromCMProfile
00000001d945cf68 (__DATA,__bss) non-external _CreateColorSyncProfileFromCMProfile.func
000000018fc9b8d0 (__TEXT,__text) external _DisposeCMBitmapCallBackUPP
000000018fc9bab0 (__TEXT,__text) external _DisposeCMConcatCallBackUPP
000000018fc9baac (__TEXT,__text) external _DisposeCMFlattenUPP
000000018fc9baa8 (__TEXT,__text) external _DisposeCMMIterateUPP
000000018fc9baa4 (__TEXT,__text) external _DisposeCMProfileAccessUPP
000000018fc9baa0 (__TEXT,__text) external _DisposeCMProfileIterateUPP
000000018fc9ba9c (__TEXT,__text) external _InvokeCMBitmapCallBackUPP
000000018fc9ba98 (__TEXT,__text) external _InvokeCMConcatCallBackUPP
000000018fc9ba94 (__TEXT,__text) external _InvokeCMFlattenUPP
000000018fc9ba90 (__TEXT,__text) external _InvokeCMMIterateUPP
000000018fc9ba8c (__TEXT,__text) external _InvokeCMProfileAccessUPP
000000018fc9ba88 (__TEXT,__text) external _InvokeCMProfileIterateUPP
000000018fca1730 (__TEXT,__text) external _NCMGetProfileLocation
00000001d945cf28 (__DATA,__bss) non-external _NCMGetProfileLocation.func
00000001d945cf30 (__DATA,__bss) non-external _NCMGetProfileLocation.predicate
000000018fca1814 (__TEXT,__text) external _NCWConcatColorWorld
00000001d945cf38 (__DATA,__bss) non-external _NCWConcatColorWorld.func
00000001d945cf40 (__DATA,__bss) non-external _NCWConcatColorWorld.predicate
000000018fc9b8d4 (__TEXT,__text) external _NCWNewColorWorld
00000001d945c998 (__DATA,__bss) non-external _NCWNewColorWorld.func
00000001d945c9a0 (__DATA,__bss) non-external _NCWNewColorWorld.predicate
000000018fca156c (__TEXT,__text) external _NCWNewLinkProfile
00000001d945cf18 (__DATA,__bss) non-external _NCWNewLinkProfile.func
00000001d945cf20 (__DATA,__bss) non-external _NCWNewLinkProfile.predicate
000000018fc9b8cc (__TEXT,__text) external _NewCMBitmapCallBackUPP
000000018fc9b8c8 (__TEXT,__text) external _NewCMConcatCallBackUPP
000000018fc9b8c4 (__TEXT,__text) external _NewCMFlattenUPP
000000018fc9b8c0 (__TEXT,__text) external _NewCMMIterateUPP
000000018fc9b8bc (__TEXT,__text) external _NewCMProfileAccessUPP
000000018fc9b8b8 (__TEXT,__text) external _NewCMProfileIterateUPP
                 (undefined) external __CFBundleCopyInfoDictionaryInResourceFork (from CoreFoundation)
                 (undefined) external __CFBundleGetMainBundleIfLooksLikeBundle (from CoreFoundation)
                 (undefined) external __CFProcessPath (from CoreFoundation)
000000018fc9b7cc (__TEXT,__text) external __CMGetProfileOfSuite
00000001d945c988 (__DATA,__bss) non-external __CMGetProfileOfSuite.func
00000001d945c990 (__DATA,__bss) non-external __CMGetProfileOfSuite.predicate
000000018fc9b704 (__TEXT,__text) external __CMLoadProfileLutsByAVID
00000001d945c978 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.func
00000001d945c980 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.predicate
000000018fc9b5cc (__TEXT,__text) external __CMProfileGetProperty
00000001d945c968 (__DATA,__bss) non-external __CMProfileGetProperty.func
00000001d945c970 (__DATA,__bss) non-external __CMProfileGetProperty.predicate
000000018fc9b420 (__TEXT,__text) external __CMProfileSetProperty
00000001d945c958 (__DATA,__bss) non-external __CMProfileSetProperty.func
00000001d945c960 (__DATA,__bss) non-external __CMProfileSetProperty.predicate
000000018fc9b1a0 (__TEXT,__text) external __CWColorWorldGetProperty
00000001d945c928 (__DATA,__bss) non-external __CWColorWorldGetProperty.func
00000001d945c930 (__DATA,__bss) non-external __CWColorWorldGetProperty.predicate
000000018fc9b0c0 (__TEXT,__text) external __CWColorWorldSetProperty
00000001d945c918 (__DATA,__bss) non-external __CWColorWorldSetProperty.func
00000001d945c920 (__DATA,__bss) non-external __CWColorWorldSetProperty.predicate
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000018fca151c (__TEXT,__text) non-external ___CMCloneProfileRef_block_invoke
000000018fca1454 (__TEXT,__text) non-external ___CMCloseProfile_block_invoke
000000018fca138c (__TEXT,__text) non-external ___CMConvertDoubleXYZToD50_block_invoke
000000018fca128c (__TEXT,__text) non-external ___CMConvertRGBFloatBitmap_block_invoke
000000018fca11bc (__TEXT,__text) non-external ___CMConvertXYZFloatBitmap_block_invoke
000000018fca0f7c (__TEXT,__text) non-external ___CMCopyProfileDescriptionString_block_invoke
000000018fca0cec (__TEXT,__text) non-external ___CMCopyProfileLocalizedStringDictionary_block_invoke
000000018fca0e44 (__TEXT,__text) non-external ___CMCopyProfileLocalizedString_block_invoke
000000018fca10bc (__TEXT,__text) non-external ___CMCopyProfile_block_invoke
000000018fca0bac (__TEXT,__text) non-external ___CMCountProfileElements_block_invoke
