                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018f5ae6a8 (__TEXT,__text) non-external _au_assemble
000000018f5ad730 (__TEXT,__text) external _audit_token_to_ruid
000000018f5baedc (__TEXT,__text) external _audit_write
000000018f5bb28c (__TEXT,__text) external _audit_write_failure
000000018f5bb398 (__TEXT,__text) external _audit_write_failure_ex
000000018f5bb588 (__TEXT,__text) external _audit_write_failure_na
000000018f5bb5cc (__TEXT,__text) external _audit_write_failure_na_ex
000000018f5bb4a4 (__TEXT,__text) external _audit_write_failure_self
000000018f5bb098 (__TEXT,__text) external _audit_write_success
000000018f5bb14c (__TEXT,__text) external _audit_write_success_ex
000000018f5bb200 (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
000000018f5b66a8 (__TEXT,__text) non-external _be64dec
000000018f5bc368 (__TEXT,__const) non-external _bsm_domains
00000001e6aec458 (__DATA_CONST,__const) non-external _bsm_errnos
000000018f5bc5f0 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
000000018f5bc590 (__TEXT,__const) non-external _bsm_socket_types
                 (undefined) external _bzero (from libSystem)
000000018f5b7568 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
000000018f5b6aa0 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
000000018f5af3e4 (__TEXT,__text) external _endac
000000018f5aef34 (__TEXT,__text) external _endauclass
000000018f5afef0 (__TEXT,__text) external _endauevent
000000018f5ba464 (__TEXT,__text) external _endauuser
00000001ea74a4f8 (__DATA,__bss) non-external _ev_cache
000000018f5b033c (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
000000018f5b1d30 (__TEXT,__text) non-external _fetch_arb_tok
000000018f5b0c80 (__TEXT,__text) non-external _fetch_arg32_tok
000000018f5b0d04 (__TEXT,__text) non-external _fetch_arg64_tok
000000018f5b0d88 (__TEXT,__text) non-external _fetch_attr32_tok
000000018f5b0e4c (__TEXT,__text) non-external _fetch_attr64_tok
000000018f5b1dc0 (__TEXT,__text) non-external _fetch_cert_hash_tok
000000018f5b0f94 (__TEXT,__text) non-external _fetch_execarg_tok
000000018f5b0f94 (__TEXT,__text) non-external _fetch_execenv_tok
000000018f5b0f40 (__TEXT,__text) non-external _fetch_exit_tok
000000018f5b102c (__TEXT,__text) non-external _fetch_file_tok
000000018f5b0828 (__TEXT,__text) non-external _fetch_header32_ex_tok
000000018f5b0760 (__TEXT,__text) non-external _fetch_header32_tok
000000018f5b0aa0 (__TEXT,__text) non-external _fetch_header64_ex_tok
000000018f5b09a8 (__TEXT,__text) non-external _fetch_header64_tok
000000018f5b1e58 (__TEXT,__text) non-external _fetch_identity_tok
000000018f5b1124 (__TEXT,__text) non-external _fetch_inaddr_ex_tok
000000018f5b11c4 (__TEXT,__text) non-external _fetch_ip_tok
000000018f5b12d0 (__TEXT,__text) non-external _fetch_ipc_tok
000000018f5b1320 (__TEXT,__text) non-external _fetch_ipcperm_tok
000000018f5b1dc0 (__TEXT,__text) non-external _fetch_krb5_principal_tok
000000018f5b10b4 (__TEXT,__text) non-external _fetch_newgroups_tok
000000018f5b1400 (__TEXT,__text) non-external _fetch_process32_tok
000000018f5b1514 (__TEXT,__text) non-external _fetch_process32ex_tok
000000018f5b1694 (__TEXT,__text) non-external _fetch_process64_tok
000000018f5b17d8 (__TEXT,__text) non-external _fetch_process64ex_tok
000000018f5b12d0 (__TEXT,__text) non-external _fetch_return32_tok
000000018f5b1960 (__TEXT,__text) non-external _fetch_return64_tok
000000018f5b1b60 (__TEXT,__text) non-external _fetch_sock_inet128_tok
000000018f5b1a4c (__TEXT,__text) non-external _fetch_sock_inet32_tok
000000018f5b1ab8 (__TEXT,__text) non-external _fetch_sock_unix_tok
000000018f5b19b0 (__TEXT,__text) non-external _fetch_socket_tok
000000018f5b1bcc (__TEXT,__text) non-external _fetch_socketex32_tok
000000018f5b1400 (__TEXT,__text) non-external _fetch_subject32_tok
000000018f5b1514 (__TEXT,__text) non-external _fetch_subject32ex_tok
000000018f5b1694 (__TEXT,__text) non-external _fetch_subject64_tok
000000018f5b17d8 (__TEXT,__text) non-external _fetch_subject64ex_tok
000000018f5b0c28 (__TEXT,__text) non-external _fetch_trailer_tok
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001ea74a4f0 (__DATA,__bss) non-external _firsttime
000000018f5b7354 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00000001ed01b798 (__DATA_DIRTY,__bss) non-external _fp
00000001ed01b7a0 (__DATA_DIRTY,__bss) non-external _fp
00000001ed01b7a8 (__DATA_DIRTY,__bss) non-external _fp
00000001ed01b7b0 (__DATA_DIRTY,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018f5af438 (__TEXT,__text) external _getacdir
000000018f5afb44 (__TEXT,__text) external _getacexpire
000000018f5af6cc (__TEXT,__text) external _getacfilesz
000000018f5af870 (__TEXT,__text) external _getacflg
000000018f5afa98 (__TEXT,__text) external _getachost
000000018f5af64c (__TEXT,__text) external _getacmin
000000018f5af91c (__TEXT,__text) external _getacna
000000018f5af9c8 (__TEXT,__text) external _getacpol
000000018f5afa74 (__TEXT,__text) external _getacsflagsmask
000000018f5aece4 (__TEXT,__text) external _getauclassent
00000001ea74a228 (__DATA,__bss) non-external _getauclassent.c
00000001ea74a1e0 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00000001ea74a1d8 (__DATA,__bss) non-external _getauclassent.class_ent_name
00000001ea74a240 (__DATA,__bss) non-external _getauclassent.cp
000000018f5aeb44 (__TEXT,__text) external _getauclassent_r
000000018f5aeb8c (__TEXT,__text) non-external _getauclassent_r_locked
000000018f5aee3c (__TEXT,__text) external _getauclassnam
00000001ea74a298 (__DATA,__bss) non-external _getauclassnam.c
00000001ea74a250 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00000001ea74a248 (__DATA,__bss) non-external _getauclassnam.class_ent_name
000000018f5aedb0 (__TEXT,__text) external _getauclassnam_r
000000018f5aeef8 (__TEXT,__text) external _getauclassnum
00000001ea74a300 (__DATA,__bss) non-external _getauclassnum.c
00000001ea74a2b8 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00000001ea74a2b0 (__DATA,__bss) non-external _getauclassnum.class_ent_name
000000018f5aee78 (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
000000018f5b046c (__TEXT,__text) external _getauditflagsbin
000000018f5b05d4 (__TEXT,__text) external _getauditflagschar
000000018f5b0008 (__TEXT,__text) external _getauevent
00000001ea74a370 (__DATA,__bss) non-external _getauevent.e
00000001ea74a33e (__DATA,__bss) non-external _getauevent.event_ent_desc
00000001ea74a320 (__DATA,__bss) non-external _getauevent.event_ent_name
000000018f5aff44 (__TEXT,__text) external _getauevent_r
000000018f5b0138 (__TEXT,__text) external _getauevnam
00000001ea74a3e0 (__DATA,__bss) non-external _getauevnam.e
00000001ea74a3ae (__DATA,__bss) non-external _getauevnam.event_ent_desc
00000001ea74a390 (__DATA,__bss) non-external _getauevnam.event_ent_name
000000018f5b0048 (__TEXT,__text) external _getauevnam_r
000000018f5b032c (__TEXT,__text) external _getauevnonam
00000001ea74a4e8 (__DATA,__bss) non-external _getauevnonam.event
000000018f5b02a8 (__TEXT,__text) external _getauevnonam_r
00000001ea74a4c0 (__DATA,__bss) non-external _getauevnonam_r.e
00000001ea74a4e0 (__DATA,__bss) non-external _getauevnonam_r.ep
00000001ea74a48e (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00000001ea74a470 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
000000018f5b0264 (__TEXT,__text) external _getauevnum
00000001ea74a450 (__DATA,__bss) non-external _getauevnum.e
00000001ea74a41e (__DATA,__bss) non-external _getauevnum.event_ent_desc
00000001ea74a400 (__DATA,__bss) non-external _getauevnum.event_ent_name
000000018f5b017c (__TEXT,__text) external _getauevnum_r
000000018f5ba650 (__TEXT,__text) external _getauuserent
00000001ea74a538 (__DATA,__bss) non-external _getauuserent.u
00000001ea74a500 (__DATA,__bss) non-external _getauuserent.user_ent_name
000000018f5ba4b8 (__TEXT,__text) external _getauuserent_r
000000018f5ba500 (__TEXT,__text) non-external _getauuserent_r_locked
000000018f5ba744 (__TEXT,__text) external _getauusernam
00000001ea74a588 (__DATA,__bss) non-external _getauusernam.u
00000001ea74a550 (__DATA,__bss) non-external _getauusernam.user_ent_name
000000018f5ba6bc (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
000000018f5ba838 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
000000018f5af4e0 (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00000001ed01b390 (__DATA_DIRTY,__bss) non-external _linestr
00000001ed01b490 (__DATA_DIRTY,__bss) non-external _linestr
00000001ed01b592 (__DATA_DIRTY,__bss) non-external _linestr
00000001ed01b698 (__DATA_DIRTY,__bss) non-external _linestr
000000018f5b7284 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00000001ed01b210 (__DATA_DIRTY,__data) non-external _mutex
00000001ed01b250 (__DATA_DIRTY,__data) non-external _mutex
00000001ed01b290 (__DATA_DIRTY,__data) non-external _mutex
00000001ed01b2d0 (__DATA_DIRTY,__data) non-external _mutex
00000001ed01b310 (__DATA_DIRTY,__data) non-external _mutex
00000001ed01b350 (__DATA_DIRTY,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00000001ea74a138 (__DATA,__bss) non-external _open_desc_table
000000018f5b693c (__TEXT,__text) non-external _print_event
000000018f5b6f20 (__TEXT,__text) non-external _print_group
000000018f5b6c00 (__TEXT,__text) non-external _print_ip_ex_address
000000018f5b7020 (__TEXT,__text) non-external _print_ipctype
000000018f5b6fa4 (__TEXT,__text) non-external _print_mem
000000018f5b70bc (__TEXT,__text) non-external _print_retval
000000018f5b6a0c (__TEXT,__text) non-external _print_sec32
000000018f5b6cec (__TEXT,__text) non-external _print_sec64
000000018f5b6d7c (__TEXT,__text) non-external _print_string
000000018f5b66b4 (__TEXT,__text) non-external _print_tok_type
000000018f5b6e9c (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
000000018f5af310 (__TEXT,__text) external _setac
000000018f5af354 (__TEXT,__text) non-external _setac_locked
00000001ea74a318 (__DATA,__bss) non-external _setac_locked.lastctime
000000018f5aed60 (__TEXT,__text) external _setauclass
000000018f5afea0 (__TEXT,__text) external _setauevent
000000018f5ba414 (__TEXT,__text) external _setauuser
000000018f5afd1c (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001ed01b7bc (__DATA_DIRTY,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
