
/System/Library/PrivateFrameworks/ExchangeSync.framework/Versions/A/DataConsumers/ReminderKitDataConsumer.dataconsumer/Contents/MacOS/ReminderKitDataConsumer (for architecture x86_64):
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_transaction_create (from libSystem)

/System/Library/PrivateFrameworks/ExchangeSync.framework/Versions/A/DataConsumers/ReminderKitDataConsumer.dataconsumer/Contents/MacOS/ReminderKitDataConsumer (for architecture arm64e):
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _OBJC_CLASS_$_EXSBaseProperties (from ExchangeSync)
                 (undefined) external _OBJC_CLASS_$_EXSChangeItem (from ExchangeSync)
                 (undefined) external _OBJC_CLASS_$_EXSFolderProperties (from ExchangeSync)
                 (undefined) external _OBJC_CLASS_$_EXSRecurrenceProperties (from ExchangeSync)
0000000000014d80 (__DATA,__objc_data) external _OBJC_CLASS_$_EXSReminderKitTaskDataConsumer
                 (undefined) external _OBJC_CLASS_$_EXSTaskItemProperties (from ExchangeSync)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedArchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_REMAccount (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMAlarmDateTrigger (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMAlarmTimeIntervalTrigger (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMChangeToken (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMChangeTrackingState (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMList (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMRecurrenceEnd (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMRecurrenceRule (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMReminder (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMSaveRequest (from ReminderKit)
                 (undefined) external _OBJC_CLASS_$_REMStore (from ReminderKit)
0000000000014da8 (__DATA,__objc_data) external _OBJC_METACLASS_$_EXSReminderKitTaskDataConsumer
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _PropertyNameFromREMReminderChangeTrackingProperty (from ReminderKit)
                 (undefined) external _RDStoreControllerDefaultValuesMigrationAuthor (from ReminderKit)
                 (undefined) external _RDStoreControllerJSONPropertiesMigrationAuthor (from ReminderKit)
000000000000a898 (__TEXT,__const) external _ReminderKitDataConsumerVersionNumber
000000000000a850 (__TEXT,__const) external _ReminderKitDataConsumerVersionString
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_transaction_create (from libSystem)
