00007ffb0ba255c3 (__TEXT,__text) external _CGLGetCurrentContext
00007ffb0ba23543 (__TEXT,__text) external _glBufferDataARB
00007ffb0ba252e2 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffb0ba1ef9e (__TEXT,__text) external _glBufferSubData
00007ffb0ba23569 (__TEXT,__text) external _glBufferSubDataARB
00007ffb0ba1b527 (__TEXT,__text) external _glCallList
00007ffb0ba1b540 (__TEXT,__text) external _glCallLists
00007ffb0ba1fe68 (__TEXT,__text) external _glCheckFramebufferStatus
00007ffb0ba24478 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffb0ba2025e (__TEXT,__text) external _glClampColor
00007ffb0ba23bd1 (__TEXT,__text) external _glClampColorARB
00007ffb0ba1b55e (__TEXT,__text) external _glClear
00007ffb0ba1b577 (__TEXT,__text) external _glClearAccum
00007ffb0ba20807 (__TEXT,__text) external _glClearBufferfi
00007ffb0ba207e5 (__TEXT,__text) external _glClearBufferfv
00007ffb0ba207a1 (__TEXT,__text) external _glClearBufferiv
00007ffb0ba207c3 (__TEXT,__text) external _glClearBufferuiv
00007ffb0ba1b58e (__TEXT,__text) external _glClearColor
00007ffb0ba24c83 (__TEXT,__text) external _glClearColorIiEXT
00007ffb0ba24ca7 (__TEXT,__text) external _glClearColorIuiEXT
00007ffb0ba1b5a5 (__TEXT,__text) external _glClearDepth
00007ffb0ba216f1 (__TEXT,__text) external _glClearDepthf
00007ffb0ba1b5bc (__TEXT,__text) external _glClearIndex
00007ffb0ba1b5d3 (__TEXT,__text) external _glClearStencil
00007ffb0ba1e283 (__TEXT,__text) external _glClientActiveTexture
00007ffb0ba22b93 (__TEXT,__text) external _glClientActiveTextureARB
00007ffb0ba20b2c (__TEXT,__text) external _glClientWaitSync
00007ffb0ba1b5ef (__TEXT,__text) external _glClipPlane
00007ffb0ba1b60e (__TEXT,__text) external _glColor3b
00007ffb0ba1b62e (__TEXT,__text) external _glColor3bv
00007ffb0ba1b64b (__TEXT,__text) external _glColor3d
00007ffb0ba1b665 (__TEXT,__text) external _glColor3dv
00007ffb0ba1b682 (__TEXT,__text) external _glColor3f
00007ffb0ba1b69c (__TEXT,__text) external _glColor3fv
00007ffb0ba1b6b9 (__TEXT,__text) external _glColor3i
00007ffb0ba1b6d9 (__TEXT,__text) external _glColor3iv
00007ffb0ba1b6f6 (__TEXT,__text) external _glColor3s
00007ffb0ba1b716 (__TEXT,__text) external _glColor3sv
00007ffb0ba1b733 (__TEXT,__text) external _glColor3ub
00007ffb0ba1b753 (__TEXT,__text) external _glColor3ubv
00007ffb0ba1b770 (__TEXT,__text) external _glColor3ui
00007ffb0ba1b790 (__TEXT,__text) external _glColor3uiv
00007ffb0ba1b7ad (__TEXT,__text) external _glColor3us
00007ffb0ba1b7cd (__TEXT,__text) external _glColor3usv
00007ffb0ba1b7ea (__TEXT,__text) external _glColor4b
00007ffb0ba1b80d (__TEXT,__text) external _glColor4bv
00007ffb0ba1b82a (__TEXT,__text) external _glColor4d
00007ffb0ba1b844 (__TEXT,__text) external _glColor4dv
00007ffb0ba1b861 (__TEXT,__text) external _glColor4f
00007ffb0ba1b87b (__TEXT,__text) external _glColor4fv
00007ffb0ba1b898 (__TEXT,__text) external _glColor4i
00007ffb0ba1b8bb (__TEXT,__text) external _glColor4iv
00007ffb0ba1b8d8 (__TEXT,__text) external _glColor4s
00007ffb0ba1b8fb (__TEXT,__text) external _glColor4sv
00007ffb0ba1b918 (__TEXT,__text) external _glColor4ub
00007ffb0ba1b93b (__TEXT,__text) external _glColor4ubv
00007ffb0ba1b958 (__TEXT,__text) external _glColor4ui
00007ffb0ba1b97b (__TEXT,__text) external _glColor4uiv
00007ffb0ba1b998 (__TEXT,__text) external _glColor4us
00007ffb0ba1b9bb (__TEXT,__text) external _glColor4usv
00007ffb0ba1b9d8 (__TEXT,__text) external _glColorMask
00007ffb0ba24d53 (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffb0ba200c9 (__TEXT,__text) external _glColorMaski
00007ffb0ba1b9fb (__TEXT,__text) external _glColorMaterial
00007ffb0ba1ba19 (__TEXT,__text) external _glColorPointer
00007ffb0ba1deba (__TEXT,__text) external _glColorSubTable
00007ffb0ba23f16 (__TEXT,__text) external _glColorSubTableEXT
00007ffb0ba1ddb3 (__TEXT,__text) external _glColorTable
00007ffb0ba23ee2 (__TEXT,__text) external _glColorTableEXT
00007ffb0ba1dde7 (__TEXT,__text) external _glColorTableParameterfv
00007ffb0ba1de09 (__TEXT,__text) external _glColorTableParameteriv
00007ffb0ba25558 (__TEXT,__text) external _glCombinerInputNV
00007ffb0ba2555e (__TEXT,__text) external _glCombinerOutputNV
00007ffb0ba25546 (__TEXT,__text) external _glCombinerParameterfNV
00007ffb0ba25540 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffb0ba25552 (__TEXT,__text) external _glCombinerParameteriNV
00007ffb0ba2554c (__TEXT,__text) external _glCombinerParameterivNV
00007ffb0ba2558e (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffb0ba1f65d (__TEXT,__text) external _glCompileShader
00007ffb0ba236ce (__TEXT,__text) external _glCompileShaderARB
00007ffb0ba23d40 (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffb0ba1e78b (__TEXT,__text) external _glCompressedTexImage1D
00007ffb0ba2309b (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffb0ba1e751 (__TEXT,__text) external _glCompressedTexImage2D
00007ffb0ba23061 (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffb0ba1e713 (__TEXT,__text) external _glCompressedTexImage3D
00007ffb0ba23023 (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffb0ba1e84a (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffb0ba2315a (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffb0ba1e80c (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffb0ba2311c (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffb0ba1e7bb (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffb0ba230cb (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffb0ba1df15 (__TEXT,__text) external _glConvolutionFilter1D
00007ffb0ba1df49 (__TEXT,__text) external _glConvolutionFilter2D
00007ffb0ba1df79 (__TEXT,__text) external _glConvolutionParameterf
00007ffb0ba1df97 (__TEXT,__text) external _glConvolutionParameterfv
00007ffb0ba1dfb9 (__TEXT,__text) external _glConvolutionParameteri
00007ffb0ba1dfda (__TEXT,__text) external _glConvolutionParameteriv
00007ffb0ba20846 (__TEXT,__text) external _glCopyBufferSubData
00007ffb0ba1deee (__TEXT,__text) external _glCopyColorSubTable
00007ffb0ba1de2b (__TEXT,__text) external _glCopyColorTable
00007ffb0ba1dffc (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffb0ba1e023 (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffb0ba1ba3c (__TEXT,__text) external _glCopyPixels
00007ffb0ba1ba62 (__TEXT,__text) external _glCopyTexImage1D
00007ffb0ba1ba95 (__TEXT,__text) external _glCopyTexImage2D
00007ffb0ba1bad4 (__TEXT,__text) external _glCopyTexSubImage1D
00007ffb0ba1bb08 (__TEXT,__text) external _glCopyTexSubImage2D
00007ffb0ba1dd70 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffb0ba1f67c (__TEXT,__text) external _glCreateProgram
00007ffb0ba236eb (__TEXT,__text) external _glCreateProgramObjectARB
00007ffb0ba1f619 (__TEXT,__text) external _glCreateShader
00007ffb0ba2368c (__TEXT,__text) external _glCreateShaderObjectARB
00007ffb0ba217b8 (__TEXT,__text) external _glCreateShaderProgramv
00007ffb0ba1bb47 (__TEXT,__text) external _glCullFace
00007ffb0ba1ef1e (__TEXT,__text) external _glDeleteBuffers
00007ffb0ba234e9 (__TEXT,__text) external _glDeleteBuffersARB
00007ffb0ba2503f (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffb0ba1fe2a (__TEXT,__text) external _glDeleteFramebuffers
00007ffb0ba2443a (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffb0ba1bb63 (__TEXT,__text) external _glDeleteLists
00007ffb0ba23d21 (__TEXT,__text) external _glDeleteNamedStringARB
00007ffb0ba23633 (__TEXT,__text) external _glDeleteObjectARB
00007ffb0ba1f6f6 (__TEXT,__text) external _glDeleteProgram
00007ffb0ba217f6 (__TEXT,__text) external _glDeleteProgramPipelines
00007ffb0ba2227b (__TEXT,__text) external _glDeleteProgramsARB
00007ffb0ba1ee25 (__TEXT,__text) external _glDeleteQueries
00007ffb0ba233f0 (__TEXT,__text) external _glDeleteQueriesARB
00007ffb0ba1fd6c (__TEXT,__text) external _glDeleteRenderbuffers
00007ffb0ba2437c (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffb0ba20d2b (__TEXT,__text) external _glDeleteSamplers
00007ffb0ba1f5d5 (__TEXT,__text) external _glDeleteShader
00007ffb0ba20b0f (__TEXT,__text) external _glDeleteSync
00007ffb0ba1bb81 (__TEXT,__text) external _glDeleteTextures
00007ffb0ba214a8 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffb0ba2006f (__TEXT,__text) external _glDeleteVertexArrays
00007ffb0ba25182 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffb0ba23ec8 (__TEXT,__text) external _glDepthBoundsEXT
00007ffb0ba1bba0 (__TEXT,__text) external _glDepthFunc
00007ffb0ba1bbbc (__TEXT,__text) external _glDepthMask
00007ffb0ba1bbd8 (__TEXT,__text) external _glDepthRange
00007ffb0ba221db (__TEXT,__text) external _glDepthRangeArrayv
00007ffb0ba221fd (__TEXT,__text) external _glDepthRangeIndexed
00007ffb0ba216d7 (__TEXT,__text) external _glDepthRangef
00007ffb0ba2366c (__TEXT,__text) external _glDetachObjectARB
00007ffb0ba1f5f4 (__TEXT,__text) external _glDetachShader
00007ffb0ba1bbf2 (__TEXT,__text) external _glDisable
00007ffb0ba1bc0e (__TEXT,__text) external _glDisableClientState
00007ffb0ba24d98 (__TEXT,__text) external _glDisableIndexedEXT
00007ffb0ba24ef2 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffb0ba1f531 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffb0ba2277f (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffb0ba20152 (__TEXT,__text) external _glDisablei
00007ffb0ba1bc2a (__TEXT,__text) external _glDrawArrays
00007ffb0ba21073 (__TEXT,__text) external _glDrawArraysIndirect
00007ffb0ba2096d (__TEXT,__text) external _glDrawArraysInstanced
00007ffb0ba23c0d (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffb0ba1bc4b (__TEXT,__text) external _glDrawBuffer
00007ffb0ba1f068 (__TEXT,__text) external _glDrawBuffers
00007ffb0ba23bb2 (__TEXT,__text) external _glDrawBuffersARB
00007ffb0ba251fb (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffb0ba1bc67 (__TEXT,__text) external _glDrawElements
00007ffb0ba209f5 (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffb0ba21092 (__TEXT,__text) external _glDrawElementsIndirect
00007ffb0ba20991 (__TEXT,__text) external _glDrawElementsInstanced
00007ffb0ba23c31 (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffb0ba20a4f (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffb0ba1bc8b (__TEXT,__text) external _glDrawPixels
00007ffb0ba2521c (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffb0ba1dca1 (__TEXT,__text) external _glDrawRangeElements
00007ffb0ba20a1c (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffb0ba24248 (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffb0ba21530 (__TEXT,__text) external _glDrawTransformFeedback
00007ffb0ba2154e (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffb0ba1bcb2 (__TEXT,__text) external _glEdgeFlag
00007ffb0ba1bcce (__TEXT,__text) external _glEdgeFlagPointer
00007ffb0ba1bced (__TEXT,__text) external _glEdgeFlagv
00007ffb0ba251dc (__TEXT,__text) external _glElementPointerAPPLE
00007ffb0ba1bd0a (__TEXT,__text) external _glEnable
00007ffb0ba1bd26 (__TEXT,__text) external _glEnableClientState
00007ffb0ba24d7a (__TEXT,__text) external _glEnableIndexedEXT
00007ffb0ba24ed4 (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffb0ba1f515 (__TEXT,__text) external _glEnableVertexAttribArray
00007ffb0ba22763 (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffb0ba20134 (__TEXT,__text) external _glEnablei
00007ffb0ba1bd42 (__TEXT,__text) external _glEnd
00007ffb0ba2029a (__TEXT,__text) external _glEndConditionalRender
00007ffb0ba254d5 (__TEXT,__text) external _glEndConditionalRenderNV
00007ffb0ba1bd59 (__TEXT,__text) external _glEndList
00007ffb0ba1ee7e (__TEXT,__text) external _glEndQuery
00007ffb0ba23449 (__TEXT,__text) external _glEndQueryARB
00007ffb0ba21590 (__TEXT,__text) external _glEndQueryIndexed
00007ffb0ba201aa (__TEXT,__text) external _glEndTransformFeedback
00007ffb0ba2470e (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffb0ba1bd70 (__TEXT,__text) external _glEvalCoord1d
00007ffb0ba1bd8a (__TEXT,__text) external _glEvalCoord1dv
00007ffb0ba1bda7 (__TEXT,__text) external _glEvalCoord1f
00007ffb0ba1bdc1 (__TEXT,__text) external _glEvalCoord1fv
00007ffb0ba1bdde (__TEXT,__text) external _glEvalCoord2d
00007ffb0ba1bdf8 (__TEXT,__text) external _glEvalCoord2dv
00007ffb0ba1be15 (__TEXT,__text) external _glEvalCoord2f
00007ffb0ba1be2f (__TEXT,__text) external _glEvalCoord2fv
00007ffb0ba1be4c (__TEXT,__text) external _glEvalMesh1
00007ffb0ba1be6d (__TEXT,__text) external _glEvalMesh2
00007ffb0ba1be94 (__TEXT,__text) external _glEvalPoint1
00007ffb0ba1beb0 (__TEXT,__text) external _glEvalPoint2
00007ffb0ba1bece (__TEXT,__text) external _glFeedbackBuffer
00007ffb0ba20ad4 (__TEXT,__text) external _glFenceSync
00007ffb0ba25564 (__TEXT,__text) external _glFinalCombinerInputNV
00007ffb0ba1bef0 (__TEXT,__text) external _glFinish
00007ffb0ba250b2 (__TEXT,__text) external _glFinishFenceAPPLE
00007ffb0ba250ec (__TEXT,__text) external _glFinishObjectAPPLE
00007ffb0ba252b4 (__TEXT,__text) external _glFinishRenderAPPLE
00007ffb0ba1bf07 (__TEXT,__text) external _glFlush
00007ffb0ba20030 (__TEXT,__text) external _glFlushMappedBufferRange
00007ffb0ba25303 (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffb0ba2529d (__TEXT,__text) external _glFlushRenderAPPLE
00007ffb0ba25129 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffb0ba1e926 (__TEXT,__text) external _glFogCoordPointer
00007ffb0ba24226 (__TEXT,__text) external _glFogCoordPointerEXT
00007ffb0ba1e8ef (__TEXT,__text) external _glFogCoordd
00007ffb0ba241ef (__TEXT,__text) external _glFogCoorddEXT
00007ffb0ba1e909 (__TEXT,__text) external _glFogCoorddv
00007ffb0ba24209 (__TEXT,__text) external _glFogCoorddvEXT
00007ffb0ba1e8b8 (__TEXT,__text) external _glFogCoordf
00007ffb0ba241b8 (__TEXT,__text) external _glFogCoordfEXT
00007ffb0ba1e8d2 (__TEXT,__text) external _glFogCoordfv
00007ffb0ba241d2 (__TEXT,__text) external _glFogCoordfvEXT
00007ffb0ba1bf1e (__TEXT,__text) external _glFogf
00007ffb0ba1bf3a (__TEXT,__text) external _glFogfv
00007ffb0ba1bf59 (__TEXT,__text) external _glFogi
00007ffb0ba1bf77 (__TEXT,__text) external _glFogiv
00007ffb0ba1ff06 (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffb0ba24516 (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffb0ba20ca5 (__TEXT,__text) external _glFramebufferTexture
00007ffb0ba1fe84 (__TEXT,__text) external _glFramebufferTexture1D
00007ffb0ba24494 (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffb0ba1feab (__TEXT,__text) external _glFramebufferTexture2D
00007ffb0ba244bb (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffb0ba1fed2 (__TEXT,__text) external _glFramebufferTexture3D
00007ffb0ba244e2 (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffb0ba24614 (__TEXT,__text) external _glFramebufferTextureEXT
00007ffb0ba2465f (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffb0ba1ffe3 (__TEXT,__text) external _glFramebufferTextureLayer
00007ffb0ba24638 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffb0ba1bf96 (__TEXT,__text) external _glFrontFace
00007ffb0ba1bfb2 (__TEXT,__text) external _glFrustum
00007ffb0ba1ef3d (__TEXT,__text) external _glGenBuffers
00007ffb0ba23508 (__TEXT,__text) external _glGenBuffersARB
00007ffb0ba25020 (__TEXT,__text) external _glGenFencesAPPLE
00007ffb0ba1fe49 (__TEXT,__text) external _glGenFramebuffers
00007ffb0ba24459 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffb0ba1bfcc (__TEXT,__text) external _glGenLists
00007ffb0ba21815 (__TEXT,__text) external _glGenProgramPipelines
00007ffb0ba2229a (__TEXT,__text) external _glGenProgramsARB
00007ffb0ba1ee06 (__TEXT,__text) external _glGenQueries
00007ffb0ba233d1 (__TEXT,__text) external _glGenQueriesARB
00007ffb0ba1fd8b (__TEXT,__text) external _glGenRenderbuffers
00007ffb0ba2439b (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffb0ba20d0c (__TEXT,__text) external _glGenSamplers
00007ffb0ba1bfe8 (__TEXT,__text) external _glGenTextures
00007ffb0ba214c7 (__TEXT,__text) external _glGenTransformFeedbacks
00007ffb0ba2008e (__TEXT,__text) external _glGenVertexArrays
00007ffb0ba251a1 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffb0ba1ff4e (__TEXT,__text) external _glGenerateMipmap
00007ffb0ba2455e (__TEXT,__text) external _glGenerateMipmapEXT
00007ffb0ba1fb81 (__TEXT,__text) external _glGetActiveAttrib
00007ffb0ba23b61 (__TEXT,__text) external _glGetActiveAttribARB
00007ffb0ba213b1 (__TEXT,__text) external _glGetActiveSubroutineName
00007ffb0ba2137d (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffb0ba21356 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffb0ba1fab7 (__TEXT,__text) external _glGetActiveUniform
00007ffb0ba23aa1 (__TEXT,__text) external _glGetActiveUniformARB
00007ffb0ba20925 (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffb0ba20901 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffb0ba208bb (__TEXT,__text) external _glGetActiveUniformName
00007ffb0ba20893 (__TEXT,__text) external _glGetActiveUniformsiv
00007ffb0ba23a5b (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffb0ba1fa26 (__TEXT,__text) external _glGetAttachedShaders
00007ffb0ba1fbb4 (__TEXT,__text) external _glGetAttribLocation
00007ffb0ba23b92 (__TEXT,__text) external _glGetAttribLocationARB
00007ffb0ba2479c (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffb0ba200f0 (__TEXT,__text) external _glGetBooleani_v
00007ffb0ba1c007 (__TEXT,__text) external _glGetBooleanv
00007ffb0ba20c83 (__TEXT,__text) external _glGetBufferParameteri64v
00007ffb0ba1f024 (__TEXT,__text) external _glGetBufferParameteriv
00007ffb0ba235ef (__TEXT,__text) external _glGetBufferParameterivARB
00007ffb0ba1f046 (__TEXT,__text) external _glGetBufferPointerv
00007ffb0ba23611 (__TEXT,__text) external _glGetBufferPointervARB
00007ffb0ba1efc4 (__TEXT,__text) external _glGetBufferSubData
00007ffb0ba2358f (__TEXT,__text) external _glGetBufferSubDataARB
00007ffb0ba1c026 (__TEXT,__text) external _glGetClipPlane
00007ffb0ba1de52 (__TEXT,__text) external _glGetColorTable
00007ffb0ba23f4a (__TEXT,__text) external _glGetColorTableEXT
00007ffb0ba1de76 (__TEXT,__text) external _glGetColorTableParameterfv
00007ffb0ba23f6e (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffb0ba1de98 (__TEXT,__text) external _glGetColorTableParameteriv
00007ffb0ba23f90 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffb0ba2556a (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffb0ba25570 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffb0ba25576 (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffb0ba2557c (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffb0ba25594 (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffb0ba1e87a (__TEXT,__text) external _glGetCompressedTexImage
00007ffb0ba2318a (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffb0ba1e057 (__TEXT,__text) external _glGetConvolutionFilter
00007ffb0ba1e07b (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffb0ba1e09d (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffb0ba2223b (__TEXT,__text) external _glGetDoublei_v
00007ffb0ba1c045 (__TEXT,__text) external _glGetDoublev
00007ffb0ba1c064 (__TEXT,__text) external _glGetError
00007ffb0ba25582 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffb0ba25588 (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffb0ba22219 (__TEXT,__text) external _glGetFloati_v
00007ffb0ba1c07b (__TEXT,__text) external _glGetFloatv
00007ffb0ba20ced (__TEXT,__text) external _glGetFragDataIndex
00007ffb0ba205e8 (__TEXT,__text) external _glGetFragDataLocation
00007ffb0ba24c64 (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffb0ba1ff2a (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffb0ba2453a (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffb0ba23650 (__TEXT,__text) external _glGetHandleARB
00007ffb0ba1e130 (__TEXT,__text) external _glGetHistogram
00007ffb0ba1e157 (__TEXT,__text) external _glGetHistogramParameterfv
00007ffb0ba1e179 (__TEXT,__text) external _glGetHistogramParameteriv
00007ffb0ba23a35 (__TEXT,__text) external _glGetInfoLogARB
00007ffb0ba20c61 (__TEXT,__text) external _glGetInteger64i_v
00007ffb0ba20b72 (__TEXT,__text) external _glGetInteger64v
00007ffb0ba2477a (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffb0ba20112 (__TEXT,__text) external _glGetIntegeri_v
00007ffb0ba1c09a (__TEXT,__text) external _glGetIntegerv
00007ffb0ba23dd1 (__TEXT,__text) external _glGetInternalformativ
00007ffb0ba1c0b9 (__TEXT,__text) external _glGetLightfv
00007ffb0ba1c0db (__TEXT,__text) external _glGetLightiv
00007ffb0ba1c0fd (__TEXT,__text) external _glGetMapdv
00007ffb0ba1c11f (__TEXT,__text) external _glGetMapfv
00007ffb0ba1c141 (__TEXT,__text) external _glGetMapiv
