00007ff80b4cbf18 (__TEXT,__text) external _CCAESCmac
00007ff80b4c94c9 (__TEXT,__text) external _CCCrypt
00007ff80b4ccb24 (__TEXT,__text) external _CCCryptorAddParameter
00007ff80b4cae3c (__TEXT,__text) external _CCCryptorChaCha20
00007ff80b4caf28 (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotDecrypt
00007ff80b4cae96 (__TEXT,__text) external _CCCryptorChaCha20Poly1305OneshotEncrypt
00007ff80b4c8dc4 (__TEXT,__text) external _CCCryptorCreate
00007ff80b4cc6fc (__TEXT,__text) external _CCCryptorCreateFromData
00007ff80b4cc7a0 (__TEXT,__text) external _CCCryptorCreateFromDataWithMode
00007ff80b4c7df4 (__TEXT,__text) external _CCCryptorCreateWithMode
00007ff80b4cca63 (__TEXT,__text) external _CCCryptorDecryptDataBlock
00007ff80b4cc9a2 (__TEXT,__text) external _CCCryptorEncryptDataBlock
00007ff80b4c9678 (__TEXT,__text) external _CCCryptorFinal
00007ff80b4c7d38 (__TEXT,__text) external _CCCryptorGCM
00007ff80b4c8a12 (__TEXT,__text) external _CCCryptorGCMAddAAD
00007ff80b4ce110 (__TEXT,__text) external _CCCryptorGCMAddADD
00007ff80b4c89c3 (__TEXT,__text) external _CCCryptorGCMAddIV
00007ff80b4cac4d (__TEXT,__text) external _CCCryptorGCMDecrypt
00007ff80b4cacc8 (__TEXT,__text) external _CCCryptorGCMEncrypt
00007ff80b4c8ac3 (__TEXT,__text) external _CCCryptorGCMFinal
00007ff80b4ce124 (__TEXT,__text) external _CCCryptorGCMFinalize
00007ff80b4ce30d (__TEXT,__text) external _CCCryptorGCMOneshotDecrypt
00007ff80b4ce238 (__TEXT,__text) external _CCCryptorGCMOneshotEncrypt
00007ff80b4ce1f5 (__TEXT,__text) external _CCCryptorGCMReset
00007ff80b4ce0c0 (__TEXT,__text) external _CCCryptorGCMSetIV
00007ff80b4ce11a (__TEXT,__text) external _CCCryptorGCMaddAAD
00007ff80b4cc908 (__TEXT,__text) external _CCCryptorGetIV
00007ff80b4c95ca (__TEXT,__text) external _CCCryptorGetOutputLength
00007ff80b4cccc0 (__TEXT,__text) external _CCCryptorGetParameter
00007ff80b4c8b0c (__TEXT,__text) external _CCCryptorRelease
00007ff80b4c934a (__TEXT,__text) external _CCCryptorReset
00007ff80b4cc81a (__TEXT,__text) external _CCCryptorReset_binary_compatibility
00007ff80b4c8e7f (__TEXT,__text) external _CCCryptorUpdate
00007ff80b4ccdd6 (__TEXT,__text) external _CCDHComputeKey
00007ff80b4ccd20 (__TEXT,__text) external _CCDHCreate
00007ff80b4ccd60 (__TEXT,__text) external _CCDHGenerateKey
00007ff80b4ccd56 (__TEXT,__text) external _CCDHRelease
00007ff80b4cb36c (__TEXT,__text) external _CCDeriveKey
00007ff80b4d01d0 (__TEXT,__text) external _CCDesCBCCksum
00007ff80b4cac9e (__TEXT,__text) external _CCDesIsWeakKey
00007ff80b4cac94 (__TEXT,__text) external _CCDesSetOddParity
00007ff80b4c7690 (__TEXT,__text) external _CCDigest
00007ff80b4ccf3a (__TEXT,__text) external _CCDigestBlockSize
00007ff80b4c8c79 (__TEXT,__text) external _CCDigestCreate
00007ff80b4ccfa0 (__TEXT,__text) external _CCDigestCreateByOID
00007ff80b4c8d9a (__TEXT,__text) external _CCDigestDestroy
00007ff80b4c8d5d (__TEXT,__text) external _CCDigestFinal
00007ff80b4ccee6 (__TEXT,__text) external _CCDigestGetBlockSize
00007ff80b4ccf1f (__TEXT,__text) external _CCDigestGetBlockSizeFromRef
00007ff80b4c7020 (__TEXT,__text) non-external (was a private external) _CCDigestGetDigestInfo
00007ff80b4d0a19 (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.1
00007ff80b4d0aa3 (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.2
00007ff80b4d0b2d (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.3
00007ff80b4ccf03 (__TEXT,__text) external _CCDigestGetOutputSize
00007ff80b4ccf5f (__TEXT,__text) external _CCDigestGetOutputSizeFromRef
00007ff80b4c8cbc (__TEXT,__text) external _CCDigestInit
00007ff80b4ccf86 (__TEXT,__text) external _CCDigestOID
00007ff80b4ccf93 (__TEXT,__text) external _CCDigestOIDLen
00007ff80b4c8d05 (__TEXT,__text) external _CCDigestOutputSize
00007ff80b4ccfff (__TEXT,__text) external _CCDigestReset
00007ff80b4c8d23 (__TEXT,__text) external _CCDigestUpdate
00007ff80b4ce010 (__TEXT,__text) external _CCECCryptorBlind
00007ff80b4cdfe2 (__TEXT,__text) external _CCECCryptorBlindingKeysRelease
00007ff80b4cdd2f (__TEXT,__text) external _CCECCryptorComputeSharedSecret
00007ff80b4cd89a (__TEXT,__text) external _CCECCryptorCreateFromData
00007ff80b4cdb8d (__TEXT,__text) external _CCECCryptorExportKey
00007ff80b4cdb6b (__TEXT,__text) external _CCECCryptorExportPublicKey
00007ff80b4cdf43 (__TEXT,__text) external _CCECCryptorGenerateBlindingKeys
00007ff80b4cd530 (__TEXT,__text) external _CCECCryptorGeneratePair
00007ff80b4cd857 (__TEXT,__text) external _CCECCryptorGetKeyComponents
00007ff80b4cd6ad (__TEXT,__text) external _CCECCryptorGetPublicKeyFromPrivateKey
00007ff80b4cde9e (__TEXT,__text) external _CCECCryptorH2C
00007ff80b4cd977 (__TEXT,__text) external _CCECCryptorImportKey
00007ff80b4cd960 (__TEXT,__text) external _CCECCryptorImportPublicKey
00007ff80b4cd956 (__TEXT,__text) external _CCECCryptorRelease
00007ff80b4cdc48 (__TEXT,__text) external _CCECCryptorSignHash
00007ff80b4cdd8a (__TEXT,__text) external _CCECCryptorTwinDiversifyEntropySize
00007ff80b4cdd9e (__TEXT,__text) external _CCECCryptorTwinDiversifyKey
00007ff80b4ce068 (__TEXT,__text) external _CCECCryptorUnblind
00007ff80b4cdd24 (__TEXT,__text) external _CCECCryptorUnwrapKey
00007ff80b4cdcb5 (__TEXT,__text) external _CCECCryptorVerifyHash
00007ff80b4cdd19 (__TEXT,__text) external _CCECCryptorWrapKey
00007ff80b4cd942 (__TEXT,__text) external _CCECGetKeySize
00007ff80b4cd923 (__TEXT,__text) external _CCECGetKeyType
00007ff80b4cb56f (__TEXT,__text) external _CCHKDFExpand
00007ff80b4cb4f0 (__TEXT,__text) external _CCHKDFExtract
00007ff80b4c771c (__TEXT,__text) external _CCHmac
00007ff80b4ce53b (__TEXT,__text) external _CCHmacClone
00007ff80b4ce484 (__TEXT,__text) external _CCHmacCreate
00007ff80b4ce44a (__TEXT,__text) external _CCHmacDestroy
00007ff80b4cac36 (__TEXT,__text) external _CCHmacFinal
00007ff80b4cabc0 (__TEXT,__text) external _CCHmacInit
00007ff80b4ce4f4 (__TEXT,__text) external _CCHmacOneShot
00007ff80b4ce47a (__TEXT,__text) external _CCHmacOutputSize
00007ff80b4ce46e (__TEXT,__text) external _CCHmacOutputSizeFromRef
00007ff80b4cac1f (__TEXT,__text) external _CCHmacUpdate
00007ff80b4cb158 (__TEXT,__text) external _CCKDFParametersCreateAnsiX963
00007ff80b4cb016 (__TEXT,__text) external _CCKDFParametersCreateCtrHmac
00007ff80b4cb08c (__TEXT,__text) external _CCKDFParametersCreateCtrHmacFixed
00007ff80b4cb0e2 (__TEXT,__text) external _CCKDFParametersCreateHkdf
00007ff80b4cafb8 (__TEXT,__text) external _CCKDFParametersCreatePbkdf2
00007ff80b4cb1ae (__TEXT,__text) external _CCKDFParametersDestroy
00007ff80b4cb1d2 (__TEXT,__text) external _CCKeyDerivationHMac
00007ff80b4cacd2 (__TEXT,__text) external _CCKeyDerivationPBKDF
00007ff80b4cf083 (__TEXT,__text) external _CCRSACryptorCreateFromData
00007ff80b4ceaec (__TEXT,__text) external _CCRSACryptorCreatePublicKeyFromPrivateKey
00007ff80b4cef39 (__TEXT,__text) external _CCRSACryptorCrypt
00007ff80b4cee8b (__TEXT,__text) external _CCRSACryptorDecrypt
00007ff80b4cedbb (__TEXT,__text) external _CCRSACryptorEncrypt
00007ff80b4ced08 (__TEXT,__text) external _CCRSACryptorExport
00007ff80b4ce959 (__TEXT,__text) external _CCRSACryptorGeneratePair
00007ff80b4ceba3 (__TEXT,__text) external _CCRSACryptorGetPublicKeyFromPrivateKey
00007ff80b4cebdf (__TEXT,__text) external _CCRSACryptorImport
00007ff80b4cf25c (__TEXT,__text) external _CCRSACryptorRecoverPrivateKey
00007ff80b4ceb99 (__TEXT,__text) external _CCRSACryptorRelease
00007ff80b4cf60c (__TEXT,__text) external _CCRSACryptorSign
00007ff80b4cf735 (__TEXT,__text) external _CCRSACryptorVerify
00007ff80b4cf487 (__TEXT,__text) external _CCRSAGetCRTComponents
00007ff80b4cf3a3 (__TEXT,__text) external _CCRSAGetCRTComponentsSizes
00007ff80b4cf357 (__TEXT,__text) external _CCRSAGetKeyComponents
00007ff80b4cebcc (__TEXT,__text) external _CCRSAGetKeySize
00007ff80b4cebad (__TEXT,__text) external _CCRSAGetKeyType
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libcorecrypto)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libcorecrypto)
00007ff80b4c8bf8 (__TEXT,__text) external _CCRandomCopyBytes
00007ff80b4c8c08 (__TEXT,__text) external _CCRandomGenerateBytes
00007ff80b4ce91e (__TEXT,__text) external _CCRandomUniform
00007ff80b4cf984 (__TEXT,__text) external _CCSymmetricKeyUnwrap
00007ff80b4cf840 (__TEXT,__text) external _CCSymmetricKeyWrap
00007ff80b4cfb84 (__TEXT,__text) external _CCSymmetricUnwrappedSize
00007ff80b4cfb77 (__TEXT,__text) external _CCSymmetricWrappedSize
00007ff80b4cac64 (__TEXT,__text) external _CC_MD2
00007ff80b4cd292 (__TEXT,__text) external _CC_MD2_Final
00007ff80b4cd0f2 (__TEXT,__text) external _CC_MD2_Init
00007ff80b4cd19f (__TEXT,__text) external _CC_MD2_Update
00007ff80b4cd020 (__TEXT,__text) external _CC_MD4
00007ff80b4caaad (__TEXT,__text) external _CC_MD4_Final
00007ff80b4ca8d4 (__TEXT,__text) external _CC_MD4_Init
00007ff80b4ca992 (__TEXT,__text) external _CC_MD4_Update
00007ff80b4c76ec (__TEXT,__text) external _CC_MD5
00007ff80b4c7539 (__TEXT,__text) external _CC_MD5_Final
00007ff80b4c6f60 (__TEXT,__text) external _CC_MD5_Init
00007ff80b4c741e (__TEXT,__text) external _CC_MD5_Update
00007ff80b4c7658 (__TEXT,__text) external _CC_SHA1
00007ff80b4c7bf5 (__TEXT,__text) external _CC_SHA1_Final
00007ff80b4c7a1c (__TEXT,__text) external _CC_SHA1_Init
00007ff80b4c7ada (__TEXT,__text) external _CC_SHA1_Update
00007ff80b4cd058 (__TEXT,__text) external _CC_SHA224
00007ff80b4cd3fb (__TEXT,__text) external _CC_SHA224_Final
00007ff80b4cd38b (__TEXT,__text) external _CC_SHA224_Init
00007ff80b4cd3eb (__TEXT,__text) external _CC_SHA224_Update
00007ff80b4c7d08 (__TEXT,__text) external _CC_SHA256
00007ff80b4c790d (__TEXT,__text) external _CC_SHA256_Final
00007ff80b4c7795 (__TEXT,__text) external _CC_SHA256_Init
00007ff80b4c77f5 (__TEXT,__text) external _CC_SHA256_Update
00007ff80b4cd088 (__TEXT,__text) external _CC_SHA384
00007ff80b4cd4c5 (__TEXT,__text) external _CC_SHA384_Final
00007ff80b4cd456 (__TEXT,__text) external _CC_SHA384_Init
00007ff80b4cd4b5 (__TEXT,__text) external _CC_SHA384_Update
00007ff80b4cd0b8 (__TEXT,__text) external _CC_SHA512
00007ff80b4c98ee (__TEXT,__text) external _CC_SHA512_Final
00007ff80b4c9826 (__TEXT,__text) external _CC_SHA512_Init
00007ff80b4c9886 (__TEXT,__text) external _CC_SHA512_Update
00007ff8422cc370 (__DATA,__const) external _CCrfc3394_iv
00007ff80b4d1920 (__TEXT,__const) external _CCrfc3394_ivLen
00007ff80b4c9c30 (__TEXT,__text) non-external (was a private external) _CNBufferCreate
00007ff80b4d09fe (__TEXT,__text) non-external (was a private external) _CNBufferEmpty
00007ff80b4ca1ba (__TEXT,__text) non-external (was a private external) _CNBufferFlushData
00007ff80b4c9cf9 (__TEXT,__text) non-external (was a private external) _CNBufferProcessData
00007ff80b4ca297 (__TEXT,__text) non-external (was a private external) _CNBufferRelease
00007ff80b4ca327 (__TEXT,__text) external _CNCRC
00007ff80b4d030e (__TEXT,__text) external _CNCRCDumpTable
00007ff80b4d02c3 (__TEXT,__text) external _CNCRCFinal
00007ff80b4d01da (__TEXT,__text) external _CNCRCInit
00007ff80b4d0265 (__TEXT,__text) external _CNCRCRelease
00007ff80b4d0272 (__TEXT,__text) external _CNCRCUpdate
00007ff80b4d0360 (__TEXT,__text) external _CNCRCWeakTest
00007ff80b4c996b (__TEXT,__text) external _CNEncode
00007ff80b4d08f7 (__TEXT,__text) external _CNEncoderBlocksize
00007ff80b4d0993 (__TEXT,__text) external _CNEncoderBlocksizeFromRef
00007ff80b4c9a14 (__TEXT,__text) external _CNEncoderCreate
00007ff80b4d0d5e (__TEXT,__text) non-external _CNEncoderCreate.cold.1
00007ff80b4d0de8 (__TEXT,__text) non-external _CNEncoderCreate.cold.2
00007ff80b4d0e72 (__TEXT,__text) non-external _CNEncoderCreate.cold.3
00007ff80b4d03c6 (__TEXT,__text) external _CNEncoderCreateCustom
00007ff80b4ca0c3 (__TEXT,__text) external _CNEncoderFinal
00007ff80b4d05e3 (__TEXT,__text) external _CNEncoderGetOutputLength
00007ff80b4d06d9 (__TEXT,__text) external _CNEncoderGetOutputLengthFromEncoding
00007ff80b4ca22d (__TEXT,__text) external _CNEncoderRelease
00007ff80b4c9c7c (__TEXT,__text) external _CNEncoderUpdate
00007ff80b4cd0e8 (__TEXT,__text) external _MD5Final
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff80b4c73f0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80b4cc6d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
00007ff8422cbcc0 (__DATA,__const) non-external (was a private external) _adler32
00007ff80b4cadcc (__TEXT,__text) non-external _adler32_final
00007ff80b4cad6d (__TEXT,__text) non-external _adler32_implementation
00007ff80b4cadd5 (__TEXT,__text) non-external _adler32_oneshot
00007ff80b4cae34 (__TEXT,__text) non-external _adler32_setup
00007ff80b4c8b3b (__TEXT,__text) non-external _ccClearCryptor
00007ff80b4c8c57 (__TEXT,__text) external _ccDRBGGetRngState
00007ff80b4caca8 (__TEXT,__text) external _ccDevRandomGetRngState
00007ff80b4cd7dd (__TEXT,__text) non-external _ccECCryptorFree
00007ff80b4cd71d (__TEXT,__text) non-external _ccECpairwiseConsistencyCheck
00007ff80b4cd605 (__TEXT,__text) non-external _ccMallocECCryptor
00007ff80b4cea8c (__TEXT,__text) non-external _ccMallocRSACryptor
00007ff80b4ceb45 (__TEXT,__text) non-external _ccRSACryptorClear
00007ff80b4d1910 (__TEXT,__const) non-external _ccRandomDefaultStruct
00007ff80b4c9246 (__TEXT,__text) non-external _ccSimpleUpdate
00007ff80b4cbe9f (__TEXT,__text) non-external _cc_alloc
                 (undefined) external _cc_clear (from libcorecrypto)
                 (undefined) external _cc_cmp_safe (from libcorecrypto)
00007ff80b4cbef6 (__TEXT,__text) non-external _cc_free
00007ff80b4cfba8 (__TEXT,__text) non-external _cc_rc4_crypt_mode
00007ff80b4cbeac (__TEXT,__text) non-external _cc_realloc
                 (undefined) external _ccaes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccansikdf_x963 (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ofb_crypt_mode (from libcorecrypto)
00007ff80b4cfc06 (__TEXT,__text) non-external _cccbc_getiv
00007ff8422cc7c0 (__DATA,__const) non-external (was a private external) _cccbc_mode
00007ff80b4c931e (__TEXT,__text) non-external _cccbc_mode_crypt
00007ff80b4c91a1 (__TEXT,__text) non-external _cccbc_mode_get_block_size
00007ff80b4c8e24 (__TEXT,__text) non-external _cccbc_mode_get_ctx_size
00007ff80b4c8e3b (__TEXT,__text) non-external _cccbc_mode_setup
00007ff80b4c94a9 (__TEXT,__text) non-external _cccbc_setiv
                 (undefined) external _ccccm_cbcmac (from libcorecrypto)
00007ff8422cc9f0 (__DATA,__const) non-external (was a private external) _ccccm_mode
00007ff80b4cff9b (__TEXT,__text) non-external _ccccm_mode_crypt
00007ff80b4cffc1 (__TEXT,__text) non-external _ccccm_mode_done
00007ff80b4cff60 (__TEXT,__text) non-external _ccccm_mode_get_block_size
00007ff80b4cff52 (__TEXT,__text) non-external _ccccm_mode_get_ctx_size
00007ff80b4cff6a (__TEXT,__text) non-external _ccccm_mode_setup
                 (undefined) external _ccccm_set_iv (from libcorecrypto)
00007ff8422cc860 (__DATA,__const) non-external (was a private external) _cccfb8_mode
00007ff80b4cfcae (__TEXT,__text) non-external _cccfb8_mode_crypt
00007ff80b4cfc89 (__TEXT,__text) non-external _cccfb8_mode_get_block_size
00007ff80b4cfc80 (__TEXT,__text) non-external _cccfb8_mode_get_ctx_size
00007ff80b4cfc93 (__TEXT,__text) non-external _cccfb8_mode_setup
00007ff8422cc810 (__DATA,__const) non-external (was a private external) _cccfb_mode
00007ff80b4cfc5c (__TEXT,__text) non-external _cccfb_mode_crypt
00007ff80b4cfc37 (__TEXT,__text) non-external _cccfb_mode_get_block_size
00007ff80b4cfc2e (__TEXT,__text) non-external _cccfb_mode_get_ctx_size
00007ff80b4cfc41 (__TEXT,__text) non-external _cccfb_mode_setup
                 (undefined) external _ccchacha20 (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_decrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_encrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_info (from libcorecrypto)
                 (undefined) external _ccckg_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg_init (from libcorecrypto)
                 (undefined) external _ccckg_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_share (from libcorecrypto)
                 (undefined) external _cccmac_final_generate (from libcorecrypto)
                 (undefined) external _cccmac_init (from libcorecrypto)
                 (undefined) external _cccmac_one_shot_generate (from libcorecrypto)
                 (undefined) external _cccmac_update (from libcorecrypto)
00007ff8422cc300 (__DATA,__const) non-external (was a private external) _ccconversionTable
00007ff8422cc8b0 (__DATA,__const) non-external (was a private external) _ccctr_mode
00007ff80b4cfd00 (__TEXT,__text) non-external _ccctr_mode_crypt
00007ff80b4cfcdb (__TEXT,__text) non-external _ccctr_mode_get_block_size
00007ff80b4cfcd2 (__TEXT,__text) non-external _ccctr_mode_get_ctx_size
00007ff80b4cfce5 (__TEXT,__text) non-external _ccctr_mode_setup
00007ff80b4cfd24 (__TEXT,__text) non-external _ccctr_setiv
00007ff80b4d00d8 (__TEXT,__text) non-external _cccts3_decrypt_pad
00007ff80b4d00a8 (__TEXT,__text) non-external _cccts3_encrypt_pad
00007ff8422cca80 (__DATA,__const) non-external (was a private external) _cccts3_pad
00007ff80b4d0108 (__TEXT,__text) non-external _cccts3_padlen
00007ff80b4d017c (__TEXT,__text) non-external _cccts3_reserve
                 (undefined) external _ccder_decode_rsa_priv (from libcorecrypto)
                 (undefined) external _ccder_decode_rsa_priv_n (from libcorecrypto)
                 (undefined) external _ccder_decode_rsa_pub_n (from libcorecrypto)
                 (undefined) external _ccder_decode_rsa_pub_x509_n (from libcorecrypto)
                 (undefined) external _ccder_encode_rsa_priv (from libcorecrypto)
                 (undefined) external _ccder_encode_rsa_priv_size (from libcorecrypto)
                 (undefined) external _ccder_encode_rsa_pub_size (from libcorecrypto)
                 (undefined) external _ccdes3_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes3_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_cksum (from libcorecrypto)
                 (undefined) external _ccdes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccdes_cfb8_decrypt_mode (from libcorecrypto)
