000000018e58c308 (__TEXT,__const) non-external _KW_ANY
000000018e574a74 (__TEXT,__text) external _XML_ExpatVersion
000000018e574a80 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018e573110 (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018e5748cc (__TEXT,__text) external _XML_FreeContentModel
000000018e573df4 (__TEXT,__text) external _XML_GetBase
000000018e574238 (__TEXT,__text) external _XML_GetBuffer
000000018e5747b0 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018e57478c (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018e574874 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018e574818 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018e574778 (__TEXT,__text) external _XML_GetErrorCode
000000018e574a90 (__TEXT,__text) external _XML_GetFeatureList
00000001d39ca968 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018e573e14 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018e5747d8 (__TEXT,__text) external _XML_GetInputContext
000000018e574750 (__TEXT,__text) external _XML_GetParsingStatus
000000018e58b3f0 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018e573e00 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018e57490c (__TEXT,__text) external _XML_MemFree
000000018e5748e0 (__TEXT,__text) external _XML_MemMalloc
000000018e5748f4 (__TEXT,__text) external _XML_MemRealloc
000000018e573fec (__TEXT,__text) external _XML_Parse
000000018e57448c (__TEXT,__text) external _XML_ParseBuffer
000000018e5728c4 (__TEXT,__text) external _XML_ParserCreate
000000018e5728dc (__TEXT,__text) external _XML_ParserCreateNS
000000018e5728d4 (__TEXT,__text) external _XML_ParserCreate_MM
000000018e5738a8 (__TEXT,__text) external _XML_ParserFree
000000018e572b64 (__TEXT,__text) external _XML_ParserReset
000000018e574660 (__TEXT,__text) external _XML_ResumeParser
000000018e573f6c (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018e573d44 (__TEXT,__text) external _XML_SetBase
000000018e574acc (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018e574a9c (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018e573e70 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018e573e4c (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018e573e64 (__TEXT,__text) external _XML_SetCommentHandler
000000018e573e94 (__TEXT,__text) external _XML_SetDefaultHandler
000000018e573ea4 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018e573eb8 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018e573f60 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018e573e28 (__TEXT,__text) external _XML_SetElementHandler
000000018e573040 (__TEXT,__text) external _XML_SetEncoding
000000018e573e88 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018e573ed0 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018e573e40 (__TEXT,__text) external _XML_SetEndElementHandler
000000018e573f0c (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018e573f78 (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018e573f24 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018e573f30 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018e573fb8 (__TEXT,__text) external _XML_SetHashSalt
000000018e573ef4 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018e573f18 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018e573ee8 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018e573f90 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018e573e58 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018e573cfc (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018e573f44 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018e573e7c (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018e573ec4 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018e573e34 (__TEXT,__text) external _XML_SetStartElementHandler
000000018e573f00 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018e573f50 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018e573edc (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018e573d24 (__TEXT,__text) external _XML_SetUserData
000000018e573f84 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018e5745ec (__TEXT,__text) external _XML_StopParser
000000018e573cc8 (__TEXT,__text) external _XML_UseForeignDTD
000000018e573cbc (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018e57e5a8 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018e57eb4c (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018e57e59c (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018e57eb40 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018e57e5b4 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018e57eb58 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018e57e008 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018e57ed7c (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018e57e6e0 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018e57ec14 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018e57bdd0 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018e57bf10 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018e57e000 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018e57dfb0 (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018e57def4 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018e57de48 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018e576680 (__TEXT,__text) non-external _accountingDiffTolerated
000000018e58b448 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018e5782ec (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018e58b474 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018e578330 (__TEXT,__text) non-external _accountingReportStats
000000018e57a8d0 (__TEXT,__text) non-external _addBinding
000000018e58c0f2 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018e58c117 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018e57adc0 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001dba38fa8 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001dba398b8 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018e587100 (__TEXT,__text) non-external _ascii_toUtf8
000000018e57c5a4 (__TEXT,__text) non-external _attlist0
000000018e57cf70 (__TEXT,__text) non-external _attlist1
000000018e57d014 (__TEXT,__text) non-external _attlist2
00000001d39cb380 (__DATA_CONST,__const) non-external _attlist2.types
000000018e57d2c4 (__TEXT,__text) non-external _attlist3
000000018e57d45c (__TEXT,__text) non-external _attlist4
000000018e57d270 (__TEXT,__text) non-external _attlist5
000000018e57d38c (__TEXT,__text) non-external _attlist6
000000018e57d3ec (__TEXT,__text) non-external _attlist7
000000018e57d134 (__TEXT,__text) non-external _attlist8
000000018e57d32c (__TEXT,__text) non-external _attlist9
000000018e58891c (__TEXT,__text) non-external _big2_attributeValueTok
000000018e5884ac (__TEXT,__text) non-external _big2_cdataSectionTok
000000018e589160 (__TEXT,__text) non-external _big2_charRefNumber
000000018e58a564 (__TEXT,__text) non-external _big2_checkPiTarget
000000018e587940 (__TEXT,__text) non-external _big2_contentTok
00000001dba38c08 (__AUTH_CONST,__const) non-external _big2_encoding
00000001dba39518 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018e588a88 (__TEXT,__text) non-external _big2_entityValueTok
000000018e588d3c (__TEXT,__text) non-external _big2_getAtts
000000018e58874c (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018e589498 (__TEXT,__text) non-external _big2_isPublicId
000000018e588c58 (__TEXT,__text) non-external _big2_nameLength
000000018e588c0c (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018e58923c (__TEXT,__text) non-external _big2_predefinedEntityName
000000018e58714c (__TEXT,__text) non-external _big2_prologTok
000000018e58a944 (__TEXT,__text) non-external _big2_scanAtts
000000018e58ca4b (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018e58a3c8 (__TEXT,__text) non-external _big2_scanComment
000000018e5898e4 (__TEXT,__text) non-external _big2_scanDecl
000000018e589768 (__TEXT,__text) non-external _big2_scanLit
000000018e589edc (__TEXT,__text) non-external _big2_scanPercent
000000018e589a70 (__TEXT,__text) non-external _big2_scanPi
000000018e58a158 (__TEXT,__text) non-external _big2_scanPoundName
000000018e58a600 (__TEXT,__text) non-external _big2_scanRef
000000018e588cf8 (__TEXT,__text) non-external _big2_skipS
000000018e5896e0 (__TEXT,__text) non-external _big2_toUtf16
000000018e58954c (__TEXT,__text) non-external _big2_toUtf8
000000018e589394 (__TEXT,__text) non-external _big2_updatePosition
                 (undefined) external _bzero (from libSystem)
000000018e57a6d8 (__TEXT,__text) non-external _cdataSectionProcessor
000000018e57e29c (__TEXT,__text) non-external _checkCharRefNumber
000000018e57cbcc (__TEXT,__text) non-external _condSect0
000000018e57cca4 (__TEXT,__text) non-external _condSect1
000000018e57cd14 (__TEXT,__text) non-external _condSect2
000000018e577004 (__TEXT,__text) non-external _contentProcessor
000000018e57bc14 (__TEXT,__text) non-external _copyEntityTable
000000018e5730b0 (__TEXT,__text) non-external _copyString
000000018e57ca4c (__TEXT,__text) non-external _declClose
000000018e57739c (__TEXT,__text) non-external _defineAttribute
000000018e57a3f4 (__TEXT,__text) non-external _doCdataSection
000000018e5786e4 (__TEXT,__text) non-external _doContent
000000018e577ba0 (__TEXT,__text) non-external _doIgnoreSection
000000018e57e73c (__TEXT,__text) non-external _doParseXmlDecl
000000018e574e24 (__TEXT,__text) non-external _doProlog
000000018e58c202 (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018e58c21f (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018e58c218 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018e58c208 (__TEXT,__const) non-external _doProlog.atypeID
000000018e58c20b (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018e58c211 (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018e58c228 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018e58c230 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018e58b41c (__TEXT,__text) non-external _doProlog.cold.1
000000018e58bfe7 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018e58bfe9 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018e58bfdd (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018e57c050 (__TEXT,__text) non-external _doctype0
000000018e57c0bc (__TEXT,__text) non-external _doctype1
000000018e57c4d4 (__TEXT,__text) non-external _doctype2
000000018e57c474 (__TEXT,__text) non-external _doctype3
000000018e57ddcc (__TEXT,__text) non-external _doctype4
000000018e57c6cc (__TEXT,__text) non-external _doctype5
000000018e57c608 (__TEXT,__text) non-external _element0
000000018e57d4cc (__TEXT,__text) non-external _element1
000000018e57d5ec (__TEXT,__text) non-external _element2
000000018e57d750 (__TEXT,__text) non-external _element3
000000018e57daa4 (__TEXT,__text) non-external _element4
000000018e57db08 (__TEXT,__text) non-external _element5
000000018e57d800 (__TEXT,__text) non-external _element6
000000018e57d920 (__TEXT,__text) non-external _element7
00000001d39cb3f0 (__DATA_CONST,__const) non-external _encodings
00000001d39cb428 (__DATA_CONST,__const) non-external _encodingsNS
000000018e57c534 (__TEXT,__text) non-external _entity0
000000018e57c72c (__TEXT,__text) non-external _entity1
000000018e57cac0 (__TEXT,__text) non-external _entity10
000000018e57c78c (__TEXT,__text) non-external _entity2
000000018e57cdd4 (__TEXT,__text) non-external _entity3
000000018e57cd74 (__TEXT,__text) non-external _entity4
000000018e57ce34 (__TEXT,__text) non-external _entity5
000000018e57cf08 (__TEXT,__text) non-external _entity6
000000018e57c88c (__TEXT,__text) non-external _entity7
000000018e57c9ec (__TEXT,__text) non-external _entity8
000000018e57c98c (__TEXT,__text) non-external _entity9
000000018e5780b8 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018e57b4bc (__TEXT,__text) non-external _entityTrackingReportStats
000000018e58b4a0 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018e57b7e4 (__TEXT,__text) non-external _entityValueInitProcessor
000000018e57bae0 (__TEXT,__text) non-external _entityValueProcessor
000000018e57a1f0 (__TEXT,__text) non-external _epilogProcessor
000000018e57c0b4 (__TEXT,__text) non-external _error
000000018e574230 (__TEXT,__text) non-external _errorProcessor
000000018e57ad5c (__TEXT,__text) non-external _externalEntityContentProcessor
000000018e573b10 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018e57b5b8 (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018e57b6d4 (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018e573b8c (__TEXT,__text) non-external _externalParEntInitProcessor
000000018e57b9a8 (__TEXT,__text) non-external _externalParEntProcessor
000000018e57bf28 (__TEXT,__text) non-external _externalSubset0
000000018e57cb3c (__TEXT,__text) non-external _externalSubset1
000000018e57ea34 (__TEXT,__text) non-external _findEncoding
000000018e57ec70 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018e57a190 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018e5770f8 (__TEXT,__text) non-external _getAttributeId
000000018e5793ec (__TEXT,__text) non-external _getContext
000000018e574b94 (__TEXT,__text) non-external _getDebugLevel
000000018e577068 (__TEXT,__text) non-external _getElementType
000000018e57e630 (__TEXT,__text) non-external _getEncodingIndex
00000001d39cb3c0 (__DATA_CONST,__const) non-external _getEncodingIndex.encodingNames
                 (undefined) external _getenv (from libSystem)
000000018e574d18 (__TEXT,__text) non-external _handleUnknownEncoding
000000018e5783a8 (__TEXT,__text) non-external _hash
000000018e57bba8 (__TEXT,__text) non-external _hashTableDestroy
000000018e577d44 (__TEXT,__text) non-external _ignoreSectionProcessor
000000018e58c239 (__TEXT,__const) non-external _implicitContext
000000018e586f04 (__TEXT,__text) non-external _initScan
000000018e57e6b4 (__TEXT,__text) non-external _initScanContent
000000018e57ebf4 (__TEXT,__text) non-external _initScanContentNS
000000018e57e694 (__TEXT,__text) non-external _initScanProlog
000000018e57ebd4 (__TEXT,__text) non-external _initScanPrologNS
000000018e57e6d4 (__TEXT,__text) non-external _initUpdatePosition
000000018e574c0c (__TEXT,__text) non-external _initializeEncoding
000000018e57b260 (__TEXT,__text) non-external _internalEntityProcessor
000000018e57c1d4 (__TEXT,__text) non-external _internalSubset
00000001dba384c8 (__AUTH_CONST,__const) non-external _internal_little2_encoding
00000001dba38868 (__AUTH_CONST,__const) non-external _internal_little2_encoding_ns
00000001dba382f8 (__AUTH_CONST,__const) non-external _internal_utf8_encoding
00000001dba38698 (__AUTH_CONST,__const) non-external _internal_utf8_encoding_ns
000000018e582e98 (__TEXT,__text) non-external _isNever
00000001dba38128 (__AUTH_CONST,__const) non-external _latin1_encoding
00000001dba39178 (__AUTH_CONST,__const) non-external _latin1_encoding_ns
000000018e5814d4 (__TEXT,__text) non-external _latin1_toUtf16
000000018e58143c (__TEXT,__text) non-external _latin1_toUtf8
000000018e5847ec (__TEXT,__text) non-external _little2_attributeValueTok
000000018e58437c (__TEXT,__text) non-external _little2_cdataSectionTok
000000018e585040 (__TEXT,__text) non-external _little2_charRefNumber
000000018e586438 (__TEXT,__text) non-external _little2_checkPiTarget
000000018e583850 (__TEXT,__text) non-external _little2_contentTok
00000001dba38dd8 (__AUTH_CONST,__const) non-external _little2_encoding
00000001dba396e8 (__AUTH_CONST,__const) non-external _little2_encoding_ns
000000018e584958 (__TEXT,__text) non-external _little2_entityValueTok
000000018e584c1c (__TEXT,__text) non-external _little2_getAtts
000000018e58461c (__TEXT,__text) non-external _little2_ignoreSectionTok
000000018e585378 (__TEXT,__text) non-external _little2_isPublicId
000000018e584b28 (__TEXT,__text) non-external _little2_nameLength
000000018e584adc (__TEXT,__text) non-external _little2_nameMatchesAscii
000000018e58511c (__TEXT,__text) non-external _little2_predefinedEntityName
000000018e58305c (__TEXT,__text) non-external _little2_prologTok
000000018e586814 (__TEXT,__text) non-external _little2_scanAtts
000000018e58629c (__TEXT,__text) non-external _little2_scanComment
000000018e5857bc (__TEXT,__text) non-external _little2_scanDecl
000000018e585640 (__TEXT,__text) non-external _little2_scanLit
000000018e585dac (__TEXT,__text) non-external _little2_scanPercent
000000018e585948 (__TEXT,__text) non-external _little2_scanPi
000000018e58602c (__TEXT,__text) non-external _little2_scanPoundName
000000018e5864d4 (__TEXT,__text) non-external _little2_scanRef
000000018e584bc8 (__TEXT,__text) non-external _little2_skipS
000000018e5855c0 (__TEXT,__text) non-external _little2_toUtf16
000000018e58542c (__TEXT,__text) non-external _little2_toUtf8
000000018e585274 (__TEXT,__text) non-external _little2_updatePosition
000000018e576c28 (__TEXT,__text) non-external _lookup
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
000000018e58c918 (__TEXT,__const) non-external _namePages
000000018e58c318 (__TEXT,__const) non-external _namingBitmap
000000018e577df4 (__TEXT,__text) non-external _nextScaffoldPart
000000018e58c818 (__TEXT,__const) non-external _nmstrtPages
000000018e580a0c (__TEXT,__text) non-external _normal_attributeValueTok
000000018e580578 (__TEXT,__text) non-external _normal_cdataSectionTok
000000018e5810dc (__TEXT,__text) non-external _normal_charRefNumber
000000018e582108 (__TEXT,__text) non-external _normal_checkPiTarget
000000018e57f8e8 (__TEXT,__text) non-external _normal_contentTok
000000018e580b78 (__TEXT,__text) non-external _normal_entityValueTok
000000018e580da4 (__TEXT,__text) non-external _normal_getAtts
000000018e580834 (__TEXT,__text) non-external _normal_ignoreSectionTok
000000018e581390 (__TEXT,__text) non-external _normal_isPublicId
000000018e580d1c (__TEXT,__text) non-external _normal_nameLength
000000018e580cd8 (__TEXT,__text) non-external _normal_nameMatchesAscii
000000018e5811b8 (__TEXT,__text) non-external _normal_predefinedEntityName
000000018e57eda0 (__TEXT,__text) non-external _normal_prologTok
000000018e5824ec (__TEXT,__text) non-external _normal_scanAtts
000000018e581f64 (__TEXT,__text) non-external _normal_scanComment
000000018e5816dc (__TEXT,__text) non-external _normal_scanDecl
000000018e581528 (__TEXT,__text) non-external _normal_scanLit
000000018e581ca8 (__TEXT,__text) non-external _normal_scanPercent
000000018e581844 (__TEXT,__text) non-external _normal_scanPi
000000018e58218c (__TEXT,__text) non-external _normal_scanRef
000000018e580d68 (__TEXT,__text) non-external _normal_skipS
000000018e5812a0 (__TEXT,__text) non-external _normal_updatePosition
000000018e57b560 (__TEXT,__text) non-external _normalizeLines
000000018e576f7c (__TEXT,__text) non-external _normalizePublicId
000000018e57c66c (__TEXT,__text) non-external _notation0
000000018e57db88 (__TEXT,__text) non-external _notation1
000000018e57dcc8 (__TEXT,__text) non-external _notation2
000000018e57dc60 (__TEXT,__text) non-external _notation3
000000018e57dd28 (__TEXT,__text) non-external _notation4
000000018e58b010 (__TEXT,__text) non-external _parsePseudoAttribute
000000018e572910 (__TEXT,__text) non-external _parserCreate
000000018e572f0c (__TEXT,__text) non-external _parserInit
000000018e577318 (__TEXT,__text) non-external _poolAppend
000000018e573d8c (__TEXT,__text) non-external _poolCopyString
000000018e573c5c (__TEXT,__text) non-external _poolDestroy
000000018e5774cc (__TEXT,__text) non-external _poolGrow
000000018e576bcc (__TEXT,__text) non-external _poolStoreString
000000018e577efc (__TEXT,__text) non-external _processInternalEntity
000000018e5768b0 (__TEXT,__text) non-external _processXmlDecl
000000018e57bdf4 (__TEXT,__text) non-external _prolog0
000000018e57bf4c (__TEXT,__text) non-external _prolog1
000000018e57c3bc (__TEXT,__text) non-external _prolog2
000000018e574b18 (__TEXT,__text) non-external _prologInitProcessor
000000018e574c90 (__TEXT,__text) non-external _prologProcessor
                 (undefined) external _realloc (from libSystem)
000000018e578234 (__TEXT,__text) non-external _reportComment
000000018e574954 (__TEXT,__text) non-external _reportDefault
000000018e578104 (__TEXT,__text) non-external _reportProcessingInstruction
000000018e573648 (__TEXT,__text) non-external _setContext
000000018e57a7d4 (__TEXT,__text) non-external _setElementTypePrefix
000000018e57858c (__TEXT,__text) non-external _sip24_final
000000018e578498 (__TEXT,__text) non-external _sip24_update
000000018e578698 (__TEXT,__text) non-external _sip_round
000000018e574188 (__TEXT,__text) non-external _startParsing
000000018e577688 (__TEXT,__text) non-external _storeAttributeValue
000000018e57972c (__TEXT,__text) non-external _storeAtts
000000018e577718 (__TEXT,__text) non-external _storeEntityValue
000000018e579300 (__TEXT,__text) non-external _storeRawNames
000000018e586eac (__TEXT,__text) non-external _streqci
                 (undefined) external _strtoul (from libSystem)
000000018e574aec (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesDirect
000000018e574af8 (__TEXT,__text) non-external (was a private external) _testingAccountingGetCountBytesIndirect
000000018e57e3b0 (__TEXT,__text) non-external _unknown_isInvalid
000000018e57e2e8 (__TEXT,__text) non-external _unknown_isName
000000018e57e34c (__TEXT,__text) non-external _unknown_isNmstrt
000000018e57e4dc (__TEXT,__text) non-external _unknown_toUtf16
000000018e57e3e4 (__TEXT,__text) non-external _unknown_toUtf8
000000018e574b04 (__TEXT,__text) non-external (was a private external) _unsignedCharToPrintable
00000001dba38a38 (__AUTH_CONST,__const) non-external _utf8_encoding
00000001dba39348 (__AUTH_CONST,__const) non-external _utf8_encoding_ns
000000018e582f34 (__TEXT,__text) non-external _utf8_isInvalid2
000000018e582f68 (__TEXT,__text) non-external _utf8_isInvalid3
000000018e582ff4 (__TEXT,__text) non-external _utf8_isInvalid4
000000018e582e04 (__TEXT,__text) non-external _utf8_isName2
000000018e582e48 (__TEXT,__text) non-external _utf8_isName3
000000018e582ea0 (__TEXT,__text) non-external _utf8_isNmstrt2
000000018e582ee4 (__TEXT,__text) non-external _utf8_isNmstrt3
000000018e582cb8 (__TEXT,__text) non-external _utf8_toUtf16
000000018e582c08 (__TEXT,__text) non-external _utf8_toUtf8
