00000001eada60b0 (__DATA,__data) non-external _C
00000001803a8930 (__TEXT,__text) external ___bt_sync
00000001803aea78 (__TEXT,__text) external ___buf_free
00000001803aea48 (__TEXT,__text) non-external (was a private external) ___buf_init
00000001eceadc20 (__DATA_DIRTY,__data) non-external ___c_locale
00000001803d8dac (__TEXT,__text) non-external ___calc_left_pad
00000001803ad59c (__TEXT,__text) external ___call_hash
00000001eada6368 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00000001803dcbf8 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00000001803dcc14 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
0000000180392504 (__TEXT,__text) non-external (was a private external) ___chk_init
000000018036a820 (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001eceb0350 (__DATA_DIRTY,__common) external ___cleanup
0000000180376304 (__TEXT,__text) external ___cmp_D2A
00000001803bb15c (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00000001803bb32c (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00000001803bb4b0 (__TEXT,__text) external ___collate_equiv_match
000000018037f76c (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00000001803bb7e0 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
00000001803de0cc (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
00000001803de0f8 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
00000001803ba8e8 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001eada60f0 (__DATA,__data) external ___collate_load_error
00000001803864ac (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001eada7ae8 (__DATA,__bss) non-external ___collate_load_tables.cache
00000001803ba100 (__TEXT,__text) non-external ___collate_load_tables_legacy
00000001803bae78 (__TEXT,__text) external ___collate_lookup
00000001803baccc (__TEXT,__text) external ___collate_lookup_l
00000001803bb05c (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00000001803baf58 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00000001803bba0c (__TEXT,__text) non-external ___collate_pri_for
00000001803de124 (__TEXT,__text) non-external ___collate_pri_for.cold.1
00000001803bbfd0 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001eada7150 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001eada7148 (__DATA,__bss) non-external ___collate_range_cmp.s2
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
0000000180384230 (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001803a8328 (__TEXT,__text) non-external (was a private external) ___copy_assignment_8_8_t0w8_pa0_28660_8_pa0_36689_16_pa0_31171_24_pa0_29245_32
0000000180378498 (__TEXT,__text) external ___copybits_D2A
000000018039d3e4 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
000000018039ce50 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001eada7240 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001eada7cd8 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00000001803d2900 (__TEXT,__text) non-external ___cvt
00000001eada7c58 (__DATA,__bss) non-external ___cvt.s
000000018036b148 (__TEXT,__text) external ___cxa_atexit
000000018038d204 (__TEXT,__text) external ___cxa_finalize
000000018038d24c (__TEXT,__text) external ___cxa_finalize_ranges
00000001803cf360 (__TEXT,__text) external ___cxa_thread_atexit
0000000180374d9c (__TEXT,__text) external ___d2b_D2A
00000001eceb0338 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00000001803ac80c (__TEXT,__text) non-external ___dberr
00000001803ac7ec (__TEXT,__text) external ___dbpanic
00000001edb54090 (__AUTH,__data) external ___default_hash
00000001803d7138 (__TEXT,__text) external ___default_utx
00000001eada5d98 (__DATA,__data) non-external ___default_utx.once
00000001803d7170 (__TEXT,__text) non-external ___default_utx_init
00000001803aec78 (__TEXT,__text) external ___delpair
0000000180386404 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00000001803761ac (__TEXT,__text) external ___diff_D2A
00000001eceb02a0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
0000000180373f7c (__TEXT,__text) external ___dtoa
00000001803d7308 (__TEXT,__text) non-external (was a private external) ___endutxent
00000001eceb0360 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00000001803cf3c4 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00000001eceaea70 (__DATA_DIRTY,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180392ae4 (__TEXT,__text) non-external (was a private external) ___errstr
0000000180379a48 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00000001803ad434 (__TEXT,__text) external ___expand_table
00000001eceb0308 (__DATA_DIRTY,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00000001803772c0 (__TEXT,__text) external ___fflush
00000001803c29d0 (__TEXT,__text) external ___fgetwc
00000001803c4428 (__TEXT,__text) non-external (was a private external) ___find_arguments
00000001803ade48 (__TEXT,__text) external ___find_bigpair
00000001803adf74 (__TEXT,__text) external ___find_last_page
00000001803c5360 (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180365f24 (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180388294 (__TEXT,__text) external ___fix_locale_grouping_str
00000001803bc5cc (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
00000001803c3134 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180371254 (__TEXT,__text) external ___fread
00000001803b0028 (__TEXT,__text) external ___free_ovflpage
000000018037515c (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
00000001eada5d58 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
0000000180376a14 (__TEXT,__text) non-external ___fts_open
00000001803b224c (__TEXT,__text) external ___gdtoa
00000001eceb0318 (__DATA_DIRTY,__common) external ___gdtoa_locks
00000001803ae6a4 (__TEXT,__text) external ___get_buf
00000001803bcc54 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180369a90 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180369ab0 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180384a7c (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
000000018038f4e4 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00000001803afa90 (__TEXT,__text) external ___get_page
000000018038db28 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00000001eceaea60 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
00000001803bcc74 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001803d7414 (__TEXT,__text) non-external (was a private external) ___getutxent
00000001803d7844 (__TEXT,__text) non-external ___getutxid
0000000180391420 (__TEXT,__text) non-external (was a private external) ___gl_compare
0000000180390efc (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
0000000180391204 (__TEXT,__text) non-external (was a private external) ___gl_globextend
000000018039073c (__TEXT,__text) non-external (was a private external) ___gl_globtilde
0000000180390ff4 (__TEXT,__text) non-external (was a private external) ___gl_match
00000001803901d8 (__TEXT,__text) non-external ___glob
00000001eceae220 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
0000000180384338 (__TEXT,__text) non-external (was a private external) ___guard_setup
00000001803ac814 (__TEXT,__text) external ___hash_open
0000000180398224 (__TEXT,__text) external ___hdtoa
0000000180372804 (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180378288 (__TEXT,__text) external ___hi0bits_D2A
00000001803b2248 (__TEXT,__text) external ___hldtoa
0000000180375e3c (__TEXT,__text) external ___i2b_D2A
00000001803aff58 (__TEXT,__text) external ___ibitmap
00000001803c17c4 (__TEXT,__text) non-external ___inaddr_to_index
00000001803de314 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00000001803d1bc8 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00000001803bd4e4 (__TEXT,__text) external ___isctype
00000001803bd49c (__TEXT,__text) external ___istype
00000001803bd5bc (__TEXT,__text) external ___istype_l
00000001eceadc10 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00000001803d2d98 (__TEXT,__text) external ___ldtoa
00000001803a72dc (__TEXT,__text) external ___libc_init
0000000180374fd8 (__TEXT,__text) external ___lo0bits_D2A
0000000180379b04 (__TEXT,__text) non-external ___loadevp
00000001eceadc18 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00000001803aec48 (__TEXT,__text) external ___log2
00000001eada7cc0 (__DATA,__common) non-external (was a private external) ___logname
00000001eada5db8 (__DATA,__data) non-external (was a private external) ___logname_mutex
00000001803e1f20 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00000001803760b8 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
000000018037a340 (__TEXT,__text) external ___maskrune
00000001803bd550 (__TEXT,__text) external ___maskrune_l
00000001803b3338 (__TEXT,__text) external ___match_D2A
00000001eada6164 (__DATA,__data) external ___mb_cur_max
00000001eada6168 (__DATA,__data) external ___mb_sb_limit
00000001803c9b7c (__TEXT,__text) non-external ___mbsconv
00000001803bce38 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00000001803dcc30 (__TEXT,__text) external ___memccpy_chk
000000018036aa84 (__TEXT,__text) external ___memcpy_chk
000000018036b594 (__TEXT,__text) external ___memmove_chk
00000001803735b0 (__TEXT,__text) external ___memset_chk
000000018038877c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001eada7af0 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
0000000180387bc4 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001eada7b00 (__DATA,__bss) non-external ___monetary_load_locale.cache
0000000180375f84 (__TEXT,__text) external ___mult_D2A
0000000180375d88 (__TEXT,__text) external ___multadd_D2A
00000001803c2764 (__TEXT,__text) non-external ___nls_free_resources
00000001803e18d9 (__TEXT,__const) non-external ___nogrouping
0000000180378230 (__TEXT,__text) external ___nrv_alloc_D2A
00000001803a4138 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
000000018038835c (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001eada7b10 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
000000018038691c (__TEXT,__text) non-external (was a private external) ___open_path_locale
00000001803b6898 (__TEXT,__text) external ___opendir2
000000018036b5bc (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00000001803aa48c (__TEXT,__text) external ___ovfl_delete
00000001803aa2a4 (__TEXT,__text) external ___ovfl_get
00000001803aa38c (__TEXT,__text) external ___ovfl_put
00000001803780f8 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001eceaea20 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001eceaea18 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001ecead620 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180388024 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001eada7cd0 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001eada5df8 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
0000000180375e6c (__TEXT,__text) external ___pow5mult_D2A
00000001803e1128 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00000001803d6200 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00000001803dece8 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00000001803d5074 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00000001803deb0c (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00000001803d51b0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00000001803deb38 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00000001803d5bb4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00000001803deb90 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
0000000180395434 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00000001803debbc (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00000001803d68c0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00000001803ded6c (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00000001803d68a8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00000001803d5e64 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00000001803dec64 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00000001803d5f20 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00000001803dec90 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00000001803953f8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00000001803decbc (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00000001803d63a8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00000001803ded14 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00000001803d66a4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00000001803ded40 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
0000000180394b5c (__TEXT,__text) non-external (was a private external) ___printf_comp
00000001803954d4 (__TEXT,__text) non-external (was a private external) ___printf_exec
0000000180396408 (__TEXT,__text) non-external (was a private external) ___printf_flush
00000001803c6bd0 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180395c50 (__TEXT,__text) non-external (was a private external) ___printf_out
00000001803d67fc (__TEXT,__text) non-external (was a private external) ___printf_pad
0000000180395968 (__TEXT,__text) non-external (was a private external) ___printf_puts
00000001803d6248 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00000001803d5098 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00000001803d51fc (__TEXT,__text) non-external (was a private external) ___printf_render_float
00000001803deb64 (__TEXT,__text) non-external ___printf_render_float.cold.1
00000001803d5be0 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
0000000180395d04 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00000001803debe8 (__TEXT,__text) non-external ___printf_render_int.cold.1
00000001803dec14 (__TEXT,__text) non-external ___printf_render_int.cold.2
00000001803d68e4 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00000001803d68b0 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00000001803d5e98 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00000001803d5f44 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00000001803959dc (__TEXT,__text) non-external (was a private external) ___printf_render_str
00000001803d63cc (__TEXT,__text) non-external (was a private external) ___printf_render_time
00000001803d66c8 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
000000018038d688 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001eceb0288 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00000001803afc6c (__TEXT,__text) external ___put_page
00000001803e19f8 (__TEXT,__const) non-external (was a private external) ___puts_null__
00000001803d7af0 (__TEXT,__text) non-external (was a private external) ___pututxline
0000000180378304 (__TEXT,__text) external ___quorem_D2A
000000018038b1ec (__TEXT,__text) external ___ratio_D2A
00000001803b0a04 (__TEXT,__text) external ___rec_close
00000001803b0cf4 (__TEXT,__text) external ___rec_delete
00000001803b0e38 (__TEXT,__text) external ___rec_dleaf
00000001803b1814 (__TEXT,__text) external ___rec_fd
00000001803b12ac (__TEXT,__text) external ___rec_fmap
00000001803b106c (__TEXT,__text) external ___rec_fpipe
00000001803b0f64 (__TEXT,__text) external ___rec_get
00000001803b1b14 (__TEXT,__text) external ___rec_iput
00000001803b149c (__TEXT,__text) external ___rec_open
00000001803b186c (__TEXT,__text) external ___rec_put
00000001803b2114 (__TEXT,__text) external ___rec_ret
00000001803b1d64 (__TEXT,__text) external ___rec_search
00000001803b1f40 (__TEXT,__text) external ___rec_seq
00000001803b0abc (__TEXT,__text) external ___rec_sync
00000001803b13c0 (__TEXT,__text) external ___rec_vmap
00000001803b1184 (__TEXT,__text) external ___rec_vpipe
00000001803aeb4c (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180379384 (__TEXT,__text) external ___rshift_D2A
00000001803e0f9c (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
0000000180375088 (__TEXT,__text) external ___rv_alloc_D2A
0000000180375c9c (__TEXT,__text) external ___s2b_D2A
00000001ecead660 (__DATA_DIRTY,__data) external ___sF
00000001ecead838 (__DATA_DIRTY,__data) non-external ___sFX
0000000180383e54 (__TEXT,__text) external ___sclose
00000001eceaf848 (__DATA_DIRTY,__bss) non-external ___scounted
00000001eceb0340 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
