00000001c1153b48 (__TEXT,__text) non-external +[Cube initialize]
00000001c1161568 (__TEXT,__text) non-external +[DDXMLNode nodeWithPrimitive:nsParent:]
00000001c1162944 (__TEXT,__text) non-external +[DDXMLNode prefixForName:]
00000001c11611cc (__TEXT,__text) non-external +[DDXMLNode processingInstructionWithName:stringValue:]
00000001c1162f20 (__TEXT,__text) non-external +[DDXMLNode recursiveStripDocPointersFromNode:]
00000001c116318c (__TEXT,__text) non-external +[DDXMLNode removeAllAttributesFromNode:]
00000001c1163450 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromDoc:]
00000001c11633f8 (__TEXT,__text) non-external +[DDXMLNode removeAllChildrenFromNode:]
00000001c11632c8 (__TEXT,__text) non-external +[DDXMLNode removeAllNamespacesFromNode:]
00000001c1163138 (__TEXT,__text) non-external +[DDXMLNode removeAttribute:fromNode:]
00000001c11633a4 (__TEXT,__text) non-external +[DDXMLNode removeChild:fromNode:]
00000001c1163274 (__TEXT,__text) non-external +[DDXMLNode removeNamespace:fromNode:]
00000001c1162f04 (__TEXT,__text) non-external +[DDXMLNode stripDocPointersFromAttr:]
00000001c11612d8 (__TEXT,__text) non-external +[DDXMLNode textWithStringValue:]
00000001c107cd98 (__TEXT,__text) non-external +[MCActionForEachPlug forEachPlugActionForTargetPlugObjectID:withAction:andPrefix:]
00000001c107b608 (__TEXT,__text) non-external +[MCActionGroup actionGroup]
00000001c107dc60 (__TEXT,__text) non-external +[MCActionTrigger actionTriggerForTargetPlugObjectID:withActionKey:]
00000001c107fc14 (__TEXT,__text) non-external +[MCAnimationKeyframe keyPathsForValuesAffectingValueForKey:]
00000001c1080498 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:]
00000001c10804a8 (__TEXT,__text) non-external +[MCAnimationKeyframe1D keyframeWithScalar:atTime:offsetKind:]
00000001c10816b8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:]
00000001c10816c8 (__TEXT,__text) non-external +[MCAnimationKeyframe2D keyframeWithPoint:atTime:offsetKind:]
00000001c108082c (__TEXT,__text) non-external +[MCAnimationKeyframeFunction keyframeWithFunction:atTime:offsetKind:forDuration:]
00000001c10821e4 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:]
00000001c1082224 (__TEXT,__text) non-external +[MCAnimationKeyframeVector keyframeWithVector:atTime:offsetKind:]
00000001c1082790 (__TEXT,__text) non-external +[MCAnimationPath animationPathWithKey:]
00000001c1084160 (__TEXT,__text) non-external +[MCAnimationPathExpression animationPathWithKey:andExpression:]
00000001c1084484 (__TEXT,__text) non-external +[MCAnimationPathKeyframed animationPathWithKey:]
00000001c10843f8 (__TEXT,__text) non-external +[MCAnimationPathKeyframed keyPathsForValuesAffectingValueForKey:]
00000001c1085060 (__TEXT,__text) non-external +[MCAnimationPathKeyframed timeForKeyframe:withPlugTiming:]
00000001c107d80c (__TEXT,__text) non-external +[MCAnimationTrigger animationTriggerForTargetPlugObjectID:withAnimationKey:]
00000001c10865c8 (__TEXT,__text) non-external +[MCAudioPlaylist keyPathsForValuesAffectingValueForKey:]
00000001c107c53c (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:]
00000001c107c590 (__TEXT,__text) non-external +[MCConditionalAction conditionalActionWithPredicate:actionIfTrue:actionIfFalse:]
00000001c1088a20 (__TEXT,__text) non-external +[MCContainerEffect keyPathsForValuesAffectingValueForKey:]
00000001c108eb80 (__TEXT,__text) non-external +[MCContainerParallelizer keyPathsForValuesAffectingValueForKey:]
00000001c1090484 (__TEXT,__text) non-external +[MCContainerSerializer keyPathsForValuesAffectingValueForKey:]
00000001c107f8a0 (__TEXT,__text) non-external +[MCGenericAction genericActionForTargetPlugObjectID:withAttributes:]
00000001c107ebf4 (__TEXT,__text) non-external +[MCMotionTrigger motionTriggerForTargetPlugObjectID:withKey:andDuration:]
00000001c107f4b8 (__TEXT,__text) non-external +[MCMotionTriggerExpression motionTriggerForTargetPlugObjectID:withKey:duration:andExpression:]
00000001c107f1f8 (__TEXT,__text) non-external +[MCMotionTriggerScalar motionTriggerForTargetPlugObjectID:withKey:duration:andValue:]
00000001c10969e8 (__TEXT,__text) non-external +[MCObject objectWithImprint:andMontage:]
00000001c10966a8 (__TEXT,__text) non-external +[MCObjectBase addArrayElement:toXMLElement:forName:]
00000001c109641c (__TEXT,__text) non-external +[MCObjectBase addDictionaryElement:toXMLElement:forName:]
00000001c1096270 (__TEXT,__text) non-external +[MCObjectBase addDoubleAttribute:toXMLElement:forName:]
00000001c10961a0 (__TEXT,__text) non-external +[MCObjectBase addFloatAttribute:toXMLElement:forName:]
00000001c1096358 (__TEXT,__text) non-external +[MCObjectBase addIntegerAttribute:toXMLElement:forName:]
00000001c1096104 (__TEXT,__text) non-external +[MCObjectBase addStringAttribute:toXMLElement:forName:]
00000001c1095f58 (__TEXT,__text) non-external +[MCObjectBase initialize]
00000001c1096918 (__TEXT,__text) non-external +[MCObjectLight objectWithImprint:]
00000001c1097594 (__TEXT,__text) non-external +[MCPlug keyPathsForValuesAffectingValueForKey:]
00000001c109a438 (__TEXT,__text) non-external +[MCPlugParallel keyPathsForValuesAffectingValueForKey:]
00000001c109f2ec (__TEXT,__text) non-external +[MCPlugSerial keyPathsForValuesAffectingValueForKey:]
00000001c109fc7c (__TEXT,__text) non-external +[MCSlide keyPathsForValuesAffectingValueForKey:]
00000001c10a581c (__TEXT,__text) non-external +[MCSong keyPathsForValuesAffectingValueForKey:]
00000001c107df88 (__TEXT,__text) non-external +[MCStateOperation stateOperationForTargetPlugObjectID:withStateKey:]
00000001c107e8e8 (__TEXT,__text) non-external +[MCStateOperationExpression stateOperationForTargetPlugObjectID:withStateKey:andExpression:]
00000001c107e320 (__TEXT,__text) non-external +[MCStateOperationScalarSet stateOperationForTargetPlugObjectID:withStateKey:andScalar:]
00000001c107e5dc (__TEXT,__text) non-external +[MCStateOperationStringSet stateOperationForTargetPlugObjectID:withStateKey:andString:]
00000001c10b113c (__TEXT,__text) non-external +[MCTextConversion attributedStringWithCTAttributesFromStringAttributes:]
00000001c10b1b48 (__TEXT,__text) non-external +[MCTextConversion attributedStringWithNSAttributesFromStringAttributes:]
00000001c10af910 (__TEXT,__text) non-external +[MCTextConversion ligatureFromString:]
00000001c10af9d4 (__TEXT,__text) non-external +[MCTextConversion shadowFromTextFormat:]
00000001c10af7bc (__TEXT,__text) non-external +[MCTextConversion stretchForFontDisplayName:andFamilyName:]
00000001c10b0f00 (__TEXT,__text) non-external +[MCTextConversion stringAttributesWithAttributedString:]
00000001c10af998 (__TEXT,__text) non-external +[MCTextConversion stringFromLigature:]
00000001c10af8d4 (__TEXT,__text) non-external +[MCTextConversion stringFromTextAlignment:]
00000001c10af620 (__TEXT,__text) non-external +[MCTextConversion styleForFontDisplayName:andFamilyName:]
00000001c10af84c (__TEXT,__text) non-external +[MCTextConversion textAlignmentFromString:]
00000001c10afbe4 (__TEXT,__text) non-external +[MCTextConversion textFormatFromShadow:]
00000001c10afe9c (__TEXT,__text) non-external +[MCTextConversion textFormatFromUnderlineStyle:]
00000001c10b0008 (__TEXT,__text) non-external +[MCTextConversion textFormatWithCTAttributesForText:attributes:]
00000001c10b083c (__TEXT,__text) non-external +[MCTextConversion textFormatWithNSAttributesForText:attributes:]
00000001c10afd04 (__TEXT,__text) non-external +[MCTextConversion underlineStyleFromTextFormat:]
00000001c10af6ec (__TEXT,__text) non-external +[MCTextConversion weightForFontDisplayName:andFamilyName:]
00000001c107d20c (__TEXT,__text) non-external +[MCTransitionTrigger transitionForTargetPlugObjectID:withTransitionID:]
00000001c111de34 (__TEXT,__text) non-external +[MEAudioSupport _addAudioPlaylistsFromPlug:toComposition:atTime:forTotalDuration:withID:forExport:fadingTimVols:duckingTimVols:assetManagementDelegate:]
00000001c111db08 (__TEXT,__text) non-external +[MEAudioSupport _getShowTime:andShowDuration:forPlug:andSlideIndex:]
00000001c111f124 (__TEXT,__text) non-external +[MEAudioSupport _insertAudioTracksFromAsset:toComposition:atTime:withSongStartTime:songDuration:]
00000001c111f56c (__TEXT,__text) non-external +[MEAudioSupport _makeAVAudioMixForComposition:withDuration:andFadeOutDuration:fadingInfos:duckingInfos:]
00000001c111d7b4 (__TEXT,__text) non-external +[MEAudioSupport compositionForExportForStartTime:andDuration:withDocument:forExport:audioMix:]
00000001c10a713c (__TEXT,__text) non-external +[MEExporter copyWebRendererToPath:useDebug:]
00000001c10a7390 (__TEXT,__text) non-external +[MEExporter postProcessWebRendererAtPath:]
00000001c10a7c10 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:andSuggestion:andUnderlyingError:outError:]
00000001c10a7d10 (__TEXT,__text) non-external +[MEExporter(Private) createErrorWithCode:andDescription:outError:]
00000001c10a7d30 (__TEXT,__text) non-external +[MEExporter(Private) createNotEnoughSpaceErrorForFreeSpace:andNeededSpace:outError:]
00000001c10a7a8c (__TEXT,__text) non-external +[MEExporter(Private) createTemporaryDirectoryForPath:error:]
00000001c10a7ec8 (__TEXT,__text) non-external +[MEExporter(Private) localizedString:]
00000001c10a81b8 (__TEXT,__text) non-external +[MEExporterManager releaseSharedManager]
00000001c10a8140 (__TEXT,__text) non-external +[MEExporterManager sharedManager]
00000001c110ffa0 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:loadedImage:size:andDestinationPath:]
00000001c110ff34 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:andDestinationPath:]
00000001c110feb8 (__TEXT,__text) non-external +[MEImageExporter operationWithOriginalPath:size:blackWhite:andDestinationPath:]
00000001c10a91f8 (__TEXT,__text) non-external +[MEPluginHTML5 matchesOptions:]
00000001c10a916c (__TEXT,__text) non-external +[MEPluginHTML5 registerPluginsToLoader:]
00000001c10fd688 (__TEXT,__text) non-external +[MEPluginPDF matchesOptions:]
00000001c10fd5fc (__TEXT,__text) non-external +[MEPluginPDF registerPluginsToLoader:]
00000001c117bf8c (__TEXT,__text) non-external +[MEPluginVideoAVFoundation matchesOptions:]
00000001c117bee4 (__TEXT,__text) non-external +[MEPluginVideoAVFoundation registerPluginsToLoader:]
00000001c117e3f4 (__TEXT,__text) non-external +[MEPluginVideoImageSequence matchesOptions:]
00000001c117e34c (__TEXT,__text) non-external +[MEPluginVideoImageSequence registerPluginsToLoader:]
00000001c0ef2924 (__TEXT,__text) non-external +[MPAction action]
00000001c0ef291c (__TEXT,__text) non-external +[MPAction supportsSecureCoding]
00000001c0ef55e4 (__TEXT,__text) non-external +[MPActionGroup actionGroup]
00000001c0ef5614 (__TEXT,__text) non-external +[MPActionGroup supportsSecureCoding]
00000001c0ef3f1c (__TEXT,__text) non-external +[MPActionTrigger actionTrigger]
00000001c0ef3f14 (__TEXT,__text) non-external +[MPActionTrigger supportsSecureCoding]
00000001c0ef64ec (__TEXT,__text) non-external +[MPAnimatedSet supportsSecureCoding]
00000001c0ef9790 (__TEXT,__text) non-external +[MPAnimationKeyframe supportsSecureCoding]
00000001c0ef9d20 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:]
00000001c0ef9d70 (__TEXT,__text) non-external +[MPAnimationKeyframe1D keyframe1DWithScalar:atTime:offsetType:]
00000001c0ef9d18 (__TEXT,__text) non-external +[MPAnimationKeyframe1D supportsSecureCoding]
00000001c0efa24c (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:]
00000001c0efa2ac (__TEXT,__text) non-external +[MPAnimationKeyframe2D keyframe2DWithPoint:atTime:offsetType:]
00000001c0efa244 (__TEXT,__text) non-external +[MPAnimationKeyframe2D supportsSecureCoding]
00000001c0efb9e4 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:offsetType:withDuration:]
00000001c0efb984 (__TEXT,__text) non-external +[MPAnimationKeyframeFunction keyframeFunctionWithFunction:atTime:withDuration:]
00000001c0efb97c (__TEXT,__text) non-external +[MPAnimationKeyframeFunction supportsSecureCoding]
00000001c0efb420 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:]
00000001c0efb478 (__TEXT,__text) non-external +[MPAnimationKeyframeVector keyframeVectorWithVector:atTime:offsetType:]
00000001c0efb418 (__TEXT,__text) non-external +[MPAnimationKeyframeVector supportsSecureCoding]
00000001c0efca44 (__TEXT,__text) non-external +[MPAnimationManager releaseSharedManager]
00000001c0efc9c8 (__TEXT,__text) non-external +[MPAnimationManager sharedManager]
00000001c0efcb30 (__TEXT,__text) non-external +[MPAnimationManager(Private) loadAnimationManagerWithPaths:]
00000001c0efcf94 (__TEXT,__text) non-external +[MPAnimationPath animationPath]
00000001c0efcf8c (__TEXT,__text) non-external +[MPAnimationPath supportsSecureCoding]
00000001c0efd264 (__TEXT,__text) non-external +[MPAnimationPathCombo animationPath]
00000001c0efd25c (__TEXT,__text) non-external +[MPAnimationPathCombo supportsSecureCoding]
00000001c0efdc5c (__TEXT,__text) non-external +[MPAnimationPathKeyframed animationPath]
00000001c0efdc54 (__TEXT,__text) non-external +[MPAnimationPathKeyframed supportsSecureCoding]
00000001c0ef3980 (__TEXT,__text) non-external +[MPAnimationTrigger animationTrigger]
00000001c0ef3978 (__TEXT,__text) non-external +[MPAnimationTrigger supportsSecureCoding]
00000001c0f00f28 (__TEXT,__text) non-external +[MPAssetManager releaseSharedManager]
00000001c0f00f1c (__TEXT,__text) non-external +[MPAssetManager setInhibitSharedManagerInit:]
00000001c0ede4ec (__TEXT,__text) non-external +[MPAssetManager sharedManager]
00000001c0f01afc (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBuffer:]
00000001c0f01dec (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingDataProvider:]
00000001c0f01ccc (__TEXT,__text) non-external +[MPAssetManager(ImageUtils) convertCGImageToBufferUsingRGBDevice:]
00000001c0f01fb4 (__TEXT,__text) non-external +[MPAudioPlaylist audioPlaylist]
00000001c0f01f7c (__TEXT,__text) non-external +[MPAudioPlaylist automaticallyNotifiesObserversForKey:]
00000001c0f01fac (__TEXT,__text) non-external +[MPAudioPlaylist supportsSecureCoding]
00000001c0f04128 (__TEXT,__text) non-external +[MPAuthoringController releaseSharedController]
00000001c0f040bc (__TEXT,__text) non-external +[MPAuthoringController sharedController]
00000001c0f37d8c (__TEXT,__text) non-external +[MPAuthoringUtilities alignToBeatsFromOptions:]
00000001c0f3ac60 (__TEXT,__text) non-external +[MPAuthoringUtilities alwaysIncludeLastTransitionFromOptions:]
00000001c0f38a9c (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioFromOptions:]
00000001c0f3b668 (__TEXT,__text) non-external +[MPAuthoringUtilities aspectRatioMatchesDefault:withOptions:]
00000001c0f37398 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFactorFromOptions:]
00000001c0f37340 (__TEXT,__text) non-external +[MPAuthoringUtilities audioDurationFromOptions:]
00000001c0f373f0 (__TEXT,__text) non-external +[MPAuthoringUtilities audioScalingModeFromOptions:]
00000001c0f380a4 (__TEXT,__text) non-external +[MPAuthoringUtilities backgroundColorFromOptions:]
00000001c0f3b264 (__TEXT,__text) non-external +[MPAuthoringUtilities baseBreakAspectRatioFromOptions:]
00000001c0f3b300 (__TEXT,__text) non-external +[MPAuthoringUtilities basePortraitBreakAspectRatioFromOptions:]
00000001c0f38044 (__TEXT,__text) non-external +[MPAuthoringUtilities beatFactorFromOptions:]
00000001c0f3b12c (__TEXT,__text) non-external +[MPAuthoringUtilities breakDurationScaleFromOptions:]
00000001c0f3a980 (__TEXT,__text) non-external +[MPAuthoringUtilities canAdjustPhaseDurations:]
00000001c0f3a570 (__TEXT,__text) non-external +[MPAuthoringUtilities canHaveTransitionsFromOptions:]
00000001c0f38400 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatEffectWithPreset:]
00000001c0f385a8 (__TEXT,__text) non-external +[MPAuthoringUtilities canRepeatPreset:]
00000001c0f38c70 (__TEXT,__text) non-external +[MPAuthoringUtilities collectVersionInformationFromOptions:]
00000001c0f3a364 (__TEXT,__text) non-external +[MPAuthoringUtilities colorSchemeFromOptions:]
00000001c0f37e54 (__TEXT,__text) non-external +[MPAuthoringUtilities createBeatsFromOptions:]
00000001c0f3750c (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeForFitMoviesFromOptions:]
00000001c0f37444 (__TEXT,__text) non-external +[MPAuthoringUtilities croppingModeFromOptions:]
00000001c0f3af90 (__TEXT,__text) non-external +[MPAuthoringUtilities customDurationsFromOptions:]
00000001c0f3b8ac (__TEXT,__text) non-external +[MPAuthoringUtilities distanceBetween:andPoint:]
00000001c0f38274 (__TEXT,__text) non-external +[MPAuthoringUtilities durationPerEffectFromOptions:]
00000001c0f37a14 (__TEXT,__text) non-external +[MPAuthoringUtilities easeKenBurnsPanFromOptions:]
00000001c0f3a290 (__TEXT,__text) non-external +[MPAuthoringUtilities effectDecidesTransitionFromOptions:]
00000001c0f38aec (__TEXT,__text) non-external +[MPAuthoringUtilities effectListFromOptions:]
00000001c0f384d4 (__TEXT,__text) non-external +[MPAuthoringUtilities effectNeedsPreviousAttributesFromOptions:]
00000001c0f39a20 (__TEXT,__text) non-external +[MPAuthoringUtilities effectPadding:]
00000001c0f39b84 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionDurationFromOptions:]
00000001c0f39af8 (__TEXT,__text) non-external +[MPAuthoringUtilities exportTransitionIDFromOptions:]
00000001c0f3abb0 (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutAudioFromOptions:]
00000001c0f3afac (__TEXT,__text) non-external +[MPAuthoringUtilities fadeOutDurationFromOptions:]
00000001c0f389b4 (__TEXT,__text) non-external +[MPAuthoringUtilities fitMoviesWhenPossibleFromOptions:]
00000001c0f3b64c (__TEXT,__text) non-external +[MPAuthoringUtilities gapInformationFromOptions:]
00000001c0f39514 (__TEXT,__text) non-external +[MPAuthoringUtilities idFromPresetID:]
00000001c0f36fb8 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreClusteringForImages:withOptions:]
00000001c0f38da0 (__TEXT,__text) non-external +[MPAuthoringUtilities ignoreTransitionListFromOptions:]
00000001c0f38f50 (__TEXT,__text) non-external +[MPAuthoringUtilities introDurationFromOptions:]
00000001c0f3932c (__TEXT,__text) non-external +[MPAuthoringUtilities introEffectIDFromOptions:]
00000001c0f3b5a0 (__TEXT,__text) non-external +[MPAuthoringUtilities isLayerEffectAuthoredFromOptions:]
00000001c0f3b7d0 (__TEXT,__text) non-external +[MPAuthoringUtilities kbCenterPointFromRect:]
00000001c0f378bc (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsAlwaysZoomInFromOptions:]
00000001c0f37968 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsBreaksFromOptions:]
00000001c0f37820 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsEndZoomLevelFromOptions:]
00000001c0f37ac0 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLevelFromOptions:]
00000001c0f3759c (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsLikelihoodFromOptions:]
00000001c0f37b80 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsOffsetTypeFromOptions:]
00000001c0f376c4 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsPanFactorFromOptions:]
00000001c0f37784 (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsStartZoomLevelFromOptions:]
00000001c0f38bac (__TEXT,__text) non-external +[MPAuthoringUtilities kenBurnsZoomFactorFromOptions:]
00000001c0f397a0 (__TEXT,__text) non-external +[MPAuthoringUtilities lastPresetFromOptions:]
00000001c0f37c30 (__TEXT,__text) non-external +[MPAuthoringUtilities layerCanSkipScaleCalculation:withOptions:]
00000001c0f39c1c (__TEXT,__text) non-external +[MPAuthoringUtilities layerDescriptionForLayerWithZIndex:forStyle:]
00000001c0f39da8 (__TEXT,__text) non-external +[MPAuthoringUtilities layerHasImagesFromOptions:]
00000001c0f372ec (__TEXT,__text) non-external +[MPAuthoringUtilities layerIndexFromOptions:]
00000001c0f38350 (__TEXT,__text) non-external +[MPAuthoringUtilities layerOffsetFromOptions:]
00000001c0f37f7c (__TEXT,__text) non-external +[MPAuthoringUtilities layerTimeScaleFromOptions:]
00000001c0f3ad58 (__TEXT,__text) non-external +[MPAuthoringUtilities layerTypeFromOptions:]
00000001c0f37ea8 (__TEXT,__text) non-external +[MPAuthoringUtilities lockTransitionDurationFromOptions:]
00000001c0f39a6c (__TEXT,__text) non-external +[MPAuthoringUtilities loopTransitionIDFromOptions:]
00000001c0f3b4f4 (__TEXT,__text) non-external +[MPAuthoringUtilities matchEffectsUsingTagsFromOptions:]
00000001c0f381a0 (__TEXT,__text) non-external +[MPAuthoringUtilities matchPhasesWithTransitionFromOptions:]
00000001c0f37678 (__TEXT,__text) non-external +[MPAuthoringUtilities maxKenBurnsZoomFromOptions:]
00000001c0f392d4 (__TEXT,__text) non-external +[MPAuthoringUtilities maxNumberOfSlidesToPreloadFromOptions:]
00000001c0f39fe8 (__TEXT,__text) non-external +[MPAuthoringUtilities maximumTransitionDurationFromOptions:]
00000001c0f3a0c4 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumEffectDurationFromOptions:]
00000001c0f39280 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumNumberOfDynamicSlidesToAddFromOptions:]
00000001c0f39f10 (__TEXT,__text) non-external +[MPAuthoringUtilities minimumTransitionDurationFromOptions:]
00000001c0f3a244 (__TEXT,__text) non-external +[MPAuthoringUtilities movieVolumeFromOptions:]
00000001c0f3b8c8 (__TEXT,__text) non-external +[MPAuthoringUtilities multilineSizeFactorFromOptions:]
00000001c0f3a6a0 (__TEXT,__text) non-external +[MPAuthoringUtilities needsFitMovieAttributeFromOptions:]
00000001c0f39e80 (__TEXT,__text) non-external +[MPAuthoringUtilities numberOfLayersFromOptions:]
00000001c0f390d4 (__TEXT,__text) non-external +[MPAuthoringUtilities outroDurationFromOptions:]
00000001c0f38e7c (__TEXT,__text) non-external +[MPAuthoringUtilities outroEffectIDFromOptions:]
00000001c0f3a1f0 (__TEXT,__text) non-external +[MPAuthoringUtilities padTextOnlyEffects:]
00000001c0f3aee4 (__TEXT,__text) non-external +[MPAuthoringUtilities performFaceDetectionFromOptions:]
00000001c0f3a818 (__TEXT,__text) non-external +[MPAuthoringUtilities pickEffectsEvenlyByIDWithOptions:]
00000001c0f3a730 (__TEXT,__text) non-external +[MPAuthoringUtilities pickTransitionsEvenlyByIDWithOptions:]
00000001c0f3b1c8 (__TEXT,__text) non-external +[MPAuthoringUtilities portraitBreakDurationScaleFromOptions:]
00000001c0f3acb4 (__TEXT,__text) non-external +[MPAuthoringUtilities presentationOrderFromOptions:]
00000001c0f395a0 (__TEXT,__text) non-external +[MPAuthoringUtilities presetIDFromPresetID:]
00000001c0f38a08 (__TEXT,__text) non-external +[MPAuthoringUtilities randomSeedFromOptions:]
00000001c0f3ade8 (__TEXT,__text) non-external +[MPAuthoringUtilities reconfigureRangeFromOptions:]
00000001c0f3b7a0 (__TEXT,__text) non-external +[MPAuthoringUtilities rectToFitIn:withAspectRatio:]
00000001c0f3ae40 (__TEXT,__text) non-external +[MPAuthoringUtilities regionOfInterestPickModeFromOptions:]
00000001c0f3a468 (__TEXT,__text) non-external +[MPAuthoringUtilities reorderModeFromOptions:]
00000001c0f38cc8 (__TEXT,__text) non-external +[MPAuthoringUtilities repeatTransitionsFromOptions:]
00000001c0f3804c (__TEXT,__text) non-external +[MPAuthoringUtilities replaceAudioPlaylistFromOptions:]
00000001c0f3aa70 (__TEXT,__text) non-external +[MPAuthoringUtilities requestGeneratedImagesFromOptions:]
00000001c0f3b05c (__TEXT,__text) non-external +[MPAuthoringUtilities scaleEffectsForPanoramasFromOptions:]
00000001c0f391ac (__TEXT,__text) non-external +[MPAuthoringUtilities scaleOutroEffectFromOptions:]
00000001c0f3b39c (__TEXT,__text) non-external +[MPAuthoringUtilities screenSizeFromOptions:]
00000001c0f39620 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeFramesFromOptions:]
00000001c0f39948 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeLoopTransitionFromOptions:]
00000001c0f39864 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeSlideFiltersFromOptions:]
00000001c0f396b8 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldComputeTransitionsFromOptions:]
00000001c0f3ac08 (__TEXT,__text) non-external +[MPAuthoringUtilities shouldDuckMoviesFromOptions:]
00000001c0f372ac (__TEXT,__text) non-external +[MPAuthoringUtilities styleFromOptions:]
00000001c0f3af74 (__TEXT,__text) non-external +[MPAuthoringUtilities subtitlesFromOptions:]
00000001c0f393f0 (__TEXT,__text) non-external +[MPAuthoringUtilities titleEffectFromOptions:]
00000001c0f38680 (__TEXT,__text) non-external +[MPAuthoringUtilities transitionDurationFromOptions:]
00000001c0f38dbc (__TEXT,__text) non-external +[MPAuthoringUtilities transitionListFromOptions:]
00000001c0f37160 (__TEXT,__text) non-external +[MPAuthoringUtilities urlsFromPaths:]
