00007ffa06c0c9d2 (__TEXT,__text) non-external +[NFPromise new]
00007ffa06c1095e (__TEXT,__text) non-external -[NFMultiDelegate children]
00007ffa06c1042c (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00007ffa06c10968 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00007ffa06c102be (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00007ffa06c107c4 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
00007ffa06c101f0 (__TEXT,__text) non-external -[NFMultiDelegate initWithDelegate:delegateProtocol:]
00007ffa06c10624 (__TEXT,__text) non-external -[NFMultiDelegate methodSignatureForSelector:]
00007ffa06c1033f (__TEXT,__text) non-external -[NFMultiDelegate removeDelegate:]
00007ffa06c103b7 (__TEXT,__text) non-external -[NFMultiDelegate replaceDelegate:withDelegate:]
00007ffa06c104ba (__TEXT,__text) non-external -[NFMultiDelegate respondsToSelector:]
00007ffa06c0f5dd (__TEXT,__text) non-external -[NFMutexLock dealloc]
00007ffa06c0f54c (__TEXT,__text) non-external -[NFMutexLock initWithOptions:]
00007ffa06c0f538 (__TEXT,__text) non-external -[NFMutexLock init]
00007ffa06c0f665 (__TEXT,__text) non-external -[NFMutexLock lock]
00007ffa06c0f617 (__TEXT,__text) non-external -[NFMutexLock performWithLockSync:]
00007ffa06c0f673 (__TEXT,__text) non-external -[NFMutexLock unlock]
00007ffa06c09727 (__TEXT,__text) non-external -[NFPendingPromise .cxx_destruct]
00007ffa06c09599 (__TEXT,__text) non-external -[NFPendingPromise init]
00007ffa06c096da (__TEXT,__text) non-external -[NFPendingPromise promise]
00007ffa06c0970e (__TEXT,__text) non-external -[NFPendingPromise reject]
00007ffa06c096f5 (__TEXT,__text) non-external -[NFPendingPromise resolve]
00007ffa06c096e4 (__TEXT,__text) non-external -[NFPendingPromise setPromise:]
00007ffa06c09718 (__TEXT,__text) non-external -[NFPendingPromise setReject:]
00007ffa06c096ff (__TEXT,__text) non-external -[NFPendingPromise setResolve:]
00007ffa06c0dbfb (__TEXT,__text) non-external -[NFPromise .cxx_destruct]
00007ffa06c0cb2e (__TEXT,__text) non-external -[NFPromise always:]
00007ffa06c0d148 (__TEXT,__text) non-external -[NFPromise alwaysOn:always:]
00007ffa06c0ca70 (__TEXT,__text) non-external -[NFPromise dealloc]
00007ffa06c0dab4 (__TEXT,__text) non-external -[NFPromise delayOn]
00007ffa06c0d9e2 (__TEXT,__text) non-external -[NFPromise delay]
00007ffa06c0caef (__TEXT,__text) non-external -[NFPromise error:]
00007ffa06c0d0b3 (__TEXT,__text) non-external -[NFPromise errorOn:error:]
00007ffa06c0d568 (__TEXT,__text) non-external -[NFPromise errorOn]
00007ffa06c0d4ab (__TEXT,__text) non-external -[NFPromise error]
00007ffa06c0c9ee (__TEXT,__text) non-external -[NFPromise initWithError:]
00007ffa06c0c754 (__TEXT,__text) non-external -[NFPromise initWithResolver:]
00007ffa06c0c950 (__TEXT,__text) non-external -[NFPromise initWithValue:]
00007ffa06c0c60f (__TEXT,__text) non-external -[NFPromise init]
00007ffa06c0d3a1 (__TEXT,__text) non-external -[NFPromise pipeOn]
00007ffa06c0d2a1 (__TEXT,__text) non-external -[NFPromise pipe]
00007ffa06c0d80b (__TEXT,__text) non-external -[NFPromise resolveOn]
00007ffa06c0d5d2 (__TEXT,__text) non-external -[NFPromise resolve]
00007ffa06c0dbe0 (__TEXT,__text) non-external -[NFPromise seal]
00007ffa06c0dbea (__TEXT,__text) non-external -[NFPromise setSeal:]
00007ffa06c0cab0 (__TEXT,__text) non-external -[NFPromise then:]
00007ffa06c0cb6d (__TEXT,__text) non-external -[NFPromise thenOn:then:]
00007ffa06c0d237 (__TEXT,__text) non-external -[NFPromise thenOn]
00007ffa06c0d1d0 (__TEXT,__text) non-external -[NFPromise then]
00007ffa06c0f00b (__TEXT,__text) non-external -[NFPromiseSeal .cxx_destruct]
00007ffa06c0e9b3 (__TEXT,__text) non-external -[NFPromiseSeal alwaysOn:always:]
00007ffa06c0e600 (__TEXT,__text) non-external -[NFPromiseSeal dealloc]
00007ffa06c113a0 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.1
00007ffa06c11467 (__TEXT,__text) non-external -[NFPromiseSeal dealloc].cold.2
00007ffa06c0efb7 (__TEXT,__text) non-external -[NFPromiseSeal error]
00007ffa06c0efe6 (__TEXT,__text) non-external -[NFPromiseSeal handlers]
00007ffa06c0e58d (__TEXT,__text) non-external -[NFPromiseSeal initWithError:]
00007ffa06c0e51a (__TEXT,__text) non-external -[NFPromiseSeal initWithValue:]
00007ffa06c0e49d (__TEXT,__text) non-external -[NFPromiseSeal init]
00007ffa06c0f001 (__TEXT,__text) non-external -[NFPromiseSeal lock]
00007ffa06c0eade (__TEXT,__text) non-external -[NFPromiseSeal registerHandler:]
00007ffa06c0e713 (__TEXT,__text) non-external -[NFPromiseSeal reject:]
00007ffa06c0e6fc (__TEXT,__text) non-external -[NFPromiseSeal resolve:]
00007ffa06c0e730 (__TEXT,__text) non-external -[NFPromiseSeal resolveOn:reject:resolve:]
00007ffa06c0ec51 (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:]
00007ffa06c1152e (__TEXT,__text) non-external -[NFPromiseSeal seal:error:resolution:].cold.1
00007ffa06c0efc1 (__TEXT,__text) non-external -[NFPromiseSeal setError:]
00007ffa06c0eff0 (__TEXT,__text) non-external -[NFPromiseSeal setHandlers:]
00007ffa06c0efdc (__TEXT,__text) non-external -[NFPromiseSeal setState:]
00007ffa06c0efa6 (__TEXT,__text) non-external -[NFPromiseSeal setValue:]
00007ffa06c0efd2 (__TEXT,__text) non-external -[NFPromiseSeal state]
00007ffa06c0ef9c (__TEXT,__text) non-external -[NFPromiseSeal value]
00007ffa06c0f505 (__TEXT,__text) non-external -[NFReachability .cxx_destruct]
00007ffa06c0f3ea (__TEXT,__text) non-external -[NFReachability _statusFromNetworkPath:]
00007ffa06c0f2e9 (__TEXT,__text) non-external -[NFReachability _updateCurrentNetworkPath:]
00007ffa06c0f4ea (__TEXT,__text) non-external -[NFReachability currentNetworkPath]
00007ffa06c0f4a0 (__TEXT,__text) non-external -[NFReachability currentReachabilityStatus]
00007ffa06c0f2af (__TEXT,__text) non-external -[NFReachability dealloc]
00007ffa06c0f114 (__TEXT,__text) non-external -[NFReachability init]
00007ffa06c0f4cf (__TEXT,__text) non-external -[NFReachability networkPathMonitor]
00007ffa06c0f4b4 (__TEXT,__text) non-external -[NFReachability observationQueue]
00007ffa06c0f4f4 (__TEXT,__text) non-external -[NFReachability setCurrentNetworkPath:]
00007ffa06c0f4aa (__TEXT,__text) non-external -[NFReachability setCurrentReachabilityStatus:]
00007ffa06c0f4d9 (__TEXT,__text) non-external -[NFReachability setNetworkPathMonitor:]
00007ffa06c0f4be (__TEXT,__text) non-external -[NFReachability setObservationQueue:]
00007ffa06c0bf75 (__TEXT,__text) non-external -[NFStateMachine .cxx_destruct]
00007ffa06c0afcd (__TEXT,__text) non-external -[NFStateMachine activateIfNeeded]
00007ffa06c0af4f (__TEXT,__text) non-external -[NFStateMachine activate]
00007ffa06c0b212 (__TEXT,__text) non-external -[NFStateMachine addEvent:]
00007ffa06c11212 (__TEXT,__text) non-external -[NFStateMachine addEvent:].cold.1
00007ffa06c0b0e7 (__TEXT,__text) non-external -[NFStateMachine addState:]
00007ffa06c1114b (__TEXT,__text) non-external -[NFStateMachine addState:].cold.1
00007ffa06c0b099 (__TEXT,__text) non-external -[NFStateMachine deactivateIfNeeded]
00007ffa06c0b01b (__TEXT,__text) non-external -[NFStateMachine deactivate]
00007ffa06c0ae5b (__TEXT,__text) non-external -[NFStateMachine debugDescription]
00007ffa06c0adbd (__TEXT,__text) non-external -[NFStateMachine description]
00007ffa06c0bf2b (__TEXT,__text) non-external -[NFStateMachine events]
00007ffa06c0b33d (__TEXT,__text) non-external -[NFStateMachine fireEventWithName:withContext:]
00007ffa06c0ac72 (__TEXT,__text) non-external -[NFStateMachine initWithState:withOwner:]
00007ffa06c0bf46 (__TEXT,__text) non-external -[NFStateMachine lock]
00007ffa06c0bee9 (__TEXT,__text) non-external -[NFStateMachine owner]
00007ffa06c0bf35 (__TEXT,__text) non-external -[NFStateMachine setEvents:]
00007ffa06c0bf50 (__TEXT,__text) non-external -[NFStateMachine setLock:]
00007ffa06c0beff (__TEXT,__text) non-external -[NFStateMachine setOwner:]
00007ffa06c0bed8 (__TEXT,__text) non-external -[NFStateMachine setState:]
00007ffa06c0bf1a (__TEXT,__text) non-external -[NFStateMachine setStates:]
00007ffa06c0bec4 (__TEXT,__text) non-external -[NFStateMachine setStatus:]
00007ffa06c0bf6b (__TEXT,__text) non-external -[NFStateMachine setStatusToken:]
00007ffa06c0bece (__TEXT,__text) non-external -[NFStateMachine state]
00007ffa06c0bf10 (__TEXT,__text) non-external -[NFStateMachine states]
00007ffa06c0bf61 (__TEXT,__text) non-external -[NFStateMachine statusToken]
00007ffa06c0beba (__TEXT,__text) non-external -[NFStateMachine status]
00007ffa06c0fa7c (__TEXT,__text) non-external -[NFStateMachineEvent .cxx_destruct]
00007ffa06c0f853 (__TEXT,__text) non-external -[NFStateMachineEvent description]
00007ffa06c0fa48 (__TEXT,__text) non-external -[NFStateMachineEvent destinationState]
00007ffa06c0fa63 (__TEXT,__text) non-external -[NFStateMachineEvent fireBlock]
00007ffa06c0f939 (__TEXT,__text) non-external -[NFStateMachineEvent fired:withOwner:]
00007ffa06c0f738 (__TEXT,__text) non-external -[NFStateMachineEvent hash]
00007ffa06c0f681 (__TEXT,__text) non-external -[NFStateMachineEvent initWithName:transitionFromStates:toState:]
00007ffa06c0f77c (__TEXT,__text) non-external -[NFStateMachineEvent isEqual:]
00007ffa06c0fa14 (__TEXT,__text) non-external -[NFStateMachineEvent name]
00007ffa06c0f919 (__TEXT,__text) non-external -[NFStateMachineEvent onFire:]
00007ffa06c0fa52 (__TEXT,__text) non-external -[NFStateMachineEvent setDestinationState:]
00007ffa06c0fa6d (__TEXT,__text) non-external -[NFStateMachineEvent setFireBlock:]
00007ffa06c0fa1e (__TEXT,__text) non-external -[NFStateMachineEvent setName:]
00007ffa06c0fa37 (__TEXT,__text) non-external -[NFStateMachineEvent setStates:]
00007ffa06c0fa2d (__TEXT,__text) non-external -[NFStateMachineEvent states]
00007ffa06c0fde7 (__TEXT,__text) non-external -[NFStateMachineState .cxx_destruct]
00007ffa06c0fd6a (__TEXT,__text) non-external -[NFStateMachineState canTryBlock]
00007ffa06c0fc40 (__TEXT,__text) non-external -[NFStateMachineState description]
00007ffa06c0fdce (__TEXT,__text) non-external -[NFStateMachineState didEnterBlock]
00007ffa06c0fdb5 (__TEXT,__text) non-external -[NFStateMachineState didExitBlock]
00007ffa06c0fb25 (__TEXT,__text) non-external -[NFStateMachineState hash]
00007ffa06c0faba (__TEXT,__text) non-external -[NFStateMachineState initWithName:]
00007ffa06c0fb69 (__TEXT,__text) non-external -[NFStateMachineState isEqual:]
00007ffa06c0fd51 (__TEXT,__text) non-external -[NFStateMachineState name]
00007ffa06c0fcb1 (__TEXT,__text) non-external -[NFStateMachineState onCanTry:]
00007ffa06c0fd31 (__TEXT,__text) non-external -[NFStateMachineState onDidEnter:]
00007ffa06c0fcf1 (__TEXT,__text) non-external -[NFStateMachineState onDidExit:]
00007ffa06c0fd11 (__TEXT,__text) non-external -[NFStateMachineState onWillEnter:]
00007ffa06c0fcd1 (__TEXT,__text) non-external -[NFStateMachineState onWillExit:]
00007ffa06c0fd74 (__TEXT,__text) non-external -[NFStateMachineState setCanTryBlock:]
00007ffa06c0fdd8 (__TEXT,__text) non-external -[NFStateMachineState setDidEnterBlock:]
00007ffa06c0fdbf (__TEXT,__text) non-external -[NFStateMachineState setDidExitBlock:]
00007ffa06c0fd5b (__TEXT,__text) non-external -[NFStateMachineState setName:]
00007ffa06c0fda6 (__TEXT,__text) non-external -[NFStateMachineState setWillEnterBlock:]
00007ffa06c0fd8d (__TEXT,__text) non-external -[NFStateMachineState setWillExitBlock:]
00007ffa06c0fd9c (__TEXT,__text) non-external -[NFStateMachineState willEnterBlock]
00007ffa06c0fd83 (__TEXT,__text) non-external -[NFStateMachineState willExitBlock]
00007ffa06c0fe3b (__TEXT,__text) non-external -[NFStateMachineState(Private) canTry:withOwner:]
00007ffa06c10115 (__TEXT,__text) non-external -[NFStateMachineState(Private) didEnter:withOwner:]
00007ffa06c1003a (__TEXT,__text) non-external -[NFStateMachineState(Private) didExit:withOwner:]
00007ffa06c0ff93 (__TEXT,__text) non-external -[NFStateMachineState(Private) willEnter:withOwner:]
00007ffa06c0feec (__TEXT,__text) non-external -[NFStateMachineState(Private) willExit:withOwner:]
00007ffa06c09550 (__TEXT,__text) non-external -[NFStateMachineTransition .cxx_destruct]
00007ffa06c09535 (__TEXT,__text) non-external -[NFStateMachineTransition context]
00007ffa06c093d8 (__TEXT,__text) non-external -[NFStateMachineTransition description]
00007ffa06c094e4 (__TEXT,__text) non-external -[NFStateMachineTransition event]
00007ffa06c094ff (__TEXT,__text) non-external -[NFStateMachineTransition fromState]
00007ffa06c092d6 (__TEXT,__text) non-external -[NFStateMachineTransition initWithStateMachine:event:fromState:toState:context:]
00007ffa06c0953f (__TEXT,__text) non-external -[NFStateMachineTransition setContext:]
00007ffa06c094ee (__TEXT,__text) non-external -[NFStateMachineTransition setEvent:]
00007ffa06c09509 (__TEXT,__text) non-external -[NFStateMachineTransition setFromState:]
00007ffa06c094d3 (__TEXT,__text) non-external -[NFStateMachineTransition setStateMachine:]
00007ffa06c09524 (__TEXT,__text) non-external -[NFStateMachineTransition setToState:]
00007ffa06c094c9 (__TEXT,__text) non-external -[NFStateMachineTransition stateMachine]
00007ffa06c0951a (__TEXT,__text) non-external -[NFStateMachineTransition toState]
00007ffa06c09203 (__TEXT,__text) non-external -[NFUnfairLock initWithOptions:]
00007ffa06c0924c (__TEXT,__text) non-external -[NFUnfairLock init]
00007ffa06c092b7 (__TEXT,__text) non-external -[NFUnfairLock lock]
00007ffa06c09260 (__TEXT,__text) non-external -[NFUnfairLock performWithLockSync:]
00007ffa06c092c8 (__TEXT,__text) non-external -[NFUnfairLock unlock]
00007ffa06c0dc16 (__TEXT,__text) non-external -[NFVoid copyWithZone:]
00007ffa06c0abfa (__TEXT,__text) non-external -[NSError(NFStateMachine) fc_isStateMachineError:]
00007ffa06c0c3b4 (__TEXT,__text) non-external -[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:]
00007ffa06c0e208 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_sha1]
00007ffa06c0e307 (__TEXT,__text) non-external -[NSString(NFAdditions) nf_stringByReversingString]
00007ffa06c0bfbc (__TEXT,__text) non-external -[NSUserDefaults(NFAdditions) nf_migrateObjectForKey:toKey:]
00007ffa06c10ad0 (__TEXT,__text) non-external -[NSValue(NFAdditions) nf_CGRectValue]
00007ffa06c12fa4 (__TEXT,__gcc_except_tab) non-external GCC_except_table19
00007ffa06c13000 (__TEXT,__gcc_except_tab) non-external GCC_except_table2
                 (undefined) external _BOMCopierCopyWithOptions (from Bom)
                 (undefined) external _BOMCopierFree (from Bom)
                 (undefined) external _BOMCopierNew (from Bom)
                 (undefined) external _BOMCopierSetCopyFileFinishedHandler (from Bom)
                 (undefined) external _BOMCopierSetUserData (from Bom)
                 (undefined) external _BOMCopierUserData (from Bom)
                 (undefined) external _CC_SHA1 (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
00007ffa06c0a986 (__TEXT,__text) non-external _NFArchiverCopyFileFinishedHandler
00007ffa06c10c68 (__TEXT,__text) external _NFDeviceHasExtendedColorDisplay
00007ffa425fd680 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.hasExtendedColorDisplay
00007ffa425fd688 (__DATA,__bss) non-external _NFDeviceHasExtendedColorDisplay.onceToken
00007ffa06c10b5a (__TEXT,__text) external _NFDeviceIsA7
00007ffa06c10b62 (__TEXT,__text) external _NFDeviceIsA8
00007ffa06c10c4d (__TEXT,__text) external _NFDeviceModelString
00007ffa06c10c32 (__TEXT,__text) external _NFDeviceOSVersion
00007ffa06c10b6a (__TEXT,__text) external _NFDevicePlatform
00007ffa44336520 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.onceToken
00007ffa44336518 (__DATA_DIRTY,__bss) non-external _NFDevicePlatform.s_platformString
00007ffa06c10c25 (__TEXT,__text) external _NFGeneralDeviceString
00007ffa06c09150 (__TEXT,__text) external _NFInternalBuild
00007ffa425fd678 (__DATA,__bss) non-external _NFInternalBuild.internalBuild
00007ffa443364d8 (__DATA_DIRTY,__bss) non-external _NFInternalBuild.onceToken
00007ffa06c0f049 (__TEXT,__text) external _NFLockSync
00007ffa06c0e3e0 (__TEXT,__text) external _NFPromiseInvokeOnQueue
00007ffa06c09194 (__TEXT,__text) external _NFSeedBuild
00007ffa40539098 (__DATA_CONST,__const) external _NFStateMachineErrorDomain
00007ffa06c0919c (__TEXT,__text) external _NFStoreDemoMode
00007ffa443364e0 (__DATA_DIRTY,__bss) non-external _NFStoreDemoMode.onceToken
00007ffa425fd679 (__DATA,__bss) non-external _NFStoreDemoMode.storeDemoMode
                 (undefined) external _NSGetSizeAndAlignment (from CoreFoundation)
                 (undefined) external _NSInternalInconsistencyException (from CoreFoundation)
                 (undefined) external _NSKeyedArchiveRootObjectKey (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
00007ffa06c12340 (__TEXT,__const) external _NewsFoundationVersionNumber
00007ffa06c12300 (__TEXT,__const) external _NewsFoundationVersionString
00007ffa425fd370 (__DATA,__objc_data) external _OBJC_CLASS_$_NFArchiver
00007ffa44336208 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventManager
00007ffa44336230 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFEventTrigger
00007ffa443362a8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFLazy
00007ffa44336488 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMultiDelegate
00007ffa44336438 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFMutexLock
00007ffa425fd2f8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFPendingPromise
00007ffa443362f8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromise
00007ffa44336398 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFPromiseSeal
00007ffa443363e8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFReachability
00007ffa425fd398 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachine
00007ffa425fd3e8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineEvent
00007ffa425fd438 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineState
00007ffa425fd2a8 (__DATA,__objc_data) external _OBJC_CLASS_$_NFStateMachineTransition
00007ffa443361b8 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFUnfairLock
00007ffa44336370 (__DATA_DIRTY,__objc_data) external _OBJC_CLASS_$_NFVoid
                 (undefined) external _OBJC_CLASS_$_NSBlock (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHashTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSValue (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffa425fd168 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._events
00007ffa425fd170 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventManager._triggers
00007ffa425fd198 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._block
00007ffa425fd190 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa425fd180 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00007ffa425fd178 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00007ffa425fd188 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00007ffa425fd1e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00007ffa425fd1e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00007ffa425fd1d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00007ffa425fd298 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00007ffa425fd2a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00007ffa425fd240 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00007ffa425fd150 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00007ffa425fd160 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00007ffa425fd158 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
