0000000184391f08 (__DATA,__data) non-external _C
000000018027b274 (__TEXT,__text) non-external __GB2312_wcrtomb
000000018027b2e4 (__TEXT,__text) non-external (was a private external) __GBK_init
000000018027b334 (__TEXT,__text) non-external __GBK_mbrtowc
000000018027b458 (__TEXT,__text) non-external __GBK_mbsinit
000000018027b404 (__TEXT,__text) non-external __GBK_wcrtomb
000000018027ccc0 (__TEXT,__text) non-external (was a private external) __MSKanji_init
000000018027cd10 (__TEXT,__text) non-external __MSKanji_mbrtowc
000000018027ce5c (__TEXT,__text) non-external __MSKanji_mbsinit
000000018027cdf0 (__TEXT,__text) non-external __MSKanji_wcrtomb
000000018025dac0 (__TEXT,__text) external __NSGetArgc
000000018025dab4 (__TEXT,__text) external __NSGetArgv
000000018025dacc (__TEXT,__text) external __NSGetEnviron
000000018025dae4 (__TEXT,__text) external __NSGetMachExecuteHeader
000000018025dad8 (__TEXT,__text) external __NSGetProgname
000000018439e8f0 (__DATA,__common) external __PathLocale
00000001802a87dc (__TEXT,__text) external __Read_RuneMagi
000000018029f76c (__TEXT,__text) non-external (was a private external) __UTF2_init
000000018029f7e4 (__TEXT,__text) non-external __UTF2_mbrtowc
000000018029f9d8 (__TEXT,__text) non-external __UTF2_mbsinit
000000018029f9f4 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
000000018029f930 (__TEXT,__text) non-external __UTF2_wcrtomb
000000018029fb9c (__TEXT,__text) non-external __UTF2_wcsnrtombs
000000018027ec88 (__TEXT,__text) non-external (was a private external) __UTF8_init
000000018027ed00 (__TEXT,__text) non-external __UTF8_mbrtowc
000000018027efb4 (__TEXT,__text) non-external __UTF8_mbsinit
000000018027efd0 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
000000018027eee4 (__TEXT,__text) non-external __UTF8_wcrtomb
000000018027f178 (__TEXT,__text) non-external __UTF8_wcsnrtombs
000000018026b278 (__TEXT,__text) external ___Balloc_D2A
000000018026b3fc (__TEXT,__text) external ___Bfree_D2A
000000018026f614 (__TEXT,__text) external ___ULtod_D2A
000000018025b458 (__TEXT,__text) external ____mb_cur_max
000000018025b484 (__TEXT,__text) external ____mb_cur_max_l
000000018027da30 (__TEXT,__text) external ____runetype
000000018027d988 (__TEXT,__text) external ____runetype_l
000000018027eb9c (__TEXT,__text) external ____tolower
000000018027eaf8 (__TEXT,__text) external ____tolower_l
000000018027ec64 (__TEXT,__text) external ____toupper
000000018027ebc0 (__TEXT,__text) external ____toupper_l
00000001802bbd20 (__TEXT,__text) non-external (was a private external) ___abort
00000001802654f0 (__TEXT,__text) external ___add_ovflpage
0000000180265260 (__TEXT,__text) external ___addel
000000018026c038 (__TEXT,__text) external ___any_on_D2A
00000001802bb154 (__TEXT,__text) external ___assert_rtn
000000018439e820 (__DATA,__bss) non-external ___atexit
000000018029ffe8 (__TEXT,__text) non-external (was a private external) ___atexit_init
000000018439e828 (__DATA,__bss) non-external ___atexit_new_registration
000000018026bba0 (__TEXT,__text) external ___b2d_D2A
0000000180263990 (__TEXT,__text) external ___big_delete
00000001802636fc (__TEXT,__text) external ___big_insert
0000000180264050 (__TEXT,__text) external ___big_keydata
0000000180263cdc (__TEXT,__text) external ___big_return
00000001802641d0 (__TEXT,__text) external ___big_split
00000001802bcf60 (__TEXT,__const) external ___bigtens_D2A
000000018025e61c (__TEXT,__text) external ___bt_close
0000000180262250 (__TEXT,__text) external ___bt_cmp
0000000180262314 (__TEXT,__text) external ___bt_defcmp
0000000180262358 (__TEXT,__text) external ___bt_defpfx
000000018025eac4 (__TEXT,__text) external ___bt_delete
000000018025f0b4 (__TEXT,__text) external ___bt_dleaf
000000018025ff08 (__TEXT,__text) external ___bt_fd
0000000180260e54 (__TEXT,__text) non-external ___bt_first
0000000180260210 (__TEXT,__text) external ___bt_free
000000018025f748 (__TEXT,__text) external ___bt_get
0000000180260238 (__TEXT,__text) external ___bt_new
000000018025f838 (__TEXT,__text) external ___bt_open
000000018025f490 (__TEXT,__text) non-external ___bt_pdelete
000000018025e7b8 (__TEXT,__text) external ___bt_pgin
000000018025e950 (__TEXT,__text) external ___bt_pgout
00000001802602b4 (__TEXT,__text) external ___bt_put
000000018025f6b8 (__TEXT,__text) non-external ___bt_relink
00000001802620bc (__TEXT,__text) external ___bt_ret
00000001802607c4 (__TEXT,__text) external ___bt_search
0000000180260a00 (__TEXT,__text) external ___bt_seq
0000000180260df8 (__TEXT,__text) external ___bt_setcur
0000000180261074 (__TEXT,__text) external ___bt_split
000000018025e6dc (__TEXT,__text) external ___bt_sync
00000001802647a0 (__TEXT,__text) external ___buf_free
0000000180264770 (__TEXT,__text) non-external (was a private external) ___buf_init
0000000184391f10 (__DATA,__data) non-external ___c_locale
00000001802adef8 (__TEXT,__text) non-external ___calc_left_pad
0000000180263220 (__TEXT,__text) external ___call_hash
0000000184392d88 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00000001802ba54c (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00000001802ba568 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00000001802ba548 (__TEXT,__text) non-external (was a private external) ___chk_init
00000001802ba584 (__TEXT,__text) non-external (was a private external) ___chk_overlap
000000018439e958 (__DATA,__common) external ___cleanup
000000018026b9e4 (__TEXT,__text) external ___cmp_D2A
000000018027a058 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
000000018027a210 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
000000018027a37c (__TEXT,__text) external ___collate_equiv_match
000000018027a67c (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180279800 (__TEXT,__text) non-external (was a private external) ___collate_err
00000001843925d0 (__DATA,__data) external ___collate_load_error
0000000180278e68 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
0000000184393cd0 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180279b74 (__TEXT,__text) external ___collate_lookup
00000001802798bc (__TEXT,__text) external ___collate_lookup_l
0000000180279d44 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
0000000180279c50 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
000000018027a7b8 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
0000000184393cd8 (__DATA,__bss) non-external ___collate_range_cmp.s1
0000000184393ce0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00000001802795bc (__TEXT,__text) non-external (was a private external) ___collate_substitute
00000001802797ac (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
0000000180279e20 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
0000000180253c28 (__TEXT,__text) non-external (was a private external) ___confstr_init
000000018026bfa0 (__TEXT,__text) external ___copybits_D2A
00000001802a7cb4 (__TEXT,__text) non-external ___cvt
000000018439e890 (__DATA,__bss) non-external ___cvt.s
00000001802a01a8 (__TEXT,__text) external ___cxa_atexit
00000001802a04a8 (__TEXT,__text) external ___cxa_finalize
00000001802a01dc (__TEXT,__text) external ___cxa_finalize_ranges
000000018026bca0 (__TEXT,__text) external ___d2b_D2A
000000018439e910 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00000001802624c0 (__TEXT,__text) non-external ___dberr
0000000180262468 (__TEXT,__text) external ___dbpanic
000000018026d474 (__TEXT,__text) external ___decrement_D2A
00000001843a8b98 (__AUTH,__data) external ___default_hash
00000001802649b0 (__TEXT,__text) external ___delpair
000000018027e284 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
000000018026ba3c (__TEXT,__text) external ___diff_D2A
0000000184393a28 (__DATA,__bss) non-external ___dirhelper_func
00000001802686b0 (__TEXT,__text) external ___dtoa
000000018439e978 (__DATA,__common) non-external (was a private external) ___env_owned
00000001802a086c (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
000000018439e82c (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
000000018029cc94 (__TEXT,__text) non-external (was a private external) ___errstr
0000000180286328 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00000001802630b8 (__TEXT,__text) external ___expand_table
0000000184395748 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
0000000180282f58 (__TEXT,__text) external ___fflush
00000001802833f0 (__TEXT,__text) external ___fgetwc
0000000180286cd0 (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180263b10 (__TEXT,__text) external ___find_bigpair
0000000180263c40 (__TEXT,__text) external ___find_last_page
0000000180287ef4 (__TEXT,__text) non-external (was a private external) ___find_warguments
00000001802a07b4 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00000001802bd100 (__TEXT,__const) non-external (was a private external) ___fivesbits_D2A
000000018027ad24 (__TEXT,__text) external ___fix_locale_grouping_str
000000018027ae00 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180284188 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180284758 (__TEXT,__text) external ___fread
0000000180265e8c (__TEXT,__text) external ___free_ovflpage
0000000180268550 (__TEXT,__text) external ___freedtoa
00000001802548c4 (__TEXT,__text) non-external ___fts_open
000000018026951c (__TEXT,__text) external ___gdtoa
000000018439e8c0 (__DATA,__common) external ___gdtoa_locks
0000000180264370 (__TEXT,__text) external ___get_buf
000000018027ba08 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
000000018027bfd0 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
000000018027c37c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
000000018029c264 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
000000018027dfac (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180265910 (__TEXT,__text) external ___get_page
0000000180273700 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
0000000184395730 (__DATA,__bss) non-external ___getevp.predicate
000000018026a638 (__TEXT,__text) external ___gethex_D2A
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000184391938 (__DATA,__data) non-external (was a private external) ___global_locale
000000018029fd48 (__TEXT,__text) non-external (was a private external) ___guard_setup
00000001802624c8 (__TEXT,__text) external ___hash_open
0000000180268124 (__TEXT,__text) external ___hdtoa
00000001802a8474 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00000001802bce48 (__TEXT,__const) external ___hexdig_D2A
000000018026b13c (__TEXT,__text) external ___hexdig_init_D2A
000000018026b140 (__TEXT,__text) external ___hexnan_D2A
000000018026b5e0 (__TEXT,__text) external ___hi0bits_D2A
0000000180268498 (__TEXT,__text) external ___hldtoa
000000018026b658 (__TEXT,__text) external ___i2b_D2A
0000000180265dcc (__TEXT,__text) external ___ibitmap
000000018026d3c4 (__TEXT,__text) external ___increment_D2A
00000001802a56ec (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
000000018027d51c (__TEXT,__text) external ___isctype
000000018027d4dc (__TEXT,__text) external ___istype
000000018027d668 (__TEXT,__text) external ___istype_l
0000000184392549 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
000000018027b6a8 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00000001802a8740 (__TEXT,__text) external ___ldtoa
000000018025da34 (__TEXT,__text) external ___libc_init
000000018026b474 (__TEXT,__text) external ___lo0bits_D2A
0000000180286370 (__TEXT,__text) non-external ___loadevp
0000000184391f00 (__DATA,__data) non-external (was a private external) ___locale_key
0000000180264980 (__TEXT,__text) external ___log2
00000001802bdc48 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
000000018026b8d8 (__TEXT,__text) external ___lshift_D2A
000000018027d47c (__TEXT,__text) external ___maskrune
000000018027d600 (__TEXT,__text) external ___maskrune_l
000000018026bf5c (__TEXT,__text) external ___match_D2A
00000001843925d8 (__DATA,__data) external ___mb_cur_max
00000001843925dc (__DATA,__data) external ___mb_sb_limit
000000018029272c (__TEXT,__text) non-external ___mbsconv
000000018027c858 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00000001802ba7f4 (__TEXT,__text) external ___memccpy_chk
00000001802bab24 (__TEXT,__text) external ___memcpy_chk
00000001802ba760 (__TEXT,__text) external ___memmove_chk
00000001802ba5c8 (__TEXT,__text) external ___memset_chk
000000018027b6b8 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
0000000184393ce8 (__DATA,__bss) non-external ___messages_load_locale.cache
000000018027ba28 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000184393cf8 (__DATA,__bss) non-external ___monetary_load_locale.cache
000000018026b688 (__TEXT,__text) external ___mult_D2A
000000018026b528 (__TEXT,__text) external ___multadd_D2A
00000001802827c8 (__TEXT,__text) non-external ___nls_free_resources
00000001802bd73d (__TEXT,__const) non-external ___nogrouping
00000001802684f8 (__TEXT,__text) external ___nrv_alloc_D2A
000000018025b09c (__TEXT,__text) non-external (was a private external) ___numeric_ctype
000000018027bff0 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000184393d08 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
000000018027e32c (__TEXT,__text) non-external (was a private external) ___open_path_locale
0000000180273fcc (__TEXT,__text) external ___opendir2
00000001802740d4 (__TEXT,__text) non-external ___opendir_common
0000000180260144 (__TEXT,__text) external ___ovfl_delete
000000018025ff60 (__TEXT,__text) external ___ovfl_get
0000000180260048 (__TEXT,__text) external ___ovfl_put
000000018028f998 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
0000000184395770 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
0000000184395768 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001843929d8 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
000000018027b474 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
000000018439e8e0 (__DATA,__common) non-external (was a private external) ___popen_pidlist
0000000184392550 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
000000018026b7c0 (__TEXT,__text) external ___pow5mult_D2A
00000001802bcf50 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00000001802ab384 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00000001802bc070 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00000001802a978c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00000001802bbe94 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00000001802a98cc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00000001802bbec0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00000001802aa328 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00000001802bbf18 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00000001802aa5b0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00000001802bbf44 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00000001802abb7c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00000001802bc0f4 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00000001802abb64 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00000001802aad10 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00000001802bbfec (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00000001802aaddc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00000001802bc018 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00000001802ab0c4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00000001802bc044 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00000001802ab500 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00000001802bc09c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00000001802ab80c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00000001802bc0c8 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00000001802abc24 (__TEXT,__text) non-external (was a private external) ___printf_comp
00000001802ac390 (__TEXT,__text) non-external (was a private external) ___printf_exec
00000001802ab968 (__TEXT,__text) non-external (was a private external) ___printf_flush
000000018028aae0 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00000001802abab0 (__TEXT,__text) non-external (was a private external) ___printf_out
00000001802aba0c (__TEXT,__text) non-external (was a private external) ___printf_pad
00000001802ab9a0 (__TEXT,__text) non-external (was a private external) ___printf_puts
00000001802ab3cc (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00000001802a97b4 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00000001802a991c (__TEXT,__text) non-external (was a private external) ___printf_render_float
00000001802bbeec (__TEXT,__text) non-external ___printf_render_float.cold.1
00000001802aa358 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00000001802aa644 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00000001802bbf70 (__TEXT,__text) non-external ___printf_render_int.cold.1
00000001802bbfc0 (__TEXT,__text) non-external ___printf_render_int.cold.2
00000001802abba4 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00000001802abb6c (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00000001802aad48 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00000001802aae04 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00000001802ab104 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00000001802ab528 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00000001802ab834 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
000000018027329c (__TEXT,__text) non-external (was a private external) ___private_getcwd
0000000184393bb0 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
0000000180265ae0 (__TEXT,__text) external ___put_page
00000001802bd7d8 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180268564 (__TEXT,__text) external ___quorem_D2A
000000018026bec0 (__TEXT,__text) external ___ratio_D2A
000000018026687c (__TEXT,__text) external ___rec_close
0000000180266b70 (__TEXT,__text) external ___rec_delete
0000000180266cbc (__TEXT,__text) external ___rec_dleaf
0000000180267698 (__TEXT,__text) external ___rec_fd
000000018026712c (__TEXT,__text) external ___rec_fmap
0000000180266ef0 (__TEXT,__text) external ___rec_fpipe
0000000180266de4 (__TEXT,__text) external ___rec_get
00000001802679b8 (__TEXT,__text) external ___rec_iput
0000000180267318 (__TEXT,__text) external ___rec_open
00000001802676f0 (__TEXT,__text) external ___rec_put
0000000180267fbc (__TEXT,__text) external ___rec_ret
0000000180267bec (__TEXT,__text) external ___rec_search
0000000180267dc0 (__TEXT,__text) external ___rec_seq
0000000180266934 (__TEXT,__text) external ___rec_sync
0000000180267240 (__TEXT,__text) external ___rec_vmap
0000000180267008 (__TEXT,__text) external ___rec_vpipe
0000000180264878 (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
000000018026aff0 (__TEXT,__text) external ___rshift_D2A
000000018026d564 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
000000018026849c (__TEXT,__text) external ___rv_alloc_D2A
000000018026bdd4 (__TEXT,__text) external ___s2b_D2A
00000001843a8ba0 (__AUTH,__data) external ___sF
00000001843926c8 (__DATA,__data) non-external ___sFX
0000000180289bd4 (__TEXT,__text) external ___sclose
0000000184393f30 (__DATA,__bss) non-external ___scounted
000000018439e8f8 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
000000018026d4a8 (__TEXT,__text) external ___set_ones_D2A
00000001802a575c (__TEXT,__text) non-external (was a private external) ___setenv_locked
000000018027e44c (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000184393ee0 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000184393ee8 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00000001802adfa8 (__TEXT,__text) non-external ___setup_vars
0000000180283d74 (__TEXT,__text) external ___sflags
0000000180282dcc (__TEXT,__text) external ___sflush
00000001802838cc (__TEXT,__text) external ___sfp
0000000180283c58 (__TEXT,__text) non-external (was a private external) ___sfprelease
0000000180285468 (__TEXT,__text) external ___sfvwrite
0000000184392968 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
0000000180283ab4 (__TEXT,__text) external ___sinit
0000000180282ff0 (__TEXT,__text) external ___slbexpand
0000000180286038 (__TEXT,__text) external ___smakebuf
00000001802ba858 (__TEXT,__text) external ___snprintf_chk
00000001802ba894 (__TEXT,__text) external ___snprintf_object_size_chk
0000000180264b3c (__TEXT,__text) external ___split_page
0000000180292da8 (__TEXT,__text) non-external ___sprint
00000001802baa48 (__TEXT,__text) external ___sprintf_chk
00000001802baab8 (__TEXT,__text) external ___sprintf_object_size_chk
0000000180289b8c (__TEXT,__text) external ___sread
0000000180289580 (__TEXT,__text) external ___srefill
0000000180289368 (__TEXT,__text) non-external (was a private external) ___srefill0
0000000180289510 (__TEXT,__text) non-external (was a private external) ___srefill1
00000001802896b8 (__TEXT,__text) external ___srget
0000000180289bcc (__TEXT,__text) external ___sseek
000000018029feb0 (__TEXT,__text) external ___stack_chk_fail
000000018439e918 (__DATA,__common) external ___stack_chk_guard
0000000184392948 (__DATA,__data) external ___stderrp
0000000184392938 (__DATA,__data) external ___stdinp
0000000184395738 (__DATA,__bss) non-external ___stdout_evp
0000000184392940 (__DATA,__data) external ___stdoutp
00000001802ba9d8 (__TEXT,__text) external ___stpcpy_chk
00000001802bab4c (__TEXT,__text) external ___stpncpy_chk
00000001802ba8d8 (__TEXT,__text) external ___strcat_chk
000000018026bdb4 (__TEXT,__text) external ___strcp_D2A
00000001802ba788 (__TEXT,__text) external ___strcpy_chk
0000000184393f38 (__DATA,__bss) non-external ___stream_max
000000018439e800 (__DATA,__bss) non-external ___strerror_ebuf
00000001802ba46c (__TEXT,__text) external ___strlcat_chk
00000001802ba5f0 (__TEXT,__text) external ___strlcpy_chk
00000001802ba650 (__TEXT,__text) external ___strncat_chk
00000001802ba6f0 (__TEXT,__text) external ___strncpy_chk
000000018026d828 (__TEXT,__text) external ___strtodg
000000018026f244 (__TEXT,__text) external ___strtopdd
00000001802bd190 (__TEXT,__const) non-external ___strtopdd.fpi0
000000018026f6cc (__TEXT,__text) external ___sum_D2A
000000018028f96c (__TEXT,__text) external ___svfscanf
000000018028df2c (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00000001802bd820 (__TEXT,__const) non-external ___svfscanf_l.basefix
00000001802954a4 (__TEXT,__text) external ___swbuf
0000000180286264 (__TEXT,__text) external ___swhatbuf
0000000180289bac (__TEXT,__text) external ___swrite
00000001802956dc (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___sysctlbyname (from libsystem_kernel)
0000000184392c60 (__DATA,__data) non-external ___systemfn_mutex
0000000184392d48 (__DATA,__data) non-external ___systemfn_mutex
00000001802bcfb0 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00000001802581f4 (__TEXT,__text) non-external ___thread_stack_async_pcs
0000000180257fcc (__TEXT,__text) non-external ___thread_stack_pcs
000000018029c284 (__TEXT,__text) non-external (was a private external) ___time_load_locale
000000018439e7f8 (__DATA,__bss) non-external ___time_load_locale.cache
00000001802bcf88 (__TEXT,__const) external ___tinytens_D2A
000000018027d584 (__TEXT,__text) external ___tolower
000000018027d6cc (__TEXT,__text) external ___tolower_l
000000018027d548 (__TEXT,__text) external ___toupper
000000018027d6ac (__TEXT,__text) external ___toupper_l
000000018026b0c4 (__TEXT,__text) external ___trailz_D2A
000000018026f818 (__TEXT,__text) external ___ulp_D2A
000000018028dab0 (__TEXT,__text) non-external ___ultoa
00000001802929e4 (__TEXT,__text) non-external ___ultoa
000000018028a394 (__TEXT,__text) external ___ungetc
000000018028a52c (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00000001802a5ad8 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
