00000001e785b40c (__TEXT,__text) non-external _DiToMD5
00000001e786e88c (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e7848120 (__TEXT,__text) external _OSCollectionTypeName
00000001e786e834 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
000000021e87fb80 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e784d908 (__TEXT,__text) external _OSCollectionsInitialize
000000021e87fc78 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e7848278 (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e786e8e4 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e784b3a8 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001e786ef6c (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e784b27c (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e78494d0 (__TEXT,__text) external _OSDataAppendBytes
00000001e7849420 (__TEXT,__text) external _OSDataCreate
00000001e786eaf4 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001e78493b4 (__TEXT,__text) external _OSDataGetBytes
00000001e7849368 (__TEXT,__text) external _OSDataGetBytesPtr
00000001e78493a4 (__TEXT,__text) external _OSDataGetLength
000000021e87fdd8 (__AUTH_CONST,__const) external _OSData_Class
00000001e78496a0 (__TEXT,__text) external _OSDictionaryApply
00000001e7849620 (__TEXT,__text) external _OSDictionaryCreate
00000001e7849688 (__TEXT,__text) external _OSDictionaryGetCount
00000001e7849e5c (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e784a068 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e7849db8 (__TEXT,__text) external _OSDictionaryGetValue
00000001e7849fe4 (__TEXT,__text) external _OSDictionarySetStringValue
00000001e784a134 (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001e78499ec (__TEXT,__text) external _OSDictionarySetValue
000000021e87fed0 (__AUTH_CONST,__const) external _OSDictionary_Class
000000021e87ffc8 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e78495ac (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e7849584 (__TEXT,__text) external _OSNumberGetUInt64Value
000000021e8800c0 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e784b9b0 (__TEXT,__text) external _OSObjectLog
00000001e7848180 (__TEXT,__text) external _OSObjectRelease
00000001e784815c (__TEXT,__text) external _OSObjectRetain
000000021e8801b8 (__AUTH_CONST,__const) external _OSObject_Class
000000021e880368 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e783c288 (__TEXT,__text) external _OSReportWithBacktrace
00000001e784b4e0 (__TEXT,__text) external _OSSerializationGetBytes
000000021e880460 (__AUTH_CONST,__const) external _OSSerialization_Class
000000021e880558 (__AUTH_CONST,__const) external _OSSet_Class
00000001e7848d38 (__TEXT,__text) external _OSStringCreate
00000001e786e9c0 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e786e9ec (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001e786ea18 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001e7848ce0 (__TEXT,__text) external _OSStringGetLength
00000001e7848ca4 (__TEXT,__text) external _OSStringGetStringPtr
000000021e880650 (__AUTH_CONST,__const) external _OSString_Class
00000001e783bd10 (__TEXT,__text) external _OSSynchronizeIO
000000021a8d9408 (__DATA,__bss) non-external _OSUniqueStrings
00000001e783c6e0 (__TEXT,__text) external _PE_i_can_has_debugger
00000001e785b974 (__TEXT,__text) external _SHA1Final
00000001e785b6c4 (__TEXT,__text) external _SHA1Init
00000001e785b8f8 (__TEXT,__text) non-external _SHA1ToDi
00000001e785b808 (__TEXT,__text) external _SHA1Update
00000001e785c4bc (__TEXT,__text) external _SHA256_Final
00000001e785c41c (__TEXT,__text) external _SHA256_Init
00000001e786fa50 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001e785c46c (__TEXT,__text) external _SHA256_Update
00000001e785c5a0 (__TEXT,__text) external _SHA384_Final
00000001e785c500 (__TEXT,__text) external _SHA384_Init
00000001e786fa78 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001e785c550 (__TEXT,__text) external _SHA384_Update
00000001e785c684 (__TEXT,__text) external _SHA512_Final
00000001e785c5e4 (__TEXT,__text) external _SHA512_Init
00000001e786faa0 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001e785c634 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e783d300 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001e785c6c8 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000021e880748 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
000000021a8d93d8 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e783d664 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e786cd28 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e786cd54 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.2
00000001e783f430 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e786d56c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e786d598 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e786d5c4 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e786d5f0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e786d61c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e783e274 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e786d128 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e786d154 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e786d180 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e786d1ac (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e786d1fc (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.5
00000001e783d970 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e786ce04 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e784a6ac (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e784d89c (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e783d4c0 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e786cca4 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e786ccd0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e786ccfc (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e784a820 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e784a8d0 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e784a84c (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e783d6c4 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e784acfc (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e786ee0c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e786ee38 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e786ee64 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e786ee90 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e786eebc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e786eee8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001e783b85c (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e783b9a0 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e783dcb8 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001e786ce5c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001e783de38 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e783fba4 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e783d42c (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e783d378 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e784b4fc (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e786ef98 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e783d864 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e786cdac (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e786cdd8 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001e7848234 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e786e8b8 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e78481a4 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e786e860 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e783a650 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e7849300 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e784a97c (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e786eba4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e786ebd0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e786ebfc (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e786ec28 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e786ec54 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e78492c8 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e7849560 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e784aac0 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e786ec80 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e786ecac (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e786ecd8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e783f524 (__TEXT,__text) non-external (was a private external) __Z6ServerPvP17mach_msg_header_tS1_
00000001e786d648 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.1
00000001e786d674 (__TEXT,__text) non-external __Z6ServerPvP17mach_msg_header_tS1_.cold.2
00000001e783fb64 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e783ed28 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e786b31c (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e783b724 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e783cb58 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000001e786cc20 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000001e7847f7c (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e786b0c0 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e784caac (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e78706c0 (__TEXT,__const) non-external __ZL11yytranslate
00000001e786c954 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e786a998 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e786b1e0 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e786b4bc (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e786b53c (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e7849074 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001e7849024 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001e786ea44 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001e786bd74 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e785ccc0 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e7861df8 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e7846bb0 (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e786e5a0 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e786e5cc (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e786e5f8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e786b160 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e7861b78 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e7841118 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e786de94 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e786dec0 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e786deec (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e786df18 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e785fa34 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e7861810 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e786a238 (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e786b29c (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e783f7e4 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e786d6a0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e786d6cc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e786d6f8 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e786d724 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e78406e8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e786dc18 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e786dc44 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e786dc70 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e786dc9c (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e7847960 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e786e6d4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e786e700 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e786e72c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e786e758 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e786e784 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e786e7b0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e786e7dc (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
000000021a8d93f0 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001e785cde0 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001e78688a0 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001e786997c (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001e786b260 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001e783f998 (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001e783fa00 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e786d750 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e786d77c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
