00007ff841d647c0 (__DATA,__data) external _NDR_record
00007ff8003bbb3c (__TEXT,__text) external ___sendmsg_nocancel
00007ff8003bbc24 (__TEXT,__text) external ___sendto
00007ff8003bbaac (__TEXT,__text) external ___sendto_nocancel
00007ff8003bb09c (__TEXT,__text) external ___setattrlist
00007ff8003c1ea0 (__TEXT,__text) external ___setlogin
00007ff8003bedbc (__TEXT,__text) external ___setpriority
00007ff8003c3218 (__TEXT,__text) external ___setregid
00007ff8003c3230 (__TEXT,__text) external ___setreuid
00007ff8003ba89c (__TEXT,__text) external ___setrlimit
00007ff8003c3248 (__TEXT,__text) external ___setsgroups
00007ff8003bfdcc (__TEXT,__text) external ___settid
00007ff8003c3260 (__TEXT,__text) external ___settid_with_pid
00007ff8003c3278 (__TEXT,__text) external ___settimeofday
00007ff8003c3290 (__TEXT,__text) external ___setwgroups
00007ff8003bfff0 (__TEXT,__text) external ___sfi_ctl
00007ff8003c32a8 (__TEXT,__text) external ___sfi_pidctl
00007ff8003c32c0 (__TEXT,__text) external ___shared_region_check_np
00007ff8003c32d8 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff8003b999c (__TEXT,__text) external ___shm_open
00007ff8003c32f0 (__TEXT,__text) external ___shmctl
00007ff8003c3308 (__TEXT,__text) external ___shmsys
00007ff8003bd548 (__TEXT,__text) external ___sigaction
00007ff8003bb054 (__TEXT,__text) external ___sigaltstack
00007ff8003c1a18 (__TEXT,__text) external ___sigreturn
00007ff8003c3320 (__TEXT,__text) external ___sigsuspend
00007ff8003be298 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff8003c1a48 (__TEXT,__text) external ___sigwait
00007ff8003bbb24 (__TEXT,__text) external ___socketpair
00007ff8003c3338 (__TEXT,__text) external ___stack_snapshot_with_config
00007ff8003bcb6c (__TEXT,__text) external ___stat64_extended
00007ff8003c3350 (__TEXT,__text) external ___stat_extended
00007ff8003ba1b4 (__TEXT,__text) external ___syscall
00007ff841d64850 (__DATA,__common) external ___syscall_logger
00007ff8003b98e8 (__TEXT,__text) external ___sysctl
00007ff8003b9a50 (__TEXT,__text) external ___sysctlbyname
00007ff8003c3368 (__TEXT,__text) external ___telemetry
00007ff8003c0b84 (__TEXT,__text) external ___terminate_with_payload
00007ff8003b9d0c (__TEXT,__text) external ___thread_selfid
00007ff8003c3380 (__TEXT,__text) external ___thread_selfusage
00007ff8003b9d24 (__TEXT,__text) external ___ulock_wait
00007ff8003c3398 (__TEXT,__text) external ___ulock_wait2
00007ff8003b9da8 (__TEXT,__text) external ___ulock_wake
00007ff8003c33b0 (__TEXT,__text) external ___umask_extended
00007ff8003bb650 (__TEXT,__text) external ___unlink
00007ff8003c0290 (__TEXT,__text) external ___unlinkat
00007ff8003c33c8 (__TEXT,__text) external ___vfork
00007ff8003be204 (__TEXT,__text) external ___wait4
00007ff8003c2388 (__TEXT,__text) external ___wait4_nocancel
00007ff8003c3420 (__TEXT,__text) external ___waitid_nocancel
00007ff8003bf76c (__TEXT,__text) external ___work_interval_ctl
00007ff8003b9c94 (__TEXT,__text) external ___workq_kernreturn
00007ff8003b9cac (__TEXT,__text) external ___workq_open
00007ff8003bb5d8 (__TEXT,__text) external ___write_nocancel
00007ff8003c3438 (__TEXT,__text) external ___writev_nocancel
00007ff841d64840 (__DATA,__common) external __cpu_capabilities
00007ff841d6483c (__DATA,__common) external __cpu_has_altivec
00007ff843ad1c50 (__DATA_DIRTY,__data) non-external (was a private external) __current_pid
00007ff843ad2318 (__DATA_DIRTY,__bss) non-external __dlsym
00007ff8003c4cf3 (__TEXT,__text) non-external __execve_with_filter
00007ff8003be2b0 (__TEXT,__text) external __exit
00007ff8003bcfb8 (__TEXT,__text) external __get_cpu_capabilities
00007ff841d64870 (__DATA,__bss) non-external __gethostuuid_callback
00007ff8003c80c5 (__TEXT,__text) external __getprivatesystemidentifier
00007ff8003d27aa (__TEXT,__text) external __host_page_size
00007ff8003bcfa5 (__TEXT,__text) external __init_cpu_capabilities
00007ff8003d3514 (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff8003d452e (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff8003d4fa3 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff8003d4447 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff8003d4e7b (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff8003b844c (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff8003d658b (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff8003d59a4 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff8003b84a0 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff8003d4725 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff8003b8458 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff8003d4641 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff8003d5ad2 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff8003b84ac (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff8003d5475 (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff8003d579c (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff8003b8494 (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff8003c06ca (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff8003c0ebc (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff8003b8554 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff8003bc87f (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff8003bae9d (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff8003d6441 (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff8003c1fdf (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff8003d51c7 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff8003d5bbd (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff8003b8560 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff8003d5fa8 (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff8003d56b5 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff8003b8488 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff8003d4c96 (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff8003b847c (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff8003d632a (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff8003d5595 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff8003d5883 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff8003d6180 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff8003d480b (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff8003b8464 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff8003d4bac (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff8003b8470 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff8003d420d (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff8003d48f5 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff8003d4360 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff8003bb67f (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff8003b8650 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff8003ba64f (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff8003c1eef (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff8003d4ac4 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff8003d4d91 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff8003d5d90 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff8003d52da (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff8003d5e95 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff8003d6094 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff8003bf7f1 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff8003b8644 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff8003d5ca8 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff8003b856c (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff8003dc8f5 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff8003d66cb (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff8003b8404 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff8003d67ea (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff8003b841c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff8003b962d (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff8003b8440 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff8003d68d3 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff8003b8434 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff8003d7515 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff8003b8410 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff8003d6aaf (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff8003d7147 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff8003d7912 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff8003e0278 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff8003d50e3 (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff8003bc646 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff8003bd3b2 (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff8003de6a0 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff8003c21c3 (__TEXT,__text) external __kernelrpc_vm_map
00007ff8003df88b (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff8003bfe61 (__TEXT,__text) external __kernelrpc_vm_read
00007ff8003ba309 (__TEXT,__text) external __kernelrpc_vm_remap
00007ff8003df9a7 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff8003c416b (__TEXT,__text) non-external __libkernel_bzero
00007ff843ad2310 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00007ff84002d420 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff8003c41f5 (__TEXT,__text) non-external __libkernel_memmove
00007ff8003c4175 (__TEXT,__text) non-external __libkernel_memset
00007ff8003c414a (__TEXT,__text) non-external __libkernel_strchr
00007ff8003bcfc8 (__TEXT,__text) non-external __libkernel_strcmp
00007ff8003c457e (__TEXT,__text) non-external __libkernel_strcpy
00007ff843ad1c60 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00007ff8003c4e3d (__TEXT,__text) non-external __libkernel_strlcpy
00007ff8003c3f82 (__TEXT,__text) non-external __libkernel_strlen
00007ff843ad1c68 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00007ff8003e0930 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff8003c6214 (__TEXT,__text) non-external __mach_continuous_time
00007ff84002edf0 (__DATA_CONST,__const) external __mach_errors
00007ff8003c66d2 (__TEXT,__text) external __mach_fork_child
00007ff8003c6dd1 (__TEXT,__text) external __mach_snprintf
00007ff8003c6c46 (__TEXT,__text) external __mach_vsnprintf
00007ff843ad1cc0 (__DATA_DIRTY,__common) external __os_alloc_once_table
00007ff841d64810 (__DATA,__common) external __os_xbs_chrooted
00007ff8003bd92d (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff8003c45a6 (__TEXT,__text) non-external __posix_spawn_with_filter
00007ff8003c80ca (__TEXT,__text) external __register_gethostuuid_callback
00007ff8003c4335 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00007ff8003c43b1 (__TEXT,__text) non-external __system_version_compat_open_shim
00007ff843ad2328 (__DATA_DIRTY,__bss) non-external __task_reply_port
00007ff8003c3f58 (__TEXT,__text) external __thread_set_tsd_base
00007ff8003e0782 (__TEXT,__text) non-external _abort
00007ff8003e07a3 (__TEXT,__text) non-external _abort.561
00007ff8003e07c4 (__TEXT,__text) non-external _abort.563
00007ff8003e07e7 (__TEXT,__text) non-external _abort.586
00007ff8003e0897 (__TEXT,__text) external _abort_with_payload
00007ff8003e081c (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff8003e0809 (__TEXT,__text) external _abort_with_reason
00007ff8003bf27c (__TEXT,__text) external _accept
00007ff8003c2a50 (__TEXT,__text) external _accept$NOCANCEL
00007ff8003b8d34 (__TEXT,__text) external _access
00007ff8003c2a68 (__TEXT,__text) external _accessx_np
00007ff8003c3450 (__TEXT,__text) external _acct
00007ff8003dd508 (__TEXT,__text) external _act_get_state
00007ff8003dd6c2 (__TEXT,__text) external _act_set_state
00007ff8003c3468 (__TEXT,__text) external _adjtime
00007ff8003c3480 (__TEXT,__text) external _aio_cancel
00007ff8003c3498 (__TEXT,__text) external _aio_error
00007ff8003c34b0 (__TEXT,__text) external _aio_fsync
00007ff8003c34c8 (__TEXT,__text) external _aio_read
00007ff8003c34e0 (__TEXT,__text) external _aio_return
00007ff8003c34f8 (__TEXT,__text) external _aio_suspend
00007ff8003c2a80 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff8003c3510 (__TEXT,__text) external _aio_write
00007ff8003c3528 (__TEXT,__text) external _audit
00007ff8003c1a30 (__TEXT,__text) external _audit_session_join
00007ff8003c18d4 (__TEXT,__text) external _audit_session_port
00007ff8003bb844 (__TEXT,__text) external _audit_session_self
00007ff8003c3540 (__TEXT,__text) external _auditctl
00007ff8003bffc8 (__TEXT,__text) external _auditon
00007ff8003be768 (__TEXT,__text) external _bind
00007ff843ad1c74 (__DATA_DIRTY,__common) external _bootstrap_port
00007ff8003b99e4 (__TEXT,__text) external _cerror
00007ff8003b8cdb (__TEXT,__text) external _cerror_nocancel
00007ff8003bb7d0 (__TEXT,__text) external _change_fdguard_np
00007ff8003b9ac0 (__TEXT,__text) external _chdir
00007ff8003bed48 (__TEXT,__text) external _chflags
00007ff8003bb3d0 (__TEXT,__text) external _chmod
00007ff8003be750 (__TEXT,__text) external _chown
00007ff8003c3558 (__TEXT,__text) external _chroot
00007ff8003cfdfd (__TEXT,__text) external _clock_alarm
00007ff8003cfc2f (__TEXT,__text) external _clock_alarm_reply
00007ff8003cfc92 (__TEXT,__text) external _clock_get_attributes
00007ff8003bc9fa (__TEXT,__text) external _clock_get_time
