00000001d71fa898 (__DATA,__data) non-external _C
000000018b51d4d4 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
000000018b53793c (__TEXT,__text) external ___ldtoa
000000018b5062f0 (__TEXT,__text) external ___libc_init
000000018b4d1544 (__TEXT,__text) external ___lo0bits_D2A
000000018b4f0584 (__TEXT,__text) non-external ___loadevp
00000001d95b8ca8 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
000000018b50d244 (__TEXT,__text) external ___log2
00000001d71fc5f0 (__DATA,__common) non-external (was a private external) ___logname
00000001d71fa8d8 (__DATA,__data) non-external (was a private external) ___logname_mutex
000000018b54aff0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
000000018b4ec6ac (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
000000018b4e829c (__TEXT,__text) external ___maskrune
000000018b51ec28 (__TEXT,__text) external ___maskrune_l
000000018b511e54 (__TEXT,__text) external ___match_D2A
00000001d71fa960 (__DATA,__data) external ___mb_cur_max
00000001d71fa964 (__DATA,__data) external ___mb_sb_limit
000000018b52bfac (__TEXT,__text) non-external ___mbsconv
000000018b51e144 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
000000018b546f6c (__TEXT,__text) external ___memccpy_chk
000000018b4d5238 (__TEXT,__text) external ___memcpy_chk
000000018b4d57a8 (__TEXT,__text) external ___memmove_chk
000000018b4d63a8 (__TEXT,__text) external ___memset_chk
000000018b51d4e4 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00000001d71fc2f0 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
000000018b51d75c (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00000001d71fc300 (__DATA,__bss) non-external ___monetary_load_locale.cache
000000018b4f8e34 (__TEXT,__text) external ___mult_D2A
000000018b4f47b8 (__TEXT,__text) external ___multadd_D2A
000000018b523f40 (__TEXT,__text) non-external ___nls_free_resources
000000018b54aa8d (__TEXT,__const) non-external ___nogrouping
000000018b4d6ac0 (__TEXT,__text) external ___nrv_alloc_D2A
000000018b5025c0 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
000000018b51dc0c (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00000001d71fc310 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
000000018b4f63d4 (__TEXT,__text) non-external (was a private external) ___open_path_locale
000000018b4d7d28 (__TEXT,__text) external ___opendir2
000000018b4d65e8 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
000000018b50899c (__TEXT,__text) external ___ovfl_delete
000000018b5087b4 (__TEXT,__text) external ___ovfl_get
000000018b50889c (__TEXT,__text) external ___ovfl_put
000000018b4da570 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001d95b9bf8 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00000001d95b9bf0 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00000001d95b97b0 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
000000018b51d288 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00000001d71fc5f8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00000001d71fa918 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
000000018b4e3554 (__TEXT,__text) external ___pow5mult_D2A
000000018b54a290 (__TEXT,__const) non-external ___pow5mult_D2A.p05
000000018b53b0f4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
000000018b548810 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
000000018b539fb4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
000000018b548634 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
000000018b4decfc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
000000018b548660 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
000000018b53a12c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
000000018b5486b8 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
000000018b4f05d8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
000000018b5486e4 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
000000018b53b7cc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
000000018b548894 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
000000018b53b7b4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
000000018b53aa80 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
000000018b54878c (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
000000018b53ab4c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
000000018b5487b8 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
000000018b53ae34 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
000000018b5487e4 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
000000018b53b298 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
000000018b54883c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
000000018b53b5a4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
000000018b548868 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
000000018b4e94b0 (__TEXT,__text) non-external (was a private external) ___printf_comp
000000018b4e8f68 (__TEXT,__text) non-external (was a private external) ___printf_exec
000000018b4f76c4 (__TEXT,__text) non-external (was a private external) ___printf_flush
000000018b528a70 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
000000018b53b700 (__TEXT,__text) non-external (was a private external) ___printf_out
000000018b4f5cc0 (__TEXT,__text) non-external (was a private external) ___printf_pad
000000018b4dfab0 (__TEXT,__text) non-external (was a private external) ___printf_puts
000000018b53b13c (__TEXT,__text) non-external (was a private external) ___printf_render_chr
000000018b539fdc (__TEXT,__text) non-external (was a private external) ___printf_render_errno
000000018b4f2088 (__TEXT,__text) non-external (was a private external) ___printf_render_float
000000018b54868c (__TEXT,__text) non-external ___printf_render_float.cold.1
000000018b53a15c (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
000000018b53a3b4 (__TEXT,__text) non-external (was a private external) ___printf_render_int
000000018b548710 (__TEXT,__text) non-external ___printf_render_int.cold.1
000000018b548760 (__TEXT,__text) non-external ___printf_render_int.cold.2
000000018b53b7f4 (__TEXT,__text) non-external (was a private external) ___printf_render_n
000000018b53b7bc (__TEXT,__text) non-external (was a private external) ___printf_render_pct
000000018b53aab8 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
000000018b53ab74 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
000000018b53ae74 (__TEXT,__text) non-external (was a private external) ___printf_render_str
000000018b53b2c0 (__TEXT,__text) non-external (was a private external) ___printf_render_time
000000018b53b5cc (__TEXT,__text) non-external (was a private external) ___printf_render_vis
000000018b4dbff0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00000001d95b9968 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
000000018b50e3c4 (__TEXT,__text) external ___put_page
000000018b54ab70 (__TEXT,__const) non-external (was a private external) ___puts_null__
000000018b53c67c (__TEXT,__text) non-external (was a private external) ___pututxline
000000018b4f32bc (__TEXT,__text) external ___quorem_D2A
000000018b511db4 (__TEXT,__text) external ___ratio_D2A
000000018b50f180 (__TEXT,__text) external ___rec_close
000000018b50f470 (__TEXT,__text) external ___rec_delete
000000018b50f5bc (__TEXT,__text) external ___rec_dleaf
000000018b50ff98 (__TEXT,__text) external ___rec_fd
000000018b50fa2c (__TEXT,__text) external ___rec_fmap
000000018b50f7ec (__TEXT,__text) external ___rec_fpipe
000000018b50f6e4 (__TEXT,__text) external ___rec_get
000000018b5102bc (__TEXT,__text) external ___rec_iput
000000018b50fc1c (__TEXT,__text) external ___rec_open
000000018b50fff0 (__TEXT,__text) external ___rec_put
000000018b5108c0 (__TEXT,__text) external ___rec_ret
000000018b5104f8 (__TEXT,__text) external ___rec_search
000000018b5106cc (__TEXT,__text) external ___rec_seq
000000018b50f238 (__TEXT,__text) external ___rec_sync
