00007ff81349a999 (__TEXT,__text) external _CCAESCmac
00007ff8134977f1 (__TEXT,__text) external _CCDigestDestroy
00007ff8134977ae (__TEXT,__text) external _CCDigestFinal
00007ff81349bf72 (__TEXT,__text) external _CCDigestGetBlockSize
00007ff81349bfab (__TEXT,__text) external _CCDigestGetBlockSizeFromRef
00007ff813495a60 (__TEXT,__text) non-external (was a private external) _CCDigestGetDigestInfo
00007ff81349f39c (__TEXT,__text) non-external _CCDigestGetDigestInfo.cold.1
00007ff81349bf8f (__TEXT,__text) external _CCDigestGetOutputSize
00007ff81349bfe8 (__TEXT,__text) external _CCDigestGetOutputSizeFromRef
00007ff8134976f5 (__TEXT,__text) external _CCDigestInit
00007ff81349c008 (__TEXT,__text) external _CCDigestOID
00007ff81349c015 (__TEXT,__text) external _CCDigestOIDLen
00007ff81349774f (__TEXT,__text) external _CCDigestOutputSize
00007ff81349c086 (__TEXT,__text) external _CCDigestReset
00007ff813497772 (__TEXT,__text) external _CCDigestUpdate
00007ff81349d02a (__TEXT,__text) external _CCECCryptorBlind
00007ff81349cffc (__TEXT,__text) external _CCECCryptorBlindingKeysRelease
00007ff81349cd36 (__TEXT,__text) external _CCECCryptorComputeSharedSecret
00007ff81349c8ac (__TEXT,__text) external _CCECCryptorCreateFromData
00007ff81349cb60 (__TEXT,__text) external _CCECCryptorExportKey
00007ff81349cb38 (__TEXT,__text) external _CCECCryptorExportPublicKey
00007ff81349cf52 (__TEXT,__text) external _CCECCryptorGenerateBlindingKeys
00007ff81349c5a0 (__TEXT,__text) external _CCECCryptorGeneratePair
00007ff81349c869 (__TEXT,__text) external _CCECCryptorGetKeyComponents
00007ff81349f50d (__TEXT,__text) external _CCECCryptorGetPublicKeyFromPrivateKey
00007ff81349cea7 (__TEXT,__text) external _CCECCryptorH2C
00007ff81349c98c (__TEXT,__text) external _CCECCryptorImportKey
00007ff81349c975 (__TEXT,__text) external _CCECCryptorImportPublicKey
00007ff81349c96b (__TEXT,__text) external _CCECCryptorRelease
00007ff81349cc38 (__TEXT,__text) external _CCECCryptorSignHash
00007ff81349cd9a (__TEXT,__text) external _CCECCryptorTwinDiversifyEntropySize
00007ff81349cdae (__TEXT,__text) external _CCECCryptorTwinDiversifyKey
00007ff81349d082 (__TEXT,__text) external _CCECCryptorUnblind
00007ff81349cd2b (__TEXT,__text) external _CCECCryptorUnwrapKey
00007ff81349ccb2 (__TEXT,__text) external _CCECCryptorVerifyHash
00007ff81349cd20 (__TEXT,__text) external _CCECCryptorWrapKey
00007ff81349c956 (__TEXT,__text) external _CCECGetKeySize
00007ff81349c936 (__TEXT,__text) external _CCECGetKeyType
00007ff813499f9b (__TEXT,__text) external _CCHKDFExpand
00007ff813499f10 (__TEXT,__text) external _CCHKDFExtract
00007ff813496133 (__TEXT,__text) external _CCHmac
00007ff81349d5a1 (__TEXT,__text) external _CCHmacClone
00007ff81349d4e0 (__TEXT,__text) external _CCHmacCreate
00007ff81349d4a6 (__TEXT,__text) external _CCHmacDestroy
00007ff8134995fb (__TEXT,__text) external _CCHmacFinal
00007ff81349955f (__TEXT,__text) external _CCHmacInit
00007ff81349d55a (__TEXT,__text) external _CCHmacOneShot
00007ff81349d4d6 (__TEXT,__text) external _CCHmacOutputSize
00007ff81349d4ca (__TEXT,__text) external _CCHmacOutputSizeFromRef
00007ff8134995e4 (__TEXT,__text) external _CCHmacUpdate
00007ff813499b9a (__TEXT,__text) external _CCKDFParametersCreateAnsiX963
00007ff813499a1c (__TEXT,__text) external _CCKDFParametersCreateCtrHmac
00007ff813499aa8 (__TEXT,__text) external _CCKDFParametersCreateCtrHmacFixed
00007ff813499b0e (__TEXT,__text) external _CCKDFParametersCreateHkdf
00007ff8134999ac (__TEXT,__text) external _CCKDFParametersCreatePbkdf2
00007ff813499c00 (__TEXT,__text) external _CCKDFParametersDestroy
00007ff813499c24 (__TEXT,__text) external _CCKeyDerivationHMac
00007ff8134996a2 (__TEXT,__text) external _CCKeyDerivationPBKDF
00007ff81349dcf3 (__TEXT,__text) external _CCRSACryptorCreateFromData
00007ff81349d895 (__TEXT,__text) external _CCRSACryptorCreatePublicKeyFromPrivateKey
00007ff81349f6ae (__TEXT,__text) external _CCRSACryptorCrypt
00007ff81349dc3a (__TEXT,__text) external _CCRSACryptorDecrypt
00007ff81349db5a (__TEXT,__text) external _CCRSACryptorEncrypt
00007ff81349daa8 (__TEXT,__text) external _CCRSACryptorExport
00007ff81349f573 (__TEXT,__text) external _CCRSACryptorGeneratePair
00007ff81349d94a (__TEXT,__text) external _CCRSACryptorGetPublicKeyFromPrivateKey
00007ff81349d988 (__TEXT,__text) external _CCRSACryptorImport
00007ff81349def3 (__TEXT,__text) external _CCRSACryptorRecoverPrivateKey
00007ff81349d940 (__TEXT,__text) external _CCRSACryptorRelease
00007ff81349e203 (__TEXT,__text) external _CCRSACryptorSign
00007ff81349e32e (__TEXT,__text) external _CCRSACryptorVerify
00007ff81349f7ec (__TEXT,__text) external _CCRSAGetCRTComponents
00007ff81349e07f (__TEXT,__text) external _CCRSAGetCRTComponentsSizes
00007ff81349dffd (__TEXT,__text) external _CCRSAGetKeyComponents
00007ff81349d974 (__TEXT,__text) external _CCRSAGetKeySize
00007ff81349d954 (__TEXT,__text) external _CCRSAGetKeyType
                 (undefined) external _CCRSA_PKCS1_FAULT_CANARY (from libcorecrypto)
                 (undefined) external _CCRSA_PSS_FAULT_CANARY (from libcorecrypto)
00007ff813497628 (__TEXT,__text) external _CCRandomCopyBytes
00007ff813497638 (__TEXT,__text) external _CCRandomGenerateBytes
00007ff81349d7f2 (__TEXT,__text) external _CCRandomUniform
00007ff81349fa6f (__TEXT,__text) external _CCSymmetricKeyUnwrap
00007ff81349e480 (__TEXT,__text) external _CCSymmetricKeyWrap
00007ff81349e5e3 (__TEXT,__text) external _CCSymmetricUnwrappedSize
00007ff81349e5d6 (__TEXT,__text) external _CCSymmetricWrappedSize
00007ff81349962b (__TEXT,__text) external _CC_MD2
00007ff81349c316 (__TEXT,__text) external _CC_MD2_Final
00007ff81349c181 (__TEXT,__text) external _CC_MD2_Init
00007ff81349c22e (__TEXT,__text) external _CC_MD2_Update
00007ff81349c0af (__TEXT,__text) external _CC_MD4
00007ff81349944d (__TEXT,__text) external _CC_MD4_Final
00007ff81349926b (__TEXT,__text) external _CC_MD4_Init
00007ff81349932e (__TEXT,__text) external _CC_MD4_Update
00007ff813496103 (__TEXT,__text) external _CC_MD5
00007ff813495f51 (__TEXT,__text) external _CC_MD5_Final
00007ff81349598f (__TEXT,__text) external _CC_MD5_Init
00007ff813495e32 (__TEXT,__text) external _CC_MD5_Update
00007ff813496067 (__TEXT,__text) external _CC_SHA1
00007ff813496615 (__TEXT,__text) external _CC_SHA1_Final
00007ff813496433 (__TEXT,__text) external _CC_SHA1_Init
00007ff8134964f6 (__TEXT,__text) external _CC_SHA1_Update
00007ff81349c0e7 (__TEXT,__text) external _CC_SHA224
00007ff81349c46e (__TEXT,__text) external _CC_SHA224_Final
00007ff81349c3fe (__TEXT,__text) external _CC_SHA224_Init
00007ff81349c45e (__TEXT,__text) external _CC_SHA224_Update
00007ff813496727 (__TEXT,__text) external _CC_SHA256
00007ff813496322 (__TEXT,__text) external _CC_SHA256_Final
00007ff8134961aa (__TEXT,__text) external _CC_SHA256_Init
00007ff81349620a (__TEXT,__text) external _CC_SHA256_Update
00007ff81349c117 (__TEXT,__text) external _CC_SHA384
00007ff81349c538 (__TEXT,__text) external _CC_SHA384_Final
00007ff81349c4c9 (__TEXT,__text) external _CC_SHA384_Init
00007ff81349c528 (__TEXT,__text) external _CC_SHA384_Update
00007ff81349c147 (__TEXT,__text) external _CC_SHA512
00007ff81349835e (__TEXT,__text) external _CC_SHA512_Final
00007ff813498293 (__TEXT,__text) external _CC_SHA512_Init
00007ff8134982f3 (__TEXT,__text) external _CC_SHA512_Update
00007ff8417c8680 (__DATA_CONST,__const) non-external (was a private external) _CC_adler32
00007ff8417c8940 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16
00007ff8417c86c0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_a
00007ff8417c8700 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_b
00007ff8417c8740 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_false
00007ff8417c8780 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_ccitt_true
00007ff8417c87c0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_r
00007ff8417c8800 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_dect_x
00007ff8417c8840 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_icode
00007ff8417c8880 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_usb
00007ff8417c88c0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_verifone
00007ff8417c8900 (__DATA_CONST,__const) non-external (was a private external) _CC_crc16_xmodem
00007ff8417c8ac0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32
00007ff8417c8980 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_bzip2
00007ff8417c89c0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_castagnoli
00007ff8417c8a00 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_mpeg_2
00007ff8417c8a40 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_posix
00007ff8417c8a80 (__DATA_CONST,__const) non-external (was a private external) _CC_crc32_xfer
00007ff8417c8b00 (__DATA_CONST,__const) non-external (was a private external) _CC_crc64_ecma_182
00007ff8417c8c40 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8
00007ff8417c8b40 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_icode
00007ff8417c8b80 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_itu
00007ff8417c8bc0 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_rohc
00007ff8417c8c00 (__DATA_CONST,__const) non-external (was a private external) _CC_crc8_wcdma
00007ff8417c8d30 (__DATA_CONST,__const) external _CCrfc3394_iv
00007ff8134a0af0 (__TEXT,__const) external _CCrfc3394_ivLen
00007ff813498658 (__TEXT,__text) non-external (was a private external) _CNBufferCreate
00007ff81349f325 (__TEXT,__text) non-external (was a private external) _CNBufferEmpty
00007ff813498bc7 (__TEXT,__text) non-external (was a private external) _CNBufferFlushData
00007ff813498728 (__TEXT,__text) non-external (was a private external) _CNBufferProcessData
00007ff813498ca1 (__TEXT,__text) non-external (was a private external) _CNBufferRelease
00007ff813498d2d (__TEXT,__text) external _CNCRC
00007ff81349ed68 (__TEXT,__text) external _CNCRCDumpTable
00007ff81349ed1d (__TEXT,__text) external _CNCRCFinal
00007ff81349ec2a (__TEXT,__text) external _CNCRCInit
00007ff81349ecbf (__TEXT,__text) external _CNCRCRelease
00007ff81349eccc (__TEXT,__text) external _CNCRCUpdate
00007ff81349edba (__TEXT,__text) external _CNCRCWeakTest
00007ff8134983de (__TEXT,__text) external _CNEncode
00007ff81349fe68 (__TEXT,__text) external _CNEncoderBlocksize
00007ff81349fef3 (__TEXT,__text) external _CNEncoderBlocksizeFromRef
00007ff81349848a (__TEXT,__text) external _CNEncoderCreate
00007ff81349ff4d (__TEXT,__text) non-external _CNEncoderCreate.cold.1
00007ff81349ee20 (__TEXT,__text) external _CNEncoderCreateCustom
00007ff813498ad2 (__TEXT,__text) external _CNEncoderFinal
00007ff81349fdb0 (__TEXT,__text) external _CNEncoderGetOutputLength
00007ff81349f0ff (__TEXT,__text) external _CNEncoderGetOutputLengthFromEncoding
00007ff813498c37 (__TEXT,__text) external _CNEncoderRelease
00007ff8134986ae (__TEXT,__text) external _CNEncoderUpdate
00007ff81349c177 (__TEXT,__text) external _MD5Final
                 (undefined) weak external ____chkstk_darwin (from libsystem_pthread)
00007ff813495e10 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff81349b760 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memcpy_chk (from libsystem_c)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
                 (undefined) external __os_crash (from libsystem_c)
                 (undefined) external __os_log_default (from libsystem_trace)
                 (undefined) external __os_log_fault_impl (from libsystem_trace)
00007ff8134997ac (__TEXT,__text) non-external _adler32_final
00007ff813499748 (__TEXT,__text) non-external _adler32_implementation
00007ff8134997b5 (__TEXT,__text) non-external _adler32_oneshot
00007ff813499819 (__TEXT,__text) non-external _adler32_setup
00007ff813497571 (__TEXT,__text) non-external _ccClearCryptor
00007ff813497686 (__TEXT,__text) external _ccDRBGGetRngState
00007ff81349966f (__TEXT,__text) external _ccDevRandomGetRngState
00007ff81349c7ef (__TEXT,__text) non-external _ccECCryptorFree
00007ff81349c733 (__TEXT,__text) non-external _ccECpairwiseConsistencyCheck
00007ff81349c676 (__TEXT,__text) non-external _ccMallocECCryptor
00007ff81349d82d (__TEXT,__text) non-external _ccMallocRSACryptor
00007ff81349d8f4 (__TEXT,__text) non-external _ccRSACryptorClear
00007ff8134a0ae0 (__TEXT,__const) non-external _ccRandomDefaultStruct
00007ff813497c8c (__TEXT,__text) non-external _ccSimpleUpdate
00007ff81349a916 (__TEXT,__text) non-external _cc_alloc
                 (undefined) external _cc_clear (from libcorecrypto)
                 (undefined) external _cc_cmp_safe (from libcorecrypto)
00007ff81349a977 (__TEXT,__text) non-external _cc_free
00007ff81349e5f8 (__TEXT,__text) non-external _cc_rc4_crypt_mode
00007ff81349a928 (__TEXT,__text) non-external _cc_realloc
                 (undefined) external _ccaes_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ccm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_gcm_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccaes_xts_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccansikdf_x963 (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _ccblowfish_ofb_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cbc_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb8_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_cfb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ctr_crypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_decrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ecb_encrypt_mode (from libcorecrypto)
                 (undefined) external _cccast_ofb_crypt_mode (from libcorecrypto)
00007ff81349e656 (__TEXT,__text) non-external _cccbc_getiv
00007ff8417c9180 (__DATA_CONST,__const) non-external (was a private external) _cccbc_mode
00007ff813497d5e (__TEXT,__text) non-external _cccbc_mode_crypt
00007ff813497bf2 (__TEXT,__text) non-external _cccbc_mode_get_block_size
00007ff813497875 (__TEXT,__text) non-external _cccbc_mode_get_ctx_size
00007ff81349788c (__TEXT,__text) non-external _cccbc_mode_setup
00007ff813497ef9 (__TEXT,__text) non-external _cccbc_setiv
                 (undefined) external _ccccm_cbcmac (from libcorecrypto)
00007ff8417c93b0 (__DATA_CONST,__const) non-external (was a private external) _ccccm_mode
00007ff81349e9f1 (__TEXT,__text) non-external _ccccm_mode_crypt
00007ff81349ea17 (__TEXT,__text) non-external _ccccm_mode_done
00007ff81349e9b6 (__TEXT,__text) non-external _ccccm_mode_get_block_size
00007ff81349e9a8 (__TEXT,__text) non-external _ccccm_mode_get_ctx_size
00007ff81349e9c0 (__TEXT,__text) non-external _ccccm_mode_setup
                 (undefined) external _ccccm_set_iv (from libcorecrypto)
00007ff8417c9220 (__DATA_CONST,__const) non-external (was a private external) _cccfb8_mode
00007ff81349e701 (__TEXT,__text) non-external _cccfb8_mode_crypt
00007ff81349e6db (__TEXT,__text) non-external _cccfb8_mode_get_block_size
00007ff81349e6d2 (__TEXT,__text) non-external _cccfb8_mode_get_ctx_size
00007ff81349e6e5 (__TEXT,__text) non-external _cccfb8_mode_setup
00007ff8417c91d0 (__DATA_CONST,__const) non-external (was a private external) _cccfb_mode
00007ff81349e6ae (__TEXT,__text) non-external _cccfb_mode_crypt
00007ff81349e688 (__TEXT,__text) non-external _cccfb_mode_get_block_size
00007ff81349e67f (__TEXT,__text) non-external _cccfb_mode_get_ctx_size
00007ff81349e692 (__TEXT,__text) non-external _cccfb_mode_setup
                 (undefined) external _ccchacha20 (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_decrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_encrypt_oneshot (from libcorecrypto)
                 (undefined) external _ccchacha20poly1305_info (from libcorecrypto)
                 (undefined) external _ccckg2_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg2_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg2_ctx_cp (from libcorecrypto)
                 (undefined) external _ccckg2_init (from libcorecrypto)
                 (undefined) external _ccckg2_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg2_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg2_params_p224_sha256_v2 (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg2_sizeof_share (from libcorecrypto)
                 (undefined) external _ccckg_contributor_commit (from libcorecrypto)
                 (undefined) external _ccckg_contributor_finish (from libcorecrypto)
                 (undefined) external _ccckg_ctx_cp (from libcorecrypto)
                 (undefined) external _ccckg_init (from libcorecrypto)
                 (undefined) external _ccckg_owner_finish (from libcorecrypto)
                 (undefined) external _ccckg_owner_generate_share (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_commitment (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_ctx (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_opening (from libcorecrypto)
                 (undefined) external _ccckg_sizeof_share (from libcorecrypto)
                 (undefined) external _cccmac_final_generate (from libcorecrypto)
                 (undefined) external _cccmac_init (from libcorecrypto)
                 (undefined) external _cccmac_one_shot_generate (from libcorecrypto)
                 (undefined) external _cccmac_update (from libcorecrypto)
00007ff8417c8cc0 (__DATA_CONST,__const) non-external (was a private external) _ccconversionTable
00007ff8417c9270 (__DATA_CONST,__const) non-external (was a private external) _ccctr_mode
