                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff81069e1a0 (__TEXT,__text) external __cg_jcopy_block_row
00007ff81069d40a (__TEXT,__text) external __cg_switch_color_deconverter
00007ff8106bfb3e (__TEXT,__text) non-external _access_virt_barray
00007ff8106bf9d9 (__TEXT,__text) non-external _access_virt_sarray
00007ff8106bf5e5 (__TEXT,__text) non-external _alloc_barray
00007ff8106be68f (__TEXT,__text) non-external _alloc_fs_workspace
00007ff8106bf43c (__TEXT,__text) non-external _alloc_large
00007ff8106bf51b (__TEXT,__text) non-external _alloc_sarray
00007ff8106bf2d6 (__TEXT,__text) non-external _alloc_small
00007ff81069b933 (__TEXT,__text) non-external _arith_decode
00007ff81069a049 (__TEXT,__text) non-external _arith_encode
00007ff8106c17f0 (__TEXT,__const) non-external _base_dither_matrix
00007ff8106c1770 (__TEXT,__const) non-external _bmask
00007ff81069d076 (__TEXT,__text) non-external _build_ycc_rgb_table
00007ff81069a4aa (__TEXT,__text) non-external _close_backing_store
00007ff810694547 (__TEXT,__text) non-external _cmyk_ycck_convert
00007ff8106be768 (__TEXT,__text) non-external _color_quantize
00007ff8106be6ed (__TEXT,__text) non-external _color_quantize3
00007ff81069d659 (__TEXT,__text) non-external _compress_data
00007ff81069d916 (__TEXT,__text) non-external _compress_first_pass
00007ff81069df6f (__TEXT,__text) non-external _compress_output
00007ff8106b9ebe (__TEXT,__text) non-external _compress_output
                 (undefined) external _confstr (from libSystem)
00007ff8106a8d9c (__TEXT,__text) non-external _consume_data
00007ff81069f380 (__TEXT,__text) non-external _consume_markers
00007ff8106be559 (__TEXT,__text) non-external _create_colorindex
00007ff81069b3d7 (__TEXT,__text) non-external _decode_mcu
00007ff8106b8ffa (__TEXT,__text) non-external _decode_mcu
00007ff81069aeba (__TEXT,__text) non-external _decode_mcu_AC_first
00007ff8106b7ef4 (__TEXT,__text) non-external _decode_mcu_AC_first
00007ff81069b1d8 (__TEXT,__text) non-external _decode_mcu_AC_refine
00007ff8106b8260 (__TEXT,__text) non-external _decode_mcu_AC_refine
00007ff81069ac7a (__TEXT,__text) non-external _decode_mcu_DC_first
00007ff8106b7cd1 (__TEXT,__text) non-external _decode_mcu_DC_first
00007ff81069b13c (__TEXT,__text) non-external _decode_mcu_DC_refine
00007ff8106b815f (__TEXT,__text) non-external _decode_mcu_DC_refine
00007ff8106b8b88 (__TEXT,__text) non-external _decode_mcu_sub
00007ff8106a8f7a (__TEXT,__text) non-external _decompress_data
00007ff8106a913b (__TEXT,__text) non-external _decompress_onepass
00007ff8106a942a (__TEXT,__text) non-external _decompress_smooth_data
00007ff8106bfef3 (__TEXT,__text) non-external _do_barray_io
00007ff8106bfe32 (__TEXT,__text) non-external _do_sarray_io
00007ff8106a9133 (__TEXT,__text) non-external _dummy_consume_data
00007ff8106bdc6e (__TEXT,__text) non-external _dump_buffer_e
00007ff8106bda66 (__TEXT,__text) non-external _emit_ac_symbol
00007ff8106bdb78 (__TEXT,__text) non-external _emit_buffered_bits
00007ff81069a208 (__TEXT,__text) non-external _emit_byte
00007ff8106bac72 (__TEXT,__text) non-external _emit_byte
00007ff8106baf3f (__TEXT,__text) non-external _emit_dht
00007ff8106bacb5 (__TEXT,__text) non-external _emit_dqt
00007ff8106bd5bc (__TEXT,__text) non-external _emit_eobrun
00007ff8106b6cb6 (__TEXT,__text) non-external _emit_message
00007ff810699f0e (__TEXT,__text) non-external _emit_restart
00007ff8106bde59 (__TEXT,__text) non-external _emit_restart_e
00007ff8106bae0e (__TEXT,__text) non-external _emit_sof
00007ff8106bf113 (__TEXT,__text) non-external _empty_mem_output_buffer
00007ff8106bef36 (__TEXT,__text) non-external _empty_output_buffer
00007ff810699a4f (__TEXT,__text) non-external _encode_mcu
00007ff810699461 (__TEXT,__text) non-external _encode_mcu_AC_first
00007ff8106bbcae (__TEXT,__text) non-external _encode_mcu_AC_first
00007ff8106997fd (__TEXT,__text) non-external _encode_mcu_AC_refine
00007ff8106bc1e3 (__TEXT,__text) non-external _encode_mcu_AC_refine
00007ff810699216 (__TEXT,__text) non-external _encode_mcu_DC_first
00007ff8106bb992 (__TEXT,__text) non-external _encode_mcu_DC_first
00007ff810699752 (__TEXT,__text) non-external _encode_mcu_DC_refine
00007ff8106bc04f (__TEXT,__text) non-external _encode_mcu_DC_refine
00007ff8106bc6ec (__TEXT,__text) non-external _encode_mcu_gather
00007ff8106bc938 (__TEXT,__text) non-external _encode_mcu_huff
00007ff8106b6c95 (__TEXT,__text) non-external _error_exit
00007ff8106988a9 (__TEXT,__text) non-external _examine_app0
00007ff810698b00 (__TEXT,__text) non-external _examine_app14
                 (undefined) external _exit (from libSystem)
00007ff8106c1970 (__TEXT,__const) non-external _extra_pool_slop
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
00007ff8106a897f (__TEXT,__text) non-external _fill_dc_scans
00007ff81069a56b (__TEXT,__text) non-external _fill_input_buffer
00007ff810695d5a (__TEXT,__text) non-external _fill_inverse_cmap
00007ff81069a6d9 (__TEXT,__text) non-external _fill_mem_input_buffer
00007ff8106c0792 (__TEXT,__const) non-external _fill_mem_input_buffer.mybuffer
00007ff81069fdaa (__TEXT,__text) non-external _finish_input_pass
00007ff8106ab454 (__TEXT,__text) non-external _finish_output_pass
00007ff81069908f (__TEXT,__text) non-external _finish_pass
00007ff81069ac74 (__TEXT,__text) non-external _finish_pass
00007ff810695121 (__TEXT,__text) non-external _finish_pass1
00007ff81069594f (__TEXT,__text) non-external _finish_pass2
00007ff8106be542 (__TEXT,__text) non-external _finish_pass_1_quant
00007ff8106bb776 (__TEXT,__text) non-external _finish_pass_gather
00007ff8106b7ca5 (__TEXT,__text) non-external _finish_pass_huff
00007ff8106bb8b1 (__TEXT,__text) non-external _finish_pass_huff
00007ff8106aa8a2 (__TEXT,__text) non-external _finish_pass_master
00007ff8106c1960 (__TEXT,__const) non-external _first_pool_slop
00007ff8106bdcb8 (__TEXT,__text) non-external _flush_bits_e
00007ff8106bdd7b (__TEXT,__text) non-external _flush_bits_s
                 (undefined) external _fopen (from libSystem)
00007ff8106b6db7 (__TEXT,__text) non-external _format_message
00007ff81069c6af (__TEXT,__text) non-external _forward_DCT
00007ff81069c810 (__TEXT,__text) non-external _forward_DCT_float
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ff8106bfca7 (__TEXT,__text) non-external _free_pool
                 (undefined) external _fseek (from libSystem)
00007ff8106b6547 (__TEXT,__text) non-external _fullsize_downsample
00007ff8106b637f (__TEXT,__text) non-external _fullsize_smooth_downsample
00007ff8106abe65 (__TEXT,__text) non-external _fullsize_upsample
                 (undefined) external _fwrite (from libSystem)
00007ff81069ba7b (__TEXT,__text) non-external _get_byte
00007ff810697f3e (__TEXT,__text) non-external _get_interesting_appn
00007ff8106984b3 (__TEXT,__text) non-external _get_sof
00007ff81069cf17 (__TEXT,__text) non-external _gray_rgb_convert
00007ff81069416e (__TEXT,__text) non-external _grayscale_convert
00007ff81069cdb6 (__TEXT,__text) non-external _grayscale_convert
00007ff8106b65d7 (__TEXT,__text) non-external _h2v1_downsample
00007ff8106b73df (__TEXT,__text) non-external _h2v1_merged_upsample
00007ff8106abe6e (__TEXT,__text) non-external _h2v1_upsample
00007ff8106b69a3 (__TEXT,__text) non-external _h2v2_downsample
00007ff8106b718b (__TEXT,__text) non-external _h2v2_merged_upsample
00007ff8106b66b9 (__TEXT,__text) non-external _h2v2_smooth_downsample
00007ff8106abecc (__TEXT,__text) non-external _h2v2_upsample
00007ff8106bef06 (__TEXT,__text) non-external _init_destination
00007ff810695002 (__TEXT,__text) non-external _init_error_limit
00007ff8106bf10d (__TEXT,__text) non-external _init_mem_destination
00007ff81069a6d3 (__TEXT,__text) non-external _init_mem_source
00007ff81069a55a (__TEXT,__text) non-external _init_source
00007ff8106b6abd (__TEXT,__text) non-external _int_downsample
00007ff8106abf6d (__TEXT,__text) non-external _int_upsample
00007ff81069e11d (__TEXT,__text) non-external (was a private external) _jdiv_round_up
00007ff81069a716 (__TEXT,__text) non-external (was a private external) _jinit_arith_decoder
00007ff810698dd2 (__TEXT,__text) non-external (was a private external) _jinit_arith_encoder
00007ff8106c0040 (__TEXT,__const) non-external (was a private external) _jpeg_aritab
00007ff8106938e4 (__TEXT,__text) non-external (was a private external) _jpeg_calc_jpeg_dimensions
00007ff81069ef89 (__TEXT,__text) non-external (was a private external) _jpeg_core_output_dimensions
00007ff8106a8027 (__TEXT,__text) non-external (was a private external) _jpeg_default_qtables
00007ff8106ae395 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x10
00007ff8106b303c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_10x5
00007ff8106ae809 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_11x11
00007ff8106aef37 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x12
00007ff8106b29da (__TEXT,__text) non-external (was a private external) _jpeg_fdct_12x6
00007ff8106af50c (__TEXT,__text) non-external (was a private external) _jpeg_fdct_13x13
00007ff8106afca0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x14
00007ff8106b205a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_14x7
00007ff8106b046a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_15x15
00007ff8106b0c37 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x16
00007ff8106b157a (__TEXT,__text) non-external (was a private external) _jpeg_fdct_16x8
00007ff8106adf59 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x1
00007ff8106b5ca0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_1x2
00007ff8106b3cc5 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x1
00007ff8106adea8 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x2
00007ff8106b5b84 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_2x4
00007ff8106add74 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x3
00007ff8106b59a6 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_3x6
00007ff8106b3b54 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x2
00007ff8106adab0 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x4
00007ff8106b524e (__TEXT,__text) non-external (was a private external) _jpeg_fdct_4x8
00007ff8106b4eaf (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x10
00007ff8106ad882 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_5x5
00007ff8106b4a50 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x12
00007ff8106b39a9 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x3
00007ff8106ad638 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_6x6
00007ff8106b4433 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x14
00007ff8106ad2ed (__TEXT,__text) non-external (was a private external) _jpeg_fdct_7x7
00007ff8106b3d49 (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x16
00007ff8106b35ad (__TEXT,__text) non-external (was a private external) _jpeg_fdct_8x4
00007ff8106adfcc (__TEXT,__text) non-external (was a private external) _jpeg_fdct_9x9
00007ff8106b94f5 (__TEXT,__text) non-external _jpeg_fill_bit_buffer
00007ff8106bd710 (__TEXT,__text) non-external _jpeg_gen_optimal_table
00007ff8106b9651 (__TEXT,__text) non-external _jpeg_huff_decode
00007ff8106a1557 (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x10
00007ff8106a56fd (__TEXT,__text) non-external (was a private external) _jpeg_idct_10x5
00007ff8106a1a22 (__TEXT,__text) non-external (was a private external) _jpeg_idct_11x11
00007ff8106a2088 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x12
00007ff8106a5239 (__TEXT,__text) non-external (was a private external) _jpeg_idct_12x6
00007ff8106a2666 (__TEXT,__text) non-external (was a private external) _jpeg_idct_13x13
00007ff8106a2d81 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x14
00007ff8106a4c58 (__TEXT,__text) non-external (was a private external) _jpeg_idct_14x7
00007ff8106a349b (__TEXT,__text) non-external (was a private external) _jpeg_idct_15x15
00007ff8106a3c11 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x16
00007ff8106a4493 (__TEXT,__text) non-external (was a private external) _jpeg_idct_16x8
00007ff8106a7cb5 (__TEXT,__text) non-external (was a private external) _jpeg_idct_1x2
00007ff8106a61a7 (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x1
00007ff8106a7b5b (__TEXT,__text) non-external (was a private external) _jpeg_idct_2x4
00007ff8106a0ea7 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x3
00007ff8106a7941 (__TEXT,__text) non-external (was a private external) _jpeg_idct_3x6
00007ff8106a600e (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x2
00007ff8106a755b (__TEXT,__text) non-external (was a private external) _jpeg_idct_4x8
00007ff8106a7178 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x10
00007ff8106a0a56 (__TEXT,__text) non-external (was a private external) _jpeg_idct_5x5
00007ff8106a6d38 (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x12
00007ff8106a5dfa (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x3
00007ff8106a077a (__TEXT,__text) non-external (was a private external) _jpeg_idct_6x6
00007ff8106a6802 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x14
00007ff8106a0371 (__TEXT,__text) non-external (was a private external) _jpeg_idct_7x7
00007ff8106a620d (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x16
00007ff8106a5ada (__TEXT,__text) non-external (was a private external) _jpeg_idct_8x4
00007ff8106a1107 (__TEXT,__text) non-external (was a private external) _jpeg_idct_9x9
00007ff8106bd2d5 (__TEXT,__text) non-external _jpeg_make_c_derived_tbl
00007ff8106b8868 (__TEXT,__text) non-external _jpeg_make_d_derived_tbl
00007ff8106bf014 (__TEXT,__text) non-external (was a private external) _jpeg_mem_dest
00007ff81069a641 (__TEXT,__text) non-external (was a private external) _jpeg_mem_src
00007ff8106c0de0 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order2
00007ff8106c0d70 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order3
00007ff8106c0cf0 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order4
00007ff8106c0c40 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order5
00007ff8106c0b70 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order6
00007ff8106c0a60 (__TEXT,__const) non-external (was a private external) _jpeg_natural_order7
00007ff8106c1670 (__TEXT,__const) non-external _jpeg_zigzag_order
00007ff8106c1420 (__TEXT,__const) non-external _jpeg_zigzag_order2
00007ff8106c1430 (__TEXT,__const) non-external _jpeg_zigzag_order3
00007ff8106c1460 (__TEXT,__const) non-external _jpeg_zigzag_order4
00007ff8106c14a0 (__TEXT,__const) non-external _jpeg_zigzag_order5
00007ff8106c1510 (__TEXT,__const) non-external _jpeg_zigzag_order6
00007ff8106c15a0 (__TEXT,__const) non-external _jpeg_zigzag_order7
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff8106b73b5 (__TEXT,__text) non-external _merged_1v_upsample
00007ff8106b70ac (__TEXT,__text) non-external _merged_2v_upsample
                 (undefined) external _mktemp (from libSystem)
00007ff8106be548 (__TEXT,__text) non-external _new_color_map_1_quant
00007ff810694fee (__TEXT,__text) non-external _new_color_map_2_quant
00007ff8106963cc (__TEXT,__text) non-external _next_marker
00007ff8106abe58 (__TEXT,__text) non-external _noop_upsample
00007ff8106944d8 (__TEXT,__text) non-external _null_convert
00007ff81069d398 (__TEXT,__text) non-external _null_convert
00007ff810694168 (__TEXT,__text) non-external _null_method
00007ff8106b6d0a (__TEXT,__text) non-external _output_message
00007ff8106bb151 (__TEXT,__text) non-external _output_pass_setup
00007ff8106954fa (__TEXT,__text) non-external _pass2_fs_dither
00007ff81069585e (__TEXT,__text) non-external _pass2_no_dither
00007ff8106aa86e (__TEXT,__text) non-external _pass_startup
00007ff8106aaaa4 (__TEXT,__text) non-external _per_scan_setup
00007ff8106ac1dd (__TEXT,__text) non-external _post_process_1pass
00007ff8106ac33f (__TEXT,__text) non-external _post_process_2pass
00007ff8106ac261 (__TEXT,__text) non-external _post_process_prepass
00007ff81069e607 (__TEXT,__text) non-external _pre_process_context
00007ff81069e832 (__TEXT,__text) non-external _pre_process_data
00007ff8106ab2d5 (__TEXT,__text) non-external _prepare_for_output_pass
00007ff8106aa6b2 (__TEXT,__text) non-external _prepare_for_pass
00007ff8106950a2 (__TEXT,__text) non-external _prescan_quantize
00007ff8106ab7b7 (__TEXT,__text) non-external _process_data_context_main
00007ff8106abb3c (__TEXT,__text) non-external _process_data_crank_post
00007ff81069e2aa (__TEXT,__text) non-external _process_data_simple_main
00007ff8106ababd (__TEXT,__text) non-external _process_data_simple_main
00007ff81069b7ed (__TEXT,__text) non-external _process_restart
00007ff8106b9468 (__TEXT,__text) non-external _process_restart
00007ff8106be7ff (__TEXT,__text) non-external _quantize3_ord_dither
00007ff8106bea09 (__TEXT,__text) non-external _quantize_fs_dither
00007ff8106be91e (__TEXT,__text) non-external _quantize_ord_dither
00007ff81069a3c6 (__TEXT,__text) non-external _read_backing_store
00007ff810696600 (__TEXT,__text) non-external _read_markers
00007ff810697dd8 (__TEXT,__text) non-external _read_restart_marker
00007ff8106bf7d7 (__TEXT,__text) non-external _realize_virt_arrays
00007ff8106bf744 (__TEXT,__text) non-external _request_virt_barray
00007ff8106bf6b1 (__TEXT,__text) non-external _request_virt_sarray
00007ff8106b6e90 (__TEXT,__text) non-external _reset_error_mgr
00007ff81069fb0c (__TEXT,__text) non-external _reset_input_controller
00007ff8106965d0 (__TEXT,__text) non-external _reset_marker_reader
00007ff81069ce6d (__TEXT,__text) non-external _rgb1_gray_convert
00007ff81069d1c6 (__TEXT,__text) non-external _rgb1_rgb_convert
00007ff8106942fa (__TEXT,__text) non-external _rgb_convert
00007ff81069d155 (__TEXT,__text) non-external _rgb_convert
00007ff81069427d (__TEXT,__text) non-external _rgb_gray_convert
00007ff81069cdd4 (__TEXT,__text) non-external _rgb_gray_convert
00007ff810694368 (__TEXT,__text) non-external _rgb_rgb1_convert
00007ff8106943ec (__TEXT,__text) non-external _rgb_ycc_convert
00007ff8106941bc (__TEXT,__text) non-external _rgb_ycc_start
00007ff8106981a7 (__TEXT,__text) non-external _save_marker
00007ff8106c18f0 (__TEXT,__const) non-external _select_ncolors.RGB_order
00007ff8106aa90a (__TEXT,__text) non-external _select_scan_parameters
00007ff8106bfdec (__TEXT,__text) non-external _self_destruct
00007ff8106b62e7 (__TEXT,__text) non-external _sep_downsample
00007ff8106abd25 (__TEXT,__text) non-external _sep_upsample
00007ff81069a5f1 (__TEXT,__text) non-external _skip_input_data
00007ff810697e68 (__TEXT,__text) non-external _skip_variable
                 (undefined) external _sprintf (from libSystem)
00007ff81069d613 (__TEXT,__text) non-external _start_iMCU_row
00007ff8106a93e1 (__TEXT,__text) non-external _start_iMCU_row
00007ff8106ba1f2 (__TEXT,__text) non-external _start_iMCU_row
00007ff81069fb53 (__TEXT,__text) non-external _start_input_pass
00007ff8106a8c3a (__TEXT,__text) non-external _start_input_pass
00007ff8106a8c4e (__TEXT,__text) non-external _start_output_pass
00007ff81069475e (__TEXT,__text) non-external _start_pass
00007ff810698e82 (__TEXT,__text) non-external _start_pass
00007ff81069a87e (__TEXT,__text) non-external _start_pass
