                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000027baeeaf4 (__TEXT,__text) non-external __do_madrpc
000000027baec4e0 (__TEXT,__text) external _mad_dump_string
000000027baec9c0 (__TEXT,__text) external _mad_dump_switchinfo
000000027baead4c (__TEXT,__text) external _mad_dump_uint
000000027baea2f8 (__TEXT,__text) external _mad_dump_val
000000027baec688 (__TEXT,__text) external _mad_dump_vlarbitration
000000027baebc34 (__TEXT,__text) external _mad_dump_vlcap
000000027baea75c (__TEXT,__text) external _mad_encode
000000027baea058 (__TEXT,__text) external _mad_encode_field
000000027baea378 (__TEXT,__text) external _mad_field_name
000000027baefca8 (__TEXT,__text) external _mad_free
000000027bae9f48 (__TEXT,__text) external _mad_get_array
000000027bae9c50 (__TEXT,__text) external _mad_get_field
000000027bae9e78 (__TEXT,__text) external _mad_get_field64
000000027baea740 (__TEXT,__text) external _mad_get_retries
000000027baea71c (__TEXT,__text) external _mad_get_timeout
000000029805b0c0 (__DATA,__bss) non-external _mad_port
000000027baea0c8 (__TEXT,__text) external _mad_print_field
000000027baefb68 (__TEXT,__text) external _mad_receive
000000027baefb78 (__TEXT,__text) external _mad_receive_via
000000027baed9f8 (__TEXT,__text) external _mad_register_client
000000027baeda08 (__TEXT,__text) external _mad_register_client_via
000000027baed8c0 (__TEXT,__text) external _mad_register_port_client
000000027baeda6c (__TEXT,__text) external _mad_register_server
000000027baeda7c (__TEXT,__text) external _mad_register_server_via
000000027baef7c4 (__TEXT,__text) external _mad_respond
000000027baef7d4 (__TEXT,__text) external _mad_respond_via
000000027baee79c (__TEXT,__text) external _mad_rpc
000000027baee77c (__TEXT,__text) external _mad_rpc_class_agent
000000027baef5b0 (__TEXT,__text) external _mad_rpc_close_port
000000027baef384 (__TEXT,__text) external _mad_rpc_open_port
000000027baee774 (__TEXT,__text) external _mad_rpc_portid
000000027baeee78 (__TEXT,__text) external _mad_rpc_rmpp
000000027baee754 (__TEXT,__text) external _mad_rpc_set_retries
000000027baee75c (__TEXT,__text) external _mad_rpc_set_timeout
000000027baef5ec (__TEXT,__text) external _mad_send
000000027baef5fc (__TEXT,__text) external _mad_send_via
000000027bae9ee0 (__TEXT,__text) external _mad_set_array
000000027bae9d50 (__TEXT,__text) external _mad_set_field
000000027bae9eac (__TEXT,__text) external _mad_set_field64
000000027baea6d0 (__TEXT,__text) external _mad_trid
000000029805b0b8 (__DATA,__bss) non-external _mad_trid.trid
000000027baef1e4 (__TEXT,__text) external _madrpc
000000027baef21c (__TEXT,__text) external _madrpc_init
000000027baee764 (__TEXT,__text) external _madrpc_portid
000000029805b0a8 (__DATA,__data) external _madrpc_retries
000000027baef200 (__TEXT,__text) external _madrpc_rmpp
000000027baee714 (__TEXT,__text) external _madrpc_save_mad
000000027baee728 (__TEXT,__text) external _madrpc_set_retries
000000027baee744 (__TEXT,__text) external _madrpc_set_timeout
000000027baee708 (__TEXT,__text) external _madrpc_show_errors
000000029805b0ac (__DATA,__data) external _madrpc_timeout
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
000000027baed98c (__TEXT,__text) non-external _mgmt_class_vers
000000027baea4f4 (__TEXT,__text) external _performance_reset_via
000000027baea390 (__TEXT,__text) external _pma_query_via
000000027baed540 (__TEXT,__text) external _portid2portnum
000000027baed570 (__TEXT,__text) external _portid2str
000000029805aca0 (__DATA,__data) non-external _portid2str.buf
                 (undefined) external _printf (from libSystem)
                 (undefined) external _random (from libSystem)
000000027baee4e0 (__TEXT,__text) external _sa_call
000000027baee380 (__TEXT,__text) external _sa_rpc_call
000000029805b4e0 (__DATA,__bss) non-external _save_mad
000000029805b0b0 (__DATA,__data) non-external _save_mad_len
000000027baefcb4 (__TEXT,__text) external _smp_mkey_get
000000027baefcac (__TEXT,__text) external _smp_mkey_set
000000027baeff6c (__TEXT,__text) external _smp_query
000000027baefe1c (__TEXT,__text) external _smp_query_status_via
000000027baeff60 (__TEXT,__text) external _smp_query_via
000000027baefe08 (__TEXT,__text) external _smp_set
000000027baefcbc (__TEXT,__text) external _smp_set_status_via
000000027baefdfc (__TEXT,__text) external _smp_set_via
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _srandom (from libSystem)
000000027baed758 (__TEXT,__text) external _str2drpath
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strtol (from libSystem)
                 (undefined) external _strtoull (from libSystem)
                 (undefined) external _time (from libSystem)
                 (undefined) external _umad_addr_dump (from libibumad)
                 (undefined) external _umad_close_port (from libibumad)
                 (undefined) external _umad_get_mad (from libibumad)
                 (undefined) external _umad_get_mad_addr (from libibumad)
                 (undefined) external _umad_init (from libibumad)
                 (undefined) external _umad_open_port (from libibumad)
                 (undefined) external _umad_recv (from libibumad)
                 (undefined) external _umad_register (from libibumad)
                 (undefined) external _umad_register_oui (from libibumad)
                 (undefined) external _umad_send (from libibumad)
                 (undefined) external _umad_set_addr (from libibumad)
                 (undefined) external _umad_set_grh (from libibumad)
                 (undefined) external _umad_set_pkey (from libibumad)
                 (undefined) external _umad_size (from libibumad)
                 (undefined) external _umad_status (from libibumad)
000000027baed3e8 (__TEXT,__text) external _xdump
