00007ffa4482a470 (__DATA,__data) non-external _.compoundliteral
00007ffa1f9f7f8f (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00007ffa1f9fc2da (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00007ffa1f9fdff0 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00007ffa1f9fd7cb (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00007ffa1f9ffccb (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00007ffa1f9f7605 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00007ffa1f9fb824 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00007ffa1f9fbe40 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00007ffa1f9f8af6 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00007ffa1f9fa92c (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00007ffa1f9f7e72 (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00007ffa1f9fc100 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00007ffa1f9fccb4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00007ffa1f9ffd88 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00007ffa1f9fd164 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00007ffa1f9fd011 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00007ffa1f9f88f8 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00007ffa1f9fd410 (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00007ffa1f9ffbef (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00007ffa1f9f5d0e (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00007ffa1f9f71af (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00007ffa1f9f73b6 (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00007ffa1f9f679c (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00007ffa1f9f5b96 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00007ffa1f9f66fe (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00007ffa1f9f6885 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00007ffa1f9f68be (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00007ffa1f9f67e7 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00007ffa1fa008ab (__TEXT,__text) external _PPParserSetLimits
00007ffa1fa00891 (__TEXT,__text) external _PPParserSetPrefs
00007ffa1f9f6979 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00007ffa1f9f8380 (__TEXT,__text) non-external _PPParserValidateName
00007ffa1fb25711 (__TEXT,__text) external _PPStreamAddAddressUsage
00007ffa1fb2581d (__TEXT,__text) external _PPStreamAddAttribBinding
00007ffa1fb25cfa (__TEXT,__text) external _PPStreamAddConstant
00007ffa1fb25c26 (__TEXT,__text) external _PPStreamAddLabel
00007ffa1fb2592b (__TEXT,__text) external _PPStreamAddOperation
00007ffa1fb25dd1 (__TEXT,__text) external _PPStreamAddOption
00007ffa1fb25877 (__TEXT,__text) external _PPStreamAddOutputBinding
00007ffa1fb25769 (__TEXT,__text) external _PPStreamAddParamBinding
00007ffa1fb257c3 (__TEXT,__text) external _PPStreamAddParamBindingArray
00007ffa1fb25d77 (__TEXT,__text) external _PPStreamAddRasterOp
00007ffa1fb254e5 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00007ffa1fb2553f (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00007ffa1fb2565d (__TEXT,__text) external _PPStreamAddTempUsage
00007ffa1fb256b7 (__TEXT,__text) external _PPStreamAddTempUsageArray
00007ffa1fb258d1 (__TEXT,__text) external _PPStreamAddTexImage
00007ffa1fb2696a (__TEXT,__text) external _PPStreamAttachStream
00007ffa1fb24c3d (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00007ffa1fb270b4 (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00007ffa1fb24d24 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00007ffa1fb2563a (__TEXT,__text) non-external _PPStreamChunkCreate
00007ffa1fb24c5f (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00007ffa1fb24f34 (__TEXT,__text) external _PPStreamChunkListAddChunk
00007ffa1fb2520d (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00007ffa1fb2529c (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00007ffa1fb24de8 (__TEXT,__text) external _PPStreamChunkListCreate
00007ffa1fb24e0c (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00007ffa1fb24f69 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00007ffa1fb252f0 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00007ffa1fb25122 (__TEXT,__text) external _PPStreamChunkListGetStream
00007ffa1fb25005 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00007ffa1fb24fa5 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00007ffa1fb25056 (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00007ffa1fb25098 (__TEXT,__text) external _PPStreamChunkListSort
00007ffa1fb26f63 (__TEXT,__text) external _PPStreamCompare
00007ffa1fb253f4 (__TEXT,__text) external _PPStreamCreate
00007ffa1fb25599 (__TEXT,__text) external _PPStreamFree
00007ffa1fb25e26 (__TEXT,__text) external _PPStreamGetStream
00007ffa1fb26948 (__TEXT,__text) external _PPStreamGetTexOperationCount
00007ffa1fb25b27 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00007ffa1fb25a09 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00007ffa1fb24c4e (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00007ffa1fb27162 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00007ffa1fb24c2c (__TEXT,__text) external _PPStreamParamBindingIsEqual
00007ffa1fb25cba (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00007ffa1fb27850 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00007ffa1fb27734 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00007ffa1fa020ad (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00007ffa1fa02d04 (__TEXT,__text) external _PPStreamTokenAddRasterOps
00007ffa1fb26814 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00007ffa1fb26185 (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00007ffa1fa02ea3 (__TEXT,__text) external _PPStreamTokenAddTexImages
00007ffa1fa02e1b (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00007ffa1fb26924 (__TEXT,__text) external _PPStreamTokenAlloc
00007ffa1fa03218 (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00007ffa1fa035bb (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00007ffa1fa0341c (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00007ffa1fa03509 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00007ffa1fb2693e (__TEXT,__text) external _PPStreamTokenFree
00007ffa1fa02081 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00007ffa1fa02030 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00007ffa1fb58bf0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00007ffa1fb58cb0 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00007ffa1fb58d80 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00007ffa43426f40 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00007ffa1fa03653 (__TEXT,__text) external _PPStreamTokenValidateOptions
00007ffa434273f0 (__DATA_CONST,__const) non-external _PROMOTIONS
00007ffa1fb5ab30 (__TEXT,__const) non-external _PROMOTIONS_110
00007ffa1fb5ab40 (__TEXT,__const) non-external _PROMOTIONS_120
00007ffa1fb5ab80 (__TEXT,__const) non-external _PROMOTIONS_400
00007ffa1fb5ab50 (__TEXT,__const) non-external _PROMOTIONS_FP64
00007ffa1fb30342 (__TEXT,__text) non-external (was a private external) _ProgramFree
00007ffa1fb302a1 (__TEXT,__text) non-external (was a private external) _ProgramNew
00007ffa1fae3485 (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00007ffa1fae2e84 (__TEXT,__text) non-external (was a private external) _ReadToken
00007ffa1fb39460 (__TEXT,__text) non-external _RecordFunctionCall
00007ffa1fae2d4f (__TEXT,__text) non-external (was a private external) _RecordToken
00007ffa1fb2edc3 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00007ffa1fb2ed53 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00007ffa1fb2d2e9 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00007ffa1fb2d284 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00007ffa1fb2fa29 (__TEXT,__text) non-external (was a private external) _Registerify
00007ffa1fb2e974 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00007ffa1fb2fbc0 (__TEXT,__text) non-external (was a private external) _RegistersFree
00007ffa1fb2f9db (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00007ffa1fb2cfd9 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00007ffa1fb2d33f (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00007ffa1fb2d3bb (__TEXT,__text) non-external (was a private external) _RegistersReplace
00007ffa1fb35661 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00007ffa1fa00954 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00007ffa1fa00a59 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00007ffa1fae2e6a (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00007ffa1fae1e5c (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00007ffa1fae2005 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00007ffa1fae0d10 (__TEXT,__text) non-external (was a private external) _ScanFromString
00007ffa1fae21a7 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00007ffa1fac6e2f (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00007ffa1fad480e (__TEXT,__text) external _ShAttributeBindingRequest
00007ffa1fad4779 (__TEXT,__text) external _ShCleanup
00007ffa1fad41bc (__TEXT,__text) external _ShCompile
00007ffa1fad3def (__TEXT,__text) external _ShConstructCompiler
00007ffa1fad3e79 (__TEXT,__text) external _ShConstructLinker
00007ffa1fad3f3f (__TEXT,__text) external _ShDestruct
00007ffa1fad41b1 (__TEXT,__text) external _ShFinalize
00007ffa1fad57c5 (__TEXT,__text) external _ShFragDataBindingRequest
00007ffa1fad4fe2 (__TEXT,__text) external _ShGetActiveAttrib
00007ffa1fad4cd9 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00007ffa1fad4cc4 (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00007ffa1fad4c95 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00007ffa1fad6973 (__TEXT,__text) external _ShGetActiveSamplerLocations
00007ffa1fad6ed9 (__TEXT,__text) external _ShGetActiveSubroutineName
00007ffa1fad6e27 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00007ffa1fad6d03 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00007ffa1fad679b (__TEXT,__text) external _ShGetActiveUniform
00007ffa1fad5fff (__TEXT,__text) external _ShGetActiveUniformBlockName
00007ffa1fad5ca2 (__TEXT,__text) external _ShGetActiveUniformBlockiv
00007ffa1fad625d (__TEXT,__text) external _ShGetActiveUniformIndex
00007ffa1fad646c (__TEXT,__text) external _ShGetActiveUniformName
00007ffa1fad5141 (__TEXT,__text) external _ShGetAttribLocation
00007ffa1fad4ed3 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00007ffa1fad6f50 (__TEXT,__text) external _ShGetCachedUniformIndexTable
00007ffa1fad6f65 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
