0000000182761150 (__DATA,__data) non-external _C
00000001805f6dc4 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001805f6db8 (__TEXT,__text) external __NSGetProgname
000000018276db48 (__DATA,__common) external __PathLocale
000000018063cd58 (__TEXT,__text) external __Read_RuneMagi
0000000180633bdc (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180633c54 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180633e4c (__TEXT,__text) non-external __UTF2_mbsinit
0000000180633e68 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180633da4 (__TEXT,__text) non-external __UTF2_wcrtomb
000000018063400c (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180614554 (__TEXT,__text) non-external (was a private external) __UTF8_init
00000001806145cc (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180614884 (__TEXT,__text) non-external __UTF8_mbsinit
00000001806148a0 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00000001806147bc (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180614a44 (__TEXT,__text) non-external __UTF8_wcsnrtombs
0000000180603ca4 (__TEXT,__text) external ___Balloc_D2A
0000000180603e28 (__TEXT,__text) external ___Bfree_D2A
00000001805f4670 (__TEXT,__text) external ____mb_cur_max
00000001805f469c (__TEXT,__text) external ____mb_cur_max_l
00000001806133bc (__TEXT,__text) external ____runetype
0000000180613314 (__TEXT,__text) external ____runetype_l
0000000180614468 (__TEXT,__text) external ____tolower
00000001806143c4 (__TEXT,__text) external ____tolower_l
0000000180614530 (__TEXT,__text) external ____toupper
000000018061448c (__TEXT,__text) external ____toupper_l
00000001806504ac (__TEXT,__text) non-external (was a private external) ___abort
00000001805fe988 (__TEXT,__text) external ___add_ovflpage
00000001805fe704 (__TEXT,__text) external ___addel
0000000180604a2c (__TEXT,__text) external ___any_on_D2A
000000018064f888 (__TEXT,__text) external ___assert_rtn
000000018276da70 (__DATA,__bss) non-external ___atexit
0000000180634428 (__TEXT,__text) non-external (was a private external) ___atexit_init
000000018276da78 (__DATA,__bss) non-external ___atexit_new_registration
00000001806045b4 (__TEXT,__text) external ___b2d_D2A
00000001805fce9c (__TEXT,__text) external ___big_delete
00000001805fcbe8 (__TEXT,__text) external ___big_insert
00000001805fd544 (__TEXT,__text) external ___big_keydata
00000001805fd1d4 (__TEXT,__text) external ___big_return
00000001805fd6c4 (__TEXT,__text) external ___big_split
0000000180651db0 (__TEXT,__const) external ___bigtens_D2A
00000001805f7984 (__TEXT,__text) external ___bt_close
00000001805fb6d8 (__TEXT,__text) external ___bt_cmp
00000001805fb7a4 (__TEXT,__text) external ___bt_defcmp
00000001805fb7e8 (__TEXT,__text) external ___bt_defpfx
00000001805f7dfc (__TEXT,__text) external ___bt_delete
00000001805f846c (__TEXT,__text) external ___bt_dleaf
00000001805f925c (__TEXT,__text) external ___bt_fd
00000001805fa2c0 (__TEXT,__text) non-external ___bt_first
00000001805f9660 (__TEXT,__text) external ___bt_free
00000001805f8af8 (__TEXT,__text) external ___bt_get
00000001805f9688 (__TEXT,__text) external ___bt_new
00000001805f8bec (__TEXT,__text) external ___bt_open
00000001805f884c (__TEXT,__text) non-external ___bt_pdelete
00000001805f7b20 (__TEXT,__text) external ___bt_pgin
00000001805f7ca4 (__TEXT,__text) external ___bt_pgout
00000001805f9704 (__TEXT,__text) external ___bt_put
00000001805f8a68 (__TEXT,__text) non-external ___bt_relink
00000001805fb544 (__TEXT,__text) external ___bt_ret
00000001805f9c14 (__TEXT,__text) external ___bt_search
00000001805f9e6c (__TEXT,__text) external ___bt_seq
00000001805fa264 (__TEXT,__text) external ___bt_setcur
00000001805fa4d8 (__TEXT,__text) external ___bt_split
00000001805f80fc (__TEXT,__text) non-external ___bt_stkacq
00000001805f7a44 (__TEXT,__text) external ___bt_sync
00000001805fdc34 (__TEXT,__text) external ___buf_free
00000001805fdc04 (__TEXT,__text) non-external (was a private external) ___buf_init
0000000182761158 (__DATA,__data) non-external ___c_locale
0000000180642424 (__TEXT,__text) non-external ___calc_left_pad
00000001805fc6c8 (__TEXT,__text) external ___call_hash
0000000182761fd8 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
000000018064e92c (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
000000018064e948 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
000000018064e928 (__TEXT,__text) non-external (was a private external) ___chk_init
000000018064e964 (__TEXT,__text) non-external (was a private external) ___chk_overlap
000000018276dbb0 (__DATA,__common) external ___cleanup
0000000180604400 (__TEXT,__text) external ___cmp_D2A
000000018060f9c0 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
000000018060fb7c (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
000000018060fce8 (__TEXT,__text) external ___collate_equiv_match
000000018060fff8 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
000000018060f158 (__TEXT,__text) non-external (was a private external) ___collate_err
0000000182761818 (__DATA,__data) external ___collate_load_error
000000018060e7e4 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
0000000182762f20 (__DATA,__bss) non-external ___collate_load_tables.cache
000000018060f4cc (__TEXT,__text) external ___collate_lookup
000000018060f214 (__TEXT,__text) external ___collate_lookup_l
000000018060f69c (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
000000018060f5a8 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
000000018061012c (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
0000000182762f28 (__DATA,__bss) non-external ___collate_range_cmp.s1
0000000182762f30 (__DATA,__bss) non-external ___collate_range_cmp.s2
000000018060ef1c (__TEXT,__text) non-external (was a private external) ___collate_substitute
000000018060f104 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
000000018060f77c (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001805ecc58 (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001806049b0 (__TEXT,__text) external ___copybits_D2A
000000018063c22c (__TEXT,__text) non-external ___cvt
000000018276dae8 (__DATA,__bss) non-external ___cvt.s
00000001806345ec (__TEXT,__text) external ___cxa_atexit
00000001806348f8 (__TEXT,__text) external ___cxa_finalize
0000000180634620 (__TEXT,__text) external ___cxa_finalize_ranges
00000001806046a4 (__TEXT,__text) external ___d2b_D2A
000000018276db68 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00000001805fb950 (__TEXT,__text) non-external ___dberr
00000001805fb8f8 (__TEXT,__text) external ___dbpanic
00000001827768a8 (__AUTH,__data) external ___default_hash
00000001805fde44 (__TEXT,__text) external ___delpair
0000000180613b50 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
0000000180604458 (__TEXT,__text) external ___diff_D2A
0000000182762c78 (__DATA,__bss) non-external ___dirhelper_func
0000000180601b8c (__TEXT,__text) external ___dtoa
000000018276dbd0 (__DATA,__common) non-external (was a private external) ___env_owned
0000000180634ce8 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
000000018276da7c (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180631178 (__TEXT,__text) non-external (was a private external) ___errstr
000000018061ba74 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00000001805fc564 (__TEXT,__text) external ___expand_table
0000000182764998 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00000001806185d8 (__TEXT,__text) external ___fflush
0000000180618a70 (__TEXT,__text) external ___fgetwc
000000018061c474 (__TEXT,__text) non-external (was a private external) ___find_arguments
00000001805fd010 (__TEXT,__text) external ___find_bigpair
00000001805fd138 (__TEXT,__text) external ___find_last_page
000000018061d2a0 (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180634c14 (__TEXT,__text) non-external (was a private external) ___findenv_locked
00000001806106a8 (__TEXT,__text) external ___fix_locale_grouping_str
000000018061076c (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180619854 (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180619dec (__TEXT,__text) external ___fread
00000001805ff330 (__TEXT,__text) external ___free_ovflpage
0000000180601a3c (__TEXT,__text) external ___freedtoa
0000000182761fdc (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00000001805ed964 (__TEXT,__text) non-external ___fts_open
00000001806029e8 (__TEXT,__text) external ___gdtoa
000000018276db18 (__DATA,__common) external ___gdtoa_locks
00000001805fd864 (__TEXT,__text) external ___get_buf
0000000180611398 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180611960 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180611d0c (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180630770 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
0000000180613920 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00000001805feda0 (__TEXT,__text) external ___get_page
0000000180608b90 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
0000000182764980 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000182760b80 (__DATA,__data) non-external (was a private external) ___global_locale
0000000180634188 (__TEXT,__text) non-external (was a private external) ___guard_setup
00000001805fb958 (__TEXT,__text) external ___hash_open
0000000180601614 (__TEXT,__text) external ___hdtoa
000000018063c9f8 (__TEXT,__text) non-external (was a private external) ___heapsort_r
000000018060400c (__TEXT,__text) external ___hi0bits_D2A
0000000180601984 (__TEXT,__text) external ___hldtoa
0000000180604084 (__TEXT,__text) external ___i2b_D2A
00000001805ff270 (__TEXT,__text) external ___ibitmap
0000000180639cdc (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180612eb8 (__TEXT,__text) external ___isctype
0000000180612e78 (__TEXT,__text) external ___istype
0000000180613004 (__TEXT,__text) external ___istype_l
0000000182761791 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180611038 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
000000018063ccc4 (__TEXT,__text) external ___ldtoa
00000001805f6d08 (__TEXT,__text) external ___libc_init
0000000180603ea0 (__TEXT,__text) external ___lo0bits_D2A
000000018061babc (__TEXT,__text) non-external ___loadevp
0000000182761148 (__DATA,__data) non-external (was a private external) ___locale_key
00000001805fde14 (__TEXT,__text) external ___log2
0000000180652a10 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
0000000180604300 (__TEXT,__text) external ___lshift_D2A
0000000180612e18 (__TEXT,__text) external ___maskrune
0000000180612f9c (__TEXT,__text) external ___maskrune_l
000000018060496c (__TEXT,__text) external ___match_D2A
0000000182761820 (__DATA,__data) external ___mb_cur_max
0000000182761824 (__DATA,__data) external ___mb_sb_limit
0000000180627308 (__TEXT,__text) non-external ___mbsconv
0000000180612240 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
000000018064ebd4 (__TEXT,__text) external ___memccpy_chk
000000018064ef0c (__TEXT,__text) external ___memcpy_chk
000000018064eb40 (__TEXT,__text) external ___memmove_chk
000000018064e9a8 (__TEXT,__text) external ___memset_chk
0000000180611048 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
0000000182762f38 (__DATA,__bss) non-external ___messages_load_locale.cache
00000001806113b8 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
0000000182762f48 (__DATA,__bss) non-external ___monetary_load_locale.cache
00000001806040b4 (__TEXT,__text) external ___mult_D2A
0000000180603f54 (__TEXT,__text) external ___multadd_D2A
0000000180617e44 (__TEXT,__text) non-external ___nls_free_resources
0000000180652501 (__TEXT,__const) non-external ___nogrouping
00000001806019e4 (__TEXT,__text) external ___nrv_alloc_D2A
00000001805f42cc (__TEXT,__text) non-external (was a private external) ___numeric_ctype
0000000180611980 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
0000000182762f58 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
0000000180613bf8 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00000001806094e4 (__TEXT,__text) external ___opendir2
0000000180609604 (__TEXT,__text) non-external ___opendir_common
00000001805f9594 (__TEXT,__text) external ___ovfl_delete
00000001805f93ac (__TEXT,__text) external ___ovfl_get
00000001805f9494 (__TEXT,__text) external ___ovfl_put
00000001806246fc (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00000001827649c0 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00000001827649b8 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
0000000182761c20 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
0000000180610dec (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
000000018276db38 (__DATA,__common) non-external (was a private external) ___popen_pidlist
0000000182761798 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00000001806041e8 (__TEXT,__text) external ___pow5mult_D2A
0000000180651da0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
000000018063f938 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
0000000180650850 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
000000018063dd24 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
0000000180650674 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
000000018063de64 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00000001806506a0 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
000000018063e8b8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00000001806506f8 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
000000018063eb34 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
0000000180650724 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
0000000180640140 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00000001806508d4 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
0000000180640128 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
000000018063f2d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00000001806507cc (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
000000018063f39c (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00000001806507f8 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
000000018063f688 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
0000000180650824 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
000000018063fad4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
000000018065087c (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
000000018063fdd0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00000001806508a8 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00000001806401e8 (__TEXT,__text) non-external (was a private external) ___printf_comp
0000000180640968 (__TEXT,__text) non-external (was a private external) ___printf_exec
000000018063ff2c (__TEXT,__text) non-external (was a private external) ___printf_flush
000000018061f968 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
0000000180640074 (__TEXT,__text) non-external (was a private external) ___printf_out
000000018063ffd0 (__TEXT,__text) non-external (was a private external) ___printf_pad
000000018063ff64 (__TEXT,__text) non-external (was a private external) ___printf_puts
000000018063f984 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
000000018063dd4c (__TEXT,__text) non-external (was a private external) ___printf_render_errno
000000018063deb4 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00000001806506cc (__TEXT,__text) non-external ___printf_render_float.cold.1
000000018063e8e8 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
000000018063ebcc (__TEXT,__text) non-external (was a private external) ___printf_render_int
0000000180650750 (__TEXT,__text) non-external ___printf_render_int.cold.1
00000001806507a0 (__TEXT,__text) non-external ___printf_render_int.cold.2
0000000180640168 (__TEXT,__text) non-external (was a private external) ___printf_render_n
0000000180640130 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
000000018063f308 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
000000018063f3c4 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
000000018063f6c8 (__TEXT,__text) non-external (was a private external) ___printf_render_str
000000018063fafc (__TEXT,__text) non-external (was a private external) ___printf_render_time
000000018063fdf8 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00000001806086ec (__TEXT,__text) non-external (was a private external) ___private_getcwd
0000000182762e00 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00000001805fef80 (__TEXT,__text) external ___put_page
0000000180652594 (__TEXT,__const) non-external (was a private external) ___puts_null__
0000000180601a50 (__TEXT,__text) external ___quorem_D2A
00000001806048cc (__TEXT,__text) external ___ratio_D2A
00000001805ffd24 (__TEXT,__text) external ___rec_close
0000000180600020 (__TEXT,__text) external ___rec_delete
000000018060016c (__TEXT,__text) external ___rec_dleaf
0000000180600b7c (__TEXT,__text) external ___rec_fd
00000001806005e8 (__TEXT,__text) external ___rec_fmap
00000001806003a8 (__TEXT,__text) external ___rec_fpipe
000000018060029c (__TEXT,__text) external ___rec_get
0000000180600ea4 (__TEXT,__text) external ___rec_iput
00000001806007d8 (__TEXT,__text) external ___rec_open
0000000180600bd4 (__TEXT,__text) external ___rec_put
00000001806014b4 (__TEXT,__text) external ___rec_ret
00000001806010e4 (__TEXT,__text) external ___rec_search
00000001806012b8 (__TEXT,__text) external ___rec_seq
00000001805ffddc (__TEXT,__text) external ___rec_sync
00000001806006fc (__TEXT,__text) external ___rec_vmap
00000001806004c0 (__TEXT,__text) external ___rec_vpipe
00000001805fdd0c (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
0000000180603b5c (__TEXT,__text) external ___rshift_D2A
0000000180601988 (__TEXT,__text) external ___rv_alloc_D2A
00000001806047e0 (__TEXT,__text) external ___s2b_D2A
00000001827768b0 (__AUTH,__data) external ___sF
0000000182761910 (__DATA,__data) non-external ___sFX
000000018061e9f8 (__TEXT,__text) external ___sclose
0000000182763180 (__DATA,__bss) non-external ___scounted
000000018276db50 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
0000000180639d54 (__TEXT,__text) non-external (was a private external) ___setenv_locked
0000000180613d18 (__TEXT,__text) non-external (was a private external) ___setrunelocale
0000000182763130 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
0000000182763138 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00000001806424e0 (__TEXT,__text) non-external ___setup_vars
0000000180619440 (__TEXT,__text) external ___sflags
000000018061844c (__TEXT,__text) external ___sflush
0000000180618f50 (__TEXT,__text) external ___sfp
0000000180619324 (__TEXT,__text) non-external (was a private external) ___sfprelease
000000018061ab80 (__TEXT,__text) external ___sfvwrite
0000000182761bb0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
0000000180619138 (__TEXT,__text) external ___sinit
0000000180618670 (__TEXT,__text) external ___slbexpand
000000018061b778 (__TEXT,__text) external ___smakebuf
000000018064ec38 (__TEXT,__text) external ___snprintf_chk
000000018064ec78 (__TEXT,__text) external ___snprintf_object_size_chk
00000001805fdfc0 (__TEXT,__text) external ___split_page
000000018062796c (__TEXT,__text) non-external ___sprint
000000018064ee30 (__TEXT,__text) external ___sprintf_chk
000000018064eea0 (__TEXT,__text) external ___sprintf_object_size_chk
000000018061e9b0 (__TEXT,__text) external ___sread
000000018061e380 (__TEXT,__text) external ___srefill
000000018061e168 (__TEXT,__text) non-external (was a private external) ___srefill0
000000018061e310 (__TEXT,__text) non-external (was a private external) ___srefill1
000000018061e4d0 (__TEXT,__text) external ___srget
000000018061e9f0 (__TEXT,__text) external ___sseek
00000001806342f0 (__TEXT,__text) external ___stack_chk_fail
000000018276db70 (__DATA,__common) external ___stack_chk_guard
0000000182761b90 (__DATA,__data) external ___stderrp
0000000182761b80 (__DATA,__data) external ___stdinp
000000018064efd8 (__TEXT,__text) non-external (was a private external) ___stdio_init
0000000182764988 (__DATA,__bss) non-external ___stdout_evp
0000000182761b88 (__DATA,__data) external ___stdoutp
000000018064edc0 (__TEXT,__text) external ___stpcpy_chk
000000018064ef34 (__TEXT,__text) external ___stpncpy_chk
000000018064ecc0 (__TEXT,__text) external ___strcat_chk
00000001806047c0 (__TEXT,__text) external ___strcp_D2A
000000018064eb68 (__TEXT,__text) external ___strcpy_chk
0000000182763188 (__DATA,__bss) non-external ___stream_max
000000018276da50 (__DATA,__bss) non-external ___strerror_ebuf
000000018064e84c (__TEXT,__text) external ___strlcat_chk
000000018064e9d0 (__TEXT,__text) external ___strlcpy_chk
000000018064ea30 (__TEXT,__text) external ___strncat_chk
000000018064ead0 (__TEXT,__text) external ___strncpy_chk
0000000180604a90 (__TEXT,__text) external ___sum_D2A
00000001806246d0 (__TEXT,__text) external ___svfscanf
0000000180622db0 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00000001806525dc (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180629fa8 (__TEXT,__text) external ___swbuf
000000018061b99c (__TEXT,__text) external ___swhatbuf
000000018061e9d0 (__TEXT,__text) external ___swrite
000000018062a1e0 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
0000000182761eb0 (__DATA,__data) non-external ___systemfn_mutex
0000000182761f98 (__DATA,__data) non-external ___systemfn_mutex
0000000180651e00 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00000001805f140c (__TEXT,__text) non-external ___thread_stack_async_pcs
00000001805f11dc (__TEXT,__text) non-external ___thread_stack_pcs
0000000180630790 (__TEXT,__text) non-external (was a private external) ___time_load_locale
000000018276da48 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180651dd8 (__TEXT,__const) external ___tinytens_D2A
0000000180612f20 (__TEXT,__text) external ___tolower
0000000180613068 (__TEXT,__text) external ___tolower_l
0000000180612ee4 (__TEXT,__text) external ___toupper
0000000180613048 (__TEXT,__text) external ___toupper_l
0000000180603c30 (__TEXT,__text) external ___trailz_D2A
0000000180604bd8 (__TEXT,__text) external ___ulp_D2A
0000000180622944 (__TEXT,__text) non-external ___ultoa
00000001806275b8 (__TEXT,__text) non-external ___ultoa
000000018061f1c0 (__TEXT,__text) external ___ungetc
000000018061f358 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
000000018063a0d8 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180652a21 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180640d50 (__TEXT,__text) non-external (was a private external) ___v2printf
000000018061f9d8 (__TEXT,__text) non-external (was a private external) ___vfprintf
00000001806501e4 (__TEXT,__text) non-external ___vfprintf.cold.1
000000018065259b (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00000001806525ab (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180624a50 (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180652600 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180652610 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180627b60 (__TEXT,__text) non-external (was a private external) ___vfwscanf
00000001806526fc (__TEXT,__const) non-external ___vfwscanf.basefix
000000018064efa8 (__TEXT,__text) external ___vsnprintf_chk
000000018064ed50 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180615174 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180614edc (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180612f5c (__TEXT,__text) external ___wcwidth
0000000180613088 (__TEXT,__text) external ___wcwidth_l
0000000180614390 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001805f46c8 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00000001805f4700 (__TEXT,__text) non-external ___xlocale_release
