00007ffe064ae320 (__TEXT,__text) external _AAAFSCGetMetadata
00007ffe06492e71 (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffe06493587 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffe0649357f (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffe06493068 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffe064932d0 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffe06493213 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffe06493484 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffe0649351b (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffe06493596 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffe064ac91c (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffe064acc6f (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffe064b6191 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffe0649c60d (__TEXT,__text) external _AAHeaderAssign
00007ffe0649cbdd (__TEXT,__text) external _AAHeaderClear
00007ffe0649c561 (__TEXT,__text) external _AAHeaderClone
00007ffe0649c474 (__TEXT,__text) external _AAHeaderCreate
00007ffe0649c7c5 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffe0649c80c (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffe0649c51b (__TEXT,__text) external _AAHeaderDestroy
00007ffe0649dc84 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffe0649dc7a (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffe0649c364 (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffe0649c306 (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffe0649cdd1 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffe0649c3f2 (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffe0649ccc0 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffe0649ced8 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffe0649c30e (__TEXT,__text) external _AAHeaderGetFieldType
00007ffe0649cc39 (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffe0649cc02 (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffe0649dc70 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffe0649c867 (__TEXT,__text) external _AAHeaderRemoveField
00007ffe0649da73 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffe0649cffa (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffe0649d650 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffe0649d434 (__TEXT,__text) external _AAHeaderSetFieldString
00007ffe0649d893 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffe0649d239 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffe064b3845 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamClose
00007ffe064b3767 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamOpen
00007ffe064b3887 (__TEXT,__text) non-external (was a private external) _AAJSONInputStreamRead
00007ffe064ad0ca (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffe0645e522 (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffe0645e8e0 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffe0645e719 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffe0643f438 (__TEXT,__text) external _AAPathFilterAddRule
00007ffe0643f946 (__TEXT,__text) external _AAPathFilterApply
00007ffe064ba542 (__TEXT,__text) non-external _AAPathFilterApply.cold.1
00007ffe064ba5dd (__TEXT,__text) non-external _AAPathFilterApply.cold.2
00007ffe0643f2d8 (__TEXT,__text) external _AAPathFilterCreate
00007ffe0643f3bd (__TEXT,__text) external _AAPathFilterDestroy
00007ffe06493600 (__TEXT,__text) external _AAPathListCreate
00007ffe06493796 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffe06494e61 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffe06493767 (__TEXT,__text) external _AAPathListDestroy
00007ffe06495335 (__TEXT,__text) external _AAPathListGetNode
00007ffe0649546c (__TEXT,__text) external _AAPathListMerge
00007ffe064955c8 (__TEXT,__text) external _AAPathListNodeFirst
00007ffe06495212 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffe064955e4 (__TEXT,__text) external _AAPathListNodeNext
00007ffe06453b68 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffe0648dbb0 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffe0646766f (__TEXT,__text) external _AARangeInputStreamOpen
00007ffe064589c1 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffe064acf37 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffe064ad387 (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffe064acceb (__TEXT,__text) external _AATempFileStreamOpen
00007ffe064accf7 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffe0647aebd (__TEXT,__text) external _AATempStreamOpen
00007ffe0647aec9 (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffe0648c875 (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffe0648c87f (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffe06442d24 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffe0643e0c6 (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffe0643e78c (__TEXT,__text) external _AEAAuthDataClear
00007ffe0643d9a8 (__TEXT,__text) external _AEAAuthDataCreate
00007ffe0643da68 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffe0643da0e (__TEXT,__text) external _AEAAuthDataDestroy
00007ffe0643e86b (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffe0643e861 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffe0643df93 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffe0643df8b (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffe0643e79d (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffe0643e4a8 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffe0647f999 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffe0647f8e0 (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffe06457ad6 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffe0647f864 (__TEXT,__text) external _AEAContextDestroy
00007ffe064804b5 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffe06480642 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffe0647fd8c (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffe0647fcd4 (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffe06480190 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffe064805e3 (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffe0647ffbc (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffe06445371 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffe06444e55 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffe06444ece (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffe06444dbf (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffe0643b847 (__TEXT,__text) external _AEADecryptAndExtract
00007ffe06487c65 (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffe0643b2bc (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffe064896a6 (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffe064336e0 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffe064504d1 (__TEXT,__text) external _AEADecryptInPlace
00007ffe06459ff0 (__TEXT,__text) external _AEADecryptToFile
00007ffe0647a144 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffe06459a4d (__TEXT,__text) external _AEADecryptToFileChunk
00007ffe0647ae3f (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffe064b8d3d (__TEXT,__text) external _AEADecryptToStream
00007ffe064b84f8 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffe064543b3 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffe064469c7 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffe064391fa (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffe06450a22 (__TEXT,__text) external _AEAEncryptInPlace
00007ffe0644b57d (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffe0644a7af (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffe0644adb5 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffe06450bbe (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffe064514a4 (__TEXT,__text) external _AEAKeychainHasItem
00007ffe064512f2 (__TEXT,__text) external _AEAKeychainLoadItem
00007ffe064515ad (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffe06450e70 (__TEXT,__text) external _AEAKeychainStoreItem
00007ffe06442478 (__TEXT,__text) external _AEAStreamSign
00007ffe0647cf9f (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffe06479e9b (__TEXT,__text) non-external _BXDiff5Data_free
00007ffe0644e939 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffe0647cfae (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffe06461ca4 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffe06462e38 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffe06462e67 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffe06463125 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffe0646312f (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffe06463138 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffe06463142 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffe0644f566 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffe0644f7c8 (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffe0644e98b (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffe0644f681 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffe0645fd77 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffe0645fcdd (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffe0645fc38 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffe064545b0 (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffe06454588 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffe064545cd (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffe06454972 (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffe0646ab07 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffe0646aaaa (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffe0646aac3 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffe0646cbe0 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffe0646cbcc (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffe0646cbd6 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffe064cf1f0 (__TEXT,__const) non-external _CKSUMTable
00007ffe064b1574 (__TEXT,__text) non-external _CompressionConsumerProc
00007ffe064b13a0 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffe064b224c (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffe064b14ea (__TEXT,__text) non-external _CompressionWorkerProc
00007ffe06445d54 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffe064459cf (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffe0644628d (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffe064464f8 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffe064460a4 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffe06446237 (__TEXT,__text) non-external _Digest_SHA256
00007ffe06454d24 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffe06454985 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffe064cef80 (__TEXT,__const) non-external _ECC65537_G
00007ffe06460408 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffe0645fb84 (__TEXT,__text) non-external _ForkOutputStreamCancel
00007ffe0645fb95 (__TEXT,__text) non-external _ForkOutputStreamClose
00007ffe0645f86e (__TEXT,__text) non-external _ForkOutputStreamPWrite
00007ffe0645ece6 (__TEXT,__text) non-external _ForkOutputStreamWrite
00007ffe06481a5b (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffe06480fc6 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffe06444c34 (__TEXT,__text) non-external _HKDFDerive
00007ffe0644682f (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffe064467bd (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffe0644672d (__TEXT,__text) non-external _HMACInit_SHA256
00007ffe064467a5 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffe0644690a (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffe06455db2 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffe06455b5c (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffe06455cab (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffe06455d96 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffe06455b22 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffe064643dc (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffe0646408a (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffe064643a5 (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffe06464504 (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffe06455dc7 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffe064563e8 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffe0645637f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffe06456465 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffe06465105 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffe06465049 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffe0646503f (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffe064650ba (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffe06463f1c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffe0647e0f8 (__TEXT,__text) non-external _InSituStreamCancel
00007ffe0647dc83 (__TEXT,__text) non-external _InSituStreamClose
00007ffe0647de31 (__TEXT,__text) non-external _InSituStreamPRead
00007ffe0647df7f (__TEXT,__text) non-external _InSituStreamPWrite
00007ffe0647e112 (__TEXT,__text) non-external _InSituStreamSimulate
00007ffe0647e105 (__TEXT,__text) non-external _InSituTruncate
00007ffe06477145 (__TEXT,__text) non-external _IntervalStreamCancel
00007ffe06477152 (__TEXT,__text) non-external _IntervalStreamClose
00007ffe064770b8 (__TEXT,__text) non-external _IntervalStreamPRead
00007ffe064770aa (__TEXT,__text) non-external _IntervalStreamRead
00007ffe0647710e (__TEXT,__text) non-external _IntervalStreamSeek
00007ffe06480efd (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffe064807e0 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffe06463cf6 (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffe06463cb5 (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffe06463138 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffe06463f12 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffe06463710 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
