00007ffa167aff0a (__TEXT,__text) external _CGLGetCurrentContext
00007ffa167abdd8 (__TEXT,__text) external _glBindTransformFeedback
00007ffa167aa9a6 (__TEXT,__text) external _glBindVertexArray
00007ffa167afaae (__TEXT,__text) external _glBindVertexArrayAPPLE
00007ffa167a5e48 (__TEXT,__text) external _glBitmap
00007ffa167a85c2 (__TEXT,__text) external _glBlendColor
00007ffa167aec36 (__TEXT,__text) external _glBlendColorEXT
00007ffa167a85dc (__TEXT,__text) external _glBlendEquation
00007ffa167aec50 (__TEXT,__text) external _glBlendEquationEXT
00007ffa167aa58f (__TEXT,__text) external _glBlendEquationSeparate
00007ffa167afd80 (__TEXT,__text) external _glBlendEquationSeparateATI
00007ffa167aec6c (__TEXT,__text) external _glBlendEquationSeparateEXT
00007ffa167abf58 (__TEXT,__text) external _glBlendEquationSeparatei
00007ffa167ae5dc (__TEXT,__text) external _glBlendEquationSeparateiARB
00007ffa167abf3a (__TEXT,__text) external _glBlendEquationi
00007ffa167ae5be (__TEXT,__text) external _glBlendEquationiARB
00007ffa167a5e66 (__TEXT,__text) external _glBlendFunc
00007ffa167a951a (__TEXT,__text) external _glBlendFuncSeparate
00007ffa167aebc4 (__TEXT,__text) external _glBlendFuncSeparateEXT
00007ffa167abf9a (__TEXT,__text) external _glBlendFuncSeparatei
00007ffa167ae61e (__TEXT,__text) external _glBlendFuncSeparateiARB
00007ffa167abf79 (__TEXT,__text) external _glBlendFunci
00007ffa167ae5fd (__TEXT,__text) external _glBlendFunciARB
00007ffa167aa8bc (__TEXT,__text) external _glBlitFramebuffer
00007ffa167aeec1 (__TEXT,__text) external _glBlitFramebufferEXT
00007ffa167a98cc (__TEXT,__text) external _glBufferData
00007ffa167ade8f (__TEXT,__text) external _glBufferDataARB
00007ffa167afc29 (__TEXT,__text) external _glBufferParameteriAPPLE
00007ffa167a98f2 (__TEXT,__text) external _glBufferSubData
00007ffa167adeb5 (__TEXT,__text) external _glBufferSubDataARB
00007ffa167a5e81 (__TEXT,__text) external _glCallList
00007ffa167a5e9a (__TEXT,__text) external _glCallLists
00007ffa167aa7bb (__TEXT,__text) external _glCheckFramebufferStatus
00007ffa167aedc0 (__TEXT,__text) external _glCheckFramebufferStatusEXT
00007ffa167aabb1 (__TEXT,__text) external _glClampColor
00007ffa167ae51d (__TEXT,__text) external _glClampColorARB
00007ffa167a5eb8 (__TEXT,__text) external _glClear
00007ffa167a5ed1 (__TEXT,__text) external _glClearAccum
00007ffa167ab15a (__TEXT,__text) external _glClearBufferfi
00007ffa167ab138 (__TEXT,__text) external _glClearBufferfv
00007ffa167ab0f4 (__TEXT,__text) external _glClearBufferiv
00007ffa167ab116 (__TEXT,__text) external _glClearBufferuiv
00007ffa167a5ee8 (__TEXT,__text) external _glClearColor
00007ffa167af5cb (__TEXT,__text) external _glClearColorIiEXT
00007ffa167af5ef (__TEXT,__text) external _glClearColorIuiEXT
00007ffa167a5eff (__TEXT,__text) external _glClearDepth
00007ffa167ac03f (__TEXT,__text) external _glClearDepthf
00007ffa167a5f16 (__TEXT,__text) external _glClearIndex
00007ffa167a5f2d (__TEXT,__text) external _glClearStencil
00007ffa167a8bd6 (__TEXT,__text) external _glClientActiveTexture
00007ffa167ad4de (__TEXT,__text) external _glClientActiveTextureARB
00007ffa167ab47d (__TEXT,__text) external _glClientWaitSync
00007ffa167a5f49 (__TEXT,__text) external _glClipPlane
00007ffa167a5f68 (__TEXT,__text) external _glColor3b
00007ffa167a5f88 (__TEXT,__text) external _glColor3bv
00007ffa167a5fa5 (__TEXT,__text) external _glColor3d
00007ffa167a5fbf (__TEXT,__text) external _glColor3dv
00007ffa167a5fdc (__TEXT,__text) external _glColor3f
00007ffa167a5ff6 (__TEXT,__text) external _glColor3fv
00007ffa167a6013 (__TEXT,__text) external _glColor3i
00007ffa167a6033 (__TEXT,__text) external _glColor3iv
00007ffa167a6050 (__TEXT,__text) external _glColor3s
00007ffa167a6070 (__TEXT,__text) external _glColor3sv
00007ffa167a608d (__TEXT,__text) external _glColor3ub
00007ffa167a60ad (__TEXT,__text) external _glColor3ubv
00007ffa167a60ca (__TEXT,__text) external _glColor3ui
00007ffa167a60ea (__TEXT,__text) external _glColor3uiv
00007ffa167a6107 (__TEXT,__text) external _glColor3us
00007ffa167a6127 (__TEXT,__text) external _glColor3usv
00007ffa167a6144 (__TEXT,__text) external _glColor4b
00007ffa167a6167 (__TEXT,__text) external _glColor4bv
00007ffa167a6184 (__TEXT,__text) external _glColor4d
00007ffa167a619e (__TEXT,__text) external _glColor4dv
00007ffa167a61bb (__TEXT,__text) external _glColor4f
00007ffa167a61d5 (__TEXT,__text) external _glColor4fv
00007ffa167a61f2 (__TEXT,__text) external _glColor4i
00007ffa167a6215 (__TEXT,__text) external _glColor4iv
00007ffa167a6232 (__TEXT,__text) external _glColor4s
00007ffa167a6255 (__TEXT,__text) external _glColor4sv
00007ffa167a6272 (__TEXT,__text) external _glColor4ub
00007ffa167a6295 (__TEXT,__text) external _glColor4ubv
00007ffa167a62b2 (__TEXT,__text) external _glColor4ui
00007ffa167a62d5 (__TEXT,__text) external _glColor4uiv
00007ffa167a62f2 (__TEXT,__text) external _glColor4us
00007ffa167a6315 (__TEXT,__text) external _glColor4usv
00007ffa167a6332 (__TEXT,__text) external _glColorMask
00007ffa167af69b (__TEXT,__text) external _glColorMaskIndexedEXT
00007ffa167aaa1c (__TEXT,__text) external _glColorMaski
00007ffa167a6355 (__TEXT,__text) external _glColorMaterial
00007ffa167a6373 (__TEXT,__text) external _glColorPointer
00007ffa167a8812 (__TEXT,__text) external _glColorSubTable
00007ffa167ae860 (__TEXT,__text) external _glColorSubTableEXT
00007ffa167a870c (__TEXT,__text) external _glColorTable
00007ffa167ae82d (__TEXT,__text) external _glColorTableEXT
00007ffa167a873f (__TEXT,__text) external _glColorTableParameterfv
00007ffa167a8761 (__TEXT,__text) external _glColorTableParameteriv
00007ffa167afe9f (__TEXT,__text) external _glCombinerInputNV
00007ffa167afea5 (__TEXT,__text) external _glCombinerOutputNV
00007ffa167afe8d (__TEXT,__text) external _glCombinerParameterfNV
00007ffa167afe87 (__TEXT,__text) external _glCombinerParameterfvNV
00007ffa167afe99 (__TEXT,__text) external _glCombinerParameteriNV
00007ffa167afe93 (__TEXT,__text) external _glCombinerParameterivNV
00007ffa167afed5 (__TEXT,__text) external _glCombinerStageParameterfvNV
00007ffa167a9fb0 (__TEXT,__text) external _glCompileShader
00007ffa167ae01a (__TEXT,__text) external _glCompileShaderARB
00007ffa167ae68c (__TEXT,__text) external _glCompileShaderIncludeARB
00007ffa167a90de (__TEXT,__text) external _glCompressedTexImage1D
00007ffa167ad9e6 (__TEXT,__text) external _glCompressedTexImage1DARB
00007ffa167a90a4 (__TEXT,__text) external _glCompressedTexImage2D
00007ffa167ad9ac (__TEXT,__text) external _glCompressedTexImage2DARB
00007ffa167a9066 (__TEXT,__text) external _glCompressedTexImage3D
00007ffa167ad96e (__TEXT,__text) external _glCompressedTexImage3DARB
00007ffa167a919e (__TEXT,__text) external _glCompressedTexSubImage1D
00007ffa167adaa6 (__TEXT,__text) external _glCompressedTexSubImage1DARB
00007ffa167a9160 (__TEXT,__text) external _glCompressedTexSubImage2D
00007ffa167ada68 (__TEXT,__text) external _glCompressedTexSubImage2DARB
00007ffa167a910e (__TEXT,__text) external _glCompressedTexSubImage3D
00007ffa167ada16 (__TEXT,__text) external _glCompressedTexSubImage3DARB
00007ffa167a886c (__TEXT,__text) external _glConvolutionFilter1D
00007ffa167a889f (__TEXT,__text) external _glConvolutionFilter2D
00007ffa167a88cf (__TEXT,__text) external _glConvolutionParameterf
00007ffa167a88ed (__TEXT,__text) external _glConvolutionParameterfv
00007ffa167a890f (__TEXT,__text) external _glConvolutionParameteri
00007ffa167a8930 (__TEXT,__text) external _glConvolutionParameteriv
00007ffa167ab199 (__TEXT,__text) external _glCopyBufferSubData
00007ffa167a8845 (__TEXT,__text) external _glCopyColorSubTable
00007ffa167a8783 (__TEXT,__text) external _glCopyColorTable
00007ffa167a8952 (__TEXT,__text) external _glCopyConvolutionFilter1D
00007ffa167a8979 (__TEXT,__text) external _glCopyConvolutionFilter2D
00007ffa167a6396 (__TEXT,__text) external _glCopyPixels
00007ffa167a63bc (__TEXT,__text) external _glCopyTexImage1D
00007ffa167a63ef (__TEXT,__text) external _glCopyTexImage2D
00007ffa167a642e (__TEXT,__text) external _glCopyTexSubImage1D
00007ffa167a6461 (__TEXT,__text) external _glCopyTexSubImage2D
00007ffa167a86c8 (__TEXT,__text) external _glCopyTexSubImage3D
00007ffa167a9fcf (__TEXT,__text) external _glCreateProgram
00007ffa167ae037 (__TEXT,__text) external _glCreateProgramObjectARB
00007ffa167a9f6c (__TEXT,__text) external _glCreateShader
00007ffa167adfd8 (__TEXT,__text) external _glCreateShaderObjectARB
00007ffa167ac106 (__TEXT,__text) external _glCreateShaderProgramv
00007ffa167a64a0 (__TEXT,__text) external _glCullFace
00007ffa167a9872 (__TEXT,__text) external _glDeleteBuffers
00007ffa167ade35 (__TEXT,__text) external _glDeleteBuffersARB
00007ffa167af987 (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffa167aa77d (__TEXT,__text) external _glDeleteFramebuffers
00007ffa167aed82 (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffa167a64bc (__TEXT,__text) external _glDeleteLists
00007ffa167ae66d (__TEXT,__text) external _glDeleteNamedStringARB
00007ffa167adf7f (__TEXT,__text) external _glDeleteObjectARB
00007ffa167aa049 (__TEXT,__text) external _glDeleteProgram
00007ffa167ac144 (__TEXT,__text) external _glDeleteProgramPipelines
00007ffa167acbc7 (__TEXT,__text) external _glDeleteProgramsARB
00007ffa167a9779 (__TEXT,__text) external _glDeleteQueries
00007ffa167add3c (__TEXT,__text) external _glDeleteQueriesARB
00007ffa167aa6bf (__TEXT,__text) external _glDeleteRenderbuffers
00007ffa167aecc4 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffa167ab67b (__TEXT,__text) external _glDeleteSamplers
00007ffa167a9f28 (__TEXT,__text) external _glDeleteShader
00007ffa167ab460 (__TEXT,__text) external _glDeleteSync
00007ffa167a64da (__TEXT,__text) external _glDeleteTextures
00007ffa167abdf6 (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffa167aa9c2 (__TEXT,__text) external _glDeleteVertexArrays
00007ffa167afaca (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffa167ae813 (__TEXT,__text) external _glDepthBoundsEXT
00007ffa167a64f9 (__TEXT,__text) external _glDepthFunc
00007ffa167a6515 (__TEXT,__text) external _glDepthMask
00007ffa167a6531 (__TEXT,__text) external _glDepthRange
00007ffa167acb27 (__TEXT,__text) external _glDepthRangeArrayv
00007ffa167acb49 (__TEXT,__text) external _glDepthRangeIndexed
00007ffa167ac025 (__TEXT,__text) external _glDepthRangef
00007ffa167adfb8 (__TEXT,__text) external _glDetachObjectARB
00007ffa167a9f47 (__TEXT,__text) external _glDetachShader
00007ffa167a654b (__TEXT,__text) external _glDisable
00007ffa167a6567 (__TEXT,__text) external _glDisableClientState
00007ffa167af6e0 (__TEXT,__text) external _glDisableIndexedEXT
00007ffa167af83a (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffa167a9e84 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffa167ad0ca (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffa167aaaa5 (__TEXT,__text) external _glDisablei
00007ffa167a6583 (__TEXT,__text) external _glDrawArrays
00007ffa167ab9c3 (__TEXT,__text) external _glDrawArraysIndirect
00007ffa167ab2c0 (__TEXT,__text) external _glDrawArraysInstanced
00007ffa167ae559 (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffa167a65a4 (__TEXT,__text) external _glDrawBuffer
00007ffa167a99bc (__TEXT,__text) external _glDrawBuffers
00007ffa167ae4fe (__TEXT,__text) external _glDrawBuffersARB
00007ffa167afb43 (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffa167a65c0 (__TEXT,__text) external _glDrawElements
00007ffa167ab348 (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffa167ab9e2 (__TEXT,__text) external _glDrawElementsIndirect
00007ffa167ab2e4 (__TEXT,__text) external _glDrawElementsInstanced
00007ffa167ae57d (__TEXT,__text) external _glDrawElementsInstancedARB
00007ffa167ab3a2 (__TEXT,__text) external _glDrawElementsInstancedBaseVertex
00007ffa167a65e4 (__TEXT,__text) external _glDrawPixels
00007ffa167afb64 (__TEXT,__text) external _glDrawRangeElementArrayAPPLE
00007ffa167a85f8 (__TEXT,__text) external _glDrawRangeElements
00007ffa167ab36f (__TEXT,__text) external _glDrawRangeElementsBaseVertex
00007ffa167aeb91 (__TEXT,__text) external _glDrawRangeElementsEXT
00007ffa167abe7e (__TEXT,__text) external _glDrawTransformFeedback
00007ffa167abe9c (__TEXT,__text) external _glDrawTransformFeedbackStream
00007ffa167a660b (__TEXT,__text) external _glEdgeFlag
00007ffa167a6627 (__TEXT,__text) external _glEdgeFlagPointer
00007ffa167a6646 (__TEXT,__text) external _glEdgeFlagv
00007ffa167afb24 (__TEXT,__text) external _glElementPointerAPPLE
00007ffa167a6663 (__TEXT,__text) external _glEnable
00007ffa167a667f (__TEXT,__text) external _glEnableClientState
00007ffa167af6c2 (__TEXT,__text) external _glEnableIndexedEXT
00007ffa167af81c (__TEXT,__text) external _glEnableVertexAttribAPPLE
00007ffa167a9e68 (__TEXT,__text) external _glEnableVertexAttribArray
00007ffa167ad0ae (__TEXT,__text) external _glEnableVertexAttribArrayARB
00007ffa167aaa87 (__TEXT,__text) external _glEnablei
00007ffa167a669b (__TEXT,__text) external _glEnd
00007ffa167aabed (__TEXT,__text) external _glEndConditionalRender
00007ffa167afe1c (__TEXT,__text) external _glEndConditionalRenderNV
00007ffa167a66b2 (__TEXT,__text) external _glEndList
00007ffa167a97d2 (__TEXT,__text) external _glEndQuery
00007ffa167add95 (__TEXT,__text) external _glEndQueryARB
00007ffa167abede (__TEXT,__text) external _glEndQueryIndexed
00007ffa167aaafd (__TEXT,__text) external _glEndTransformFeedback
00007ffa167af056 (__TEXT,__text) external _glEndTransformFeedbackEXT
00007ffa167a66c9 (__TEXT,__text) external _glEvalCoord1d
00007ffa167a66e3 (__TEXT,__text) external _glEvalCoord1dv
00007ffa167a6700 (__TEXT,__text) external _glEvalCoord1f
00007ffa167a671a (__TEXT,__text) external _glEvalCoord1fv
00007ffa167a6737 (__TEXT,__text) external _glEvalCoord2d
00007ffa167a6751 (__TEXT,__text) external _glEvalCoord2dv
00007ffa167a676e (__TEXT,__text) external _glEvalCoord2f
00007ffa167a6788 (__TEXT,__text) external _glEvalCoord2fv
00007ffa167a67a5 (__TEXT,__text) external _glEvalMesh1
00007ffa167a67c6 (__TEXT,__text) external _glEvalMesh2
00007ffa167a67ed (__TEXT,__text) external _glEvalPoint1
00007ffa167a6809 (__TEXT,__text) external _glEvalPoint2
00007ffa167a6827 (__TEXT,__text) external _glFeedbackBuffer
00007ffa167ab425 (__TEXT,__text) external _glFenceSync
00007ffa167afeab (__TEXT,__text) external _glFinalCombinerInputNV
00007ffa167a6849 (__TEXT,__text) external _glFinish
00007ffa167af9fa (__TEXT,__text) external _glFinishFenceAPPLE
00007ffa167afa34 (__TEXT,__text) external _glFinishObjectAPPLE
00007ffa167afbfb (__TEXT,__text) external _glFinishRenderAPPLE
00007ffa167a6860 (__TEXT,__text) external _glFlush
00007ffa167aa983 (__TEXT,__text) external _glFlushMappedBufferRange
00007ffa167afc4a (__TEXT,__text) external _glFlushMappedBufferRangeAPPLE
00007ffa167afbe4 (__TEXT,__text) external _glFlushRenderAPPLE
00007ffa167afa71 (__TEXT,__text) external _glFlushVertexArrayRangeAPPLE
00007ffa167a927a (__TEXT,__text) external _glFogCoordPointer
00007ffa167aeb6f (__TEXT,__text) external _glFogCoordPointerEXT
00007ffa167a9243 (__TEXT,__text) external _glFogCoordd
00007ffa167aeb38 (__TEXT,__text) external _glFogCoorddEXT
00007ffa167a925d (__TEXT,__text) external _glFogCoorddv
00007ffa167aeb52 (__TEXT,__text) external _glFogCoorddvEXT
00007ffa167a920c (__TEXT,__text) external _glFogCoordf
00007ffa167aeb01 (__TEXT,__text) external _glFogCoordfEXT
00007ffa167a9226 (__TEXT,__text) external _glFogCoordfv
00007ffa167aeb1b (__TEXT,__text) external _glFogCoordfvEXT
00007ffa167a6877 (__TEXT,__text) external _glFogf
00007ffa167a6893 (__TEXT,__text) external _glFogfv
00007ffa167a68b2 (__TEXT,__text) external _glFogi
00007ffa167a68d0 (__TEXT,__text) external _glFogiv
00007ffa167aa858 (__TEXT,__text) external _glFramebufferRenderbuffer
00007ffa167aee5d (__TEXT,__text) external _glFramebufferRenderbufferEXT
00007ffa167ab5f5 (__TEXT,__text) external _glFramebufferTexture
00007ffa167aa7d7 (__TEXT,__text) external _glFramebufferTexture1D
00007ffa167aeddc (__TEXT,__text) external _glFramebufferTexture1DEXT
00007ffa167aa7fe (__TEXT,__text) external _glFramebufferTexture2D
00007ffa167aee03 (__TEXT,__text) external _glFramebufferTexture2DEXT
00007ffa167aa825 (__TEXT,__text) external _glFramebufferTexture3D
00007ffa167aee2a (__TEXT,__text) external _glFramebufferTexture3DEXT
00007ffa167aef5c (__TEXT,__text) external _glFramebufferTextureEXT
00007ffa167aefa7 (__TEXT,__text) external _glFramebufferTextureFaceEXT
00007ffa167aa936 (__TEXT,__text) external _glFramebufferTextureLayer
00007ffa167aef80 (__TEXT,__text) external _glFramebufferTextureLayerEXT
00007ffa167a68ef (__TEXT,__text) external _glFrontFace
00007ffa167a690b (__TEXT,__text) external _glFrustum
00007ffa167a9891 (__TEXT,__text) external _glGenBuffers
00007ffa167ade54 (__TEXT,__text) external _glGenBuffersARB
00007ffa167af968 (__TEXT,__text) external _glGenFencesAPPLE
00007ffa167aa79c (__TEXT,__text) external _glGenFramebuffers
00007ffa167aeda1 (__TEXT,__text) external _glGenFramebuffersEXT
00007ffa167a6925 (__TEXT,__text) external _glGenLists
00007ffa167ac163 (__TEXT,__text) external _glGenProgramPipelines
00007ffa167acbe6 (__TEXT,__text) external _glGenProgramsARB
00007ffa167a975a (__TEXT,__text) external _glGenQueries
00007ffa167add1d (__TEXT,__text) external _glGenQueriesARB
00007ffa167aa6de (__TEXT,__text) external _glGenRenderbuffers
00007ffa167aece3 (__TEXT,__text) external _glGenRenderbuffersEXT
00007ffa167ab65c (__TEXT,__text) external _glGenSamplers
00007ffa167a6941 (__TEXT,__text) external _glGenTextures
00007ffa167abe15 (__TEXT,__text) external _glGenTransformFeedbacks
00007ffa167aa9e1 (__TEXT,__text) external _glGenVertexArrays
00007ffa167afae9 (__TEXT,__text) external _glGenVertexArraysAPPLE
00007ffa167aa8a0 (__TEXT,__text) external _glGenerateMipmap
00007ffa167aeea5 (__TEXT,__text) external _glGenerateMipmapEXT
00007ffa167aa4d4 (__TEXT,__text) external _glGetActiveAttrib
00007ffa167ae4ad (__TEXT,__text) external _glGetActiveAttribARB
00007ffa167abd00 (__TEXT,__text) external _glGetActiveSubroutineName
00007ffa167abccd (__TEXT,__text) external _glGetActiveSubroutineUniformName
00007ffa167abca6 (__TEXT,__text) external _glGetActiveSubroutineUniformiv
00007ffa167aa40a (__TEXT,__text) external _glGetActiveUniform
00007ffa167ae3ed (__TEXT,__text) external _glGetActiveUniformARB
00007ffa167ab278 (__TEXT,__text) external _glGetActiveUniformBlockName
00007ffa167ab254 (__TEXT,__text) external _glGetActiveUniformBlockiv
00007ffa167ab20e (__TEXT,__text) external _glGetActiveUniformName
00007ffa167ab1e6 (__TEXT,__text) external _glGetActiveUniformsiv
00007ffa167ae3a7 (__TEXT,__text) external _glGetAttachedObjectsARB
00007ffa167aa379 (__TEXT,__text) external _glGetAttachedShaders
00007ffa167aa507 (__TEXT,__text) external _glGetAttribLocation
00007ffa167ae4de (__TEXT,__text) external _glGetAttribLocationARB
00007ffa167af0e4 (__TEXT,__text) external _glGetBooleanIndexedvEXT
00007ffa167aaa43 (__TEXT,__text) external _glGetBooleani_v
00007ffa167a6960 (__TEXT,__text) external _glGetBooleanv
00007ffa167ab5d3 (__TEXT,__text) external _glGetBufferParameteri64v
00007ffa167a9978 (__TEXT,__text) external _glGetBufferParameteriv
00007ffa167adf3b (__TEXT,__text) external _glGetBufferParameterivARB
00007ffa167a999a (__TEXT,__text) external _glGetBufferPointerv
00007ffa167adf5d (__TEXT,__text) external _glGetBufferPointervARB
00007ffa167a9918 (__TEXT,__text) external _glGetBufferSubData
00007ffa167adedb (__TEXT,__text) external _glGetBufferSubDataARB
00007ffa167a697f (__TEXT,__text) external _glGetClipPlane
00007ffa167a87aa (__TEXT,__text) external _glGetColorTable
00007ffa167ae893 (__TEXT,__text) external _glGetColorTableEXT
00007ffa167a87ce (__TEXT,__text) external _glGetColorTableParameterfv
00007ffa167ae8b7 (__TEXT,__text) external _glGetColorTableParameterfvEXT
00007ffa167a87f0 (__TEXT,__text) external _glGetColorTableParameteriv
00007ffa167ae8d9 (__TEXT,__text) external _glGetColorTableParameterivEXT
00007ffa167afeb1 (__TEXT,__text) external _glGetCombinerInputParameterfvNV
00007ffa167afeb7 (__TEXT,__text) external _glGetCombinerInputParameterivNV
00007ffa167afebd (__TEXT,__text) external _glGetCombinerOutputParameterfvNV
00007ffa167afec3 (__TEXT,__text) external _glGetCombinerOutputParameterivNV
00007ffa167afedb (__TEXT,__text) external _glGetCombinerStageParameterfvNV
00007ffa167a91ce (__TEXT,__text) external _glGetCompressedTexImage
00007ffa167adad6 (__TEXT,__text) external _glGetCompressedTexImageARB
00007ffa167a89ac (__TEXT,__text) external _glGetConvolutionFilter
00007ffa167a89d0 (__TEXT,__text) external _glGetConvolutionParameterfv
00007ffa167a89f2 (__TEXT,__text) external _glGetConvolutionParameteriv
00007ffa167acb87 (__TEXT,__text) external _glGetDoublei_v
00007ffa167a699e (__TEXT,__text) external _glGetDoublev
00007ffa167a69bd (__TEXT,__text) external _glGetError
00007ffa167afec9 (__TEXT,__text) external _glGetFinalCombinerInputParameterfvNV
00007ffa167afecf (__TEXT,__text) external _glGetFinalCombinerInputParameterivNV
00007ffa167acb65 (__TEXT,__text) external _glGetFloati_v
00007ffa167a69d4 (__TEXT,__text) external _glGetFloatv
00007ffa167ab63d (__TEXT,__text) external _glGetFragDataIndex
00007ffa167aaf3b (__TEXT,__text) external _glGetFragDataLocation
00007ffa167af5ac (__TEXT,__text) external _glGetFragDataLocationEXT
00007ffa167aa87c (__TEXT,__text) external _glGetFramebufferAttachmentParameteriv
00007ffa167aee81 (__TEXT,__text) external _glGetFramebufferAttachmentParameterivEXT
00007ffa167adf9c (__TEXT,__text) external _glGetHandleARB
00007ffa167a8a83 (__TEXT,__text) external _glGetHistogram
00007ffa167a8aaa (__TEXT,__text) external _glGetHistogramParameterfv
00007ffa167a8acc (__TEXT,__text) external _glGetHistogramParameteriv
00007ffa167ae381 (__TEXT,__text) external _glGetInfoLogARB
00007ffa167ab5b1 (__TEXT,__text) external _glGetInteger64i_v
00007ffa167ab4c3 (__TEXT,__text) external _glGetInteger64v
00007ffa167af0c2 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffa167aaa65 (__TEXT,__text) external _glGetIntegeri_v
00007ffa167a69f3 (__TEXT,__text) external _glGetIntegerv
00007ffa167ae71d (__TEXT,__text) external _glGetInternalformativ
00007ffa167a6a12 (__TEXT,__text) external _glGetLightfv
00007ffa167a6a34 (__TEXT,__text) external _glGetLightiv
00007ffa167a6a56 (__TEXT,__text) external _glGetMapdv
00007ffa167a6a78 (__TEXT,__text) external _glGetMapfv
00007ffa167a6a9a (__TEXT,__text) external _glGetMapiv
00007ffa167a6abc (__TEXT,__text) external _glGetMaterialfv
00007ffa167a6ade (__TEXT,__text) external _glGetMaterialiv
00007ffa167a8aee (__TEXT,__text) external _glGetMinmax
00007ffa167a8b15 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffa167a8b37 (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffa167ab571 (__TEXT,__text) external _glGetMultisamplefv
00007ffa167ae6d0 (__TEXT,__text) external _glGetNamedStringARB
00007ffa167ae6f8 (__TEXT,__text) external _glGetNamedStringivARB
00007ffa167af7a0 (__TEXT,__text) external _glGetObjectLabelEXT
00007ffa167ae33b (__TEXT,__text) external _glGetObjectParameterfvARB
00007ffa167afcaf (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007ffa167ae35e (__TEXT,__text) external _glGetObjectParameterivARB
00007ffa167a6b00 (__TEXT,__text) external _glGetPixelMapfv
00007ffa167a6b1f (__TEXT,__text) external _glGetPixelMapuiv
00007ffa167a6b3e (__TEXT,__text) external _glGetPixelMapusv
00007ffa167a6b5d (__TEXT,__text) external _glGetPointerv
00007ffa167a6b7c (__TEXT,__text) external _glGetPolygonStipple
00007ffa167ac059 (__TEXT,__text) external _glGetProgramBinary
00007ffa167ad2b6 (__TEXT,__text) external _glGetProgramEnvParameterdvARB
00007ffa167ad2d8 (__TEXT,__text) external _glGetProgramEnvParameterfvARB
