00007ff8400b8e50 (__DATA,__data) non-external _C
00007ff800ca7fbc (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800ca8013 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff800ca804a (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800ca8148 (__TEXT,__text) non-external __GBK_mbsinit
00007ff800ca810b (__TEXT,__text) non-external __GBK_wcrtomb
00007ff800ca9706 (__TEXT,__text) non-external (was a private external) __MSKanji_init
00007ff800ca973d (__TEXT,__text) non-external __MSKanji_mbrtowc
00007ff800ca9986 (__TEXT,__text) non-external __MSKanji_mbsinit
00007ff800ca9819 (__TEXT,__text) non-external __MSKanji_wcrtomb
00007ff800c8d42b (__TEXT,__text) external __NSGetArgc
00007ff800c8d41e (__TEXT,__text) external __NSGetArgv
00007ff800c8d438 (__TEXT,__text) external __NSGetEnviron
00007ff800c8d452 (__TEXT,__text) external __NSGetMachExecuteHeader
00007ff800c8d445 (__TEXT,__text) external __NSGetProgname
00007ff8400c5b98 (__DATA,__common) external __PathLocale
00007ff800cd8bec (__TEXT,__text) external __Read_RuneMagi
00007ff800ccf0c1 (__TEXT,__text) non-external (was a private external) __UTF2_init
00007ff800ccf10e (__TEXT,__text) non-external __UTF2_mbrtowc
00007ff800ccf2f7 (__TEXT,__text) non-external __UTF2_mbsinit
00007ff800ccf312 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
00007ff800ccf270 (__TEXT,__text) non-external __UTF2_wcrtomb
00007ff800ccf485 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00007ff800cab3f8 (__TEXT,__text) non-external (was a private external) __UTF8_init
00007ff800cab445 (__TEXT,__text) non-external __UTF8_mbrtowc
00007ff800cab6df (__TEXT,__text) non-external __UTF8_mbsinit
00007ff800cab6fa (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00007ff800cab633 (__TEXT,__text) non-external __UTF8_wcrtomb
00007ff800cab86d (__TEXT,__text) non-external __UTF8_wcsnrtombs
00007ff800c9a2de (__TEXT,__text) external ___Balloc_D2A
00007ff800c9a42c (__TEXT,__text) external ___Bfree_D2A
00007ff800c8aee5 (__TEXT,__text) external ____mb_cur_max
00007ff800c8af13 (__TEXT,__text) external ____mb_cur_max_l
00007ff800caa4be (__TEXT,__text) external ____runetype
00007ff800caa408 (__TEXT,__text) external ____runetype_l
00007ff800cab2f8 (__TEXT,__text) external ____tolower
00007ff800cab248 (__TEXT,__text) external ____tolower_l
00007ff800cab3d0 (__TEXT,__text) external ____toupper
00007ff800cab320 (__TEXT,__text) external ____toupper_l
00007ff800ceeeec (__TEXT,__text) non-external (was a private external) ___abort
00007ff800c94df9 (__TEXT,__text) external ___add_ovflpage
00007ff800c94b6a (__TEXT,__text) external ___addel
00007ff800c9aeed (__TEXT,__text) external ___any_on_D2A
00007ff800cee12e (__TEXT,__text) external ___assert_rtn
00007ff8400c5a88 (__DATA,__bss) non-external ___atexit
00007ff800ccf890 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8400c5a90 (__DATA,__bss) non-external ___atexit_new_registration
00007ff800c9aa9a (__TEXT,__text) external ___b2d_D2A
00007ff800c9337a (__TEXT,__text) external ___big_delete
00007ff800c930c0 (__TEXT,__text) external ___big_insert
00007ff800c939a5 (__TEXT,__text) external ___big_keydata
00007ff800c93648 (__TEXT,__text) external ___big_return
00007ff800c93b19 (__TEXT,__text) external ___big_split
00007ff800cf0a00 (__TEXT,__const) external ___bigtens_D2A
00007ff800c8df8e (__TEXT,__text) external ___bt_close
00007ff800c91d05 (__TEXT,__text) external ___bt_cmp
00007ff800c91dac (__TEXT,__text) external ___bt_defcmp
00007ff800c91df3 (__TEXT,__text) external ___bt_defpfx
00007ff800c8e409 (__TEXT,__text) external ___bt_delete
00007ff800c8ea6c (__TEXT,__text) external ___bt_dleaf
00007ff800c8f914 (__TEXT,__text) external ___bt_fd
00007ff800c9096e (__TEXT,__text) non-external ___bt_first
00007ff800c8fcd9 (__TEXT,__text) external ___bt_free
00007ff800c8f0bd (__TEXT,__text) external ___bt_get
00007ff800c8fd0a (__TEXT,__text) external ___bt_new
00007ff800c8f19c (__TEXT,__text) external ___bt_open
00007ff800c8ee2f (__TEXT,__text) non-external ___bt_pdelete
00007ff800c8e128 (__TEXT,__text) external ___bt_pgin
00007ff800c8e2bc (__TEXT,__text) external ___bt_pgout
00007ff800c8fd5d (__TEXT,__text) external ___bt_put
00007ff800c8f034 (__TEXT,__text) non-external ___bt_relink
00007ff800c91b53 (__TEXT,__text) external ___bt_ret
00007ff800c902e0 (__TEXT,__text) external ___bt_search
00007ff800c90544 (__TEXT,__text) external ___bt_seq
00007ff800c90924 (__TEXT,__text) external ___bt_setcur
00007ff800c90b45 (__TEXT,__text) external ___bt_split
00007ff800c8e713 (__TEXT,__text) non-external ___bt_stkacq
00007ff800c8e05a (__TEXT,__text) external ___bt_sync
00007ff800c940ec (__TEXT,__text) external ___buf_free
00007ff800c940b4 (__TEXT,__text) non-external (was a private external) ___buf_init
00007ff8400b8e58 (__DATA,__data) non-external ___c_locale
00007ff800cdf06a (__TEXT,__text) non-external ___calc_left_pad
00007ff800c92c3f (__TEXT,__text) external ___call_hash
00007ff8400b9f20 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff800ced267 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff800ced279 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff800c9b22a (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff800ced28b (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8400c5c00 (__DATA,__common) external ___cleanup
00007ff800c9a959 (__TEXT,__text) external ___cmp_D2A
00007ff800ca631e (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff800ca6535 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff800ca6717 (__TEXT,__text) external ___collate_equiv_match
00007ff800ca743f (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff800ca6bc6 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
00007ff800ceea13 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
00007ff800ceea36 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
00007ff800ca5b66 (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff8400b9518 (__DATA,__data) external ___collate_load_error
00007ff800ca4ebb (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff8400baef0 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff800ca5390 (__TEXT,__text) non-external ___collate_load_tables_legacy
00007ff800ca6075 (__TEXT,__text) external ___collate_lookup
00007ff800ca5eee (__TEXT,__text) external ___collate_lookup_l
00007ff800ca6245 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff800ca6136 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff800ca6dfb (__TEXT,__text) non-external ___collate_pri_for
00007ff800ceea59 (__TEXT,__text) non-external ___collate_pri_for.cold.1
00007ff800ca7523 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff8400baef8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff8400baf00 (__DATA,__bss) non-external ___collate_range_cmp.s2
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff800c83cf4 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff800c9ae74 (__TEXT,__text) external ___copybits_D2A
00007ff800cd80a8 (__TEXT,__text) non-external ___cvt
00007ff8400c5b00 (__DATA,__bss) non-external ___cvt.s
00007ff800ccfa42 (__TEXT,__text) external ___cxa_atexit
00007ff800ccfc76 (__TEXT,__text) external ___cxa_finalize
00007ff800ccfa75 (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800c9ab72 (__TEXT,__text) external ___d2b_D2A
00007ff8400c5bb8 (__DATA,__common) non-external (was a private external) ___darwin_altzone
00007ff800c91edc (__TEXT,__text) non-external ___dberr
00007ff800c91eb7 (__TEXT,__text) external ___dbpanic
00007ff8400b9428 (__DATA,__data) external ___default_hash
00007ff800c942f8 (__TEXT,__text) external ___delpair
00007ff800caab10 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff800c9a995 (__TEXT,__text) external ___diff_D2A
00007ff8400bac40 (__DATA,__bss) non-external ___dirhelper_func
00007ff800c9805c (__TEXT,__text) external ___dtoa
00007ff8400c5c20 (__DATA,__common) non-external (was a private external) ___env_owned
00007ff800ccffaf (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff8400c5a94 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff800ccc94b (__TEXT,__text) non-external (was a private external) ___errstr
00007ff800cb29fa (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800c92aea (__TEXT,__text) external ___expand_table
00007ff8400bc9a0 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff800caf3b2 (__TEXT,__text) external ___fflush
00007ff800caf7e5 (__TEXT,__text) external ___fgetwc
00007ff800cb32e4 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff800c934be (__TEXT,__text) external ___find_bigpair
00007ff800c935d2 (__TEXT,__text) external ___find_last_page
00007ff800cb46c0 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff800ccfeec (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff800ca7af9 (__TEXT,__text) external ___fix_locale_grouping_str
00007ff800ca7bb8 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800cb057a (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff800cb0a4e (__TEXT,__text) external ___fread
00007ff800c956fa (__TEXT,__text) external ___free_ovflpage
00007ff800c97eee (__TEXT,__text) external ___freedtoa
00007ff8400b9f24 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff800c8499e (__TEXT,__text) non-external ___fts_open
00007ff800c98fb8 (__TEXT,__text) external ___gdtoa
00007ff8400c5b68 (__DATA,__common) external ___gdtoa_locks
00007ff800c93ca8 (__TEXT,__text) external ___get_buf
00007ff800ca860b (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff800ca8ae9 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff800ca8d53 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff800ccc08f (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff800caa94b (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff800c951b3 (__TEXT,__text) external ___get_page
00007ff800c9f69c (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8400bc960 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff8400b8888 (__DATA,__data) non-external (was a private external) ___global_locale
00007ff800ccf5fe (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff800c91ee8 (__TEXT,__text) external ___hash_open
00007ff800c977fc (__TEXT,__text) external ___hdtoa
00007ff800cd8798 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff800c9a5a1 (__TEXT,__text) external ___hi0bits_D2A
00007ff800c97b7d (__TEXT,__text) external ___hldtoa
00007ff800c9a60f (__TEXT,__text) external ___i2b_D2A
00007ff800c9562a (__TEXT,__text) external ___ibitmap
00007ff800cd5f07 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800caa044 (__TEXT,__text) external ___isctype
00007ff800ca9fda (__TEXT,__text) external ___istype
00007ff800caa1ab (__TEXT,__text) external ___istype_l
00007ff8400b9491 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff800cd8a34 (__TEXT,__text) external ___ldtoa
00007ff800c8d39b (__TEXT,__text) external ___libc_init
00007ff800c9a477 (__TEXT,__text) external ___lo0bits_D2A
00007ff800cb2a90 (__TEXT,__text) non-external ___loadevp
00007ff8400b8e48 (__DATA,__data) non-external (was a private external) ___locale_key
00007ff800c942dc (__TEXT,__text) external ___log2
00007ff800cf1780 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff800c9a87b (__TEXT,__text) external ___lshift_D2A
00007ff800ca9f88 (__TEXT,__text) external ___maskrune
00007ff800caa156 (__TEXT,__text) external ___maskrune_l
00007ff800c9ae34 (__TEXT,__text) external ___match_D2A
00007ff8400b95ec (__DATA,__data) external ___mb_cur_max
00007ff8400b95f0 (__DATA,__data) external ___mb_sb_limit
00007ff800cc248a (__TEXT,__text) non-external ___mbsconv
00007ff800ca92e0 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff800ced425 (__TEXT,__text) external ___memccpy_chk
00007ff800ced899 (__TEXT,__text) external ___memcpy_chk
00007ff800ced3c0 (__TEXT,__text) external ___memmove_chk
00007ff800ced2b7 (__TEXT,__text) external ___memset_chk
00007ff800ca840c (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff8400baf08 (__DATA,__bss) non-external ___messages_load_locale.cache
00007ff800ca862e (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff8400baf18 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff800c9a632 (__TEXT,__text) external ___mult_D2A
00007ff800c9a508 (__TEXT,__text) external ___multadd_D2A
00007ff800caeb40 (__TEXT,__text) non-external ___nls_free_resources
00007ff800cf1119 (__TEXT,__const) non-external ___nogrouping
00007ff800c97eab (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800c8acd4 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff800ca8b0c (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff8400baf28 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff800caaba3 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800c9ff13 (__TEXT,__text) external ___opendir2
00007ff800ca0022 (__TEXT,__text) non-external ___opendir_common
00007ff800c8fc1f (__TEXT,__text) external ___ovfl_delete
00007ff800c8fa4c (__TEXT,__text) external ___ovfl_get
00007ff800c8fb27 (__TEXT,__text) external ___ovfl_put
00007ff800cbe49a (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8400bc9c8 (__DATA,__bss) non-external ___parsefloat_buf.bsiz
00007ff8400bc9c0 (__DATA,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8400b9bd0 (__DATA,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff800ca8162 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff8400c5b88 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff8400b9498 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff800c9a774 (__TEXT,__text) external ___pow5mult_D2A
00007ff800cf09f0 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff800cdc07d (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff800cef24b (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff800cda2f8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800cef0da (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff800cda3e0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800cef0fc (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff800cdafcc (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800cef142 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff800cdb283 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800cef163 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff800cdc7f3 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800cef2b3 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff800cdc7d5 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff800cdba4e (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff800cef1e6 (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800cdbae8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800cef209 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff800cdbd7f (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff800cef22a (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800cdc1fd (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff800cef26e (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800cdc4fd (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800cef28f (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff800cdc8eb (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff800cdd050 (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff800cdc620 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff800cb76f1 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff800cdc750 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff800cdc6cf (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff800cdc653 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800cdc0bb (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff800cda312 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff800cda417 (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800cef11f (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff800cdafee (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff800cdb308 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800cef186 (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff800cef1a9 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff800cdc80d (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff800cdc7dd (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff800cdba76 (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800cdbb02 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff800cdbdb0 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff800cdc217 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff800cdc517 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff800c9f105 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff8400badc8 (__DATA,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff800c9534f (__TEXT,__text) external ___put_page
00007ff800cf11df (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800c97f0f (__TEXT,__text) external ___quorem_D2A
00007ff800c9ad88 (__TEXT,__text) external ___ratio_D2A
00007ff800c95f98 (__TEXT,__text) external ___rec_close
00007ff800c9629f (__TEXT,__text) external ___rec_delete
00007ff800c963af (__TEXT,__text) external ___rec_dleaf
00007ff800c96d9a (__TEXT,__text) external ___rec_fd
00007ff800c96820 (__TEXT,__text) external ___rec_fmap
00007ff800c965a8 (__TEXT,__text) external ___rec_fpipe
00007ff800c964c4 (__TEXT,__text) external ___rec_get
00007ff800c970c4 (__TEXT,__text) external ___rec_iput
00007ff800c969f6 (__TEXT,__text) external ___rec_open
00007ff800c96de8 (__TEXT,__text) external ___rec_put
00007ff800c97678 (__TEXT,__text) external ___rec_ret
00007ff800c97327 (__TEXT,__text) external ___rec_search
00007ff800c974c4 (__TEXT,__text) external ___rec_seq
00007ff800c96057 (__TEXT,__text) external ___rec_sync
00007ff800c96933 (__TEXT,__text) external ___rec_vmap
00007ff800c966d6 (__TEXT,__text) external ___rec_vpipe
00007ff800c941ca (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff800c9a1dc (__TEXT,__text) external ___rshift_D2A
00007ff800c97e70 (__TEXT,__text) external ___rv_alloc_D2A
00007ff800c9acb7 (__TEXT,__text) external ___s2b_D2A
00007ff8400b96f0 (__DATA,__data) external ___sF
00007ff8400b98c0 (__DATA,__data) non-external ___sFX
00007ff800cb6616 (__TEXT,__text) external ___sclose
00007ff8400bb160 (__DATA,__bss) non-external ___scounted
00007ff8400c5ba0 (__DATA,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff800cd5f67 (__TEXT,__text) non-external (was a private external) ___setenv_locked
00007ff800caacab (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff8400bb108 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff8400bb110 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff800cdf104 (__TEXT,__text) non-external ___setup_vars
00007ff800cb00ef (__TEXT,__text) external ___sflags
00007ff800caf248 (__TEXT,__text) external ___sflush
00007ff800cafc2a (__TEXT,__text) external ___sfp
00007ff800cafff9 (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff800cb1987 (__TEXT,__text) external ___sfvwrite
00007ff8400b9b60 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff800cafdf4 (__TEXT,__text) external ___sinit
00007ff800caf41f (__TEXT,__text) external ___slbexpand
00007ff800cb26af (__TEXT,__text) external ___smakebuf
00007ff800ceeb4d (__TEXT,__text) non-external ___smakebuf.cold.1
00007ff800ced472 (__TEXT,__text) external ___snprintf_chk
00007ff800ced516 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff800c94427 (__TEXT,__text) external ___split_page
00007ff800cc2b8d (__TEXT,__text) non-external ___sprint
00007ff800ced6e6 (__TEXT,__text) external ___sprintf_chk
00007ff800ced7bf (__TEXT,__text) external ___sprintf_object_size_chk
00007ff800cb65e6 (__TEXT,__text) external ___sread
00007ff800cb5c57 (__TEXT,__text) external ___srefill
00007ff800cb5aa7 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff800cb5bfe (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff800cb5d53 (__TEXT,__text) external ___srget
00007ff800cb6608 (__TEXT,__text) external ___sseek
00007ff800ccf76e (__TEXT,__text) external ___stack_chk_fail
00007ff8400c5bc0 (__DATA,__common) external ___stack_chk_guard
00007ff8400bc990 (__DATA,__bss) non-external ___stderr_evp
00007ff8400b9b40 (__DATA,__data) external ___stderrp
00007ff8400bc970 (__DATA,__bss) non-external ___stdin_evp
00007ff8400b9b30 (__DATA,__data) external ___stdinp
00007ff800c9b22a (__TEXT,__text) non-external (was a private external) ___stdio_init
00007ff8400bc980 (__DATA,__bss) non-external ___stdout_evp
00007ff8400b9b38 (__DATA,__data) external ___stdoutp
00007ff800ced691 (__TEXT,__text) external ___stpcpy_chk
00007ff800ced8ab (__TEXT,__text) external ___stpncpy_chk
00007ff800cef32b (__TEXT,__text) non-external ___stpncpy_chk.cold.1
00007ff800ced5c7 (__TEXT,__text) external ___strcat_chk
00007ff800c9ac94 (__TEXT,__text) external ___strcp_D2A
00007ff800ced3d2 (__TEXT,__text) external ___strcpy_chk
00007ff8400c5a68 (__DATA,__bss) non-external ___strerror_ebuf
00007ff800ced19b (__TEXT,__text) external ___strlcat_chk
00007ff800ced2c9 (__TEXT,__text) external ___strlcpy_chk
