0000000227a30008 (__TEXT,__text) non-external _DiToMD5
0000000227a424a4 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
0000000227a1345c (__TEXT,__text) external _IORWLockAlloc
0000000227a428c8 (__TEXT,__text) non-external _IORWLockAlloc.cold.1
0000000227a134b0 (__TEXT,__text) external _IORWLockFree
0000000227a134f4 (__TEXT,__text) external _IORWLockRead
0000000227a428f4 (__TEXT,__text) non-external _IORWLockRead.cold.1
0000000227a13534 (__TEXT,__text) external _IORWLockUnlock
0000000227a4294c (__TEXT,__text) non-external _IORWLockUnlock.cold.1
0000000227a13514 (__TEXT,__text) external _IORWLockWrite
0000000227a42920 (__TEXT,__text) non-external _IORWLockWrite.cold.1
0000000227a1326c (__TEXT,__text) external _IORecursiveConditionLockAlloc
0000000227a132b8 (__TEXT,__text) external _IORecursiveConditionLockFree
0000000227a133a0 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
0000000227a42844 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
0000000227a132c8 (__TEXT,__text) external _IORecursiveConditionLockLock
0000000227a42794 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
0000000227a427c0 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
0000000227a133e4 (__TEXT,__text) external _IORecursiveConditionLockTryLock
0000000227a42870 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
0000000227a4289c (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
0000000227a13330 (__TEXT,__text) external _IORecursiveConditionLockUnlock
0000000227a427ec (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
0000000227a42818 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
0000000227a13214 (__TEXT,__text) external _IORecursiveLockAlloc
0000000227a13248 (__TEXT,__text) external _IORecursiveLockFree
0000000227a13264 (__TEXT,__text) external _IORecursiveLockHaveLock
0000000227a13258 (__TEXT,__text) external _IORecursiveLockLock
0000000227a13268 (__TEXT,__text) external _IORecursiveLockTryLock
0000000227a13260 (__TEXT,__text) external _IORecursiveLockUnlock
000000029a558818 (__AUTH_CONST,__const) external _IOReportLegend_Class
000000029a558598 (__AUTH_CONST,__const) external _IOReporter_Class
000000029a558e48 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
000000029a558ff8 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
000000029a558c98 (__AUTH_CONST,__const) external _IOService_Class
000000029a558638 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
0000000227a0ff68 (__TEXT,__text) external _IOSleep
000000029a5586d8 (__AUTH_CONST,__const) external _IOStateReporter_Class
0000000227a13618 (__TEXT,__text) external _IOSysCtlByName
0000000227a13614 (__TEXT,__text) external _IOThreadLocalStorageGet
0000000227a13568 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
0000000227a135b8 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
0000000227a135e0 (__TEXT,__text) external _IOThreadLocalStorageSet
000000029a55adf8 (__AUTH_CONST,__const) external _IOThread_Class
000000029a5591a8 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
000000029a559358 (__AUTH_CONST,__const) external _IOUserClient_Class
0000000227a13d44 (__TEXT,__text) external _IOUserServerMain
0000000227a42c64 (__TEXT,__text) non-external _IOUserServerMain.cold.1
0000000227a42dcc (__TEXT,__text) non-external _IOUserServerMain.cold.10
0000000227a42dec (__TEXT,__text) non-external _IOUserServerMain.cold.11
0000000227a42c84 (__TEXT,__text) non-external _IOUserServerMain.cold.2
0000000227a42ca4 (__TEXT,__text) non-external _IOUserServerMain.cold.3
0000000227a42cc4 (__TEXT,__text) non-external _IOUserServerMain.cold.4
0000000227a42d08 (__TEXT,__text) non-external _IOUserServerMain.cold.5
0000000227a42d28 (__TEXT,__text) non-external _IOUserServerMain.cold.6
0000000227a42d54 (__TEXT,__text) non-external _IOUserServerMain.cold.7
0000000227a42d80 (__TEXT,__text) non-external _IOUserServerMain.cold.8
0000000227a42dac (__TEXT,__text) non-external _IOUserServerMain.cold.9
000000029a5596d8 (__AUTH_CONST,__const) external _IOUserServer_Class
00000002988ab948 (__DATA_DIRTY,__common) external _IOVMPageSize
000000029a559888 (__AUTH_CONST,__const) external _IOWorkGroup_Class
0000000227a301cc (__TEXT,__text) external _MD5Final
0000000227a2ff58 (__TEXT,__text) external _MD5Init
0000000227a30150 (__TEXT,__text) non-external _MD5ToDi
0000000227a30078 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
000000029a559a38 (__AUTH_CONST,__const) external _OSAction_Class
000000029a5593f8 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
000000029a55ab38 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
0000000227a1f230 (__TEXT,__text) external _OSArrayAppendValue
0000000227a1ed9c (__TEXT,__text) external _OSArrayApply
0000000227a1ed28 (__TEXT,__text) external _OSArrayCreate
0000000227a1e24c (__TEXT,__text) external _OSArrayGetCount
0000000227a1f2d8 (__TEXT,__text) external _OSArrayGetStringValue
0000000227a1f380 (__TEXT,__text) external _OSArrayGetUInt64Value
0000000227a1f264 (__TEXT,__text) external _OSArrayGetValue
0000000227a1f228 (__TEXT,__text) external _OSArrayReplaceValue
0000000227a1f304 (__TEXT,__text) external _OSArraySetStringValue
0000000227a1f480 (__TEXT,__text) external _OSArraySetUInt64Value
0000000227a1f054 (__TEXT,__text) external _OSArraySetValue
000000029a559be8 (__AUTH_CONST,__const) external _OSArray_Class
000000029a559ce0 (__AUTH_CONST,__const) external _OSBoolean_Class
000000029a559dd8 (__AUTH_CONST,__const) external _OSBundle_Class
0000000227a1cd40 (__TEXT,__text) external _OSCollectionTypeID
0000000227a43bc8 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
0000000227a1cc8c (__TEXT,__text) external _OSCollectionTypeName
0000000227a43b78 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
000000029a559ed0 (__AUTH_CONST,__const) external _OSCollection_Class
0000000227a22398 (__TEXT,__text) external _OSCollectionsInitialize
000000029a559fc8 (__AUTH_CONST,__const) external _OSContainer_Class
0000000227a1cdc4 (__TEXT,__text) external _OSCreateObjectFromSerialization
0000000227a43c1c (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
0000000227a1fef0 (__TEXT,__text) external _OSCreateSerializationFromBytes
0000000227a44258 (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
0000000227a1fdbc (__TEXT,__text) external _OSCreateSerializationFromObject
0000000227a1e044 (__TEXT,__text) external _OSDataAppendBytes
0000000227a43dec (__TEXT,__text) non-external _OSDataAppendBytes.cold.1
0000000227a1df8c (__TEXT,__text) external _OSDataCreate
0000000227a43dc0 (__TEXT,__text) non-external _OSDataCreate.cold.1
0000000227a1df20 (__TEXT,__text) external _OSDataGetBytes
0000000227a1ded4 (__TEXT,__text) external _OSDataGetBytesPtr
0000000227a1df10 (__TEXT,__text) external _OSDataGetLength
000000029a55a128 (__AUTH_CONST,__const) external _OSData_Class
0000000227a1e258 (__TEXT,__text) external _OSDictionaryApply
0000000227a1e1cc (__TEXT,__text) external _OSDictionaryCreate
0000000227a1e240 (__TEXT,__text) external _OSDictionaryGetCount
0000000227a1e9ec (__TEXT,__text) external _OSDictionaryGetStringValue
0000000227a1ebe8 (__TEXT,__text) external _OSDictionaryGetUInt64Value
0000000227a1e94c (__TEXT,__text) external _OSDictionaryGetValue
0000000227a1eb6c (__TEXT,__text) external _OSDictionarySetStringValue
0000000227a1ecb0 (__TEXT,__text) external _OSDictionarySetUInt64Value
0000000227a1e5b8 (__TEXT,__text) external _OSDictionarySetValue
000000029a55a220 (__AUTH_CONST,__const) external _OSDictionary_Class
000000029a55a318 (__AUTH_CONST,__const) external _OSMappedFile_Class
0000000227a1e14c (__TEXT,__text) external _OSNumberCreateWithUInt64Value
0000000227a1e124 (__TEXT,__text) external _OSNumberGetUInt64Value
000000029a55a410 (__AUTH_CONST,__const) external _OSNumber_Class
0000000227a204d8 (__TEXT,__text) external _OSObjectLog
0000000227a1cce0 (__TEXT,__text) external _OSObjectRelease
0000000227a1ccc4 (__TEXT,__text) external _OSObjectRetain
000000029a55a508 (__AUTH_CONST,__const) external _OSObject_Class
000000029a55a6b8 (__AUTH_CONST,__const) external _OSOrderedSet_Class
0000000227a104a8 (__TEXT,__text) external _OSReportWithBacktrace
0000000227a2004c (__TEXT,__text) external _OSSerializationGetBytes
000000029a55a7b0 (__AUTH_CONST,__const) external _OSSerialization_Class
000000029a55a8a8 (__AUTH_CONST,__const) external _OSSet_Class
0000000227a1d8ac (__TEXT,__text) external _OSStringCreate
0000000227a43cc4 (__TEXT,__text) non-external _OSStringCreate.cold.1
0000000227a43cf0 (__TEXT,__text) non-external _OSStringCreate.cold.2
0000000227a43d00 (__TEXT,__text) non-external _OSStringCreate.cold.3
0000000227a1d858 (__TEXT,__text) external _OSStringGetLength
0000000227a1d820 (__TEXT,__text) external _OSStringGetStringPtr
000000029a55a9a0 (__AUTH_CONST,__const) external _OSString_Class
0000000227a0ff78 (__TEXT,__text) external _OSSynchronizeIO
00000002988ab958 (__DATA_DIRTY,__bss) non-external _OSUniqueStrings
0000000227a1cbfc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000227a22abc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000227a2d34c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000227a2e0f8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000227a2f52c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000227a1cc18 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000227a22ae8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000227a2d36c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000227a2e120 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000227a2f54c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000227a1cc34 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000227a22afc (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000227a2d380 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000227a2f568 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000227a1cc48 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000227a2d39c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000227a2f594 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000227a1cc5c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000227a2d3b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000227a2f5c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000227a1cc78 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000227a10888 (__TEXT,__text) external _PE_i_can_has_debugger
0000000227a30500 (__TEXT,__text) external _SHA1Final
0000000227a30288 (__TEXT,__text) external _SHA1Init
0000000227a30488 (__TEXT,__text) non-external _SHA1ToDi
0000000227a303b0 (__TEXT,__text) external _SHA1Update
0000000227a30ff8 (__TEXT,__text) external _SHA256_Final
0000000227a30f58 (__TEXT,__text) external _SHA256_Init
0000000227a44aac (__TEXT,__text) non-external _SHA256_Init.cold.1
0000000227a30fa8 (__TEXT,__text) external _SHA256_Update
0000000227a310dc (__TEXT,__text) external _SHA384_Final
0000000227a3103c (__TEXT,__text) external _SHA384_Init
0000000227a44ad4 (__TEXT,__text) non-external _SHA384_Init.cold.1
0000000227a3108c (__TEXT,__text) external _SHA384_Update
0000000227a311c0 (__TEXT,__text) external _SHA512_Final
0000000227a31120 (__TEXT,__text) external _SHA512_Init
0000000227a44afc (__TEXT,__text) non-external _SHA512_Init.cold.1
0000000227a31170 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
0000000227a11518 (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
0000000227a31204 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
000000029a55aa98 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
00000002943370d0 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
0000000227a11880 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
0000000227a421cc (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
0000000227a1365c (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
0000000227a42978 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
0000000227a42998 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
0000000227a429b8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
0000000227a429d8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
0000000227a429f8 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
0000000227a12440 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
0000000227a42590 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
0000000227a425b8 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
0000000227a425e4 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
0000000227a42610 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
0000000227a11ba8 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
0000000227a42270 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
0000000227a1f240 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
0000000227a22324 (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
0000000227a116e4 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
0000000227a4214c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
0000000227a42174 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
0000000227a421a0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
0000000227a1f3ac (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
0000000227a1f454 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
0000000227a1f3d8 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
0000000227a118f4 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
0000000227a1f850 (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
0000000227a440f8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
0000000227a44124 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
0000000227a44150 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
0000000227a4417c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
0000000227a441a8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
0000000227a441d4 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
0000000227a0faf8 (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
0000000227a0fc34 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
0000000227a11ecc (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
0000000227a422c8 (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
0000000227a12038 (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
0000000227a13a90 (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
0000000227a11650 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
0000000227a11590 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
0000000227a20068 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
0000000227a44284 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
0000000227a11ab8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
0000000227a42220 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
0000000227a42248 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
0000000227a1cd84 (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
0000000227a43bf0 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
0000000227a1ccfc (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
0000000227a43ba0 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
0000000227a0ea84 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
0000000227a1de6c (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
0000000227a1f4f8 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
0000000227a43e9c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
0000000227a43ec4 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
0000000227a43ef0 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
0000000227a43f1c (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
0000000227a43f48 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
0000000227a1de34 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
0000000227a1e100 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
0000000227a1f63c (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
0000000227a43f70 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
0000000227a43f9c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
0000000227a43fc8 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
0000000227a13a40 (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
0000000227a12ee8 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
0000000227a40918 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
0000000227a0f9d0 (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
0000000227a10d60 (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
0000000227a4206c (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
0000000227a1c678 (__TEXT,__text) non-external __ZL10uiomessagePv
0000000227a40728 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
0000000227a21528 (__TEXT,__text) non-external __ZL11OSSetCreatev
0000000227a45740 (__TEXT,__const) non-external __ZL11yytranslate
0000000227a41dbc (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
0000000227a40034 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
0000000227a40818 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
0000000227a40a70 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
0000000227a40ad8 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
0000000227a1dbec (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
0000000227a1db9c (__TEXT,__text) non-external __ZL12OSStringHashPKcm
0000000227a43d2c (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
0000000227a41294 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
0000000227a317ac (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
0000000227a372a0 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
0000000227a1b020 (__TEXT,__text) non-external __ZL13IOThreadStartPv
0000000227a4389c (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
0000000227a438c8 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
0000000227a438f4 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
0000000227a407b0 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
0000000227a37098 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
0000000227a151fc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
0000000227a431bc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
0000000227a431e8 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
0000000227a43210 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
0000000227a4323c (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
0000000227a34284 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
0000000227a36d78 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
0000000227a3f93c (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
0000000227a408b0 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
0000000227a13890 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
0000000227a42b48 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
0000000227a42b74 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
0000000227a42ba0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
0000000227a42bcc (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
0000000227a146f0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
0000000227a42f58 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
0000000227a42f98 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
0000000227a42fc0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
0000000227a42fe8 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
0000000227a1c094 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
0000000227a439d0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
