00007ff906c510ab (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff906c43a64 (__TEXT,__text) non-external -[BundleData dealloc]
00007ff906c52b08 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00007ff906c43f71 (__TEXT,__text) non-external -[BundleData doReload]
00007ff906c44312 (__TEXT,__text) non-external -[BundleData forceReload]
00007ff906c43aff (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00007ff906c43a56 (__TEXT,__text) non-external -[BundleData init]
00007ff906c4432e (__TEXT,__text) non-external -[BundleData isSigned]
00007ff906c43fad (__TEXT,__text) non-external -[BundleData loadInternalData:]
00007ff906c442b0 (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00007ff906c43c66 (__TEXT,__text) non-external -[BundleData setupFSStream]
00007ff906c52b66 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00007ff906c52bc3 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00007ff906c4434c (__TEXT,__text) non-external -[BundleData timestamp]
00007ff906c44324 (__TEXT,__text) non-external -[BundleData url]
00007ff906c44342 (__TEXT,__text) non-external -[BundleData versionNumber]
00007ff906c44338 (__TEXT,__text) non-external -[BundleData version]
00007ff906c44d99 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00007ff906c44d6b (__TEXT,__text) non-external -[GKScanResult allowed]
00007ff906c44cd7 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00007ff906c44d7e (__TEXT,__text) non-external -[GKScanResult gkError]
00007ff906c44c26 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00007ff906c44d75 (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00007ff906c44d88 (__TEXT,__text) non-external -[GKScanResult setGkError:]
00007ff906c506cd (__TEXT,__text) non-external -[NSData(Strings) hexString]
00007ff906c3fe3b (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00007ff906c3fdf1 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00007ff906c3fdd6 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00007ff906c3fda0 (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00007ff906c3fdbb (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00007ff906c3fe20 (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00007ff906c3fdfb (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00007ff906c3fde0 (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00007ff906c3fdaa (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00007ff906c3fdc5 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00007ff906c3fe2a (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00007ff906c3fe16 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00007ff906c3fe0c (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00007ff906c4fc01 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00007ff906c4fb35 (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00007ff906c4f1a5 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00007ff906c4f249 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00007ff906c4f5e5 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00007ff906c4f69a (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00007ff906c4f505 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00007ff906c4fb67 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00007ff906c4e861 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00007ff906c4fa41 (__TEXT,__text) non-external -[PolicyScanTarget description]
00007ff906c4f473 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00007ff906c4fb49 (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00007ff906c4f340 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00007ff906c4e8ca (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00007ff906c53808 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00007ff906c53873 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00007ff906c538ee (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00007ff906c53921 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00007ff906c53954 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00007ff906c539cf (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00007ff906c4e853 (__TEXT,__text) non-external -[PolicyScanTarget init]
00007ff906c4fb7a (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00007ff906c4fbc6 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00007ff906c4f940 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00007ff906c53a58 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized].cold.1
00007ff906c4fba0 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00007ff906c4f8c4 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00007ff906c4fbad (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00007ff906c4f902 (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00007ff906c4f116 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00007ff906c4fb5d (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00007ff906c4fbf7 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00007ff906c4fb3f (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00007ff906c4fb17 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00007ff906c4fb2b (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00007ff906c4fbdf (__TEXT,__text) non-external -[PolicyScanTarget pid]
00007ff906c4f9fd (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00007ff906c4fad1 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
00007ff906c4fb71 (__TEXT,__text) non-external -[PolicyScanTarget setCheckValidity:]
00007ff906c4fbd3 (__TEXT,__text) non-external -[PolicyScanTarget setIsBundled:]
00007ff906c4fbba (__TEXT,__text) non-external -[PolicyScanTarget setIsScript:]
00007ff906c4fbeb (__TEXT,__text) non-external -[PolicyScanTarget setPid:]
00007ff906c4fb94 (__TEXT,__text) non-external -[PolicyScanTarget setTriggeredByLibraryLoad:]
00007ff906c4f80f (__TEXT,__text) non-external -[PolicyScanTarget signingID]
00007ff906c4f442 (__TEXT,__text) non-external -[PolicyScanTarget signingInfo]
00007ff906c4f36a (__TEXT,__text) non-external -[PolicyScanTarget staticCodeRef]
00007ff906c4f75a (__TEXT,__text) non-external -[PolicyScanTarget teamID]
00007ff906c4fb87 (__TEXT,__text) non-external -[PolicyScanTarget triggeredByLibraryLoad]
00007ff906c4fb0d (__TEXT,__text) non-external -[PolicyScanTarget url]
00007ff906c4fb53 (__TEXT,__text) non-external -[PolicyScanTarget volumePath]
00007ff906c4fb21 (__TEXT,__text) non-external -[PolicyScanTarget volumeUUID]
00007ff906c51911 (__TEXT,__text) non-external -[SPDeveloperPolicy .cxx_destruct]
00007ff906c518a3 (__TEXT,__text) non-external -[SPDeveloperPolicy createLocalDevelopmentCertificateForUser:error:]
00007ff906c51779 (__TEXT,__text) non-external -[SPDeveloperPolicy dealloc]
00007ff906c516a8 (__TEXT,__text) non-external -[SPDeveloperPolicy init]
00007ff906c517bb (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperModeEnabled]
00007ff906c51879 (__TEXT,__text) non-external -[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]
00007ff906c518fe (__TEXT,__text) non-external -[SPDeveloperPolicy registerDevelopmentTeamWithIdentifier:error:]
00007ff906c518f3 (__TEXT,__text) non-external -[SPDeveloperPolicy removeLocalDevelopmentCertificateForUser:error:]
00007ff906c517e7 (__TEXT,__text) non-external -[SPDeveloperPolicy setDeveloperModeEnabled:error:]
00007ff906c51906 (__TEXT,__text) non-external -[SPDeveloperPolicy unregisterDevelopmentTeamWithIdentifier:error:]
00007ff906c46580 (__TEXT,__text) non-external -[SPExecutionHistoryItem .cxx_destruct]
00007ff906c46558 (__TEXT,__text) non-external -[SPExecutionHistoryItem cdHash]
00007ff906c4656c (__TEXT,__text) non-external -[SPExecutionHistoryItem developerName]
00007ff906c46348 (__TEXT,__text) non-external -[SPExecutionHistoryItem encodeWithCoder:]
00007ff906c46530 (__TEXT,__text) non-external -[SPExecutionHistoryItem execPath]
00007ff906c4613e (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithCoder:]
00007ff906c45e61 (__TEXT,__text) non-external -[SPExecutionHistoryItem initWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff906c45e53 (__TEXT,__text) non-external -[SPExecutionHistoryItem init]
00007ff906c46576 (__TEXT,__text) non-external -[SPExecutionHistoryItem lastSeen]
00007ff906c4653a (__TEXT,__text) non-external -[SPExecutionHistoryItem mmapPath]
00007ff906c46562 (__TEXT,__text) non-external -[SPExecutionHistoryItem responsiblePath]
00007ff906c46544 (__TEXT,__text) non-external -[SPExecutionHistoryItem signingID]
00007ff906c4654e (__TEXT,__text) non-external -[SPExecutionHistoryItem teamID]
00007ff906c489b0 (__TEXT,__text) non-external -[SPExecutionPolicy .cxx_destruct]
00007ff906c48484 (__TEXT,__text) non-external -[SPExecutionPolicy addBlockedSoftwareOverride:error:]
00007ff906c4839b (__TEXT,__text) non-external -[SPExecutionPolicy addGatekeeperUserIntent:error:]
00007ff906c48336 (__TEXT,__text) non-external -[SPExecutionPolicy blockedExecutionPolicyItems]
00007ff906c480df (__TEXT,__text) non-external -[SPExecutionPolicy connection]
00007ff906c47e65 (__TEXT,__text) non-external -[SPExecutionPolicy dealloc]
00007ff906c47fef (__TEXT,__text) non-external -[SPExecutionPolicy doGatekeeperProgressUpdate:withTotal:]
00007ff906c48661 (__TEXT,__text) non-external -[SPExecutionPolicy getBlockedSoftwareOverride:error:]
00007ff906c488f5 (__TEXT,__text) non-external -[SPExecutionPolicy getStrictGatekeeperEnabledForDomain:error:]
00007ff906c47dea (__TEXT,__text) non-external -[SPExecutionPolicy init]
00007ff906c4874a (__TEXT,__text) non-external -[SPExecutionPolicy isBlockedSoftware:error:]
00007ff906c48329 (__TEXT,__text) non-external -[SPExecutionPolicy legacyExecutionHistory]
00007ff906c47eaf (__TEXT,__text) non-external -[SPExecutionPolicy myProgressHandler]
00007ff906c47ea7 (__TEXT,__text) non-external -[SPExecutionPolicy progressBlock]
00007ff906c4856d (__TEXT,__text) non-external -[SPExecutionPolicy setBlockedSoftwareOverride:isEnabled:error:]
00007ff906c47ec5 (__TEXT,__text) non-external -[SPExecutionPolicy setProgressHandler:]
00007ff906c48833 (__TEXT,__text) non-external -[SPExecutionPolicy setStrictGatekeeperEnabled:forDomain:error:]
00007ff906c457a3 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) notifyInstalledContent:withInstallationType:error:]
00007ff906c44da9 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:]
00007ff906c52bf7 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.1
00007ff906c52c2b (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.2
00007ff906c52c5f (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.3
00007ff906c52cb9 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.4
00007ff906c52d52 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.5
00007ff906c52deb (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.6
00007ff906c52e72 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperPreflight:withPreflightOptions:withResult:].cold.7
00007ff906c45897 (__TEXT,__text) non-external -[SPExecutionPolicy(Gatekeeper) performGatekeeperScan:withScanOptions:withProgressHandler:error:]
00007ff906c44bd2 (__TEXT,__text) non-external -[SPExecutionPolicyItem .cxx_destruct]
00007ff906c44bc8 (__TEXT,__text) non-external -[SPExecutionPolicyItem blockedReasonDescription]
00007ff906c44ba0 (__TEXT,__text) non-external -[SPExecutionPolicyItem cdHash]
00007ff906c44947 (__TEXT,__text) non-external -[SPExecutionPolicyItem encodeWithCoder:]
00007ff906c446f8 (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithCoder:]
00007ff906c445ce (__TEXT,__text) non-external -[SPExecutionPolicyItem initWithItemPath:signingID:teamID:cdHash:needsApproval:needsOverride:knownMalware:blockedReasonDescription:]
00007ff906c445c0 (__TEXT,__text) non-external -[SPExecutionPolicyItem init]
00007ff906c44b82 (__TEXT,__text) non-external -[SPExecutionPolicyItem itemPath]
00007ff906c44bbe (__TEXT,__text) non-external -[SPExecutionPolicyItem knownMalware]
00007ff906c44baa (__TEXT,__text) non-external -[SPExecutionPolicyItem needsApproval]
00007ff906c44bb4 (__TEXT,__text) non-external -[SPExecutionPolicyItem needsOverride]
00007ff906c44b8c (__TEXT,__text) non-external -[SPExecutionPolicyItem signingID]
00007ff906c44b96 (__TEXT,__text) non-external -[SPExecutionPolicyItem teamID]
00007ff906c4e82b (__TEXT,__text) non-external -[SPInstallationPolicy .cxx_destruct]
00007ff906c4e545 (__TEXT,__text) non-external -[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]
00007ff906c4e503 (__TEXT,__text) non-external -[SPInstallationPolicy dealloc]
00007ff906c4e418 (__TEXT,__text) non-external -[SPInstallationPolicy init]
00007ff906c4e6a7 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]
00007ff906c4e678 (__TEXT,__text) non-external -[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withUserConsent:error:]
00007ff906c467af (__TEXT,__text) non-external -[SPKernelExtensionHistory .cxx_destruct]
00007ff906c46741 (__TEXT,__text) non-external -[SPKernelExtensionHistory dealloc]
00007ff906c465ea (__TEXT,__text) non-external -[SPKernelExtensionHistory init]
00007ff906c46783 (__TEXT,__text) non-external -[SPKernelExtensionHistory kernelExtensionHistory]
00007ff906c4ab53 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem .cxx_destruct]
00007ff906c4ab03 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem bundleID]
00007ff906c4ab17 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem cdHash]
00007ff906c4a926 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem encodeWithCoder:]
00007ff906c4a757 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithCoder:]
00007ff906c4a5cf (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem initWithPath:teamID:bundleID:cdHash:isNotarized:isDeprecated:isUnsupported:isCodeless:lastUsed:]
00007ff906c4a5c1 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem init]
00007ff906c4ab3f (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isCodeless]
00007ff906c4ab2b (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isDeprecated]
00007ff906c4ab21 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isNotarized]
00007ff906c4ab35 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem isUnsupported]
00007ff906c4ab49 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem lastUsed]
00007ff906c4aaf9 (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem path]
00007ff906c4ab0d (__TEXT,__text) non-external -[SPKernelExtensionHistoryItem teamID]
00007ff906c47879 (__TEXT,__text) non-external -[SPKernelExtensionPolicy .cxx_destruct]
00007ff906c47219 (__TEXT,__text) non-external -[SPKernelExtensionPolicy areKernelExtensionsApproved:withError:]
00007ff906c46ca8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtension:error:]
00007ff906c46d6d (__TEXT,__text) non-external -[SPKernelExtensionPolicy canLoadKernelExtensionInCache:error:]
00007ff906c46c6a (__TEXT,__text) non-external -[SPKernelExtensionPolicy clearConnection]
00007ff906c46c5c (__TEXT,__text) non-external -[SPKernelExtensionPolicy connection]
00007ff906c471c1 (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentPolicy]
00007ff906c4786f (__TEXT,__text) non-external -[SPKernelExtensionPolicy currentUAKL]
00007ff906c46c1a (__TEXT,__text) non-external -[SPKernelExtensionPolicy dealloc]
00007ff906c47625 (__TEXT,__text) non-external -[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]
00007ff906c468cb (__TEXT,__text) non-external -[SPKernelExtensionPolicy init]
00007ff906c46ef7 (__TEXT,__text) non-external -[SPKernelExtensionPolicy isKernelExtensionApprovedByUser:withBundleID:error:]
00007ff906c4747d (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyLoadedKernelExtension:withPath:]
00007ff906c47560 (__TEXT,__text) non-external -[SPKernelExtensionPolicy notifyUnsupportedKernelExtension:error:]
00007ff906c471ed (__TEXT,__text) non-external -[SPKernelExtensionPolicy pendingApprovals]
00007ff906c472e7 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requestKernelExtensionApprovals:withError:]
00007ff906c47843 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAdministratorToApproveUpdates]
00007ff906c47817 (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresAuthenticationOnUpdates]
00007ff906c477eb (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresRebootForInstallation]
00007ff906c477bf (__TEXT,__text) non-external -[SPKernelExtensionPolicy requiresSecurityDowngrade]
00007ff906c46e32 (__TEXT,__text) non-external -[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]
00007ff906c473ac (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerKernelCollectionRebuildFlow:withKernelExtensions:withError:]
00007ff906c47795 (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerPanicMedicWithError:]
00007ff906c4776b (__TEXT,__text) non-external -[SPKernelExtensionPolicy triggerRecoveryJumpToSecurityStartupUtilityWithError:]
00007ff906c476a6 (__TEXT,__text) non-external -[SPKernelExtensionPolicy updateLastUsedTimes:withError:]
00007ff906c470fa (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:error:]
00007ff906c4700b (__TEXT,__text) non-external -[SPKernelExtensionPolicy updatePolicyItems:withExternalContext:error:]
00007ff906c4a4d8 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) enableKernelExtensionManagementForMDM:error:]
00007ff906c4a0cb (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) installMDMPayload:withTeams:withExtensions:withContext:error:]
00007ff906c4a2ae (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) removeMDMPayload:withContext:error:]
00007ff906c4a011 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setApprovalRequiresAdministrator:error:]
00007ff906c49f57 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) setUserApprovalAllowed:error:]
00007ff906c4a3c3 (__TEXT,__text) non-external -[SPKernelExtensionPolicy(MDM) triggerKernelCollectionRebuildForMDM:withContext:error:]
00007ff906c3e155 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem .cxx_destruct]
00007ff906c3e0fc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationName]
00007ff906c3e106 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem applicationPath]
00007ff906c3e124 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem bundleIDs]
00007ff906c3e0ea (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem description]
00007ff906c3e110 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem developerName]
00007ff906c3dfa3 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem encodeWithCoder:]
