                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormatAndArguments (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCopyScheme (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
000000018fcc24a4 (__TEXT,__text) external _CMCloneProfileRef
000000018fcbeb9c (__TEXT,__text) external _CMNewProfile
00000001d8f5d888 (__DATA,__bss) non-external _CMNewProfile.func
00000001d8f5d890 (__DATA,__bss) non-external _CMNewProfile.predicate
000000018fcbeacc (__TEXT,__text) external _CMOpenProfile
00000001d8f5d878 (__DATA,__bss) non-external _CMOpenProfile.func
00000001d8f5d880 (__DATA,__bss) non-external _CMOpenProfile.predicate
000000018fcc2b14 (__TEXT,__text) external _CMPostLegacyDeviceNotification
00000001d8f5dc20 (__DATA,__bss) non-external _CMPostLegacyDeviceNotification.func
000000018fcbe994 (__TEXT,__text) external _CMProfileCopyICCData
00000001d8f5d868 (__DATA,__bss) non-external _CMProfileCopyICCData.func
00000001d8f5d870 (__DATA,__bss) non-external _CMProfileCopyICCData.predicate
000000018fcbe854 (__TEXT,__text) external _CMProfileElementExists
00000001d8f5d858 (__DATA,__bss) non-external _CMProfileElementExists.func
00000001d8f5d860 (__DATA,__bss) non-external _CMProfileElementExists.predicate
000000018fcbe784 (__TEXT,__text) external _CMProfileModified
00000001d8f5d848 (__DATA,__bss) non-external _CMProfileModified.func
00000001d8f5d850 (__DATA,__bss) non-external _CMProfileModified.predicate
000000018fcc2a9c (__TEXT,__text) external _CMProfileWriteToFile
00000001d8f5dc18 (__DATA,__bss) non-external _CMProfileWriteToFile.func
000000018fcbe698 (__TEXT,__text) external _CMRegisterColorDevice
00000001d8f5d838 (__DATA,__bss) non-external _CMRegisterColorDevice.func
00000001d8f5d840 (__DATA,__bss) non-external _CMRegisterColorDevice.predicate
000000018fcbe5c8 (__TEXT,__text) external _CMRemoveProfileElement
00000001d8f5d828 (__DATA,__bss) non-external _CMRemoveProfileElement.func
00000001d8f5d830 (__DATA,__bss) non-external _CMRemoveProfileElement.predicate
000000018fcbe4f8 (__TEXT,__text) external _CMSetDefaultDevice
00000001d8f5d818 (__DATA,__bss) non-external _CMSetDefaultDevice.func
00000001d8f5d820 (__DATA,__bss) non-external _CMSetDefaultDevice.predicate
000000018fcbe414 (__TEXT,__text) external _CMSetDeviceDefaultProfileID
00000001d8f5d808 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.func
00000001d8f5d810 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.predicate
000000018fcbe328 (__TEXT,__text) external _CMSetDeviceFactoryProfiles
00000001d8f5d7f8 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.func
00000001d8f5d800 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.predicate
000000018fcbe228 (__TEXT,__text) external _CMSetDeviceProfile
00000001d8f5d7e8 (__DATA,__bss) non-external _CMSetDeviceProfile.func
00000001d8f5d7f0 (__DATA,__bss) non-external _CMSetDeviceProfile.predicate
000000018fcbe144 (__TEXT,__text) external _CMSetDeviceState
00000001d8f5d7d8 (__DATA,__bss) non-external _CMSetDeviceState.func
00000001d8f5d7e0 (__DATA,__bss) non-external _CMSetDeviceState.predicate
000000018fcbe060 (__TEXT,__text) external _CMSetDeviceTrackingByUse
00000001d8f5d7c8 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.func
00000001d8f5d7d0 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.predicate
000000018fcbdf90 (__TEXT,__text) external _CMSetGammaByAVID
00000001d8f5d7b8 (__DATA,__bss) non-external _CMSetGammaByAVID.func
00000001d8f5d7c0 (__DATA,__bss) non-external _CMSetGammaByAVID.predicate
000000018fcbde90 (__TEXT,__text) external _CMSetPartialProfileElement
00000001d8f5d7a8 (__DATA,__bss) non-external _CMSetPartialProfileElement.func
00000001d8f5d7b0 (__DATA,__bss) non-external _CMSetPartialProfileElement.predicate
000000018fcbddc0 (__TEXT,__text) external _CMSetProfileByAVID
00000001d8f5d798 (__DATA,__bss) non-external _CMSetProfileByAVID.func
00000001d8f5d7a0 (__DATA,__bss) non-external _CMSetProfileByAVID.predicate
000000018fcbdca4 (__TEXT,__text) external _CMSetProfileDescriptions
00000001d8f5d788 (__DATA,__bss) non-external _CMSetProfileDescriptions.func
00000001d8f5d790 (__DATA,__bss) non-external _CMSetProfileDescriptions.predicate
000000018fcbdbb8 (__TEXT,__text) external _CMSetProfileElement
00000001d8f5d778 (__DATA,__bss) non-external _CMSetProfileElement.func
00000001d8f5d780 (__DATA,__bss) non-external _CMSetProfileElement.predicate
000000018fcbdad4 (__TEXT,__text) external _CMSetProfileElementReference
00000001d8f5d768 (__DATA,__bss) non-external _CMSetProfileElementReference.func
00000001d8f5d770 (__DATA,__bss) non-external _CMSetProfileElementReference.predicate
000000018fcbd9f0 (__TEXT,__text) external _CMSetProfileElementSize
00000001d8f5d758 (__DATA,__bss) non-external _CMSetProfileElementSize.func
00000001d8f5d760 (__DATA,__bss) non-external _CMSetProfileElementSize.predicate
000000018fcbd920 (__TEXT,__text) external _CMSetProfileHeader
00000001d8f5d748 (__DATA,__bss) non-external _CMSetProfileHeader.func
00000001d8f5d750 (__DATA,__bss) non-external _CMSetProfileHeader.predicate
000000018fcbd83c (__TEXT,__text) external _CMSetProfileLocalizedStringDictionary
00000001d8f5d738 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.func
00000001d8f5d740 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.predicate
000000018fcbd774 (__TEXT,__text) external _CMSetSystemProfile
00000001d8f5d728 (__DATA,__bss) non-external _CMSetSystemProfile.func
00000001d8f5d730 (__DATA,__bss) non-external _CMSetSystemProfile.predicate
000000018fcc29d4 (__TEXT,__text) external _CMSetSystemProfileAVID
00000001d8f5dc08 (__DATA,__bss) non-external _CMSetSystemProfileAVID.func
00000001d8f5dc10 (__DATA,__bss) non-external _CMSetSystemProfileAVID.predicate
000000018fcbd6a4 (__TEXT,__text) external _CMUnregisterColorDevice
00000001d8f5d718 (__DATA,__bss) non-external _CMUnregisterColorDevice.func
00000001d8f5d720 (__DATA,__bss) non-external _CMUnregisterColorDevice.predicate
000000018fcbd5b8 (__TEXT,__text) external _CMUpdateProfile
00000001d8f5d708 (__DATA,__bss) non-external _CMUpdateProfile.func
00000001d8f5d710 (__DATA,__bss) non-external _CMUpdateProfile.predicate
000000018fcbd478 (__TEXT,__text) external _CMValidateProfile
00000001d8f5d6f8 (__DATA,__bss) non-external _CMValidateProfile.func
00000001d8f5d700 (__DATA,__bss) non-external _CMValidateProfile.predicate
000000018fcbd378 (__TEXT,__text) external _CWCheckBitmap
00000001d8f5d6e8 (__DATA,__bss) non-external _CWCheckBitmap.func
00000001d8f5d6f0 (__DATA,__bss) non-external _CWCheckBitmap.predicate
000000018fcbd28c (__TEXT,__text) external _CWCheckColors
00000001d8f5d6d8 (__DATA,__bss) non-external _CWCheckColors.func
00000001d8f5d6e0 (__DATA,__bss) non-external _CWCheckColors.predicate
000000018fcbc350 (__TEXT,__text) external _CWColorWorldGetProperty
00000001d8f5d608 (__DATA,__bss) non-external _CWColorWorldGetProperty.func
00000001d8f5d610 (__DATA,__bss) non-external _CWColorWorldGetProperty.predicate
000000018fcbc270 (__TEXT,__text) external _CWColorWorldSetProperty
00000001d8f5d5f8 (__DATA,__bss) non-external _CWColorWorldSetProperty.func
00000001d8f5d600 (__DATA,__bss) non-external _CWColorWorldSetProperty.predicate
000000018fcbd0dc (__TEXT,__text) external _CWConcatColorWorld
00000001d8f5d6c8 (__DATA,__bss) non-external _CWConcatColorWorld.func
00000001d8f5d6d0 (__DATA,__bss) non-external _CWConcatColorWorld.predicate
000000018fcbd018 (__TEXT,__text) external _CWDisposeColorWorld
00000001d8f5d6b8 (__DATA,__bss) non-external _CWDisposeColorWorld.func
00000001d8f5d6c0 (__DATA,__bss) non-external _CWDisposeColorWorld.predicate
000000018fcbcf18 (__TEXT,__text) external _CWFillLookupTexture
00000001d8f5d6a8 (__DATA,__bss) non-external _CWFillLookupTexture.func
00000001d8f5d6b0 (__DATA,__bss) non-external _CWFillLookupTexture.predicate
000000018fcbce50 (__TEXT,__text) external _CWGetCMMSignature
00000001d8f5d698 (__DATA,__bss) non-external _CWGetCMMSignature.func
00000001d8f5d6a0 (__DATA,__bss) non-external _CWGetCMMSignature.predicate
000000018fcbcd50 (__TEXT,__text) external _CWMatchBitmap
00000001d8f5d688 (__DATA,__bss) non-external _CWMatchBitmap.func
00000001d8f5d690 (__DATA,__bss) non-external _CWMatchBitmap.predicate
000000018fcbcc6c (__TEXT,__text) external _CWMatchColors
00000001d8f5d678 (__DATA,__bss) non-external _CWMatchColors.func
00000001d8f5d680 (__DATA,__bss) non-external _CWMatchColors.predicate
000000018fcbcab4 (__TEXT,__text) external _CWNewLinkProfile
00000001d8f5d668 (__DATA,__bss) non-external _CWNewLinkProfile.func
00000001d8f5d670 (__DATA,__bss) non-external _CWNewLinkProfile.predicate
000000018fcc3320 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionNumber
000000018fcc32e8 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionString
000000018fcbbd20 (__TEXT,__text) external _ColorSyncLoadLegacyFunction
00000001d8f5d5d0 (__DATA,__bss) non-external _ColorSyncLoadLegacyFunction.handle
00000001d8f5d588 (__DATA,__data) non-external _ColorSyncLoadLegacyFunction.mtx
000000018fcc2bf8 (__TEXT,__text) non-external (was a private external) _ColorSyncLog
000000018fcc2fc0 (__TEXT,__text) non-external _ColorSyncLog.cold.1
00000001d8f5e040 (__DATA,__bss) non-external _ColorSyncLog.log
00000001d8f5e048 (__DATA,__bss) non-external _ColorSyncLog.predicate
                 (undefined) external _ColorSyncProfileGetTypeID (from ColorSync)
000000018fcbc518 (__TEXT,__text) external _CreateCMProfileFromColorSyncProfile
00000001d8f5dc30 (__DATA,__bss) non-external _CreateCMProfileFromColorSyncProfile.func
000000018fcc2b94 (__TEXT,__text) external _CreateColorSyncProfileFromCMProfile
00000001d8f5dc28 (__DATA,__bss) non-external _CreateColorSyncProfileFromCMProfile.func
000000018fcbc8d0 (__TEXT,__text) external _DisposeCMBitmapCallBackUPP
000000018fcbcab0 (__TEXT,__text) external _DisposeCMConcatCallBackUPP
000000018fcbcaac (__TEXT,__text) external _DisposeCMFlattenUPP
000000018fcbcaa8 (__TEXT,__text) external _DisposeCMMIterateUPP
000000018fcbcaa4 (__TEXT,__text) external _DisposeCMProfileAccessUPP
000000018fcbcaa0 (__TEXT,__text) external _DisposeCMProfileIterateUPP
000000018fcbca9c (__TEXT,__text) external _InvokeCMBitmapCallBackUPP
000000018fcbca98 (__TEXT,__text) external _InvokeCMConcatCallBackUPP
000000018fcbca94 (__TEXT,__text) external _InvokeCMFlattenUPP
000000018fcbca90 (__TEXT,__text) external _InvokeCMMIterateUPP
000000018fcbca8c (__TEXT,__text) external _InvokeCMProfileAccessUPP
000000018fcbca88 (__TEXT,__text) external _InvokeCMProfileIterateUPP
000000018fcc2730 (__TEXT,__text) external _NCMGetProfileLocation
00000001d8f5dbe8 (__DATA,__bss) non-external _NCMGetProfileLocation.func
00000001d8f5dbf0 (__DATA,__bss) non-external _NCMGetProfileLocation.predicate
000000018fcc2814 (__TEXT,__text) external _NCWConcatColorWorld
00000001d8f5dbf8 (__DATA,__bss) non-external _NCWConcatColorWorld.func
00000001d8f5dc00 (__DATA,__bss) non-external _NCWConcatColorWorld.predicate
000000018fcbc8d4 (__TEXT,__text) external _NCWNewColorWorld
00000001d8f5d658 (__DATA,__bss) non-external _NCWNewColorWorld.func
00000001d8f5d660 (__DATA,__bss) non-external _NCWNewColorWorld.predicate
000000018fcc256c (__TEXT,__text) external _NCWNewLinkProfile
00000001d8f5dbd8 (__DATA,__bss) non-external _NCWNewLinkProfile.func
00000001d8f5dbe0 (__DATA,__bss) non-external _NCWNewLinkProfile.predicate
000000018fcbc8cc (__TEXT,__text) external _NewCMBitmapCallBackUPP
000000018fcbc8c8 (__TEXT,__text) external _NewCMConcatCallBackUPP
000000018fcbc8c4 (__TEXT,__text) external _NewCMFlattenUPP
000000018fcbc8c0 (__TEXT,__text) external _NewCMMIterateUPP
000000018fcbc8bc (__TEXT,__text) external _NewCMProfileAccessUPP
000000018fcbc8b8 (__TEXT,__text) external _NewCMProfileIterateUPP
                 (undefined) external __CFBundleCopyInfoDictionaryInResourceFork (from CoreFoundation)
                 (undefined) external __CFBundleGetMainBundleIfLooksLikeBundle (from CoreFoundation)
                 (undefined) external __CFProcessPath (from CoreFoundation)
000000018fcbc7cc (__TEXT,__text) external __CMGetProfileOfSuite
00000001d8f5d648 (__DATA,__bss) non-external __CMGetProfileOfSuite.func
00000001d8f5d650 (__DATA,__bss) non-external __CMGetProfileOfSuite.predicate
000000018fcbc704 (__TEXT,__text) external __CMLoadProfileLutsByAVID
00000001d8f5d638 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.func
00000001d8f5d640 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.predicate
000000018fcbc5cc (__TEXT,__text) external __CMProfileGetProperty
00000001d8f5d628 (__DATA,__bss) non-external __CMProfileGetProperty.func
00000001d8f5d630 (__DATA,__bss) non-external __CMProfileGetProperty.predicate
000000018fcbc420 (__TEXT,__text) external __CMProfileSetProperty
00000001d8f5d618 (__DATA,__bss) non-external __CMProfileSetProperty.func
00000001d8f5d620 (__DATA,__bss) non-external __CMProfileSetProperty.predicate
000000018fcbc1a0 (__TEXT,__text) external __CWColorWorldGetProperty
00000001d8f5d5e8 (__DATA,__bss) non-external __CWColorWorldGetProperty.func
00000001d8f5d5f0 (__DATA,__bss) non-external __CWColorWorldGetProperty.predicate
000000018fcbc0c0 (__TEXT,__text) external __CWColorWorldSetProperty
00000001d8f5d5d8 (__DATA,__bss) non-external __CWColorWorldSetProperty.func
00000001d8f5d5e0 (__DATA,__bss) non-external __CWColorWorldSetProperty.predicate
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000018fcc251c (__TEXT,__text) non-external ___CMCloneProfileRef_block_invoke
000000018fcc2454 (__TEXT,__text) non-external ___CMCloseProfile_block_invoke
