                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80a751cc3 (__TEXT,__text) non-external _au_assemble
00007ff8422a3ff0 (__DATA,__const) non-external _au_sflagsstr
00007ff80a752685 (__TEXT,__text) external _au_sflagstostr
00007ff80a759318 (__TEXT,__text) external _au_socket_type_to_bsm
00007ff80a752bf1 (__TEXT,__text) non-external _au_spacetobytes
00007ff80a75cf3f (__TEXT,__text) external _au_strerror
00007ff80a7525be (__TEXT,__text) external _au_strtopol
00007ff80a752723 (__TEXT,__text) external _au_strtosflags
00007ff80a751e72 (__TEXT,__text) non-external _au_teardown
00007ff80a75951c (__TEXT,__text) external _au_to_arg
00007ff80a75934e (__TEXT,__text) external _au_to_arg32
00007ff80a75941f (__TEXT,__text) external _au_to_arg64
00007ff80a75b03d (__TEXT,__text) external _au_to_certificate_hash
00007ff80a759526 (__TEXT,__text) external _au_to_data
00007ff80a75af08 (__TEXT,__text) external _au_to_exec_args
00007ff80a75b02e (__TEXT,__text) external _au_to_exec_env
00007ff80a7595fe (__TEXT,__text) external _au_to_exit
00007ff80a759a52 (__TEXT,__text) external _au_to_file
00007ff80a75968d (__TEXT,__text) external _au_to_groups
00007ff80a75b6d3 (__TEXT,__text) external _au_to_header
00007ff80a75b62d (__TEXT,__text) external _au_to_header32
00007ff80a75b59a (__TEXT,__text) external _au_to_header32_ex
00007ff80a75b32b (__TEXT,__text) external _au_to_header32_ex_tm
00007ff80a75b23c (__TEXT,__text) external _au_to_header32_tm
00007ff80a75b680 (__TEXT,__text) external _au_to_header64
00007ff80a75b47a (__TEXT,__text) external _au_to_header64_tm
00007ff80a75b6dd (__TEXT,__text) external _au_to_header_ex
00007ff80a75b0f5 (__TEXT,__text) external _au_to_identity
00007ff80a759739 (__TEXT,__text) external _au_to_in_addr
00007ff80a75978c (__TEXT,__text) external _au_to_in_addr_ex
00007ff80a7597e8 (__TEXT,__text) external _au_to_ip
00007ff80a759844 (__TEXT,__text) external _au_to_ipc
00007ff80a7598bc (__TEXT,__text) external _au_to_ipc_perm
00007ff80a75996c (__TEXT,__text) external _au_to_iport
00007ff80a75b755 (__TEXT,__text) external _au_to_kevent
00007ff80a75b04c (__TEXT,__text) external _au_to_krb5_principal
00007ff80a75ae7c (__TEXT,__text) external _au_to_me
00007ff80a75969f (__TEXT,__text) external _au_to_newgroups
00007ff80a7599c2 (__TEXT,__text) external _au_to_opaque
00007ff80a759be4 (__TEXT,__text) external _au_to_path
00007ff80a759f32 (__TEXT,__text) external _au_to_process
00007ff80a759c7e (__TEXT,__text) external _au_to_process32
00007ff80a759f3c (__TEXT,__text) external _au_to_process32_ex
00007ff80a759db8 (__TEXT,__text) external _au_to_process64
00007ff80a75a130 (__TEXT,__text) external _au_to_process64_ex
00007ff80a75a345 (__TEXT,__text) external _au_to_process_ex
00007ff80a75a468 (__TEXT,__text) external _au_to_return
00007ff80a75a34f (__TEXT,__text) external _au_to_return32
00007ff80a75a3c7 (__TEXT,__text) external _au_to_return64
00007ff80a75a472 (__TEXT,__text) external _au_to_seq
00007ff80a75a7ad (__TEXT,__text) external _au_to_sock_inet
00007ff80a75a741 (__TEXT,__text) external _au_to_sock_inet128
00007ff80a75a6d9 (__TEXT,__text) external _au_to_sock_inet32
00007ff80a75a639 (__TEXT,__text) external _au_to_sock_unix
00007ff80a75a4dc (__TEXT,__text) external _au_to_socket_ex
00007ff80a75af17 (__TEXT,__text) non-external _au_to_strings
00007ff80a75aa6b (__TEXT,__text) external _au_to_subject
00007ff80a75a7b7 (__TEXT,__text) external _au_to_subject32
00007ff80a75aa75 (__TEXT,__text) external _au_to_subject32_ex
00007ff80a75a8f1 (__TEXT,__text) external _au_to_subject64
00007ff80a75ac63 (__TEXT,__text) external _au_to_subject64_ex
00007ff80a75ae72 (__TEXT,__text) external _au_to_subject_ex
00007ff80a759b4a (__TEXT,__text) external _au_to_text
00007ff80a75b6e7 (__TEXT,__text) external _au_to_trailer
00007ff80a75b05b (__TEXT,__text) external _au_to_zonename
00007ff80a75ba84 (__TEXT,__text) external _au_user_mask
00007ff80a751b74 (__TEXT,__text) external _au_write
                 (undefined) external _audit (from libSystem)
00007ff8422a4ba8 (__DATA,__bss) non-external _audit_free_q
00007ff80a75ce1b (__TEXT,__text) external _audit_get_car
00007ff80a75cbeb (__TEXT,__text) external _audit_get_class
00007ff80a75bfe9 (__TEXT,__text) external _audit_get_cond
00007ff80a75ce30 (__TEXT,__text) external _audit_get_ctlmode
00007ff80a75ce06 (__TEXT,__text) external _audit_get_cwd
00007ff80a75ce61 (__TEXT,__text) external _audit_get_expire_after
00007ff80a75ccaf (__TEXT,__text) external _audit_get_fsize
00007ff80a75cb89 (__TEXT,__text) external _audit_get_kaudit
00007ff80a75cc4d (__TEXT,__text) external _audit_get_kmask
00007ff80a75cd42 (__TEXT,__text) external _audit_get_pinfo
00007ff80a75cd73 (__TEXT,__text) external _audit_get_pinfo_addr
00007ff80a75c7b2 (__TEXT,__text) external _audit_get_policy
00007ff80a75ca0c (__TEXT,__text) external _audit_get_qctrl
00007ff80a75c87a (__TEXT,__text) external _audit_get_sflags
00007ff80a75c8b5 (__TEXT,__text) external _audit_get_sflags_mask
00007ff80a7519e0 (__TEXT,__text) external _audit_get_sinfo_addr
00007ff80a75cda4 (__TEXT,__text) external _audit_get_stat
00007ff8422a4ba0 (__DATA,__bss) non-external _audit_rec_count
00007ff80a75cb72 (__TEXT,__text) external _audit_send_trigger
00007ff80a75cc1c (__TEXT,__text) external _audit_set_class
00007ff80a75c74e (__TEXT,__text) external _audit_set_cond
00007ff80a75cce0 (__TEXT,__text) external _audit_set_fsize
00007ff80a75cbba (__TEXT,__text) external _audit_set_kaudit
00007ff80a75cc7e (__TEXT,__text) external _audit_set_kmask
00007ff80a75cd11 (__TEXT,__text) external _audit_set_pmask
00007ff80a75c816 (__TEXT,__text) external _audit_set_policy
00007ff80a75cabf (__TEXT,__text) external _audit_set_qctrl
00007ff80a75c891 (__TEXT,__text) external _audit_set_sflags
00007ff80a75c965 (__TEXT,__text) external _audit_set_sflags_mask
00007ff80a75cdd5 (__TEXT,__text) external _audit_set_stat
00007ff80a75c132 (__TEXT,__text) non-external _audit_set_terminal_host
00007ff80a75c04d (__TEXT,__text) external _audit_set_terminal_id
00007ff80a75c1b3 (__TEXT,__text) external _audit_set_terminal_id_ex
00007ff80a75c082 (__TEXT,__text) non-external _audit_set_terminal_port
00007ff80a75bc05 (__TEXT,__text) external _audit_submit
00007ff80a74fcc0 (__TEXT,__text) external _audit_token_to_asid
00007ff80a74fd08 (__TEXT,__text) external _audit_token_to_au32
00007ff80a74fce4 (__TEXT,__text) external _audit_token_to_auid
00007ff80a74fced (__TEXT,__text) external _audit_token_to_egid
00007ff80a74fcd2 (__TEXT,__text) external _audit_token_to_euid
00007ff80a74fcc9 (__TEXT,__text) external _audit_token_to_pid
00007ff80a74fcff (__TEXT,__text) external _audit_token_to_pidversion
00007ff80a74fcf6 (__TEXT,__text) external _audit_token_to_rgid
00007ff80a74fcdb (__TEXT,__text) external _audit_token_to_ruid
00007ff80a75c1e8 (__TEXT,__text) external _audit_write
00007ff80a75c4cc (__TEXT,__text) external _audit_write_failure
00007ff80a75c590 (__TEXT,__text) external _audit_write_failure_ex
00007ff80a75c6f2 (__TEXT,__text) external _audit_write_failure_na
00007ff80a75c720 (__TEXT,__text) external _audit_write_failure_na_ex
00007ff80a75c654 (__TEXT,__text) external _audit_write_failure_self
00007ff80a75c373 (__TEXT,__text) external _audit_write_success
00007ff80a75c3f7 (__TEXT,__text) external _audit_write_success_ex
00007ff80a75c47b (__TEXT,__text) external _audit_write_success_self
                 (undefined) external _auditon (from libSystem)
00007ff80a75ea00 (__TEXT,__const) non-external _bsm_domains
00007ff8422a40b0 (__DATA,__const) non-external _bsm_errnos
00007ff80a75ec80 (__TEXT,__const) non-external _bsm_fcntl_cmdtab
00007ff80a75ec30 (__TEXT,__const) non-external _bsm_socket_types
00007ff80a759303 (__TEXT,__text) external _cannot_audit
                 (undefined) external _clearerr (from libSystem)
00007ff80a758933 (__TEXT,__text) non-external _close_tag
                 (undefined) external _ctime_r (from libSystem)
00007ff80a752884 (__TEXT,__text) external _endac
00007ff80a7524e4 (__TEXT,__text) external _endauclass
00007ff80a753215 (__TEXT,__text) external _endauevent
00007ff80a75b78f (__TEXT,__text) external _endauuser
00007ff8422a52e8 (__DATA,__bss) non-external _ev_cache
00007ff80a7536cf (__TEXT,__text) non-external _eventfromstr
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fgets (from libSystem)
                 (undefined) external _fileno (from libSystem)
00007ff8422a52e0 (__DATA,__bss) non-external _firsttime
00007ff80a759171 (__TEXT,__text) non-external _flush_cache
                 (undefined) external _fopen (from libSystem)
00007ff8422a4da0 (__DATA,__bss) non-external _fp
00007ff8422a4eb0 (__DATA,__bss) non-external _fp
00007ff8422a4fc0 (__DATA,__bss) non-external _fp
00007ff8422a5300 (__DATA,__bss) non-external _fp
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fseek (from libSystem)
                 (undefined) external _fstat$INODE64 (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00007ff80a7528bd (__TEXT,__text) external _getacdir
00007ff80a752eed (__TEXT,__text) external _getacexpire
00007ff80a752ae8 (__TEXT,__text) external _getacfilesz
00007ff80a752c38 (__TEXT,__text) external _getacflg
00007ff80a752e5f (__TEXT,__text) external _getachost
00007ff80a752a85 (__TEXT,__text) external _getacmin
00007ff80a752cbe (__TEXT,__text) external _getacna
00007ff80a752d44 (__TEXT,__text) external _getacpol
00007ff80a752dd2 (__TEXT,__text) external _getacsflagsmask
00007ff80a75227b (__TEXT,__text) external _getauclassent
00007ff8422a4ca8 (__DATA,__bss) non-external _getauclassent.c
00007ff8422a4c60 (__DATA,__bss) non-external _getauclassent.class_ent_desc
00007ff8422a4c50 (__DATA,__bss) non-external _getauclassent.class_ent_name
00007ff8422a4cc0 (__DATA,__bss) non-external _getauclassent.cp
00007ff80a7520df (__TEXT,__text) external _getauclassent_r
00007ff80a752113 (__TEXT,__text) non-external _getauclassent_r_locked
00007ff80a7523b6 (__TEXT,__text) external _getauclassnam
00007ff8422a4d18 (__DATA,__bss) non-external _getauclassnam.c
00007ff8422a4cd0 (__DATA,__bss) non-external _getauclassnam.class_ent_desc
00007ff8422a4cc8 (__DATA,__bss) non-external _getauclassnam.class_ent_name
00007ff80a75233f (__TEXT,__text) external _getauclassnam_r
00007ff80a75247f (__TEXT,__text) external _getauclassnum
00007ff8422a4d88 (__DATA,__bss) non-external _getauclassnum.c
00007ff8422a4d40 (__DATA,__bss) non-external _getauclassnum.class_ent_desc
00007ff8422a4d30 (__DATA,__bss) non-external _getauclassnum.class_ent_name
00007ff80a75241c (__TEXT,__text) external _getauclassnum_r
                 (undefined) external _getaudit_addr (from libSystem)
00007ff80a7537ed (__TEXT,__text) external _getauditflagsbin
00007ff80a75395c (__TEXT,__text) external _getauditflagschar
00007ff80a75331f (__TEXT,__text) external _getauevent
00007ff8422a5028 (__DATA,__bss) non-external _getauevent.e
00007ff8422a4ff0 (__DATA,__bss) non-external _getauevent.event_ent_desc
00007ff8422a4fd0 (__DATA,__bss) non-external _getauevent.event_ent_name
00007ff80a75324e (__TEXT,__text) external _getauevent_r
00007ff80a753476 (__TEXT,__text) external _getauevnam
00007ff8422a50a8 (__DATA,__bss) non-external _getauevnam.e
00007ff8422a5070 (__DATA,__bss) non-external _getauevnam.event_ent_desc
00007ff8422a5050 (__DATA,__bss) non-external _getauevnam.event_ent_name
00007ff80a753389 (__TEXT,__text) external _getauevnam_r
00007ff80a7536bb (__TEXT,__text) external _getauevnonam
00007ff8422a51d0 (__DATA,__bss) non-external _getauevnonam.event
00007ff80a753629 (__TEXT,__text) external _getauevnonam_r
00007ff8422a51a8 (__DATA,__bss) non-external _getauevnonam_r.e
00007ff8422a51c8 (__DATA,__bss) non-external _getauevnonam_r.ep
00007ff8422a5170 (__DATA,__bss) non-external _getauevnonam_r.event_ent_desc
00007ff8422a5150 (__DATA,__bss) non-external _getauevnonam_r.event_ent_name
00007ff80a7535bd (__TEXT,__text) external _getauevnum
00007ff8422a5128 (__DATA,__bss) non-external _getauevnum.e
00007ff8422a50f0 (__DATA,__bss) non-external _getauevnum.event_ent_desc
00007ff8422a50d0 (__DATA,__bss) non-external _getauevnum.event_ent_name
00007ff80a7534e3 (__TEXT,__text) external _getauevnum_r
00007ff80a75b958 (__TEXT,__text) external _getauuserent
00007ff8422a5348 (__DATA,__bss) non-external _getauuserent.u
00007ff8422a5310 (__DATA,__bss) non-external _getauuserent.user_ent_name
00007ff80a75b7c8 (__TEXT,__text) external _getauuserent_r
00007ff80a75b7fc (__TEXT,__text) non-external _getauuserent_r_locked
00007ff80a75ba3a (__TEXT,__text) external _getauusernam
00007ff8422a5398 (__DATA,__bss) non-external _getauusernam.u
00007ff8422a5360 (__DATA,__bss) non-external _getauusernam.user_ent_name
00007ff80a75b9cf (__TEXT,__text) external _getauusernam_r
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
00007ff80a75bb44 (__TEXT,__text) external _getfauditflags
                 (undefined) external _getgid (from libSystem)
                 (undefined) external _getgrgid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
00007ff80a75293e (__TEXT,__text) non-external _getstrfromtype_locked
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
                 (undefined) external _inet_ntoa (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _ioctl (from libSystem)
00007ff8422a4db0 (__DATA,__bss) non-external _linestr
00007ff8422a4ec0 (__DATA,__bss) non-external _linestr
00007ff8422a51e0 (__DATA,__bss) non-external _linestr
00007ff8422a53b0 (__DATA,__bss) non-external _linestr
00007ff80a7590b2 (__TEXT,__text) non-external _load_event_table
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff8422a4a20 (__DATA,__data) non-external _mutex
00007ff8422a4a60 (__DATA,__data) non-external _mutex
00007ff8422a4aa0 (__DATA,__data) non-external _mutex
00007ff8422a4ae0 (__DATA,__data) non-external _mutex
00007ff8422a4b20 (__DATA,__data) non-external _mutex
00007ff8422a4b60 (__DATA,__data) non-external _mutex
                 (undefined) external _notify_cancel (from libSystem)
                 (undefined) external _notify_check (from libSystem)
                 (undefined) external _notify_register_check (from libSystem)
00007ff8422a4bb0 (__DATA,__bss) non-external _open_desc_table
00007ff80a7587dc (__TEXT,__text) non-external _print_event
00007ff80a758e11 (__TEXT,__text) non-external _print_group
00007ff80a758ba8 (__TEXT,__text) non-external _print_ip_ex_address
00007ff80a758ec1 (__TEXT,__text) non-external _print_ipctype
00007ff80a758e54 (__TEXT,__text) non-external _print_mem
00007ff80a758f28 (__TEXT,__text) non-external _print_retval
00007ff80a7588a2 (__TEXT,__text) non-external _print_sec32
00007ff80a758c52 (__TEXT,__text) non-external _print_sec64
00007ff80a758ce2 (__TEXT,__text) non-external _print_string
00007ff80a758468 (__TEXT,__text) non-external _print_tok_type
00007ff80a758dce (__TEXT,__text) non-external _print_user
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80a7527e8 (__TEXT,__text) external _setac
00007ff80a752810 (__TEXT,__text) non-external _setac_locked
00007ff8422a4eb8 (__DATA,__bss) non-external _setac_locked.lastctime
00007ff80a75230d (__TEXT,__text) external _setauclass
00007ff80a7531e3 (__TEXT,__text) external _setauevent
00007ff80a75b75d (__TEXT,__text) external _setauuser
00007ff80a7530bd (__TEXT,__text) non-external _setexpirecond
                 (undefined) external _sscanf (from libSystem)
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasestr (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strsep (from libSystem)
                 (undefined) external _strtok_r (from libSystem)
                 (undefined) external _strtoul (from libSystem)
                 (undefined) external _sysctl (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ff8422a52f0 (__DATA,__bss) non-external _token
                 (undefined) external _vsnprintf (from libSystem)
