00007ff80cce69c0 (__TEXT,__const) non-external _SHA256_K
00007ff80cce8c00 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00007ff80ccd7380 (__TEXT,__text) non-external _index_cat_helper
00007ff80ccd9ab3 (__TEXT,__text) non-external _index_decode
00007ff80ccd9dbc (__TEXT,__text) non-external _index_decoder_end
00007ff80ccd98ab (__TEXT,__text) non-external _index_decoder_init
00007ff80ccd9de1 (__TEXT,__text) non-external _index_decoder_memconfig
00007ff80ccd62ef (__TEXT,__text) non-external _index_encode
00007ff80ccd6bcc (__TEXT,__text) non-external _index_encoder_end
00007ff80ccd61d3 (__TEXT,__text) non-external _index_file_size
00007ff80ccd6c34 (__TEXT,__text) non-external _index_stream_end
00007ff80ccd0a27 (__TEXT,__text) non-external _index_tree_append
00007ff80ccd6bd6 (__TEXT,__text) non-external _index_tree_node_end
00007ff80ccd19a4 (__TEXT,__text) non-external _is_options_valid
00007ff80ccd6759 (__TEXT,__text) non-external _iter_set_info
00007ff80ccd5d59 (__TEXT,__text) non-external _length
00007ff80ccd19e5 (__TEXT,__text) non-external _length_encoder_reset
00007ff80ccd1a93 (__TEXT,__text) non-external _length_update_prices
00007ff80ccdcad5 (__TEXT,__text) non-external _lz_decode
00007ff80ccdcc3d (__TEXT,__text) non-external _lz_decoder_end
00007ff80ccd2b71 (__TEXT,__text) non-external _lz_encode
00007ff80ccd6b44 (__TEXT,__text) non-external _lz_encoder_end
00007ff80ccd1c30 (__TEXT,__text) non-external _lz_encoder_prepare
00007ff80ccdc044 (__TEXT,__text) non-external _lz_encoder_update
00007ff80cce1379 (__TEXT,__text) non-external _lzma2_decode
00007ff80cce1668 (__TEXT,__text) non-external _lzma2_decoder_end
00007ff80cce1251 (__TEXT,__text) non-external _lzma2_decoder_init
00007ff80ccd2d54 (__TEXT,__text) non-external _lzma2_encode
00007ff80ccd6ba4 (__TEXT,__text) non-external _lzma2_encoder_end
00007ff80ccd156d (__TEXT,__text) non-external _lzma2_encoder_init
00007ff80cce11d1 (__TEXT,__text) non-external _lzma2_encoder_options_update
00007ff80cce2838 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00007ff80cce2810 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00007ff80ccd090c (__TEXT,__text) non-external (was a private external) _lzma_alloc
00007ff80ccd8a99 (__TEXT,__text) external _lzma_alone_decoder
00007ff80ccd86c0 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00007ff80ccd7793 (__TEXT,__text) external _lzma_alone_encoder
00007ff80ccd8af5 (__TEXT,__text) external _lzma_auto_decoder
00007ff80ccd7a2d (__TEXT,__text) external _lzma_block_buffer_bound
00007ff80ccd8dc5 (__TEXT,__text) external _lzma_block_buffer_decode
00007ff80ccd7a6d (__TEXT,__text) external _lzma_block_buffer_encode
00007ff80ccd6df2 (__TEXT,__text) external _lzma_block_compressed_size
00007ff80ccd9293 (__TEXT,__text) external _lzma_block_decoder
00007ff80ccd8ef9 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00007ff80ccd7f33 (__TEXT,__text) external _lzma_block_encoder
00007ff80ccd0ee5 (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00007ff80ccd92e9 (__TEXT,__text) external _lzma_block_header_decode
00007ff80ccd25c5 (__TEXT,__text) external _lzma_block_header_encode
00007ff80ccd0d47 (__TEXT,__text) external _lzma_block_header_size
00007ff80ccd6e51 (__TEXT,__text) external _lzma_block_total_size
00007ff80ccd2705 (__TEXT,__text) external _lzma_block_unpadded_size
00007ff80ccd256a (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00007ff80ccdaf1e (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00007ff80ccd103b (__TEXT,__text) non-external (was a private external) _lzma_check_init
00007ff80ccd101d (__TEXT,__text) external _lzma_check_is_supported
00007ff80cce2970 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00007ff80ccd5f33 (__TEXT,__text) external _lzma_check_size
00007ff80cce2980 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00007ff80ccd37e1 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00007ff80ccd2010 (__TEXT,__text) external _lzma_code
00007ff80ccd0b0b (__TEXT,__text) external _lzma_crc32
00007ff80cce2990 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00007ff80ccdaf45 (__TEXT,__text) external _lzma_crc64
00007ff80cce4990 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00007ff80ccdd2ce (__TEXT,__text) non-external _lzma_decode
00007ff80cce8b00 (__TEXT,__const) non-external _lzma_decode.next_state
00007ff80cce1012 (__TEXT,__text) non-external _lzma_decoder_init
00007ff80cce0d84 (__TEXT,__text) non-external _lzma_decoder_reset
00007ff80cce0ff4 (__TEXT,__text) non-external _lzma_decoder_uncompressed
00007ff80cce168d (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_init
00007ff80cce17d5 (__TEXT,__text) non-external (was a private external) _lzma_delta_coder_memusage
00007ff80cce1976 (__TEXT,__text) non-external (was a private external) _lzma_delta_decoder_init
00007ff80cce1806 (__TEXT,__text) non-external (was a private external) _lzma_delta_encoder_init
00007ff80cce1a00 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_decode
00007ff80cce1948 (__TEXT,__text) non-external (was a private external) _lzma_delta_props_encode
00007ff80ccd7f89 (__TEXT,__text) external _lzma_easy_buffer_encode
00007ff80ccd94ee (__TEXT,__text) external _lzma_easy_decoder_memusage
00007ff80ccd048c (__TEXT,__text) external _lzma_easy_encoder
00007ff80ccd7ffa (__TEXT,__text) external _lzma_easy_encoder_memusage
00007ff80ccd04d5 (__TEXT,__text) non-external (was a private external) _lzma_easy_preset
00007ff80ccdceb4 (__TEXT,__text) non-external _lzma_encode
00007ff80ccdcdd0 (__TEXT,__text) non-external _lzma_encoder_init
00007ff80ccd6a58 (__TEXT,__text) external _lzma_end
00007ff80cce6b00 (__TEXT,__const) non-external (was a private external) _lzma_fastpos
00007ff80ccd969a (__TEXT,__text) external _lzma_filter_decoder_is_supported
00007ff80ccd8126 (__TEXT,__text) external _lzma_filter_encoder_is_supported
00007ff80ccd97bc (__TEXT,__text) external _lzma_filter_flags_decode
00007ff80ccd277c (__TEXT,__text) external _lzma_filter_flags_encode
00007ff80ccd0e28 (__TEXT,__text) external _lzma_filter_flags_size
00007ff80ccd1e86 (__TEXT,__text) external _lzma_filters_copy
00007ff80ccd8155 (__TEXT,__text) external _lzma_filters_update
00007ff80cce2946 (__TEXT,__const) non-external (was a private external) _lzma_footer_magic
00007ff80ccd1e5e (__TEXT,__text) non-external (was a private external) _lzma_free
00007ff80ccd6cfd (__TEXT,__text) external _lzma_get_check
00007ff80cce2940 (__TEXT,__const) non-external (was a private external) _lzma_header_magic
00007ff80ccd5f50 (__TEXT,__text) external _lzma_index_append
00007ff80ccd6590 (__TEXT,__text) external _lzma_index_block_count
00007ff80ccd999b (__TEXT,__text) external _lzma_index_buffer_decode
00007ff80ccd82e4 (__TEXT,__text) external _lzma_index_buffer_encode
00007ff80ccd715f (__TEXT,__text) external _lzma_index_cat
00007ff80ccd708a (__TEXT,__text) external _lzma_index_checks
00007ff80ccd9850 (__TEXT,__text) external _lzma_index_decoder
00007ff80ccd73e4 (__TEXT,__text) external _lzma_index_dup
00007ff80ccd828e (__TEXT,__text) external _lzma_index_encoder
00007ff80ccd6228 (__TEXT,__text) non-external (was a private external) _lzma_index_encoder_init
00007ff80ccd093e (__TEXT,__text) external _lzma_index_end
00007ff80ccd7045 (__TEXT,__text) external _lzma_index_file_size
00007ff80ccd9ee2 (__TEXT,__text) external _lzma_index_hash_append
00007ff80ccda038 (__TEXT,__text) external _lzma_index_hash_decode
00007ff80ccd9eae (__TEXT,__text) external _lzma_index_hash_end
00007ff80ccd9e34 (__TEXT,__text) external _lzma_index_hash_init
00007ff80ccd9eb8 (__TEXT,__text) external _lzma_index_hash_size
00007ff80ccd0977 (__TEXT,__text) external _lzma_index_init
00007ff80ccd62cf (__TEXT,__text) external _lzma_index_iter_init
00007ff80ccd7652 (__TEXT,__text) external _lzma_index_iter_locate
00007ff80ccd659a (__TEXT,__text) external _lzma_index_iter_next
00007ff80ccd763b (__TEXT,__text) external _lzma_index_iter_rewind
00007ff80ccd6f19 (__TEXT,__text) external _lzma_index_memusage
00007ff80ccd6f91 (__TEXT,__text) external _lzma_index_memused
00007ff80ccd697f (__TEXT,__text) non-external (was a private external) _lzma_index_padding_size
00007ff80ccd6efe (__TEXT,__text) non-external (was a private external) _lzma_index_prealloc
00007ff80ccd69a9 (__TEXT,__text) external _lzma_index_size
00007ff80ccd6ffe (__TEXT,__text) external _lzma_index_stream_count
00007ff80ccd70a3 (__TEXT,__text) external _lzma_index_stream_flags
00007ff80ccd70fe (__TEXT,__text) external _lzma_index_stream_padding
00007ff80ccd7011 (__TEXT,__text) external _lzma_index_stream_size
00007ff80ccd7007 (__TEXT,__text) external _lzma_index_total_size
00007ff80ccd7080 (__TEXT,__text) external _lzma_index_uncompressed_size
00007ff80ccdc93d (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_init
00007ff80ccdcc8d (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_memusage
00007ff80ccdcc9a (__TEXT,__text) non-external (was a private external) _lzma_lz_decoder_uncompressed
00007ff80ccd1389 (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_init
00007ff80ccdbfdc (__TEXT,__text) non-external (was a private external) _lzma_lz_encoder_memusage
00007ff80cce1240 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_init
00007ff80cce12fb (__TEXT,__text) non-external (was a private external) _lzma_lzma2_decoder_memusage
00007ff80ccd1378 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_init
00007ff80cce11b7 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_encoder_memusage
00007ff80cce130c (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_decode
00007ff80ccd28f9 (__TEXT,__text) non-external (was a private external) _lzma_lzma2_props_encode
00007ff80ccdd258 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_create
00007ff80cce1001 (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_init
00007ff80cce10ce (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage
00007ff80cce10bb (__TEXT,__text) non-external (was a private external) _lzma_lzma_decoder_memusage_nocheck
00007ff80ccd3130 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encode
00007ff80ccd168c (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_create
00007ff80ccdcdbf (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_init
00007ff80ccdcde5 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_memusage
00007ff80ccd1798 (__TEXT,__text) non-external (was a private external) _lzma_lzma_encoder_reset
00007ff80cce1070 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_decode
00007ff80ccd5ef9 (__TEXT,__text) non-external (was a private external) _lzma_lzma_lclppb_encode
00007ff80ccdced1 (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_fast
00007ff80ccd3c7c (__TEXT,__text) non-external (was a private external) _lzma_lzma_optimum_normal
00007ff80ccd050c (__TEXT,__text) external _lzma_lzma_preset
00007ff80cce1105 (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_decode
00007ff80ccdce5f (__TEXT,__text) non-external (was a private external) _lzma_lzma_props_encode
00007ff80ccd6d5f (__TEXT,__text) external _lzma_memlimit_get
00007ff80ccd6da6 (__TEXT,__text) external _lzma_memlimit_set
00007ff80ccd6d18 (__TEXT,__text) external _lzma_memusage
00007ff80ccdc60d (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_find
00007ff80ccdc6a1 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt2_skip
00007ff80ccdc71d (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_find
00007ff80ccdc872 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt3_skip
00007ff80ccd56e7 (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_find
00007ff80ccd383f (__TEXT,__text) non-external (was a private external) _lzma_mf_bt4_skip
00007ff80ccd565c (__TEXT,__text) non-external (was a private external) _lzma_mf_find
00007ff80ccdc0c4 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_find
00007ff80ccdc2fc (__TEXT,__text) non-external (was a private external) _lzma_mf_hc3_skip
00007ff80ccdc387 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_find
00007ff80ccdc561 (__TEXT,__text) non-external (was a private external) _lzma_mf_hc4_skip
00007ff80ccdc09f (__TEXT,__text) external _lzma_mf_is_supported
00007ff80ccdcea4 (__TEXT,__text) external _lzma_mode_is_supported
00007ff80ccd089b (__TEXT,__text) non-external (was a private external) _lzma_next_end
00007ff80ccd1319 (__TEXT,__text) non-external (was a private external) _lzma_next_filter_init
00007ff80ccd6ccd (__TEXT,__text) non-external (was a private external) _lzma_next_filter_update
00007ff80ccd6ef4 (__TEXT,__text) external _lzma_physmem
00007ff80ccd977e (__TEXT,__text) external _lzma_properties_decode
00007ff80ccd28c7 (__TEXT,__text) external _lzma_properties_encode
00007ff80ccd0e79 (__TEXT,__text) external _lzma_properties_size
00007ff80ccd9527 (__TEXT,__text) external _lzma_raw_buffer_decode
00007ff80ccd8033 (__TEXT,__text) external _lzma_raw_buffer_encode
00007ff80ccd107c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_init
00007ff80ccd6e6c (__TEXT,__text) non-external (was a private external) _lzma_raw_coder_memusage
00007ff80ccd9706 (__TEXT,__text) external _lzma_raw_decoder
00007ff80ccd96f2 (__TEXT,__text) non-external (was a private external) _lzma_raw_decoder_init
00007ff80ccd976a (__TEXT,__text) external _lzma_raw_decoder_memusage
00007ff80ccd8227 (__TEXT,__text) external _lzma_raw_encoder
00007ff80ccd1065 (__TEXT,__text) non-external (was a private external) _lzma_raw_encoder_init
00007ff80ccd8213 (__TEXT,__text) external _lzma_raw_encoder_memusage
00007ff80cce8b30 (__TEXT,__const) non-external (was a private external) _lzma_rc_prices
00007ff80ccdbeec (__TEXT,__text) non-external (was a private external) _lzma_sha256_finish
00007ff80ccdb025 (__TEXT,__text) non-external (was a private external) _lzma_sha256_init
00007ff80cce69a0 (__TEXT,__const) non-external _lzma_sha256_init.s
00007ff80ccdb049 (__TEXT,__text) non-external (was a private external) _lzma_sha256_update
00007ff80cce2513 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_decoder_init
00007ff80cce24f0 (__TEXT,__text) non-external (was a private external) _lzma_simple_arm_encoder_init
00007ff80cce25da (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_decoder_init
00007ff80cce25b7 (__TEXT,__text) non-external (was a private external) _lzma_simple_armthumb_encoder_init
00007ff80cce1a46 (__TEXT,__text) non-external (was a private external) _lzma_simple_coder_init
00007ff80cce22a0 (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_decoder_init
00007ff80cce227d (__TEXT,__text) non-external (was a private external) _lzma_simple_ia64_encoder_init
00007ff80cce21a1 (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_decoder_init
00007ff80cce217e (__TEXT,__text) non-external (was a private external) _lzma_simple_powerpc_encoder_init
00007ff80cce1f25 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_decode
00007ff80cce1f10 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_encode
00007ff80cce1ef6 (__TEXT,__text) non-external (was a private external) _lzma_simple_props_size
00007ff80cce26da (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_decoder_init
00007ff80cce26b7 (__TEXT,__text) non-external (was a private external) _lzma_simple_sparc_encoder_init
00007ff80cce1fe0 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_decoder_init
00007ff80cce1f88 (__TEXT,__text) non-external (was a private external) _lzma_simple_x86_encoder_init
00007ff80ccd83cc (__TEXT,__text) external _lzma_stream_buffer_bound
00007ff80ccda3c4 (__TEXT,__text) external _lzma_stream_buffer_decode
00007ff80ccd83f5 (__TEXT,__text) external _lzma_stream_buffer_encode
00007ff80ccdac6c (__TEXT,__text) external _lzma_stream_decoder
00007ff80ccda538 (__TEXT,__text) non-external (was a private external) _lzma_stream_decoder_init
00007ff80ccd0635 (__TEXT,__text) external _lzma_stream_encoder
00007ff80ccd0728 (__TEXT,__text) non-external (was a private external) _lzma_stream_encoder_init
00007ff80ccd770e (__TEXT,__text) external _lzma_stream_flags_compare
00007ff80ccdad4d (__TEXT,__text) external _lzma_stream_footer_decode
00007ff80ccd69d3 (__TEXT,__text) external _lzma_stream_footer_encode
00007ff80ccdacc7 (__TEXT,__text) external _lzma_stream_header_decode
00007ff80ccd0aad (__TEXT,__text) external _lzma_stream_header_encode
00007ff80ccd0690 (__TEXT,__text) non-external (was a private external) _lzma_strm_init
00007ff80ccd6cb4 (__TEXT,__text) external _lzma_version_number
00007ff80ccd6cbf (__TEXT,__text) external _lzma_version_string
00007ff80ccdadc3 (__TEXT,__text) external _lzma_vli_decode
00007ff80ccd281d (__TEXT,__text) external _lzma_vli_encode
00007ff80ccd0ec6 (__TEXT,__text) external _lzma_vli_size
                 (undefined) external _malloc (from libSystem)
00007ff80ccd5b18 (__TEXT,__text) non-external _match
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
00007ff80ccd3a2c (__TEXT,__text) non-external _move_pos
00007ff80cce21c4 (__TEXT,__text) non-external _powerpc_code
00007ff80ccdb0b1 (__TEXT,__text) non-external _process
00007ff80ccd3a8d (__TEXT,__text) non-external _rc_encode
00007ff80cce1ba7 (__TEXT,__text) non-external _simple_code
00007ff80cce1e31 (__TEXT,__text) non-external _simple_coder_end
00007ff80cce1e5e (__TEXT,__text) non-external _simple_coder_update
00007ff80cce26fd (__TEXT,__text) non-external _sparc_code
00007ff80ccda699 (__TEXT,__text) non-external _stream_decode
00007ff80ccdabf4 (__TEXT,__text) non-external _stream_decoder_end
00007ff80ccdac28 (__TEXT,__text) non-external _stream_decoder_get_check
00007ff80ccdac34 (__TEXT,__text) non-external _stream_decoder_memconfig
00007ff80ccd226f (__TEXT,__text) non-external _stream_encode
00007ff80cce2960 (__TEXT,__const) non-external _stream_encode.convert
00007ff80ccd6ab0 (__TEXT,__text) non-external _stream_encoder_end
00007ff80ccd0c47 (__TEXT,__text) non-external _stream_encoder_update
                 (undefined) external _sysctl (from libSystem)
00007ff80ccd6c4b (__TEXT,__text) non-external (was a private external) _tuklib_physmem
00007ff80ccd123b (__TEXT,__text) non-external _validate_chain
00007ff80cce1fec (__TEXT,__text) non-external _x86_code
00007ff80cce8bb0 (__TEXT,__const) non-external _x86_code.MASK_TO_BIT_NUMBER
00007ff80cce1f97 (__TEXT,__text) non-external _x86_coder_init
