                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
0000000193070520 (__TEXT,__text) external _NEAuditTokenForPID
00000001930552dc (__TEXT,__text) external _NEHelperTrackerGetAppInfo
00000001930553e4 (__TEXT,__text) external _NEHelperTrackerGetAppUUID
0000000193055604 (__TEXT,__text) external _NEHelperTrackerGetDisposition
00000001d94b0ad0 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.buffer
00000001d94b0c48 (__DATA,__bss) non-external _NEHelperTrackerGetDisposition.puny_coded_domain_buf
0000000193056320 (__TEXT,__text) external _NEHelperTrackerParseTLV
0000000193055ca4 (__TEXT,__text) non-external _NEHelperTrackerProcessMatch
000000019307019c (__TEXT,__text) external _NEPIDByName
0000000193055164 (__TEXT,__text) external _NEPunyCodeString
00000001930706b4 (__TEXT,__text) external _NEUIDForAuditToken
                 (undefined) external _SANDBOX_CHECK_NO_REPORT (from libSystem)
                 (undefined) external _SecRandomCopyBytes (from Security)
                 (undefined) external _SecTaskCopySigningIdentifier (from Security)
                 (undefined) external _SecTaskCreateWithAuditToken (from Security)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFXPCCreateCFObjectFromXPCObject (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
0000000193058270 (__TEXT,__text) non-external ___Block_byref_object_copy_
0000000193058280 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00000001930561d4 (__TEXT,__text) non-external ___NEHelperTrackerDomainIsApproved_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00000001de0d6060 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp
00000001d4a94cb8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.1
00000001de0d60e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10
00000001de0d6810 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.10.95
00000001d4a946b0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.11
00000001de0d6380 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.114
00000001de0d63b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.117
00000001de0d6110 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.14
00000001d4a94c98 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.159
00000001de0d68f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.16
00000001d4a94748 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.174
00000001d4a94768 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.175
00000001de0d63e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.179
00000001de0d6140 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.18
00000001d4a94bf0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.18.155
00000001d4a94788 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.182
00000001d4a947a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.187
00000001d4a94c10 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.19
00000001de0d6450 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.193
00000001de0d6480 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.196
00000001de0d64b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.201
00000001de0d64e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.204
00000001d4a947c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.208
00000001de0d6170 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21
00000001de0d6920 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.21.254
00000001de0d6510 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.215
00000001d4a947e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.216
00000001de0d6540 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.219
00000001de0d6570 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.225
00000001de0d65a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.228
00000001de0d65d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.232
00000001de0d6600 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.235
00000001d4a94808 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.237
00000001de0d6950 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.24
00000001de0d6630 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.240
00000001de0d6660 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.241
00000001d4a94960 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.258
00000001d4a94d08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.26
00000001d4a94980 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.261
00000001d4a949a0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.264
00000001d4a94c30 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00000001d4a94d28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27.244
00000001de0d66d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.270
00000001d4a949c0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.274
00000001d4a94d48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00000001de0d6720 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.280
00000001d4a949e0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.283
00000001d4a94a00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.285
00000001de0d6750 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.293
00000001de0d61a0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.30
00000001de0d6780 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.300
00000001d4a94c50 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00000001de0d61d0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.39
00000001de0d6880 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.39.123
00000001d4a94d68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00000001d4a94d88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.42
00000001de0d6200 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.43
00000001de0d6980 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.43.206
00000001d4a94da8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00000001d4a94670 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00000001de0d6230 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.47.58
00000001d4a94dc8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.49
00000001de0d6260 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.50
00000001d4a94de8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.50.186
00000001de0d6290 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.53
00000001de0d69b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.53.238
00000001d4a946d0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55
00000001d4a94e08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.55.239
00000001d4a94e28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.56
00000001d4a94e48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.57
00000001d4a94e68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.58
00000001de0d67e0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.6
00000001d4a94e88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.60
00000001d4a946f0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.62
00000001de0d62c0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.65
00000001de0d62f0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.71
00000001d4a94ea8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.73
00000001de0d6320 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.74
00000001d4a94ec8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.74.230
00000001de0d6350 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.77
00000001de0d60b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.8
00000001d4a94728 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.87
00000001d4a94690 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9
00000001d4a94ce8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.9.270
00000001de0d67b0 (__AUTH_CONST,__const) non-external ___block_descriptor_tmp.93
00000001de0d6090 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001de0d6840 (__AUTH_CONST,__const) non-external ___block_literal_global.152
00000001de0d68b0 (__AUTH_CONST,__const) non-external ___block_literal_global.157
00000001de0d6410 (__AUTH_CONST,__const) non-external ___block_literal_global.184
00000001de0d6430 (__AUTH_CONST,__const) non-external ___block_literal_global.189
00000001de0d6860 (__AUTH_CONST,__const) non-external ___block_literal_global.21
00000001de0d6690 (__AUTH_CONST,__const) non-external ___block_literal_global.260
00000001de0d66b0 (__AUTH_CONST,__const) non-external ___block_literal_global.263
00000001de0d6700 (__AUTH_CONST,__const) non-external ___block_literal_global.276
00000001de0d68d0 (__AUTH_CONST,__const) non-external ___block_literal_global.3
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000193058028 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
0000000193056230 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
000000019306a954 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r
000000019305bb30 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r56r
000000019305801c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
0000000193056224 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
000000019306a910 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r
000000019305bad4 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r56r
                 (undefined) external ___error (from libSystem)
0000000193057ef4 (__TEXT,__text) non-external ___fetch_status_block_invoke
0000000193057f0c (__TEXT,__text) non-external ___fetch_status_block_invoke.197
000000019305808c (__TEXT,__text) non-external ___fetch_status_block_invoke_2
00000001930584f0 (__TEXT,__text) non-external ___get_connection_block_invoke
0000000193057af8 (__TEXT,__text) non-external ___get_current_notify_pid_block_invoke
000000019305f02c (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke
000000019305ed94 (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke.281
000000019305ee8c (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke.289
000000019305ed48 (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke_2
000000019305ef24 (__TEXT,__text) non-external ___get_flow_divert_token_from_session_manager_block_invoke_2.282
00000001930586a8 (__TEXT,__text) non-external ___globals_init_block_invoke
0000000193060a6c (__TEXT,__text) non-external ___ne_copy_cached_bundle_identifier_for_synthesized_uuid_locked_block_invoke
000000019306096c (__TEXT,__text) non-external ___ne_copy_cached_bundle_identifier_for_uuid_block_invoke
0000000193060b4c (__TEXT,__text) non-external ___ne_copy_cached_bundle_identifier_for_uuid_block_invoke_2
000000019306069c (__TEXT,__text) non-external ___ne_copy_cached_uuids_for_bundle_identifier_block_invoke
0000000193061f70 (__TEXT,__text) non-external ___ne_filter_connection_queue_block_invoke
000000019306ab60 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_data_block_invoke
000000019306ae08 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_data_block_invoke.39
0000000193063904 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_finished_block_invoke
0000000193063b90 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_finished_block_invoke.48
000000019306b978 (__TEXT,__text) non-external ___ne_filter_data_protocol_send_new_flow_block_invoke
000000019306bbfc (__TEXT,__text) non-external ___ne_filter_data_protocol_send_new_flow_block_invoke.72
000000019306f168 (__TEXT,__text) non-external ___ne_filter_destroy_frames_block_invoke
000000019306f1ac (__TEXT,__text) non-external ___ne_filter_destroy_frames_block_invoke_2
000000019306f1f0 (__TEXT,__text) non-external ___ne_filter_destroy_frames_block_invoke_3
0000000193062b68 (__TEXT,__text) non-external ___ne_filter_get_definition_block_invoke
000000019306f928 (__TEXT,__text) non-external ___ne_filter_protocol_add_input_handler_block_invoke
000000019306f940 (__TEXT,__text) non-external ___ne_filter_protocol_add_input_handler_block_invoke.18
000000019306f9dc (__TEXT,__text) non-external ___ne_filter_protocol_add_input_handler_block_invoke_2
000000019306d914 (__TEXT,__text) non-external ___ne_filter_protocol_finalize_output_frames_block_invoke
000000019306a0f0 (__TEXT,__text) non-external ___ne_filter_protocol_fulfill_frame_request_block_invoke
000000019306a8c0 (__TEXT,__text) non-external ___ne_filter_protocol_fulfill_frame_request_block_invoke.44
000000019306ed20 (__TEXT,__text) non-external ___ne_filter_protocol_get_input_frames_block_invoke
000000019306ed78 (__TEXT,__text) non-external ___ne_filter_protocol_get_input_frames_block_invoke.54
000000019306edcc (__TEXT,__text) non-external ___ne_filter_protocol_get_input_frames_block_invoke_2
000000019307009c (__TEXT,__text) non-external ___ne_filter_protocol_handle_message_block_invoke
0000000193062bf8 (__TEXT,__text) non-external ___ne_filter_protocol_identifier_block_invoke
00000001930614a0 (__TEXT,__text) non-external ___ne_filter_request_connection_block_invoke
0000000193061520 (__TEXT,__text) non-external ___ne_filter_request_connection_block_invoke.2
000000019306159c (__TEXT,__text) non-external ___ne_filter_request_connection_block_invoke.7
0000000193061934 (__TEXT,__text) non-external ___ne_filter_request_xpc_connection_block_invoke
00000001930619c0 (__TEXT,__text) non-external ___ne_filter_request_xpc_connection_block_invoke.31
0000000193061d68 (__TEXT,__text) non-external ___ne_filter_request_xpc_connection_block_invoke.35
000000019306aff8 (__TEXT,__text) non-external ___ne_filter_send_approved_frames_block_invoke
000000019306b2a4 (__TEXT,__text) non-external ___ne_filter_send_approved_frames_block_invoke.59
0000000193062a2c (__TEXT,__text) non-external ___ne_filter_stats_report_register_block_invoke
000000019305b960 (__TEXT,__text) non-external ___ne_parse_necp_drop_dest_dictionary_block_invoke
0000000193059668 (__TEXT,__text) non-external ___ne_session_cancel_block_invoke
0000000193058494 (__TEXT,__text) non-external ___ne_session_clear_event_handler_block_invoke
000000019305dad4 (__TEXT,__text) non-external ___ne_session_copy_cached_values_locked_block_invoke
000000019305db4c (__TEXT,__text) non-external ___ne_session_copy_cached_values_locked_block_invoke_2
000000019305d8dc (__TEXT,__text) non-external ___ne_session_copy_cached_values_locked_block_invoke_3
000000019305e220 (__TEXT,__text) non-external ___ne_session_copy_security_session_info_block_invoke
000000019305937c (__TEXT,__text) non-external ___ne_session_create_block_invoke
000000019305a9f4 (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke
000000019305aba8 (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke.66
000000019305ab50 (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke_2
000000019305ac8c (__TEXT,__text) non-external ___ne_session_establish_ipc_block_invoke_2.68
0000000193059f48 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke
000000019305a17c (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke.220
000000019305a350 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke.222
000000019305a2f8 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke.229
000000019305a124 (__TEXT,__text) non-external ___ne_session_get_info_with_parameters_block_invoke_2
00000001930596f8 (__TEXT,__text) non-external ___ne_session_get_status_block_invoke
00000001930598b8 (__TEXT,__text) non-external ___ne_session_get_status_block_invoke.15
0000000193059864 (__TEXT,__text) non-external ___ne_session_get_status_block_invoke_2
0000000193059110 (__TEXT,__text) non-external ___ne_session_is_always_on_vpn_enabled_block_invoke
0000000193059a00 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke
0000000193059c2c (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke.34
0000000193059e00 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke.36
0000000193059da8 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke.44
0000000193059bd4 (__TEXT,__text) non-external ___ne_session_local_communication_send_info_block_invoke_2
000000019305b264 (__TEXT,__text) non-external ___ne_session_parse_necp_drop_dest_array_block_invoke
000000019305ecfc (__TEXT,__text) non-external ___ne_session_policy_copy_flow_divert_token_block_invoke
0000000193058354 (__TEXT,__text) non-external ___ne_session_release_block_invoke
000000019305a518 (__TEXT,__text) non-external ___ne_session_send_barrier_block_invoke
000000019305a57c (__TEXT,__text) non-external ___ne_session_send_barrier_block_invoke.54
0000000193059570 (__TEXT,__text) non-external ___ne_session_set_event_handler_block_invoke
000000019305a63c (__TEXT,__text) non-external ___ne_session_start_on_behalf_of_block_invoke
000000019305a8a4 (__TEXT,__text) non-external ___ne_session_stop_with_reason_block_invoke
000000019305da5c (__TEXT,__text) non-external ___ne_session_update_cached_values_block_invoke
000000019305cea8 (__TEXT,__text) non-external ___nehelper_copy_connection_for_delegate_class_block_invoke
0000000193058170 (__TEXT,__text) non-external ___notify_client_block_invoke
000000019305828c (__TEXT,__text) non-external ___notify_client_block_invoke.212
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external __dispatch_source_type_timer (from libSystem)
00000001d94b102c (__DATA,__bss) non-external __ne_session_cache_lock
00000001d94b0ab0 (__DATA,__data) non-external __ne_session_cache_notify_token
00000001d94b1068 (__DATA,__bss) non-external __ne_session_master_cache
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external __xpc_error_connection_interrupted (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_data (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_endpoint (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external _audit_session_port (from libSystem)
                 (undefined) external _audit_session_self (from libSystem)
                 (undefined) external _audit_token_to_asid (from libbsm)
                 (undefined) external _audit_token_to_egid (from libbsm)
                 (undefined) external _audit_token_to_euid (from libbsm)
                 (undefined) external _audit_token_to_pid (from libbsm)
                 (undefined) external _bootstrap_port (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cc_cmp_safe (from libSystem)
                 (undefined) external _cchkdf (from libSystem)
                 (undefined) external _cchmac_final (from libSystem)
                 (undefined) external _cchmac_init (from libSystem)
                 (undefined) external _cchmac_update (from libSystem)
                 (undefined) external _ccsha256_di (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _csops (from libSystem)
                 (undefined) external _dispatch_activate (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_group_create (from libSystem)
                 (undefined) external _dispatch_group_enter (from libSystem)
                 (undefined) external _dispatch_group_leave (from libSystem)
                 (undefined) external _dispatch_group_notify (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_resume (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_source_cancel (from libSystem)
                 (undefined) external _dispatch_source_create (from libSystem)
                 (undefined) external _dispatch_source_set_event_handler (from libSystem)
                 (undefined) external _dispatch_source_set_timer (from libSystem)
                 (undefined) external _dispatch_suspend (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
0000000193057b94 (__TEXT,__text) non-external _fetch_status
                 (undefined) external _free (from libSystem)
                 (undefined) external _fstat (from libSystem)
00000001d94b0acc (__DATA,__common) external _g_NEFilterDisable
00000001d94b10e8 (__DATA,__bss) non-external _g_filter_protocol_callbacks
00000001d94b10bc (__DATA,__bss) non-external _g_filter_protocol_identifier
00000001d94b0ab8 (__DATA,__common) external _g_ne_read_uuid_cache
00000001d94b0ab9 (__DATA,__common) external _g_ne_uuid_cache_hit
00000001d94b0fb0 (__DATA,__bss) non-external _g_queue
00000001d94b0fb8 (__DATA,__bss) non-external _g_sessions
00000001d94b0ac0 (__DATA,__common) external _g_stats_globals
00000001d94b0ac8 (__DATA,__common) external _g_testControlUnit
00000001d94b1088 (__DATA,__bss) non-external _g_testProviderFactory
00000001d94b1038 (__DATA,__bss) non-external _g_uuid_cache
00000001d94b1030 (__DATA,__bss) non-external _g_uuid_cache_lock
0000000193057d04 (__TEXT,__text) non-external _get_connection
0000000193058cfc (__TEXT,__text) non-external _get_current_config_state
00000001d94b0aac (__DATA,__data) non-external _get_current_config_state.config_token
00000001d94b1058 (__DATA,__bss) non-external _get_current_config_state.current_state
0000000193057a60 (__TEXT,__text) non-external _get_current_notify_pid
00000001d94b1048 (__DATA,__bss) non-external _get_current_notify_pid.current_pid
00000001d94b0aa4 (__DATA,__data) non-external _get_current_notify_pid.sm_token
00000001d94b1078 (__DATA,__bss) non-external _get_flow_divert_token_from_session_manager.token_init
00000001d94b1070 (__DATA,__bss) non-external _get_flow_divert_token_from_session_manager.token_queue
                 (undefined) external _getegid (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getsockopt (from libSystem)
00000001d94b1060 (__DATA,__bss) non-external _globals_init.sess_init
                 (undefined) external _in6addr_any (from libSystem)
                 (undefined) external _inet_ntop (from libSystem)
                 (undefined) external _inet_pton (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kSecRandomDefault (from Security)
                 (undefined) external _mach_absolute_time (from libSystem)
                 (undefined) external _mach_error_string (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _mach_timebase_info (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000019306076c (__TEXT,__text) external _ne_copy_cached_bundle_identifier_for_uuid
0000000193060558 (__TEXT,__text) non-external _ne_copy_cached_synthesized_uuids_for_bundle_identifier_locked
00000001930603dc (__TEXT,__text) external _ne_copy_cached_uuids_for_bundle_identifier
000000019305f778 (__TEXT,__text) external _ne_copy_signature_info_for_pid
000000019305f584 (__TEXT,__text) external _ne_copy_signing_identifier_for_pid
000000019306039c (__TEXT,__text) external _ne_copy_uuid_cache
000000019305f97c (__TEXT,__text) external _ne_copy_uuid_cache_locked
00000001d94b1040 (__DATA,__bss) non-external _ne_copy_uuid_cache_locked.g_my_os_version
0000000193062284 (__TEXT,__text) external _ne_filter_allocate_globals
0000000193067cb4 (__TEXT,__text) non-external _ne_filter_cleanup
00000001d94b1090 (__DATA,__bss) non-external _ne_filter_connection_queue.filter_queue
00000001d94b1098 (__DATA,__bss) non-external _ne_filter_connection_queue.onceToken
0000000193061f9c (__TEXT,__text) external _ne_filter_copy_connection
000000019306aab0 (__TEXT,__text) non-external _ne_filter_create_wildcard_remote_sockaddr
0000000193070860 (__TEXT,__text) external _ne_filter_crypto_generate_client_key
000000019307094c (__TEXT,__text) external _ne_filter_crypto_init_client
0000000193070778 (__TEXT,__text) external _ne_filter_crypto_init_master
0000000193070d64 (__TEXT,__text) non-external _ne_filter_crypto_print_data
00000001930709e4 (__TEXT,__text) external _ne_filter_crypto_sign_data
0000000193070c30 (__TEXT,__text) non-external _ne_filter_crypto_update_context
00000001930714a4 (__TEXT,__text) external _ne_filter_crypto_validate_data
0000000193068024 (__TEXT,__text) non-external _ne_filter_data_protocol_send_data
0000000193063348 (__TEXT,__text) non-external _ne_filter_data_protocol_send_finished
000000019306b2e4 (__TEXT,__text) non-external _ne_filter_data_protocol_send_new_flow
00000001930622f4 (__TEXT,__text) external _ne_filter_deallocate_globals
00000001930635f8 (__TEXT,__text) non-external _ne_filter_generate_crypto_signature
0000000193062b24 (__TEXT,__text) external _ne_filter_get_definition
00000001d94b10a0 (__DATA,__bss) non-external _ne_filter_get_definition.filter_definition
00000001d94b10a8 (__DATA,__bss) non-external _ne_filter_get_definition.onceToken
0000000193067528 (__TEXT,__text) non-external _ne_filter_handle_input_finished
