00007ffd415285a8 (__DATA,__bss) non-external _A
00007ffd000f973d (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffd000f9760 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffd000f9783 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffd000f97a6 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffd000f97c9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffd000f97ec (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffd000f980f (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffd000f9832 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffd000f9855 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffd000f9602 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffd000f9625 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffd000f9648 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffd000f966b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffd000f968e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffd000f96b1 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffd000f96d4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffd000f96f7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffd000f550c (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffd000f9ac9 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffd000f9aec (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffd000f9b0f (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffd000f9b32 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffd000f9b55 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffd000f4e11 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffd000f989b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffd000f98be (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffd000f98e1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffd000f9904 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffd000f9927 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffd000f994a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffd000f996d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffd000eff2f (__TEXT,__text) external _cmark_parser_add_child
00007ffd000f0007 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffd000ee240 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffd000ee4eb (__TEXT,__text) non-external _cmark_parser_dispose
00007ffd000eecf6 (__TEXT,__text) external _cmark_parser_feed
00007ffd000eed02 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffd000ee7e6 (__TEXT,__text) external _cmark_parser_finish
00007ffd000ee46d (__TEXT,__text) external _cmark_parser_free
00007ffd000efeee (__TEXT,__text) external _cmark_parser_get_column
00007ffd000efef7 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffd000eff00 (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffd000eff09 (__TEXT,__text) external _cmark_parser_get_indent
00007ffd000eff26 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffd000efedc (__TEXT,__text) external _cmark_parser_get_line_number
00007ffd000efee5 (__TEXT,__text) external _cmark_parser_get_offset
00007ffd000f00f8 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffd000eff1c (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffd000eff12 (__TEXT,__text) external _cmark_parser_is_blank
00007ffd000ee45c (__TEXT,__text) external _cmark_parser_new
00007ffd000ee2f1 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffd000ee349 (__TEXT,__text) non-external _cmark_parser_reset
00007ffd000f00eb (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffd000e2446 (__TEXT,__text) external _cmark_plugin_free
00007ffd000e2426 (__TEXT,__text) external _cmark_plugin_new
00007ffd000e23fc (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffd000e2476 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffd000ee03c (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffd000f93ca (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffd000ee103 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffd000f93eb (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffd000ee1a3 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffd000f0759 (__TEXT,__text) external _cmark_register_node_flag
00007ffd000f9552 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffd000f9577 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffd41528250 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffd000e13ed (__TEXT,__text) external _cmark_register_plugin
00007ffd000e1498 (__TEXT,__text) external _cmark_release_plugins
00007ffd000e1628 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffd000e15df (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffd000e1608 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffd000dd4e4 (__TEXT,__text) external _cmark_render_commonmark
00007ffd000dd50d (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffd000de660 (__TEXT,__text) external _cmark_render_html
00007ffd000de66d (__TEXT,__text) external _cmark_render_html_with_mem
00007ffd000f922a (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffd000e2da4 (__TEXT,__text) external _cmark_render_latex
00007ffd000e2dc6 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffd000dfd10 (__TEXT,__text) external _cmark_render_man
00007ffd000dfd32 (__TEXT,__text) external _cmark_render_man_with_mem
00007ffd000f68ac (__TEXT,__text) external _cmark_render_plaintext
00007ffd000f68d5 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffd000f5efc (__TEXT,__text) external _cmark_render_xml
00007ffd000f5f09 (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffd000f1f24 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffd41528460 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffd000f20b7 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffd41528260 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffd415285b4 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffd000edb36 (__TEXT,__text) external _cmark_strbuf_clear
00007ffd000edd68 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffd000edcad (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffd000f93a9 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffd000edd32 (__TEXT,__text) external _cmark_strbuf_detach
00007ffd000ede47 (__TEXT,__text) external _cmark_strbuf_drop
00007ffd000edb00 (__TEXT,__text) external _cmark_strbuf_free
00007ffd000eda96 (__TEXT,__text) external _cmark_strbuf_grow
00007ffd000f9362 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffd000f9383 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffd000eda6b (__TEXT,__text) external _cmark_strbuf_init
00007ffd000edaf7 (__TEXT,__text) external _cmark_strbuf_len
00007ffd000edf2c (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffd000edc33 (__TEXT,__text) external _cmark_strbuf_put
00007ffd000edbfa (__TEXT,__text) external _cmark_strbuf_putc
00007ffd000edc87 (__TEXT,__text) external _cmark_strbuf_puts
00007ffd000ede8f (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffd000edb50 (__TEXT,__text) external _cmark_strbuf_set
00007ffd000edbca (__TEXT,__text) external _cmark_strbuf_sets
00007ffd000edda9 (__TEXT,__text) external _cmark_strbuf_strchr
00007ffd000edde9 (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffd000edd00 (__TEXT,__text) external _cmark_strbuf_swap
