00007ffb08c5de91 (__TEXT,__text) non-external +[CBOR cborFalse]
00007ffb08c5b9d0 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00007ffb08c5fc79 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00007ffb08c5ebff (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00007ffb08c5f698 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00007ffb08c5fc3d (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00007ffb08c5fc51 (__TEXT,__text) non-external -[COSE contentType]
00007ffb08c5fc33 (__TEXT,__text) non-external -[COSE content]
00007ffb08c5fc47 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00007ffb08c5e264 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00007ffb08c5e0a4 (__TEXT,__text) non-external -[COSE initWithData:]
00007ffb08c5e0fe (__TEXT,__text) non-external -[COSE initWithData:type:]
00007ffb08c5e7fa (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00007ffb08c5fc65 (__TEXT,__text) non-external -[COSE initializationVector]
00007ffb08c5fc5b (__TEXT,__text) non-external -[COSE keyIdentifier]
00007ffb08c5fc6f (__TEXT,__text) non-external -[COSE partialInitializationVector]
00007ffb08c5eacd (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00007ffb08c5fc29 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00007ffb08c5fce3 (__TEXT,__text) non-external -[COSE setType:]
00007ffb08c5fd84 (__TEXT,__text) non-external -[COSE sourceObject]
00007ffb08c5ebd0 (__TEXT,__text) non-external -[COSE tag]
00007ffb08c5fc1f (__TEXT,__text) non-external -[COSE type]
00007ffb08c5eb4d (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00007ffb08c634d7 (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00007ffb08c62634 (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00007ffb08c634a5 (__TEXT,__text) non-external -[COSEKey algorithm]
00007ffb08c634c3 (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00007ffb08c63413 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00007ffb08c633ad (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00007ffb08c633cf (__TEXT,__text) non-external -[COSEKey ecCurveX]
00007ffb08c633f1 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00007ffb08c6338a (__TEXT,__text) non-external -[COSEKey getSource]
00007ffb08c634af (__TEXT,__text) non-external -[COSEKey identifier]
00007ffb08c62f38 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00007ffb08c630d2 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00007ffb08c63242 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00007ffb08c6131e (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00007ffb08c612c4 (__TEXT,__text) non-external -[COSEKey initWithData:]
00007ffb08c63479 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00007ffb08c63435 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00007ffb08c63457 (__TEXT,__text) non-external -[COSEKey okpCurveX]
00007ffb08c634b9 (__TEXT,__text) non-external -[COSEKey operations]
00007ffb08c634cd (__TEXT,__text) non-external -[COSEKey symmetricKey]
00007ffb08c6349b (__TEXT,__text) non-external -[COSEKey type]
00007ffb08c6125d (__TEXT,__text) non-external -[COSE_Mac0 .cxx_destruct]
00007ffb08c611b6 (__TEXT,__text) non-external -[COSE_Mac0 description]
00007ffb08c60f8b (__TEXT,__text) non-external -[COSE_Mac0 generateMessageForMACWithApplicationProtectedAttributes:]
00007ffb08c60bdd (__TEXT,__text) non-external -[COSE_Mac0 initWithCBOR:]
00007ffb08c60e76 (__TEXT,__text) non-external -[COSE_Mac0 initWithProtectedHeaders:unprotectedHeaders:payload:tag:]
00007ffb08c6124c (__TEXT,__text) non-external -[COSE_Mac0 mac]
00007ffb08c60af5 (__TEXT,__text) non-external -[COSE_Sign1 description]
00007ffb08c5fed6 (__TEXT,__text) non-external -[COSE_Sign1 initWithCBOR:]
00007ffb08c5fdb4 (__TEXT,__text) non-external -[COSE_Sign1 initWithProtectedHeaders:unprotectedHeaders:payload:signature:includeCBORTag:]
00007ffb08c60a39 (__TEXT,__text) non-external -[COSE_Sign1 signature]
00007ffb08c60135 (__TEXT,__text) non-external -[COSE_Sign1 x509bag]
00007ffb08c603f2 (__TEXT,__text) non-external -[COSE_Sign1 x509chain]
00007ffb08c6075b (__TEXT,__text) non-external -[COSE_Sign1 x509hashAlgorithmIdentifier]
00007ffb08c608f2 (__TEXT,__text) non-external -[COSE_Sign1 x509hashValue]
00007ffb08c606c9 (__TEXT,__text) non-external -[COSE_Sign1 x509uri]
00007ffb08c671a0 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00007ffb08c651c0 (__TEXT,__const) external _CBORLibraryVersionNumber
00007ffb08c65190 (__TEXT,__const) external _CBORLibraryVersionString
00007ffb08c651f8 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ONE
00007ffb08c651f9 (__TEXT,__const) non-external _COMPRESSED_EC2_Y_ZERO
00007ffb418389d8 (__DATA,__data) external _COSEHeaderX509Bag
00007ffb418389e0 (__DATA,__data) external _COSEHeaderX509Chain
00007ffb418389f0 (__DATA,__data) external _COSEHeaderX509Hash
00007ffb418389f8 (__DATA,__data) external _COSEHeaderX509HashSender
00007ffb41838a00 (__DATA,__data) external _COSEHeaderX509Uri
00007ffb41838a08 (__DATA,__data) external _COSEHeaderX509UriSender
00007ffb418389e8 (__DATA,__data) external _COSEHeaderx509ChainSender
00007ffb41837ec8 (__DATA,__objc_data) external _OBJC_CLASS_$_CBOR
00007ffb41837f18 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE
00007ffb41838008 (__DATA,__objc_data) external _OBJC_CLASS_$_COSEKey
00007ffb41837fb8 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Mac0
00007ffb41837f68 (__DATA,__objc_data) external _OBJC_CLASS_$_COSE_Sign1
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
00007ffb41837d00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._orderedKeys
00007ffb41837ce8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._tag
00007ffb41837ce0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._type
00007ffb41837cf0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._value
00007ffb41837cf8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CBOR._valueSize
00007ffb41837d28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._algorithmIdentifier
00007ffb41837d08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._cborObj
00007ffb41837d20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._content
00007ffb41837d38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._contentType
00007ffb41837d30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._criticalHeaderParameters
00007ffb41837d48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._initializationVector
00007ffb41837d40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._keyIdentifier
00007ffb41837d50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._partialInitializationVector
00007ffb41837d18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._protectedHeadererDictionary
00007ffb41837d10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE._type
00007ffb41837d90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._algorithm
00007ffb41837da8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._baseInitializationVector
00007ffb41837d60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._cborObj
00007ffb41837d68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._curveID
00007ffb41837d98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._identifier
00007ffb41837da0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._operations
00007ffb41837d80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramD
00007ffb41837d70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramX
00007ffb41837d78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._paramY
00007ffb41837db0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._symmetricKey
00007ffb41837d88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSEKey._type
00007ffb41837d58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_COSE_Mac0._mac
00007ffb41837ef0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CBOR
00007ffb41837f40 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE
00007ffb41838030 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSEKey
00007ffb41837fe0 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Mac0
00007ffb41837f90 (__DATA,__objc_data) external _OBJC_METACLASS_$_COSE_Sign1
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb41838458 (__DATA,__data) non-external (was a private external) _OBJC_METACLASS_$__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb438c4398 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBORDecoder
00007ffb438c4638 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibrary11CBOREncoder
00007ffb438c4750 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb41837db8 (__DATA,__objc_data) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb438c4828 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb438c4490 (__DATA_CONST,__objc_const) non-external __DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb438c4370 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBORDecoder
00007ffb438c45d0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibrary11CBOREncoder
00007ffb438c46c8 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb438c4520 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb438c47e0 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb438c4428 (__DATA_CONST,__objc_const) non-external __IVARS__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
00007ffb438c4328 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBORDecoder
00007ffb438c4588 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibrary11CBOREncoder
00007ffb438c4680 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623012_CBOREncoder
00007ffb438c44d8 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb438c4798 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623021_CBORReferenceEncoder
00007ffb438c43e0 (__DATA_CONST,__objc_const) non-external __METACLASS_DATA__TtC11CBORLibraryP33_9AD5FE8BA51478D9E31399B9411E4CF612_CBORDecoder
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb438c4870 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_CBOR
00007ffb08c63b18 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CBOR(Decoder|COSE|COSEKey)
00007ffb08c63ae0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(CBOR|COSE|COSEKey)
00007ffb08c63c10 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CBOR(Decoder|COSE|COSEKey)
00007ffb08c63da8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE
00007ffb08c63f38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSEKey
00007ffb08c63e70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Mac0
00007ffb08c63ec0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_COSE_Sign1
00007ffb08c63ac0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS__TtC11CBORLibraryP33_7693559CB90E2482CACD4C8EAD5C623015_CBORDictionary
00007ffb438c4c10 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CBOR
00007ffb438c4e90 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE
00007ffb438c52f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSEKey
00007ffb438c5228 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_COSE_Mac0
00007ffb438c4cb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CBOR
00007ffb438c4fd8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE
00007ffb438c5460 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSEKey
00007ffb438c5250 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Mac0
00007ffb438c5130 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_COSE_Sign1
00007ffb438c4aa0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb438c4b88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffb438c48b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb438c4a80 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb438c4ba8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffb438c4ae8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb438c4bb0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CBOR
00007ffb438c4e00 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CBOR
00007ffb438c50a0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE
00007ffb438c5538 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSEKey
00007ffb438c5268 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Mac0
00007ffb438c5198 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_COSE_Sign1
00007ffb438c4318 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffb438c4310 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb438c4bc8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CBOR
00007ffb438c4e48 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE
00007ffb438c52b0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSEKey
00007ffb438c51e0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Mac0
00007ffb438c50e8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_COSE_Sign1
00007ffb41838978 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffb41838918 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb438c5ab8 (__DATA_CONST,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_NSObject
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb08c5f938 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke
00007ffb08c5fae7 (__TEXT,__text) non-external ___30-[COSE _searchForHeaderLabel:]_block_invoke.101
00007ffb08c58149 (__TEXT,__text) non-external ___51+[CBOR(Encoder) encodeMajorType5:encodingKeyOrder:]_block_invoke
00007ffb08c5f913 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb08c5f929 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb438c3a20 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e23_q24?0"CBOR"8"CBOR"16l
00007ffb438c3a40 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40r48r_e26_v32?0"CBOR"8"CBOR"16*24l
                 (undefined) external ___bzero (from libSystem)
00007ffb08c47ec0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb08c47ee0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffb08c5fa70 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r
00007ffb08c5fab2 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb08c46810 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb08c50930 (__TEXT,__text) non-external ___swift_allocate_boxed_opaque_existential_1Tm
00007ffb08c467a0 (__TEXT,__text) non-external (was a private external) ___swift_deallocate_boxed_opaque_existential_1
00007ffb08c484a0 (__TEXT,__text) non-external (was a private external) ___swift_destroy_boxed_opaque_existential_1
00007ffb08c46910 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb08c56450 (__TEXT,__text) non-external ___swift_destroy_boxed_opaque_existential_1Tm
00007ffb08c3d050 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledName
00007ffb08c47e30 (__TEXT,__text) non-external (was a private external) ___swift_instantiateConcreteTypeFromMangledNameAbstract
00007ffb08c47e70 (__TEXT,__text) non-external (was a private external) ___swift_instantiateGenericMetadata
00007ffb08c56050 (__TEXT,__text) non-external (was a private external) ___swift_memcpy17_8
00007ffb08c4ec80 (__TEXT,__text) non-external (was a private external) ___swift_memcpy1_1
00007ffb08c46ae0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy24_8
00007ffb08c4f4c0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy25_8
00007ffb08c56190 (__TEXT,__text) non-external (was a private external) ___swift_memcpy2_1
00007ffb08c46ce0 (__TEXT,__text) non-external (was a private external) ___swift_memcpy32_8
00007ffb08c47d70 (__TEXT,__text) non-external (was a private external) ___swift_mutable_project_boxed_opaque_existential_1
00007ffb08c4ec90 (__TEXT,__text) non-external (was a private external) ___swift_noop_void_return
00007ffb08c566f0 (__TEXT,__text) non-external ___swift_project_boxed_opaque_existential_0Tm
00007ffb08c467e0 (__TEXT,__text) non-external (was a private external) ___swift_project_boxed_opaque_existential_1
00007ffb08c650d0 (__TEXT,__const) non-external (was a private external) ___swift_reflection_version
00007ffb08c64db8 (__TEXT,__const) non-external ___unnamed_22
00007ffb08c64228 (__TEXT,__const) non-external ___unnamed_5
00007ffb08c5ccae (__TEXT,__text) non-external __getRFC3339DateFormatter
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __swiftEmptyArrayStorage (from libswiftCore)
                 (undefined) external __swiftEmptyDictionarySingleton (from libswiftCore)
