
/System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd (for architecture x86_64):
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_CLASS_$_SSLogManager (from StoreFoundation)
                 (undefined) external _OBJC_CLASS_$_ServiceProxy (from CommerceKit)
                 (undefined) external _OBJC_METACLASS_$_ISServiceClientInterface (from StoreFoundation)
                 (undefined) external _OBJC_METACLASS_$_ISServiceDelegate (from StoreFoundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
0000000100000000 (__TEXT,__text) [referenced dynamically] external __mh_execute_header
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _kCommerceDefaultsID (from StoreFoundation)
                 (undefined) external _kDefaultsEnableEntitlementCheck (from StoreFoundation)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _proc_name (from libSystem)
                 (undefined) external _sandbox_free_error (from libSystem)
                 (undefined) external _sandbox_init (from libSystem)

/System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd (for architecture arm64e):
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRunLoopRun (from CoreFoundation)
                 (undefined) external _CKAppleTouchIDChallengeHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDPublicKeyHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDSignatureHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDSignatureVersionHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDSignatureVersionString (from CommerceKit)
                 (undefined) external _CKAppleTouchIDStateDisabledString (from CommerceKit)
                 (undefined) external _CKAppleTouchIDStateEnabledString (from CommerceKit)
                 (undefined) external _CKAppleTouchIDStateHeader (from CommerceKit)
                 (undefined) external _CKAppleTouchIDStateUnsetString (from CommerceKit)
                 (undefined) external _CKClientErrorDomain (from CommerceKit)
                 (undefined) external _CKIsAppleInternal (from StoreFoundation)
                 (undefined) external _ISError (from StoreFoundation)
                 (undefined) external _OBJC_CLASS_$_ACAccountStore (from Accounts)
                 (undefined) external _OBJC_CLASS_$_CKAccountStore (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKAuthenticationContext (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKStoreAccountSettingsContext (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKStoreClient (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKStoreRequest (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_CKTouchIDSession (from CommerceKit)
                 (undefined) external _OBJC_CLASS_$_ISServiceClientInterface (from StoreFoundation)
                 (undefined) external _OBJC_CLASS_$_ISServiceDelegate (from StoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_CLASS_$_SSLogManager (from StoreFoundation)
                 (undefined) external _OBJC_CLASS_$_ServiceProxy (from CommerceKit)
                 (undefined) external _OBJC_METACLASS_$_ISServiceClientInterface (from StoreFoundation)
                 (undefined) external _OBJC_METACLASS_$_ISServiceDelegate (from StoreFoundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
0000000100000000 (__TEXT,__text) [referenced dynamically] external __mh_execute_header
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _kCommerceDefaultsID (from StoreFoundation)
                 (undefined) external _kDefaultsEnableEntitlementCheck (from StoreFoundation)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _proc_name (from libSystem)
                 (undefined) external _sandbox_free_error (from libSystem)
                 (undefined) external _sandbox_init (from libSystem)
