00007ffb0975021c (__TEXT,__text) non-external +[MGDaemon daemon]
00007ffb09755d80 (__TEXT,__gcc_except_tab) non-external GCC_except_table24
00007ffb09755d94 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00007ffb09755ee0 (__TEXT,__gcc_except_tab) non-external GCC_except_table26
00007ffb09755da8 (__TEXT,__gcc_except_tab) non-external GCC_except_table28
00007ffb09755e2c (__TEXT,__gcc_except_tab) non-external GCC_except_table31
00007ffb09755dc0 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00007ffb09755ef4 (__TEXT,__gcc_except_tab) non-external GCC_except_table32
00007ffb09755dd8 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00007ffb09755df0 (__TEXT,__gcc_except_tab) non-external GCC_except_table36
00007ffb09755e94 (__TEXT,__gcc_except_tab) non-external GCC_except_table37
00007ffb09755e48 (__TEXT,__gcc_except_tab) non-external GCC_except_table56
00007ffb09755d48 (__TEXT,__gcc_except_tab) non-external GCC_except_table6
00007ffb09755e04 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00007ffb097562b2 (__TEXT,__cstring) non-external (was a private external) _.str.3
                 (undefined) external _HMAccessoryCategoryTypeAudioReceiver (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeHomePod (from HomeKit)
                 (undefined) external _HMAccessoryCategoryTypeSpeaker (from HomeKit)
00007ffb418f1df0 (__DATA,__bss) non-external _HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:.allowed
00007ffb418f1df8 (__DATA,__bss) non-external _HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:.categories
00007ffb418f1e00 (__DATA,__bss) non-external _HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:.onceToken
00007ffb0974eefc (__TEXT,__text) non-external (was a private external) _MGAccessoriesInMediaSystem
00007ffb0974e572 (__TEXT,__text) non-external (was a private external) _MGClassForGroupIdentifier
                 (undefined) external _MGErrorDomain (from MediaGroups)
00007ffb0974e9d2 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessory
00007ffb0974eac6 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForAccessoryIdentifierInHome
00007ffb0974f2c3 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHome
00007ffb0974f2d0 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForHomeInHome
00007ffb0974f47c (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForMediaSystemInHome
00007ffb0974f1ed (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForRoomInHome
00007ffb0974f3a6 (__TEXT,__text) non-external (was a private external) _MGGroupIdentifierForZoneInHome
00007ffb0974e522 (__TEXT,__text) non-external (was a private external) _MGHomeUniqueIdentifierForAccessory
00007ffb0974f620 (__TEXT,__text) non-external (was a private external) _MGLogForCategory
00007ffb418eeea0 (__DATA,__const) non-external _MGLogForCategory.categories
00007ffb418f1db8 (__DATA,__common) non-external (was a private external) _MGLogForCategory.onceToken
00007ffb418f1da0 (__DATA,__common) non-external (was a private external) _MGLogForCategory.oslog
00007ffb0974e513 (__TEXT,__text) non-external (was a private external) _MGSetDaemonXPCInterfacesOnConnection
00007ffb0974dfa3 (__TEXT,__text) non-external (was a private external) _MGSetServiceXPCInterfacesOnConnection
00007ffb09755d40 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionNumber
00007ffb09755d00 (__TEXT,__const) non-external (was a private external) _MediaGroupsDaemonVersionString
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _OBJC_CLASS_$_MGAudioReceiverAccessory (from MediaGroups)
00007ffb418f1a68 (__DATA,__objc_data) external _OBJC_CLASS_$_MGDaemon
                 (undefined) external _OBJC_CLASS_$_MGGroup (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGGroupIdentifier (from MediaGroups)
00007ffb418f18b0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_MGGroupsActivity
00007ffb418f1888 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsMediator
00007ffb418f1978 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGGroupsQueryAgent
00007ffb418f19a0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_MGGroupsQueryOperation
                 (undefined) external _OBJC_CLASS_$_MGHome (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGHomePodAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGMediaSystem (from MediaGroups)
00007ffb418f1a18 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGOutstandingQuery
                 (undefined) external _OBJC_CLASS_$_MGRoom (from MediaGroups)
00007ffb418f1ab8 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClient
00007ffb418f1b08 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceClientSet
00007ffb418f1928 (__DATA,__objc_data) non-external (was a private external) _OBJC_CLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_CLASS_$_MGSoloDevice (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGSpeakerAccessory (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_MGZone (from MediaGroups)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperation (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLQueryItem (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCListener (from Foundation)
                 (undefined) external _OBJC_EHTYPE_$_NSException (from CoreFoundation)
00007ffb418f1840 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._clients
00007ffb418f1838 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._dispatchQueue
00007ffb418f1848 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._groupsMediator
00007ffb418f1830 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listener
00007ffb418f1828 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._listenerProvider
00007ffb418f1850 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGDaemon._queryAgent
00007ffb418f1788 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._name
00007ffb418f1790 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsActivity._when
00007ffb418f1780 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._activities
00007ffb418f1768 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._groups
00007ffb418f1760 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._lock
00007ffb418f1770 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._pendingChanges
00007ffb418f1778 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsMediator._queryAgent
00007ffb418f17e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._containers
00007ffb418f17d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._currentIdentifier
00007ffb418f17b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._delegate
00007ffb418f17d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._groups
00007ffb418f17b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._lock
00007ffb418f17c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._operations
00007ffb418f17f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queries
00007ffb418f17c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._queue
00007ffb418f17e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryAgent._variables
00007ffb418f17f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._agent
00007ffb418f1808 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._groups
00007ffb418f1800 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._query
00007ffb418f1810 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGGroupsQueryOperation._variables
00007ffb418f1818 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._identifier
00007ffb418f1820 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGOutstandingQuery._predicate
00007ffb418f1860 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._connection
00007ffb418f1858 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._lock
00007ffb418f1868 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._queries
00007ffb418f1870 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClient._transaction
00007ffb418f1880 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._clients
00007ffb418f1878 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceClientSet._lock
00007ffb418f1798 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._dispatchQueue
00007ffb418f17a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._entitlement
00007ffb418f17a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_MGServiceListenerProvider._serviceName
00007ffb418f1a90 (__DATA,__objc_data) external _OBJC_METACLASS_$_MGDaemon
00007ffb418f1900 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsActivity
00007ffb418f18d8 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsMediator
00007ffb418f19c8 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryAgent
00007ffb418f19f0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGGroupsQueryOperation
00007ffb418f1a40 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGOutstandingQuery
00007ffb418f1ae0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClient
00007ffb418f1b30 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGServiceClientSet
00007ffb418f1950 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_MGServiceListenerProvider
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_METACLASS_$_NSOperation (from Foundation)
00007ffb0974c1b0 (__TEXT,__text) non-external __AddContainmentForGroup
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
00007ffb0974ebff (__TEXT,__text) non-external __MGGroupIdentifierHomeKitComponents
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSIsNSString (from CoreFoundation)
00007ffb09755a38 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MGDaemon
00007ffb09755a50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGDaemon
00007ffb097556b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsActivity
00007ffb097556f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsMediator
00007ffb09755868 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryAgent
00007ffb097559a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGGroupsQueryOperation
00007ffb09755a00 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGOutstandingQuery
00007ffb09755bd8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClient
00007ffb09755c98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceClientSet
00007ffb09755808 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_MGServiceListenerProvider
00007ffb418f0ab8 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGDaemon
00007ffb418efa40 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsActivity
00007ffb418ef8d0 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsMediator
00007ffb418f0060 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryAgent
00007ffb418f02a0 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGGroupsQueryOperation
00007ffb418f0530 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGOutstandingQuery
00007ffb418f0cb8 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClient
00007ffb418f0e08 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceClientSet
00007ffb418efef0 (__DATA,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_MGServiceListenerProvider
00007ffb418f0b80 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGDaemon
00007ffb418efa88 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsActivity
00007ffb418ef978 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsMediator
00007ffb418f0188 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryAgent
00007ffb418f0328 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGGroupsQueryOperation
00007ffb418f0578 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGOutstandingQuery
00007ffb418f0d40 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClient
00007ffb418f0e50 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceClientSet
00007ffb418eff58 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_MGServiceListenerProvider
00007ffb418efce8 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
