                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormatAndArguments (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCopyScheme (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
000000018fccb4a4 (__TEXT,__text) external _CMCloneProfileRef
000000018fcc996c (__TEXT,__text) external _CMGetNamedColorInfo
00000001d8fdda38 (__DATA,__bss) non-external _CMGetNamedColorInfo.func
00000001d8fdda40 (__DATA,__bss) non-external _CMGetNamedColorInfo.predicate
000000018fcc982c (__TEXT,__text) external _CMGetNamedColorName
00000001d8fdda28 (__DATA,__bss) non-external _CMGetNamedColorName.func
00000001d8fdda30 (__DATA,__bss) non-external _CMGetNamedColorName.predicate
000000018fcc96dc (__TEXT,__text) external _CMGetNamedColorValue
00000001d8fdda18 (__DATA,__bss) non-external _CMGetNamedColorValue.func
00000001d8fdda20 (__DATA,__bss) non-external _CMGetNamedColorValue.predicate
000000018fcc9508 (__TEXT,__text) external _CMGetPS2ColorRendering
00000001d8fdda08 (__DATA,__bss) non-external _CMGetPS2ColorRendering.func
00000001d8fdda10 (__DATA,__bss) non-external _CMGetPS2ColorRendering.predicate
000000018fcc93b0 (__TEXT,__text) external _CMGetPS2ColorRenderingIntent
00000001d8fdd9f8 (__DATA,__bss) non-external _CMGetPS2ColorRenderingIntent.func
00000001d8fdda00 (__DATA,__bss) non-external _CMGetPS2ColorRenderingIntent.predicate
000000018fcc91f4 (__TEXT,__text) external _CMGetPS2ColorRenderingVMSize
00000001d8fdd9e8 (__DATA,__bss) non-external _CMGetPS2ColorRenderingVMSize.func
00000001d8fdd9f0 (__DATA,__bss) non-external _CMGetPS2ColorRenderingVMSize.predicate
000000018fcc909c (__TEXT,__text) external _CMGetPS2ColorSpace
00000001d8fdd9d8 (__DATA,__bss) non-external _CMGetPS2ColorSpace.func
00000001d8fdd9e0 (__DATA,__bss) non-external _CMGetPS2ColorSpace.predicate
000000018fcc8f44 (__TEXT,__text) external _CMGetPartialProfileElement
00000001d8fdd9c8 (__DATA,__bss) non-external _CMGetPartialProfileElement.func
00000001d8fdd9d0 (__DATA,__bss) non-external _CMGetPartialProfileElement.predicate
000000018fcc8e74 (__TEXT,__text) external _CMGetProfileByAVID
00000001d8fdd9b8 (__DATA,__bss) non-external _CMGetProfileByAVID.func
00000001d8fdd9c0 (__DATA,__bss) non-external _CMGetProfileByAVID.predicate
000000018fcc8d04 (__TEXT,__text) external _CMGetProfileDescriptions
00000001d8fdd9a8 (__DATA,__bss) non-external _CMGetProfileDescriptions.func
00000001d8fdd9b0 (__DATA,__bss) non-external _CMGetProfileDescriptions.predicate
000000018fcc8bb4 (__TEXT,__text) external _CMGetProfileElement
00000001d8fdd998 (__DATA,__bss) non-external _CMGetProfileElement.func
00000001d8fdd9a0 (__DATA,__bss) non-external _CMGetProfileElement.predicate
000000018fcc8a24 (__TEXT,__text) external _CMGetProfileGamma
00000001d8fdd988 (__DATA,__bss) non-external _CMGetProfileGamma.func
00000001d8fdd990 (__DATA,__bss) non-external _CMGetProfileGamma.predicate
000000018fcc88ec (__TEXT,__text) external _CMGetProfileHeader
00000001d8fdd978 (__DATA,__bss) non-external _CMGetProfileHeader.func
00000001d8fdd980 (__DATA,__bss) non-external _CMGetProfileHeader.predicate
000000018fcc881c (__TEXT,__text) external _CMGetProfileLocation
00000001d8fdd968 (__DATA,__bss) non-external _CMGetProfileLocation.func
00000001d8fdd970 (__DATA,__bss) non-external _CMGetProfileLocation.predicate
000000018fcc86e4 (__TEXT,__text) external _CMGetProfileMD5
00000001d8fdd958 (__DATA,__bss) non-external _CMGetProfileMD5.func
00000001d8fdd960 (__DATA,__bss) non-external _CMGetProfileMD5.predicate
000000018fcc85ac (__TEXT,__text) external _CMGetProfileRefCount
00000001d8fdd948 (__DATA,__bss) non-external _CMGetProfileRefCount.func
00000001d8fdd950 (__DATA,__bss) non-external _CMGetProfileRefCount.predicate
000000018fcc8444 (__TEXT,__text) external _CMGetProfileTransformInfo
00000001d8fdd938 (__DATA,__bss) non-external _CMGetProfileTransformInfo.func
00000001d8fdd940 (__DATA,__bss) non-external _CMGetProfileTransformInfo.predicate
000000018fcc837c (__TEXT,__text) external _CMGetSystemProfile
00000001d8fdd928 (__DATA,__bss) non-external _CMGetSystemProfile.func
00000001d8fdd930 (__DATA,__bss) non-external _CMGetSystemProfile.predicate
000000018fcc82b4 (__TEXT,__text) external _CMGetSystemProfileAVID
00000001d8fdd918 (__DATA,__bss) non-external _CMGetSystemProfileAVID.func
00000001d8fdd920 (__DATA,__bss) non-external _CMGetSystemProfileAVID.predicate
000000018fcc81e4 (__TEXT,__text) external _CMGetSystemProfilePriv
00000001d8fdd908 (__DATA,__bss) non-external _CMGetSystemProfilePriv.func
00000001d8fdd910 (__DATA,__bss) non-external _CMGetSystemProfilePriv.predicate
000000018fcc8100 (__TEXT,__text) external _CMIterateCMMInfo
00000001d8fdd8f8 (__DATA,__bss) non-external _CMIterateCMMInfo.func
00000001d8fdd900 (__DATA,__bss) non-external _CMIterateCMMInfo.predicate
000000018fcc8014 (__TEXT,__text) external _CMIterateColorDevices
00000001d8fdd8e8 (__DATA,__bss) non-external _CMIterateColorDevices.func
00000001d8fdd8f0 (__DATA,__bss) non-external _CMIterateColorDevices.predicate
000000018fcc7f28 (__TEXT,__text) external _CMIterateColorSyncFolder
00000001d8fdd8d8 (__DATA,__bss) non-external _CMIterateColorSyncFolder.func
00000001d8fdd8e0 (__DATA,__bss) non-external _CMIterateColorSyncFolder.predicate
000000018fcc7e28 (__TEXT,__text) external _CMIterateDeviceProfiles
00000001d8fdd8c8 (__DATA,__bss) non-external _CMIterateDeviceProfiles.func
00000001d8fdd8d0 (__DATA,__bss) non-external _CMIterateDeviceProfiles.predicate
000000018fcc7e20 (__TEXT,__text) external _CMLaunchControlPanel
000000018fcc7d50 (__TEXT,__text) external _CMMakeProfile
00000001d8fdd8b8 (__DATA,__bss) non-external _CMMakeProfile.func
00000001d8fdd8c0 (__DATA,__bss) non-external _CMMakeProfile.predicate
000000018fcc7c6c (__TEXT,__text) external _CMMatchFloatBitmap
00000001d8fdd8a8 (__DATA,__bss) non-external _CMMatchFloatBitmap.func
00000001d8fdd8b0 (__DATA,__bss) non-external _CMMatchFloatBitmap.predicate
000000018fcc7b9c (__TEXT,__text) external _CMNewProfile
00000001d8fdd898 (__DATA,__bss) non-external _CMNewProfile.func
00000001d8fdd8a0 (__DATA,__bss) non-external _CMNewProfile.predicate
000000018fcc7acc (__TEXT,__text) external _CMOpenProfile
00000001d8fdd888 (__DATA,__bss) non-external _CMOpenProfile.func
00000001d8fdd890 (__DATA,__bss) non-external _CMOpenProfile.predicate
000000018fccbb14 (__TEXT,__text) external _CMPostLegacyDeviceNotification
00000001d8fddc30 (__DATA,__bss) non-external _CMPostLegacyDeviceNotification.func
000000018fcc7994 (__TEXT,__text) external _CMProfileCopyICCData
00000001d8fdd878 (__DATA,__bss) non-external _CMProfileCopyICCData.func
00000001d8fdd880 (__DATA,__bss) non-external _CMProfileCopyICCData.predicate
000000018fcc7854 (__TEXT,__text) external _CMProfileElementExists
00000001d8fdd868 (__DATA,__bss) non-external _CMProfileElementExists.func
00000001d8fdd870 (__DATA,__bss) non-external _CMProfileElementExists.predicate
000000018fcc7784 (__TEXT,__text) external _CMProfileModified
00000001d8fdd858 (__DATA,__bss) non-external _CMProfileModified.func
00000001d8fdd860 (__DATA,__bss) non-external _CMProfileModified.predicate
000000018fccba9c (__TEXT,__text) external _CMProfileWriteToFile
00000001d8fddc28 (__DATA,__bss) non-external _CMProfileWriteToFile.func
000000018fcc7698 (__TEXT,__text) external _CMRegisterColorDevice
00000001d8fdd848 (__DATA,__bss) non-external _CMRegisterColorDevice.func
00000001d8fdd850 (__DATA,__bss) non-external _CMRegisterColorDevice.predicate
000000018fcc75c8 (__TEXT,__text) external _CMRemoveProfileElement
00000001d8fdd838 (__DATA,__bss) non-external _CMRemoveProfileElement.func
00000001d8fdd840 (__DATA,__bss) non-external _CMRemoveProfileElement.predicate
000000018fcc74f8 (__TEXT,__text) external _CMSetDefaultDevice
00000001d8fdd828 (__DATA,__bss) non-external _CMSetDefaultDevice.func
00000001d8fdd830 (__DATA,__bss) non-external _CMSetDefaultDevice.predicate
000000018fcc7414 (__TEXT,__text) external _CMSetDeviceDefaultProfileID
00000001d8fdd818 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.func
00000001d8fdd820 (__DATA,__bss) non-external _CMSetDeviceDefaultProfileID.predicate
000000018fcc7328 (__TEXT,__text) external _CMSetDeviceFactoryProfiles
00000001d8fdd808 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.func
00000001d8fdd810 (__DATA,__bss) non-external _CMSetDeviceFactoryProfiles.predicate
000000018fcc7228 (__TEXT,__text) external _CMSetDeviceProfile
00000001d8fdd7f8 (__DATA,__bss) non-external _CMSetDeviceProfile.func
00000001d8fdd800 (__DATA,__bss) non-external _CMSetDeviceProfile.predicate
000000018fcc7144 (__TEXT,__text) external _CMSetDeviceState
00000001d8fdd7e8 (__DATA,__bss) non-external _CMSetDeviceState.func
00000001d8fdd7f0 (__DATA,__bss) non-external _CMSetDeviceState.predicate
000000018fcc7060 (__TEXT,__text) external _CMSetDeviceTrackingByUse
00000001d8fdd7d8 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.func
00000001d8fdd7e0 (__DATA,__bss) non-external _CMSetDeviceTrackingByUse.predicate
000000018fcc6f90 (__TEXT,__text) external _CMSetGammaByAVID
00000001d8fdd7c8 (__DATA,__bss) non-external _CMSetGammaByAVID.func
00000001d8fdd7d0 (__DATA,__bss) non-external _CMSetGammaByAVID.predicate
000000018fcc6e90 (__TEXT,__text) external _CMSetPartialProfileElement
00000001d8fdd7b8 (__DATA,__bss) non-external _CMSetPartialProfileElement.func
00000001d8fdd7c0 (__DATA,__bss) non-external _CMSetPartialProfileElement.predicate
000000018fcc6dc0 (__TEXT,__text) external _CMSetProfileByAVID
00000001d8fdd7a8 (__DATA,__bss) non-external _CMSetProfileByAVID.func
00000001d8fdd7b0 (__DATA,__bss) non-external _CMSetProfileByAVID.predicate
000000018fcc6ca4 (__TEXT,__text) external _CMSetProfileDescriptions
00000001d8fdd798 (__DATA,__bss) non-external _CMSetProfileDescriptions.func
00000001d8fdd7a0 (__DATA,__bss) non-external _CMSetProfileDescriptions.predicate
000000018fcc6bb8 (__TEXT,__text) external _CMSetProfileElement
00000001d8fdd788 (__DATA,__bss) non-external _CMSetProfileElement.func
00000001d8fdd790 (__DATA,__bss) non-external _CMSetProfileElement.predicate
000000018fcc6ad4 (__TEXT,__text) external _CMSetProfileElementReference
00000001d8fdd778 (__DATA,__bss) non-external _CMSetProfileElementReference.func
00000001d8fdd780 (__DATA,__bss) non-external _CMSetProfileElementReference.predicate
000000018fcc69f0 (__TEXT,__text) external _CMSetProfileElementSize
00000001d8fdd768 (__DATA,__bss) non-external _CMSetProfileElementSize.func
00000001d8fdd770 (__DATA,__bss) non-external _CMSetProfileElementSize.predicate
000000018fcc6920 (__TEXT,__text) external _CMSetProfileHeader
00000001d8fdd758 (__DATA,__bss) non-external _CMSetProfileHeader.func
00000001d8fdd760 (__DATA,__bss) non-external _CMSetProfileHeader.predicate
000000018fcc683c (__TEXT,__text) external _CMSetProfileLocalizedStringDictionary
00000001d8fdd748 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.func
00000001d8fdd750 (__DATA,__bss) non-external _CMSetProfileLocalizedStringDictionary.predicate
000000018fcc6774 (__TEXT,__text) external _CMSetSystemProfile
00000001d8fdd738 (__DATA,__bss) non-external _CMSetSystemProfile.func
00000001d8fdd740 (__DATA,__bss) non-external _CMSetSystemProfile.predicate
000000018fccb9d4 (__TEXT,__text) external _CMSetSystemProfileAVID
00000001d8fddc18 (__DATA,__bss) non-external _CMSetSystemProfileAVID.func
00000001d8fddc20 (__DATA,__bss) non-external _CMSetSystemProfileAVID.predicate
000000018fcc66a4 (__TEXT,__text) external _CMUnregisterColorDevice
00000001d8fdd728 (__DATA,__bss) non-external _CMUnregisterColorDevice.func
00000001d8fdd730 (__DATA,__bss) non-external _CMUnregisterColorDevice.predicate
000000018fcc65b8 (__TEXT,__text) external _CMUpdateProfile
00000001d8fdd718 (__DATA,__bss) non-external _CMUpdateProfile.func
00000001d8fdd720 (__DATA,__bss) non-external _CMUpdateProfile.predicate
000000018fcc6478 (__TEXT,__text) external _CMValidateProfile
00000001d8fdd708 (__DATA,__bss) non-external _CMValidateProfile.func
00000001d8fdd710 (__DATA,__bss) non-external _CMValidateProfile.predicate
000000018fcc6378 (__TEXT,__text) external _CWCheckBitmap
00000001d8fdd6f8 (__DATA,__bss) non-external _CWCheckBitmap.func
00000001d8fdd700 (__DATA,__bss) non-external _CWCheckBitmap.predicate
000000018fcc628c (__TEXT,__text) external _CWCheckColors
00000001d8fdd6e8 (__DATA,__bss) non-external _CWCheckColors.func
00000001d8fdd6f0 (__DATA,__bss) non-external _CWCheckColors.predicate
000000018fcc5350 (__TEXT,__text) external _CWColorWorldGetProperty
00000001d8fdd618 (__DATA,__bss) non-external _CWColorWorldGetProperty.func
00000001d8fdd620 (__DATA,__bss) non-external _CWColorWorldGetProperty.predicate
000000018fcc5270 (__TEXT,__text) external _CWColorWorldSetProperty
00000001d8fdd608 (__DATA,__bss) non-external _CWColorWorldSetProperty.func
00000001d8fdd610 (__DATA,__bss) non-external _CWColorWorldSetProperty.predicate
000000018fcc60dc (__TEXT,__text) external _CWConcatColorWorld
00000001d8fdd6d8 (__DATA,__bss) non-external _CWConcatColorWorld.func
00000001d8fdd6e0 (__DATA,__bss) non-external _CWConcatColorWorld.predicate
000000018fcc6018 (__TEXT,__text) external _CWDisposeColorWorld
00000001d8fdd6c8 (__DATA,__bss) non-external _CWDisposeColorWorld.func
00000001d8fdd6d0 (__DATA,__bss) non-external _CWDisposeColorWorld.predicate
000000018fcc5f18 (__TEXT,__text) external _CWFillLookupTexture
00000001d8fdd6b8 (__DATA,__bss) non-external _CWFillLookupTexture.func
00000001d8fdd6c0 (__DATA,__bss) non-external _CWFillLookupTexture.predicate
000000018fcc5e50 (__TEXT,__text) external _CWGetCMMSignature
00000001d8fdd6a8 (__DATA,__bss) non-external _CWGetCMMSignature.func
00000001d8fdd6b0 (__DATA,__bss) non-external _CWGetCMMSignature.predicate
000000018fcc5d50 (__TEXT,__text) external _CWMatchBitmap
00000001d8fdd698 (__DATA,__bss) non-external _CWMatchBitmap.func
00000001d8fdd6a0 (__DATA,__bss) non-external _CWMatchBitmap.predicate
000000018fcc5c6c (__TEXT,__text) external _CWMatchColors
00000001d8fdd688 (__DATA,__bss) non-external _CWMatchColors.func
00000001d8fdd690 (__DATA,__bss) non-external _CWMatchColors.predicate
000000018fcc5ab4 (__TEXT,__text) external _CWNewLinkProfile
00000001d8fdd678 (__DATA,__bss) non-external _CWNewLinkProfile.func
00000001d8fdd680 (__DATA,__bss) non-external _CWNewLinkProfile.predicate
000000018fccc320 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionNumber
000000018fccc2e8 (__TEXT,__const) non-external (was a private external) _ColorSyncLegacyVersionString
000000018fcc4d20 (__TEXT,__text) external _ColorSyncLoadLegacyFunction
00000001d8fdd5e0 (__DATA,__bss) non-external _ColorSyncLoadLegacyFunction.handle
00000001d8fdd598 (__DATA,__data) non-external _ColorSyncLoadLegacyFunction.mtx
000000018fccbbf8 (__TEXT,__text) non-external (was a private external) _ColorSyncLog
000000018fccbfc0 (__TEXT,__text) non-external _ColorSyncLog.cold.1
00000001d8fde050 (__DATA,__bss) non-external _ColorSyncLog.log
00000001d8fde058 (__DATA,__bss) non-external _ColorSyncLog.predicate
                 (undefined) external _ColorSyncProfileGetTypeID (from ColorSync)
000000018fcc5518 (__TEXT,__text) external _CreateCMProfileFromColorSyncProfile
00000001d8fddc40 (__DATA,__bss) non-external _CreateCMProfileFromColorSyncProfile.func
000000018fccbb94 (__TEXT,__text) external _CreateColorSyncProfileFromCMProfile
00000001d8fddc38 (__DATA,__bss) non-external _CreateColorSyncProfileFromCMProfile.func
000000018fcc58d0 (__TEXT,__text) external _DisposeCMBitmapCallBackUPP
000000018fcc5ab0 (__TEXT,__text) external _DisposeCMConcatCallBackUPP
000000018fcc5aac (__TEXT,__text) external _DisposeCMFlattenUPP
000000018fcc5aa8 (__TEXT,__text) external _DisposeCMMIterateUPP
000000018fcc5aa4 (__TEXT,__text) external _DisposeCMProfileAccessUPP
000000018fcc5aa0 (__TEXT,__text) external _DisposeCMProfileIterateUPP
000000018fcc5a9c (__TEXT,__text) external _InvokeCMBitmapCallBackUPP
000000018fcc5a98 (__TEXT,__text) external _InvokeCMConcatCallBackUPP
000000018fcc5a94 (__TEXT,__text) external _InvokeCMFlattenUPP
000000018fcc5a90 (__TEXT,__text) external _InvokeCMMIterateUPP
000000018fcc5a8c (__TEXT,__text) external _InvokeCMProfileAccessUPP
000000018fcc5a88 (__TEXT,__text) external _InvokeCMProfileIterateUPP
000000018fccb730 (__TEXT,__text) external _NCMGetProfileLocation
00000001d8fddbf8 (__DATA,__bss) non-external _NCMGetProfileLocation.func
00000001d8fddc00 (__DATA,__bss) non-external _NCMGetProfileLocation.predicate
000000018fccb814 (__TEXT,__text) external _NCWConcatColorWorld
00000001d8fddc08 (__DATA,__bss) non-external _NCWConcatColorWorld.func
00000001d8fddc10 (__DATA,__bss) non-external _NCWConcatColorWorld.predicate
000000018fcc58d4 (__TEXT,__text) external _NCWNewColorWorld
00000001d8fdd668 (__DATA,__bss) non-external _NCWNewColorWorld.func
00000001d8fdd670 (__DATA,__bss) non-external _NCWNewColorWorld.predicate
000000018fccb56c (__TEXT,__text) external _NCWNewLinkProfile
00000001d8fddbe8 (__DATA,__bss) non-external _NCWNewLinkProfile.func
00000001d8fddbf0 (__DATA,__bss) non-external _NCWNewLinkProfile.predicate
000000018fcc58cc (__TEXT,__text) external _NewCMBitmapCallBackUPP
000000018fcc58c8 (__TEXT,__text) external _NewCMConcatCallBackUPP
000000018fcc58c4 (__TEXT,__text) external _NewCMFlattenUPP
000000018fcc58c0 (__TEXT,__text) external _NewCMMIterateUPP
000000018fcc58bc (__TEXT,__text) external _NewCMProfileAccessUPP
000000018fcc58b8 (__TEXT,__text) external _NewCMProfileIterateUPP
                 (undefined) external __CFBundleCopyInfoDictionaryInResourceFork (from CoreFoundation)
                 (undefined) external __CFBundleGetMainBundleIfLooksLikeBundle (from CoreFoundation)
                 (undefined) external __CFProcessPath (from CoreFoundation)
000000018fcc57cc (__TEXT,__text) external __CMGetProfileOfSuite
00000001d8fdd658 (__DATA,__bss) non-external __CMGetProfileOfSuite.func
00000001d8fdd660 (__DATA,__bss) non-external __CMGetProfileOfSuite.predicate
000000018fcc5704 (__TEXT,__text) external __CMLoadProfileLutsByAVID
00000001d8fdd648 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.func
00000001d8fdd650 (__DATA,__bss) non-external __CMLoadProfileLutsByAVID.predicate
000000018fcc55cc (__TEXT,__text) external __CMProfileGetProperty
00000001d8fdd638 (__DATA,__bss) non-external __CMProfileGetProperty.func
00000001d8fdd640 (__DATA,__bss) non-external __CMProfileGetProperty.predicate
000000018fcc5420 (__TEXT,__text) external __CMProfileSetProperty
00000001d8fdd628 (__DATA,__bss) non-external __CMProfileSetProperty.func
00000001d8fdd630 (__DATA,__bss) non-external __CMProfileSetProperty.predicate
000000018fcc51a0 (__TEXT,__text) external __CWColorWorldGetProperty
00000001d8fdd5f8 (__DATA,__bss) non-external __CWColorWorldGetProperty.func
00000001d8fdd600 (__DATA,__bss) non-external __CWColorWorldGetProperty.predicate
000000018fcc50c0 (__TEXT,__text) external __CWColorWorldSetProperty
00000001d8fdd5e8 (__DATA,__bss) non-external __CWColorWorldSetProperty.func
00000001d8fdd5f0 (__DATA,__bss) non-external __CWColorWorldSetProperty.predicate
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000018fccb51c (__TEXT,__text) non-external ___CMCloneProfileRef_block_invoke
000000018fccb454 (__TEXT,__text) non-external ___CMCloseProfile_block_invoke
000000018fccb38c (__TEXT,__text) non-external ___CMConvertDoubleXYZToD50_block_invoke
000000018fccb28c (__TEXT,__text) non-external ___CMConvertRGBFloatBitmap_block_invoke
