00007ffc411fe428 (__DATA,__bss) non-external _A
00007ffc0dfc461b (__TEXT,__text) non-external _S_render_node
00007ffc0dfc6e98 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc0dfc6f2c (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc0dfc6fdb (__TEXT,__text) non-external _S_render_node.cold.1
00007ffc0dfc78e4 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffc0dfbe490 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffc0dfbe4b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc0dfaff1d (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffc0dfb1d20 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffc0dfb9f81 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffc0dfc9230 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffc0dfb30e5 (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffc0dfc8330 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffc0dfb26bf (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffc0dfc8230 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffc0dfba507 (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffc0dfc9530 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffc0dfbaf92 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffc0dfba627 (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffc0dfbb29d (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffc0dfc9630 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffc0dfb8008 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffc0dfc8b30 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffc0dfb8af3 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffc0dfc8c30 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffc0dfb8eda (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffc0dfc8d30 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffc0dfb9264 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffc0dfc8e30 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffc0dfb9520 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffc0dfc8f30 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffc0dfb6588 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffc0dfb7a28 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffc0dfc8a30 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffc0dfb6352 (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffc0dfc8930 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffc0dfb5ebc (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffc0dfc8630 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffc0dfb625b (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffc0dfc8830 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffc0dfb6011 (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffc0dfc8730 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffc0dfb562f (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffc0dfc8430 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffc0dfb5bff (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffc0dfc8530 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffc0dfb9907 (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffc0dfc9030 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffc0dfba1e5 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffc0dfc9430 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffc0dfb1d68 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffc0dfba098 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffc0dfc9330 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffc0dfb9f59 (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffc0dfc9130 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffc0dfb0144 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffc0dfc7ef0 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffc0dfb03ab (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffc0dfb03cf (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffc0dfc7ff0 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffc0dfaff5c (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffc0dfc7df0 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffc0dfb0456 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffc0dfc80f0 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffc0dfbdcf5 (__TEXT,__text) non-external _add_child
00007ffc0dfc719c (__TEXT,__text) non-external _add_child.cold.1
00007ffc0dfbe3f2 (__TEXT,__text) non-external _add_line
00007ffc0dfc7205 (__TEXT,__text) non-external _add_line.cold.1
00007ffc0dfc381e (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffc0dfc6aab (__TEXT,__text) non-external _alloc_arena_chunk
00007ffc0dfc6be6 (__TEXT,__text) non-external _arena_calloc
00007ffc0dfc6cf5 (__TEXT,__text) non-external _arena_free
00007ffc411fe3e8 (__DATA,__bss) non-external _arena_lock
00007ffc411fe1e0 (__DATA,__data) non-external _arena_once
00007ffc0dfc6cad (__TEXT,__text) non-external _arena_realloc
00007ffc0dfaf5ba (__TEXT,__text) non-external _autolink_delim
00007ffc411fe020 (__DATA,__const) non-external _blacklist
                 (undefined) external _bsearch (from libSystem)
                 (undefined) external _calloc (from libSystem)
00007ffc0dfaded1 (__TEXT,__text) non-external _can_contain
00007ffc0dfb08cd (__TEXT,__text) non-external _can_contain
00007ffc0dfc565a (__TEXT,__text) non-external _can_contain
00007ffc0dfaf4b1 (__TEXT,__text) non-external _check_domain
00007ffc0dfc3b47 (__TEXT,__text) non-external _chunk_clone
00007ffc0dfc6b02 (__TEXT,__text) external _cmark_arena_pop
00007ffc0dfc6a5a (__TEXT,__text) external _cmark_arena_push
00007ffc0dfc6b80 (__TEXT,__text) external _cmark_arena_reset
00007ffc0dfc4b3c (__TEXT,__text) non-external _cmark_chunk_to_cstr
00007ffc0dfbfe69 (__TEXT,__text) non-external (was a private external) _cmark_clean_attributes
00007ffc0dfbfddc (__TEXT,__text) non-external (was a private external) _cmark_clean_title
00007ffc0dfbfd09 (__TEXT,__text) non-external (was a private external) _cmark_clean_url
00007ffc0dfc727d (__TEXT,__text) non-external _cmark_clean_url.cold.1
00007ffc0dfc729e (__TEXT,__text) non-external _cmark_clean_url.cold.2
00007ffc0dfb0d2c (__TEXT,__text) external _cmark_consolidate_text_nodes
00007ffc0dfc7cf0 (__TEXT,__const) non-external _cmark_ctype_class
00007ffc0dfbe4dc (__TEXT,__text) external _cmark_enable_safety_checks
00007ffc411f5b50 (__DATA,__const) non-external _cmark_entities
00007ffc0dfaf8ce (__TEXT,__text) external _cmark_find_syntax_extension
00007ffc0dfbb39e (__TEXT,__text) non-external (was a private external) _cmark_footnote_create
00007ffc0dfc6ffe (__TEXT,__text) non-external _cmark_footnote_create.cold.1
00007ffc0dfbb40f (__TEXT,__text) non-external (was a private external) _cmark_footnote_map_new
00007ffc0dfc6cfb (__TEXT,__text) external _cmark_get_arena_mem_allocator
00007ffc0dfac99a (__TEXT,__text) external _cmark_get_default_mem_allocator
00007ffc0dfbb485 (__TEXT,__text) external _cmark_gfm_core_extensions_ensure_registered
00007ffc0dfc636e (__TEXT,__text) external _cmark_gfm_extensions_get_table_alignments
00007ffc0dfc645d (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_colspan
00007ffc0dfc648e (__TEXT,__text) external _cmark_gfm_extensions_get_table_cell_rowspan
00007ffc0dfc634b (__TEXT,__text) external _cmark_gfm_extensions_get_table_columns
00007ffc0dfc6410 (__TEXT,__text) external _cmark_gfm_extensions_get_table_row_is_header
00007ffc0dfadce3 (__TEXT,__text) external _cmark_gfm_extensions_get_tasklist_item_checked
00007ffc0dfc63b7 (__TEXT,__text) external _cmark_gfm_extensions_set_table_alignments
00007ffc0dfc64c0 (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_colspan
00007ffc0dfc64ec (__TEXT,__text) external _cmark_gfm_extensions_set_table_cell_rowspan
00007ffc0dfc638f (__TEXT,__text) external _cmark_gfm_extensions_set_table_columns
00007ffc0dfc6433 (__TEXT,__text) external _cmark_gfm_extensions_set_table_row_is_header
00007ffc0dfadc91 (__TEXT,__text) external _cmark_gfm_extensions_set_tasklist_item_checked
00007ffc0dfbe584 (__TEXT,__text) external _cmark_init_standard_node_flags
00007ffc0dfc36df (__TEXT,__text) external _cmark_inline_parser_advance_offset
00007ffc0dfc370d (__TEXT,__text) external _cmark_inline_parser_get_chunk
00007ffc0dfc36fa (__TEXT,__text) external _cmark_inline_parser_get_column
00007ffc0dfc3791 (__TEXT,__text) external _cmark_inline_parser_get_last_delimiter
00007ffc0dfc379b (__TEXT,__text) external _cmark_inline_parser_get_line
00007ffc0dfc36e8 (__TEXT,__text) external _cmark_inline_parser_get_offset
00007ffc0dfc3717 (__TEXT,__text) external _cmark_inline_parser_in_bracket
00007ffc0dfc341e (__TEXT,__text) external _cmark_inline_parser_is_eof
00007ffc0dfc340d (__TEXT,__text) external _cmark_inline_parser_peek_at
00007ffc0dfc33e5 (__TEXT,__text) external _cmark_inline_parser_peek_char
00007ffc0dfc7858 (__TEXT,__text) non-external _cmark_inline_parser_peek_char.cold.1
00007ffc0dfc34ce (__TEXT,__text) external _cmark_inline_parser_push_delimiter
00007ffc0dfc3551 (__TEXT,__text) external _cmark_inline_parser_remove_delimiter
00007ffc0dfc355b (__TEXT,__text) external _cmark_inline_parser_scan_delimiters
00007ffc0dfc789e (__TEXT,__text) non-external _cmark_inline_parser_scan_delimiters.cold.1
00007ffc0dfc36f1 (__TEXT,__text) external _cmark_inline_parser_set_offset
00007ffc0dfc342f (__TEXT,__text) external _cmark_inline_parser_take_while
00007ffc0dfc787b (__TEXT,__text) non-external _cmark_inline_parser_take_while.cold.1
00007ffc0dfbfe9c (__TEXT,__text) non-external (was a private external) _cmark_inlines_add_special_character
00007ffc0dfbfebe (__TEXT,__text) non-external (was a private external) _cmark_inlines_remove_special_character
00007ffc0dfadc3e (__TEXT,__text) external _cmark_isalnum
00007ffc0dfadc77 (__TEXT,__text) external _cmark_isalpha
00007ffc0dfadc5d (__TEXT,__text) external _cmark_isdigit
00007ffc0dfadc24 (__TEXT,__text) external _cmark_ispunct
00007ffc0dfadc0a (__TEXT,__text) external _cmark_isspace
00007ffc0dfb0c4c (__TEXT,__text) external _cmark_iter_free
00007ffc0dfb0d19 (__TEXT,__text) external _cmark_iter_get_event_type
00007ffc0dfb0d0f (__TEXT,__text) external _cmark_iter_get_node
00007ffc0dfb0d22 (__TEXT,__text) external _cmark_iter_get_root
00007ffc0dfb0c04 (__TEXT,__text) external _cmark_iter_new
00007ffc0dfb0c57 (__TEXT,__text) external _cmark_iter_next
00007ffc0dfc6fb8 (__TEXT,__text) non-external _cmark_iter_next.cold.1
00007ffc0dfb0cfe (__TEXT,__text) external _cmark_iter_reset
00007ffc0dfaf862 (__TEXT,__text) external _cmark_list_syntax_extensions
00007ffc0dfb1c6f (__TEXT,__text) external _cmark_llist_append
00007ffc0dfb1cfb (__TEXT,__text) external _cmark_llist_free
00007ffc0dfb1cb9 (__TEXT,__text) external _cmark_llist_free_full
00007ffc0dfbc249 (__TEXT,__text) external _cmark_manage_extensions_special_characters
00007ffc0dfbb6f5 (__TEXT,__text) non-external (was a private external) _cmark_map_free
00007ffc0dfbb58d (__TEXT,__text) non-external (was a private external) _cmark_map_lookup
00007ffc0dfbb73a (__TEXT,__text) non-external (was a private external) _cmark_map_new
00007ffc0dfac9a7 (__TEXT,__text) external _cmark_markdown_to_html
00007ffc0dfbfafc (__TEXT,__text) external _cmark_node_append_child
00007ffc0dfbe58a (__TEXT,__text) non-external (was a private external) _cmark_node_can_contain_type
00007ffc0dfbfb52 (__TEXT,__text) non-external (was a private external) _cmark_node_check
00007ffc0dfbebbe (__TEXT,__text) external _cmark_node_first_child
00007ffc0dfbe719 (__TEXT,__text) external _cmark_node_free
00007ffc0dfbf4f6 (__TEXT,__text) external _cmark_node_get_attributes
00007ffc0dfbed94 (__TEXT,__text) external _cmark_node_get_backtick_count
00007ffc0dfbf93e (__TEXT,__text) external _cmark_node_get_end_column
00007ffc0dfbf92d (__TEXT,__text) external _cmark_node_get_end_line
00007ffc0dfbf09c (__TEXT,__text) external _cmark_node_get_fence_info
00007ffc0dfbf1e4 (__TEXT,__text) external _cmark_node_get_fenced
00007ffc0dfbeee5 (__TEXT,__text) external _cmark_node_get_heading_level
00007ffc0dfbf055 (__TEXT,__text) external _cmark_node_get_item_index
00007ffc0dfbef7b (__TEXT,__text) external _cmark_node_get_list_delim
00007ffc0dfbefc6 (__TEXT,__text) external _cmark_node_get_list_start
00007ffc0dfbf00d (__TEXT,__text) external _cmark_node_get_list_tight
00007ffc0dfbef30 (__TEXT,__text) external _cmark_node_get_list_type
00007ffc0dfbec6a (__TEXT,__text) external _cmark_node_get_literal
00007ffc0dfbf63e (__TEXT,__text) external _cmark_node_get_on_enter
00007ffc0dfbf790 (__TEXT,__text) external _cmark_node_get_on_exit
00007ffc0dfbf91c (__TEXT,__text) external _cmark_node_get_start_column
00007ffc0dfbf90b (__TEXT,__text) external _cmark_node_get_start_line
00007ffc0dfbeecb (__TEXT,__text) external _cmark_node_get_string_content
00007ffc0dfbf8e2 (__TEXT,__text) external _cmark_node_get_syntax_extension
00007ffc0dfbf3a8 (__TEXT,__text) external _cmark_node_get_title
00007ffc0dfbe7f7 (__TEXT,__text) external _cmark_node_get_type
00007ffc0dfbe9d8 (__TEXT,__text) external _cmark_node_get_type_string
00007ffc0dfbf25a (__TEXT,__text) external _cmark_node_get_url
00007ffc0dfbec2a (__TEXT,__text) external _cmark_node_get_user_data
00007ffc0dfbf9f0 (__TEXT,__text) external _cmark_node_insert_after
00007ffc0dfbf973 (__TEXT,__text) external _cmark_node_insert_before
00007ffc0dfbebd0 (__TEXT,__text) external _cmark_node_last_child
00007ffc0dfbe706 (__TEXT,__text) external _cmark_node_new
00007ffc0dfbe6e6 (__TEXT,__text) external _cmark_node_new_with_ext
00007ffc0dfbe6fa (__TEXT,__text) external _cmark_node_new_with_mem
00007ffc0dfbe648 (__TEXT,__text) external _cmark_node_new_with_mem_and_ext
00007ffc0dfbeb88 (__TEXT,__text) external _cmark_node_next
00007ffc0dfbebe2 (__TEXT,__text) external _cmark_node_nth_child
00007ffc0dfb0ec5 (__TEXT,__text) external _cmark_node_own
00007ffc0dfbebac (__TEXT,__text) external _cmark_node_parent
00007ffc0dfbec15 (__TEXT,__text) external _cmark_node_parent_footnote_def
00007ffc0dfbfaa6 (__TEXT,__text) external _cmark_node_prepend_child
00007ffc0dfbeb9a (__TEXT,__text) external _cmark_node_previous
00007ffc0dfbfa6d (__TEXT,__text) external _cmark_node_replace
00007ffc0dfbf57e (__TEXT,__text) external _cmark_node_set_attributes
00007ffc0dfbf124 (__TEXT,__text) external _cmark_node_set_fence_info
00007ffc0dfbf220 (__TEXT,__text) external _cmark_node_set_fenced
00007ffc0dfbef04 (__TEXT,__text) external _cmark_node_set_heading_level
00007ffc0dfbf074 (__TEXT,__text) external _cmark_node_set_item_index
00007ffc0dfbef9a (__TEXT,__text) external _cmark_node_set_list_delim
00007ffc0dfbefe5 (__TEXT,__text) external _cmark_node_set_list_start
00007ffc0dfbf02d (__TEXT,__text) external _cmark_node_set_list_tight
00007ffc0dfbef4f (__TEXT,__text) external _cmark_node_set_list_type
00007ffc0dfbed9d (__TEXT,__text) external _cmark_node_set_literal
00007ffc0dfbf6cd (__TEXT,__text) external _cmark_node_set_on_enter
00007ffc0dfbf81f (__TEXT,__text) external _cmark_node_set_on_exit
00007ffc0dfbeed5 (__TEXT,__text) external _cmark_node_set_string_content
00007ffc0dfbf8f4 (__TEXT,__text) external _cmark_node_set_syntax_extension
00007ffc0dfbf433 (__TEXT,__text) external _cmark_node_set_title
00007ffc0dfbe809 (__TEXT,__text) external _cmark_node_set_type
00007ffc0dfbf2e5 (__TEXT,__text) external _cmark_node_set_url
00007ffc0dfbec3c (__TEXT,__text) external _cmark_node_set_user_data
00007ffc0dfbec53 (__TEXT,__text) external _cmark_node_set_user_data_free_func
00007ffc0dfbf94f (__TEXT,__text) external _cmark_node_unlink
00007ffc0dfc3748 (__TEXT,__text) external _cmark_node_unput
00007ffc0dfbc9e0 (__TEXT,__text) external _cmark_parse_document
00007ffc0dfbc2b5 (__TEXT,__text) external _cmark_parse_file
00007ffc0dfbfee0 (__TEXT,__text) non-external (was a private external) _cmark_parse_inlines
00007ffc0dfc72bf (__TEXT,__text) non-external _cmark_parse_inlines.cold.1
00007ffc0dfc73fa (__TEXT,__text) non-external _cmark_parse_inlines.cold.10
00007ffc0dfc741d (__TEXT,__text) non-external _cmark_parse_inlines.cold.11
00007ffc0dfc7440 (__TEXT,__text) non-external _cmark_parse_inlines.cold.12
00007ffc0dfc7463 (__TEXT,__text) non-external _cmark_parse_inlines.cold.13
00007ffc0dfc7486 (__TEXT,__text) non-external _cmark_parse_inlines.cold.14
00007ffc0dfc74a9 (__TEXT,__text) non-external _cmark_parse_inlines.cold.15
00007ffc0dfc74cc (__TEXT,__text) non-external _cmark_parse_inlines.cold.16
00007ffc0dfc74ef (__TEXT,__text) non-external _cmark_parse_inlines.cold.17
00007ffc0dfc7512 (__TEXT,__text) non-external _cmark_parse_inlines.cold.18
00007ffc0dfc7535 (__TEXT,__text) non-external _cmark_parse_inlines.cold.19
00007ffc0dfc72e2 (__TEXT,__text) non-external _cmark_parse_inlines.cold.2
00007ffc0dfc7305 (__TEXT,__text) non-external _cmark_parse_inlines.cold.3
00007ffc0dfc7328 (__TEXT,__text) non-external _cmark_parse_inlines.cold.4
00007ffc0dfc734b (__TEXT,__text) non-external _cmark_parse_inlines.cold.5
00007ffc0dfc736e (__TEXT,__text) non-external _cmark_parse_inlines.cold.6
00007ffc0dfc7391 (__TEXT,__text) non-external _cmark_parse_inlines.cold.7
00007ffc0dfc73b4 (__TEXT,__text) non-external _cmark_parse_inlines.cold.8
00007ffc0dfc73d7 (__TEXT,__text) non-external _cmark_parse_inlines.cold.9
00007ffc0dfc31c3 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_attributes_inline
00007ffc0dfc77a9 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.1
00007ffc0dfc77cc (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.2
00007ffc0dfc77ef (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.3
00007ffc0dfc7812 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.4
00007ffc0dfc7835 (__TEXT,__text) non-external _cmark_parse_reference_attributes_inline.cold.5
00007ffc0dfc2ab7 (__TEXT,__text) non-external (was a private external) _cmark_parse_reference_inline
00007ffc0dfc757b (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.1
00007ffc0dfc759e (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.2
00007ffc0dfc75c1 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.3
00007ffc0dfc75e4 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.4
00007ffc0dfc7607 (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.5
00007ffc0dfc762a (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.6
00007ffc0dfc764d (__TEXT,__text) non-external _cmark_parse_reference_inline.cold.7
00007ffc0dfbdceb (__TEXT,__text) external _cmark_parser_add_child
00007ffc0dfbddc3 (__TEXT,__text) external _cmark_parser_advance_offset
00007ffc0dfbbf70 (__TEXT,__text) external _cmark_parser_attach_syntax_extension
00007ffc0dfbc21b (__TEXT,__text) non-external _cmark_parser_dispose
00007ffc0dfbca35 (__TEXT,__text) external _cmark_parser_feed
00007ffc0dfbca41 (__TEXT,__text) external _cmark_parser_feed_reentrant
00007ffc0dfbc52d (__TEXT,__text) external _cmark_parser_finish
00007ffc0dfbc19d (__TEXT,__text) external _cmark_parser_free
00007ffc0dfbdcaa (__TEXT,__text) external _cmark_parser_get_column
00007ffc0dfbdcb3 (__TEXT,__text) external _cmark_parser_get_first_nonspace
00007ffc0dfbdcbc (__TEXT,__text) external _cmark_parser_get_first_nonspace_column
00007ffc0dfbdcc5 (__TEXT,__text) external _cmark_parser_get_indent
00007ffc0dfbdce2 (__TEXT,__text) external _cmark_parser_get_last_line_length
00007ffc0dfbdc98 (__TEXT,__text) external _cmark_parser_get_line_number
00007ffc0dfbdca1 (__TEXT,__text) external _cmark_parser_get_offset
00007ffc0dfbdeb0 (__TEXT,__text) external _cmark_parser_get_syntax_extensions
00007ffc0dfbdcd8 (__TEXT,__text) external _cmark_parser_has_partially_consumed_tab
00007ffc0dfbdcce (__TEXT,__text) external _cmark_parser_is_blank
00007ffc0dfbc18c (__TEXT,__text) external _cmark_parser_new
00007ffc0dfbc021 (__TEXT,__text) external _cmark_parser_new_with_mem
00007ffc0dfbc079 (__TEXT,__text) non-external _cmark_parser_reset
00007ffc0dfbdea3 (__TEXT,__text) external _cmark_parser_set_backslash_ispunct_func
00007ffc0dfb0789 (__TEXT,__text) external _cmark_plugin_free
00007ffc0dfb0769 (__TEXT,__text) external _cmark_plugin_new
00007ffc0dfb073f (__TEXT,__text) external _cmark_plugin_register_syntax_extension
00007ffc0dfb07b9 (__TEXT,__text) external _cmark_plugin_steal_syntax_extensions
00007ffc0dfbbd72 (__TEXT,__text) non-external (was a private external) _cmark_reference_create
00007ffc0dfc70a8 (__TEXT,__text) non-external _cmark_reference_create.cold.1
00007ffc0dfbbe39 (__TEXT,__text) non-external (was a private external) _cmark_reference_create_attributes
00007ffc0dfc70c9 (__TEXT,__text) non-external _cmark_reference_create_attributes.cold.1
00007ffc0dfbbed9 (__TEXT,__text) non-external (was a private external) _cmark_reference_map_new
00007ffc0dfbe519 (__TEXT,__text) external _cmark_register_node_flag
00007ffc0dfc7233 (__TEXT,__text) non-external _cmark_register_node_flag.cold.1
00007ffc0dfc7258 (__TEXT,__text) non-external _cmark_register_node_flag.cold.2
00007ffc411fe0d0 (__DATA,__data) non-external _cmark_register_node_flag.nextflag
00007ffc0dfaf75d (__TEXT,__text) external _cmark_register_plugin
00007ffc0dfaf808 (__TEXT,__text) external _cmark_release_plugins
00007ffc0dfaf998 (__TEXT,__text) non-external (was a private external) _cmark_render
00007ffc0dfaf94f (__TEXT,__text) non-external (was a private external) _cmark_render_ascii
00007ffc0dfaf978 (__TEXT,__text) non-external (was a private external) _cmark_render_code_point
00007ffc0dfab848 (__TEXT,__text) external _cmark_render_commonmark
00007ffc0dfab871 (__TEXT,__text) external _cmark_render_commonmark_with_mem
00007ffc0dfac9d8 (__TEXT,__text) external _cmark_render_html
00007ffc0dfac9e5 (__TEXT,__text) external _cmark_render_html_with_mem
00007ffc0dfc6f06 (__TEXT,__text) non-external _cmark_render_html_with_mem.cold.1
00007ffc0dfb10e0 (__TEXT,__text) external _cmark_render_latex
00007ffc0dfb1102 (__TEXT,__text) external _cmark_render_latex_with_mem
00007ffc0dfae0cc (__TEXT,__text) external _cmark_render_man
00007ffc0dfae0ee (__TEXT,__text) external _cmark_render_man_with_mem
00007ffc0dfc45b8 (__TEXT,__text) external _cmark_render_plaintext
00007ffc0dfc45e1 (__TEXT,__text) external _cmark_render_plaintext_with_mem
00007ffc0dfc3ba0 (__TEXT,__text) external _cmark_render_xml
00007ffc0dfc3bad (__TEXT,__text) external _cmark_render_xml_with_mem
00007ffc0dfbfce0 (__TEXT,__text) non-external (was a private external) _cmark_set_default_skip_chars
00007ffc411fe2e0 (__DATA,__bss) non-external _cmark_set_default_skip_chars.default_skip_chars
00007ffc0dfbfe73 (__TEXT,__text) non-external (was a private external) _cmark_set_default_special_chars
00007ffc411fe0e0 (__DATA,__data) non-external _cmark_set_default_special_chars.default_special_chars
00007ffc411fe434 (__DATA,__common) external _cmark_strbuf__initbuf
00007ffc0dfbb85e (__TEXT,__text) external _cmark_strbuf_clear
