00007ff841bbb778 (__DATA,__data) non-external _C
00007ff8439130d8 (__DATA_DIRTY,__bss) non-external ___atexit
00007ff8002fb621 (__TEXT,__text) non-external (was a private external) ___atexit_init
00007ff8439130e0 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00007ff800302462 (__TEXT,__text) external ___b2d_D2A
00007ff800322494 (__TEXT,__text) external ___big_delete
00007ff8003221d4 (__TEXT,__text) external ___big_insert
00007ff800322abf (__TEXT,__text) external ___big_keydata
00007ff800322757 (__TEXT,__text) external ___big_return
00007ff800322c2f (__TEXT,__text) external ___big_split
00007ff80035c060 (__TEXT,__const) external ___bigtens_D2A
00007ff80031d318 (__TEXT,__text) external ___bt_close
00007ff800320efc (__TEXT,__text) external ___bt_cmp
00007ff800320f95 (__TEXT,__text) external ___bt_defcmp
00007ff800320fdc (__TEXT,__text) external ___bt_defpfx
00007ff80031d781 (__TEXT,__text) external ___bt_delete
00007ff80031ddc5 (__TEXT,__text) external ___bt_dleaf
00007ff80031ebd7 (__TEXT,__text) external ___bt_fd
00007ff80031fbce (__TEXT,__text) non-external ___bt_first
00007ff80031ef83 (__TEXT,__text) external ___bt_free
00007ff80031e41c (__TEXT,__text) external ___bt_get
00007ff80031efb4 (__TEXT,__text) external ___bt_new
00007ff80031e4f2 (__TEXT,__text) external ___bt_open
00007ff80031e188 (__TEXT,__text) non-external ___bt_pdelete
00007ff80031d4b2 (__TEXT,__text) external ___bt_pgin
00007ff80031d63b (__TEXT,__text) external ___bt_pgout
00007ff80031f007 (__TEXT,__text) external ___bt_put
00007ff80031e393 (__TEXT,__text) non-external ___bt_relink
00007ff800320d57 (__TEXT,__text) external ___bt_ret
00007ff80031f568 (__TEXT,__text) external ___bt_search
00007ff80031f7c0 (__TEXT,__text) external ___bt_seq
00007ff80031fb84 (__TEXT,__text) external ___bt_setcur
00007ff80031fd9f (__TEXT,__text) external ___bt_split
00007ff80031da79 (__TEXT,__text) non-external ___bt_stkacq
00007ff80031d3e4 (__TEXT,__text) external ___bt_sync
00007ff8003231ec (__TEXT,__text) external ___buf_free
00007ff8003231b4 (__TEXT,__text) non-external (was a private external) ___buf_init
                 (undefined) external ___bzero (from libsystem_platform)
00007ff843910b70 (__DATA_DIRTY,__data) non-external ___c_locale
00007ff80034f337 (__TEXT,__text) non-external ___calc_left_pad
00007ff800321d7b (__TEXT,__text) external ___call_hash
00007ff841bbbc60 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
00007ff800357dce (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
00007ff800357de0 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00007ff80030961f (__TEXT,__text) non-external (was a private external) ___chk_init
00007ff8002e11b7 (__TEXT,__text) non-external (was a private external) ___chk_overlap
00007ff8003130b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff8003130d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00007ff843913160 (__DATA_DIRTY,__common) external ___cleanup
00007ff8002ec5d2 (__TEXT,__text) external ___cmp_D2A
00007ff80032e92b (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
00007ff80032eac3 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
00007ff80032ec35 (__TEXT,__text) external ___collate_equiv_match
00007ff8002f6131 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
00007ff80032e16a (__TEXT,__text) non-external (was a private external) ___collate_err
00007ff841bbb890 (__DATA,__data) external ___collate_load_error
00007ff8002fd9cf (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00007ff841bbdf40 (__DATA,__bss) non-external ___collate_load_tables.cache
00007ff80032e476 (__TEXT,__text) external ___collate_lookup
00007ff80032e225 (__TEXT,__text) external ___collate_lookup_l
00007ff80032e639 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
00007ff80032e534 (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
00007ff80032f051 (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff841bbdf48 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff841bbdf50 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff80032df75 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff80032e122 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff80032e6f8 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff8002fb610 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff8002eeb50 (__TEXT,__text) external ___copybits_D2A
00007ff800313932 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff800313333 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff841bbd610 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff841bbe4d0 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff800348c7d (__TEXT,__text) non-external ___cvt
00007ff841bbe460 (__DATA,__bss) non-external ___cvt.s
00007ff8002e199b (__TEXT,__text) external ___cxa_atexit
00007ff8003043e7 (__TEXT,__text) external ___cxa_finalize
00007ff80030441f (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800344a82 (__TEXT,__text) external ___cxa_thread_atexit
00007ff8002eb3c0 (__TEXT,__text) external ___d2b_D2A
00007ff843913118 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff8003210c5 (__TEXT,__text) non-external ___dberr
00007ff8003210a0 (__TEXT,__text) external ___dbpanic
00007ff841bbb7a0 (__DATA,__data) external ___default_hash
00007ff80034d7b9 (__TEXT,__text) external ___default_utx
00007ff841bbbc10 (__DATA,__data) non-external ___default_utx.once
00007ff80034d7d9 (__TEXT,__text) non-external ___default_utx_init
00007ff800323404 (__TEXT,__text) external ___delpair
00007ff8002fd93c (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff8002ec4c2 (__TEXT,__text) external ___diff_D2A
00007ff843911830 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff8002ea46c (__TEXT,__text) external ___dtoa
00007ff80034d8fc (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff843913170 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff800344aef (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff841bbe3f8 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff800309c78 (__TEXT,__text) non-external (was a private external) ___errstr
00007ff8002f00e9 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff800321c36 (__TEXT,__text) external ___expand_table
00007ff841bbe1f0 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff8002edace (__TEXT,__text) external ___fflush
00007ff800335fc7 (__TEXT,__text) external ___fgetwc
00007ff800337884 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff8003225ca (__TEXT,__text) external ___find_bigpair
00007ff8003226e0 (__TEXT,__text) external ___find_last_page
00007ff80033890c (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff8002db69a (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff8002ff4fa (__TEXT,__text) external ___fix_locale_grouping_str
00007ff80032fddb (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff800336680 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff8002e7cb6 (__TEXT,__text) external ___fread
00007ff80032466b (__TEXT,__text) external ___free_ovflpage
00007ff8002eb6eb (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff841bbbc64 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff8002eccff (__TEXT,__text) non-external ___fts_open
00007ff8003557c7 (__TEXT,__text) non-external ___fts_open
00007ff800326980 (__TEXT,__text) external ___gdtoa
00007ff841bbe4e0 (__DATA,__common) external ___gdtoa_locks
00007ff800322dbe (__TEXT,__text) external ___get_buf
00007ff80033037a (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff8002e0582 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff8002e05a5 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff8002fbd4e (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff8003065c9 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff80032414a (__TEXT,__text) external ___get_page
00007ff800304d19 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff8439130a0 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff80033039d (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff80034d9c7 (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff80034dd4a (__TEXT,__text) non-external ___getutxid
00007ff800308828 (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff80030828f (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff80032aa42 (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff800308618 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff8003079bc (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007ff80030839e (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff80030744a (__TEXT,__text) non-external ___glob
00007ff800353bfa (__TEXT,__text) non-external ___glob
00007ff8439105a0 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff8002fb6d2 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff8003210d0 (__TEXT,__text) external ___hash_open
00007ff80030e934 (__TEXT,__text) external ___hdtoa
00007ff8002e8f85 (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff8002ee97c (__TEXT,__text) external ___hi0bits_D2A
00007ff800326716 (__TEXT,__text) external ___hldtoa
00007ff8002ec174 (__TEXT,__text) external ___i2b_D2A
00007ff8003245b2 (__TEXT,__text) external ___ibitmap
00007ff800334d56 (__TEXT,__text) non-external ___inaddr_to_index
00007ff8003595d3 (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff800348101 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff800330c56 (__TEXT,__text) external ___isctype
00007ff800330bed (__TEXT,__text) external ___istype
00007ff800330d2f (__TEXT,__text) external ___istype_l
00007ff843911178 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff843911820 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff800330366 (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff8003490a8 (__TEXT,__text) external ___ldtoa
00007ff80031c3dc (__TEXT,__text) external ___libc_init
00007ff8002eb5d6 (__TEXT,__text) external ___lo0bits_D2A
00007ff8002f0114 (__TEXT,__text) non-external ___loadevp
00007ff843910b68 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff8003233e8 (__TEXT,__text) external ___log2
00007ff841bbe500 (__DATA,__common) non-external (was a private external) ___logname
00007ff841bbb7d0 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff80035cf80 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff8002ec3ca (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff8002f0759 (__TEXT,__text) external ___maskrune
00007ff800330cdb (__TEXT,__text) external ___maskrune_l
00007ff800327b63 (__TEXT,__text) external ___match_D2A
00007ff841bbb8fc (__DATA,__data) external ___mb_cur_max
00007ff841bbb900 (__DATA,__data) external ___mb_sb_limit
00007ff80033e562 (__TEXT,__text) non-external ___mbsconv
00007ff800330586 (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff800357df2 (__TEXT,__text) external ___memccpy_chk
00007ff8002e1394 (__TEXT,__text) external ___memcpy_chk
00007ff8002e1d74 (__TEXT,__text) external ___memmove_chk
00007ff8002e9bb1 (__TEXT,__text) external ___memset_chk
00007ff8002ffa87 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff841bbdf58 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff8002fedee (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff841bbdf68 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff8002ec29e (__TEXT,__text) external ___mult_D2A
00007ff8002ec0db (__TEXT,__text) external ___multadd_D2A
00007ff800335d10 (__TEXT,__text) non-external ___nls_free_resources
00007ff80035c841 (__TEXT,__const) non-external ___nogrouping
00007ff8002ee939 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff800319210 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff8002ff5b2 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff841bbdf78 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff8002fe090 (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff800354c6f (__TEXT,__text) external ___opendir2
00007ff8002e094c (__TEXT,__text) external ___opendir2$INODE64
00007ff8002e1d86 (__TEXT,__text) non-external ___opendir_common
00007ff800354d52 (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff80031eec1 (__TEXT,__text) external ___ovfl_delete
00007ff80031ecf7 (__TEXT,__text) external ___ovfl_get
00007ff80031edd2 (__TEXT,__text) external ___ovfl_put
00007ff8002ee840 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8439130b8 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff8439130b0 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff843911608 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff8002ff2d5 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff841bbe508 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff841bbb810 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff8002ec197 (__TEXT,__text) external ___pow5mult_D2A
00007ff80035c050 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff80034c989 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff800359e71 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff80034b732 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff800359cfe (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff80034b820 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff800359d20 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff80034c3c0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff800359d66 (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff80030bd56 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff800359d87 (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff80034cf88 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff800359ee5 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff80034cf6a (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff80034c642 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff800359e0a (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff80034c6e7 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff800359e2d (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff80030bd20 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff800359e50 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff80034cae0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff800359ea0 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff80034cdd7 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff800359ec1 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff80030b409 (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff80030bdda (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff80030cd5c (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff80033a133 (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff80030c59a (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff80034cef6 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff80030c283 (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff80034c9cc (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff80034b751 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff80034b85c (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff800359d43 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff80034c3e7 (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff80030c626 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff800359daa (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff800359de7 (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff80034cfa7 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff80034cf72 (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff80034c66f (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff80034c706 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff80030c306 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff80034caff (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff80034cdf6 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff8003047c0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff843911850 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff8003242e2 (__TEXT,__text) external ___put_page
00007ff80035c96f (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff80034df99 (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff8002ee9e8 (__TEXT,__text) external ___quorem_D2A
00007ff8003023bf (__TEXT,__text) external ___ratio_D2A
00007ff800324eaa (__TEXT,__text) external ___rec_close
00007ff8003251a1 (__TEXT,__text) external ___rec_delete
00007ff8003252a9 (__TEXT,__text) external ___rec_dleaf
00007ff800325c22 (__TEXT,__text) external ___rec_fd
00007ff800325706 (__TEXT,__text) external ___rec_fmap
00007ff8003254a0 (__TEXT,__text) external ___rec_fpipe
00007ff8003253bc (__TEXT,__text) external ___rec_get
00007ff800325f38 (__TEXT,__text) external ___rec_iput
00007ff8003258d4 (__TEXT,__text) external ___rec_open
00007ff800325c70 (__TEXT,__text) external ___rec_put
00007ff8003264c8 (__TEXT,__text) external ___rec_ret
00007ff800326176 (__TEXT,__text) external ___rec_search
00007ff800326314 (__TEXT,__text) external ___rec_seq
00007ff800324f69 (__TEXT,__text) external ___rec_sync
00007ff800325819 (__TEXT,__text) external ___rec_vmap
00007ff8003255ce (__TEXT,__text) external ___rec_vpipe
00007ff8003232cd (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
00007ff8002ef9b4 (__TEXT,__text) external ___rshift_D2A
00007ff80035be60 (__TEXT,__const) non-external (was a private external) ___rune_depreciated_msg
00007ff8002eb665 (__TEXT,__text) external ___rv_alloc_D2A
00007ff8002ec00c (__TEXT,__text) external ___s2b_D2A
00007ff843911180 (__DATA_DIRTY,__data) external ___sF
00007ff843911350 (__DATA_DIRTY,__data) non-external ___sFX
00007ff8002fb2be (__TEXT,__text) external ___sclose
00007ff8439118a0 (__DATA_DIRTY,__bss) non-external ___scounted
00007ff843913100 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
00007ff8002e0cba (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00007ff8003303a9 (__TEXT,__text) external ___setonlyClocaleconv
00007ff8002fe2c2 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00007ff841bbe158 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00007ff841bbe160 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00007ff80034f3bf (__TEXT,__text) non-external ___setup_vars
00007ff80034d82c (__TEXT,__text) non-external (was a private external) ___setutxent
00007ff8002ebd60 (__TEXT,__text) external ___sflags
00007ff8002eb7e9 (__TEXT,__text) external ___sflush
