                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffc0dd9fec4 (__TEXT,__text) external __crypt_blowfish_rn
00007ffc0dd9ce74 (__TEXT,__text) external _apr_bucket_socket_create
00007ffc0dd9ce53 (__TEXT,__text) external _apr_bucket_socket_make
00007ffc0dd9bdfe (__TEXT,__text) external _apr_bucket_split_notimpl
00007ffc0dd9cdb0 (__TEXT,__text) external _apr_bucket_transient_create
00007ffc0dd9cd8c (__TEXT,__text) external _apr_bucket_transient_make
00007ffc401c4ef0 (__DATA_CONST,__const) external _apr_bucket_type_eos
00007ffc401c4f28 (__DATA_CONST,__const) external _apr_bucket_type_file
00007ffc401c4f60 (__DATA_CONST,__const) external _apr_bucket_type_flush
00007ffc401c4f98 (__DATA_CONST,__const) external _apr_bucket_type_heap
00007ffc401c5078 (__DATA_CONST,__const) external _apr_bucket_type_immortal
00007ffc401c4fd0 (__DATA_CONST,__const) external _apr_bucket_type_mmap
00007ffc401c5008 (__DATA_CONST,__const) external _apr_bucket_type_pipe
00007ffc401c5040 (__DATA_CONST,__const) external _apr_bucket_type_pool
00007ffc401c50e8 (__DATA_CONST,__const) external _apr_bucket_type_socket
00007ffc401c50b0 (__DATA_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
00007ffc41199620 (__DATA,__common) external _apr_current_hooking_module
00007ffc0dda7f1c (__TEXT,__text) external _apr_date_checkmask
00007ffc0dda8020 (__TEXT,__text) external _apr_date_parse_http
00007ffc0dda83cc (__TEXT,__text) external _apr_date_parse_rfc
00007ffc0dda2aa1 (__TEXT,__text) external _apr_dbd_check_conn
00007ffc0dda2ac2 (__TEXT,__text) external _apr_dbd_close
00007ffc0dda3357 (__TEXT,__text) external _apr_dbd_datum_get
00007ffc0dda2ab2 (__TEXT,__text) external _apr_dbd_error
00007ffc0dda2c25 (__TEXT,__text) external _apr_dbd_escape
00007ffc0dda2a03 (__TEXT,__text) external _apr_dbd_get_driver
00007ffc0dda2c02 (__TEXT,__text) external _apr_dbd_get_entry
00007ffc0dda2c12 (__TEXT,__text) external _apr_dbd_get_name
00007ffc0dda2beb (__TEXT,__text) external _apr_dbd_get_row
00007ffc0dda2906 (__TEXT,__text) external _apr_dbd_init
00007ffc0dda28e4 (__TEXT,__text) external _apr_dbd_mutex_lock
00007ffc0dda28f5 (__TEXT,__text) external _apr_dbd_mutex_unlock
00007ffc0dda2b76 (__TEXT,__text) external _apr_dbd_name
00007ffc0dda2b7f (__TEXT,__text) external _apr_dbd_native_handle
00007ffc0dda2bcf (__TEXT,__text) external _apr_dbd_num_cols
00007ffc0dda2bdd (__TEXT,__text) external _apr_dbd_num_tuples
00007ffc0dda2ad0 (__TEXT,__text) external _apr_dbd_open
00007ffc0dda2a36 (__TEXT,__text) external _apr_dbd_open_ex
00007ffc0dda31d2 (__TEXT,__text) external _apr_dbd_pbquery
00007ffc0dda31ef (__TEXT,__text) external _apr_dbd_pbselect
00007ffc0dda3048 (__TEXT,__text) external _apr_dbd_pquery
00007ffc0dda2c3c (__TEXT,__text) external _apr_dbd_prepare
00007ffc0dda306a (__TEXT,__text) external _apr_dbd_pselect
00007ffc0dda3214 (__TEXT,__text) external _apr_dbd_pvbquery
00007ffc0dda32b6 (__TEXT,__text) external _apr_dbd_pvbselect
00007ffc0dda308f (__TEXT,__text) external _apr_dbd_pvquery
00007ffc0dda3131 (__TEXT,__text) external _apr_dbd_pvselect
00007ffc0dda2ba1 (__TEXT,__text) external _apr_dbd_query
00007ffc0dda2bb5 (__TEXT,__text) external _apr_dbd_select
00007ffc0dda2b8d (__TEXT,__text) external _apr_dbd_set_dbname
00007ffc401c52d0 (__DATA_CONST,__const) external _apr_dbd_sqlite3_driver
00007ffc0dda2b29 (__TEXT,__text) external _apr_dbd_transaction_end
00007ffc0dda2b52 (__TEXT,__text) external _apr_dbd_transaction_mode_get
00007ffc0dda2b63 (__TEXT,__text) external _apr_dbd_transaction_mode_set
00007ffc0dda2add (__TEXT,__text) external _apr_dbd_transaction_start
00007ffc0dda34b7 (__TEXT,__text) external _apr_dbm_close
00007ffc0dda34e1 (__TEXT,__text) external _apr_dbm_delete
00007ffc0dda34f0 (__TEXT,__text) external _apr_dbm_exists
00007ffc0dda34c3 (__TEXT,__text) external _apr_dbm_fetch
00007ffc0dda34ff (__TEXT,__text) external _apr_dbm_firstkey
00007ffc0dda351d (__TEXT,__text) external _apr_dbm_freedatum
00007ffc0dda35b1 (__TEXT,__text) external _apr_dbm_get_usednames
00007ffc0dda3562 (__TEXT,__text) external _apr_dbm_get_usednames_ex
00007ffc0dda352c (__TEXT,__text) external _apr_dbm_geterror
00007ffc0dda350e (__TEXT,__text) external _apr_dbm_nextkey
00007ffc0dda3449 (__TEXT,__text) external _apr_dbm_open
00007ffc0dda336f (__TEXT,__text) external _apr_dbm_open_ex
00007ffc0dda34d2 (__TEXT,__text) external _apr_dbm_store
00007ffc401c5120 (__DATA_CONST,__const) external _apr_dbm_type_sdbm
00007ffc41199618 (__DATA,__common) external _apr_debug_module_hooks
00007ffc0dda53ff (__TEXT,__text) external _apr_dynamic_fn_register
00007ffc0dda53cb (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get$INODE64 (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
                 (undefined) external _apr_file_read (from libapr-1)
                 (undefined) external _apr_file_read_full (from libapr-1)
                 (undefined) external _apr_file_seek (from libapr-1)
                 (undefined) external _apr_file_setaside (from libapr-1)
                 (undefined) external _apr_file_unlock (from libapr-1)
                 (undefined) external _apr_file_write_full (from libapr-1)
                 (undefined) external _apr_generate_random_bytes (from libapr-1)
00007ffc41199610 (__DATA,__common) external _apr_global_hook_pool
                 (undefined) external _apr_hash_count (from libapr-1)
                 (undefined) external _apr_hash_first (from libapr-1)
                 (undefined) external _apr_hash_get (from libapr-1)
                 (undefined) external _apr_hash_make (from libapr-1)
                 (undefined) external _apr_hash_next (from libapr-1)
                 (undefined) external _apr_hash_set (from libapr-1)
                 (undefined) external _apr_hash_this (from libapr-1)
00007ffc41199608 (__DATA,__common) external _apr_hook_debug_current
00007ffc41199600 (__DATA,__common) external _apr_hook_debug_enabled
00007ffc0dda5176 (__TEXT,__text) external _apr_hook_debug_show
00007ffc0dda5127 (__TEXT,__text) external _apr_hook_deregister_all
00007ffc411995f8 (__DATA,__common) external _apr_hook_global_pool
00007ffc0dda4c0e (__TEXT,__text) external _apr_hook_sort_all
00007ffc0dda4bc4 (__TEXT,__text) external _apr_hook_sort_register
00007ffc0ddae124 (__TEXT,__text) external _apr_ldap_get_option
00007ffc0ddae0f3 (__TEXT,__text) external _apr_ldap_info
00007ffc0ddae04e (__TEXT,__text) external _apr_ldap_init
00007ffc0dda5460 (__TEXT,__text) external _apr_ldap_is_ldap_url
00007ffc0dda55a1 (__TEXT,__text) external _apr_ldap_is_ldapi_url
00007ffc0dda555f (__TEXT,__text) external _apr_ldap_is_ldaps_url
00007ffc0ddae474 (__TEXT,__text) external _apr_ldap_rebind_add
00007ffc0ddae418 (__TEXT,__text) external _apr_ldap_rebind_init
00007ffc0ddae550 (__TEXT,__text) external _apr_ldap_rebind_remove
00007ffc0ddae1ac (__TEXT,__text) external _apr_ldap_set_option
00007ffc0ddae046 (__TEXT,__text) external _apr_ldap_ssl_deinit
00007ffc0ddadf9c (__TEXT,__text) external _apr_ldap_ssl_init
00007ffc0dda5cc7 (__TEXT,__text) external _apr_ldap_url_parse
00007ffc0dda55e3 (__TEXT,__text) external _apr_ldap_url_parse_ext
00007ffc0dd9d93f (__TEXT,__text) external _apr_md4
00007ffc0dd9d880 (__TEXT,__text) external _apr_md4_final
00007ffc0dd9d022 (__TEXT,__text) external _apr_md4_init
00007ffc0dd9d03e (__TEXT,__text) external _apr_md4_set_xlate
00007ffc0dd9d07b (__TEXT,__text) external _apr_md4_update
00007ffc0dd9dc9b (__TEXT,__text) external _apr_md5
00007ffc0dd9dd05 (__TEXT,__text) external _apr_md5_encode
00007ffc0dd9dbd2 (__TEXT,__text) external _apr_md5_final
00007ffc0dd9d9a7 (__TEXT,__text) external _apr_md5_init
00007ffc0dd9d9c3 (__TEXT,__text) external _apr_md5_set_xlate
00007ffc0dd9da00 (__TEXT,__text) external _apr_md5_update
00007ffc0dda657f (__TEXT,__text) external _apr_memcache_add
00007ffc0dda6eb6 (__TEXT,__text) external _apr_memcache_add_multget_key
00007ffc0dda5d08 (__TEXT,__text) external _apr_memcache_add_server
00007ffc0dda6217 (__TEXT,__text) external _apr_memcache_create
00007ffc0dda6d73 (__TEXT,__text) external _apr_memcache_decr
00007ffc0dda69e8 (__TEXT,__text) external _apr_memcache_delete
00007ffc0dda5f52 (__TEXT,__text) external _apr_memcache_disable_server
00007ffc0dda5f3d (__TEXT,__text) external _apr_memcache_enable_server
00007ffc0dda5ede (__TEXT,__text) external _apr_memcache_find_server
00007ffc0dda5d35 (__TEXT,__text) external _apr_memcache_find_server_hash
00007ffc0dda5d54 (__TEXT,__text) external _apr_memcache_find_server_hash_default
00007ffc0dda65d9 (__TEXT,__text) external _apr_memcache_getp
00007ffc0dda62f4 (__TEXT,__text) external _apr_memcache_hash
00007ffc0dda6278 (__TEXT,__text) external _apr_memcache_hash_crc32
00007ffc0dda62b2 (__TEXT,__text) external _apr_memcache_hash_default
00007ffc0dda6b90 (__TEXT,__text) external _apr_memcache_incr
00007ffc0dda6f3f (__TEXT,__text) external _apr_memcache_multgetp
00007ffc0dda65ac (__TEXT,__text) external _apr_memcache_replace
00007ffc0dda5f86 (__TEXT,__text) external _apr_memcache_server_create
00007ffc0dda6347 (__TEXT,__text) external _apr_memcache_set
00007ffc0dda77fc (__TEXT,__text) external _apr_memcache_stats
00007ffc0dda6d8c (__TEXT,__text) external _apr_memcache_version
                 (undefined) external _apr_mmap_create (from libapr-1)
                 (undefined) external _apr_mmap_delete (from libapr-1)
                 (undefined) external _apr_mmap_dup (from libapr-1)
                 (undefined) external _apr_mmap_offset (from libapr-1)
00007ffc0dda52b1 (__TEXT,__text) external _apr_optional_hook_add
00007ffc0dda5277 (__TEXT,__text) external _apr_optional_hook_get
                 (undefined) external _apr_os_default_encoding (from libapr-1)
                 (undefined) external _apr_os_locale_encoding (from libapr-1)
                 (undefined) external _apr_os_thread_current (from libapr-1)
                 (undefined) external _apr_os_thread_equal (from libapr-1)
                 (undefined) external _apr_os_thread_get (from libapr-1)
                 (undefined) external _apr_os_uuid_get (from libapr-1)
                 (undefined) external _apr_palloc (from libapr-1)
00007ffc0dd9ec97 (__TEXT,__text) external _apr_password_validate
                 (undefined) external _apr_pollset_add (from libapr-1)
                 (undefined) external _apr_pollset_create (from libapr-1)
                 (undefined) external _apr_pollset_destroy (from libapr-1)
                 (undefined) external _apr_pollset_poll (from libapr-1)
                 (undefined) external _apr_pollset_remove (from libapr-1)
                 (undefined) external _apr_pool_abort_get (from libapr-1)
                 (undefined) external _apr_pool_allocator_get (from libapr-1)
                 (undefined) external _apr_pool_cleanup_kill (from libapr-1)
                 (undefined) external _apr_pool_cleanup_null (from libapr-1)
                 (undefined) external _apr_pool_cleanup_register (from libapr-1)
                 (undefined) external _apr_pool_cleanup_run (from libapr-1)
                 (undefined) external _apr_pool_clear (from libapr-1)
                 (undefined) external _apr_pool_create_ex (from libapr-1)
                 (undefined) external _apr_pool_destroy (from libapr-1)
                 (undefined) external _apr_pool_is_ancestor (from libapr-1)
                 (undefined) external _apr_pool_parent_get (from libapr-1)
                 (undefined) external _apr_pool_pre_cleanup_register (from libapr-1)
00007ffc0dda360f (__TEXT,__text) external _apr_posix_perms2mode
                 (undefined) external _apr_proc_mutex_lock (from libapr-1)
                 (undefined) external _apr_proc_mutex_unlock (from libapr-1)
                 (undefined) external _apr_psprintf (from libapr-1)
                 (undefined) external _apr_pstrcat (from libapr-1)
                 (undefined) external _apr_pstrdup (from libapr-1)
                 (undefined) external _apr_pstrmemdup (from libapr-1)
                 (undefined) external _apr_pstrndup (from libapr-1)
00007ffc0dda8c88 (__TEXT,__text) external _apr_queue_create
00007ffc0dda90a6 (__TEXT,__text) external _apr_queue_interrupt_all
00007ffc0dda8f16 (__TEXT,__text) external _apr_queue_pop
00007ffc0dda8d83 (__TEXT,__text) external _apr_queue_push
00007ffc0dda8f0d (__TEXT,__text) external _apr_queue_size
00007ffc0dda90e4 (__TEXT,__text) external _apr_queue_term
00007ffc0dda9000 (__TEXT,__text) external _apr_queue_trypop
00007ffc0dda8e68 (__TEXT,__text) external _apr_queue_trypush
00007ffc0dda94d3 (__TEXT,__text) external _apr_reslist_acquire
00007ffc0dda9724 (__TEXT,__text) external _apr_reslist_acquired_count
00007ffc0dda9793 (__TEXT,__text) external _apr_reslist_cleanup_order_set
00007ffc0dda92a6 (__TEXT,__text) external _apr_reslist_create
00007ffc0dda94bc (__TEXT,__text) external _apr_reslist_destroy
00007ffc0dda9750 (__TEXT,__text) external _apr_reslist_invalidate
00007ffc0dda9123 (__TEXT,__text) external _apr_reslist_maintain
00007ffc0dda965f (__TEXT,__text) external _apr_reslist_release
00007ffc0dda971a (__TEXT,__text) external _apr_reslist_timeout_set
00007ffc0dda9f93 (__TEXT,__text) external _apr_rmm_addr_get
00007ffc0dda9a94 (__TEXT,__text) external _apr_rmm_attach
00007ffc0dda9df7 (__TEXT,__text) external _apr_rmm_calloc
00007ffc0dda9964 (__TEXT,__text) external _apr_rmm_destroy
00007ffc0dda9b0f (__TEXT,__text) external _apr_rmm_detach
00007ffc0dda9fa0 (__TEXT,__text) external _apr_rmm_free
00007ffc0dda97e4 (__TEXT,__text) external _apr_rmm_init
00007ffc0dda9b17 (__TEXT,__text) external _apr_rmm_malloc
00007ffc0dda9f86 (__TEXT,__text) external _apr_rmm_offset_get
00007ffc0ddaa118 (__TEXT,__text) external _apr_rmm_overhead_get
00007ffc0dda9eec (__TEXT,__text) external _apr_rmm_realloc
00007ffc0dda3ab8 (__TEXT,__text) external _apr_sdbm_close
00007ffc0dda3d29 (__TEXT,__text) external _apr_sdbm_delete
00007ffc0dda3b0a (__TEXT,__text) external _apr_sdbm_fetch
00007ffc0dda41ce (__TEXT,__text) external _apr_sdbm_firstkey
00007ffc0dda4438 (__TEXT,__text) external _apr_sdbm_lock
00007ffc0dda42a5 (__TEXT,__text) external _apr_sdbm_nextkey
00007ffc0dda391f (__TEXT,__text) external _apr_sdbm_open
00007ffc0dda3ddb (__TEXT,__text) external _apr_sdbm_rdonly
00007ffc0dda3e31 (__TEXT,__text) external _apr_sdbm_store
00007ffc0dda4503 (__TEXT,__text) external _apr_sdbm_unlock
00007ffc0dd9fde9 (__TEXT,__text) external _apr_sha1_base64
00007ffc0dd9fcf5 (__TEXT,__text) external _apr_sha1_final
00007ffc0dd9ee6b (__TEXT,__text) external _apr_sha1_init
00007ffc0dd9fceb (__TEXT,__text) external _apr_sha1_update
00007ffc0dd9ee8c (__TEXT,__text) external _apr_sha1_update_binary
                 (undefined) external _apr_sleep (from libapr-1)
                 (undefined) external _apr_snprintf (from libapr-1)
                 (undefined) external _apr_sockaddr_info_get (from libapr-1)
                 (undefined) external _apr_socket_close (from libapr-1)
                 (undefined) external _apr_socket_connect (from libapr-1)
                 (undefined) external _apr_socket_create (from libapr-1)
                 (undefined) external _apr_socket_recv (from libapr-1)
                 (undefined) external _apr_socket_sendv (from libapr-1)
                 (undefined) external _apr_socket_timeout_get (from libapr-1)
                 (undefined) external _apr_socket_timeout_set (from libapr-1)
00007ffc0ddab0ed (__TEXT,__text) external _apr_strmatch_precompile
                 (undefined) external _apr_strtok (from libapr-1)
00007ffc0ddac5d2 (__TEXT,__text) external _apr_text_append
                 (undefined) external _apr_thread_cond_broadcast (from libapr-1)
                 (undefined) external _apr_thread_cond_create (from libapr-1)
                 (undefined) external _apr_thread_cond_destroy (from libapr-1)
                 (undefined) external _apr_thread_cond_signal (from libapr-1)
                 (undefined) external _apr_thread_cond_timedwait (from libapr-1)
                 (undefined) external _apr_thread_cond_wait (from libapr-1)
                 (undefined) external _apr_thread_create (from libapr-1)
                 (undefined) external _apr_thread_data_get (from libapr-1)
                 (undefined) external _apr_thread_data_set (from libapr-1)
                 (undefined) external _apr_thread_detach (from libapr-1)
                 (undefined) external _apr_thread_exit (from libapr-1)
                 (undefined) external _apr_thread_join (from libapr-1)
                 (undefined) external _apr_thread_mutex_create (from libapr-1)
                 (undefined) external _apr_thread_mutex_destroy (from libapr-1)
                 (undefined) external _apr_thread_mutex_lock (from libapr-1)
                 (undefined) external _apr_thread_mutex_unlock (from libapr-1)
00007ffc0ddaac39 (__TEXT,__text) external _apr_thread_pool_busy_count
00007ffc0ddaa129 (__TEXT,__text) external _apr_thread_pool_create
00007ffc0ddaa746 (__TEXT,__text) external _apr_thread_pool_destroy
00007ffc0ddaac47 (__TEXT,__text) external _apr_thread_pool_idle_count
00007ffc0ddaac79 (__TEXT,__text) external _apr_thread_pool_idle_max_get
00007ffc0ddaac8d (__TEXT,__text) external _apr_thread_pool_idle_max_set
00007ffc0ddaac83 (__TEXT,__text) external _apr_thread_pool_idle_wait_get
00007ffc0ddaad6b (__TEXT,__text) external _apr_thread_pool_idle_wait_set
00007ffc0ddaa756 (__TEXT,__text) external _apr_thread_pool_push
00007ffc0ddaa981 (__TEXT,__text) external _apr_thread_pool_schedule
00007ffc0ddaac25 (__TEXT,__text) external _apr_thread_pool_scheduled_tasks_count
00007ffc0ddaae06 (__TEXT,__text) external _apr_thread_pool_task_owner_get
00007ffc0ddaaa94 (__TEXT,__text) external _apr_thread_pool_tasks_cancel
00007ffc0ddaac1b (__TEXT,__text) external _apr_thread_pool_tasks_count
00007ffc0ddaac5b (__TEXT,__text) external _apr_thread_pool_tasks_high_count
00007ffc0ddaac51 (__TEXT,__text) external _apr_thread_pool_tasks_run_count
00007ffc0ddaad79 (__TEXT,__text) external _apr_thread_pool_thread_max_get
00007ffc0ddaad83 (__TEXT,__text) external _apr_thread_pool_thread_max_set
00007ffc0ddaac2f (__TEXT,__text) external _apr_thread_pool_threads_count
00007ffc0ddaac65 (__TEXT,__text) external _apr_thread_pool_threads_high_count
00007ffc0ddaac6f (__TEXT,__text) external _apr_thread_pool_threads_idle_timeout_count
00007ffc0ddaadee (__TEXT,__text) external _apr_thread_pool_threshold_get
00007ffc0ddaadf8 (__TEXT,__text) external _apr_thread_pool_threshold_set
00007ffc0ddaaa84 (__TEXT,__text) external _apr_thread_pool_top
                 (undefined) external _apr_thread_rwlock_rdlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_unlock (from libapr-1)
                 (undefined) external _apr_thread_rwlock_wrlock (from libapr-1)
                 (undefined) external _apr_time_exp_get (from libapr-1)
                 (undefined) external _apr_time_exp_gmt_get (from libapr-1)
                 (undefined) external _apr_time_now (from libapr-1)
00007ffc0ddab5cf (__TEXT,__text) external _apr_uri_parse
00007ffc0ddab9da (__TEXT,__text) external _apr_uri_parse_hostinfo
00007ffc0ddab337 (__TEXT,__text) external _apr_uri_port_of_scheme
00007ffc0ddab37d (__TEXT,__text) external _apr_uri_unparse
00007ffc0dda2525 (__TEXT,__text) external _apr_uuid_format
00007ffc0dda23cb (__TEXT,__text) external _apr_uuid_get
00007ffc0dda25cd (__TEXT,__text) external _apr_uuid_parse
                 (undefined) external _apr_vformatter (from libapr-1)
00007ffc0ddabe5a (__TEXT,__text) external _apr_xlate_close
00007ffc0ddabd88 (__TEXT,__text) external _apr_xlate_conv_buffer
00007ffc0ddabe3c (__TEXT,__text) external _apr_xlate_conv_byte
00007ffc0ddabad3 (__TEXT,__text) external _apr_xlate_open
00007ffc0ddabd74 (__TEXT,__text) external _apr_xlate_sb_get
00007ffc0ddace21 (__TEXT,__text) external _apr_xml_empty_elem
00007ffc0ddabf5f (__TEXT,__text) external _apr_xml_insert_uri
00007ffc0ddac532 (__TEXT,__text) external _apr_xml_parse_file
00007ffc0ddabe71 (__TEXT,__text) external _apr_xml_parser_create
00007ffc0ddac43a (__TEXT,__text) external _apr_xml_parser_done
00007ffc0ddac3e3 (__TEXT,__text) external _apr_xml_parser_feed
00007ffc0ddac48e (__TEXT,__text) external _apr_xml_parser_geterror
00007ffc0ddac6f1 (__TEXT,__text) external _apr_xml_quote_elem
00007ffc0ddac618 (__TEXT,__text) external _apr_xml_quote_string
