0000000180c63df8 (__TEXT,__text) external _OSAtomicAdd32
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180c60520 (__TEXT,__text) non-external ___simple_bprintf
0000000180c64718 (__TEXT,__text) external ___sme_memchr
0000000180c64aa8 (__TEXT,__text) external ___sme_memcpy
0000000180c64b7c (__TEXT,__text) external ___sme_memmove
0000000180c658cc (__TEXT,__text) external ___sme_memset
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wait2 (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180c65b28 (__TEXT,__text) external __ctx_done
0000000180c65e50 (__TEXT,__text) non-external (was a private external) __ctx_start
0000000180c60fb8 (__TEXT,__text) non-external __enlarge
0000000180c65f84 (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180c60e84 (__TEXT,__text) non-external __flush
0000000180c604f0 (__TEXT,__text) non-external __flush_reset
0000000180c667db (__TEXT,__cstring) non-external __h
0000000180c6433c (__TEXT,__text) external __longjmp
0000000180c63954 (__TEXT,__text) non-external __os_alloc
0000000180c6627c (__TEXT,__text) non-external __os_alloc.cold.1
0000000182cd0058 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180c63904 (__TEXT,__text) external __os_alloc_once
0000000180c63a10 (__TEXT,__text) non-external __os_alloc_slow
0000000180c6601c (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180c62978 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180c629c8 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180c6299c (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180c629bc (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180c6329c (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180c632c0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180c632e0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
0000000180c661ac (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180c62930 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
0000000180c62950 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180c6296c (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
0000000180c66730 (__TEXT,__const) non-external __os_lock_type_base
0000000182d5ca00 (__AUTH_CONST,__const) external __os_lock_type_eliding
0000000182d5ca20 (__AUTH_CONST,__const) external __os_lock_type_handoff
0000000182d5ca60 (__AUTH_CONST,__const) external __os_lock_type_nospin
0000000182d5ca00 (__AUTH_CONST,__const) external __os_lock_type_spin
0000000182d5ca00 (__AUTH_CONST,__const) external __os_lock_type_transactional
0000000182d5ca40 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180c6302c (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180c63058 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180c63078 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180c63098 (__TEXT,__text) external __os_nospin_lock_lock
0000000180c630b8 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
0000000180c631b4 (__TEXT,__text) external __os_nospin_lock_trylock
0000000180c631d0 (__TEXT,__text) external __os_nospin_lock_unlock
0000000180c631ec (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180c633c8 (__TEXT,__text) external __os_once
0000000180c66258 (__TEXT,__text) non-external __os_once.cold.1
0000000180c63420 (__TEXT,__text) non-external __os_once_callout
0000000180c6331c (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180c66184 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180c66134 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180c6615c (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180c63494 (__TEXT,__text) non-external __os_once_gate_wait
0000000180c63d1c (__TEXT,__text) external __os_semaphore_create
0000000180c662a4 (__TEXT,__text) non-external __os_semaphore_create.cold.1
0000000180c662cc (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180c63d70 (__TEXT,__text) external __os_semaphore_dispose
0000000180c662f4 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180c63da0 (__TEXT,__text) external __os_semaphore_signal
0000000180c6631c (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180c63dc0 (__TEXT,__text) external __os_semaphore_wait
0000000180c66344 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
0000000180c66094 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
0000000180c62ab4 (__TEXT,__text) non-external __os_unfair_lock_lock_slow
0000000180c66044 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
0000000180c62c8c (__TEXT,__text) non-external __os_unfair_lock_trylock_with_options_slow
0000000180c62d64 (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
0000000180c6606c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
0000000180c65400 (__TEXT,__text) external __platform_bzero
0000000180c6456c (__TEXT,__text) external __platform_memccpy
0000000180c64f80 (__TEXT,__text) external __platform_memchr
0000000180c65090 (__TEXT,__text) external __platform_memcmp
0000000180c65540 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180c647e0 (__TEXT,__text) external __platform_memmove
0000000180c65460 (__TEXT,__text) external __platform_memset
0000000180c65640 (__TEXT,__text) external __platform_memset_pattern16
0000000180c65600 (__TEXT,__text) external __platform_memset_pattern4
0000000180c65620 (__TEXT,__text) external __platform_memset_pattern8
0000000180c65a20 (__TEXT,__text) external __platform_strchr
0000000180c65994 (__TEXT,__text) external __platform_strcmp
0000000180c64c90 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$Base
0000000180c657d0 (__TEXT,__text) non-external (was a private external) __platform_strcmp$VARIANT$MTE
0000000180c644b0 (__TEXT,__text) external __platform_strcpy
0000000182d5c978 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180c6467c (__TEXT,__text) external __platform_strlcat
0000000180c644f0 (__TEXT,__text) external __platform_strlcpy
0000000180c65280 (__TEXT,__text) external __platform_strlen
0000000180c659c8 (__TEXT,__text) external __platform_strncmp
0000000180c652f0 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$Base
0000000180c64d90 (__TEXT,__text) non-external (was a private external) __platform_strncmp$VARIANT$MTE
0000000180c645f4 (__TEXT,__text) external __platform_strncpy
0000000180c651e0 (__TEXT,__text) external __platform_strnlen
0000000180c64428 (__TEXT,__text) external __platform_strstr
0000000180c65dbc (__TEXT,__text) non-external (was a private external) __setcontext
0000000180c642dc (__TEXT,__text) external __setjmp
0000000180c6420c (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180c641f0 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180c6028c (__TEXT,__text) non-external __simple_asl_escape_key
0000000180c60300 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180c60488 (__TEXT,__text) external __simple_asl_log
0000000180c603a8 (__TEXT,__text) external __simple_asl_log_prog
0000000180c600f4 (__TEXT,__text) external __simple_asl_msg_new
0000000180c60140 (__TEXT,__text) external __simple_asl_msg_set
0000000180c60360 (__TEXT,__text) external __simple_asl_send
0000000180c60f00 (__TEXT,__text) external __simple_dprintf
0000000180c6125c (__TEXT,__text) external __simple_esappend
0000000180c61178 (__TEXT,__text) external __simple_esprintf
0000000180c60048 (__TEXT,__text) external __simple_getenv
0000000180c61334 (__TEXT,__text) external __simple_put
0000000180c6133c (__TEXT,__text) external __simple_putline
0000000180c60f2c (__TEXT,__text) external __simple_salloc
0000000180c611ec (__TEXT,__text) external __simple_sappend
0000000180c61384 (__TEXT,__text) external __simple_sfree
0000000180c614e8 (__TEXT,__text) external __simple_snprintf
0000000180c61140 (__TEXT,__text) external __simple_sprintf
0000000180c611b8 (__TEXT,__text) external __simple_sresize
0000000180c611a8 (__TEXT,__text) external __simple_string
0000000180c60490 (__TEXT,__text) external __simple_vdprintf
0000000180c61124 (__TEXT,__text) external __simple_vesprintf
0000000180c61418 (__TEXT,__text) external __simple_vsnprintf
0000000180c65fac (__TEXT,__text) non-external __simple_vsnprintf.cold.1
0000000180c610fc (__TEXT,__text) external __simple_vsprintf
0000000180c614c8 (__TEXT,__text) non-external __snprintf_out_of_space
0000000180c628dc (__TEXT,__text) external __spin_lock
0000000180c62910 (__TEXT,__text) external __spin_lock_try
0000000180c62928 (__TEXT,__text) external __spin_unlock
0000000182cd0050 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
0000000180c624b4 (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
0000000180c61514 (__TEXT,__text) non-external _dec
0000000180c64ef8 (__TEXT,__text) external _ffs
0000000180c64f10 (__TEXT,__text) external _ffsl
0000000180c64f10 (__TEXT,__text) external _ffsll
0000000180c64f28 (__TEXT,__text) external _fls
0000000180c64f38 (__TEXT,__text) external _flsl
0000000180c64f38 (__TEXT,__text) external _flsll
0000000182cca9c8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180c65e80 (__TEXT,__text) external _getcontext
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180c61a48 (__TEXT,__text) non-external _hex
                 (undefined) external _log_data_as_kernel (from libsystem_kernel)
0000000180c643ec (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180c65b50 (__TEXT,__text) external _makecontext
0000000180c64568 (__TEXT,__text) non-external (was a private external) _memset
0000000180c61864 (__TEXT,__text) non-external _oct
0000000180c63b48 (__TEXT,__text) external _os_apt_msg_async_task_running_4swift
0000000180c63c00 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev
0000000180c63ba8 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_dev_prodel0
0000000180c63c28 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_nop
0000000180c63bd8 (__TEXT,__text) non-external _os_apt_msg_async_task_running_4swift_prodel0
0000000180c63c2c (__TEXT,__text) external _os_apt_msg_async_task_waiting_on_4swift
0000000180c63cec (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev
0000000180c63c8c (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_dev_prodel0
0000000180c63d18 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_nop
0000000180c63cc0 (__TEXT,__text) non-external _os_apt_msg_async_task_waiting_on_4swift_prodel0
0000000180c62764 (__TEXT,__text) external _os_lock_lock
0000000180c62774 (__TEXT,__text) external _os_lock_trylock
0000000180c62784 (__TEXT,__text) external _os_lock_unlock
0000000180c62670 (__TEXT,__text) external _os_security_config_get
0000000180c6267c (__TEXT,__text) external _os_security_config_get_for_proc
0000000180c62708 (__TEXT,__text) external _os_security_config_get_for_task
0000000180c63764 (__TEXT,__text) external _os_sync_wait_on_address
0000000180c63624 (__TEXT,__text) external _os_sync_wait_on_address_with_deadline
0000000180c636c4 (__TEXT,__text) external _os_sync_wait_on_address_with_timeout
0000000180c6387c (__TEXT,__text) external _os_sync_wake_by_address_all
0000000180c637f4 (__TEXT,__text) external _os_sync_wake_by_address_any
0000000180c62e94 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180c661fc (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180c62e68 (__TEXT,__text) external _os_unfair_lock_assert_owner
0000000180c661d4 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180c62a8c (__TEXT,__text) external _os_unfair_lock_lock
0000000180c62e10 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180c62e44 (__TEXT,__text) external _os_unfair_lock_lock_with_flags
0000000180c62c28 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180c62c4c (__TEXT,__text) external _os_unfair_lock_trylock
0000000180c62c68 (__TEXT,__text) external _os_unfair_lock_trylock_with_options
0000000180c62d48 (__TEXT,__text) external _os_unfair_lock_unlock
0000000180c62e30 (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180c62edc (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180c62ec0 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180c660f0 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
0000000180c62f7c (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180c66224 (__TEXT,__text) non-external _os_unfair_recursive_lock_tryunlock4objc.cold.1
0000000180c62f1c (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180c62fec (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
0000000180c66238 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180c65cac (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
0000000180c65f7c (__TEXT,__text) non-external _sb
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180c65d54 (__TEXT,__text) external _setcontext
0000000180c643ac (__TEXT,__text) external _setjmp
0000000180c643e0 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180c643a0 (__TEXT,__text) external _sigsetjmp
0000000180c628dc (__TEXT,__text) external _spin_lock
0000000180c62910 (__TEXT,__text) external _spin_lock_try
0000000180c62928 (__TEXT,__text) external _spin_unlock
0000000180c65a98 (__TEXT,__text) external _swapcontext
0000000180c623d4 (__TEXT,__text) external _sys_cache_control
0000000180c624d4 (__TEXT,__text) external _sys_dcache_flush
0000000180c62420 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _task_info (from libsystem_kernel)
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180c65f08 (__TEXT,__text) external _timingsafe_enable_if_supported
0000000180c65f60 (__TEXT,__text) external _timingsafe_restore_if_supported
0000000180c61dc4 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180c61fb8 (__TEXT,__text) non-external _ydec
