00007ffc0f83f4ba (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc0f7e8159 (__TEXT,__text) external _AAByteRangeSub
00007ffc0f83d9ae (__TEXT,__text) external _AAByteStreamCancel
00007ffc0f83d9c3 (__TEXT,__text) external _AAByteStreamClose
00007ffc0f83d9fa (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffc0f83da43 (__TEXT,__text) external _AAByteStreamFlush
00007ffc0f83d976 (__TEXT,__text) external _AAByteStreamPRead
00007ffc0f83da77 (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffc0f83d93e (__TEXT,__text) external _AAByteStreamPWrite
00007ffc0f817a53 (__TEXT,__text) external _AAByteStreamProcess
00007ffc0f83d95a (__TEXT,__text) external _AAByteStreamRead
00007ffc0f83d992 (__TEXT,__text) external _AAByteStreamSeek
00007ffc0f83da5d (__TEXT,__text) external _AAByteStreamTruncate
00007ffc0f83d893 (__TEXT,__text) external _AAByteStreamWrite
00007ffc0f801963 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffc0f801062 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffc0f814808 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffc0f842322 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffc0f842c86 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffc0f80ab8c (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffc0f7d26c4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffc0f7d273d (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffc0f7d2733 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffc0f7d272a (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffc0f7d2765 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffc0f7d275b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffc0f7d2751 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffc0f7d2747 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffc0f83e80b (__TEXT,__text) external _AACustomByteStreamOpen
00007ffc0f83e8a5 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffc0f83e869 (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffc0f83e860 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffc0f83e87d (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffc0f83e891 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffc0f83e873 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffc0f83e89b (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffc0f83e887 (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffc0f83cdc9 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffc0f83e229 (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffc0f845469 (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffc0f83af95 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffc0f8333f5 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffc0f834184 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffc0f834173 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffc0f834020 (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffc0f8340e0 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffc0f834127 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffc0f834086 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffc0f8348c4 (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffc0f8348ba (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffc0f8342ce (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffc0f8342c6 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffc0f8347f2 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffc0f83447b (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffc0f8303f1 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffc0f830c16 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffc0f830c05 (__TEXT,__text) external _AAEntryXATBlobClear
00007ffc0f830ab2 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffc0f830b72 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffc0f830bb9 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffc0f830b18 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffc0f83124f (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffc0f831245 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffc0f830d60 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffc0f830d58 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffc0f83117d (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffc0f830e94 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffc0f83ace6 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffc0f83aba4 (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffc0f83ac44 (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffc0f83ac8b (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffc0f83ac0a (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffc0f83af8b (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffc0f83af82 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffc0f8277d0 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffc0f824ed4 (__TEXT,__text) external _AAFieldKeySetClear
00007ffc0f824db3 (__TEXT,__text) external _AAFieldKeySetClone
00007ffc0f824ee2 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffc0f824a00 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffc0f824a66 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffc0f824d8d (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffc0f8254c3 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffc0f8254bb (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffc0f824f86 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffc0f825208 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffc0f825141 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffc0f8253c4 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffc0f825457 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffc0f8254d2 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffc0f83da91 (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffc0f83ddde (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffc0f8468f9 (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffc0f82e487 (__TEXT,__text) external _AAHeaderAssign
00007ffc0f82ea68 (__TEXT,__text) external _AAHeaderClear
00007ffc0f82e3db (__TEXT,__text) external _AAHeaderClone
00007ffc0f82e2ee (__TEXT,__text) external _AAHeaderCreate
00007ffc0f82e649 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffc0f82e690 (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffc0f82e395 (__TEXT,__text) external _AAHeaderDestroy
00007ffc0f82fb86 (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffc0f82fb7c (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffc0f82e1de (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffc0f82e17f (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffc0f82ec59 (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffc0f82e26b (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffc0f82eb49 (__TEXT,__text) external _AAHeaderGetFieldString
00007ffc0f82ed61 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffc0f82e187 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffc0f82eac4 (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffc0f82ea8d (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffc0f82fb72 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffc0f82e6dc (__TEXT,__text) external _AAHeaderRemoveField
00007ffc0f82f966 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffc0f82ee83 (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffc0f82f519 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffc0f82f2dc (__TEXT,__text) external _AAHeaderSetFieldString
00007ffc0f82f76d (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffc0f82f0d5 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffc0f83e235 (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffc0f7f62ef (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffc0f7f66a1 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffc0f7f64e0 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffc0f7db4dd (__TEXT,__text) external _AAPathFilterAddRule
00007ffc0f7db9e4 (__TEXT,__text) external _AAPathFilterApply
00007ffc0f84ad9c (__TEXT,__text) non-external _AAPathFilterApply.cold.1
00007ffc0f84ae39 (__TEXT,__text) non-external _AAPathFilterApply.cold.2
00007ffc0f7db385 (__TEXT,__text) external _AAPathFilterCreate
00007ffc0f7db462 (__TEXT,__text) external _AAPathFilterDestroy
00007ffc0f825540 (__TEXT,__text) external _AAPathListCreate
00007ffc0f8256d6 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffc0f826ed8 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffc0f8256a7 (__TEXT,__text) external _AAPathListDestroy
00007ffc0f8273b7 (__TEXT,__text) external _AAPathListGetNode
00007ffc0f8274f2 (__TEXT,__text) external _AAPathListMerge
00007ffc0f82763c (__TEXT,__text) external _AAPathListNodeFirst
00007ffc0f827294 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffc0f827658 (__TEXT,__text) external _AAPathListNodeNext
00007ffc0f7ec7d4 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffc0f81f9f0 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffc0f7fe372 (__TEXT,__text) external _AARangeInputStreamOpen
00007ffc0f7f06ba (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffc0f83e0a8 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffc0f83e4f0 (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffc0f83de5a (__TEXT,__text) external _AATempFileStreamOpen
00007ffc0f83de66 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffc0f80de6e (__TEXT,__text) external _AATempStreamOpen
00007ffc0f80de7a (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffc0f81e5e9 (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffc0f81e5f3 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffc0f7dedf0 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffc0f7daa1a (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffc0f7db0ec (__TEXT,__text) external _AEAAuthDataClear
00007ffc0f7da32b (__TEXT,__text) external _AEAAuthDataCreate
00007ffc0f7da3eb (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffc0f7da391 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffc0f7db1cf (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffc0f7db1c5 (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffc0f7da8e6 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffc0f7da8de (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffc0f7db0fd (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffc0f7dae03 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffc0f811cb3 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffc0f811bfa (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffc0f7ef7d5 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffc0f811b7e (__TEXT,__text) external _AEAContextDestroy
00007ffc0f8127e1 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffc0f81296f (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffc0f8120b0 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffc0f811fee (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffc0f8124c0 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffc0f81290f (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffc0f8122e0 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffc0f7e148b (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffc0f7e0f65 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffc0f7e0fde (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffc0f7e0ecf (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffc0f7d80d1 (__TEXT,__text) external _AEADecryptAndExtract
00007ffc0f81998a (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffc0f7d7b48 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffc0f81b44c (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffc0f7cfd94 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffc0f7eb443 (__TEXT,__text) external _AEADecryptInPlace
00007ffc0f7f1d22 (__TEXT,__text) external _AEADecryptToFile
00007ffc0f80d0bc (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffc0f7f1781 (__TEXT,__text) external _AEADecryptToFileChunk
00007ffc0f80ddf0 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffc0f84959c (__TEXT,__text) external _AEADecryptToStream
00007ffc0f848d30 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffc0f7ed09e (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffc0f7e2b0f (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffc0f7d5a0a (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffc0f7eb9b2 (__TEXT,__text) external _AEAEncryptInPlace
00007ffc0f7e6a5b (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffc0f7e5cb4 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffc0f7e62ba (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffc0f7ebb4e (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffc0f7ec481 (__TEXT,__text) external _AEAKeychainHasItem
00007ffc0f7ec2c5 (__TEXT,__text) external _AEAKeychainLoadItem
00007ffc0f7ec58a (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffc0f7ebe18 (__TEXT,__text) external _AEAKeychainStoreItem
00007ffc0f7de544 (__TEXT,__text) external _AEAStreamSign
00007ffc0f80ff6b (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffc0f7e9900 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffc0f80ff7a (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffc0f7f8871 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffc0f7f9a7c (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffc0f7f9aab (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffc0f7f9d46 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffc0f7f9d50 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffc0f7f9d59 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffc0f7f9d63 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffc0f7ea529 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffc0f7ea78b (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffc0f7e994a (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffc0f7ea644 (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffc0f7f687a (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffc0f7f67e1 (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffc0f7f673f (__TEXT,__text) non-external (was a private external) _BlobBufferStore
00007ffc0f7ed29e (__TEXT,__text) non-external _BlockDecryptionStreamCancel
00007ffc0f7ed276 (__TEXT,__text) non-external _BlockDecryptionStreamClose
00007ffc0f7ed2bb (__TEXT,__text) non-external _BlockDecryptionStreamPRead
00007ffc0f7ed690 (__TEXT,__text) non-external _BlockDecryptionStreamRead
                 (undefined) external _CCCryptorCreateWithMode (from libSystem)
                 (undefined) external _CCCryptorFinal (from libSystem)
                 (undefined) external _CCCryptorGetOutputLength (from libSystem)
                 (undefined) external _CCCryptorRelease (from libSystem)
                 (undefined) external _CCCryptorUpdate (from libSystem)
                 (undefined) external _CCDeriveKey (from libSystem)
                 (undefined) external _CCHmacFinal (from libSystem)
                 (undefined) external _CCHmacInit (from libSystem)
                 (undefined) external _CCHmacUpdate (from libSystem)
                 (undefined) external _CCKDFParametersCreateHkdf (from libSystem)
                 (undefined) external _CCKDFParametersDestroy (from libSystem)
                 (undefined) external _CCRandomGenerateBytes (from libSystem)
00007ffc0f80191a (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Final
00007ffc0f8018bd (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Init
00007ffc0f8018d6 (__TEXT,__text) non-external (was a private external) _CC_CKSUM_Update
00007ffc0f803ad0 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Final
00007ffc0f803abc (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Init
00007ffc0f803ac6 (__TEXT,__text) non-external (was a private external) _CC_SHA1_Deprecated_Update
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CC_SHA384_Final (from libSystem)
                 (undefined) external _CC_SHA384_Init (from libSystem)
                 (undefined) external _CC_SHA384_Update (from libSystem)
                 (undefined) external _CC_SHA512_Final (from libSystem)
                 (undefined) external _CC_SHA512_Init (from libSystem)
                 (undefined) external _CC_SHA512_Update (from libSystem)
                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFErrorCopyDescription (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
00007ffc0f85cfe0 (__TEXT,__const) non-external _CKSUMTable
00007ffc0f8427d9 (__TEXT,__text) non-external _CompressionConsumerProc
00007ffc0f8425f9 (__TEXT,__text) non-external _CompressionWorkerDataCreate
00007ffc0f8434cd (__TEXT,__text) non-external _CompressionWorkerDataDestroy
00007ffc0f84274f (__TEXT,__text) non-external _CompressionWorkerProc
00007ffc0f7e1e60 (__TEXT,__text) non-external _DHERecipient_ECDHE_P256
00007ffc0f7e1af4 (__TEXT,__text) non-external _DHESender_ECDHE_P256
00007ffc0f7e23b1 (__TEXT,__text) non-external _DSASign_ECDSA_P256
00007ffc0f7e2625 (__TEXT,__text) non-external _DSAVerify_ECDSA_P256
00007ffc0f7e21c2 (__TEXT,__text) non-external _DerivePublicFromPrivate_ECP256
00007ffc0f7e235b (__TEXT,__text) non-external _Digest_SHA256
00007ffc0f7eda57 (__TEXT,__text) non-external (was a private external) _ECC65537CheckAndFix
00007ffc0f7ed6a3 (__TEXT,__text) non-external (was a private external) _ECC65537GetParity
00007ffc0f85cd80 (__TEXT,__const) non-external _ECC65537_G
00007ffc0f7f7003 (__TEXT,__text) non-external (was a private external) _ECCFixThreadProc
00007ffc0f813e67 (__TEXT,__text) non-external (was a private external) _GetLargeFileControls
00007ffc0f8132e7 (__TEXT,__text) non-external (was a private external) _GetLargeFileControlsWithStreams
00007ffc0f7e0d44 (__TEXT,__text) non-external _HKDFDerive
00007ffc0f7e297a (__TEXT,__text) non-external _HMACDerive_SHA256
00007ffc0f7e2908 (__TEXT,__text) non-external _HMACFinal_SHA256
00007ffc0f7e2878 (__TEXT,__text) non-external _HMACInit_SHA256
00007ffc0f7e28f0 (__TEXT,__text) non-external _HMACUpdate_SHA256
00007ffc0f7e2a57 (__TEXT,__text) non-external _HMACVerify_SHA256
00007ffc0f7eeb80 (__TEXT,__text) non-external (was a private external) _IDecoderStreamAbort
00007ffc0f7ee92b (__TEXT,__text) non-external (was a private external) _IDecoderStreamCreate
00007ffc0f7eea7a (__TEXT,__text) non-external (was a private external) _IDecoderStreamDestroy
00007ffc0f7eeb65 (__TEXT,__text) non-external (was a private external) _IDecoderStreamRead
00007ffc0f7ee8f1 (__TEXT,__text) non-external (was a private external) _IDecoderStreamThreadProc
00007ffc0f7fb012 (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFD
00007ffc0f7facca (__TEXT,__text) non-external (was a private external) _IFileStreamCreateWithFilename
00007ffc0f7fafdb (__TEXT,__text) non-external (was a private external) _IFileStreamDestroy
00007ffc0f7fb13a (__TEXT,__text) non-external (was a private external) _IFileStreamRead
00007ffc0f7eeb94 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreate
00007ffc0f7ef1a8 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamCreateWithBuffer
00007ffc0f7ef13f (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamDestroy
00007ffc0f7ef225 (__TEXT,__text) non-external (was a private external) _ILowMemoryDecoderStreamRead
00007ffc0f7fbd32 (__TEXT,__text) non-external (was a private external) _IMemStreamAbort
00007ffc0f7fbc67 (__TEXT,__text) non-external (was a private external) _IMemStreamCreate
00007ffc0f7fbd28 (__TEXT,__text) non-external (was a private external) _IMemStreamDestroy
00007ffc0f7fbcd8 (__TEXT,__text) non-external (was a private external) _IMemStreamRead
00007ffc0f7fab5c (__TEXT,__text) non-external (was a private external) _IZeroStreamRead
00007ffc0f81321e (__TEXT,__text) non-external (was a private external) _LargeFileConsumer
00007ffc0f812b00 (__TEXT,__text) non-external (was a private external) _LargeFileWorker
00007ffc0f7fa92c (__TEXT,__text) non-external (was a private external) _MappedBufferCreateWithFD
00007ffc0f7fa8eb (__TEXT,__text) non-external (was a private external) _MappedBufferDestroy
00007ffc0f7fab48 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataPtr
00007ffc0f7fab52 (__TEXT,__text) non-external (was a private external) _MappedBufferGetDataSize
00007ffc0f7fa340 (__TEXT,__text) non-external (was a private external) _MemBufferCreate
00007ffc0f7fa4c5 (__TEXT,__text) non-external (was a private external) _MemBufferDecreaseSize
00007ffc0f7fa434 (__TEXT,__text) non-external (was a private external) _MemBufferDestroy
00007ffc0f7fa591 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromBuffer
00007ffc0f7fa620 (__TEXT,__text) non-external (was a private external) _MemBufferFillFromIStream
00007ffc0f7fa6ac (__TEXT,__text) non-external (was a private external) _MemBufferFlushToOStream
00007ffc0f7fa471 (__TEXT,__text) non-external (was a private external) _MemBufferGetDataPtr
