00000001e2548d44 (__TEXT,__text) non-external _DiToMD5
00000001e252c608 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001e252c630 (__TEXT,__text) external _IOThreadLocalStorageSet
00000001f6b99390 (__AUTH_CONST,__const) external _IOThread_Class
00000001f6b97740 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000001f6b978f0 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e252cd60 (__TEXT,__text) external _IOUserServerMain
00000001e255b458 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e255b5e4 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e255b484 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e255b4b0 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001e255b4dc (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e255b508 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e255b534 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e255b560 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e255b58c (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e255b5b8 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00000001f6b97c70 (__AUTH_CONST,__const) external _IOUserServer_Class
00000001ee8a1768 (__DATA_DIRTY,__common) external _IOVMPageSize
00000001f6b97e20 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e2548f08 (__TEXT,__text) external _MD5Final
00000001e2548c94 (__TEXT,__text) external _MD5Init
00000001e2548e8c (__TEXT,__text) non-external _MD5ToDi
00000001e2548db4 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00000001f6b97fd0 (__AUTH_CONST,__const) external _OSAction_Class
00000001f6b97990 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00000001f6b990d0 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e2538024 (__TEXT,__text) external _OSArrayAppendValue
00000001e2537b80 (__TEXT,__text) external _OSArrayApply
00000001e2537b0c (__TEXT,__text) external _OSArrayCreate
00000001e2536fdc (__TEXT,__text) external _OSArrayGetCount
00000001e25380cc (__TEXT,__text) external _OSArrayGetStringValue
00000001e253817c (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e2538058 (__TEXT,__text) external _OSArrayGetValue
00000001e253801c (__TEXT,__text) external _OSArrayReplaceValue
00000001e25380f8 (__TEXT,__text) external _OSArraySetStringValue
00000001e2538284 (__TEXT,__text) external _OSArraySetUInt64Value
00000001e2537e38 (__TEXT,__text) external _OSArraySetValue
00000001f6b98180 (__AUTH_CONST,__const) external _OSArray_Class
00000001f6b98278 (__AUTH_CONST,__const) external _OSBoolean_Class
00000001f6b98370 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e2535ae8 (__TEXT,__text) external _OSCollectionTypeID
00000001e255c44c (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e2535a24 (__TEXT,__text) external _OSCollectionTypeName
00000001e255c3f4 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00000001f6b98468 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e253b280 (__TEXT,__text) external _OSCollectionsInitialize
00000001f6b98560 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e2535b6c (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e255c4a4 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e2538d08 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001e255cb2c (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e2538bd0 (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e2536df0 (__TEXT,__text) external _OSDataAppendBytes
00000001e2536d38 (__TEXT,__text) external _OSDataCreate
00000001e255c6b4 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001e2536ccc (__TEXT,__text) external _OSDataGetBytes
00000001e2536c80 (__TEXT,__text) external _OSDataGetBytesPtr
00000001e2536cbc (__TEXT,__text) external _OSDataGetLength
00000001f6b986c0 (__AUTH_CONST,__const) external _OSData_Class
00000001e2536fe8 (__TEXT,__text) external _OSDictionaryApply
00000001e2536f5c (__TEXT,__text) external _OSDictionaryCreate
00000001e2536fd0 (__TEXT,__text) external _OSDictionaryGetCount
00000001e25377bc (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e25379c4 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e253771c (__TEXT,__text) external _OSDictionaryGetValue
00000001e2537940 (__TEXT,__text) external _OSDictionarySetStringValue
00000001e2537a8c (__TEXT,__text) external _OSDictionarySetUInt64Value
00000001e2537348 (__TEXT,__text) external _OSDictionarySetValue
00000001f6b987b8 (__AUTH_CONST,__const) external _OSDictionary_Class
00000001f6b988b0 (__AUTH_CONST,__const) external _OSMappedFile_Class
00000001e2536edc (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00000001e2536eb4 (__TEXT,__text) external _OSNumberGetUInt64Value
00000001f6b989a8 (__AUTH_CONST,__const) external _OSNumber_Class
00000001e25392e8 (__TEXT,__text) external _OSObjectLog
00000001e2535a80 (__TEXT,__text) external _OSObjectRelease
00000001e2535a5c (__TEXT,__text) external _OSObjectRetain
00000001f6b98aa0 (__AUTH_CONST,__const) external _OSObject_Class
00000001f6b98c50 (__AUTH_CONST,__const) external _OSOrderedSet_Class
00000001e2529488 (__TEXT,__text) external _OSReportWithBacktrace
00000001e2538e58 (__TEXT,__text) external _OSSerializationGetBytes
00000001f6b98d48 (__AUTH_CONST,__const) external _OSSerialization_Class
00000001f6b98e40 (__AUTH_CONST,__const) external _OSSet_Class
00000001e2536648 (__TEXT,__text) external _OSStringCreate
00000001e255c580 (__TEXT,__text) non-external _OSStringCreate.cold.1
00000001e255c5ac (__TEXT,__text) non-external _OSStringCreate.cold.2
00000001e255c5d8 (__TEXT,__text) non-external _OSStringCreate.cold.3
00000001e25365f4 (__TEXT,__text) external _OSStringGetLength
00000001e25365b8 (__TEXT,__text) external _OSStringGetStringPtr
00000001f6b98f38 (__AUTH_CONST,__const) external _OSString_Class
00000001e2528f58 (__TEXT,__text) external _OSSynchronizeIO
00000001ede91f40 (__DATA,__bss) non-external _OSUniqueStrings
00000001e252986c (__TEXT,__text) external _PE_i_can_has_debugger
00000001e254923c (__TEXT,__text) external _SHA1Final
00000001e2548fc4 (__TEXT,__text) external _SHA1Init
00000001e25491c4 (__TEXT,__text) non-external _SHA1ToDi
00000001e25490ec (__TEXT,__text) external _SHA1Update
00000001e2549d34 (__TEXT,__text) external _SHA256_Final
00000001e2549c94 (__TEXT,__text) external _SHA256_Init
00000001e255d638 (__TEXT,__text) non-external _SHA256_Init.cold.1
00000001e2549ce4 (__TEXT,__text) external _SHA256_Update
00000001e2549e18 (__TEXT,__text) external _SHA384_Final
00000001e2549d78 (__TEXT,__text) external _SHA384_Init
00000001e255d660 (__TEXT,__text) non-external _SHA384_Init.cold.1
00000001e2549dc8 (__TEXT,__text) external _SHA384_Update
00000001e2549efc (__TEXT,__text) external _SHA512_Final
00000001e2549e5c (__TEXT,__text) external _SHA512_Init
00000001e255d688 (__TEXT,__text) non-external _SHA512_Init.cold.1
00000001e2549eac (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001e252a51c (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00000001e2549f40 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00000001f6b99030 (__AUTH_CONST,__const) external __IOBlockStorageDevice_Class
00000001ede91f10 (__DATA,__bss) non-external __MergedGlobals
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetExecutablePath (from libSystem)
00000001e252a894 (__TEXT,__text) non-external (was a private external) __Z11OSFindClassP18IOUserServer_IVarsPKc
00000001e255a964 (__TEXT,__text) non-external __Z11OSFindClassP18IOUserServer_IVarsPKc.cold.1
00000001e252c668 (__TEXT,__text) non-external (was a private external) __Z11ThreadStartPFPvS_ES_
00000001e255b12c (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.1
00000001e255b158 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.2
00000001e255b184 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.3
00000001e255b1b0 (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.4
00000001e255b1dc (__TEXT,__text) non-external __Z11ThreadStartPFPvS_ES_.cold.5
00000001e252b460 (__TEXT,__text) non-external (was a private external) __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC
00000001e255ad38 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.1
00000001e255ad64 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.2
00000001e255ad90 (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.3
00000001e255adbc (__TEXT,__text) non-external __Z12InvokeRemoteP18IOUserServer_IVarsy5IORPC.cold.4
00000001e252aba8 (__TEXT,__text) non-external (was a private external) __Z12OSObjectFreeP15OSMetaClassBase
00000001e255aa14 (__TEXT,__text) non-external __Z12OSObjectFreeP15OSMetaClassBase.cold.1
00000001e2538034 (__TEXT,__text) non-external (was a private external) __Z15OSArrayGetEntryP7OSArraym
00000001e253b20c (__TEXT,__text) non-external (was a private external) __Z15OSBooleanCreatev
00000001e252a6e8 (__TEXT,__text) non-external (was a private external) __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass
00000001e255a8e0 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.1
00000001e255a90c (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.2
00000001e255a938 (__TEXT,__text) non-external __Z15OSRegisterClassP18IOUserServer_IVarsP11OSMetaClass.cold.3
00000001e25381a8 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetStringP7OSArraym
00000001e2538258 (__TEXT,__text) non-external (was a private external) __Z16OSArrayGetUInt64P7OSArraym
00000001e25381d4 (__TEXT,__text) non-external (was a private external) __Z16OSArraySetStringP7OSArraymPKc
00000001e252a908 (__TEXT,__text) external __Z16OSObjectAllocateP11OSMetaClassPP8OSObject
00000001e253865c (__TEXT,__text) non-external (was a private external) __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry
00000001e255c9cc (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e255c9f8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e255ca24 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e255ca50 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.4
00000001e255ca7c (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.5
00000001e255caa8 (__TEXT,__text) non-external __Z16OSSerializeEntryP15OSSerializationS0_17OSCollectionEntry.cold.6
00000001e2528abc (__TEXT,__text) external __Z16OSUnserializeXMLPKcPP8OSString
00000001e2528c10 (__TEXT,__text) external __Z16OSUnserializeXMLPKcmPP8OSString
00000001e252aec8 (__TEXT,__text) external __Z17OSObjectTryRetainP8OSObject
00000001e255aa6c (__TEXT,__text) non-external __Z17OSObjectTryRetainP8OSObject.cold.1
00000001e252b03c (__TEXT,__text) non-external (was a private external) __Z17SearchMethodArrayyPKyjPy
00000001e252caac (__TEXT,__text) non-external (was a private external) __Z18OSLoadBundleByPathP18IOUserServer_IVarsPKc
00000001e252a654 (__TEXT,__text) non-external (was a private external) __Z18OSStringArrayIndexP10IOPStringsPKc
00000001e252a594 (__TEXT,__text) non-external (was a private external) __Z19OSCopyInStringArrayPKcj
00000001e2538e74 (__TEXT,__text) non-external (was a private external) __Z19OSObjectLogInternalP8OSObjectj
00000001e255cb58 (__TEXT,__text) non-external __Z19OSObjectLogInternalP8OSObjectj.cold.1
00000001e252aab8 (__TEXT,__text) non-external (was a private external) __Z20OSObjectPortFinalizeP15OSMetaClassBase
00000001e255a9bc (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.1
00000001e255a9e8 (__TEXT,__text) non-external __Z20OSObjectPortFinalizeP15OSMetaClassBase.cold.2
00000001e2535b2c (__TEXT,__text) non-external (was a private external) __Z20OSSerializationValueP15OSSerializationj
00000001e255c478 (__TEXT,__text) non-external __Z20OSSerializationValueP15OSSerializationj.cold.1
00000001e2535aa4 (__TEXT,__text) non-external (was a private external) __Z21OSSerializationTypeIDj
00000001e255c420 (__TEXT,__text) non-external __Z21OSSerializationTypeIDj.cold.1
00000001e25279c0 (__TEXT,__text) non-external (was a private external) __Z21OSUnserializeXMLparsePv
00000001e2536c18 (__TEXT,__text) non-external (was a private external) __Z23OSSerializationGetBytesPKjPvmm
00000001e2538304 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationAppendBytesP15OSSerializationPKvm
00000001e255c764 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.1
00000001e255c790 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.2
00000001e255c7bc (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.3
00000001e255c7e8 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.4
00000001e255c814 (__TEXT,__text) non-external __Z26OSSerializationAppendBytesP15OSSerializationPKvm.cold.5
00000001e2536be0 (__TEXT,__text) non-external (was a private external) __Z26OSSerializationGetBytesPtrPKjmm
00000001e2536e90 (__TEXT,__text) non-external (was a private external) __Z29OSSerializationGetUInt64ValuePKj
00000001e2538448 (__TEXT,__text) non-external (was a private external) __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry
00000001e255c840 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.1
00000001e255c86c (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.2
00000001e255c898 (__TEXT,__text) non-external __Z30OSSerializationAddBinaryObjectP15OSSerializationS0_17OSCollectionEntry.cold.3
00000001e252ca5c (__TEXT,__text) non-external (was a private external) __Z7astrcpyPKc
00000001e252bf10 (__TEXT,__text) non-external __ZL10IORPCAsyncPv
00000001e25590f8 (__TEXT,__text) non-external __ZL10OSData_NewP11OSMetaClass
00000001e252898c (__TEXT,__text) non-external __ZL10buildArrayP12parser_stateP6object
00000001e2529d5c (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj
00000001e255a85c (__TEXT,__text) non-external __ZL10getHexDataP12parser_statePj.cold.1
00000001e25355a4 (__TEXT,__text) non-external __ZL10uiomessagePv
00000001e2558f08 (__TEXT,__text) non-external __ZL11OSArray_NewP11OSMetaClass
00000001e253a3d0 (__TEXT,__text) non-external __ZL11OSSetCreatev
00000001e255e2c0 (__TEXT,__const) non-external __ZL11yytranslate
00000001e255a5a8 (__TEXT,__text) non-external __ZL12IOThread_NewP11OSMetaClass
00000001e2558814 (__TEXT,__text) non-external __ZL12OSAction_NewP11OSMetaClass
00000001e2558ff8 (__TEXT,__text) non-external __ZL12OSBundle_NewP11OSMetaClass
00000001e2559250 (__TEXT,__text) non-external __ZL12OSNumber_NewP11OSMetaClass
00000001e25592b8 (__TEXT,__text) non-external __ZL12OSObject_NewP11OSMetaClass
00000001e2536994 (__TEXT,__text) non-external __ZL12OSStringFindjU13block_pointerFbP8OSStringE
00000001e2536944 (__TEXT,__text) non-external __ZL12OSStringHashPKcm
00000001e255c604 (__TEXT,__text) non-external __ZL12OSStringHashPKcm.cold.1
00000001e2559a74 (__TEXT,__text) non-external __ZL12OSString_NewP11OSMetaClass
00000001e254a4e8 (__TEXT,__text) non-external __ZL13IOCommand_NewP11OSMetaClass
00000001e254ffe8 (__TEXT,__text) non-external __ZL13IOService_NewP11OSMetaClass
00000001e2533e8c (__TEXT,__text) non-external __ZL13IOThreadStartPv
00000001e255c108 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.1
00000001e255c134 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.2
00000001e255c160 (__TEXT,__text) non-external __ZL13IOThreadStartPv.cold.3
00000001e2558f90 (__TEXT,__text) non-external __ZL13OSBoolean_NewP11OSMetaClass
00000001e254fde0 (__TEXT,__text) non-external __ZL14IOReporter_NewP11OSMetaClass
00000001e252e1b4 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si
00000001e255b9fc (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.1
00000001e255ba28 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.2
00000001e255ba54 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.3
00000001e255ba80 (__TEXT,__text) non-external __ZL14uiomachchannelPv22dispatch_mach_reason_tP19dispatch_mach_msg_si.cold.4
00000001e254cfc4 (__TEXT,__text) non-external __ZL15IOEventLink_NewP11OSMetaClass
00000001e254fac0 (__TEXT,__text) non-external __ZL15IOMemoryMap_NewP11OSMetaClass
00000001e255811c (__TEXT,__text) non-external __ZL15IOWorkGroup_NewP11OSMetaClass
00000001e2559090 (__TEXT,__text) non-external __ZL15OSContainer_NewP11OSMetaClass
00000001e252c8a4 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e255b33c (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e255b368 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e255b394 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
00000001e255b3c0 (__TEXT,__text) non-external __ZL15OSCopyInObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.4
00000001e252d724 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc
00000001e255b780 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.1
00000001e255b7c0 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.2
00000001e255b7ec (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.3
00000001e255b818 (__TEXT,__text) non-external __ZL15OSScanLibrariesP18IOUserServer_IVarsPKc.cold.4
00000001e2534fa4 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject
00000001e255c23c (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.1
00000001e255c268 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.2
00000001e255c294 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.3
00000001e255c2c0 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.4
00000001e255c2ec (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.5
00000001e255c318 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.6
00000001e255c344 (__TEXT,__text) non-external __ZL15_OSObjectCopyInP18IOUserServer_IVarsybPP8OSObject.cold.7
00000001ede91f28 (__DATA,__bss) non-external __ZL15gIOThreadTLSKey
00000001e254a5d8 (__TEXT,__text) non-external __ZL16IODMACommand_NewP11OSMetaClass
00000001e2556864 (__TEXT,__text) non-external __ZL16IOUserClient_NewP11OSMetaClass
00000001e25578a4 (__TEXT,__text) non-external __ZL16IOUserServer_NewP11OSMetaClass
00000001e2559060 (__TEXT,__text) non-external __ZL16OSCollection_NewP11OSMetaClass
00000001e2534f3c (__TEXT,__text) non-external __ZL16OSConsumeObjectsP16IORPCMessageMachb
00000001e252c74c (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb
00000001e255b208 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.1
00000001e255b234 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.2
00000001e255b260 (__TEXT,__text) non-external __ZL16OSCopyOutObjectsP18IOUserServer_IVarsP16IORPCMessageMachP12IORPCMessageb.cold.3
