00000001e7d1a348 (__DATA,__data) non-external _.compoundliteral
00000001d6b88410 (__TEXT,__text) non-external (was a private external) _DstSwizzleMask
00000001d6bf6768 (__TEXT,__text) non-external _EmulateOp
00000001d6bfa678 (__TEXT,__text) non-external _EmulationContext_PopRegisters
00000001d6bfa630 (__TEXT,__text) non-external _EmulationContext_PushRegisters
00000001d6b9fa78 (__TEXT,__text) non-external _FindHashLoc
00000001d6bfc48c (__TEXT,__text) non-external _FindMatchingAvailableCopy
00000001d6b870bc (__TEXT,__text) non-external (was a private external) _FinishType
00000001d6bf416c (__TEXT,__text) non-external (was a private external) _FlattenIf
00000001d6bf3fc4 (__TEXT,__text) non-external (was a private external) _FlattenIfs
00000001d6b9fa10 (__TEXT,__text) non-external (was a private external) _FreeAtomTable
00000001d6b9fdc4 (__TEXT,__text) non-external (was a private external) _FreeCPP
00000001d6ba28a0 (__TEXT,__text) non-external (was a private external) _FreeScanner
00000001d6adb3dc (__TEXT,__text) non-external _GLDAttribBindingForPPStreamToken
00000001d6ae03c0 (__TEXT,__text) non-external _GLDAttribBindingsAddAttribBinding
00000001e4e34c48 (__DATA_CONST,__const) non-external (was a private external) _GLP_BI_INDEX
00000001d6c197fc (__TEXT,__const) non-external (was a private external) _GLP_BI_INDEX_COUNT
00000001e99f12b8 (__AUTH,__data) non-external (was a private external) _GLP_MALLOC_ALLOCATOR
00000001d6c19038 (__TEXT,__const) non-external _GLP_MATRIX_TYPES
00000001e4e36c88 (__DATA_CONST,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPES
00000001d6c1980c (__TEXT,__const) non-external (was a private external) _GLP_PRIMITIVE_TYPE_ARRAY
00000001d6c18fe8 (__TEXT,__const) non-external _GLP_VECTOR_TYPES
00000001d6b9f658 (__TEXT,__text) non-external (was a private external) _GetAtomString
00000001d6bf5d64 (__TEXT,__text) non-external _GetOpRegs
00000001d6bf3d54 (__TEXT,__text) non-external _GetOrAddBlock
00000001d6bf8c6c (__TEXT,__text) non-external _GetRegChunk
00000001d6bf2588 (__TEXT,__text) non-external _GetRegister
00000001d6bfa580 (__TEXT,__text) non-external _GetRegisterIndicies
00000001d6bf4e78 (__TEXT,__text) non-external _GetRegisterTypeInfo
00000001d6b9f6cc (__TEXT,__text) non-external (was a private external) _GetReversedAtom
00000001d6bfc410 (__TEXT,__text) non-external _GetStreamArray
00000001d6b9f9fc (__TEXT,__text) non-external (was a private external) _GetStringOfAtom
00000001d6b9f84c (__TEXT,__text) non-external _GrowAtomTable
00000001e7d1a2c0 (__DATA,__data) non-external (was a private external) _HT_PRIMES
00000001d6bf0418 (__TEXT,__text) non-external (was a private external) _HashSetAdd
00000001d6bf039c (__TEXT,__text) non-external (was a private external) _HashSetFree
00000001d6bf0530 (__TEXT,__text) non-external (was a private external) _HashSetGet
00000001d6bf0690 (__TEXT,__text) non-external (was a private external) _HashSetIteratorNext
00000001d6bf0688 (__TEXT,__text) non-external (was a private external) _HashSetIteratorSetup
00000001d6bf02e8 (__TEXT,__text) non-external (was a private external) _HashSetNew
00000001d6bf05d4 (__TEXT,__text) non-external (was a private external) _HashSetRemove
00000001d6bf080c (__TEXT,__text) non-external (was a private external) _HashTableAdd
00000001d6bf0764 (__TEXT,__text) non-external (was a private external) _HashTableFree
00000001d6bf0968 (__TEXT,__text) non-external (was a private external) _HashTableGet
00000001d6bf0708 (__TEXT,__text) non-external (was a private external) _HashTableNew
                 (undefined) external _IOSurfaceGetBaseAddressOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetBytesPerRowOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceGetSeedOfPlane (from IOSurface)
                 (undefined) external _IOSurfaceLockPlane (from IOSurface)
                 (undefined) external _IOSurfaceUnlockPlane (from IOSurface)
00000001d6b9f6f4 (__TEXT,__text) non-external (was a private external) _InitAtomTable
00000001d6b9fbf0 (__TEXT,__text) non-external (was a private external) _InitCPP
00000001d6b87108 (__TEXT,__text) non-external (was a private external) _InitReg
00000001d6ba284c (__TEXT,__text) non-external (was a private external) _InitScanner
00000001d6bf2af8 (__TEXT,__text) non-external (was a private external) _InstructionAdd
00000001d6bf334c (__TEXT,__text) non-external (was a private external) _InstructionFree
00000001d6bf2be0 (__TEXT,__text) non-external _InstructionInitSourcesTargets
00000001d6bf5e88 (__TEXT,__text) non-external _IsBadUsage
00000001d6b88598 (__TEXT,__text) non-external (was a private external) _Load
00000001d6b9f3e0 (__TEXT,__text) non-external (was a private external) _LookUpAddString
00000001d6b9f4bc (__TEXT,__text) non-external _LookUpAddStringHash
00000001d6ba4a2c (__TEXT,__text) non-external (was a private external) _LookUpLocalSymbol
00000001d6ba4aa4 (__TEXT,__text) non-external (was a private external) _LookUpSymbol
00000001d6ba1818 (__TEXT,__text) non-external (was a private external) _MacroExpand
00000001d6ba53b0 (__TEXT,__text) non-external (was a private external) _MatchNextToken
00000001d6ba4884 (__TEXT,__text) non-external (was a private external) _NewScopeInPool
00000001d6ba4b00 (__TEXT,__text) non-external (was a private external) _NewTokenStream
00000001e4e331e8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBfp10
00000001e4e32e88 (__DATA_CONST,__const) non-external (was a private external) _OpsList_ARBvp10
00000001e4e33408 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp10
00000001e4e33548 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVfp20
00000001e4e33048 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp20
00000001e4e33148 (__DATA_CONST,__const) non-external (was a private external) _OpsList_NVvp30
00000001e4e33648 (__DATA_CONST,__const) non-external (was a private external) _OpsList_fpSpecial
00000001e4e331b8 (__DATA_CONST,__const) non-external (was a private external) _OpsList_vpSpecial
00000001d6ad6e44 (__TEXT,__text) external _PPParserAttachLLVMIR
00000001d6ad6ba8 (__TEXT,__text) external _PPParserAttachStream
00000001d6ad69f8 (__TEXT,__text) external _PPParserAttachString
00000001d6adf3f4 (__TEXT,__text) external _PPParserBuildErrorString
00000001d6ad690c (__TEXT,__text) external _PPParserCreate
00000001d6ad7570 (__TEXT,__text) non-external (was a private external) _PPParserDeclareNVAddressRegisters
00000001d6ade174 (__TEXT,__text) non-external (was a private external) _PPParserExpandMacro
00000001d6ad6acc (__TEXT,__text) external _PPParserFree
00000001d6ad724c (__TEXT,__text) non-external (was a private external) _PPParserGetCharacter
00000001d6ae03a8 (__TEXT,__text) external _PPParserGetErrorString
00000001d6ae03b8 (__TEXT,__text) external _PPParserGetImageUnitsUsed
00000001d6ad75c4 (__TEXT,__text) non-external (was a private external) _PPParserGetInteger
00000001d6ae0384 (__TEXT,__text) external _PPParserGetLimits
00000001d6ae03a0 (__TEXT,__text) external _PPParserGetOptions
00000001d6ad7358 (__TEXT,__text) non-external (was a private external) _PPParserGetPart
00000001d6ad7670 (__TEXT,__text) non-external (was a private external) _PPParserGetScalars
00000001d6ae03b0 (__TEXT,__text) external _PPParserGetStream
00000001d6ad57b4 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreate
00000001d6ad57f4 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierCreateFromIdentifier
00000001d6ad58bc (__TEXT,__text) non-external (was a private external) _PPParserIdentifierFree
00000001d6ad5840 (__TEXT,__text) non-external (was a private external) _PPParserIdentifierSetName
00000001d6adf4f4 (__TEXT,__text) non-external _PPParserInherit
00000001d6ad6980 (__TEXT,__text) external _PPParserInit
00000001d6ae04d0 (__TEXT,__text) non-external _PPParserLabelsAddLabel
00000001d6ad6b48 (__TEXT,__text) non-external _PPParserLabelsFree
00000001d6ad53d4 (__TEXT,__text) non-external (was a private external) _PPParserMacroCreate
00000001d6ad53fc (__TEXT,__text) non-external (was a private external) _PPParserMacroCreateFromMacro
00000001d6ad557c (__TEXT,__text) non-external (was a private external) _PPParserMacroFree
00000001d6ad5664 (__TEXT,__text) non-external (was a private external) _PPParserMacroGetReplaceString
00000001d6ad5508 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamString
00000001d6ad54c8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetParamStringsCount
00000001d6ad55f8 (__TEXT,__text) non-external (was a private external) _PPParserMacroSetSearchString
00000001d6ae0464 (__TEXT,__text) non-external _PPParserOutputBindingsAddOutputBinding
00000001d6ade500 (__TEXT,__text) external _PPParserParse
00000001d6ad8518 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDeclaration
00000001d6adc160 (__TEXT,__text) non-external (was a private external) _PPParserParseAddressDestination
00000001d6add4cc (__TEXT,__text) non-external (was a private external) _PPParserParseAddressSourceVar
00000001d6addfb0 (__TEXT,__text) non-external (was a private external) _PPParserParseAliasDeclaration
00000001d6ad7f88 (__TEXT,__text) non-external (was a private external) _PPParserParseArray
00000001d6ada9a4 (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeBinding
00000001d6adb41c (__TEXT,__text) non-external (was a private external) _PPParserParseAttributeDeclaration
00000001d6ad7e48 (__TEXT,__text) non-external (was a private external) _PPParserParseBlock
00000001d6adc2d4 (__TEXT,__text) non-external (was a private external) _PPParserParseBranchCondition
00000001d6ad8058 (__TEXT,__text) non-external (was a private external) _PPParserParseDefaultArray
00000001d6adc65c (__TEXT,__text) non-external (was a private external) _PPParserParseDestination
00000001d6adbc30 (__TEXT,__text) non-external (was a private external) _PPParserParseDestinationMask
00000001d6ae02dc (__TEXT,__text) non-external (was a private external) _PPParserParseEnd
00000001d6ad8298 (__TEXT,__text) non-external (was a private external) _PPParserParseIndirectArray
00000001d6adc00c (__TEXT,__text) non-external (was a private external) _PPParserParseLabel
00000001d6addd18 (__TEXT,__text) non-external (was a private external) _PPParserParseMacroDeclaration
00000001d6add594 (__TEXT,__text) non-external (was a private external) _PPParserParseOperation
00000001d6adf64c (__TEXT,__text) non-external (was a private external) _PPParserParseOption
00000001d6ad7788 (__TEXT,__text) non-external (was a private external) _PPParserParseOptionIdentifier
00000001d6adb55c (__TEXT,__text) non-external (was a private external) _PPParserParseOutputBinding
00000001d6adbb00 (__TEXT,__text) non-external (was a private external) _PPParserParseOutputDeclaration
00000001d6ad8e54 (__TEXT,__text) non-external (was a private external) _PPParserParseParamBinding
00000001d6ada820 (__TEXT,__text) non-external (was a private external) _PPParserParseParameterDeclaration
00000001d6ad815c (__TEXT,__text) non-external (was a private external) _PPParserParseRangeArray
00000001d6adbde4 (__TEXT,__text) non-external (was a private external) _PPParserParseSourceSwizzle
00000001d6adc9ec (__TEXT,__text) non-external (was a private external) _PPParserParseSourceVar
00000001d6adf728 (__TEXT,__text) non-external (was a private external) _PPParserParseStatement
00000001d6adcea8 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleCode
00000001d6adcd14 (__TEXT,__text) non-external (was a private external) _PPParserParseSwizzleSourceVar
00000001d6ad8c80 (__TEXT,__text) non-external (was a private external) _PPParserParseTempDeclaration
00000001d6add1bc (__TEXT,__text) non-external (was a private external) _PPParserParseTextureSourceVar
00000001d6adf540 (__TEXT,__text) non-external (was a private external) _PPParserParseVersion
00000001d6ad5af4 (__TEXT,__text) non-external (was a private external) _PPParserPreprocessString
00000001d6ad72d8 (__TEXT,__text) non-external (was a private external) _PPParserReturnCharacter
00000001d6ad74ec (__TEXT,__text) non-external (was a private external) _PPParserReturnPart
00000001d6ad676c (__TEXT,__text) non-external (was a private external) _PPParserScopeAddIdentifier
00000001d6ad58fc (__TEXT,__text) non-external (was a private external) _PPParserScopeCreate
00000001d6ad66c4 (__TEXT,__text) non-external (was a private external) _PPParserScopeCreateFromScope
00000001d6ad687c (__TEXT,__text) non-external (was a private external) _PPParserScopeFindIdentifier
00000001d6ad68c4 (__TEXT,__text) non-external (was a private external) _PPParserScopeFindMacro
00000001d6ad67c8 (__TEXT,__text) non-external (was a private external) _PPParserScopeFree
00000001d6ae038c (__TEXT,__text) external _PPParserSetLimits
00000001d6ae037c (__TEXT,__text) external _PPParserSetPrefs
00000001d6ad6984 (__TEXT,__text) non-external (was a private external) _PPParserShutdown
00000001d6ad8680 (__TEXT,__text) non-external _PPParserValidateName
00000001d6be905c (__TEXT,__text) external _PPStreamAddAddressUsage
00000001d6be91dc (__TEXT,__text) external _PPStreamAddAttribBinding
00000001d6be976c (__TEXT,__text) external _PPStreamAddConstant
00000001d6be9664 (__TEXT,__text) external _PPStreamAddLabel
00000001d6be935c (__TEXT,__text) external _PPStreamAddOperation
00000001d6be9884 (__TEXT,__text) external _PPStreamAddOption
00000001d6be925c (__TEXT,__text) external _PPStreamAddOutputBinding
00000001d6be90dc (__TEXT,__text) external _PPStreamAddParamBinding
00000001d6be915c (__TEXT,__text) external _PPStreamAddParamBindingArray
00000001d6be9804 (__TEXT,__text) external _PPStreamAddRasterOp
00000001d6be8d84 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs0
00000001d6be8e00 (__TEXT,__text) non-external (was a private external) _PPStreamAddReqs1
00000001d6be8f5c (__TEXT,__text) external _PPStreamAddTempUsage
00000001d6be8fdc (__TEXT,__text) external _PPStreamAddTempUsageArray
00000001d6be92dc (__TEXT,__text) external _PPStreamAddTexImage
00000001d6bea338 (__TEXT,__text) external _PPStreamAttachStream
00000001d6be8374 (__TEXT,__text) external _PPStreamAttribBindingIsEqual
00000001d6beab9c (__TEXT,__text) non-external (was a private external) _PPStreamChangeBranchTargets
00000001d6be8494 (__TEXT,__text) non-external (was a private external) _PPStreamChunkCompare
00000001d6be8f34 (__TEXT,__text) non-external _PPStreamChunkCreate
00000001d6be839c (__TEXT,__text) non-external (was a private external) _PPStreamChunkGetStream
00000001d6be870c (__TEXT,__text) external _PPStreamChunkListAddChunk
00000001d6be8a58 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListChunkAtIndex
00000001d6be8b10 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListCompare
00000001d6be8590 (__TEXT,__text) external _PPStreamChunkListCreate
00000001d6be85b8 (__TEXT,__text) external _PPStreamChunkListCreateFromChunkList
00000001d6be8744 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListFree
00000001d6be8b78 (__TEXT,__text) external _PPStreamChunkListGetNextIndex
00000001d6be8960 (__TEXT,__text) external _PPStreamChunkListGetStream
00000001d6be8810 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkAfterChunk
00000001d6be87a4 (__TEXT,__text) non-external (was a private external) _PPStreamChunkListInsertChunkBeforeChunk
00000001d6be886c (__TEXT,__text) external _PPStreamChunkListRemoveChunk
00000001d6be88c8 (__TEXT,__text) external _PPStreamChunkListSort
00000001d6beaa70 (__TEXT,__text) external _PPStreamCompare
00000001d6be8ca8 (__TEXT,__text) external _PPStreamCreate
00000001d6be8e88 (__TEXT,__text) external _PPStreamFree
00000001d6be9900 (__TEXT,__text) external _PPStreamGetStream
00000001d6bea308 (__TEXT,__text) external _PPStreamGetTexOperationCount
00000001d6be9560 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationAfterChunk
00000001d6be9444 (__TEXT,__text) non-external (was a private external) _PPStreamInsertOperationBeforeChunk
00000001d6be8388 (__TEXT,__text) external _PPStreamOutputBindingIsEqual
00000001d6beac58 (__TEXT,__text) non-external (was a private external) _PPStreamPackIndices
00000001d6be8360 (__TEXT,__text) external _PPStreamParamBindingIsEqual
00000001d6be9714 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveLabelsAtOperationIndex
00000001d6beb2a4 (__TEXT,__text) non-external (was a private external) _PPStreamRemoveOperation
00000001d6beb184 (__TEXT,__text) non-external (was a private external) _PPStreamResolveBranches
00000001d6ae1698 (__TEXT,__text) external _PPStreamTokenAddBlockInfo
00000001d6ae226c (__TEXT,__text) external _PPStreamTokenAddRasterOps
00000001d6bea1fc (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRasterRequirements
00000001d6be9c4c (__TEXT,__text) non-external (was a private external) _PPStreamTokenAddRequirements
00000001d6ae23f4 (__TEXT,__text) external _PPStreamTokenAddTexImages
00000001d6ae235c (__TEXT,__text) external _PPStreamTokenAddTexUnitInfo
00000001d6bea2e4 (__TEXT,__text) external _PPStreamTokenAlloc
00000001d6ae273c (__TEXT,__text) external _PPStreamTokenConvertAttribBindings
00000001d6ae2b2c (__TEXT,__text) external _PPStreamTokenConvertOutputBindings
00000001d6ae297c (__TEXT,__text) external _PPStreamTokenConvertParamBindings
00000001d6ae2a70 (__TEXT,__text) external _PPStreamTokenConvertParamBindingsToGeneric
00000001d6bea304 (__TEXT,__text) external _PPStreamTokenFree
00000001d6ae1658 (__TEXT,__text) external _PPStreamTokenGetProgramOptions
00000001d6ae15f4 (__TEXT,__text) external _PPStreamTokenIsTrivialPassThrough
00000001d6c18168 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.ARBFP
00000001d6c18228 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL1
00000001d6c182f8 (__TEXT,__const) non-external _PPStreamTokenIsTrivialPassThrough.GLSL2
00000001e4e33a10 (__DATA_CONST,__const) non-external _PPStreamTokenIsTrivialPassThrough.streams
00000001d6ae2bf8 (__TEXT,__text) external _PPStreamTokenValidateOptions
00000001e4e34748 (__DATA_CONST,__const) non-external _PROMOTIONS
00000001d6c19364 (__TEXT,__const) non-external _PROMOTIONS_110
00000001d6c19368 (__TEXT,__const) non-external _PROMOTIONS_120
00000001d6c193a0 (__TEXT,__const) non-external _PROMOTIONS_400
00000001d6c19378 (__TEXT,__const) non-external _PROMOTIONS_FP64
00000001d6bf3f74 (__TEXT,__text) non-external (was a private external) _ProgramFree
00000001d6bf3eec (__TEXT,__text) non-external (was a private external) _ProgramNew
00000001d6ba546c (__TEXT,__text) non-external (was a private external) _ReadFromTokenStream
00000001d6ba4dc4 (__TEXT,__text) non-external (was a private external) _ReadToken
00000001d6bfbe9c (__TEXT,__text) non-external _RecordFunctionCall
00000001d6ba4c50 (__TEXT,__text) non-external (was a private external) _RecordToken
00000001d6bf2a08 (__TEXT,__text) non-external (was a private external) _RegisterAdd
00000001d6bf2948 (__TEXT,__text) non-external (was a private external) _RegisterCanMerge
00000001d6bf11d0 (__TEXT,__text) non-external (was a private external) _RegisterVectorCanMerge
00000001d6bf1144 (__TEXT,__text) non-external (was a private external) _RegisterVectorIsFixed
00000001d6bf3598 (__TEXT,__text) non-external (was a private external) _Registerify
00000001d6bf2634 (__TEXT,__text) non-external (was a private external) _RegistersCleanup
00000001d6bf3734 (__TEXT,__text) non-external (was a private external) _RegistersFree
00000001d6bf3538 (__TEXT,__text) non-external (was a private external) _RegistersInitialize
00000001d6bf0ea0 (__TEXT,__text) non-external (was a private external) _RegistersMerge
00000001d6bf1238 (__TEXT,__text) non-external (was a private external) _RegistersReInterfere
00000001d6bf12c8 (__TEXT,__text) non-external (was a private external) _RegistersReplace
00000001d6bf86c8 (__TEXT,__text) non-external (was a private external) _RepifyConstantLoopSimple
00000001d6ae0420 (__TEXT,__text) non-external _ResizeGLDAttribBindings
00000001d6ae0554 (__TEXT,__text) non-external _ResizeGLPContextStateBindings
00000001d6ba4db0 (__TEXT,__text) non-external (was a private external) _RewindTokenStream
00000001d6ba3b6c (__TEXT,__text) non-external (was a private external) _ScanFromIncludeString
00000001d6ba3d70 (__TEXT,__text) non-external (was a private external) _ScanFromSimpleString
00000001d6ba28fc (__TEXT,__text) non-external (was a private external) _ScanFromString
00000001d6ba3f68 (__TEXT,__text) non-external (was a private external) _ScanFromTokenPastedString
00000001d6b884bc (__TEXT,__text) non-external (was a private external) _SetAddressRegister
00000001d6b95a50 (__TEXT,__text) external _ShAttributeBindingRequest
00000001d6b959a0 (__TEXT,__text) external _ShCleanup
00000001d6b95408 (__TEXT,__text) external _ShCompile
00000001d6b95034 (__TEXT,__text) external _ShConstructCompiler
00000001d6b950c0 (__TEXT,__text) external _ShConstructLinker
00000001d6b95180 (__TEXT,__text) external _ShDestruct
00000001d6b95400 (__TEXT,__text) external _ShFinalize
00000001d6b96ac8 (__TEXT,__text) external _ShFragDataBindingRequest
00000001d6b96250 (__TEXT,__text) external _ShGetActiveAttrib
00000001d6b95f14 (__TEXT,__text) external _ShGetActiveBindableUniformBufferIndexOffsetFromLocation
00000001d6b95efc (__TEXT,__text) external _ShGetActiveBindableUniformBufferSizeTable
00000001d6b95ec0 (__TEXT,__text) external _ShGetActiveNonbindableUniformsSize
00000001d6b97af8 (__TEXT,__text) external _ShGetActiveSamplerLocations
00000001d6b980b8 (__TEXT,__text) external _ShGetActiveSubroutineName
00000001d6b98010 (__TEXT,__text) external _ShGetActiveSubroutineUniformName
00000001d6b97eb8 (__TEXT,__text) external _ShGetActiveSubroutineUniformiv
00000001d6b9795c (__TEXT,__text) external _ShGetActiveUniform
00000001d6b97240 (__TEXT,__text) external _ShGetActiveUniformBlockName
00000001d6b96fac (__TEXT,__text) external _ShGetActiveUniformBlockiv
00000001d6b97468 (__TEXT,__text) external _ShGetActiveUniformIndex
00000001d6b976a8 (__TEXT,__text) external _ShGetActiveUniformName
00000001d6b963d0 (__TEXT,__text) external _ShGetAttribLocation
00000001d6b96154 (__TEXT,__text) external _ShGetBindableUniformTypeInfo
00000001d6b9815c (__TEXT,__text) external _ShGetCachedUniformIndexTable
00000001d6b98174 (__TEXT,__text) external _ShGetCachedUniformIndexTableSize
00000001d6b96480 (__TEXT,__text) external _ShGetContextStateUniforms
00000001d6b96c5c (__TEXT,__text) external _ShGetFragDataLocation
00000001d6b959b0 (__TEXT,__text) external _ShGetInfoLog
00000001d6b9818c (__TEXT,__text) external _ShGetInteger
00000001d6b9674c (__TEXT,__text) external _ShGetLinkerPPStream
00000001d6b97bf0 (__TEXT,__text) external _ShGetMaxActiveSubroutineLength
00000001d6b97c54 (__TEXT,__text) external _ShGetMaxActiveSubroutineUniformLength
00000001d6b96e6c (__TEXT,__text) external _ShGetMaxActiveUniformBlockLength
00000001d6b97870 (__TEXT,__text) external _ShGetMaxActiveUniformLength
00000001d6b961cc (__TEXT,__text) external _ShGetMaxAttributeLength
00000001d6b969c0 (__TEXT,__text) external _ShGetMaxTransformFeedbackVaryingLength
00000001d6b95be0 (__TEXT,__text) external _ShGetNumActiveAttributes
00000001d6b973e4 (__TEXT,__text) non-external _ShGetNumActiveNonbindableUniforms
00000001d6b97be0 (__TEXT,__text) external _ShGetNumActiveSubroutineUniformLocations
00000001d6b97b5c (__TEXT,__text) external _ShGetNumActiveSubroutineUniforms
